religious_affiliation,married,ethnic_group,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,target
Christian,Widowed,Black,-123.96605299108505,C,71.76372457464683,C,-26.646050402866205,E,E,C,-104.6238613798186,C,A,E,-34.333682944799804,162.99975700940118,0
Jewish,Married,African American,87.17453579634213,E,-48.1899978391074,D,89.42395497003363,A,D,C,111.38372339009959,A,B,D,173.67505967939394,-68.1155672261671,0
Jewish,Single,African American,-18.200051797462002,D,61.0041174751119,D,138.02903554611194,B,C,D,-60.451861506760494,C,D,E,79.68413004161494,-68.15199706046785,0
Jewish,Single,Black,-112.16998508373936,D,-95.73681710565991,B,63.383451317636464,D,C,C,-35.1298021248358,C,E,C,109.08254836138805,-85.7555580267086,1
Other,Married,Black,-23.587395218529128,D,-147.54837084756102,A,-100.12822502971541,B,D,E,27.169826785916896,E,B,C,3.9229539948613827,-98.88152965937073,0
Other,Married,Other,21.675355185389073,A,21.727024910092176,E,124.83042913633393,C,A,C,117.35571557114304,A,D,C,175.24035415845393,-120.64334988568844,0
Jewish,Single,Other,-30.21875179332052,E,-183.3412500321003,E,-80.40183370458617,C,B,A,17.54302918649722,D,D,B,-60.16390372322594,-103.87509371801598,1
Hindu,Single,Other,10.966570090224192,C,23.051106167928566,B,-100.47739267493883,C,C,B,-29.88655998032478,B,E,D,-144.03063976844297,0.13439618148392793,0
None,Divorced,Black,113.30270080868208,D,24.442552640869554,D,22.336942543476113,B,E,A,-45.30072571256805,D,A,D,46.97451097280633,98.21486563753882,0
Christian,Widowed,Other,160.602979014598,D,-122.25419253815085,D,-123.9692883000096,E,D,D,-29.935086643177954,A,E,E,-156.04612966898287,-157.99048026446826,1
None,Widowed,Hispanic,-77.76422735746029,D,65.36551839708052,C,-2.5059491405139664,C,C,C,-71.3065797016804,C,E,A,-50.979070391197,-163.09986131662,0
Muslim,Single,African American,121.87916855524674,C,23.168745100494878,A,17.715852210190214,E,E,B,-115.24245774925205,E,A,A,92.02483917986183,19.61460874317633,0
Muslim,Single,African American,-155.56789936053056,C,21.71022990918063,B,19.676292343260407,A,D,C,-35.340086808049286,B,E,A,163.64988849904125,-91.92043014498175,0
Other,Single,Hispanic,-166.1152318231551,D,-93.33596629217355,E,43.32262468959225,D,A,A,-116.97111180187858,B,C,E,-65.8421090442332,-77.26187576750422,1
Hindu,Married,African American,111.73529394810431,A,-12.696848547397583,B,13.587098264976111,E,A,C,-72.84135806336188,E,E,C,27.316038338941134,156.7145621031382,1
Jewish,Widowed,Black,85.70874917920938,E,163.85653164417573,B,-93.22474129615586,D,A,C,-48.621580667594365,D,A,E,-44.60973630444833,-178.6965328451434,0
Muslim,Divorced,Asian,-27.197317540244676,D,-187.99118281764845,E,37.123600940091926,B,D,D,54.26972852034869,C,E,D,4.570391252648675,-93.15144616128573,1
Jewish,Single,White,117.37769896991792,E,-153.02629280414664,E,115.6476345193551,E,D,E,-10.452974295540464,A,C,D,-63.562924721593795,156.25043448610518,1
Christian,Widowed,Asian,-126.04423362584005,E,-50.59755523445202,D,66.94624036912961,E,D,B,55.38002772910444,B,A,B,-114.26550691710398,-11.531704240560074,1
Christian,Widowed,White,-124.12770668884316,D,-102.04471061509975,A,80.6722032675411,A,A,C,-46.48810698183578,B,B,B,-98.4336246276407,192.37335310459142,1
None,Widowed,Other,86.63394899776085,B,-167.795606268444,B,27.867948600842723,C,B,A,60.267759878803815,E,C,E,80.46407410307303,26.475075200180044,1
Hindu,Widowed,Asian,-22.42986508170768,B,-146.94893069633153,B,2.2423126281988823,B,E,B,15.768580480526909,A,E,E,-77.976538211056,-86.39018933208202,0
Buddhist,Married,White,-83.66205932636619,C,41.79776263932261,B,-75.59596614605445,A,E,C,-59.46812378786714,C,A,D,37.64189732005634,84.49839018667161,1
Buddhist,Married,White,62.55889386773469,C,344.1248749429125,E,-109.96895385481781,A,D,B,69.83652350008553,C,B,C,39.733551939335364,161.32871057349936,0
Buddhist,Divorced,Black,9.165485600317522,A,19.555981312225324,B,-122.45900030388475,E,B,B,55.09068669724873,D,C,E,96.87358317664112,110.14213286728662,1
Jewish,Divorced,Hispanic,4.090427657193507,C,40.26649826913528,C,-36.18471417158693,D,E,A,-79.44366418872444,C,A,C,54.47278210495159,1.3252529597544855,1
Christian,Divorced,Asian,58.94195457159026,A,43.24107197104706,E,43.64419459201018,B,A,A,-143.23484536306884,A,D,D,-76.21395212025367,160.81586671312803,1
Hindu,Single,Hispanic,-85.99204054923935,B,-124.25475934770742,B,8.164394342573082,D,B,D,-47.14029757835505,D,D,E,-221.65117665367964,65.72938361430846,1
Other,Widowed,Asian,-91.89804130745058,D,-179.06748430531286,B,-29.615243711377747,D,A,A,-103.6240541577227,B,E,E,64.79539833413865,67.25765015359347,0
Buddhist,Married,Hispanic,-52.179651758993494,B,33.596628245502735,E,151.2246611575408,E,C,C,44.945841187752066,A,C,D,30.571421611908995,68.4379665878695,0
None,Single,Black,-72.13468465034828,C,14.964799804360599,A,99.10053281836394,A,B,C,169.52062052456708,C,A,A,83.61229577251815,64.83097280206447,0
None,Divorced,Hispanic,43.35475350015805,E,-37.26625204988734,B,-101.14509056295493,A,C,C,11.821837179799376,A,E,E,155.11373407874638,-102.17589304978416,1
Hindu,Widowed,Hispanic,-52.13957186749706,C,-59.41965261041483,C,-75.33286001790209,B,D,C,15.895996874984053,C,B,B,-40.60894286149288,80.7191012558745,1
Buddhist,Widowed,Black,158.81177455583182,A,-2.199565513709853,E,-5.609150190933753,E,E,D,-69.38391277249553,E,E,E,21.42858893247866,107.21388732718341,1
Other,Single,Hispanic,200.90437998618552,D,165.13425424686454,A,-117.8900385827792,C,B,D,2.275343200204153,B,B,C,77.4470621746978,99.54231311456016,0
Christian,Single,African American,-206.19238272548506,E,52.22071685826979,E,34.96410396741631,C,E,B,-19.273723823768034,D,A,E,-17.146234423392524,119.9529658213396,0
Other,Married,Asian,-203.0137333104674,D,128.96414590925778,C,-31.068740423244595,B,B,E,4.420648842806419,A,A,E,-177.68741112975738,89.3208866757034,1
Hindu,Married,Asian,-44.48036400064221,D,-36.63839828245227,C,-129.96377247465568,A,E,C,93.24100550398592,B,E,D,-156.01029383933175,-60.67467077554636,1
Buddhist,Divorced,African American,-66.65287023278194,B,135.56083516149556,C,10.734747866729254,D,B,C,132.2191313382405,D,B,D,-77.16884967274599,74.75621463672212,1
Hindu,Married,Asian,16.172193100576603,C,144.65475344676483,B,136.86568051522164,B,D,E,74.06312752522113,B,D,B,53.789193208231175,51.54302651172963,0
Christian,Married,Asian,50.70953035289973,E,-106.70784062187349,B,-79.4288198670716,D,D,A,-20.95534850637518,D,A,C,-48.16880522641136,167.26783354057943,1
Christian,Widowed,Black,-103.18296812253074,C,-47.20521459982255,E,0.1988266879879181,C,D,B,-39.40691709190471,E,A,C,82.22899590388987,-271.83840876241106,1
Jewish,Divorced,Asian,33.76694736969316,A,53.28142188275056,C,-19.34431651321644,D,D,A,-118.63047127992485,A,E,B,173.04130605665424,-57.337848254800086,1
Buddhist,Married,African American,-11.512482767200629,B,49.32712880386496,A,-52.8511024522624,B,D,C,79.87905897449254,D,D,C,-27.44081836996552,-9.80753599532095,0
Other,Single,African American,139.6218783402847,B,76.38298392762907,D,89.18481743655666,D,B,B,-168.76478069390285,E,A,A,90.66422510237554,-24.33645578740839,0
Jewish,Married,Other,124.32444788253993,D,19.054689495680808,A,-132.6078124525395,A,C,E,90.42781633455249,B,B,D,160.31852270229876,19.28468318210014,0
Christian,Divorced,African American,54.31469075979155,A,-16.9420165957571,A,-46.48090522420855,D,B,C,-123.41526116242143,D,C,E,110.37503911996826,-22.73678897248045,0
Muslim,Single,Other,-77.59669380884124,A,112.30964850717848,C,-15.20413631468496,C,A,C,44.51964086736992,B,C,B,-86.52603324005575,-12.4181466186076,0
Hindu,Single,White,37.898312165468845,E,34.13162318258226,A,65.84067927878988,B,C,B,11.704348952921244,E,A,B,43.353390471309304,-49.29895158343151,0
Other,Widowed,White,-150.5917234192887,C,47.71387146552425,E,89.51928807280277,A,A,C,163.38354864008687,C,B,E,91.39779679034386,-101.63323550740328,1
Jewish,Single,African American,-85.30143018739155,B,-20.905941114383204,E,-119.79652949043054,A,B,A,-16.498141184268235,B,E,A,-32.86043994243435,-239.3171580678324,1
Muslim,Single,African American,22.467777960496566,B,140.78686963031748,C,124.49655657937654,D,C,C,-37.16912036336027,E,D,E,-59.464570897254,27.32211213877433,1
Buddhist,Single,Asian,-80.7197419460982,C,-21.304779166780953,E,-8.270867974395346,A,E,D,20.928290715360625,B,E,C,-34.042238798500776,-110.895267940601,0
Christian,Widowed,Hispanic,-45.288685324042596,A,109.44328772420224,B,61.4513248698749,D,D,A,83.74427434184436,A,C,D,-143.7508117704323,9.078169031130875,1
Jewish,Widowed,White,123.48686150972428,D,-182.70043680303257,C,-102.15866539731424,E,B,D,244.76739487246812,B,B,B,64.07023841717319,82.71192360388939,0
Other,Divorced,Hispanic,194.7673166368542,D,-113.16459398473691,E,-218.59041577823675,E,E,D,32.52067682095838,E,B,B,61.98411559965828,-18.70076490793853,1
Other,Single,Hispanic,-87.16081852162499,A,37.02345056329667,A,275.2493550809146,A,B,E,45.13998504331201,E,A,B,107.51930176458558,92.98888005048013,1
Muslim,Divorced,White,21.442308607429457,C,63.99714989517974,C,280.88535261522327,C,C,D,-10.718207341007858,A,D,B,115.3283850364442,-47.64922003584102,1
Christian,Widowed,Black,62.77887007040318,C,182.85833678256924,D,-185.3158383062272,C,C,B,77.91716222120152,A,A,E,-1.431670348495071,-1.7056621976276256,1
Hindu,Single,Asian,62.39822236354497,E,49.40830826982789,D,-14.944326537150035,D,C,D,-89.13452124905905,E,A,B,59.38592981695926,-1.575618542190628,0
None,Married,Hispanic,41.74314989374798,A,-66.4823526839071,A,15.557168956403986,D,C,E,-10.0502135516338,E,B,A,104.07614166878756,-10.759313965778125,0
None,Single,White,-118.30682636160968,C,64.46193712650813,D,16.639106622375387,A,B,B,3.6144031135554857,C,B,B,20.24194002369615,15.872448234451376,0
Jewish,Married,Asian,5.504527991839634,C,50.127371429077115,B,-47.021976758995685,A,A,B,93.36279228401787,D,C,A,-120.20725737815158,138.01624518487364,1
Christian,Single,Hispanic,-146.71552072682044,B,233.51429029530775,C,266.6305120894623,A,E,A,67.99408017807406,E,D,A,157.85377538951587,-62.16114826595462,0
Jewish,Widowed,Hispanic,157.94278751331998,C,-147.88041563038797,E,-47.650170274432504,B,B,C,33.37717818627682,C,D,D,37.13442408670497,21.958495036753405,1
None,Married,African American,-84.63710836886837,B,-23.706551922482973,E,155.82560205306964,D,E,B,267.5591094104525,B,A,B,52.054413546664144,-88.6944778615295,0
Other,Married,Hispanic,-98.62116804187387,E,-16.265395474404997,D,-149.05366497495433,E,E,E,-29.781567341636116,B,E,E,-73.87653198571772,-202.73176590815135,1
Christian,Married,White,-14.922444329752016,C,-42.75768142779414,C,53.134042221343805,A,D,B,50.27996034741445,A,A,E,126.40118660049531,-147.5402877042164,1
Other,Divorced,Black,49.97725651493706,E,99.3320618968941,B,82.58912101408356,C,C,B,26.21611755118894,B,A,D,-32.86084473299308,-147.08898504947982,0
Christian,Widowed,African American,95.7952209542598,D,63.94066871398692,E,87.75079925403494,C,B,B,-64.60448048264026,C,E,A,-118.47403133640124,25.493758797338323,1
Hindu,Married,White,-68.59321185033791,E,158.21507378464003,B,-59.59294566083042,E,B,E,58.33778497034,E,D,C,127.63801635685623,76.06246408361098,1
None,Divorced,African American,180.86511348144992,B,-113.4545620606074,D,-7.716308258336041,C,D,C,-69.0332898364205,E,E,E,194.91064765279097,125.80794548684713,1
Christian,Single,White,-176.87704310649534,C,-198.0811399514085,D,-10.27299154406261,C,A,B,-42.19552446554793,A,A,D,49.546727984043116,-44.89459196163637,0
Other,Divorced,Asian,-26.23643969291366,C,125.7253828827696,E,-65.71735914647304,A,D,C,-1.9994521111272983,B,C,A,-0.7339708879281168,-159.57723470265518,1
None,Married,White,164.84830569291066,E,-14.209599531093062,E,-98.4283183518322,A,D,A,23.285454853055125,C,B,E,-26.995520311393427,37.75823187465055,1
Other,Widowed,White,-18.39691234654088,A,81.4122300775333,E,-2.474631083125799,A,B,D,-46.98668837542447,C,A,A,-108.79699108198884,99.35625096369684,0
Hindu,Widowed,Hispanic,116.89368635915658,E,103.01243324869836,A,-116.79008992216211,B,D,B,-17.22320719565709,A,A,E,-108.96179943860534,5.492833383450591,0
Christian,Single,African American,-130.60575843400667,E,209.88990153524222,D,29.072188165016133,B,A,B,-57.5208748802049,B,A,C,36.87165502049305,-10.675386523797512,1
Other,Single,Asian,68.75915167885336,E,88.37700232015987,D,-76.35937527645154,B,D,A,65.16400539851826,E,E,A,-108.27845962669431,75.94632450110088,1
Muslim,Single,African American,-25.522570887991137,E,-78.16323334117799,C,127.6532337079951,E,A,E,-193.84159035525624,E,B,E,69.98855598610622,-163.7044135805561,0
Hindu,Divorced,Hispanic,34.829077236024084,C,77.01945152414893,C,105.91545516207475,B,D,C,-30.222501371509992,B,D,E,69.26597442309847,146.16065375038605,0
Christian,Divorced,Asian,138.72263462199422,B,-129.97032795890803,E,-112.92918776339236,E,A,A,-161.5384129025838,E,B,C,49.45019228450354,56.89091953863217,1
Other,Married,Black,-228.816144422239,A,91.73967560682243,A,31.376621659573367,C,D,D,190.58828163191913,B,D,B,7.197886929390697,19.028980789959444,0
Jewish,Married,White,204.88204216286368,E,53.75306450794264,D,110.41307819017602,B,C,A,214.28221296674286,D,C,A,40.68084736257207,-53.131985637440195,0
Buddhist,Divorced,Hispanic,-148.81398948466276,D,-143.24642472438407,A,95.57272965863088,C,C,B,208.65134404216613,E,B,E,-112.49464639097792,-81.57024646141615,1
Hindu,Married,Hispanic,92.80847827376523,E,-70.55568649191846,C,145.65115136237546,B,D,A,-8.39292975839324,C,D,D,-42.153534504972775,-100.00234420297826,0
Christian,Single,African American,64.52951381097398,A,-65.18343749015081,D,52.138253570435275,A,E,C,-63.11753969625807,A,E,D,-42.62934557308798,-247.11981926153138,1
Muslim,Married,African American,96.82150193429906,E,46.01012946500593,A,-52.3655171647776,D,D,C,88.6539233184227,B,D,C,-118.45748160869451,-55.64537786503373,0
Muslim,Single,Hispanic,29.27037375934014,A,-16.979534403459198,A,68.68579637715217,C,C,B,108.76593450015552,E,B,D,34.39837840972049,37.47652075703981,1
Other,Divorced,African American,22.220424155012665,E,-285.9098965285307,E,33.32785519686252,A,C,E,3.555087096511758,C,D,E,-27.593692290182542,118.39456369017434,0
Buddhist,Widowed,Hispanic,-15.95370291774733,C,-116.6334938274999,C,-2.775729303269271,E,A,B,198.88561091684477,D,A,D,-10.139644574163416,-94.8799759785324,0
Buddhist,Widowed,African American,-222.53717484081955,D,64.82340834795315,A,-95.938784618305,B,E,C,-142.25946002344466,E,B,B,-50.32089109459768,128.65322560880986,1
Buddhist,Widowed,White,101.66472291691326,A,39.69208894436864,E,-126.70149349987972,A,C,D,130.43845034663158,E,B,D,-91.35829588624631,-51.60113447798241,1
None,Divorced,Black,26.614774457786712,E,-35.213548489456684,C,-1.173497630780298,C,C,A,117.41518148677731,E,B,A,-26.627470512828367,127.39356759080162,1
Hindu,Divorced,Hispanic,-148.16497133347835,B,79.52598825277491,D,-165.70660772791254,E,A,B,-100.51268637942272,E,E,E,31.22332478929674,44.50187466274861,1
Jewish,Single,Asian,65.49590951796696,D,7.311138910986048,A,1.1155134605831891,A,E,B,54.43872961790422,D,D,A,-53.959618833753694,-19.251382259874436,1
Muslim,Divorced,White,113.69617467266966,B,22.39123117595296,C,-121.94683929145542,C,B,C,-134.98804995612724,B,A,B,154.89899784506622,-18.155605822189457,1
Muslim,Married,Black,145.12378451610616,B,66.70816728845854,A,131.17130555396963,A,A,C,-43.97312227556064,D,E,E,-67.57970560739157,84.13130842010409,0
Jewish,Married,Hispanic,-259.77471840909965,B,110.60022550955266,B,-7.095953448044308,D,C,C,39.727520423757554,B,C,C,-45.43770877810237,-7.547178823136363,1
Jewish,Divorced,African American,-221.1025342302647,D,116.88089097759713,E,-69.9498693353216,D,D,C,170.09674169479442,B,B,B,-93.76375043746506,111.73612807186595,1
Buddhist,Married,Hispanic,32.38505694846518,B,-73.58148344422146,E,-12.478126931687958,E,A,C,90.00908815822844,B,D,A,-56.15976335268056,84.49938963256855,1
Muslim,Married,Other,-135.67716931878863,D,37.63916823474033,B,-37.776739423624285,C,E,D,-9.517678407361972,C,C,B,-206.13765697272646,-133.95846741530826,0
Jewish,Married,White,-65.77116833075334,B,-41.33126347996443,D,-83.78837307551042,B,A,C,89.67269294887555,D,B,C,-2.7021293777286135,96.67600803493602,0
Hindu,Single,African American,9.684358339614157,C,112.8093592847528,E,74.17402139721887,D,A,A,-28.83036913840674,C,D,B,183.37147396712345,48.22354105149863,1
Muslim,Divorced,African American,-139.84908659976333,C,37.18324857367507,C,63.66352054269683,B,C,D,-127.12166527903133,C,E,E,213.36689195747022,83.48794333185882,0
Other,Married,African American,9.230807122525306,E,-140.89723264601645,B,48.862980389701285,B,A,C,24.99867054660317,B,B,C,40.65305950294797,-116.32197661565648,1
Hindu,Divorced,Black,-53.817807420718346,C,75.79574417060586,C,-58.69792783993838,C,E,E,-60.16293386011211,C,C,B,34.60015078351801,-194.25046072589618,0
Hindu,Single,White,-220.5929549449475,A,-48.096122507917535,E,18.6493172460189,B,B,B,-180.58445356472842,C,C,E,-9.268845326851496,20.693222983734298,0
None,Divorced,Hispanic,-98.26467055414595,C,64.43901623677417,B,-135.00970800900745,A,D,E,35.638273809156686,B,C,A,46.240596085640924,11.41535506673941,0
Christian,Married,Black,28.38385067099639,D,216.9267809642657,B,-132.9223792551324,E,B,B,-97.68284279327393,E,E,C,-65.1379629385094,46.09141491762729,0
Hindu,Single,White,71.67758671702703,D,-43.412833080494664,A,27.47810869957065,D,A,A,51.338595083954196,C,D,D,48.378258126500626,65.77661062250108,0
Muslim,Single,Other,-52.58801860456956,A,80.90184415878106,D,129.52632887650978,D,B,C,-138.4643104366827,B,C,C,40.17300849644666,-50.468605198490934,1
Other,Single,Other,87.11887083906105,C,4.536810810608405,B,-18.582030361157166,E,E,B,22.773932613707544,D,C,D,-35.43275921998227,-167.22479418044153,0
Jewish,Divorced,African American,131.75247427965326,E,132.85300325783894,E,121.55397703775847,D,A,E,-21.691295151335066,B,E,A,-133.49948544513725,160.793802988126,1
None,Single,Black,-54.074167528392806,B,192.61861986268784,E,-62.27757680447802,D,C,C,-156.94747109337837,E,E,B,-29.609932527700593,-55.004415014263884,0
None,Divorced,Black,50.5428232219782,B,-183.21017434768748,A,71.11697685810537,E,C,D,-13.696208829738701,E,C,E,16.242483203898313,-54.863276644728145,1
Hindu,Divorced,White,-28.185033685784955,A,38.212990876881996,A,-50.06194863675694,D,E,E,-46.61989866176055,D,D,C,-51.87798692439374,88.3575735816787,0
None,Single,Other,136.86486946709124,E,63.69657639189411,B,274.2712880136891,B,E,A,-70.27727279208598,A,E,E,-107.20030061043724,-183.15483242960556,1
None,Widowed,Black,-23.886664781580652,B,-46.42517902694943,E,56.45262455089608,C,B,A,46.34336483052,E,E,D,158.08843682322595,47.58847338737452,1
Other,Widowed,Asian,98.5427885329132,B,11.889410065415973,B,-24.144950576193423,A,C,A,-126.91641723218821,D,C,B,82.10578513750184,-85.03659455528495,0
None,Single,Black,44.65248996505186,A,112.5821767431115,C,-215.7928889407485,B,B,A,-140.73132348612432,C,A,B,46.87546248280242,-158.5260666115729,1
Christian,Married,African American,62.75494649988593,D,101.42856911426523,A,63.044633059586516,E,D,B,-250.00238175205277,D,C,B,3.8470019317739412,78.1189388689997,1
Christian,Widowed,Asian,-15.01086477227049,B,42.16352287402568,A,-84.34287594915064,C,B,A,-73.74475644531873,C,C,E,22.41680705189225,125.82317021288651,0
Other,Widowed,African American,-163.47997861063345,C,-193.77978633358637,B,-79.33164677216497,C,E,E,-17.435421906642805,B,D,C,173.7584083785681,-67.48116302886736,1
Christian,Widowed,Other,6.491655984530394,C,-79.39835018049692,C,14.018168756869404,B,B,D,-155.46453564195033,D,A,D,-125.89380619024928,135.8233537436286,0
Other,Divorced,Hispanic,33.56835881826146,D,12.653595988470755,A,-21.292980851361992,D,B,E,76.14084949764761,B,A,C,-152.5638162399241,47.96199238721394,1
Jewish,Widowed,Asian,-155.29761300783196,E,-6.100660493940559,C,-136.01449570173324,C,C,A,-38.588973436178904,D,B,D,90.76735350471601,125.96933582376889,1
Christian,Married,Black,-2.9193512221848286,D,-37.47843099148033,C,-41.03450230020633,A,C,B,58.23231141479924,A,C,E,33.67085138394748,-65.5982540821855,0
Jewish,Widowed,Black,-12.08468580904902,E,-40.77040461765722,A,-40.552988839861456,C,A,E,181.29347423810654,A,E,E,6.658455043001063,64.213005552959,1
Jewish,Married,Asian,42.274417258356394,E,44.047599345479355,B,-114.6804689906927,A,B,E,69.80104971342632,A,E,B,97.28770829082376,1.8392762870021995,0
Christian,Single,Hispanic,15.37721243326863,D,-105.91081674046019,D,-65.45279174347274,E,E,E,10.790772725859446,D,A,A,-8.849754038828808,13.492394050444457,1
Other,Divorced,Hispanic,-110.78457281324174,C,109.45101714404647,A,-70.7051479387647,A,E,D,92.81788786202048,B,E,B,-11.192634304772959,-13.118057956759685,0
Christian,Single,Other,82.08613157104423,D,59.03938569949165,C,-23.111654520867024,C,E,A,-88.16096504270527,C,D,B,92.12281122779174,-26.70396659168152,1
Hindu,Widowed,Other,209.00384926016278,B,89.81001716733311,A,72.3901444975526,C,E,E,30.292709113695842,E,B,E,-62.61606214556866,-56.32577149475569,0
Muslim,Widowed,Asian,214.63277432818083,D,-199.83842757543192,E,-77.75430002635349,A,C,A,235.80873199081083,A,C,E,-74.40675026830556,-50.965836318685945,1
Buddhist,Divorced,White,-55.17879583645331,E,15.114467976837197,E,-17.93463315315884,E,E,D,15.719110486547084,D,D,C,21.38246149908348,102.1216864045881,1
Buddhist,Married,Hispanic,113.15337437526767,A,167.16185185266025,D,-9.828355271506533,B,E,B,114.97094263660172,B,B,A,-7.022896211471676,14.355367100194535,1
Buddhist,Single,White,55.46637153477636,D,57.75938448831488,C,-34.33820278848849,C,B,B,-26.80794271751667,B,C,C,-95.82488524514966,-123.53404767484251,0
Hindu,Widowed,Black,9.297274978957343,E,31.097114007359416,A,122.85051128900572,B,E,D,12.342897394867334,E,D,D,165.29023471116477,64.5398943068902,1
None,Divorced,Black,-45.07492082493301,E,-2.313305393351384,A,74.86204820968531,C,D,C,-105.16902718266718,B,C,E,63.82278420455687,-132.99801143765765,0
None,Single,Other,188.52130116267082,D,-174.3565538031802,B,-74.95898689363902,E,E,E,4.9034535411876075,E,B,E,-69.84213181730537,104.97136096976621,1
Other,Widowed,Other,117.53843905176602,B,81.68403625930681,E,-54.66250130065558,A,E,A,-28.81434309726827,E,A,B,12.246668810081742,-53.1086122083,1
Buddhist,Widowed,White,159.65005840726246,E,-34.80806191832485,B,-43.67723942789248,B,C,C,-107.56651549462161,A,D,B,-13.461415882558905,119.92580163511815,0
None,Married,Hispanic,28.36852020416091,C,-20.038561141466378,D,139.98609167569566,C,E,A,146.10020805380276,B,D,E,-18.816710085396064,-16.37531913488113,1
Hindu,Divorced,Hispanic,-68.20004031265616,E,82.77646040975422,A,113.08962200862076,D,D,D,-64.24561024641045,D,A,D,88.96819029804567,-112.40785764936578,1
Other,Widowed,Asian,13.29889680972822,B,139.79316336803612,B,10.740599312392304,C,B,A,135.5675420152734,D,C,E,31.425558482521026,52.88339701747928,1
Hindu,Single,Asian,-53.62095379203667,E,255.42969111215936,D,84.69948768777621,E,D,B,-104.58048032270293,A,C,E,176.3106039727869,92.93452729422458,0
Buddhist,Married,White,-72.019884042253,C,-80.49098581888113,A,54.270058974050116,A,B,E,29.6294152457455,C,A,A,-123.16483932514895,32.11145724106401,0
Jewish,Single,African American,131.67361971738484,E,52.026747291999875,B,115.25237935326571,B,A,D,-131.09847556826742,E,B,E,78.95626076122352,-192.5818050788471,1
Christian,Single,White,212.51639417969588,C,-24.9938141988263,D,-27.424479246853785,B,B,D,-65.30860728763074,E,B,E,-58.38113327469333,-60.885293454859976,0
Christian,Married,White,24.54987270564656,E,-72.4918778521569,C,-101.3846520650727,D,E,C,175.2863597146079,B,A,E,198.63374337023595,14.035827672308207,0
Jewish,Widowed,Other,-138.0213432532617,A,44.538707580259796,C,-30.165229343665473,D,E,C,38.72770895034219,E,C,A,-194.88967568861898,-69.87153227799426,0
Jewish,Single,African American,-38.88547647764493,D,91.81420341693601,A,250.5426530683967,D,A,D,55.34529796931247,C,C,B,-88.23972347765961,74.1740764343858,1
Jewish,Single,White,-96.29867524924892,D,74.25960224412529,B,-120.7545878933981,D,B,E,99.5860099928292,B,D,D,33.6908833070857,7.685722870575741,0
Hindu,Divorced,Other,4.115296498620944,A,8.25721514996542,E,60.02526195318627,B,D,A,-47.590200464099794,D,B,D,-29.9961758972498,52.54480584651971,0
None,Married,White,9.208773586494962,D,-159.5755204775655,E,54.601719202458355,A,C,D,-130.64178008426012,D,C,E,-94.27694261295173,-144.8904064418662,0
Buddhist,Widowed,Asian,12.875489489147085,D,-32.927419732500745,E,36.58609982126426,D,E,C,170.66441985969593,B,A,A,-94.83042965487137,-11.113342218485963,1
Muslim,Married,Black,117.17313045384412,C,68.6745021374595,E,78.66080806451045,A,C,E,-89.99534508954493,B,C,A,117.92725213135111,-207.88699474364293,0
Christian,Widowed,Black,-43.3909277932294,C,50.41470312252273,C,4.820878373412226,E,A,B,173.38794582710605,D,C,D,150.43088734407664,-105.54294584857176,1
Jewish,Widowed,Other,-156.21255699848874,A,-9.86526082939399,D,-34.262748613918454,D,B,E,6.34797311369069,C,C,E,-253.23316904168774,-178.93225038645463,1
Other,Married,Asian,-23.665626044819636,A,327.55418335864647,B,45.350910501473095,D,C,C,-6.877907934442913,C,A,B,-149.66908824563734,-30.322375198957225,0
Jewish,Married,White,-55.109170934016646,E,-6.29379047697418,C,-23.103634335315537,B,D,A,33.58954823483585,A,E,B,-46.24681583271125,49.88839590733437,1
Christian,Widowed,African American,144.86648420019708,B,-141.35475441770268,B,-131.927546768006,E,B,E,-2.4974210993169583,D,E,D,84.85130802337476,-134.82622718878906,0
Buddhist,Divorced,Black,48.28760632759742,A,-87.26317550622028,B,-24.295451579114644,C,C,B,0.9598838281214451,E,B,C,-177.20124001804103,-37.52465141284429,1
Hindu,Widowed,Other,12.372497175357752,E,-67.54910092041196,C,31.301916447329535,A,B,D,76.92312179741725,A,E,A,-151.81889758459653,30.5088176089998,0
Hindu,Single,Hispanic,-2.5198147528252512,E,0.4091137129997736,D,-211.7541944122681,E,E,B,124.94871320131922,E,A,B,100.19644549307998,73.4686342466783,1
None,Divorced,Black,148.44181008265133,D,-101.53649698540517,B,-19.222493171496204,B,D,A,260.8939892382833,E,A,C,171.47649464349658,-30.4302578029224,0
Jewish,Married,White,-70.52697576050751,C,-94.63187272209582,E,145.81388889635346,E,B,C,-63.35537623584357,C,D,D,161.81491464419332,44.70180416136157,0
Buddhist,Married,Black,9.07179500966566,C,187.33156477701073,B,-65.89702085856311,E,B,B,47.27525180109075,C,D,E,71.50820060575383,-92.87905914011013,0
Buddhist,Divorced,White,2.001208701838318,C,11.849492093678089,E,146.24541641515728,E,E,E,-36.928363255588536,D,B,E,159.78900812966708,-45.059450044844056,0
Christian,Married,African American,76.51289547602822,A,87.42727960183228,D,92.88690897631868,A,C,B,36.66153336456584,D,A,D,17.596219799143547,119.21799844645513,0
Muslim,Single,White,-12.943560934804808,C,181.46969393836292,B,-26.827692496520466,D,A,D,-65.47094322355204,B,E,A,173.61377960044172,20.12603591711344,1
