sex,anos,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,target
Other,48,-141.54480056805022,113.86435985350928,E,E,C,E,C,A,B,104.47952665031754,C,C,D,D,0
Non-binary,70,198.80669615518408,-58.27654350229773,B,C,A,C,E,D,B,28.413052132526932,D,B,E,C,1
Other,66,-169.3614269734915,-88.89368544330536,C,C,D,C,E,B,C,-101.33426208999026,A,E,A,B,0
Non-binary,80,-69.05900506400317,-77.16735900934931,C,E,A,A,A,C,D,85.65466079086058,B,B,A,B,0
M,85,39.76026178210274,6.501998535647435,A,D,D,C,D,D,D,-48.70392218087177,A,B,B,A,1
Other,25,27.82027877504364,48.070618734625114,A,A,B,A,E,B,B,-37.103660084744575,B,D,C,E,0
Other,53,14.990915651113495,37.150185972928526,E,E,B,D,A,D,E,-58.38000717646038,B,A,E,C,1
Female,74,-80.17244815774998,100.45642959737533,E,C,C,A,E,B,B,-31.05605986723784,C,C,C,E,1
Other,52,-13.703111929228735,91.06868336791038,E,B,A,C,A,E,D,127.43326270440731,B,B,D,B,1
Female,80,-70.03034041155915,-4.508101613548059,E,D,E,B,E,D,C,-42.912870055169364,D,A,B,D,1
Male,61,109.86608348232201,2.2491681447687286,A,A,D,C,D,A,E,-123.68217289685084,D,C,D,E,1
Non-binary,68,-82.96113215179236,62.200176005751416,C,A,A,E,A,A,B,91.20572226577855,D,E,A,C,1
M,52,176.00727845689838,133.89265372304163,B,A,C,D,E,B,E,-109.2694014838361,C,A,B,E,0
F,37,-170.139613734952,-78.08121952250508,A,D,C,E,E,D,E,-129.619240321029,C,C,C,C,0
Non-binary,82,-60.89259919130505,53.169950803084895,B,D,C,B,D,D,E,201.16130020909887,E,A,A,E,0
Female,72,-89.77185428870965,90.38044838434529,B,B,B,D,D,B,D,11.709647702362155,B,C,B,B,0
F,83,41.749615172635366,-29.623682996254697,D,E,C,B,D,C,D,-13.94872282904135,B,C,B,C,0
M,65,87.253020039911,26.24537888348347,E,C,B,C,D,A,C,-53.84638125312253,B,A,C,A,0
Male,53,-161.59062170796702,2.3217432856741667,B,B,D,B,B,C,E,-11.921281526537273,C,B,B,D,1
Female,87,41.86077864248912,110.98410801481306,C,C,B,C,E,C,E,75.23151623528976,E,C,B,B,0
Female,50,145.23266243240138,55.03284504106581,D,B,A,C,D,E,E,32.38002829863158,D,B,B,B,1
Non-binary,95,-29.15542946224914,71.79279178216846,C,C,C,B,B,B,A,150.2272730527718,D,D,D,C,0
Non-binary,94,-36.71969615077293,-157.13588836049013,D,A,E,B,A,E,B,44.25733868340144,A,E,D,D,1
M,47,-124.81859542771004,-27.357646432082205,B,B,E,E,E,E,A,128.14069778679274,D,D,C,D,0
F,73,26.47962554057759,21.54815211185357,A,D,A,B,C,A,A,6.237658409926712,D,C,C,E,1
M,95,96.39648541977888,14.94574966292537,A,A,A,D,C,E,E,185.06453931204976,B,C,D,D,1
Female,77,40.934929365991934,77.64932718001499,E,D,A,A,D,E,D,222.32642954742406,A,A,B,C,1
Female,94,-25.327902163469947,9.11948221211726,C,E,E,C,C,B,B,-59.070670706667116,D,D,E,E,0
Other,56,-65.89655953588921,9.122919243901684,D,E,B,C,B,A,C,11.64141180336461,E,B,E,A,0
Male,69,184.5803586583575,-44.26349221336234,D,A,D,A,D,E,E,83.68828633949117,B,D,E,E,1
Other,26,107.48346816571433,141.36154979450112,D,C,C,B,C,E,A,208.84387027691074,A,E,E,A,0
Female,85,139.76926999709607,5.555944197791022,A,A,C,C,A,D,A,30.012980965387044,E,B,E,B,1
Male,65,-39.98034835040435,161.49029578454886,A,B,D,C,E,B,C,-61.05126323259296,E,B,A,B,0
F,64,-86.12762950159933,27.956380425673004,A,C,C,A,C,C,E,3.87285078947588,E,C,A,D,0
Female,25,-28.616922302428105,64.78772721680576,E,D,C,C,A,E,E,101.31518956291356,A,B,D,C,0
F,62,-161.50972573539315,28.628715294961793,C,D,D,E,B,C,C,-100.95085857395334,D,C,A,A,0
Other,99,-60.45633147342059,47.3749130929548,A,C,E,A,D,B,D,9.402835286483755,B,B,D,B,0
Female,77,-94.32047992036146,-48.23253845493095,C,A,A,D,E,B,E,-0.43882930966866246,B,A,D,C,1
Male,89,-17.92015500635947,-78.76945476482736,B,A,B,B,E,C,A,83.69554521229868,A,D,E,D,1
Female,92,-8.273778797589086,-34.124894405423575,C,A,A,D,A,E,A,174.42558876091155,C,B,A,D,0
F,60,-65.12763503145645,-154.74978040384963,C,A,C,C,D,A,C,-86.41437499060893,D,C,E,B,0
Male,51,-149.20347125291997,-212.1163368861024,B,E,A,C,A,A,A,170.47928821298407,B,E,D,E,0
Male,27,-82.07283592923096,-127.57143752770652,E,E,C,D,B,A,D,65.33682399670087,E,D,D,E,1
Male,64,-99.30509472709839,55.58935001222633,A,E,C,A,D,A,A,31.853741510192783,D,A,A,A,0
Male,37,-169.12426809213272,-226.214067406486,A,B,B,C,C,C,E,-100.69661622593733,D,B,E,D,1
Other,44,-155.9516021368645,156.7147582289209,D,A,C,B,B,D,C,-103.74943643684618,A,B,E,D,0
Male,73,17.72067462903097,12.727652013971385,E,D,B,E,E,D,C,-27.575686758210118,D,B,C,C,1
F,40,-82.77699018428376,1.2372953563244202,A,A,C,B,D,B,E,-120.76228371449453,A,A,E,B,1
Non-binary,66,-55.42126037743801,-192.57794922751415,C,C,A,C,D,B,C,-72.34349927938013,A,E,B,D,0
M,85,166.18501386187486,-100.86756756569737,D,E,D,B,D,E,E,-107.73969583876726,B,A,A,A,1
Other,98,-159.13840403590618,-166.50750181857322,D,B,D,E,D,C,D,-200.5297188024416,D,A,A,D,0
Male,96,-65.28801028606149,-59.92090635895481,E,B,C,E,A,B,A,-17.350734983568326,A,C,D,C,0
Female,46,-160.11229620458136,-36.887868367092146,A,B,A,B,D,D,D,-179.40008561208649,A,B,D,D,0
M,52,-76.63639572073185,21.26152154300121,E,C,D,A,D,C,E,87.77630920512809,A,E,C,B,1
Male,61,-165.7544694871165,20.166060125474008,D,E,D,A,B,A,E,92.33739846337201,E,E,A,E,0
Male,42,-108.72651967667315,31.912995430960038,B,A,A,B,E,C,D,-54.732624321640074,E,B,B,D,0
Female,28,49.06935173581382,62.632159312906886,E,D,B,E,D,C,A,-92.3596896312204,C,E,B,A,1
Non-binary,24,-79.83299709596943,79.66231011903314,B,D,D,B,A,D,A,-4.955748680325799,D,B,B,C,0
Female,82,-147.18071522142694,186.45019697350435,C,A,E,E,A,A,A,-30.933324898954424,A,B,A,C,1
Other,85,-34.67493321904874,90.5454456817057,D,A,A,E,C,D,B,80.42960573299364,C,C,B,C,0
Non-binary,98,-132.6824412082774,-84.94307558750684,A,E,D,D,E,E,B,-4.178395389759216,B,C,A,E,0
F,51,-69.56419331685032,-93.93819395110278,B,D,E,E,A,E,B,-173.8922220350672,C,C,C,C,1
Female,54,167.03689897859374,-85.48521953736967,C,C,E,E,E,A,A,133.40381859394085,E,B,A,B,1
Non-binary,34,-0.10066446728539517,-45.530246179564685,D,B,D,E,E,D,B,27.186649862055738,B,D,C,B,0
Female,36,60.14776236722509,-162.45842425342875,E,C,B,D,E,E,B,201.78434375858453,E,E,D,A,1
Non-binary,93,23.806292106146625,66.80326503172981,E,C,C,C,A,A,B,-4.634653295758815,A,D,E,C,0
F,93,-122.17201752926728,1.1363970392426213,A,B,E,D,E,A,E,-111.35201440855076,D,A,C,A,0
Other,73,67.84839664235048,-34.825945308063446,B,C,C,B,A,B,E,-90.11734260804589,B,D,E,D,0
Other,60,-14.533161221185786,26.520058699164238,D,C,E,E,C,B,B,-40.97571475961618,D,D,A,C,1
M,60,-152.07381943505513,6.415977181866193,B,C,A,C,B,C,D,-177.97925688833632,B,D,D,C,1
F,50,-41.92775494120921,148.6814005088697,C,B,C,E,C,A,A,59.02369009545366,B,A,A,E,0
M,44,-79.22908476109397,33.612172056698114,E,D,C,E,E,D,A,-71.87491559877525,E,D,C,C,0
M,74,126.99379906125144,-119.51852850771249,A,D,C,B,B,A,B,118.74766888754573,C,B,E,D,1
Female,95,7.535541363174551,-52.04616851828862,E,E,E,C,A,A,E,11.25621184250852,E,B,C,B,1
M,36,160.9134737653605,-181.0934539254175,B,D,D,D,B,B,B,112.75488238953835,B,D,D,D,0
M,29,-176.28119900267683,-44.19337609032796,E,C,B,C,E,A,B,-100.72118364944613,E,D,C,E,0
Male,31,-122.56256469067206,-110.64022291559137,A,A,A,E,A,D,C,164.3230027705391,E,D,E,D,1
Male,29,43.23516417889949,5.788995703952367,A,D,E,B,D,A,C,5.188967617959244,D,B,E,D,0
Female,62,94.90286304681771,-39.79046414952436,C,E,C,B,A,C,C,32.355932779260435,A,E,D,E,0
M,48,12.1489196929018,-36.80107231439902,B,A,E,B,D,B,C,-90.33771080536623,E,D,D,A,1
Male,91,27.72763427606734,52.911698449785874,D,B,B,C,C,C,E,94.92133136713845,D,E,C,D,0
Female,49,-103.98656533954407,180.11754730520892,B,A,D,E,E,C,A,22.714481122906996,A,E,D,C,1
Non-binary,79,-62.43996052972014,-113.46107400010004,B,A,D,E,E,E,D,59.159349155482644,C,C,B,C,1
Other,26,78.4718127930838,-71.98788649753641,C,D,B,C,C,B,A,-49.20842705412587,A,D,B,B,0
Non-binary,86,-79.88095496878529,86.05533943788356,A,A,E,E,A,D,E,105.5300971612253,A,C,E,D,1
Non-binary,73,-25.479091992289852,-113.19794149204047,D,D,B,E,E,D,B,-154.39545483743075,C,D,C,E,0
Non-binary,74,-76.34842271539345,31.40387170296081,A,C,C,C,E,E,A,-230.6506109407477,D,A,B,C,0
Male,35,-16.3785321588901,43.692028033503796,C,A,E,D,A,D,A,6.508504888450209,C,C,A,C,1
Non-binary,66,-26.11130481294038,111.13602917190559,D,E,E,B,A,B,E,-71.0430429787294,C,E,C,C,0
Non-binary,76,-39.82775530860365,16.825070225928147,B,C,D,C,B,B,B,-72.38814829963952,A,E,C,A,1
Non-binary,76,-115.00238310760655,-135.34811141214743,A,B,E,B,B,A,C,-55.86223724904444,D,A,B,D,1
Male,73,-69.60771843542244,117.04145703412433,B,D,B,E,A,A,A,34.36622388774485,D,E,E,A,1
Non-binary,84,29.313734154842518,-17.118778882967167,A,B,E,B,C,B,B,15.263764059829871,D,B,B,D,1
Female,70,-169.47313816058434,40.01881060847906,B,A,A,E,E,D,A,8.462092608522925,A,E,D,E,1
Other,19,-0.6908886375422183,58.81344523490814,C,B,C,D,A,B,E,14.976781849557918,C,B,B,E,1
Male,52,12.634350196354116,-197.45083247263585,B,E,A,E,A,C,E,-67.23258350585687,D,A,E,E,1
F,49,110.66601738921923,23.3964459151763,A,B,D,D,C,E,E,78.03716324363967,C,D,D,C,0
M,28,116.57097956230488,122.46345198050044,C,E,E,E,C,C,C,-103.36722977508597,E,B,A,C,1
Non-binary,39,-48.08226692812186,-51.20989030770933,C,E,D,C,E,D,D,76.36592211484589,B,E,E,C,1
F,50,-23.433970800476807,11.588079336594106,A,E,A,A,B,A,A,-23.582973553021386,D,B,D,A,1
F,32,-50.211375291707306,-63.07063130008681,C,A,E,E,E,A,C,43.7734629427474,D,C,E,A,1
Other,98,24.976118136631992,18.630860651308986,A,B,B,A,C,B,A,-22.867501450043115,E,B,B,A,0
Female,89,-44.02292073372087,168.08515307721464,A,B,A,B,C,B,C,-111.85456233422512,B,E,B,C,1
M,57,-102.73574994408672,33.59210106469399,E,D,A,A,C,B,B,-102.6360400989259,B,B,B,C,1
Non-binary,24,246.5595172847183,-30.187751129230566,D,C,C,D,B,A,E,-2.4662035670342695,A,D,D,E,0
Other,35,-15.268747712416603,25.99758897836921,B,E,A,E,D,A,B,36.6621650182573,A,A,C,C,0
M,65,-173.64142639448707,-82.56368599800541,B,B,C,E,D,C,E,68.12595354034836,A,D,D,C,1
Other,64,10.256349079593091,-88.00690995957366,A,D,E,A,E,E,B,-61.77173114874262,E,A,B,D,0
Female,48,83.92309078412917,-94.39138556481117,E,D,A,B,C,B,A,-55.86309438979827,D,A,B,E,0
Other,75,-9.622648238704146,112.71731480243065,B,D,D,C,B,E,D,78.53928986953957,B,D,A,D,0
Other,70,144.4883599487773,-10.705165505364834,D,B,E,E,C,B,D,-166.1818499731026,C,E,E,C,0
Male,88,-156.06110631044524,82.24712459075099,E,D,B,A,D,B,C,-13.860802683902815,E,C,C,E,1
Non-binary,22,133.28060601308266,53.27142941129488,B,D,B,D,C,D,D,85.32321734196739,C,B,E,B,1
Female,97,4.105609906861461,19.86244177459821,E,E,A,B,D,A,B,5.131212301524981,D,C,C,D,0
M,87,50.61494289050368,-27.013274191134883,A,E,D,A,D,E,A,84.748393657928,A,D,B,D,1
M,61,58.56004026236389,-51.212032498965854,A,B,B,A,A,E,C,-4.605224301314494,A,D,E,E,0
Non-binary,24,99.20098224742642,80.17682906126092,D,E,B,C,D,E,B,-21.50069384451397,A,E,C,B,0
Non-binary,30,37.516656731020156,-40.63300794231085,E,B,C,A,E,E,A,65.60879774418378,B,D,A,A,1
Non-binary,69,-53.962976997646095,137.48649607183717,B,E,C,A,D,C,B,80.29512966898764,E,A,B,A,1
Female,18,-85.4142771381463,-5.564345380257499,E,E,E,D,E,D,B,97.45775042609125,D,B,C,D,0
F,90,105.84819046480152,-137.21024053545733,A,B,C,C,D,D,D,33.41889983185925,C,E,D,E,0
Female,40,-16.99610526474382,107.29845463095012,A,E,A,A,D,A,D,-0.2774762291635772,D,D,B,A,1
Female,19,155.56763286429026,-26.15638591597308,A,A,B,B,C,A,C,-160.68216371261056,E,E,A,A,1
Male,78,-27.863229523667492,-113.99416908422184,C,D,D,D,A,A,E,-44.662906517646036,C,A,B,D,1
Non-binary,85,44.47895363919546,3.981839924544998,C,C,C,B,C,E,A,24.721656166450664,E,C,C,C,0
Non-binary,74,-27.510211630712107,31.088048631558507,A,C,D,E,D,B,C,-1.314691086152402,E,D,B,B,0
Female,84,-195.5567423656688,111.16493302850046,C,E,D,E,D,C,D,71.10608082341857,E,D,A,E,0
Female,47,-171.3877266286819,90.47447733466582,A,A,B,E,C,C,E,-58.94960566735335,C,B,B,A,1
Male,30,-140.4230416308295,-34.10716246180799,B,A,A,D,B,B,E,71.09075838096973,B,D,D,E,0
Non-binary,59,-179.69596465441694,143.36954289236274,D,A,D,E,B,A,D,-146.79157162346675,A,A,B,D,0
M,88,-80.93004753951551,85.70277041008755,B,E,C,E,E,A,B,-129.8461320055381,B,B,D,A,0
Male,50,-43.478436574657906,114.56782794098321,D,A,A,A,C,A,A,-184.72448317422197,B,E,A,E,0
Other,97,14.581800315026683,33.564601122240816,D,A,C,C,D,D,C,110.22240610656695,A,C,C,C,1
F,61,21.411102387018715,186.83391665684732,D,B,E,D,D,D,E,132.80566384848876,D,A,A,C,1
Non-binary,22,-83.44801969876173,-7.458110603563775,D,A,C,B,B,C,C,-113.16337527311104,B,C,A,E,1
Female,83,132.23863753895105,2.6368278554848144,C,C,D,A,E,B,A,-43.432724339178186,D,C,C,B,1
Female,33,35.86087801923832,-296.68630011615403,C,C,E,E,A,E,A,26.46372681376828,E,C,B,B,1
Female,59,104.30418686552561,-90.37586443556552,A,E,D,D,E,D,E,-14.306520024575201,C,B,C,B,1
F,96,-24.86520800429408,-110.9692675614473,B,B,B,A,D,A,D,-86.97116327411658,E,D,A,E,1
Male,86,-119.39351928923661,23.67893963590069,C,C,E,E,C,D,C,13.98489769266035,D,B,A,C,0
Non-binary,80,26.879867310976785,-130.096914582221,D,E,C,E,D,A,A,73.75744631313341,E,D,B,D,0
M,50,12.377688451832631,52.671085338221545,B,B,E,C,D,E,C,3.976732369999502,B,B,C,C,0
M,86,33.44193024802725,157.841291880848,E,D,E,C,B,B,D,31.236403255779642,A,B,D,C,0
F,37,70.3522220005269,-57.082964100408574,A,B,A,B,B,E,B,21.488451966597204,A,B,C,D,0
F,45,-20.24363467000385,93.53494721387906,C,E,E,B,E,B,A,74.56726656113247,D,C,B,A,0
Other,21,-3.4060507927524575,-101.77212268124774,B,C,E,D,B,D,A,44.10768938607207,B,C,C,E,0
Male,85,-122.95994227639294,-104.41205837537943,E,E,B,B,A,E,E,-108.7817873116935,A,A,E,B,0
Other,78,-134.92017142832924,-24.008915588032075,E,E,B,B,D,C,B,117.81330475744069,E,E,D,B,1
Other,34,89.118280073999,190.7166412814147,B,B,D,A,D,D,D,-189.77959768750344,A,B,B,E,0
F,47,-72.00443249727729,44.337262935326166,A,C,C,E,C,C,D,77.20463546274152,C,D,C,A,0
Other,82,18.84190968268865,9.266386373084709,C,E,C,A,D,B,D,163.48714449383658,A,D,D,E,1
Male,48,-98.724555626284,-7.569879086858203,C,B,B,E,E,C,D,102.65069965050859,A,E,C,B,0
Female,86,91.217188900334,57.02548157192,E,C,B,B,E,E,B,-8.434878523011506,C,E,B,A,0
F,63,-17.7441991279463,-165.75693101296287,C,E,B,A,E,A,C,41.86120813115013,D,A,E,D,0
Male,65,-133.5790425847988,240.93608305567997,C,E,A,E,E,E,D,-72.46975590275179,E,B,A,D,1
Female,40,4.34175893990259,-116.79421622284838,B,A,E,C,E,A,A,14.025460620650948,C,D,C,B,0
Non-binary,39,-4.3489349049146515,210.18634149262022,E,E,B,A,D,B,A,-116.36287218652268,B,E,B,E,1
Non-binary,80,165.19696242728028,48.11438854559894,C,B,C,A,A,C,B,-63.39632536527301,E,A,E,A,0
Female,24,34.8817618027306,-50.05091165620739,B,D,A,D,C,C,A,166.71319807747506,A,C,C,C,0
Non-binary,56,-106.99326206257346,-88.20278670179584,B,B,E,E,C,C,C,115.82161386115067,C,E,B,B,1
Male,18,-57.40944696764259,-64.61738017497586,E,A,B,D,C,B,B,172.04571884095637,A,A,A,D,0
Male,91,34.296763999209546,200.3864646350674,E,E,C,E,D,E,E,-150.24398319125692,C,C,A,B,0
Male,46,19.79562261809978,107.76196459778787,D,B,C,B,C,E,D,-4.7046149396711705,D,B,B,A,1
Male,81,-91.84631826091973,59.38870263642342,E,E,D,D,D,E,B,-91.72299277541343,D,C,B,D,1
Female,62,-72.80696414404659,209.31414558501635,B,B,D,E,A,D,A,-89.62991805320212,B,D,B,E,1
F,85,-13.428303674618537,-92.92819964544528,B,A,D,D,B,A,E,18.351800126626337,B,A,E,C,0
Other,65,-65.482499031199,170.5018248565407,E,C,B,C,B,B,D,77.40403555045182,D,C,E,B,0
Non-binary,39,-108.21922090992882,-106.26118047590015,D,E,E,D,C,E,C,122.80121510779034,D,B,E,D,1
Other,89,-74.97299097889673,72.57582311605036,C,C,C,C,B,B,D,-44.19489344073724,B,D,C,C,0
Male,77,36.880271008444375,-18.74824265181995,B,B,A,D,D,D,E,-8.380174109713598,B,E,C,C,1
M,88,-289.5412408631011,-37.78841453543633,D,C,A,A,D,A,A,65.79326811896281,E,B,C,C,1
F,80,-159.82887087822633,38.547087424931874,E,D,D,E,D,E,D,6.780129721480627,C,E,D,A,1
Other,60,-139.93858468668304,37.80661683564466,D,C,B,A,A,D,E,63.121120308081345,E,E,A,C,1
Non-binary,24,-243.96141889416145,125.99856735651815,C,B,D,E,A,C,E,1.8710967113756891,D,B,E,D,0
F,70,-34.30827676099517,55.171126963258544,B,E,D,C,C,A,A,115.507706013178,D,C,B,B,0
Male,95,70.00807351896482,184.53638279438906,B,D,C,B,C,A,E,-138.6115636921781,B,A,C,B,1
Male,63,70.48845267325137,109.42229649248094,E,D,E,E,D,C,D,21.729612109097534,D,E,A,C,0
M,76,-145.52184771500413,24.978522158964044,C,A,E,A,A,A,B,-18.694579135176927,A,E,B,E,1
Female,76,-110.95614274508546,-201.10868738106532,D,D,E,D,B,D,C,-256.3152735968097,D,D,C,E,1
Other,71,79.06129201489318,-44.14650501747166,A,C,A,C,B,D,B,-196.15895098677117,E,A,A,E,0
F,63,215.4924062612042,-41.53691978852965,C,B,C,E,E,B,C,-94.50179496782316,D,E,D,D,0
Non-binary,39,-52.90703988931972,107.279138147956,A,D,B,E,B,D,B,-86.3240333522235,D,E,B,E,1
Female,98,-83.50974856646675,167.98560130603494,C,E,B,D,A,E,C,-29.968608409545393,C,B,E,A,0
Male,83,-67.70336848830321,-98.76020852221316,C,A,A,D,D,B,D,-17.91274595374762,B,D,B,A,0
Female,63,-150.13855188861697,52.030405740848394,D,E,E,E,C,C,E,-92.41407688277432,A,C,B,B,1
F,32,98.94349997689311,-30.113833476276557,C,E,B,C,D,E,C,34.26958392083281,C,A,C,E,1
Non-binary,45,116.75145875125853,233.21680439397943,E,A,E,C,B,E,A,-37.75389609887184,D,D,A,C,1
M,37,-27.01819203072018,-75.5136619476467,D,D,C,D,D,A,C,60.53285032030631,C,C,A,D,1
Male,60,-118.09740456266047,-37.248757713767674,D,C,D,C,A,D,C,27.828337423522214,B,B,E,E,0
Non-binary,34,-4.674354889216851,8.974377129330335,D,A,E,E,D,C,B,-8.386373465574012,E,A,D,B,1
Male,61,-20.189840590854672,-225.60809232562758,A,A,E,C,D,A,C,12.713252940224423,B,E,E,A,1
Female,78,-111.50930553660984,20.876398310315075,E,D,B,A,E,B,B,9.997657957748029,B,B,B,A,0
Non-binary,73,114.99787502120414,92.48525886268361,B,A,E,E,C,E,A,-142.5008466176222,D,E,B,E,0
Male,22,52.48055913225633,-20.303732457804223,E,C,E,A,D,A,D,19.04208538520709,B,C,E,C,1
Female,75,-5.89203331348699,-15.756346090115564,B,D,A,D,E,E,B,23.47359288613845,D,A,A,A,0
Other,52,-3.937199229436502,-29.84531912963514,E,A,A,E,A,A,B,45.60082884702171,B,A,A,D,1
Other,47,53.51954050087397,0.9584921312865378,A,B,C,B,E,B,A,196.39767403990493,D,D,D,A,0
Female,67,146.02864427738908,320.2538665743868,E,E,B,D,C,E,A,-67.42700213360257,C,E,D,B,0
F,55,92.27021693323896,-116.18487279148351,D,B,D,A,A,D,A,3.181738478724852,E,C,E,C,0
Other,36,-46.907215746735716,170.46645058874734,E,A,C,C,E,C,D,20.008496299572563,A,D,C,E,0
M,55,91.54304365632805,20.054016330925712,B,E,D,D,C,C,A,40.248887377918166,E,A,C,B,0
F,86,39.56622352660552,-58.790379571305174,E,E,D,C,B,D,B,60.02328243508519,B,C,E,A,1
Other,19,-88.7626806477989,5.433981732705375,C,B,E,E,D,E,C,-52.866710089649715,C,A,A,E,1
Non-binary,53,92.59122714977183,98.84857814114126,D,E,D,A,A,E,D,-89.9705361870754,A,B,B,A,1
Non-binary,72,110.67433130496285,-69.02531717190973,C,E,B,D,D,B,A,107.14974856131829,D,D,D,B,1
M,31,1.2150851208986915,59.080778042052785,B,B,B,E,C,B,D,116.72488978669386,A,D,C,B,1
F,90,12.518337225391935,115.34747117608086,E,B,E,C,A,E,A,-41.35055666180577,D,A,A,B,1
M,43,96.92540088324303,-97.82229828774733,D,A,A,C,A,E,C,85.00570139291568,E,C,D,B,1
M,86,-103.08001417942285,-242.22396742767765,B,C,A,A,C,D,A,22.087849852970567,C,D,E,C,1
Female,35,-43.67372948988752,-88.7601389156594,A,C,A,A,B,B,B,-16.718078830016466,E,E,A,D,1
Non-binary,88,7.599235464109816,-8.070585175339616,E,C,C,D,B,B,A,-149.96170393556613,A,E,E,E,1
Female,86,-140.84586869803718,36.86711997918368,C,B,A,E,D,D,A,-136.3546141732309,E,B,A,C,0
Non-binary,39,96.95516688523868,78.94096949403033,C,A,D,C,B,C,C,-66.39475084829878,B,B,C,A,1
M,51,-42.01932274588417,-184.8405152499243,D,E,E,B,B,E,B,-80.83421779438103,C,E,C,E,1
Female,31,1.9771563348307344,156.75898566670892,E,E,C,A,C,A,A,-87.7039749327546,E,E,B,E,0
M,70,-192.64811874383227,84.24370884492373,E,D,D,A,C,A,B,159.50270795429432,D,D,A,A,0
Other,59,159.2046812921108,128.99139244708817,E,C,B,B,B,B,C,-66.32074867446744,B,D,B,D,1
Other,56,83.63693144439891,-20.958833181776477,B,D,D,D,E,E,D,106.05253051886372,D,C,E,E,1
Female,69,-47.15464036900928,-79.70898154140109,C,D,A,A,E,A,C,21.149056492506798,D,D,B,A,1
Female,33,-56.616154601258884,-215.95162237164817,A,E,A,D,A,C,B,68.05996421188345,C,A,C,D,1
F,53,128.35481844548414,-198.02122127661025,E,C,D,B,B,C,C,65.19966945804399,A,E,C,D,0
M,37,29.40392084116994,-65.89659606010132,D,D,A,A,B,E,A,17.606638066645164,B,D,C,E,1
Female,79,53.121097955255635,-191.63127808367625,E,C,D,B,B,E,C,-50.506060414311946,E,B,C,A,1
Female,49,83.07543604224604,65.11598897396513,E,E,B,D,A,C,E,-15.52588903242096,B,B,A,A,1
M,28,-93.17039297804189,-36.87305543833892,E,C,B,B,A,D,B,36.134883455983655,B,A,D,D,0
Other,70,-75.95141483129942,9.029594830492947,B,D,A,D,D,B,E,35.02724034299513,E,B,D,C,0
F,84,45.99660712492025,-60.602570372074446,B,D,D,D,C,B,D,-160.54457857396778,D,B,C,E,0
Non-binary,57,81.16372767752364,6.713975718432661,C,D,B,A,A,A,C,169.45514217383447,D,D,A,A,0
Male,86,-98.91380806989531,24.42288689957429,C,C,D,A,A,B,B,-14.32542409924503,B,A,E,C,0
Female,37,69.61522202197175,-22.379647080804393,C,D,D,A,B,A,B,-149.38635402804817,B,C,D,A,1
Female,54,125.4473481624993,-35.76015237243701,A,A,D,D,D,B,D,-88.25128537981846,D,B,E,C,0
Other,84,63.756354374513144,-15.821647290828663,C,D,E,D,B,D,B,20.87988309382093,D,E,D,C,1
F,51,-38.98691031998799,59.047893121888215,D,D,C,D,D,E,E,106.38913228449557,E,C,A,A,1
F,50,33.821998098194655,1.8540272563699653,C,C,B,A,D,A,A,-94.6942819454966,D,C,E,D,1
M,81,44.88573757120368,13.169650893631054,A,C,A,B,E,B,C,-115.94445706812269,E,C,B,E,0
Non-binary,22,-201.58569450673994,6.4943895544110575,D,C,D,A,E,C,A,10.815111421594105,E,D,A,B,1
F,47,64.93964314005053,30.017649150552412,C,B,E,D,D,B,B,-18.374985570033324,D,A,D,E,1
M,72,19.694443622160346,-90.20048823550127,B,E,B,E,E,C,A,-231.91763704512192,D,A,C,C,0
Male,22,237.58476526238695,-10.673087662212914,D,E,B,C,E,E,A,-18.567334214335563,C,C,B,B,1
F,21,35.20878874372208,-8.582919601744857,A,D,C,E,D,A,E,20.91388714569623,E,E,C,D,1
Male,60,55.9727599398679,80.61153494604048,A,A,D,B,D,A,B,-13.637063080624563,B,D,B,A,0
Male,45,202.16424917021203,-37.91159836050357,E,B,B,C,B,A,E,73.28118239418922,B,A,B,C,1
Female,37,142.64738776561106,2.619089245823577,D,A,D,E,B,C,D,40.637021629016495,D,A,C,C,0
M,58,19.56857374955174,-166.3984443359245,B,B,E,B,E,E,C,226.15175900008757,D,C,C,B,0
M,62,14.207387078900641,104.37593695726908,E,E,C,A,C,B,B,-19.55426537327658,A,A,A,D,0
Non-binary,20,-24.249003569247584,103.46091977644211,E,B,D,D,B,A,C,-141.6550388164774,C,E,D,B,1
F,47,62.959170960849285,-77.68850525999468,D,C,B,D,B,E,B,32.785908330102345,E,E,A,B,0
M,56,-92.25312678073612,35.90313398312656,D,A,B,D,A,E,D,92.1699170236538,A,D,D,B,0
M,53,-88.30242143029572,-62.41229337369892,E,D,D,D,B,A,D,70.47793860381766,D,C,C,E,1
Female,37,-122.52836175950863,-114.44031176658447,E,C,A,D,A,B,C,51.17752626253053,B,C,A,E,1
Female,80,34.02826369183267,6.616779042130276,E,E,E,D,E,E,D,-30.339178982606047,D,D,D,A,0
Male,69,101.06478821834668,-205.85722991592678,A,D,C,E,D,A,A,19.489673050263146,E,B,C,A,1
M,71,14.229336249336324,149.57969213724485,E,C,A,C,A,D,B,-9.193723323238896,C,D,E,C,0
Female,56,46.324204365437296,163.5547657966132,C,B,A,D,A,C,E,-133.6948260319164,D,A,A,C,0
