age_range,marital_status,disabled,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,target
18-25,Single,Mental,159.66020521883198,A,A,B,C,-8.154702207724993,E,E,C,E,E,A,B,-163.87703844323156,-171.18684884143454,1
18-25,Single,None,138.24904048724122,E,A,C,C,-81.10548851227851,A,D,D,C,E,E,A,-118.41256197895574,133.0603997531506,1
65+,Widowed,Mental,201.5488255739756,B,B,B,D,-82.43767522254979,A,E,A,E,D,A,C,-281.2616435430085,74.42045776853256,1
51-65,Married,None,-51.748979894235504,D,D,C,D,-42.132070872885585,D,B,C,E,D,E,C,70.03721674195089,7.661234178242406,1
65+,Widowed,None,13.567837179027045,C,C,D,E,10.731888540334996,E,D,B,A,C,D,B,78.30080271917079,-21.98601012368727,0
26-35,Divorced,Mental,-19.481191116737115,C,E,D,A,-20.694747753231223,C,C,E,E,E,A,A,243.91567576815035,62.959301676515324,0
51-65,Single,Mental,-118.67876832141052,C,E,E,E,-100.32473879537882,B,A,C,D,C,D,E,-50.86075300766875,-188.92688966875488,1
26-35,Married,No,60.932382801186094,A,E,A,D,-4.514763958994549,E,B,E,E,A,A,D,-31.39716334442484,126.51568496280974,1
18-25,Married,None,-8.966114041739024,A,C,A,A,14.153318185320579,B,B,B,A,B,A,E,37.847626232804586,6.236521312571941,0
36-50,Divorced,Both,133.31250253942991,B,C,C,C,54.9640973902636,C,C,D,C,C,A,B,-122.0987415240401,54.5681172002096,0
18-25,Married,Mental,-54.583381997104,B,C,D,B,-37.84110845065539,A,E,D,E,B,B,A,37.36147244987745,-91.59202659222375,1
65+,Widowed,None,-136.4713699287865,E,B,D,A,-78.05069548457053,A,B,E,D,D,A,E,-6.410579925463672,7.2866085801686795,1
18-25,Married,Mental,-173.10568023517476,A,E,D,B,40.46202664460032,D,A,E,E,A,A,C,-137.34666051223786,-113.44488795771785,1
36-50,Widowed,None,-65.4281905004111,C,A,E,A,-13.910493812983294,A,C,A,E,E,D,C,153.60222737894392,-60.47908754129095,1
18-25,Married,Both,2.9231127013165836,A,C,A,E,-70.69210894722131,E,E,D,A,C,D,A,-107.53084920349256,44.65400730902418,0
51-65,Divorced,Mental,41.75513406903887,A,A,A,E,-89.94220672894228,D,B,D,A,B,C,A,86.6076412584567,-55.09853481916799,1
51-65,Married,Yes,-43.02171646350094,B,E,A,C,1.4788401244909,C,C,B,A,D,A,B,53.63104440945124,7.883906886595938,0
18-25,Widowed,No,-47.75054011346379,A,A,C,D,-9.229209652758128,E,A,A,B,B,C,E,-141.26685426010107,23.213473555065974,0
51-65,Married,Physical,135.62634879753062,C,B,D,C,-127.73168330932958,A,C,B,A,B,A,D,125.20025019570788,12.092598508003666,1
18-25,Married,Yes,32.875901354271484,E,E,E,E,160.52503804878575,C,C,C,E,D,E,C,43.00433350615337,-100.8399718641405,1
18-25,Single,Mental,-29.299906497034357,E,E,D,C,-57.0631972548967,C,D,A,D,E,B,E,76.4142427120235,-17.824424498915295,0
36-50,Divorced,None,44.50181370372173,B,A,D,A,147.4668909164501,E,D,D,C,E,D,D,85.36531503726195,-120.40905626053396,0
65+,Married,None,-234.99842063619886,D,A,D,B,47.222312045886184,E,B,E,C,C,B,A,50.86286280592462,-129.62746127942484,0
18-25,Single,None,-39.45030450057174,B,E,E,A,-95.02830610700428,B,A,D,C,D,E,C,5.97494779801571,-92.6211624245234,0
26-35,Widowed,Physical,187.22147021904718,B,B,A,B,0.633175070599182,A,B,C,A,C,C,B,-34.88296875754991,95.7254117372421,0
51-65,Widowed,No,-73.48721154343684,E,B,E,D,21.59749223520168,E,B,C,D,C,A,C,114.64268691358464,18.860671504255727,0
51-65,Married,None,-40.75862329994094,A,E,B,E,114.85140281762709,E,A,D,E,A,B,E,-195.7982343386827,-41.149457281076074,0
18-25,Single,Mental,-122.67060788624664,B,E,D,A,80.91957059526783,B,C,C,B,D,E,D,160.20806172617813,-7.553703312749057,0
36-50,Divorced,Yes,184.28623296775163,B,D,D,E,-25.92488268058023,D,C,B,D,D,E,D,25.557394787238863,-87.57168003580456,0
18-25,Widowed,Both,107.14880127122932,E,D,A,A,58.319828458981085,B,D,E,E,E,B,C,165.17492640846453,54.0625637291904,0
51-65,Divorced,Both,65.45607264801211,A,C,C,E,76.81768230673161,C,B,E,C,A,C,B,33.44448659179441,-179.68867866863843,1
26-35,Single,Physical,38.58570847859538,C,A,C,C,121.65067442232412,D,E,B,D,E,A,C,142.1331371636672,-74.55846773505819,1
26-35,Divorced,Both,-82.95470892777399,E,A,C,E,103.99496136897764,C,E,E,A,B,E,E,49.85851676027185,-13.3278934347699,1
65+,Single,Yes,16.78449900987999,A,A,A,B,-91.23459844870895,D,A,A,D,A,E,A,73.49654119616024,296.7471154951246,0
26-35,Married,Physical,-50.128737473817594,E,A,B,C,119.9853510576857,D,E,A,A,A,C,D,-98.54753719197853,68.68024666000741,1
26-35,Widowed,None,24.91290767937597,D,C,B,D,47.54982543715155,C,E,C,E,B,B,B,-159.96188962391096,-16.018389822586197,0
65+,Widowed,Both,-31.93492950689786,A,D,C,E,-109.39465392499083,E,A,C,A,E,D,D,-68.2347576462518,86.55333025360504,1
51-65,Divorced,Both,114.01926315785609,B,B,E,B,83.80486016450655,B,D,B,B,A,B,C,-74.20823220760468,-37.13484856679047,1
18-25,Married,No,128.76373818266777,B,D,C,C,12.667275118502912,D,B,D,D,A,A,E,80.66803914961808,-43.11989053278565,1
51-65,Divorced,Both,70.43156699065814,E,E,B,C,-50.45894375710036,A,C,A,B,A,C,C,53.15121951577911,-12.038329765164733,1
65+,Divorced,Yes,83.34564856291146,C,A,E,A,88.5027706910848,C,E,B,A,E,B,D,2.491509328538649,-63.44153752821655,0
65+,Married,None,201.65344967680602,C,D,C,D,-36.40856001522978,C,A,D,B,A,D,A,19.55455404902593,-70.33195758978428,1
36-50,Widowed,No,-63.01430197269278,A,A,B,A,-14.747209882795428,C,C,C,E,A,B,A,-89.73259533201534,-39.12289189797222,1
26-35,Single,Yes,-165.97460785905497,C,E,A,E,56.83389232968874,B,C,E,B,E,E,D,-98.0407807619188,217.93442538641403,1
65+,Married,Physical,28.026631625617775,E,C,C,B,-42.01098117783923,E,D,D,D,A,C,B,-203.29604801423474,-57.225133684681715,1
65+,Married,None,-86.79228240309115,B,A,E,A,-73.6341101194727,C,B,C,B,A,C,E,20.66528003272932,-126.87253747981863,1
36-50,Married,Both,159.80544527261938,E,B,D,E,-43.501539482328575,C,B,C,A,D,C,C,-145.7439182529843,132.99184285352348,1
36-50,Divorced,No,-151.39827268857,C,C,E,B,-66.85563786577411,C,C,A,E,C,B,D,-36.02441899452818,120.16646753014058,0
51-65,Married,Yes,-100.76156541470358,D,C,E,E,-72.1230103348979,A,E,C,D,A,D,D,6.179542303955145,64.97539867858914,1
51-65,Divorced,None,35.56122294847797,E,A,C,C,-58.75666015469315,D,C,C,E,E,B,C,-9.722335246199354,-17.067469599134917,0
26-35,Widowed,Both,-10.053043527620813,E,A,A,A,75.12866937543635,B,D,E,B,D,B,C,-69.73474213957229,233.39759873902946,0
18-25,Divorced,Physical,191.41593173142502,B,E,B,E,85.673221221193,C,E,B,C,B,B,B,-80.43787835849199,68.05116969705726,1
26-35,Divorced,No,-10.25375407132884,E,B,B,C,-40.13180243982917,A,E,B,A,A,C,D,-236.42975124331187,-56.07582292041863,1
26-35,Single,Yes,102.41078076557291,E,C,A,D,160.58650350537428,E,E,B,E,C,A,B,-46.669623473633294,-39.4461150293102,1
18-25,Divorced,None,-2.3847949236773287,B,B,D,E,70.2818496473013,A,E,A,D,D,A,C,22.206930517685908,-84.99157253644758,1
18-25,Married,No,47.632824027363604,A,B,E,A,6.524727342693856,D,D,E,E,E,C,E,26.15935995166861,-93.52309780836157,1
36-50,Married,No,233.03212736660748,A,B,A,B,91.95251538338447,B,C,B,D,D,C,D,-48.333671397927574,49.44328177329215,1
36-50,Divorced,Physical,53.13094611527366,E,B,E,B,44.484995170325156,C,D,B,E,B,B,D,153.8982200109899,59.05653133496703,1
51-65,Widowed,No,-57.45292578130686,C,C,B,D,-34.48649169930667,B,B,A,D,A,D,C,62.389076999981185,-29.634860834107833,0
36-50,Divorced,None,3.1654649008969846,D,B,D,B,-105.00282304189612,C,C,C,E,C,D,C,-53.73088091710013,103.2231543558581,0
36-50,Widowed,Physical,-1.300029881338706,B,A,C,E,4.570001576392683,D,A,C,A,E,A,D,-165.0964808075715,202.48517368264368,1
26-35,Widowed,Both,-24.41306638525783,D,D,B,C,-42.93217503077939,A,A,E,C,D,E,C,128.11208510555363,17.11316790742525,1
26-35,Single,Physical,125.02684841047302,B,D,B,D,-129.49753224727004,C,D,B,C,E,B,D,-141.28412493175725,-97.93983908955109,1
65+,Married,Physical,169.58185277798947,C,E,A,C,214.28181399319587,A,D,C,A,D,D,E,-2.8095963728121767,72.56815485559935,1
26-35,Widowed,None,159.2422754933961,A,B,C,A,-19.567410379190015,A,B,C,E,D,C,A,-89.93328757923744,1.4632912105685372,0
51-65,Single,Mental,-22.869993381839304,B,A,E,D,163.5934566464386,E,C,D,E,B,B,C,24.206975570378518,-11.82748573382347,1
51-65,Divorced,Mental,60.52798234266014,B,E,C,A,-132.87523242449112,C,B,A,D,E,C,C,112.37893764309754,94.1665311364148,1
51-65,Single,Mental,70.7143541405316,A,A,A,D,-12.439808508730408,A,A,D,D,E,D,E,48.54355406888163,-68.2670219938008,1
65+,Widowed,Mental,115.19070222011001,B,C,C,A,-114.60019760599135,C,C,D,B,C,E,D,-139.4133138776612,-88.76069316220568,0
26-35,Married,Physical,50.64403004335759,E,B,C,B,-148.70385511750356,B,A,A,A,C,A,A,-25.1265150864195,9.8479315779104,0
36-50,Divorced,Yes,33.567873276013195,C,C,B,A,-41.60411821006459,E,B,C,A,B,A,B,-8.350536777772287,31.585807875442214,0
65+,Married,Mental,124.63037778718589,C,B,C,B,22.719702044837334,B,C,D,A,E,E,B,-32.379040929092994,209.51280163881,0
36-50,Widowed,None,-93.1815991878584,B,B,E,A,45.512553199439424,C,B,B,A,D,D,E,-2.975348035856799,165.88419493668047,1
26-35,Married,Mental,100.12580149043984,A,C,E,B,-28.48509375539095,A,A,E,D,A,C,B,61.555676786530945,100.01911921656156,0
26-35,Single,No,-85.0609005383847,A,D,D,D,42.40382127036317,C,B,E,C,C,D,C,56.112232158608,-247.15057693988408,1
65+,Divorced,Yes,-145.2430812264337,A,E,D,D,178.1285796020288,E,E,A,A,C,B,E,-102.28432663424762,30.510054979618427,1
18-25,Widowed,None,165.02374921923413,A,C,E,A,109.09178734748298,D,E,C,E,B,A,B,22.994029724671854,136.08242339337292,0
26-35,Married,Both,-32.76072777144468,B,A,E,C,71.07615470099434,A,A,E,C,D,E,C,118.5842852994601,-124.04636702827993,1
36-50,Single,Yes,-86.09133606020002,B,A,A,A,42.788330623025296,D,B,C,E,D,E,A,-11.971612243839806,104.61819441803459,0
51-65,Married,Both,-133.5061423336001,E,D,D,B,-53.55763285806773,A,B,E,C,D,D,E,-93.62931227769498,-127.3383480791378,0
18-25,Single,Both,-187.07637447825036,B,A,D,A,120.15832895968914,C,C,B,C,B,D,B,-62.166747062593416,43.33943904809775,0
36-50,Widowed,Physical,13.395389102637159,E,C,C,C,-70.86045973817508,D,E,E,C,E,E,D,76.0646957953038,130.95943326318428,0
51-65,Single,Mental,-83.70490798130955,D,A,E,C,-16.10286961283761,A,A,C,B,C,A,E,65.5736420203551,-260.1493361323399,1
26-35,Single,Mental,-7.907548221652982,C,E,D,B,9.284538607259842,C,C,E,C,B,E,C,-71.1910323288367,29.050887044508432,0
51-65,Married,Mental,-108.81509399712317,D,D,C,C,46.47119604015432,A,A,D,C,D,A,A,-96.26707033194,205.28712285866658,0
51-65,Married,Both,-82.97271991588161,A,D,B,D,81.15844645820432,B,E,E,A,C,A,E,-206.44220685706136,-43.11514289467407,0
36-50,Single,No,99.01984215785497,D,D,C,A,-136.7208802787159,D,E,D,D,C,C,E,-95.58776966683152,16.549077514996654,0
65+,Divorced,Mental,-77.96867994510501,B,D,A,E,47.374509523873904,D,C,E,D,C,C,E,54.01266475832771,137.42481264726896,0
65+,Married,Mental,129.64406161806238,B,C,E,A,-36.49573802309731,D,B,A,C,E,E,B,-30.16894141856691,-77.1980844860617,1
26-35,Single,Yes,-31.68933985910846,A,D,B,A,139.9736475348715,B,B,E,E,A,C,E,142.15493685432185,71.69105121774948,0
26-35,Single,Yes,118.13434482539289,E,C,D,A,-138.17070214094517,E,E,D,C,D,D,C,29.562723273923748,-72.82766233627996,1
36-50,Widowed,Both,61.705409476202355,D,B,C,B,-20.486599488668915,B,E,C,B,E,D,B,-52.02598876787754,66.406608450903,1
36-50,Widowed,Both,-101.24793700658779,D,E,D,C,-73.95725363891913,C,B,C,A,A,A,D,56.54919473514033,-101.91941742204882,0
26-35,Widowed,Yes,125.50649508384038,E,B,D,E,138.72050635530263,E,A,C,B,E,A,E,93.43722911949952,38.15871579006792,0
65+,Divorced,None,81.11400968557486,D,E,E,C,-77.4934189986284,A,D,C,E,D,C,A,-140.72848808750973,107.04096065409574,1
26-35,Married,Mental,19.40688728392047,B,C,D,B,166.00323571562902,D,C,A,D,E,B,C,-112.65740434617841,120.28582758529444,0
65+,Widowed,No,-70.63715666114597,D,D,A,A,35.38657950314219,A,B,D,A,B,D,C,-182.7531068077531,-73.90645158185988,1
65+,Single,Both,-35.07508736491997,E,B,C,D,102.49869309721495,E,E,D,A,E,C,D,-35.18721537691617,175.0744625153364,0
65+,Divorced,Mental,25.850970164488928,B,E,B,A,-9.993510759845307,D,E,A,A,C,D,C,57.1534232392757,92.1384374229298,0
65+,Divorced,None,3.096299179040822,A,A,E,B,-55.52998587739203,A,C,A,E,C,C,C,189.78174192820504,-126.14256254107204,1
26-35,Single,None,-86.87084418698593,A,D,E,B,0.36621726138532124,A,A,A,D,A,D,B,135.29389348805785,108.60090302519725,0
36-50,Married,No,69.45799224238483,A,C,E,A,12.587794908660138,E,B,C,B,E,A,C,80.54603061072568,28.499391771398624,1
65+,Widowed,None,29.717722272568192,E,B,B,E,8.414841018636224,E,A,E,A,B,E,C,-104.72077256310253,5.272307541027582,0
26-35,Widowed,Yes,-144.01243666767337,A,B,E,E,63.936987960417866,A,A,E,C,D,D,E,91.86356126666361,-11.679708775765599,0
51-65,Divorced,None,-67.32714412493054,D,C,D,A,102.70336010265643,C,C,A,B,E,D,B,70.74670693065428,-10.974617682355435,1
18-25,Divorced,No,22.003972605974237,B,C,B,D,17.626146674567327,C,C,E,E,D,D,E,86.63077182948165,28.08453338068781,0
36-50,Divorced,Both,-54.1486327795664,A,D,B,A,-66.50545036971116,B,D,D,A,A,C,A,57.24059152800219,146.09642866124898,0
18-25,Married,Mental,104.79542489360509,B,B,B,A,-9.106897204268076,A,A,D,A,E,B,C,-55.65806991138289,17.604993683030067,0
51-65,Widowed,Both,-15.969065378505858,A,B,E,B,-238.9272309481953,D,A,C,B,E,E,D,-24.571008335527516,-25.715253019995078,1
26-35,Married,Yes,-194.10772409319782,E,D,B,E,5.3710943885107705,D,B,B,A,D,E,D,-14.623603564444378,-201.53481283311677,1
36-50,Single,None,-109.08544879961171,D,A,C,E,-67.04562509093498,E,B,C,A,A,B,C,18.872118515748394,84.06466032681594,0
18-25,Divorced,Mental,-56.43124860949425,E,C,D,A,122.2341713808659,C,E,D,D,B,A,E,-7.343520493926247,112.80953125501252,1
51-65,Married,Both,37.36072459767305,B,D,B,E,-6.5518291592981726,B,A,A,E,E,C,D,-20.03790577617152,-66.09224283003843,1
18-25,Widowed,None,149.28197663670085,E,C,C,B,127.37307191418002,C,E,C,D,B,B,C,7.952257311519895,56.49096789694017,1
36-50,Widowed,Physical,22.565522262803686,E,A,B,B,59.319897602720296,D,E,A,A,E,B,C,-126.51364730851651,43.859194419148274,1
51-65,Married,No,-13.298391800909428,B,A,E,E,62.05617155687886,B,A,C,A,B,D,B,50.91628213854453,67.3466561218217,1
18-25,Single,Mental,9.178762149737151,B,E,C,D,131.69060483332987,B,C,C,B,D,A,B,-49.148483510058014,-21.95972288295437,1
51-65,Divorced,Mental,197.49034248495022,E,E,E,C,-91.67951983764415,D,D,E,C,A,B,E,-29.673432555668615,43.48646486044269,1
65+,Married,No,145.2305085803537,C,E,C,A,-166.1523862505932,C,C,B,D,C,D,D,-44.58844769256176,107.17133656189813,1
26-35,Divorced,Both,180.85982304535813,D,C,E,E,-9.445814166225738,A,B,A,C,E,B,B,-22.769136964162286,72.2115941903408,1
18-25,Single,Both,-157.67072321996298,E,A,B,D,21.71529883845091,D,C,B,E,E,E,B,264.18539173450904,79.66759200031377,0
36-50,Married,None,13.001513934441588,B,A,A,D,13.128833354591219,D,C,A,D,C,C,C,-90.71638106511156,298.1322301329862,0
65+,Married,Both,148.60909098648844,E,D,D,D,-131.43245528257108,B,C,A,B,D,E,A,-59.20301440550855,-32.541353843439914,0
18-25,Widowed,None,-80.44054748422346,B,C,A,C,7.073823391072613,D,D,B,E,A,E,A,-34.73187573344077,-98.93492649689016,1
26-35,Divorced,Physical,-61.27461269109783,A,B,C,B,35.23197016366159,E,B,D,D,E,B,A,122.34100446176875,-52.0641626377792,1
26-35,Married,Physical,-127.37856918674272,D,D,A,C,50.581712359612766,C,C,C,B,E,A,B,-187.09822930448476,82.85651465087396,1
18-25,Widowed,None,-181.75556735015533,D,C,C,D,-44.32799129716452,C,B,E,C,E,E,D,-42.583123009320346,104.44124554208449,0
51-65,Married,Physical,-10.372274601741008,C,B,C,C,-93.69123829762782,B,B,D,D,E,C,A,-2.4398223218308854,-121.08656687762446,1
36-50,Divorced,No,102.05500705981139,A,D,A,A,91.30177488611282,A,D,B,A,B,C,A,-18.945235017216472,-171.16081600733136,1
51-65,Married,None,53.55488177108407,A,A,E,E,-17.053583068250816,C,A,E,C,E,B,A,-62.283072873149635,80.02613535852997,0
36-50,Married,No,22.436214613808698,D,E,C,D,-2.7163340444220863,D,E,C,D,A,B,A,-35.378408498061084,23.504466189749547,1
51-65,Divorced,Yes,-54.076830894616045,B,C,B,D,-34.96398844704455,E,D,A,D,E,B,B,-59.10780564945475,34.50282550868474,1
36-50,Married,No,-126.75162644359791,E,A,A,B,-57.55904339152141,B,B,D,C,E,C,A,-54.91714661323692,-145.09703209814072,1
51-65,Divorced,Physical,106.63783353811473,B,A,E,B,-171.61033753622385,E,E,D,D,E,C,C,-74.81826732667585,-65.94879834151797,1
18-25,Married,Both,56.65836474134611,C,C,D,A,-159.46359486387854,A,B,B,B,A,A,D,65.40556411865444,-76.9776226656562,0
65+,Single,Both,195.22765583175442,E,D,E,B,93.32771266482173,A,E,A,A,B,A,C,120.13343121762665,-220.8852680150863,1
26-35,Widowed,Both,20.042353714590853,A,A,E,E,19.231578382108225,A,C,E,B,D,A,D,34.50458490717334,50.44922633166043,0
65+,Married,None,-83.64859929088514,D,E,E,A,-146.98639119398794,A,B,E,D,D,B,E,64.11415799296344,43.72050162599766,0
26-35,Divorced,None,-98.32682901360725,A,D,D,B,14.115377832178188,C,E,B,E,E,C,C,-145.50678108333335,3.8201183143642474,0
26-35,Widowed,None,99.1393576110164,D,E,D,E,23.9366896187572,B,A,C,D,D,E,B,-88.44562288199023,72.17274790933924,1
36-50,Widowed,None,-6.4128377577638505,B,D,D,A,248.1353200208951,C,A,A,E,D,E,C,289.50353227162475,90.68770468587158,1
18-25,Married,No,-20.38389236137951,D,A,C,D,-17.45675253193712,B,B,C,B,B,E,C,257.1054773636213,201.11767238824962,0
18-25,Widowed,None,10.756360992321293,C,A,E,B,22.15279548212912,D,D,B,E,E,C,A,-109.0290398911596,-35.03409262524189,0
65+,Single,Both,-39.0077608452985,C,C,B,E,-42.92149152792296,C,D,A,B,D,C,B,-179.52516042326843,-63.10351414872599,1
18-25,Single,No,17.192202461919894,D,A,B,D,-166.03602497281156,C,B,C,A,A,C,C,66.00907482286489,-39.5954037390303,1
36-50,Widowed,None,23.47803679492205,C,B,A,C,47.0757399178893,A,D,A,C,D,C,D,114.68389415978903,-32.92124186235541,0
65+,Divorced,None,-97.41728880278782,D,A,D,B,38.254880742621815,A,D,E,A,E,E,A,120.0925453709713,16.687655834579175,1
36-50,Married,Physical,85.07012661431067,E,A,E,E,100.26777021260132,E,B,E,E,A,D,A,-1.0796905245655801,-93.50113201403552,1
26-35,Divorced,No,157.9594058587341,B,E,B,C,70.18554188546244,B,C,D,C,D,A,E,104.29729110660956,72.74320224802302,0
18-25,Widowed,Both,55.06465939188341,D,C,A,A,109.7503531732102,A,C,B,C,E,E,D,-1.4936974840343828,119.6844011221891,0
36-50,Widowed,Both,46.71021985933089,B,A,B,D,32.957433482512506,D,C,D,E,D,C,A,-39.68220343696957,-75.53017043118965,1
18-25,Married,Physical,22.613969267955174,B,A,A,E,71.20840978193915,D,B,B,C,E,E,B,121.19237529553426,-59.99896609057795,1
65+,Widowed,Yes,18.946599619009593,D,B,B,E,76.86903325226814,A,D,E,A,C,A,A,61.787907794879374,-14.866072978980782,1
26-35,Single,None,102.8322887368439,D,A,B,E,-8.362548500519578,E,D,D,B,D,C,C,-167.89131541004429,-22.841982378625154,0
18-25,Divorced,No,-49.298069640158765,B,E,A,D,-102.39896484241895,E,D,D,E,C,B,B,90.43514564143798,-158.1180845862217,1
18-25,Married,Mental,-66.5331733207892,D,B,C,A,69.48871154661495,E,E,D,A,B,E,E,154.97065440167793,-22.100329613231477,1
36-50,Married,None,46.59790978365182,B,B,A,D,-45.23565388689053,C,C,A,C,E,B,C,96.35965290340911,33.54128620007547,0
26-35,Divorced,Both,12.103154975759816,D,E,C,B,-109.43609692835838,B,C,D,A,D,B,D,-95.9073168539558,-68.61805241279987,0
51-65,Widowed,Both,-73.49605610174261,A,C,D,D,-38.948970391421895,C,B,C,C,A,A,B,51.5335986629339,-130.06036809518952,1
51-65,Widowed,Yes,32.765171045752915,D,A,B,D,-214.24446066889357,E,B,D,C,C,B,B,-84.72859161774767,106.82986780971314,1
18-25,Divorced,Both,-61.75359031373873,E,E,A,A,92.66323154111195,A,C,D,A,A,C,C,-16.497154239889184,55.8114849895431,0
65+,Single,Yes,22.663661815644524,C,A,B,D,0.5008831040114575,B,D,E,C,C,D,E,-28.840354843986265,-178.5012287937779,0
65+,Widowed,Yes,-68.4871231087781,C,E,D,E,-131.4280852142569,B,A,B,B,B,C,C,-38.23621953026251,35.554748760737866,0
65+,Divorced,No,12.219647987647168,D,E,B,C,-102.25182747886899,B,E,E,A,E,E,C,-78.50308654739612,-77.9827230041463,1
65+,Divorced,No,-281.79904998229233,B,A,C,D,16.336228810703368,D,A,C,A,E,B,C,-5.275379903234331,94.32905872043531,1
18-25,Married,Yes,-128.66065773177925,A,A,B,C,17.91945174012358,D,E,D,E,D,B,C,-98.58897587169034,-156.34156106928899,1
65+,Married,No,-73.67977528543715,E,D,A,B,82.58578002822765,D,E,A,C,A,C,A,-13.826889534539122,89.73764493413331,1
51-65,Married,Both,19.96803401340428,E,B,E,D,2.788700240160896,E,B,A,D,D,E,A,-34.6404008666594,-107.41872949558815,1
51-65,Widowed,Yes,-53.248524165643396,C,E,B,D,-55.80337585424379,E,A,C,A,E,D,D,-51.240406383080014,-84.07834564031937,0
51-65,Married,Yes,18.60030106454385,C,E,A,C,-6.865155969141636,E,D,D,B,B,B,A,-56.65631188654158,206.3110246360546,0
51-65,Single,Mental,-35.0952294736806,E,E,C,C,-142.84814322539353,C,D,B,C,C,E,C,-50.432915147140164,-11.278280848742332,0
18-25,Divorced,Mental,25.34234847043605,A,B,D,C,126.67016251175558,D,B,D,B,B,A,D,81.32652100338744,-15.463182369413234,0
65+,Single,No,-164.43411912602136,B,C,E,D,-66.29956161014113,B,E,A,B,C,A,A,203.49848943098024,48.99038734106556,0
36-50,Widowed,None,-44.96037205884887,E,D,D,B,114.81588781703904,E,E,D,C,B,C,B,-1.9976808942430373,20.63052979260922,0
18-25,Divorced,Physical,-25.108802379356497,D,C,B,E,-47.88977577263939,D,C,B,E,E,A,D,20.476935179878094,115.34933701732196,1
36-50,Single,Yes,144.69205960819286,C,D,C,C,108.28778592190136,A,D,A,D,D,D,C,65.0230666541999,-86.6165238841065,1
18-25,Widowed,Physical,-75.68932335800152,E,C,D,C,-244.67589117105376,D,A,C,E,C,E,D,-47.40511857123737,-78.43615742421139,1
36-50,Single,No,63.67594099745889,C,A,C,A,-4.8045460556200315,A,B,B,A,D,C,B,-156.31772701995263,161.79964369997145,0
36-50,Widowed,Both,-80.26823611206177,A,B,B,D,16.938597474679405,E,E,E,C,C,A,D,-111.19833812785357,78.69762826988773,1
36-50,Single,Yes,31.12588902607076,C,D,C,A,-118.13355112914441,A,D,E,B,B,E,B,23.736230203379463,120.30315938675295,1
65+,Divorced,Physical,25.538830200389057,A,D,A,B,98.62798541689658,D,D,A,A,A,E,B,-117.24110425824247,-64.53650599912706,1
36-50,Divorced,Physical,-89.13107843258418,D,E,A,E,58.70159901543994,B,C,A,A,C,E,D,142.19185272817793,-320.27219830905074,1
26-35,Divorced,Both,-100.35819809473792,E,E,C,D,18.884999412645346,E,D,C,B,C,D,B,-81.79827000990272,91.30665608627308,0
18-25,Divorced,Yes,95.34627619609867,A,B,D,D,-57.38146441960037,C,D,D,A,E,B,D,6.895987402060689,-66.3507623635917,0
65+,Divorced,Both,2.798418897509033,D,D,C,B,-21.681851058418562,A,B,A,B,A,D,E,-8.917504381377,-81.8659262446502,1
36-50,Widowed,Mental,89.79426577273775,D,B,D,C,77.00645816875178,E,A,A,D,A,E,A,23.41600933411632,-356.82394479977785,0
18-25,Widowed,Physical,-5.229221381758757,D,B,C,B,41.87007060196617,C,A,B,A,D,D,B,-18.446497871157515,54.83184377242347,1
65+,Widowed,None,160.40085221213405,A,A,B,A,83.35776730508664,D,E,D,B,B,C,C,17.922977866235314,-26.959478889977134,1
36-50,Divorced,No,1.8462148069013455,D,C,A,B,73.21092265339499,D,B,D,C,A,A,B,35.578885036933,-48.44094776071515,0
26-35,Single,No,-107.41343478671992,B,D,D,D,-133.80167596656293,A,A,D,A,B,A,D,51.38501258026055,297.9311110862777,0
51-65,Married,Physical,-127.37044945140468,D,C,C,C,-135.9401775683786,E,B,C,C,C,D,A,104.7811076749459,111.35958877567882,0
36-50,Divorced,Mental,177.36742912988333,B,D,A,A,3.245670754081665,D,C,D,E,B,D,A,-105.86333006019169,-62.935688713874406,0
36-50,Divorced,Yes,-42.78827632448126,B,D,E,C,16.092236702566716,D,C,A,B,C,C,B,-275.8189671074203,-74.8806138113278,1
51-65,Single,None,55.54752580631798,C,D,E,A,-100.35274608212387,C,C,D,A,B,E,D,-51.71309110096731,3.4707742598021043,0
65+,Married,Both,-95.44771532645443,C,A,E,A,-0.0169844590663306,A,C,A,C,E,A,E,138.60645004375925,-28.45757973983627,0
65+,Divorced,Physical,184.92640705934275,B,D,C,D,-5.436023496585704,B,E,A,A,B,A,E,4.6489514127957134,18.108616191419742,1
18-25,Married,Both,45.82117204165384,D,C,E,E,212.27290060022773,E,D,D,E,D,A,E,-61.26943442227943,25.69814348480991,1
36-50,Widowed,Physical,-95.83686701540928,E,C,C,D,-0.32862073656906177,A,D,C,B,A,D,D,-149.78567145585848,-73.78949807298419,0
65+,Married,None,19.88908371253563,D,A,C,C,-164.7440642498809,C,E,A,C,A,A,C,326.2705736329856,50.878454236626446,0
65+,Widowed,Yes,10.334694702380599,E,D,B,B,-45.165187629581,E,D,C,D,A,B,B,-15.903093517103178,-148.69439561313126,0
36-50,Widowed,None,-22.755171637364835,C,B,D,C,-171.9498129801234,B,E,E,B,E,E,A,-67.693129589306,73.3105205122978,1
