military,anos,AgeGroup,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,target
No,59,51-65,B,186.5715637443598,94.86271102508847,E,D,A,-201.28524489091427,A,D,A,19.209168117534183,B,B,0
Veteran,50,65+,D,46.79569222281198,-42.64340779580754,D,E,B,90.65523901673245,B,D,A,76.45902426423586,A,C,0
Non-Veteran,75,36-50,A,-48.55591065197589,-66.2770398305204,E,E,A,9.070166876042759,D,A,E,150.81245490366425,E,D,0
Veteran,42,65+,E,2.1091170156124224,192.13349682784053,A,C,C,12.198515772547697,A,D,E,-58.07504008192909,C,C,1
Veteran,39,36-50,A,-175.04371720099837,84.29116579929232,E,B,D,234.06295805464694,D,A,A,-152.7436906452956,B,D,0
Yes,63,36-50,D,-79.60987373959131,92.40880972876208,D,D,A,55.23002346626862,A,C,C,170.2806925636233,C,C,1
Non-Veteran,30,26-35,C,-67.83660522939104,10.77760078162976,C,B,A,-166.69955084650522,E,E,B,110.2802089378493,E,D,0
Veteran,54,36-50,C,68.17076157849247,-70.6744826192921,A,B,C,74.29485893716529,C,E,C,-111.95761392563813,B,C,0
Non-Veteran,30,26-35,C,-49.76764184925465,6.180428872556676,D,C,B,-65.96101107381283,C,C,B,55.25094228666156,A,D,0
Non-Veteran,41,18-25,C,-189.70112639181832,-139.78450886697317,E,E,B,-71.71799697518723,C,D,C,44.302485568291985,E,E,0
Veteran,33,51-65,A,37.880122756471344,76.49654801662497,C,E,B,81.41187365816238,C,C,A,-12.930686431558957,A,E,0
Non-Veteran,25,51-65,E,-29.260797516540315,187.2803986192627,D,B,B,-19.35486281899675,D,A,D,-157.81185450065226,B,B,0
Veteran,28,51-65,E,64.48022645843038,-97.83630289611293,D,E,A,172.4392513394248,E,A,E,88.96883402113612,C,B,0
Non-Veteran,64,26-35,D,2.4278291721258256,12.89312974668799,E,D,C,8.044633325042968,C,D,C,20.247527592192224,A,B,0
Non-Veteran,20,36-50,A,-9.108117530430833,-90.05558737214606,D,E,A,-52.29338644918873,A,A,C,34.04350057775282,C,E,0
Non-Veteran,73,36-50,A,16.834050843628738,-59.997096076864885,D,A,D,-88.5510030141305,B,E,D,-77.90921957532551,B,D,1
No,79,26-35,D,134.04121005277966,20.0339612411462,C,C,D,-124.6807022486717,D,B,D,95.30583415464616,B,B,1
No,43,65+,A,-11.374389786676632,42.326102034071184,B,B,D,-33.084222576777364,B,D,C,-164.7151354408156,C,D,0
Veteran,55,65+,D,-68.67894832319998,159.45296839540975,B,E,E,-7.612040591655163,C,A,A,142.56184649531346,B,E,1
No,78,65+,E,19.018053805516193,143.48558186366495,E,B,C,-124.03789322677481,C,E,A,-78.22252778963585,B,E,0
Yes,55,26-35,D,-81.40253196032313,70.30229980761999,A,A,D,76.86131990060977,B,B,B,-86.29381617401665,B,B,0
Veteran,58,18-25,A,162.714001560826,-181.7458566732171,B,E,B,15.468746733035113,B,E,A,89.8383027683661,E,D,1
Veteran,32,51-65,B,42.65002680353894,132.22788609699327,D,D,A,321.84334130333417,C,A,B,-120.38062872720725,A,B,1
Veteran,61,26-35,C,-35.990711618247886,-63.94693496673334,E,A,E,-6.684551437993355,A,A,B,-22.5512631624503,E,E,1
Veteran,24,26-35,A,25.04003671122124,96.79513051727295,D,B,C,-116.97662001369768,E,E,C,105.2199141326068,A,C,1
No,52,26-35,A,168.47285003480428,2.846011608596576,E,A,E,-25.995259255013465,E,A,A,-15.925897577206799,C,D,1
Veteran,57,18-25,B,-163.8601615951557,-29.118669201478646,B,A,E,19.128274067506865,B,E,E,123.36027433386182,D,B,0
Yes,36,51-65,E,-16.823161202184718,-91.11026323114837,A,E,C,39.8320891754331,E,D,B,71.20678710367905,D,A,0
Yes,61,65+,D,20.590001859713677,-88.21843849477335,B,A,C,3.1763003215165355,C,A,E,-190.8461007218086,C,B,1
Veteran,30,36-50,B,-70.59480918529432,-39.55180671026565,D,C,E,2.783727482987907,B,B,E,-178.18769230900466,A,C,0
No,19,51-65,A,-177.25072827873112,-50.22750069835899,A,D,B,-223.0144431332516,A,B,D,52.03398843235038,D,B,0
No,64,26-35,C,-108.24466881500376,124.13384664250357,C,C,B,-46.13703788156099,A,A,B,93.14563800044984,C,E,0
Yes,77,65+,B,-162.170636509423,-137.13269829142754,E,E,A,-66.76902449027286,E,C,D,-5.4473974757528305,B,E,1
No,31,36-50,B,77.25978671232527,-29.334085211195,D,E,C,-41.610600628963105,D,E,A,-28.98463240059631,A,C,0
Veteran,76,36-50,A,121.31672648223261,2.143049471444748,A,D,B,146.68700603777594,C,C,D,112.31908851107508,C,A,0
Veteran,19,51-65,B,60.91875597371463,127.38792299099661,D,D,E,-54.415015847854974,B,D,D,56.83624994410047,C,D,1
No,45,18-25,E,25.31541038212267,-230.52829985659943,E,E,E,92.61169637520003,A,E,A,97.54867010507022,D,C,1
Non-Veteran,75,51-65,B,82.1465401899386,-184.80518682446075,E,A,A,36.60926698280398,B,B,C,301.54032845728983,E,A,1
No,43,18-25,E,-90.13674624293435,3.2733149503304095,E,B,E,-144.62620627807726,B,E,E,-33.58319993129606,E,B,1
Non-Veteran,64,65+,E,105.75324398334607,142.9674238932472,D,C,A,62.84788412862421,C,E,B,-10.753158162046988,C,E,1
Veteran,54,26-35,D,-194.55342290628275,90.70977930425381,D,C,C,-101.75579922836286,D,D,A,29.001218690468566,A,A,0
Yes,35,26-35,D,65.06035383719934,-37.72024777185573,D,D,E,-20.85770114149759,B,A,D,-45.440197623065124,A,E,1
No,71,36-50,D,167.0168907362313,-38.7917906750857,E,C,E,104.763714252112,B,B,C,2.1705169645519136,B,D,1
Non-Veteran,45,18-25,B,52.21150145144682,36.90047465940945,C,B,C,-68.1466269533652,C,B,B,97.6800557769859,C,E,1
No,56,65+,A,-186.697543254691,-145.74716512404856,E,E,A,38.93434420746725,E,D,C,51.43548326864722,A,D,0
Non-Veteran,21,51-65,A,5.5159200498035315,-14.795519357006349,D,C,A,94.36754160037086,E,B,C,-168.8305027655682,C,E,1
No,27,51-65,A,-44.25660494844805,77.41444877780637,A,B,E,-219.3123649011906,B,A,B,50.14959263164685,A,A,0
Veteran,53,51-65,A,52.560565531133484,-44.153751313077684,B,B,A,46.189998810890586,C,E,C,-57.066166000948414,A,B,0
Non-Veteran,34,26-35,D,35.15131927483898,34.62340607027773,B,A,D,-87.0745494468622,D,E,B,52.635242093826086,C,C,1
Yes,34,36-50,D,7.031186802622017,60.596603988047036,C,D,C,-65.0258357384152,E,B,D,-119.37284496556069,E,A,0
Yes,62,26-35,A,219.1477691088321,-38.10825001808234,E,D,A,52.21247237068031,A,A,E,-38.61638989613753,D,A,0
No,67,36-50,A,17.036527335696928,103.30824742852624,D,B,C,-44.363320241748525,A,A,C,179.89224671745484,B,D,0
Non-Veteran,30,65+,B,-110.99686772573432,-74.85913169380096,D,B,C,-13.794465582586524,E,A,B,-79.3939541299062,B,B,0
Veteran,22,65+,B,-50.954232233920415,-39.16653300670862,C,E,B,116.82199047086073,A,C,C,-14.578951047675986,A,D,1
Yes,19,51-65,D,108.62798946112954,-86.94377125378158,D,C,A,174.4389465611067,A,B,C,79.33744343447218,C,D,1
Yes,28,51-65,A,-111.80011455445265,1.0059464247170704,D,C,A,16.54387454165954,C,A,D,101.7746035402054,B,A,1
Veteran,62,36-50,E,11.877376016763966,-68.35569960428423,A,E,C,6.139977995572513,B,C,A,27.613869456320035,E,A,1
Non-Veteran,31,36-50,D,50.604228221519406,62.50732085141533,D,D,C,4.491799783933368,C,B,E,55.27142054435613,E,B,1
Non-Veteran,51,26-35,A,111.88367672597496,-77.18180654391054,D,A,B,-92.94537818120986,D,E,C,-6.076594933414656,B,B,0
Yes,58,18-25,A,67.38840958611625,-147.9866171729973,D,C,C,98.69091797303868,A,E,A,83.65663627434328,A,C,0
Yes,49,65+,D,51.18916124467121,-72.61786748385492,C,A,C,-139.88673298542986,B,A,E,23.216662676370124,A,E,0
Yes,57,51-65,C,-72.01262429056992,-69.08633309240395,B,E,E,-13.547918604114791,D,D,A,2.6505396441970865,D,B,0
Veteran,56,51-65,B,5.835942031087935,-61.73428876272666,C,B,A,117.05708475154404,B,E,C,-31.2978724953162,C,C,0
Veteran,61,26-35,B,-31.024800259602074,-138.18169504350132,E,D,B,-108.75112984109363,A,B,E,-55.468097949118544,E,E,0
Yes,64,65+,A,2.019351526669421,1.4234201114398466,A,B,C,-20.109292823093753,C,C,C,-26.50203295422343,E,E,0
Non-Veteran,18,36-50,C,-78.03011155851432,77.44592396756033,D,C,C,44.48069928359981,B,B,A,-92.32122099929518,D,D,0
Yes,21,51-65,D,-119.28503478145987,-66.4720965770178,A,D,B,66.0444312556732,C,C,D,79.29501957755268,B,C,0
Yes,52,36-50,C,54.798372956815875,-108.79476871184603,C,E,D,75.81321063025979,C,E,A,-219.9142857691235,A,B,0
No,27,18-25,A,32.36226870113418,-131.30414352892132,E,E,C,59.1464306918793,A,D,A,-136.43415703217565,B,C,0
Veteran,46,36-50,D,72.51342450115644,-192.7299438252897,B,E,D,-23.62561389755554,E,C,A,-202.4149391047519,C,D,1
No,29,51-65,E,14.150871967783713,-81.06977355336463,A,D,C,-73.5567036082539,B,B,B,-38.674384624000155,C,A,1
Non-Veteran,51,26-35,A,64.93446380349577,-5.780515585068118,C,D,A,1.2007071580582684,E,D,B,-84.72978582249189,C,E,0
Yes,25,18-25,E,36.95507539874923,84.55883962837373,A,C,A,30.065475673174735,C,C,D,-37.354928472472864,D,D,1
Veteran,79,51-65,A,-32.104201174273385,-143.0430085250312,B,A,C,-134.92515615531454,B,A,A,-66.70453899579601,D,C,0
Yes,55,36-50,A,-110.42703117727098,85.79606693098688,B,B,E,-16.334396435888543,B,C,A,44.13194088871176,A,B,1
Yes,54,51-65,D,252.7979739418996,-116.25853300315028,D,D,E,-1.56648683618471,D,C,A,-145.61334960418887,A,C,0
Non-Veteran,56,36-50,C,34.48145163365776,-59.21400494185981,A,C,D,-183.5579348912991,C,B,A,-76.92387930699428,A,E,1
Non-Veteran,25,65+,E,-55.59935723132624,-123.32699442804345,B,E,D,82.30746312103801,B,E,E,-189.13678620281206,B,D,0
No,54,36-50,A,111.0015691410225,97.88359867396721,A,B,E,64.6399298042129,C,D,A,-277.81978068173856,D,D,0
No,46,36-50,B,-67.16150950531654,14.79499452238815,B,B,C,-85.33289930846823,A,E,C,-21.91473855932908,D,E,1
No,26,51-65,A,-21.95239941566543,-124.11494079735137,E,A,D,-57.845496481117976,B,B,B,123.80334217967643,D,C,0
Yes,79,65+,C,77.6111602236102,-16.14342681111016,C,B,D,133.6895205438274,D,C,B,-113.55506984396028,D,A,1
Veteran,53,26-35,E,47.05855672397413,-94.97784409579812,C,E,B,109.55720344489961,B,A,D,0.6397127773292931,B,C,1
Yes,23,18-25,B,-58.471808482058776,137.2007538397685,D,D,A,1.1002937868340559,A,A,A,20.61345115958826,D,E,1
Veteran,20,51-65,B,216.58910152166575,110.46304962820659,B,E,A,-108.21330196621244,D,C,A,65.1148726397059,B,B,0
Veteran,47,26-35,C,-32.60310725331719,-140.4351644226692,E,D,D,59.99487027312607,E,A,C,158.8548555029228,B,B,1
Veteran,49,36-50,E,36.2147846571293,-22.035863139260865,B,B,B,-76.80127938689036,B,E,E,3.4828703083551815,E,C,0
Non-Veteran,47,26-35,C,75.90845791185534,16.67847756635674,B,C,E,-92.44386238216799,E,A,C,-176.02883703980595,D,B,0
Non-Veteran,66,36-50,B,52.12513492400569,134.4217916337127,C,C,D,89.9911396859515,B,C,B,17.29464004206341,C,C,0
No,76,65+,E,185.67210427980743,25.33473620535867,C,A,A,-161.73263900293543,B,C,A,43.11097248248163,C,E,0
No,34,18-25,C,-153.92617791356452,-11.641150637211034,E,E,B,-12.951217849892819,C,B,C,47.01362410680964,C,D,0
Veteran,40,65+,A,-70.63882703017404,-100.16988756769184,A,A,A,-33.289715386572425,E,E,D,101.41411728269975,E,C,0
Non-Veteran,58,26-35,C,70.85034425801186,-180.58170885784082,D,E,E,129.49886727505802,C,B,A,159.06467509010056,B,D,0
No,24,18-25,E,1.3716702377560583,-64.71034645075946,A,D,B,-10.755323177232148,D,C,D,6.193309358304096,A,A,0
Veteran,65,18-25,C,273.1277448306448,89.75280290890133,D,B,C,-93.0539451216413,A,A,B,-83.61184832953046,A,D,1
Veteran,21,51-65,A,-94.93102326761992,-51.17778751170506,D,E,E,-21.225023323095087,A,D,A,-9.048577406350155,A,D,1
Yes,47,26-35,E,51.172331437812865,-55.196649403709564,D,E,E,116.66031672762742,C,A,E,-19.95708633144135,B,A,0
Yes,26,18-25,C,-158.31178847307316,-6.607457559657622,E,A,C,54.1583747881547,D,E,E,18.095657598196137,D,C,0
No,20,65+,D,48.35345541354019,-78.33605627460246,C,B,B,-237.55809557821718,D,A,D,27.883133059880194,E,C,0
Veteran,40,65+,D,191.00879507835452,-68.1650395716912,B,D,A,23.31029216543295,B,A,A,7.824410390286548,C,A,0
Yes,20,18-25,A,65.29141981604562,11.389569004556039,E,A,D,-35.378655506331675,B,D,E,158.53694536228022,E,C,0
Non-Veteran,34,51-65,B,62.58378454619147,-3.922164203240408,C,D,B,-26.6298250985834,A,B,D,-3.442920100469816,E,D,1
No,40,26-35,E,2.2284704789692147,102.05301864240465,D,A,C,-11.6533830330638,D,E,D,54.439351847341186,A,D,1
Yes,55,51-65,A,-1.0624819359779425,115.2950214817021,B,B,B,-65.94000411158474,B,B,D,-37.14463533634982,C,E,0
No,20,65+,E,-131.4677434412938,-39.420840627452,D,D,E,-137.42594704272187,D,B,C,9.732263394349502,D,C,1
No,43,65+,C,55.2971441782215,42.913710445128,E,B,D,112.9769495068581,B,E,E,128.2404477829633,E,E,0
Veteran,72,18-25,C,-140.0205097168037,78.51958003412412,B,E,E,177.18533859553628,A,E,A,-92.50119096671193,B,C,0
No,71,18-25,D,-139.59026747960183,46.687709805037656,C,C,B,12.035808702260509,B,C,B,-192.51881110113274,D,E,0
Yes,65,51-65,D,86.22247641039505,-63.837289001975584,B,B,A,-129.05682982031007,E,C,B,-243.36012920955866,D,C,0
Veteran,74,26-35,A,125.79482994167948,84.30849780542525,D,C,E,-152.5825645827233,B,C,E,20.835703702236614,C,B,1
Non-Veteran,43,36-50,D,-93.95982984664148,-49.07186994641357,B,B,B,-4.351432374643465,A,C,D,37.38289273916256,C,B,1
Veteran,47,18-25,D,-194.30365977458464,-118.08611576029406,D,B,C,-56.637598452189216,D,D,C,-101.41356062527042,A,C,0
Veteran,68,26-35,A,241.49925063881582,-26.43014339439344,C,A,B,-73.12647972147029,A,B,C,-180.3111760399354,D,C,1
Non-Veteran,26,26-35,C,1.61698532464803,111.05163526370181,A,E,E,-306.3358720781708,D,E,A,46.449674414422155,A,E,0
Yes,63,51-65,E,32.65661130938485,23.49995335694366,E,B,A,55.179867838820385,B,E,E,45.92374898980111,D,D,1
Yes,76,65+,C,-32.646813129263236,-81.65928080933662,E,D,A,55.08362851556602,D,B,A,-28.184468205198048,B,D,1
Yes,73,51-65,B,-57.30739256031037,-57.58502671680647,A,C,D,11.955693094026202,C,C,A,-134.84416920843105,A,C,0
No,20,65+,D,-16.57431025966101,-50.7783985695019,D,D,B,8.901023640593388,E,B,D,-32.92087844055317,C,A,0
No,26,36-50,A,-148.1148419857306,-11.80110836434831,B,B,C,-33.264378627919996,B,D,D,32.96898872013425,E,A,1
No,56,51-65,C,-109.00311914252225,-66.35183863400393,C,B,E,73.80197170979787,E,D,E,-9.718380524790945,E,A,0
No,72,36-50,D,99.83837282605951,-147.89573568686373,E,A,E,-209.60167679029996,C,D,B,101.30246981283119,C,C,0
Non-Veteran,27,36-50,A,-56.41171348720133,-188.12580396173925,E,C,C,-254.68101129022912,A,D,D,283.1976532341336,D,C,1
Non-Veteran,57,65+,E,36.37361697821011,-80.1499767470392,E,A,E,-39.174456502667795,C,C,B,17.132213376415102,B,D,0
Yes,50,36-50,B,146.63060938835423,-167.72074300014629,C,C,C,-112.58677332932055,B,E,E,63.32141332237592,A,C,1
Non-Veteran,73,51-65,C,-19.76181072108371,-81.24487600596518,C,C,A,31.603201144116028,E,B,D,82.30180776485072,E,B,0
Yes,69,51-65,D,31.360555549887426,-55.92114144967141,D,D,B,-44.703778510680344,E,D,D,-4.247225256563848,B,D,0
No,22,51-65,E,116.75485662036778,-100.49178144544612,D,B,A,-179.8295176380813,C,D,E,-221.61333401206585,B,C,1
Veteran,64,18-25,B,111.7806946831004,81.18863334674414,D,E,E,-28.705319969381048,D,A,B,-17.217816027093374,D,D,1
Veteran,79,36-50,E,6.56658045105432,-111.79036917274543,C,E,C,-117.20740600054928,D,A,D,40.558131665044904,E,A,1
Non-Veteran,38,18-25,B,5.386140012537596,-144.59146986662728,B,D,A,-130.29153973945887,C,E,D,14.342909733264122,D,C,1
Veteran,69,26-35,D,145.36768402986812,15.45966545994987,C,D,D,65.84866804470632,E,D,A,-23.090119670057828,C,B,1
Yes,46,51-65,A,53.27389764556908,41.19575367426001,C,B,D,-24.40903356017619,C,D,C,-82.95942597187043,B,B,1
Non-Veteran,79,26-35,D,-128.0298214772645,-37.719652900191356,B,D,B,-135.76173063173746,D,C,D,42.08639232958878,D,D,0
Yes,20,18-25,A,68.7398180099967,62.81499769605777,E,A,B,-49.17642626700198,A,A,B,-65.66582477947772,E,E,0
Veteran,76,51-65,B,-13.39047322303749,29.929265797740044,C,A,B,-92.04353893858399,A,D,D,101.2116075958325,C,E,0
No,52,36-50,E,69.18665707251456,-48.03260546730604,A,D,C,103.12567114559342,D,C,C,48.189159924687374,A,D,1
Veteran,60,36-50,D,8.521106427240905,2.75063758289562,C,D,B,-56.59773806719919,E,A,A,-81.15435531793949,C,D,0
No,25,18-25,E,17.249427118103693,56.21560576782233,E,B,C,110.30605545566475,A,C,A,249.70198196608422,B,D,1
Veteran,48,51-65,C,36.16272080035981,-66.7754949588254,A,D,E,-100.12194175380844,E,B,B,92.09774187941176,C,A,1
Non-Veteran,71,36-50,D,47.46686888797672,-113.22198722512071,D,A,B,49.457676349138694,E,C,A,-109.48037190054106,D,D,0
Yes,62,26-35,E,97.31517135241177,-94.72363689529858,E,A,E,49.08905745968862,B,D,D,25.56301604953329,B,E,1
Yes,48,65+,E,-36.236910773319494,98.73858937490863,C,C,E,129.2167821013489,A,A,D,-5.264065157198222,A,E,0
Non-Veteran,70,18-25,D,-154.437503552448,230.2577811376298,A,A,A,108.29146722134502,D,E,E,86.15174022841899,E,E,1
Yes,51,26-35,D,-13.330984927904643,42.71828408480533,C,B,E,-6.120526378456979,D,C,B,228.34811898512385,E,E,0
Yes,22,36-50,C,165.73680451877476,18.93233509477431,D,D,C,28.813967718452925,C,C,B,-61.16928676300278,A,E,0
Non-Veteran,41,65+,D,48.41307491194836,99.46901261810275,D,E,B,127.8728882742333,D,D,A,-81.29501698461945,C,B,0
No,38,65+,E,41.46425217244464,69.73427340670337,C,E,B,-48.88466867206552,A,D,A,135.28210160614154,E,E,1
Yes,34,26-35,B,96.7181783744532,-117.39621676880418,A,B,B,15.97836316464668,A,A,B,28.6918232610612,C,E,0
Non-Veteran,68,26-35,E,111.78154222538768,281.7989817636277,D,A,E,-127.63099140185061,A,D,D,-12.228998881931792,A,E,0
Veteran,70,18-25,E,127.26805635703002,83.12037744880278,C,E,D,74.61061326199766,C,C,D,-93.0321747246898,E,E,1
Non-Veteran,38,51-65,E,-34.91236607901689,85.22316458172838,C,D,C,95.43734859815136,B,A,A,183.237877216124,A,C,1
Veteran,55,65+,A,-4.610419090272317,37.75883723599588,A,C,D,77.58711593804392,A,C,B,-147.9977050800829,B,B,1
No,43,65+,B,-88.64272343993859,20.15253132025684,C,E,D,-109.12223724074333,A,E,A,61.27524595787367,A,D,0
Yes,23,51-65,C,34.903225372216674,37.41091186538763,C,D,B,-45.828036482074516,C,E,C,-93.36086255294461,A,C,1
Non-Veteran,44,65+,E,-2.744319959400451,46.03261004027546,C,C,D,-18.005836558868857,B,E,E,45.87054656950719,A,A,1
No,74,65+,B,-52.64807469409279,40.67565240430637,B,B,D,37.072961499822114,D,A,C,-18.71186932915315,C,E,0
No,68,18-25,C,-87.31335538701809,-3.8815356728726678,E,E,C,30.30494730319644,C,E,B,-24.636668933520166,A,E,1
Yes,47,65+,D,170.69540109679454,-117.3323299589716,B,B,B,163.8022632422543,C,B,D,25.563415838770975,A,A,0
No,20,18-25,B,-4.55119434122583,-133.00780591012193,D,C,E,78.45689200428684,D,C,B,-32.43957637189466,E,A,1
No,54,65+,C,-73.76715844972883,46.1079064827986,B,E,B,-18.36661367421084,B,C,E,75.8263985890078,D,A,0
Yes,58,18-25,A,-149.66737395805106,20.50644853803178,E,E,C,187.28883079649236,E,E,E,-41.97813250262906,C,D,1
Non-Veteran,54,65+,A,-99.7407113448897,-50.60971525333896,D,D,B,-52.696072095669045,D,C,C,-134.74456906914992,C,D,0
No,42,51-65,C,9.885668265500378,69.8346688948303,B,B,D,31.85745307131741,C,C,A,129.31950950668755,B,A,1
Non-Veteran,74,65+,E,-100.86205101124229,92.31845563571075,C,C,A,-49.24201212286471,C,B,C,144.02941184931902,B,B,0
Non-Veteran,59,36-50,E,105.91623887009108,-74.73953907592667,C,B,C,-23.723676641845245,A,B,C,-7.523627287662138,E,C,1
Non-Veteran,54,26-35,D,104.75043224701162,67.32987497046071,A,A,E,135.98705067754997,B,E,A,-25.649089777177704,D,D,1
No,70,65+,E,148.06638629339926,51.32644976537244,E,A,D,36.26072012969486,D,E,C,51.55123908496343,E,A,1
No,29,18-25,D,13.853178996913268,45.48835894556515,D,E,B,109.64263444589382,B,B,B,-137.23455034111922,A,B,1
Non-Veteran,46,26-35,C,-10.851474497985707,-111.95832582538677,A,B,B,-44.2080040911557,C,D,B,157.47340622413506,B,B,1
Veteran,55,18-25,D,-40.22595942856608,-40.46762705593385,D,B,A,-20.631002017046086,A,D,A,-3.7165092882545547,C,D,1
Veteran,27,18-25,C,-131.2436842491757,163.38038236567445,C,E,A,-9.665407661536719,C,E,B,84.49242072075022,C,A,0
Yes,40,26-35,B,103.31968266814755,35.90955719736756,D,B,D,20.028396191092828,D,B,A,-35.10665103036493,D,D,0
No,70,18-25,C,-16.42240862792258,50.2485198375832,D,E,A,-18.38080393009276,A,A,D,-10.54440973405745,E,D,1
Yes,71,65+,D,-152.3658110105242,-22.832491550137725,B,C,A,88.61950551953898,E,D,B,91.69602805887877,A,A,1
Non-Veteran,47,26-35,D,-166.30218044701533,87.14764688785938,A,A,B,34.19257822800227,A,B,D,58.43684733842108,E,D,0
Non-Veteran,67,65+,B,49.41801361256284,171.09938872781856,E,E,E,75.99642188057003,C,C,B,84.15263484145572,B,C,1
No,55,26-35,D,79.46887492214358,43.35800631063338,C,A,C,-60.1380610914387,E,B,C,88.48597226288135,E,B,0
No,65,26-35,A,78.86082884617305,81.58975812107325,B,B,A,85.82460777790634,D,A,B,116.14784844829047,C,A,1
Yes,74,65+,C,-90.82665500356623,72.99206065290075,B,A,B,-58.16005271234219,A,A,E,91.25185296735893,D,D,1
Non-Veteran,49,18-25,B,-55.915702876250286,-60.25554175964534,D,C,E,-22.688870513753386,C,B,B,115.57111634769662,A,E,1
Veteran,23,26-35,A,-70.43133702349022,99.31418239419165,B,D,A,64.85062715274664,D,A,D,82.01475218534956,A,A,1
Non-Veteran,62,18-25,E,-65.60798427892864,-71.53768585534893,D,C,E,101.13423659774219,A,C,A,-80.37473002614458,D,E,1
Veteran,40,65+,D,-123.83241775796614,107.6070544324211,C,A,C,-215.0544115711982,A,B,C,57.35391474771128,D,B,0
Veteran,69,18-25,D,146.73359838081737,-138.30327108496866,D,B,E,-78.0331935790295,E,A,B,60.5426645701605,B,D,0
Non-Veteran,47,36-50,E,-58.61264031590615,-361.6365737066046,D,E,A,-71.15878201460868,D,A,C,-86.38532944981816,C,E,0
No,44,51-65,D,14.210758964146375,-90.29184277835934,B,A,C,-73.70302803532215,C,C,E,70.81413489543448,C,D,1
Veteran,39,18-25,B,104.90447269784377,-190.6542928908783,A,C,D,62.644910383831785,C,E,E,-192.42145731537067,A,E,0
No,65,26-35,D,7.388387631257536,-73.73588280889581,C,C,E,11.080975301096817,B,A,E,-2.6001251583678147,C,D,0
No,28,26-35,C,20.527058278779894,33.588727753507726,A,E,C,97.29429189732961,E,C,D,71.72433719651224,E,C,0
Veteran,54,18-25,D,-66.11677578967911,86.94655984756781,A,B,D,-75.87380226815756,C,A,A,108.07102260126476,D,B,0
Yes,64,51-65,C,5.182726619564216,-63.11385954473534,B,B,B,170.23742571618106,A,A,A,34.9166819427168,E,A,1
No,66,36-50,C,-3.9530125717570237,33.322628249948416,D,A,A,-39.63728627278273,B,C,E,115.47944420409007,A,D,1
Non-Veteran,72,65+,E,-14.100860886927544,120.6533377909999,C,C,C,65.54809880602855,C,C,A,-3.9026662070493967,D,D,0
No,20,51-65,A,54.63420145733966,79.63037951143791,E,B,C,9.91403516920006,E,B,D,-9.989696170286734,E,E,1
Non-Veteran,73,36-50,A,-52.759271988983,-86.0312868465573,A,E,D,-12.978282516921032,E,E,E,52.29210426329461,B,D,0
Yes,76,51-65,C,19.27685874854949,-198.9546038887296,A,C,D,66.40915988799749,A,D,B,3.5296895360310607,D,E,1
No,20,65+,E,45.636544663302224,-22.667676885416903,C,E,A,-220.15829861049824,A,C,D,83.26085562839445,E,E,0
Veteran,74,26-35,E,5.822198900363838,-53.63988302832939,A,B,B,-2.6386990958057925,A,D,A,82.9602920943154,E,A,1
Veteran,28,36-50,D,-158.6438488009578,-202.62286221547217,A,A,E,-14.379076627166205,B,D,E,62.582321021495844,A,C,0
Non-Veteran,37,18-25,A,-86.12004546480104,76.30450571280925,A,A,E,62.57612307199618,A,C,D,88.29685535263613,C,B,1
No,58,51-65,D,-267.3522981817868,124.15482376040747,C,B,D,-4.771780907727316,D,D,D,34.65687084799194,B,B,0
No,24,18-25,C,-77.11169206901481,1.7133765717257647,C,A,C,-74.63964814384511,B,A,E,245.06584472253024,C,A,1
Non-Veteran,24,36-50,E,5.482513324387981,49.799819493376496,B,C,B,61.4990272599884,C,C,C,-16.71443408419658,A,D,0
Non-Veteran,34,65+,A,-45.45109815832345,79.58069048590556,E,B,B,121.41762506957802,D,C,B,18.752046879351187,B,D,1
No,52,65+,C,-105.67877430329872,-178.46184469776762,B,D,B,10.568093962376551,E,C,A,117.16794413387967,B,E,1
Yes,73,51-65,A,2.434045106316199,-0.35454440005142057,A,B,E,35.65363382181586,A,D,D,-104.51695725155487,D,D,0
Non-Veteran,68,51-65,A,-56.99381522892367,67.97235474974896,D,B,D,47.643459600794635,B,A,A,14.014160436769338,C,C,0
Veteran,74,18-25,E,103.44742906816391,-147.14150743587692,C,A,B,-9.362158232252039,C,B,A,-240.45064257471424,C,C,0
No,23,36-50,B,284.8663143701051,194.2539813072105,A,B,D,-34.535350334155424,A,B,B,-56.63682409399647,D,B,0
Non-Veteran,47,36-50,B,-90.93241738470694,211.41433524919776,D,A,B,-139.72241825183406,C,E,C,17.888288099537974,C,C,1
No,44,36-50,B,21.851235313010807,-14.015080112663345,C,C,C,-113.46116338423711,C,B,B,-148.55437992264214,A,B,0
Yes,38,26-35,D,-67.11379193254604,-55.57821312119915,E,E,D,19.326856216700907,A,C,A,-66.20461089187816,A,A,1
Veteran,54,26-35,B,-60.39241063728924,-245.2342563086737,D,C,C,-43.518671516358545,C,D,D,48.68880709911117,C,A,0
Veteran,19,51-65,E,32.24187450734984,37.94924025799064,E,E,A,-127.68196718994093,E,E,E,-73.42636252623454,D,C,0
No,75,26-35,D,-38.37999820910535,63.90950213206092,E,C,B,-157.31449937975285,E,E,E,-174.59980179526505,C,A,0
