military,SEX,Race,orientation,feature_0,feature_1,feature_2,feature_3,feature_4,target
Non-Veteran,Male,Asian,Bisexual,-122.13970220792876,D,-5.68002206174514,B,E,1
Yes,Male,Asian,Bisexual,170.93529801232364,A,24.924082693384406,D,A,1
No,M,White,Homosexual,-65.79940013585868,C,191.1905159029953,E,E,0
Non-Veteran,M,Black,Other,-44.500074496620066,E,18.52937819889814,A,A,0
Yes,F,Asian,Homosexual,26.110267368174156,E,57.5463304573655,D,C,1
Non-Veteran,Other,African American,Homosexual,-19.33063461550808,D,-133.2370764955019,C,E,0
Yes,M,African American,Homosexual,-207.20475794257283,B,95.3208864500321,A,A,1
Non-Veteran,Male,Other,Bisexual,-206.14735973015624,E,133.26908931823806,C,D,0
Non-Veteran,F,Other,Bisexual,-0.16706382327921157,E,16.401335234382866,B,B,1
Veteran,M,Black,Heterosexual,155.92374280967582,E,27.30598453133411,A,C,1
Veteran,M,Asian,Other,-152.34198646514469,D,52.58841405785486,E,C,1
Yes,Male,African American,Other,-4.248165104579923,A,50.14110554712524,B,B,1
No,Female,Asian,Bisexual,-73.02057211912988,A,101.86344810605956,E,B,1
Non-Veteran,F,Asian,Homosexual,12.135822559666376,D,-139.61303647130052,D,A,0
Veteran,Female,Other,Bisexual,108.3155222118162,D,-197.4890372671779,B,C,1
No,Female,Other,Homosexual,220.09217246124274,D,3.8077561385133087,B,E,0
Yes,Male,Other,Other,-33.479747646177124,D,6.571974014516492,A,B,1
Non-Veteran,M,Asian,Heterosexual,67.82104168536705,D,91.29525583592348,B,C,1
Non-Veteran,M,African American,Other,54.79255451732449,E,-68.38092962753737,C,E,1
Non-Veteran,Non-binary,Black,Heterosexual,-10.831020241119646,C,-76.05779274959666,A,C,1
Yes,Non-binary,African American,Other,-74.27551787245199,B,83.74820969777778,D,A,0
Veteran,Female,Asian,Bisexual,-156.86362682450303,A,-255.20659080400972,E,C,0
Veteran,M,Other,Heterosexual,-159.60151216334742,B,70.34293767873672,C,A,0
Veteran,Female,African American,Homosexual,-212.3628867879745,C,-53.34530753762071,E,B,0
Veteran,Other,Other,Other,20.452724902481524,C,8.179878374373258,D,A,1
Veteran,Male,African American,Homosexual,11.94751029930416,D,-123.45244134755615,A,B,0
No,F,Other,Homosexual,127.30594684978274,B,54.71749924398615,C,D,1
Yes,Female,African American,Heterosexual,-37.00452503022084,A,67.81523486397863,D,D,0
Veteran,Non-binary,White,Homosexual,52.921965036167016,E,43.8458921361187,C,E,1
Yes,Male,White,Other,78.3211299732559,E,114.81799076981274,B,E,0
Yes,Female,Black,Bisexual,-41.625032188184825,B,20.588232211599745,E,B,0
No,Male,Other,Other,-18.522343559535397,B,-92.80699043980499,E,C,0
Veteran,F,Hispanic,Heterosexual,113.5831210661228,E,-85.78187808770336,A,C,1
Yes,M,African American,Other,-54.196727675526034,D,45.6240112998475,B,E,1
Veteran,Non-binary,Other,Bisexual,-69.60719030417258,D,-96.53138725967074,C,C,1
Yes,Other,White,Heterosexual,-73.70318992271578,A,-16.38204426115088,C,C,1
Veteran,M,African American,Bisexual,-80.43789360753169,E,10.68500941555314,E,C,0
Non-Veteran,M,Black,Bisexual,89.03112446067041,C,72.42935324715401,A,A,1
No,Other,African American,Bisexual,-31.92451370911259,D,-225.61481398812364,E,C,0
Yes,Male,Hispanic,Homosexual,-101.84593062081501,D,-116.97904298163218,C,D,1
Non-Veteran,Non-binary,White,Homosexual,-84.39125660812749,A,89.83944419741317,B,B,0
Non-Veteran,Female,African American,Homosexual,20.185235184668173,A,80.70624013805609,D,C,1
Non-Veteran,M,African American,Homosexual,25.360135013018553,D,68.17074032085083,C,E,0
Non-Veteran,Female,Hispanic,Bisexual,-4.406887121763314,D,126.78361232934141,D,B,1
No,F,White,Other,-58.223772830685135,D,-17.796963971478025,C,B,0
Non-Veteran,M,White,Other,41.543166477900165,C,46.73204949682224,E,D,0
Veteran,Non-binary,Hispanic,Bisexual,45.71220446075852,A,112.07696917360263,D,A,1
Veteran,F,Other,Heterosexual,133.98326640668688,A,-117.12802014415517,A,A,0
Yes,Female,Other,Bisexual,-49.93007523393982,A,9.089003623722189,B,B,1
Yes,Male,Asian,Heterosexual,-0.2818207667696152,C,-162.57914743388483,A,B,0
Non-Veteran,Male,Hispanic,Homosexual,0.7451116114583416,E,155.23189354528424,E,A,0
Non-Veteran,Male,Other,Bisexual,95.07953066178511,C,80.01042443484037,B,C,1
Veteran,M,African American,Bisexual,-227.40285632206167,E,18.431973840934432,B,A,1
Yes,F,Black,Homosexual,-159.4921247349066,C,61.132776145996004,C,D,0
No,Female,Other,Homosexual,-0.09024594333084011,A,-224.69310040470276,C,D,1
Non-Veteran,Non-binary,Black,Heterosexual,23.605382684424963,A,-176.93098201381437,C,A,1
Non-Veteran,F,Asian,Bisexual,155.49916586485375,A,12.780146760445845,D,B,1
Non-Veteran,M,Other,Homosexual,-85.74947469025916,E,23.67064195192444,E,B,0
Non-Veteran,Other,African American,Bisexual,41.458683867046446,C,46.65154664449062,B,E,0
Veteran,M,Black,Bisexual,-82.35969730699418,C,-250.25313818401546,E,B,1
Veteran,Non-binary,Asian,Heterosexual,145.84330268443443,E,-160.12140633479223,B,D,0
Yes,M,Asian,Heterosexual,-84.73753928862298,D,57.303030314219306,C,C,0
Yes,F,Asian,Other,101.80533322173262,B,-81.6495712976771,A,A,1
Non-Veteran,Female,Hispanic,Heterosexual,-53.899208645240435,E,8.36832903755428,C,B,0
No,Other,Other,Heterosexual,67.3796663182753,C,-142.1476471036951,A,A,0
Yes,Male,Asian,Bisexual,160.56460372979336,D,-155.28887513151076,C,D,1
Non-Veteran,Female,Other,Other,-153.95190242139037,A,44.50697719419598,C,E,0
Veteran,Female,Black,Bisexual,73.58416917350546,D,106.96705753743953,E,D,0
Yes,F,African American,Other,-45.681037579989905,A,-23.320879418063708,E,E,1
Yes,M,Other,Homosexual,-25.501601796697535,B,26.587076948245908,C,E,0
Non-Veteran,Other,White,Other,-72.33679430119774,C,91.29881530521318,B,D,0
No,Male,Other,Bisexual,106.04170984156727,B,242.40548417516123,D,D,1
Yes,F,Hispanic,Heterosexual,49.976277685041154,A,90.53839379278539,A,E,1
Yes,F,Black,Homosexual,213.9511152648916,B,115.03676809182784,E,C,0
Non-Veteran,Female,Other,Other,-54.67367262014581,D,54.39897845679128,E,A,1
Veteran,Female,Asian,Heterosexual,75.9523685798,B,33.63948879850493,E,D,1
Veteran,M,Hispanic,Bisexual,111.20776326765191,A,22.119554837688902,C,E,0
No,M,Asian,Bisexual,1.6251528895241298,C,1.9374750275341583,A,C,1
No,M,Hispanic,Homosexual,-21.76985274376931,D,-75.47711145685385,C,B,1
Yes,Other,Asian,Other,108.1745859046079,E,34.38164712176198,A,C,1
Veteran,Non-binary,Asian,Other,-59.25032993449007,B,103.74172601646816,E,E,0
No,F,Black,Homosexual,110.45144349593303,C,-60.77291635023807,D,D,0
Yes,Other,Asian,Homosexual,-179.68613153309767,B,-20.331962623298306,D,D,0
Non-Veteran,Male,African American,Other,90.68396451213732,B,5.283775150502223,C,B,1
No,Non-binary,Hispanic,Other,45.68550441009323,C,-127.51361534320085,B,B,1
Non-Veteran,Non-binary,Hispanic,Homosexual,-226.1358814183743,D,-1.7545466760531365,D,E,1
No,Female,Black,Other,10.988176735076383,C,-131.12153162400364,C,B,0
No,Other,African American,Heterosexual,-10.13978430005241,E,-121.08121223640767,E,B,1
Veteran,Male,Other,Heterosexual,8.083140952113103,E,-110.8559673682207,C,A,1
Non-Veteran,Male,White,Other,175.83096042388559,A,-110.2899591686432,E,D,1
No,Male,Other,Other,9.686871376723271,D,-100.24241076732807,E,A,0
Yes,Other,Hispanic,Other,14.250644346026286,D,-89.7068338612799,D,B,1
Non-Veteran,Non-binary,Hispanic,Heterosexual,-30.609932782741684,A,10.125735191104383,D,A,0
No,Non-binary,White,Heterosexual,180.60464522018756,A,-180.63797612901317,E,C,1
Yes,Other,Asian,Bisexual,27.24450362838645,E,63.178477764109516,C,E,1
Yes,Other,Other,Bisexual,-3.930377986975183,E,-7.3848188465573426,C,D,1
No,Male,Hispanic,Bisexual,40.831924163279986,A,103.89426801659798,A,B,0
Yes,Female,Hispanic,Other,152.19407548923854,B,31.85796017689665,D,C,0
No,F,White,Other,7.39801474391809,A,-128.45979360123886,E,D,0
Veteran,Non-binary,White,Heterosexual,77.4566508256529,C,-69.04024348657339,E,C,0
Yes,F,Other,Bisexual,-178.00809095991227,B,-96.60147604686556,D,B,1
Veteran,Non-binary,Black,Bisexual,-34.46050635894191,B,-69.1486456167775,A,E,0
No,Female,African American,Other,233.25326148337012,D,-106.22550105462824,C,B,0
Yes,Other,African American,Other,107.33483620371966,E,56.104615180091535,D,A,1
Veteran,Female,Hispanic,Heterosexual,-191.0100156503183,B,-12.22306628067304,D,C,0
Yes,Non-binary,Other,Homosexual,182.77474307052537,E,138.79242396140924,C,A,1
No,Non-binary,Other,Homosexual,-57.83635075543266,A,-14.319891257511271,C,C,0
No,F,Hispanic,Heterosexual,-8.978548263765274,B,-57.25319050776415,D,E,0
Yes,Non-binary,Black,Bisexual,-127.93253985709782,E,-10.745590320549598,D,E,1
Non-Veteran,Other,Asian,Other,84.15262705255935,B,71.2319305272816,A,E,0
Yes,Female,Other,Heterosexual,-109.57411165013139,C,-4.788375951949162,C,E,1
Yes,Male,African American,Bisexual,-76.8927830357681,C,28.599085489467235,B,C,1
Non-Veteran,Male,Other,Other,-104.21199510014667,E,-240.3648222714278,D,D,1
No,M,Other,Other,39.56030291823374,B,-30.300766815096274,E,D,1
Yes,Male,Hispanic,Heterosexual,-110.14900555091214,D,208.54981865577358,C,D,1
Yes,Female,Other,Other,-32.517475822207885,E,98.11007672266815,B,D,0
Non-Veteran,Other,White,Bisexual,243.6741930452232,E,49.96093094892061,D,E,1
No,Other,Other,Bisexual,35.37991541741598,A,-68.15872608614775,E,E,1
No,F,Asian,Homosexual,-24.105511931564585,C,-176.72606706771168,D,D,0
Non-Veteran,F,White,Homosexual,30.671071713530594,D,88.20495527039027,D,C,1
Yes,Female,Hispanic,Bisexual,183.2758800919233,A,-107.39553106823614,A,C,1
Non-Veteran,Other,Black,Homosexual,-32.56965793115424,A,-70.47864742211678,D,B,1
No,F,African American,Bisexual,-19.561371606636673,E,-209.1639919679644,D,E,1
Non-Veteran,Non-binary,Other,Other,2.94808347658062,E,-14.472939347612716,B,C,1
Non-Veteran,Non-binary,Asian,Other,-120.69253373142494,D,-79.29274310543241,A,B,1
Yes,F,Black,Homosexual,137.61740279959162,D,-108.29931180915383,A,C,0
Yes,Non-binary,African American,Homosexual,-174.80271188789217,D,22.10692135855041,D,B,1
Non-Veteran,Non-binary,Asian,Bisexual,130.3005322358297,C,-108.34247254517055,C,C,1
Yes,F,Other,Heterosexual,-182.68009183782252,D,122.29536699933725,B,C,0
Non-Veteran,Male,Hispanic,Heterosexual,-95.32754117672829,B,-113.39050923061392,E,B,1
Yes,Other,Black,Homosexual,-165.89484282661417,B,6.181408445211138,C,A,0
No,Male,White,Heterosexual,-47.187476802006756,A,-106.32909686466168,C,C,1
Non-Veteran,Non-binary,African American,Bisexual,194.94180516623786,D,-57.171526001494875,B,C,1
No,Female,Asian,Homosexual,-74.16349122819662,B,260.13014380833295,C,B,0
Non-Veteran,M,Hispanic,Bisexual,205.9293515457584,A,74.82048329049992,C,D,0
Veteran,Non-binary,Other,Other,120.44331644424405,D,94.43700188441532,A,A,0
Yes,M,Other,Heterosexual,54.43335879178357,E,-251.0995332539594,D,C,0
Yes,F,African American,Other,83.6084924287224,D,-0.15214195095369096,C,E,1
Yes,Non-binary,Other,Homosexual,-28.112320960267834,C,-96.97201387138486,E,E,1
Yes,M,White,Homosexual,-176.7111735434038,C,-95.40290723694714,C,E,1
No,F,Hispanic,Homosexual,11.965716623653353,E,63.305001830439025,D,B,0
No,Other,Hispanic,Other,-17.248775611675946,D,3.7118336423187834,C,B,0
Veteran,Other,White,Homosexual,-8.516804422112083,B,171.55715690165178,B,B,1
Non-Veteran,Female,Asian,Heterosexual,-77.92343659330292,D,-35.56029779403854,B,D,1
Yes,M,Hispanic,Bisexual,-125.82780599001579,D,28.98174453100775,C,E,1
Yes,Female,Other,Homosexual,113.98453752542022,C,-28.604890883783863,A,B,0
Non-Veteran,Male,Black,Bisexual,111.05943807125651,A,163.00721069415908,B,D,1
No,Non-binary,White,Other,15.326499805091826,B,2.6144962838319876,A,E,1
Yes,M,White,Heterosexual,41.97180609700311,D,255.93448234372192,A,D,1
Yes,F,White,Other,-74.8850070554061,B,113.99861793992952,A,E,0
Veteran,Non-binary,White,Heterosexual,-233.34617015239854,B,32.20568629742405,E,C,0
No,Female,Other,Heterosexual,46.64189818036944,B,-72.31500676849863,D,E,0
Veteran,M,Asian,Heterosexual,20.019206599040082,D,11.43648465452259,E,E,1
Yes,F,Hispanic,Heterosexual,80.3030009619287,C,117.8038160006534,E,A,0
Veteran,M,African American,Other,-275.92973642504785,E,-52.5260950344328,B,B,1
Non-Veteran,Male,Hispanic,Bisexual,11.091594158368746,B,235.05688408462427,D,D,0
Veteran,M,Other,Homosexual,-70.67286939184612,D,-26.154403295556882,E,E,0
Non-Veteran,M,Hispanic,Other,178.61917065818216,C,-11.836306580779787,D,C,0
Non-Veteran,M,Other,Bisexual,-168.19693471395175,E,-50.97787366256027,C,C,1
Yes,Male,White,Bisexual,69.6899030346878,E,-11.864395544113396,B,E,0
No,Male,African American,Homosexual,-38.076110311899974,D,-103.85607964183521,D,A,0
Veteran,M,Other,Bisexual,-99.04158916842735,A,135.5907181260212,E,A,1
Yes,Non-binary,Black,Other,217.61150378321236,C,137.03649328672464,C,A,1
No,F,African American,Other,272.0132019284466,E,86.75674078311269,D,B,0
No,M,Asian,Homosexual,29.20693712157196,E,-144.27817944840757,D,E,1
No,M,Hispanic,Bisexual,130.17148631484613,A,-115.65909630707509,D,C,1
Yes,Non-binary,Black,Bisexual,-180.83152847347682,C,49.767385719340865,B,D,1
Non-Veteran,F,Black,Heterosexual,-127.81535404602215,E,79.92241838242853,A,B,0
No,M,Black,Bisexual,-8.496000815037236,B,82.05897395250055,D,B,1
Yes,Non-binary,African American,Other,39.08031943705575,E,94.18194348394935,E,C,1
Yes,Female,African American,Bisexual,-71.55362961170871,D,-24.830497269744942,E,A,1
No,M,Black,Homosexual,19.51836452249947,E,107.080904927388,D,B,1
Veteran,F,Other,Homosexual,34.56513266211753,D,-161.45916929675738,A,E,1
Veteran,Female,White,Homosexual,34.82479019635875,C,-126.62203547341984,D,B,0
Yes,Other,Black,Homosexual,-16.167587343280623,C,51.626231238465124,D,A,0
Yes,F,Black,Other,-46.355697110295004,B,25.69501361469567,B,A,0
Veteran,M,Hispanic,Heterosexual,-13.317565426255207,B,23.49396224233013,E,B,0
Veteran,Other,Asian,Heterosexual,-40.1018184965829,D,-127.08634722973913,D,E,1
No,Male,African American,Other,38.33168635668816,C,10.700062287486814,C,B,1
No,Female,African American,Other,48.602246351707336,A,-121.25929272605758,A,A,1
Veteran,F,Asian,Other,-54.353456524409516,A,-24.69175120747544,B,E,0
Veteran,Female,African American,Bisexual,-143.43590527218325,B,69.49062830406551,B,A,0
Non-Veteran,Non-binary,Asian,Bisexual,-103.1711519757273,A,21.78326264589433,B,C,1
Yes,Other,Asian,Bisexual,28.42241053778633,B,-182.40745910508122,E,A,0
No,Non-binary,African American,Bisexual,-7.03337425580512,A,151.08183716020682,D,E,0
No,Female,Other,Other,-89.20708460467472,C,-122.87943381142357,A,E,0
Non-Veteran,Other,Black,Other,-78.76703487863847,C,97.37377580208464,E,E,0
No,Male,Other,Homosexual,73.69793983497695,E,24.55807588579288,A,A,0
Non-Veteran,M,Other,Other,16.485960170311756,E,-85.1979839157846,E,A,1
Veteran,Female,White,Homosexual,-56.374308018282385,D,-3.8834918469480737,E,A,1
No,Female,Black,Homosexual,-16.065696965763284,C,84.98240455742726,B,A,1
Yes,Non-binary,Asian,Other,60.87189711251604,D,-28.820725279381605,A,C,0
No,F,White,Bisexual,136.94284400519638,B,-177.0848312725545,C,E,1
Yes,Other,African American,Homosexual,65.45367066539913,E,96.78496456584949,B,D,1
Yes,Male,White,Other,-80.2442326327907,A,-89.9702846913424,C,D,1
Non-Veteran,Female,Hispanic,Homosexual,175.82407633397548,A,-244.51919563290437,B,E,0
Yes,Non-binary,African American,Bisexual,-11.814606747254146,E,-125.69654302289173,C,B,1
Non-Veteran,Non-binary,African American,Other,46.188244392071645,B,-87.15800563715958,A,C,0
Non-Veteran,M,Black,Bisexual,-198.0374907563062,E,-107.34349642209335,D,D,0
Yes,Male,Hispanic,Heterosexual,-22.267162995961876,D,231.82530014099396,A,C,1
Non-Veteran,Female,White,Bisexual,-29.16058621859186,D,71.13235787157971,C,E,0
No,Male,Hispanic,Heterosexual,-94.64115623531809,C,-55.20087651317817,E,E,1
Non-Veteran,Other,Hispanic,Heterosexual,56.84566697800643,C,-92.23201542073897,E,E,0
No,Female,Asian,Homosexual,-324.939396049741,D,131.01212490398214,E,D,0
Non-Veteran,Male,Asian,Homosexual,-17.404417786526636,C,38.22620367844315,B,E,1
Yes,Female,Hispanic,Heterosexual,-34.653482571182195,E,12.032923185507984,E,B,1
No,Male,White,Heterosexual,-58.132699762205156,C,-69.8784027439066,D,C,1
Yes,Male,Asian,Homosexual,6.328311942993378,E,-17.01304726827199,A,C,1
Non-Veteran,Other,Asian,Heterosexual,48.71322931428502,A,173.64343242871664,A,E,1
Non-Veteran,Female,Other,Bisexual,-71.06379032431501,D,-182.2500817192025,A,E,1
Non-Veteran,Non-binary,Other,Heterosexual,179.93313661436653,C,-5.025345126852057,B,E,1
Non-Veteran,F,Hispanic,Bisexual,39.65217190712522,A,-72.09459590890974,D,B,1
Non-Veteran,M,Other,Homosexual,-184.8947232895628,C,88.91990066555131,C,E,0
No,M,Hispanic,Homosexual,-55.816325219669075,E,24.188940036949734,C,B,1
No,Non-binary,Hispanic,Heterosexual,-252.22990133693597,E,26.791258007622364,C,C,1
No,F,Hispanic,Heterosexual,-64.80506327312936,D,69.49060983950483,D,B,0
Non-Veteran,Non-binary,Hispanic,Other,-80.29759833010911,C,49.50810820024496,D,A,1
No,Male,African American,Bisexual,-149.7410048779549,C,93.04981278630794,D,E,1
Non-Veteran,F,Other,Other,-28.424722986099816,E,-158.57059004495702,A,A,0
Non-Veteran,Female,Hispanic,Other,-35.55955079852359,A,-89.63283534667963,C,A,0
Yes,M,Hispanic,Other,208.50277838158067,E,-2.7337809876121413,D,B,0
Yes,Male,Other,Heterosexual,-87.27743095849247,E,-1.6103457917399095,C,C,1
Yes,Male,Hispanic,Other,19.620095753908483,C,-76.56854905918415,A,C,0
Yes,Non-binary,Hispanic,Other,-52.04355488870325,D,48.03293076150893,D,D,1
Non-Veteran,M,African American,Heterosexual,2.8553464156894384,E,-24.533632699292856,B,A,1
Veteran,Female,Asian,Bisexual,-137.2556066677498,B,38.45564403547413,C,B,0
Veteran,F,Asian,Bisexual,29.930739124132227,C,-47.699201885214656,A,C,1
Yes,Female,Hispanic,Heterosexual,-285.3618022790112,B,45.54750520447284,B,E,1
Non-Veteran,Male,Other,Other,101.55129682304096,A,36.10418984378482,C,D,1
Non-Veteran,Non-binary,Hispanic,Homosexual,-13.45812763362743,A,114.24956895279048,D,B,1
Yes,Female,White,Heterosexual,43.8175098481388,C,46.98375725598838,A,A,0
No,M,White,Bisexual,103.79194763575677,D,15.596215033304087,D,B,0
Yes,Female,Other,Homosexual,-109.30702726534129,E,75.67238603219155,A,E,0
Yes,Female,Hispanic,Heterosexual,96.56459468446975,B,177.53178791560805,A,B,1
Yes,F,White,Other,-8.435790128796077,D,-10.426778975677928,A,D,0
No,Male,Other,Other,-124.06097789777127,A,132.6614513803622,A,E,0
Non-Veteran,Male,Hispanic,Other,17.662209774888627,E,-53.17509793800842,D,B,1
Yes,F,White,Homosexual,134.72011002923426,C,-76.0461706564452,C,E,1
Non-Veteran,Non-binary,Asian,Bisexual,-9.222762520044784,D,53.43337015140543,C,D,0
No,Male,Black,Homosexual,-3.6210538198792372,C,-29.43788569630546,E,E,1
Non-Veteran,Female,Black,Bisexual,-79.95610769246106,E,-52.92948463147518,B,B,0
Yes,Other,African American,Bisexual,45.16320431911894,C,164.93529627436547,D,D,1
Non-Veteran,Other,Hispanic,Bisexual,27.738458630831207,B,-116.68291876220438,A,B,0
No,Non-binary,White,Homosexual,115.33660460988757,E,74.58482000270705,E,C,0
Yes,Non-binary,Asian,Bisexual,-53.28889800467229,E,96.3951989920615,D,D,1
Yes,Male,Asian,Bisexual,-67.57317688341413,D,-25.234769438625737,D,C,1
Yes,F,Black,Heterosexual,-45.20887329550789,D,86.52764755240378,B,B,1
Yes,Female,White,Homosexual,-1.4907741828823953,C,-47.221178266493574,C,A,1
Non-Veteran,F,African American,Homosexual,-44.214099364579575,A,2.624052009362056,A,E,0
No,Other,Hispanic,Homosexual,-43.73080448626335,A,169.04875418256768,E,C,1
No,Non-binary,Hispanic,Other,84.85678792516825,E,-33.68339289900965,E,A,1
Non-Veteran,Non-binary,Black,Other,257.88189111772607,E,152.01035124939864,B,D,0
Non-Veteran,F,Other,Heterosexual,217.04408002815953,A,-96.7492878497874,B,D,0
Yes,Non-binary,Asian,Homosexual,47.18316332697042,B,9.600211237844366,C,C,1
Veteran,Non-binary,Black,Heterosexual,-14.706989769763249,D,-1.420418995630506,A,B,0
No,Non-binary,Black,Bisexual,132.98257642257101,B,-5.748595889887157,B,C,1
Non-Veteran,Other,African American,Homosexual,-50.97741166458668,C,-3.5352745854767234,C,D,0
Yes,M,Asian,Other,43.00889354146269,B,77.56691040399555,D,A,1
Veteran,M,African American,Homosexual,-151.95797075448837,D,-30.454049436262785,A,D,0
Veteran,Male,White,Other,56.98186377715741,B,36.634373858617806,E,E,0
Yes,Female,Other,Heterosexual,-78.07482657197899,E,-17.882107699296014,D,D,0
Non-Veteran,Female,Hispanic,Other,39.57902479976777,D,-15.004151909054986,C,B,0
No,Other,Asian,Bisexual,-75.35745509026331,A,-208.93913319032563,B,A,1
Veteran,Other,Other,Homosexual,-162.76663231084788,B,-289.76861784845096,B,B,0
Non-Veteran,M,Black,Bisexual,-36.681517285473575,B,64.12435049413011,C,D,1
Veteran,Non-binary,Other,Heterosexual,-3.2193090407240748,E,203.07477484619943,B,D,0
Non-Veteran,Female,African American,Other,21.052878146936237,A,44.56805184041005,D,E,1
No,Non-binary,White,Heterosexual,-119.7362386719393,B,-67.86470813606932,B,E,0
Yes,M,Hispanic,Homosexual,-188.6336413716934,A,67.36723490254835,C,A,0
Non-Veteran,Other,White,Bisexual,1.2569628101386165,D,-37.78195020357183,B,D,1
No,Female,Black,Other,-202.03717395722492,D,-25.521994769919225,B,B,1
No,Male,Hispanic,Heterosexual,-68.55615872543758,A,109.91811133267785,D,B,1
No,M,Asian,Homosexual,129.22065847071008,B,-136.46769071605885,E,B,1
Yes,M,Hispanic,Heterosexual,-75.52014907458037,B,146.19002594729443,C,C,0
Yes,F,Asian,Other,43.38105726733368,A,28.89721867801147,E,A,0
Yes,Male,White,Other,-31.546598514603552,A,-16.224159147394445,E,E,1
Non-Veteran,Other,Black,Heterosexual,-223.6322983144345,A,-142.52204791276398,B,E,0
No,Non-binary,Other,Homosexual,-201.34046453162617,C,44.63440062145874,E,A,1
Veteran,Other,White,Other,-58.866923331304,B,-124.75720231819729,C,B,1
Veteran,Female,Black,Other,18.734887650738628,A,12.27043954123529,B,B,1
Yes,Male,Black,Heterosexual,-0.04906687953459531,D,-140.74523283455034,C,C,1
No,M,African American,Heterosexual,77.18288562219863,E,-26.90518059498222,A,A,1
Yes,Other,Hispanic,Other,-9.394223122303446,C,-11.331146405459489,A,A,0
Veteran,Non-binary,Other,Heterosexual,-82.81160936722283,D,71.16853831952301,C,D,0
Yes,F,Hispanic,Heterosexual,90.94699395587442,E,-23.62636718559126,C,D,0
Yes,F,Hispanic,Heterosexual,29.063682675267383,D,54.17284530813071,B,C,1
Yes,Male,Black,Homosexual,81.25381787510882,D,181.17631551691034,C,E,1
Veteran,F,Hispanic,Heterosexual,-26.236683599575322,C,-140.45687618168478,B,A,1
Non-Veteran,Male,Other,Heterosexual,-118.86402779992844,D,250.2983209910015,E,C,0
No,F,Asian,Heterosexual,8.865697780391017,C,-94.4856304255475,D,E,1
Veteran,Male,White,Homosexual,-27.11071038926059,A,-51.35873963585753,E,C,1
Veteran,F,Hispanic,Heterosexual,-86.07658690893658,D,-37.095915766933786,E,C,0
Veteran,M,Asian,Bisexual,114.28149133475476,A,-107.61852478140779,C,B,0
Veteran,M,White,Homosexual,122.71839003769014,D,37.112477760853665,B,C,0
No,Non-binary,White,Heterosexual,18.415149312601578,B,87.81869948063881,D,B,1
Yes,Other,African American,Bisexual,44.34778505992449,D,92.33091162737176,C,A,0
Non-Veteran,M,Black,Bisexual,-19.513024633451572,A,-51.59995626790862,C,E,1
No,M,Black,Homosexual,84.47163308858914,D,206.92770720684405,C,D,0
Yes,Male,African American,Bisexual,127.20517590356314,E,-63.865734137350316,D,C,1
Non-Veteran,Female,Asian,Bisexual,-208.86309403905994,B,49.34490088096454,B,B,1
No,F,Other,Heterosexual,236.7150427039237,E,-48.693629025328846,B,A,0
Veteran,M,Hispanic,Homosexual,-31.140457947700174,E,-56.826828372721415,B,E,1
Veteran,Female,Other,Homosexual,107.83254927065454,B,123.63618384688834,C,C,0
Yes,Male,Other,Other,-208.30422800526915,E,61.413556692732726,E,C,0
Veteran,Other,Black,Heterosexual,20.563195410562386,C,-182.85540398943633,B,C,0
Yes,Non-binary,White,Homosexual,84.08819269180617,C,17.93650317947099,B,A,0
No,Non-binary,Hispanic,Heterosexual,-110.43248874883854,B,218.79724203846195,E,C,1
Yes,F,White,Heterosexual,-172.17767846221471,A,61.90765732753355,C,D,0
No,Male,Asian,Bisexual,-4.978968679851886,C,-58.2391814271094,A,B,0
Veteran,Other,Black,Bisexual,-120.58884342762451,C,126.85572269706309,B,E,1
Veteran,Female,Other,Heterosexual,141.88801825940118,E,126.57687268028512,C,B,0
Veteran,Other,Other,Homosexual,36.123790590280066,E,37.09419100355802,D,B,1
Yes,Other,Hispanic,Heterosexual,41.17541398211281,D,-94.04081578247701,B,E,1
No,Male,Asian,Other,1.7495164267748626,C,52.251478067461875,C,A,0
No,F,Black,Heterosexual,-110.37151450159305,A,-71.37635869458619,D,C,1
Non-Veteran,M,African American,Homosexual,-38.23063986583558,D,-25.550095907659504,C,E,1
Yes,M,Hispanic,Other,72.5731226087884,D,-20.262269573774265,B,A,1
No,F,African American,Other,250.10794468455222,C,-68.85103099229056,E,A,1
No,Female,Asian,Other,-127.92836738704445,C,-37.09942599724146,C,C,1
No,Non-binary,Black,Bisexual,-46.25823013293117,E,-20.20309664690373,C,B,0
Non-Veteran,Female,White,Homosexual,-141.76510504067767,D,0.3463015935340478,A,B,0
Yes,Non-binary,Asian,Heterosexual,66.24814866038824,A,-52.04069267783629,C,E,0
Veteran,Other,White,Homosexual,-19.014735572911103,B,-39.9915697529208,D,E,0
Non-Veteran,Non-binary,Black,Other,31.6398276945824,E,-253.25781031745254,E,E,1
Non-Veteran,M,African American,Heterosexual,219.7300668480491,B,-7.423393904287791,D,E,0
Veteran,Non-binary,Asian,Heterosexual,-89.7238458516374,E,-22.536877484227958,D,C,0
Veteran,M,White,Bisexual,-41.99380428801576,A,-64.59464584971258,D,A,0
Veteran,Female,White,Other,264.7971487031946,E,-110.41221380929844,C,E,1
No,M,Other,Heterosexual,-62.65132883950305,E,-43.59257961538003,D,C,0
Veteran,Other,Asian,Bisexual,-74.71818819441353,E,54.736317298787654,A,A,0
Veteran,Male,Black,Bisexual,56.79616424497023,A,-14.840016146506171,B,B,1
