age_range,country,civil_status,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,target
26-35,Mexico,Divorced,61.29992699170099,E,33.68363259542611,-90.41334747801028,58.264319047335,-39.00620111751717,-63.08910752118684,E,D,170.28762611775747,1
65+,Brazil,Divorced,-33.13110719648951,B,-157.305387640724,6.162405596351351,51.54969706521606,47.904263301317144,-42.10784169907557,B,A,-40.466948561981404,0
36-50,Other,Divorced,64.71255190318736,C,-93.46535900408375,124.05865293831984,152.88012376801845,-195.46788887889056,-32.63881331012296,E,B,156.6098700041136,1
26-35,Other,Married,64.0050455144715,D,-128.14269299765863,-88.00375092241445,13.593592459837161,-207.78432961787004,-9.697320261885972,B,A,199.62149155990886,1
36-50,US,Widowed,-168.1599080996434,C,18.917199439147335,-134.81456070386727,51.311205520156854,-29.103955137947374,100.01598779952631,B,A,-21.278686257924946,1
65+,Mexico,Single,192.53945053308706,E,-156.50942515536502,-46.26069648695935,33.84614145035869,106.72585215976109,45.1455016931761,B,C,-3.6493316746096176,1
65+,Mexico,Single,-29.83696948115017,E,100.46319636677711,-163.64906093857167,107.68272749184003,7.8115849112839655,6.938665293505698,C,A,-46.795280690107624,0
65+,Other,Divorced,-122.04335212576736,B,69.70843252618731,-80.89528641534552,257.1168471909489,9.142389520425654,135.03662733301843,E,C,13.690239891347042,0
65+,US,Single,93.3623644215056,E,-74.06979597324798,-54.64689262588664,68.6336087384456,118.4374132562313,-194.18192531084048,D,E,-1.4175141015900015,0
65+,China,Divorced,4.076684134304647,E,-98.92671949841993,-140.129295101827,100.71921737669118,15.982621467467647,83.689559858682,E,E,84.83655438084382,1
18-25,Other,Widowed,-7.756040036841573,C,-35.77363918197571,10.283989438011885,-35.423578118127814,53.545849586900864,-30.826387648538628,E,B,23.709290790505367,0
51-65,India,Single,-82.32330600060278,B,-96.99709329400325,-118.86223302888752,73.76698597197839,-172.52183552284242,-261.17499229893497,A,D,-92.72724815161585,0
65+,India,Divorced,44.43734223350465,D,-24.28320052180783,143.54820550102562,111.98934151837709,-8.268128697122584,-142.61892952488842,E,D,118.50746021383208,0
18-25,Mexico,Single,163.017079925437,C,43.017192146226,84.26516187842512,55.16972084612907,85.80832760439715,173.69904383682362,A,D,-109.7094594019237,0
65+,UK,Married,16.95920749628683,C,-73.12645939978313,146.20642929804072,-166.7391851984418,68.89061460160218,-67.01339690437628,D,E,28.638904725225007,1
18-25,Mexico,Widowed,-185.58651607207898,C,-56.72743080304771,-29.871790351438925,192.82428547532558,-149.97413266438164,257.97469350098135,B,C,-79.19080386605793,1
51-65,Other,Married,39.10907800239103,C,123.31798539382062,-74.20807446743336,-53.07222565306643,-157.30065116130973,38.0606042597986,A,B,70.47995819285916,0
18-25,Other,Widowed,4.780139618934696,A,-44.91257673173667,-15.398910365238121,73.49376032535463,59.13629742300975,-33.648572494924814,C,E,-52.25268110140764,0
36-50,Other,Married,155.27709142625886,B,-263.2167737417217,-175.29759291812707,68.82948027290225,-4.69550916346355,-107.5351369902674,E,C,139.78417052582415,0
18-25,US,Widowed,105.64052187819746,D,-50.37359770806076,-59.22405414426885,132.21892067488594,14.925246801601311,-44.13269351122686,C,A,-4.91179036925676,0
51-65,Brazil,Single,-42.879066529264094,C,-92.49760517281295,17.260949937517363,-71.5344545222077,103.28831405678416,-112.98020032840965,B,D,-63.20187238944044,1
65+,Mexico,Widowed,-30.428079779842292,B,-56.20486405376954,56.04276456774946,-54.86293034172491,154.21787923982197,-83.45793168320282,A,C,73.85114607425793,1
26-35,US,Single,-30.019066594499193,E,-29.427819262414644,-143.03690830239955,13.986222315980726,-59.32561399551475,1.5675538883762732,B,E,19.428844629975732,0
36-50,Brazil,Divorced,-172.29674198392914,E,-80.05278429224654,78.05210258965823,24.458848747729025,337.4234961703871,70.85270092839096,D,B,-30.764302786907372,0
51-65,China,Single,235.50171580611763,E,-40.15429025766665,58.71692231720487,17.826229364119538,43.12704744844401,-21.125272626021175,C,E,-103.40825525889055,0
36-50,India,Married,64.6789014762622,D,-15.717435929794,208.40058427738342,-56.063309340719414,87.45102421251421,51.98289561896768,C,D,69.47447984961948,1
65+,Other,Married,-201.49547350360223,B,-82.89088992705828,69.49000429622723,146.5945960152523,-9.554977584777891,-149.09813817877952,D,E,36.39994083013109,1
26-35,Brazil,Single,-108.1763994782874,D,61.48102385382677,-86.12157285078472,103.4855729415858,174.20493778621105,-44.43700781568255,C,B,-92.22991156033143,0
51-65,UK,Widowed,153.37372956895794,E,-81.67422522112243,-119.29598144251558,-113.03713616811733,-25.482132824083802,-124.98399593078,A,D,-26.32688113900977,0
26-35,Other,Married,206.06848890509815,B,14.474960369828931,55.72987568000515,134.93927070168917,-46.97613270519882,101.17239533110542,E,B,-153.033042228069,0
65+,Mexico,Single,92.01028618186176,E,-17.695502932419153,108.99465067172294,2.058616350866302,157.28761837103264,-13.435589608088655,D,D,204.5583165753532,1
26-35,Germany,Widowed,68.78177787743854,A,47.175704227724516,50.276629060495715,-115.74302618254488,52.785534272254054,-50.98875068657183,C,B,29.701964221783804,0
26-35,Germany,Married,-130.17241478664485,E,-72.97643971183356,57.56898383184935,-46.63101452496365,132.16930033313113,23.55610509260679,C,A,63.70126490415845,0
18-25,India,Widowed,-22.604929910112688,C,-161.96600641511006,-122.4014281546091,-8.272330352155466,2.4089414578248722,6.227049873111238,A,C,51.429885283032206,0
26-35,UK,Widowed,102.97074229089777,E,137.47617250653485,-2.388911626686426,62.30813824425092,77.08692858491844,178.2197056571908,C,D,-98.78421889428391,1
26-35,Mexico,Married,-1.4264782227566144,B,-221.62506475425366,48.841359758043616,-127.75649993834652,2.394299022113824,123.49866829259837,E,B,2.532849430568292,1
51-65,Other,Single,-65.54731243911995,D,-100.00017052882626,-17.300837779958545,-104.09714619335718,-196.95749950760523,151.2868206641874,E,B,60.688266661375714,1
51-65,China,Divorced,-133.40972674892845,C,68.41351197170094,41.55776540298065,66.81320226626367,13.650581301431366,253.8901003082237,C,D,51.91397590576317,0
51-65,US,Married,-157.68128618103677,C,-44.7907642121086,-188.1407425133797,209.87231331292148,139.46427431156988,-11.773517306078745,D,A,-32.97843412271608,1
36-50,Brazil,Single,-157.95004183388255,C,245.53869901696282,-37.445026158770574,89.18525848685879,96.04674823934035,-122.5384754771682,B,C,-56.96047653739241,0
51-65,UK,Single,73.26857088058973,A,-14.912941336803943,36.411173712798345,-39.530040806948016,127.01154428080929,76.20809225052817,C,D,-0.41560757158948125,1
51-65,UK,Widowed,81.04393996152082,C,-123.76118288524916,-85.1841105869619,15.62847012233555,-15.853971491596708,147.43265744441348,B,A,-58.85140372481183,1
18-25,UK,Divorced,-155.48683798532613,C,56.88152224426831,199.81692301627376,-60.27708622157297,79.15631146377561,-84.35415054863294,C,A,58.191584783110386,1
26-35,Mexico,Married,-36.25909969428493,A,178.805876967962,175.6924042760633,172.15170433181603,54.44314408147597,28.259836524157922,B,A,102.32758403704206,0
65+,Other,Divorced,112.88283285193039,C,-22.619218652645387,-80.107579714874,-45.80355573374074,13.169614551731303,149.12517416561718,B,E,58.66072802021053,0
65+,China,Single,-11.538443629123197,A,53.260451116981244,11.6917600094413,150.56195382611034,92.24330512787752,108.97157388612793,C,E,-182.260878806927,0
36-50,Brazil,Widowed,159.32801689481536,D,-135.60687428096742,138.30627175019632,10.345809733351304,-152.31874216030184,-159.92861375852036,E,D,160.2274787504558,0
26-35,UK,Widowed,47.73654787470998,A,-35.75943313171213,79.58062102759806,-76.36121589047131,-42.16857474909915,40.00056612737153,D,E,-61.78198759479101,0
36-50,India,Divorced,-1.6057082010806651,E,-120.31806151229512,22.591041403823162,46.82821682487783,43.17991169725191,-111.7292907297713,B,A,-45.31543363128359,1
18-25,US,Widowed,38.80654892467347,A,-41.62894127600337,145.47647421714547,67.22297006113442,156.62776554541108,27.71973522304569,E,E,44.729984711582674,0
26-35,Mexico,Widowed,48.66984166511578,C,-10.623273750774109,-46.667994782234004,13.106404549978498,66.97679447234087,9.810383202324905,B,B,31.585475672054464,0
18-25,Brazil,Married,-29.368158065270382,A,-20.456427777302107,-111.87172665759506,126.57443806848086,-156.14441607875867,-13.077259168973129,C,C,13.853205512660105,0
26-35,US,Married,96.6338426817828,B,-21.72856497685141,-147.09948701982506,-68.5440229206009,201.38545921249315,10.638138923376408,E,A,-37.09328062832225,0
18-25,US,Married,163.31639586230688,C,-82.64336880437594,7.206079604601087,24.823824097187074,39.54425599089777,-14.724763060465747,B,D,-119.86423049992881,0
51-65,Mexico,Single,-125.74162099200372,B,-185.60284937645298,-56.27520895757884,-32.33426111945852,95.40852856830455,-66.08645013434852,E,B,97.36448089169022,0
65+,Other,Married,3.3337628187576698,D,-35.13344604647606,-199.63353083404274,-18.169398256699093,-73.68003566458135,-115.36472337572815,B,C,-101.96366019481924,1
65+,Other,Divorced,19.966742915673397,A,251.17070288621676,97.86846030149549,-140.62423133814087,-32.520072022125476,12.967520075350219,C,D,16.548228767799447,1
36-50,Germany,Divorced,4.710694402023399,E,-67.86266503020062,-108.76125460083736,41.881748037577644,52.72756100419118,99.8023059377249,E,B,54.80108391964655,1
18-25,Germany,Divorced,60.49084282606805,A,-75.62623754920196,-132.66472370714956,-53.81243633473958,103.7389153897011,25.87445334100523,C,A,87.3907616931691,0
51-65,China,Married,-26.886925487953345,A,115.25582989085832,-69.17571778617783,-5.081619686249019,-188.07615884321984,-24.72757531317073,C,B,104.58974301347162,0
18-25,Mexico,Widowed,21.739253834880156,D,133.83609659384766,1.756233459369146,8.16416223588332,-129.87084450299525,-42.17639379234761,B,A,-48.60592806436741,1
36-50,Other,Widowed,-27.96731757030504,E,-132.90197112598324,-77.32679281240374,-178.65020324672994,157.7549722298349,-116.65388255109093,B,E,1.4576378198466102,1
36-50,US,Divorced,-157.69540323903513,D,100.01436043097529,159.6805445282411,120.13850889384543,-258.4822753275285,29.95740736561708,D,B,-124.4132942492999,1
65+,China,Single,-24.856306959696912,C,36.587971476424144,97.37255563106935,-143.24963664242557,24.151813082077584,17.653474949505117,D,E,-8.36199707134318,0
26-35,Brazil,Single,22.014762569906544,C,-60.32886543428534,-82.99592178280513,146.90592074640335,-218.03816833916034,-256.8983593850237,C,A,153.87042038119327,0
65+,Mexico,Divorced,80.14186141242841,A,-22.639824978308493,6.1685140149573,120.99047006107551,89.73234415599427,153.71221830289574,D,B,-8.679339989812863,0
26-35,Germany,Widowed,147.70335704186613,E,68.26568883005999,-56.53798356173295,-112.43424239730288,-100.21941505217625,-33.10989048148982,C,B,47.97877468377308,0
26-35,US,Married,-273.32281169254844,C,-100.60542719521797,28.018004446647858,121.71014817330168,83.60711760048912,217.77981991145364,D,C,-213.75339622326197,1
18-25,India,Widowed,-24.061642707978205,B,147.96148214426316,1.6304710081674654,-63.627937997485176,-226.9077092489324,-103.1240467585844,C,D,140.0232180612692,1
36-50,Mexico,Widowed,-18.485894329723067,C,-211.02669804690225,3.173770996817276,54.191526523441254,-74.78962082708728,60.87348081501184,C,E,86.6017122341585,0
26-35,China,Married,-62.4713523951707,B,-80.75730458974772,200.87496533159555,-78.80731871251388,-97.39537448682536,146.90148371145557,C,E,30.454039030560047,1
18-25,India,Widowed,-10.287234977807339,D,-37.700267812655056,-52.82885406958046,-68.00132524826428,96.00724478228318,133.1082669938994,D,D,88.48361015912275,1
51-65,India,Widowed,-30.57212108760276,B,89.67107413697522,59.631177118224485,81.19485029113662,-80.84874852074341,92.1223004019385,E,D,94.10762080337268,0
51-65,Germany,Widowed,115.37981039104194,C,142.58636083572026,82.8676760921742,-95.98060050292433,-51.83184509211913,-129.28044761701204,B,D,-80.40774674723936,1
18-25,India,Single,60.851728664899184,C,-70.28419841406942,122.60885029085426,-50.74405641067553,-25.27025571752663,-66.08010007253027,A,C,18.259909334911313,0
51-65,Germany,Married,41.50148939009523,E,-66.71626054002833,-187.3353796821646,105.02282382307848,-119.95750225637549,-78.14873400633722,D,B,37.04820034732925,0
65+,Other,Divorced,43.50933279318958,C,-5.035556029623644,-37.73800940009405,97.17952580615857,127.12303870851103,1.4236385105203797,A,B,-263.4606049538199,1
26-35,India,Widowed,-102.97882768292226,B,12.812480214481772,69.83246704737478,96.58684187785033,121.26003081331909,4.73915276303178,B,B,32.24375020512923,0
26-35,US,Divorced,-216.02064883747084,D,4.6359262548103155,-29.361764153401154,3.364476044578995,-39.694134978594384,85.30883083387204,A,C,88.49832189309991,1
26-35,India,Divorced,-187.85670352517727,A,-22.143792620743437,153.4019818187633,-15.502356685009364,89.7399894751259,-10.411777310867306,A,D,73.43961044197411,1
26-35,Mexico,Widowed,110.7436946273446,A,77.43804987071694,-205.6886696688221,100.40985924268453,-44.88625627322126,-103.67268304047712,D,A,-40.63329298174418,0
36-50,Mexico,Single,-116.75276657422795,C,-35.683180667020025,35.4533620623025,-87.80496336454267,29.08228830113833,-29.37824916483428,D,A,104.10953208151635,1
65+,Brazil,Single,-134.1759043786793,C,-77.08189289956074,31.168150106186012,70.05267079749916,-130.23992287493908,-113.60851750071122,D,B,46.35522614682247,0
51-65,Germany,Widowed,32.68493136824109,E,-99.67307022941496,-35.89008317179716,-14.143063844742764,-82.59933002229688,-37.36549783627448,B,B,-26.581639631010933,0
18-25,Germany,Divorced,47.67808625912211,E,40.40583406507103,-73.33880802368633,40.410827333360174,-115.2258371688222,43.5465345789864,D,B,-45.6943955609426,1
18-25,US,Divorced,-199.84268427505035,E,-55.69207908520026,-31.188592718331233,37.90389308807065,-69.22500143718516,17.681737594492475,E,A,-14.691468742971509,0
18-25,Other,Married,44.33008306788556,C,-125.33908427361646,-20.46847511834641,-62.21955773590868,88.07148609000082,-104.33469808751985,D,A,-107.99232965744562,1
36-50,Brazil,Widowed,158.16259230086962,C,-69.11125366347717,-144.0987433278742,119.10981108451051,-110.22543987841311,41.890972164578,D,C,-137.37678164550226,1
65+,China,Divorced,167.99246831317248,E,3.1298002480234945,-21.49088991944138,141.3043020112025,-139.98392511932227,-0.17635087351626114,D,A,-72.05840505916045,1
51-65,Germany,Widowed,-129.750629111664,D,101.37976868135902,44.024317214707494,90.89788308558502,53.66461787114741,148.93802432323994,C,C,-50.119120408721415,0
36-50,Other,Married,17.279052659983883,C,70.74815681913908,141.86788807322694,-20.415983344621978,220.4495868756239,-184.10472695808036,E,D,-46.64181261536725,0
65+,UK,Divorced,22.537696323217247,B,-63.677027318746724,-49.64654145264739,39.43009747654831,100.03608568889535,164.4708781585093,C,E,-48.04086761251929,0
18-25,India,Divorced,-167.20581015295167,E,125.91390455585827,140.6662670666495,41.94217806598658,123.72324576127247,25.2273677742524,D,C,8.976505243863292,1
65+,Germany,Single,76.78749486432122,E,264.54044980434884,57.14931842712119,191.65634657389322,-74.22881764978963,133.4662559913589,D,A,141.7664251959527,1
65+,Brazil,Widowed,-32.79395073623898,E,-26.54234548624815,-64.98910324928192,83.68766288359865,-187.44644532243186,80.60324967550356,D,B,-25.92076791207008,1
18-25,Mexico,Single,-49.096990104672095,E,-92.71191250765412,-42.77424484890234,33.85680320713413,-144.2666417052452,-120.82751323463523,E,B,-87.81582943782715,1
36-50,China,Divorced,-56.94602251964193,D,45.434730935625204,-123.94898616596262,-128.54506586698852,-40.95951461542059,-132.12493501580605,D,C,-76.1752488199824,0
26-35,Germany,Widowed,-59.40678365394512,C,65.14185676259336,94.37696181296191,50.508633017175164,-76.69456878163346,-95.98210232643406,E,B,-127.50450501254788,0
18-25,Mexico,Single,-92.9199318825795,A,-86.11631515887433,45.475321680892655,121.33391330837549,10.936621785889876,10.870830056104973,B,B,69.93152119557861,1
51-65,US,Divorced,-157.39787756115015,B,119.70495298379336,32.77443858099501,-99.67280429010489,-78.62339605688288,-62.718962813813114,B,C,173.64186517289463,0
26-35,UK,Single,131.2627537835427,D,-119.0056575812252,67.99191767191583,-71.78066193010136,-8.699959553040147,84.32123691196803,E,C,82.71601348714604,0
36-50,Brazil,Single,11.753824668531635,E,20.88608964283269,88.08173430397365,-152.08461712032673,-90.65956076883533,57.233993985583794,D,E,-7.689184057889562,1
65+,Mexico,Single,32.56263296457186,C,-45.73802547640945,86.55196514891091,177.85953353220293,13.227679795171337,-9.986350573893592,C,E,100.60943451046747,1
36-50,UK,Married,-60.74838617653493,D,-36.26743314725076,-48.131793668768644,-143.45493400714636,138.7143550080712,-77.75460609916428,E,D,-48.56216399501624,1
51-65,UK,Married,-27.05505488527561,A,-35.793409719808785,10.127423583411495,-17.201654287214353,-0.8684612531019461,81.28995790047104,B,A,51.78528512752988,0
36-50,Mexico,Married,30.881903762225633,A,-59.96229729856164,-161.4826774494059,-6.445598513794798,87.77804210503609,21.098377197943254,B,D,-12.846435690534452,0
26-35,Other,Single,99.35623801611331,D,56.682589729977764,104.27059247356081,-155.39961134465082,73.32706218896881,-30.2205820133507,C,D,-6.694182106376786,0
18-25,UK,Widowed,-155.0875309410541,C,-14.923992118570595,11.152302918827619,-92.95961877109586,36.812774074471875,23.79957259692976,A,C,-24.560539475084216,0
18-25,Germany,Married,102.86008597890968,C,3.6993931331982672,-115.48212709526324,137.9285040735358,49.314397055644356,65.09866096007454,D,D,17.81037132023565,0
18-25,Other,Divorced,48.52992064292945,E,59.27918554224121,-166.9955439617795,-57.88572369748224,-66.98384807827874,47.53420708826712,B,A,167.86351476241165,0
51-65,Brazil,Single,-84.23216720312533,D,154.8016161822969,-123.16864533396866,107.98760682727352,-25.40206334761692,68.32019682825997,E,D,180.87000390821945,1
36-50,Brazil,Married,83.17936827197504,B,-59.01440908161336,137.17712857115532,4.701208319250144,-58.95537478125483,-93.77969321539996,D,D,-147.27257311525153,0
18-25,China,Divorced,95.14408164944304,A,-231.25161886977062,-79.63934774641108,-130.357764909912,-12.660453242866982,7.717931520137198,C,C,6.772383574268413,0
65+,Other,Single,-94.4625180414614,C,-32.37118068904762,-50.40868879379443,106.71365542349737,83.031718078492,-115.07362840910405,E,B,41.547712289998806,1
65+,China,Single,260.60330405213364,C,-64.87107819623044,-84.01460090155821,-18.999529729251737,-37.60190572860827,-18.35521976773069,C,D,-14.795856672615557,1
18-25,US,Married,-20.012576185908106,A,-94.018067113191,75.2328517950494,-46.71861615277209,69.75138779783543,40.06090708715451,D,B,-121.47367410087273,0
18-25,Mexico,Divorced,132.62787102053443,C,27.995525884712908,217.69974338969718,91.76426499061012,41.13256017520058,142.13054989386055,B,E,90.77509653089268,1
36-50,US,Widowed,-63.82258470029204,B,-86.62514746350621,-110.2847117110073,169.54942668582603,23.322152105506607,97.27882708400834,B,A,23.750172422826978,0
51-65,Germany,Single,-72.49636231761326,E,-162.46836443261316,-3.2879641774726966,-28.441887047810727,-47.062715720277446,-105.5333958424815,D,A,-229.1173806298698,1
51-65,China,Married,-208.88679123113732,D,19.516914742580703,-34.27334556313835,150.57332996644024,-141.123560822342,-10.326217403553398,D,A,168.86860274762242,1
65+,Brazil,Widowed,19.81284999832374,D,-46.33771138337054,-49.672307802106594,-67.89083636506311,109.89430240601148,29.043587942339222,B,D,-53.80028471110953,0
26-35,India,Married,-27.566125746349012,B,-179.69275684314286,-27.357634433410755,96.64994078034744,-26.518876206221698,-15.427288304161477,B,B,-179.27874449453418,0
18-25,Other,Married,-16.693553288996537,D,-155.45693163184373,-4.094730337172687,44.51813873655932,-22.300399122617463,50.10971526423755,D,A,-67.23989195774513,1
65+,Mexico,Widowed,-77.84481224685021,B,63.57359730545164,-110.49156351200212,-50.09924662549153,25.092239712410695,-16.25360767186977,E,A,-79.86139352640653,1
26-35,Germany,Widowed,-101.11721138669074,D,-42.760790822113755,-88.72382286237148,107.57239491608756,30.165549597835543,105.27336631493705,A,E,150.76426694390096,0
26-35,Other,Married,128.20724160162763,E,13.992336611525086,70.95410182199565,-51.899338470339394,-209.76490689773945,126.2949980827031,B,D,-43.88969756981983,1
18-25,China,Single,3.262883374332004,C,119.13250746436125,-102.3445069219975,64.4014265265484,12.59991716838914,-176.6922835893447,E,E,39.386115812202135,1
51-65,Other,Widowed,62.82583067367176,A,-74.91305470744312,41.812005810750364,29.360026091938796,162.23335779907663,49.8557117212259,C,A,-65.54870785006216,1
26-35,Brazil,Divorced,9.908452141317106,B,79.9809954441531,37.194400017997545,-129.0727661300612,-54.27848841428615,34.71405237491015,B,D,46.57167357458282,1
18-25,China,Married,97.23074262972195,E,47.40654609358646,23.565324791610763,-148.66153022304036,245.34918515727298,23.42582884633973,B,B,-111.6551966871124,0
51-65,Other,Divorced,70.16532465758286,C,3.77960880765668,41.301876069361086,-13.897797484910418,25.40186441351972,-100.73574358060917,A,D,47.804434885752386,0
26-35,Germany,Widowed,-191.80246414492578,C,-199.67973638661158,41.62322933026867,56.4612246622647,241.29681948236748,92.89803092751696,E,A,-51.56035424327266,0
36-50,UK,Divorced,145.38356892942863,B,38.44638492669399,-42.04371661385629,-23.80449378999453,12.670322395735573,-96.4974632203615,A,A,-151.67330515062613,1
36-50,China,Divorced,7.341054493640346,C,-0.8560109144513859,23.842878027584273,-154.62468186382125,-30.07347795458698,76.24675890969263,D,E,-16.175708340792696,0
65+,Germany,Divorced,96.936581473992,D,-128.94409119660403,-107.3877278927726,-63.21642433485951,57.793547452591696,-152.7249726407021,C,E,233.2654440837695,0
65+,China,Single,-72.72704568621981,A,-31.066740032911987,-36.01676147477666,123.97530256413123,-18.094473435367707,-47.81010904201324,B,E,63.64605503347249,0
18-25,UK,Widowed,-18.75927547550206,C,-44.88026021476271,-16.66693623063507,-118.30962689542537,-162.6692416218886,-0.6830144666456128,A,C,-14.580577948994417,1
26-35,UK,Single,102.33417627503218,A,-7.83373007572725,-219.39213346512597,65.79154724974413,161.93173899868594,113.54124714081983,C,E,-83.03338982432885,0
51-65,Germany,Divorced,-5.974747410232349,B,120.30703292785793,-83.88718571001654,75.89871257931244,-48.38926956070401,103.18698803307396,B,B,8.319409757498185,0
36-50,China,Widowed,-127.404240314297,A,16.23386435421831,149.38516028084138,66.18576388105559,203.57670788899637,-33.10701692317649,D,A,78.25921344955216,0
36-50,UK,Widowed,-15.352341754426607,D,-27.10479811783793,25.562013788386228,-81.74900439600933,-105.55422970285309,21.98534305274381,E,E,71.93404296025304,1
18-25,Brazil,Married,-9.914083469430315,B,-83.68216346961573,77.10753649747848,3.978446305592013,70.31649766081327,-9.097034927100578,B,E,-102.72115819107113,1
36-50,Other,Widowed,-81.17836598957902,A,-121.17479905580933,206.64277511176005,38.70779149855958,60.5738050568734,176.2722665459788,E,B,40.56396933001114,0
51-65,UK,Single,-127.41426054667046,C,21.3749803752956,74.16106292884434,-29.182275947416013,99.13880632425096,-218.21545085224184,E,A,82.18714003174343,0
36-50,India,Married,128.58971121646823,E,99.93758826911515,40.41095640010466,106.78440872189708,-153.7719876609303,-11.422763337589506,D,C,18.120161200055577,1
65+,Other,Divorced,128.2183412225542,B,0.597433786844608,-87.12041326814673,-31.885357342408877,17.276715292075956,-106.05260980830525,E,C,-85.08136096531102,1
51-65,Brazil,Divorced,-56.817114215391385,B,21.922734086614817,24.928953124280184,27.272518664785377,50.327703635818274,67.44065843222123,A,A,45.98608414690297,1
36-50,Brazil,Divorced,-110.41510190628112,A,118.5946601114098,9.85822367592652,110.76261684728361,75.39394146838897,6.573965382016131,B,D,68.18046877269722,0
36-50,Brazil,Married,83.05279559852771,D,-181.6544212550088,33.7059516468277,-176.85165787584236,23.096280383200604,61.78257344917205,B,B,67.6722628281843,1
36-50,Mexico,Divorced,51.264746127571726,D,63.08995473874297,29.17653376131164,20.965528658582137,-32.56676502375006,-58.68676382154572,C,B,70.80822818623909,1
36-50,UK,Single,-58.761571350450325,D,23.729328419169455,-62.18660441217345,-89.88637001473347,-238.05506446228569,102.69705359716788,E,D,-126.94205141446827,1
26-35,Germany,Single,-74.49944890601857,D,-46.15928731351034,58.97602598366076,-36.02366753033097,158.07828761792197,51.3481353922964,B,B,-150.45029091716196,1
36-50,Other,Married,18.00925536663669,C,82.27870238408151,-22.207232579592212,87.92041438022473,-77.39892429058852,84.69902191037568,B,D,131.22049360414178,0
51-65,Brazil,Married,-17.36334972340702,A,-190.99979304296713,-88.89988078355336,6.608304948251041,-37.34554097885551,-146.1016281084619,B,E,-159.8764840133031,0
65+,UK,Single,-130.28190115916843,B,51.254610476786056,-45.69308678424056,-57.22438178157658,-128.66387997486063,-54.284390697765275,C,B,97.94839435380996,0
65+,Mexico,Divorced,35.27835091123392,C,-114.81784599913946,68.10132639323865,75.07933409890742,-6.046549980832847,-34.050514270705015,E,A,-65.64273008686557,1
51-65,Germany,Married,-100.90088753872055,B,-36.46459300015291,-155.20418422335953,-94.00407534463488,-99.04188935448009,-2.5477146745468238,E,E,198.7529939685536,1
51-65,Other,Single,-38.89500895856759,C,-15.586877239683472,-100.26413637627188,145.49231927842519,-13.52953421614384,125.20308819729553,B,B,-37.34138493687699,1
51-65,Brazil,Divorced,-10.13552711254482,D,-220.3273481210394,-5.981178183256419,146.0352093383349,-59.84649903577902,-7.39257616414992,E,B,107.54376911569051,0
65+,Brazil,Divorced,75.7378812307306,D,54.61221971472714,-29.456521190816304,21.13860614327427,-33.409848148939304,84.63066704237035,D,B,-229.70064862819353,0
26-35,Brazil,Widowed,130.5737087666981,C,42.38999822687999,3.6747464366104023,-51.364144533009615,-63.812342419968004,102.8582879858273,D,E,74.91109943638034,0
26-35,UK,Divorced,61.04054709195557,D,230.11138199423783,47.709501734868006,-51.964389966704914,46.2923946348902,77.15798235068337,D,C,117.89860411328796,0
65+,UK,Widowed,-68.45296462085703,C,65.61951726370178,209.13987529830513,20.336641652751013,97.94639755248895,-51.57891854847188,D,C,146.77444165284552,0
36-50,Mexico,Widowed,66.1685098081464,B,49.45220331335619,206.28164625151436,42.13410287088652,45.465658000714335,-5.5641006761272624,A,E,32.144677782282855,0
65+,UK,Married,111.02940099672615,C,-11.268628752909423,-27.983537416085564,155.46730047763765,36.458713832472895,-36.18764271892429,D,B,88.26873021276775,0
18-25,US,Divorced,-1.5659126910686751,E,-20.89630674038611,57.772823683938114,241.51488305868008,77.85648811657605,-51.223245222350485,C,A,-2.067737476224142,1
18-25,India,Married,15.250533787423354,A,-48.544785307869596,-65.08303466496648,-35.21440559366859,42.720963581351626,-27.13829657813819,B,A,-44.41594512609609,1
18-25,Brazil,Widowed,31.751415047591003,A,-138.6688816468397,109.56021853766511,-113.88292726845373,123.57427995805979,-45.106853533625056,B,D,-37.126334509511516,1
26-35,China,Single,75.1459408724958,E,10.121911556060843,-44.989150808876495,-74.2982309298989,-108.69604432693491,5.732723883618269,B,C,-57.6091679080734,0
18-25,India,Single,8.973363334699659,C,23.91387877605281,-33.90209260619124,-44.20281043450741,48.398172296370696,94.05022246567405,D,A,38.94701218194326,1
51-65,US,Single,56.1683546911876,C,-100.7890923253538,-132.2717920118152,-61.42413523710118,-5.160190980009948,2.5516634070354476,B,E,-171.46915567072242,1
18-25,Germany,Widowed,-8.682146476341453,D,-42.07437446560576,119.25754350950375,117.64819153248007,-111.76542002877774,185.33469936397455,D,B,-93.29154030939166,0
51-65,China,Widowed,8.19235496468054,C,66.04767550625571,30.927944702740113,179.34847972658383,-48.67519357898534,-65.3311661865402,D,B,-51.296274488370905,0
65+,Other,Divorced,-39.956303267997846,C,-131.04104695125253,-110.39736507649975,5.50035606045584,4.680065748055121,83.27882741165794,E,A,4.66339841766414,1
36-50,Germany,Married,12.016321482300858,E,59.35232034959227,82.60722826696558,-191.81375879197697,25.372857584408038,-83.24826249038723,D,D,-19.89767830785387,0
51-65,Other,Divorced,-16.65690806839906,C,-38.05327238145434,30.792833023878014,25.706465321476497,-4.3189790446134735,-66.39405717297265,A,E,23.580713879653405,1
36-50,China,Widowed,0.08907286112046471,C,-10.526008163757918,-205.19856349306335,14.010086597988014,-152.53977794298302,92.06773983247672,A,A,168.86440959457548,0
