sex,Veteran,nation,race,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,target
Female,Veteran,US,Hispanic,87.45108345247968,36.72395478972478,42.26416286657418,6.576338644991299,A,C,B,0
Female,Yes,Other,Other,-115.19432785988435,-83.94183654688942,-135.71235503778328,-159.64608867995122,E,E,B,0
F,No,China,African American,114.2967138141749,39.51832465599884,-123.95307945874679,115.56951929603044,B,A,D,0
M,No,China,Other,28.789716345832733,16.52112091105636,-31.037184068035277,-152.85885458249152,A,B,D,1
M,Non-Veteran,US,Asian,78.33530249917517,136.95973888294665,-127.95970782491517,80.96690383746878,D,E,C,0
F,Veteran,Mexico,Hispanic,-9.367218735828377,28.38718298515023,30.062761684282542,-167.49444303524317,B,B,C,0
F,Veteran,Mexico,African American,-168.0538022220207,-13.400643034394024,128.86406464340197,-223.93754344387045,C,B,B,0
F,No,Other,African American,105.67827192552414,13.998219447465157,13.36302548586657,-69.26397069170893,C,D,D,1
F,Yes,China,African American,100.43824166139417,9.005752540522334,-55.097730519132014,-7.450539882810649,B,D,E,1
Non-binary,Yes,India,Other,82.43233963779102,120.13686043773757,16.117360252343843,84.6481047642617,E,C,A,0
M,Non-Veteran,Germany,Asian,-83.28469878429289,91.68245561713506,120.51164027621945,25.85628965317555,C,B,C,0
Non-binary,Veteran,China,Asian,-128.2899766728639,-30.30372120572749,-107.55336028577256,40.593228061559564,C,E,D,0
Non-binary,Yes,Germany,Asian,-25.98559040054852,105.2807873152237,22.709766040223144,20.26776751808981,A,B,A,1
Non-binary,Non-Veteran,India,Black,-19.175420333690152,-133.2213045073499,108.30131930594591,-97.6176690413594,C,D,D,0
Male,Yes,India,Asian,59.268467894702596,-31.067244826802785,116.08209331941019,-9.416782300394217,B,E,A,0
Other,Veteran,US,Hispanic,32.911026348881386,-166.35390380578363,33.293806784779775,132.053345321145,D,A,A,1
Female,Yes,Other,Black,-110.40976259911588,-55.01712065612453,-30.328770173069497,-184.1908200936783,E,C,D,0
Non-binary,Yes,Mexico,White,-89.71532651733641,38.27499682273738,-17.125510023186326,10.146882679960974,C,B,C,1
Non-binary,Yes,UK,Other,83.11868543067577,-122.29341416438703,82.89622515948084,-86.2202217629086,E,D,B,1
Non-binary,Yes,UK,Other,36.004580494410106,-134.4421174757013,-61.104528180654896,-69.40682141838937,C,C,C,1
Female,Yes,US,Black,-32.82220794543401,10.901988753795056,79.58630674508979,61.30396725631094,E,C,A,0
Male,No,China,White,-54.91825314317419,-49.77179404677241,186.29576037615132,3.9173367743523473,C,C,B,0
Other,Veteran,Mexico,Hispanic,-143.9792108278924,-56.63200155632605,-38.56204790697989,-58.47801140649727,D,B,D,0
Female,Non-Veteran,Other,Black,-145.55076090332582,-39.379683651050776,-36.416452593873075,99.85172147723263,C,D,E,1
F,Non-Veteran,US,Other,-44.2622270529929,-117.80089323211106,-82.3556167713738,119.24790764927893,D,A,E,0
Other,Yes,Brazil,Hispanic,-14.31291247052654,-17.743022605486715,-47.48904159004936,-109.10359962963936,D,B,D,0
Non-binary,No,Mexico,African American,26.331743963319948,50.11019065137526,2.4602618097981135,70.2335905921632,A,C,D,1
F,Non-Veteran,China,Black,-130.83829818055918,33.35180693103917,-175.4728812333906,56.49361527562594,B,B,A,0
Other,No,Other,Hispanic,66.51727394355885,-133.63540235368617,-170.33494674241845,173.65332313356788,D,E,D,1
Non-binary,No,India,African American,230.89106103661976,32.01523606429571,-12.70144181737314,110.77947268301264,E,D,D,0
M,No,China,African American,-55.66832012941874,54.86996741366662,11.18313449811069,-48.05255726438424,A,A,E,1
M,Yes,India,White,-69.49786076784062,21.40094461824747,-23.632715808306447,163.21110176676984,D,A,E,0
Non-binary,No,US,African American,-71.48385178339228,-79.29396376876743,92.21653302902257,217.40411829792174,D,A,B,0
F,No,Mexico,African American,-106.26297777487974,93.42802077934287,-164.64698120640344,-21.08489534634376,E,E,E,1
M,Veteran,Other,Other,5.825333590604395,-11.29652736922551,-105.7154572486673,57.99593748390394,D,E,A,1
M,No,Other,Black,-29.1527828454432,219.6432071829426,-102.07331895811083,48.5302048952189,D,C,B,1
Female,Non-Veteran,Other,Hispanic,67.34832920387248,45.87698012277344,126.35543511075991,-61.455799098325684,D,B,B,1
Non-binary,Yes,Germany,Other,-9.161607565398628,-145.42979467915856,91.42313674866682,-28.87872379079167,B,E,A,0
M,No,China,Hispanic,-86.40788326594769,-55.591700795977104,-39.75682722363566,-74.86277444491174,C,D,A,1
Female,No,UK,White,113.86328694418626,47.998634336193376,134.55349349956285,-224.4942225659657,E,D,C,1
Male,Yes,UK,White,-149.9145017024965,13.248053466385976,16.164912986064053,109.82358444778811,E,C,A,1
Male,Veteran,Mexico,African American,-194.03586804018386,192.9572378954727,-85.19812266487342,-40.257917015790454,E,E,C,0
Male,No,India,Hispanic,22.499548809185825,-191.51045041305937,28.784117822020967,-87.27982790044703,D,D,B,0
Male,Veteran,US,African American,-8.316179655431956,-22.762698747767008,-123.06867409204759,22.352947252921552,B,C,E,0
Male,No,China,African American,55.993587154413504,78.9836622523984,91.99907165475814,14.719910036630996,B,A,C,1
M,Veteran,Germany,Hispanic,-55.279603426552306,62.72467263944348,-19.881077581056438,71.77809478098516,D,D,D,0
Female,No,UK,Asian,163.68762761545008,-112.61338282467224,-12.63570042369845,-12.168323945326325,C,E,E,0
Male,Yes,India,Black,5.482539421703158,-47.37799283961765,-20.87507777251799,-204.2124893560238,C,D,E,1
M,Veteran,Mexico,Hispanic,-291.69948662330836,93.68247538444402,166.29202170483993,-125.83495086036622,C,D,E,0
Female,Yes,Germany,Asian,-143.54961970615886,32.812403184740155,-14.093698283806336,86.68820814627334,D,C,C,1
F,No,Brazil,Hispanic,-76.51000451739355,68.7831623892559,102.0975658170848,71.07074638923413,D,C,B,1
M,Veteran,India,Black,-64.26044787693533,-186.24498400226537,-35.79203417721591,-92.80429297075446,B,B,E,0
Non-binary,Veteran,Other,Asian,-207.44059716127813,148.53674530372587,60.848877354400656,-122.56254432197244,B,C,A,0
Male,No,UK,African American,89.13166699427391,-211.41087689370218,-91.07922273504093,52.47354182034187,D,A,A,1
F,No,UK,Other,-1.9029146717620053,11.695918569692601,-69.82647407691567,-1.0703998629802283,B,E,E,0
Male,Non-Veteran,China,Hispanic,-178.54699039237235,-28.028910945916223,104.32411523119924,105.68601731393275,C,B,A,1
Female,Yes,India,African American,185.3025867362594,153.00731887543674,-246.17801970517763,63.74412936039302,A,B,C,1
F,No,Brazil,White,127.48464314786378,83.86874642829973,69.96127558857481,-54.34978452706481,B,A,E,1
Male,No,India,Asian,9.585226690872256,38.39969583259296,95.61815007587867,-17.212495830651843,C,A,D,1
Other,Veteran,US,Asian,-167.42971376192693,150.52308038532632,12.74481991313242,95.21590167210353,A,D,D,1
F,Veteran,Mexico,Other,-116.47741585285823,-155.93482765825954,-72.13848622159401,-17.822946338416408,B,A,A,1
Female,Yes,Brazil,White,81.13164919354453,-92.55925369086094,54.57194435605199,6.589474365797179,D,A,A,1
Male,No,US,Hispanic,32.136067839676585,176.9735161229483,-62.40904825179969,27.046961999389968,D,D,B,1
Non-binary,No,Germany,Other,-161.61198572684842,129.67478614513035,173.45393006244092,279.06161370832746,A,E,A,0
F,Yes,China,African American,-39.37514022221827,55.83681811872797,41.366649256611325,25.627223864714914,D,B,D,1
Non-binary,Non-Veteran,US,Hispanic,-29.59316509547591,63.61012429808844,-10.633306190239459,88.63658049981322,A,D,A,1
Male,Non-Veteran,US,Black,1.3037255712239098,134.375728758451,-100.99924263335565,7.262464956485276,D,D,D,1
Non-binary,Yes,Brazil,White,-73.62161933455005,-13.925465643186843,231.12808765192253,136.87797139445513,D,B,A,1
Female,Veteran,Mexico,Black,12.593901801272581,-14.749817113789238,-117.541586474431,84.29089496989343,E,C,D,0
Male,No,Germany,Black,-91.09182137574663,153.01306271839056,-113.29906065866753,-132.124456384177,D,C,E,1
Female,Non-Veteran,Other,White,-77.37632943913196,-22.426408517358666,-68.49405054618317,64.16822270763703,C,A,E,1
Male,Veteran,Brazil,White,32.98078369614587,-35.97101326986849,14.912024925482504,-133.86779537420918,D,E,E,1
M,Veteran,US,Other,-21.538656131158877,5.024336077122256,-241.82401721638803,-63.272303242382364,B,E,A,0
Male,Veteran,Other,African American,-12.040301659302523,178.0004040323106,124.38466270810353,-124.99824714188634,C,B,B,0
M,No,Other,Hispanic,7.1871689300453445,-270.2864093059316,-19.45806164307104,39.789172089100106,C,A,D,1
Other,Veteran,UK,Black,-30.13193645878719,95.18167116134222,36.166965813222546,-173.80153923210182,E,B,D,1
F,Non-Veteran,China,Asian,31.151921884193744,-236.4857760906991,132.37440580680928,-103.25886131227364,C,D,C,1
F,Veteran,India,Other,-26.43258765426318,211.25816585072874,-109.19782577717862,-105.68862907095371,E,A,A,0
Female,Veteran,China,White,132.22887724626358,-401.2085853551614,-7.811834461532541,88.63082155503265,B,E,E,1
Female,Non-Veteran,Brazil,White,-135.28094145619113,191.1582498681789,-73.92972622436305,-64.39763031152262,D,E,B,0
Non-binary,No,Germany,Black,20.674346051246378,-37.033066236889425,-87.75580006544313,-37.76653043126089,E,A,A,0
Other,No,Germany,White,-29.037652383995127,-2.824579200699862,136.54437190030507,-33.342037008325626,D,D,D,1
Male,Non-Veteran,India,Hispanic,-125.20142241990142,-24.738346759936906,-43.21628077485998,-24.922949361022614,C,A,A,0
Other,No,Other,Asian,-144.3395645029331,74.31483420099467,71.13414563661759,-61.48539991397137,A,E,D,1
M,Non-Veteran,Other,Black,138.46148072519787,-17.36350669101519,150.28069775309444,84.29918503653539,B,E,A,1
F,No,Brazil,Asian,4.508410959941274,291.6929263051792,-137.1589290088823,-31.852210817198667,A,A,E,0
Female,Non-Veteran,Other,Asian,43.22597161519874,-38.81483516094335,43.9369079129429,-83.73131799523121,B,A,C,0
F,No,US,White,-101.9238822701351,90.44117751993835,51.913746344055745,15.43629735200689,B,A,A,1
Female,Yes,Germany,Asian,100.9298569651139,106.54417488551071,-53.90951038884771,-27.03742412754021,A,A,A,0
M,Non-Veteran,Germany,African American,7.321017035681581,97.81635366660844,67.5915707655837,23.569582021929268,C,E,E,1
Other,No,US,Other,1.2399465011625102,-70.24626198862025,79.03611733099113,162.74641810906732,A,E,D,1
Non-binary,Veteran,China,Hispanic,129.5423891667217,-0.19103667919111586,74.84240851289064,0.4752941786405636,D,B,D,1
Male,Yes,India,White,-136.46059471510102,-98.81116026083879,-55.68814796668511,9.086342235329825,E,B,E,1
Female,Yes,India,Hispanic,143.81256513304248,-127.94195092158928,72.16448347662246,-61.102375306060964,D,E,E,1
F,Yes,Mexico,White,24.710647029025896,-2.6643390022193922,-74.34741020424836,143.88722021801212,C,A,B,1
Female,Yes,Brazil,Asian,34.804679275949745,-10.962406340916921,90.78831443851732,-58.95938957063731,B,E,E,1
Other,Non-Veteran,UK,Hispanic,94.34935668717192,-16.14367566598056,-120.89675046929871,-26.332186490186626,A,B,B,1
Male,Non-Veteran,China,Hispanic,-67.01110476554211,-17.550679219040898,62.994285985913955,-33.09052245275065,E,D,C,1
Non-binary,Non-Veteran,Germany,Other,72.5074568571799,-247.07275754084856,43.02393539332755,31.195981589919096,E,E,B,0
M,Veteran,US,Other,162.9345408146885,18.0549086321857,74.75732349516178,93.64441169098721,A,C,A,0
Male,No,Other,Hispanic,-190.37565818049595,-6.026671218422672,-123.37830935067706,-24.79465016210739,D,D,C,0
Non-binary,No,Other,African American,31.405984663232072,129.57760046086833,-83.00460844344771,20.075457313550675,D,A,C,0
F,Veteran,Germany,Hispanic,146.7802324948351,110.85021706315284,28.80936800661205,-1.8707022774987634,B,B,A,0
F,Veteran,China,Hispanic,-29.97200925727908,35.37377941033627,-35.05158340036417,-21.50170357497967,E,C,A,1
Female,No,India,White,-75.02723487008404,26.469059150195395,53.79990850993765,-41.78546341205573,D,C,D,0
Female,Veteran,China,Hispanic,72.97661229857717,-33.673748636915626,-50.30247807664361,-9.286331288677365,D,E,A,0
Non-binary,Non-Veteran,US,Asian,72.02994128099262,135.7305068708502,47.66281609669541,45.9330952713626,C,E,C,1
M,No,India,Other,-110.01694545231703,118.25362382554879,70.83062858253379,-55.73807800631778,E,B,C,1
Other,Veteran,India,Hispanic,-141.40377977303868,-88.74410991953187,73.76596807839196,37.176564937846685,B,D,C,0
F,Non-Veteran,UK,Asian,-81.86019224336916,-75.21131360380551,-54.13178519720253,-153.70796108218894,A,C,E,1
Non-binary,No,US,White,90.84743000043768,-52.61435843375445,5.811267652998304,-29.47904129979877,E,B,C,1
F,Yes,UK,Asian,48.950783582376225,32.99995400335349,-264.76938699187696,135.42676171351232,E,A,C,0
Male,Yes,India,Hispanic,-134.45136747397734,176.91807223160697,14.33305132508924,69.31844365626813,E,E,A,1
Other,Yes,UK,Hispanic,-130.1665552968194,50.49208087992725,65.2029876883343,-71.95800507912733,C,E,E,1
Non-binary,Veteran,US,Black,0.0568327448582198,28.196725922488046,4.0922336705949105,173.5051711051308,B,C,D,1
Other,Non-Veteran,Brazil,Hispanic,-5.43820421729789,120.63903847941135,-69.53355694175477,30.849782120311374,E,A,A,0
F,Veteran,US,Other,26.778746348602922,-46.31156035528148,83.02420966107545,-117.77222511786587,E,A,C,0
Female,Veteran,Germany,Hispanic,45.06910095121964,109.57950590654089,-103.11684919483626,-28.284062331674193,C,C,C,0
Male,Veteran,UK,Black,-156.51593803947875,54.14054905669548,-74.73771739893765,11.600354472852155,A,C,D,0
Other,Veteran,Mexico,White,5.279668732462423,-161.44173113009924,100.67792385843359,-174.5280250551769,A,A,D,1
F,No,Mexico,Asian,146.1599117738272,-210.73227758514474,48.1457698719379,20.621134539569912,E,A,C,1
Female,Veteran,China,Black,121.81952761050931,26.414050963731057,11.736756604251628,-115.79280962057064,A,E,B,1
F,No,UK,White,-93.54508518814609,143.66534134484402,17.817915210781983,-83.8636708975357,E,E,D,0
M,Veteran,China,African American,-103.91308483109303,-40.647512279644886,-185.01368149615715,100.26876512300207,D,B,B,0
M,Yes,Germany,Hispanic,-89.67429832146443,-45.623310151754595,-103.35217752152899,148.59016944999252,D,E,A,1
Male,Non-Veteran,Brazil,Black,-221.60495489862697,-1.9311561550482526,106.19395072101018,246.9981112740583,E,C,A,1
F,Veteran,UK,Other,-93.37114293499405,184.2162492327966,-150.0670405178545,189.3704265661731,A,B,D,0
M,No,Brazil,African American,-126.42370942648762,-118.75329845727526,66.11185748045831,-87.80330297508242,C,D,B,0
Female,Non-Veteran,China,Asian,-25.207514383549963,0.277700540185978,84.73473501505887,-174.2109997440649,A,D,C,0
Other,Veteran,Other,Hispanic,-55.21246494313353,-20.831791267538797,28.8158687902269,191.28995554897756,A,E,A,1
F,Yes,Germany,Other,-7.926518042236977,29.67675609235111,-34.816428038936245,-69.45735964413588,B,D,B,0
M,Non-Veteran,Other,Hispanic,-98.01886589100258,105.44731858822148,-45.70788487453114,118.71590724394261,A,C,D,1
M,No,Mexico,White,-70.63967416881243,-165.5368901022229,-39.63632625268021,-42.037843521771386,D,C,E,0
Other,No,Other,Asian,-43.455802851382956,125.4710150885983,69.93944042359502,-293.39816329500195,A,C,B,1
F,No,UK,Other,209.90833278870608,95.68216889055138,55.99075226941663,45.00068462553508,C,C,C,0
Female,Veteran,US,Black,14.563498495483138,-52.77838272928035,-125.43219848908083,7.389583239321398,B,E,D,0
Female,No,UK,Asian,65.84653088764803,9.163428425487437,50.88066319318857,-91.83203604036618,A,E,A,0
Male,Veteran,Brazil,White,115.45913499161367,-190.10261123248114,102.43076980169448,98.32534118711645,D,D,D,1
F,No,China,African American,-80.55167049782204,178.52750832258502,102.73334419686186,61.06928412999388,C,A,D,1
Other,Yes,China,Black,-1.6120717172810735,63.07918826573922,-156.80622863624453,14.451591700339295,B,A,D,1
Female,Yes,India,Other,122.14682632579009,130.2615267611807,-7.554434650099938,-155.81626680468702,C,D,B,1
F,No,India,Black,94.4159623444042,147.9126335323059,86.4815898310426,-60.296046733629424,C,E,A,1
Other,No,Brazil,Other,64.12761794988775,-41.0222625818672,77.61662846891818,81.05706635507471,E,E,B,1
Female,Veteran,Other,White,-33.47025931182288,-131.14885638315437,-7.879764960012019,85.72006006732856,D,C,D,0
M,Veteran,Germany,Asian,-59.3178714996333,29.8239812253483,-120.6495297090725,130.60977548783487,D,A,A,1
Non-binary,Non-Veteran,China,Hispanic,-26.623069639761333,-102.77160014345709,-74.27626502931984,-86.56706875439912,D,D,B,0
F,Yes,Other,African American,26.11352295048964,47.05208439604361,3.092070052325349,18.305453089496556,D,E,B,0
M,Veteran,Mexico,Hispanic,-167.08038580764529,-121.27368426898116,102.23699747245038,10.80306170740701,D,B,A,0
Female,Non-Veteran,US,Asian,88.86785934234739,145.13608318103272,91.03071548669158,37.45826250407864,C,E,B,0
M,No,Brazil,Other,-125.93967200279334,34.858637488063124,257.76549812070107,136.19325372306358,C,A,A,1
Non-binary,Yes,India,Other,-48.32618208609768,-0.4601150067111952,-114.51917281057592,-140.04486616227035,D,D,B,0
Female,Veteran,India,Asian,126.09356778152761,-23.8299848588638,50.902313907127436,43.84702086048449,E,E,A,0
Other,Yes,Mexico,Black,100.03904757766198,156.65125702672896,-84.02947404366562,-67.89637809291429,C,D,C,0
M,Yes,Germany,Black,49.38956196120697,-182.99661145420356,16.420870072732853,-29.90810958117035,C,E,D,1
Non-binary,No,US,White,145.48742729787833,-104.33720980265049,-90.57879213945607,-66.44337988676317,B,B,A,0
Male,Non-Veteran,India,African American,-234.8850917405152,-106.23001783975874,96.63469309743626,25.592184868892836,E,C,E,1
Other,Yes,Mexico,African American,184.4518300862105,-70.75445380218389,-74.28760507888738,113.96826937364199,A,D,D,0
Female,No,Brazil,White,-22.250213569461422,95.79794998816806,-149.9419642194855,0.22735268808530257,D,D,D,1
Male,No,Brazil,White,-14.768606595729135,30.704204057596584,13.223733861260396,-129.83135077126707,D,B,B,0
Male,Veteran,Other,White,-35.52408247835554,-98.90603573950479,47.81740208800441,-27.739450812151077,B,C,E,0
Female,Veteran,India,White,27.56434133279313,24.878640794586364,70.09817350446455,43.15807939750319,A,A,C,1
Female,Yes,Mexico,African American,9.525909354631128,74.76592570429517,-141.416423991619,-7.2852546218142615,A,C,C,0
Female,Veteran,Germany,Other,1.1735319538464188,-22.82365509474453,-15.241541444151894,3.8627722427361233,E,A,E,0
F,Veteran,Mexico,African American,157.0087920746863,104.29242323511988,58.91584012713602,75.64007266490536,C,A,D,0
Other,No,India,African American,-16.099999375514876,187.60333414508366,79.72498028489842,-5.7867669794862495,A,A,A,0
F,No,Germany,Other,42.88598674143165,-125.77830490592154,44.470671393889276,63.987508714420905,E,D,C,1
Non-binary,Yes,China,Asian,-147.0084603852069,-34.42609874643521,-0.04010685536032473,-91.3220403807052,D,E,D,1
Other,No,UK,White,105.9100767416205,106.29693425896076,40.430284311554146,26.603639508276324,A,C,B,1
Non-binary,Veteran,Mexico,Other,43.32623176023844,22.49276160544718,-157.5401230984016,129.9563124122621,C,B,B,1
Male,Veteran,Germany,Hispanic,46.578529339539266,-70.57792944994114,25.434708614147965,9.534183278359427,C,D,C,1
F,Yes,China,White,35.811009389863806,5.440932167339121,172.07330644345902,89.02030468228712,C,B,B,0
Non-binary,Veteran,Germany,Black,-25.907157848577544,1.359070987865937,148.0845988167314,33.248755108298816,D,E,C,1
Other,Veteran,Other,African American,-59.161061964371896,-82.51424172200781,-92.80328210074296,5.278755214171367,A,A,A,0
Female,Veteran,Other,Hispanic,97.08775930737184,-43.299685483348625,9.90302841216951,65.06221457600462,E,C,C,0
Other,Veteran,Other,Black,38.900387583360484,-29.264627004359316,-44.79767378772486,-122.11130849740412,D,D,D,1
Non-binary,No,US,African American,-36.67312025470544,31.00359868663432,51.60909843197645,-59.19344046245656,C,C,A,1
Other,No,Brazil,African American,-82.63581800483092,30.979705564761762,54.11476763443789,-25.857226254843578,C,A,D,0
Male,No,US,Asian,2.1836267173383694,-214.43542680355864,-62.93835459601732,121.14729176829586,B,E,D,0
Male,Non-Veteran,Other,Other,-30.196098997523784,-49.8260051465042,-76.31215125104356,34.22973427171287,D,C,A,1
F,No,China,White,-82.8550253733743,220.9583853953826,-103.40784112650599,-35.102317421155874,D,B,A,0
Male,Non-Veteran,Brazil,Asian,158.93214107796157,-148.93953842842473,-20.450559142165773,90.28270688653886,D,C,A,1
Other,No,China,White,-114.99041190095699,131.0441933854932,-2.6948343082583004,123.63194387524806,E,E,E,0
Female,Veteran,US,White,49.24795935122455,-12.466834946951765,-9.877451995969688,40.50457435919178,A,A,B,0
F,Yes,Mexico,Other,128.71729633227022,-94.36662554034442,-37.206411913019174,-83.31647385396376,A,D,A,1
M,Yes,India,Asian,117.34323341488376,-89.14454315717211,-65.96951375094108,-107.57866471321489,E,C,D,0
F,Veteran,China,African American,97.00783265373444,116.70045987240363,-14.712540873186825,-112.07959129808758,E,D,E,1
Other,Yes,China,Other,-36.78885673525078,135.13001288708318,26.174753334246958,-47.44613366176464,A,C,D,1
F,Veteran,India,African American,115.2109293430401,-11.414502399154685,-12.893605504830496,-18.80388602808164,E,E,A,1
Other,Yes,India,Other,212.1779299438188,7.188319508608247,-207.13984467907727,-63.97386408214988,C,D,C,0
Other,Yes,US,White,-17.332245800420022,-147.13484379943847,69.03132365457706,-114.33619964103907,C,E,B,1
Female,Non-Veteran,India,Other,-65.0035859501707,-41.72092740240606,12.444587611714915,60.12214005567602,E,A,C,0
Female,Veteran,Mexico,Other,105.5762769186496,126.35045659730575,-38.990186998655865,52.199093964169144,B,A,D,1
Non-binary,No,China,Black,-188.05409986072686,155.6437829445867,-49.35016067458408,130.4410879568502,A,D,B,1
Female,No,Germany,African American,-157.35756174840603,-3.739904781490692,44.56238616979276,-26.6212101764085,B,E,B,1
Other,Veteran,China,Black,40.32097994136286,-87.0647442440468,64.66293333366166,-154.20315987644474,D,E,E,0
Male,Veteran,Mexico,Asian,-119.21267812892584,-114.43015350144104,157.5366847927625,-182.28874009941615,D,B,E,1
Female,No,China,Other,-46.968814542100304,42.5993127848416,-65.54610730180397,124.86001063273167,C,B,D,1
Non-binary,Yes,Germany,Hispanic,-214.32810549165632,-80.68942869934634,88.25348651369373,129.50404082928628,D,D,B,1
F,Yes,Brazil,White,16.542448253426517,-77.20614428421548,-86.45582120062878,-141.01857672477496,B,A,E,1
F,Non-Veteran,Brazil,Black,80.15318952390716,240.06230455818502,-102.07266831292456,-228.0769139861381,B,E,D,0
F,Yes,Brazil,Black,110.4401851594642,-107.62992830357014,-53.838015989908826,125.9663058862452,E,A,A,1
Male,No,Other,Black,86.44743734050923,25.810443231773096,129.48925001999802,-41.12213794997247,A,A,A,0
Non-binary,Veteran,Brazil,White,-80.67136267942831,57.268990963946244,-5.38920593309822,-20.151859090390918,D,B,D,0
Female,Non-Veteran,China,Hispanic,153.32079977953077,0.0022993589511549097,-31.88390131616783,84.10337728109089,D,D,C,1
Female,Yes,India,White,42.930350846382524,-29.11269789124485,143.13833061858512,9.273382416786216,A,C,B,0
Other,Yes,Mexico,Asian,-51.690498956784616,-159.61537323165302,31.239812144478307,20.1458001200336,E,D,C,1
Other,Non-Veteran,Germany,Asian,-108.97284710364228,130.95269518463917,92.39994764212305,-74.52509903242138,B,E,D,1
Non-binary,No,Brazil,Asian,-154.0707706644415,26.449391443930555,-80.11449116932765,10.117743883401193,E,A,D,1
Male,Yes,India,Hispanic,139.17579248308408,77.25232002212432,7.42359108999016,143.5641126784641,E,D,E,1
F,No,India,White,-86.69218228623438,9.919534074821728,165.26188970130633,148.99274052259418,B,A,A,0
M,Yes,Other,White,71.73989379530916,-14.823577239274845,-108.79868188826154,-114.84453722597404,E,C,E,1
Female,Non-Veteran,Germany,Hispanic,-13.237188961053356,76.12410820263638,40.74100347187637,-161.16390575697199,A,B,A,0
Other,Yes,Mexico,Hispanic,0.4375249798091869,84.39277949945262,-73.5835561114735,-1.4979292908708706,A,A,A,1
Female,Yes,India,Other,-34.14165886415327,-8.19393058172871,-151.33436378045454,15.984498538795968,D,E,A,0
Female,No,Other,White,91.526879754746,-29.073750141583165,32.87910084556736,81.91419940363443,B,E,E,1
Non-binary,No,US,Asian,168.96764720438773,-38.00925513047079,45.207108106177145,-157.87600560512988,C,B,B,1
M,Yes,UK,Asian,-93.67734990370306,121.50741636413775,-111.22078534593184,114.81028656714058,B,E,D,0
Other,Non-Veteran,India,African American,-80.4719545101103,-23.189341774408163,114.60050203929848,-96.15376259885248,A,E,D,1
F,Non-Veteran,China,White,-5.584025964666497,-15.01571145279803,-81.7460015430007,176.2433744432004,C,A,B,0
F,Non-Veteran,US,White,-59.964402990043894,-220.46371422263346,74.5160116266996,150.07636030957676,D,A,E,0
Female,No,India,Asian,-131.53446973975602,41.68013889358078,72.03687166875439,93.34421752374014,E,A,C,1
M,Non-Veteran,Other,Asian,-163.40449067232208,157.25132698470276,-48.94529228966351,-33.57927990089571,B,D,C,1
Other,Yes,UK,Black,9.141743863735776,-58.38415731612405,-118.4290078916336,53.134087814944166,D,C,C,1
Other,Non-Veteran,UK,White,47.04477698940827,-67.38208139704716,-175.28885732785403,15.828495029833148,C,D,B,0
Other,Yes,Other,White,-106.87786930691621,27.623577833707646,98.69108360301652,-40.98814542987089,D,D,B,0
Male,Yes,UK,White,-73.02567516634673,80.82976742633107,35.4157661630374,-43.82267780856516,D,D,A,1
Female,Yes,Germany,African American,51.5485075749246,3.265602382947198,-120.34704364864785,-131.7002182674812,B,A,E,1
F,Veteran,UK,Asian,-55.27010539622231,-115.2528354345904,39.7530779337799,157.0453782050399,A,A,E,1
Other,Non-Veteran,Other,Other,-79.41023676610523,-55.95196246100996,-69.63496167646989,21.006269593103536,D,A,C,1
Female,Veteran,India,African American,90.9897904859808,5.100664169071984,36.39492733819272,35.019505150445504,D,B,A,0
F,Non-Veteran,Other,Asian,-117.27473429144352,-73.23429346173656,-46.014389102028794,241.87888405069745,A,E,E,0
F,Non-Veteran,China,White,-15.540519492057314,-71.75175603260679,-55.0159102618199,-19.821313236419275,A,E,D,1
Female,Yes,Mexico,White,76.73035768466924,-83.78785123504956,29.127998221666573,-29.041830142705454,A,A,B,1
Other,Yes,India,White,-111.53836215112243,121.69216606066378,-30.92063954564664,121.80817491250832,D,C,D,1
M,No,Mexico,African American,34.04868909116473,-9.483671863167796,199.13229563433418,101.92317597930891,D,A,A,0
Non-binary,Non-Veteran,Brazil,African American,-19.814558066659895,50.22465335463207,41.74699600798745,34.30601346337918,B,C,B,0
Non-binary,No,US,Hispanic,-55.38504845345742,86.38993586317359,-83.10727654846237,53.60805828111531,D,C,D,0
Female,Veteran,UK,African American,-49.91176485535393,37.02911403118358,-31.894752894873196,-50.194035187835816,E,C,B,1
M,Veteran,Mexico,African American,-1.1678914554485715,83.88907386782213,-59.7547417489895,-93.71169796912793,B,D,C,0
Male,Veteran,UK,Other,-44.40469061215067,-56.83240644144865,-28.74747412444043,-77.07692734217339,C,C,D,0
Non-binary,Non-Veteran,China,Other,77.28853189205532,-162.24206331508978,87.06386794470698,71.48387542530314,D,A,C,0
M,Yes,UK,Other,-48.86891811938223,-90.59756638897399,-75.99180196467006,-15.44159666907919,C,A,B,1
Other,Veteran,China,Black,123.73513725804874,60.57487116238423,-16.489584377774445,-0.9191065223890744,E,C,D,1
M,Yes,Brazil,White,56.679067781663896,47.28513764921114,-47.4901204007378,183.47642158790657,D,D,D,0
Other,Yes,UK,Black,-15.802721381654747,-75.26377900259467,28.277047853693087,117.55734203267679,E,B,C,1
Non-binary,Veteran,Brazil,White,-108.03066040615062,48.090661575976334,-23.29315825836072,223.71383201268654,A,E,E,0
M,Veteran,China,Hispanic,79.51842463374771,-73.38832362910424,-119.16220715918998,110.38699355534945,E,D,C,0
