disability,SEX,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,target
No,Non-binary,E,C,224.92342377684275,120.13788681296538,2.490195848076306,D,D,C,E,30.065334108008944,A,1
No,F,C,B,176.23423216999217,97.68503269911236,-23.00243109076273,D,A,D,E,49.2277679979325,A,1
Physical,Non-binary,B,B,-139.7891366508568,-12.606658119036126,-107.40494654393895,D,A,C,A,-54.110407182203545,B,0
Yes,Male,A,D,150.46954814874786,33.27561027979673,-114.60015380647957,C,A,B,B,41.40552749755565,B,0
Physical,Female,B,A,16.094463156958728,26.548768480063362,5.8744746567458215,A,B,C,D,-60.174346857051106,A,0
Yes,F,E,A,-8.226104191872082,-14.896650416410273,-214.25404182963192,E,C,E,C,-104.1061796277175,D,1
Mental,Other,E,E,-31.042085365687992,54.417598733371754,71.04029647230412,B,D,E,A,123.03741705021956,C,0
Physical,Other,C,D,55.53348057812286,72.58496360461902,-34.92954152977393,B,E,D,C,128.27607608743529,C,1
Both,Male,A,A,-116.70874596100835,68.2257519129269,114.88531176660895,C,C,E,B,72.48366528021677,A,1
Physical,M,B,E,66.31452366959367,-12.396615258636547,-32.66068756254594,E,B,E,B,167.02681629716528,E,1
Physical,Male,C,E,53.400471663978436,64.56598483657814,292.73028561510455,A,A,E,C,-100.53375295520183,A,0
No,Other,A,E,39.40543260658266,5.177159134011063,-166.6139278495401,E,C,A,A,100.28561681685366,D,1
Yes,Female,B,E,131.19195105373856,52.174327054885126,-78.16294198267165,A,A,D,E,-4.438603604939308,E,0
None,F,A,B,86.05478268915077,-78.07646389422325,24.180746229807674,C,D,B,A,-16.314490663267808,C,1
Mental,Female,E,E,27.52040543140129,-48.77422470060037,-144.86716425202795,E,C,B,B,-25.020936398825683,E,0
Yes,Female,B,D,47.819388024769616,149.37592972418045,68.77153171294124,C,E,D,E,-46.955494488478564,A,0
Mental,Male,B,D,43.8165978173899,34.129774333555325,101.802471828021,E,A,D,A,37.34961524884698,C,0
Both,F,E,A,57.50092932881273,2.420484116132088,-24.605331802524645,E,D,A,E,-24.482237851064447,C,1
Physical,F,E,B,26.144929047208954,103.38949238298574,156.65586312132075,E,B,C,B,-172.59773058758867,D,0
Both,M,C,A,-29.434340993829444,122.07288339351308,-55.83004600594768,E,B,B,E,118.94031763561435,C,1
Yes,Other,A,A,-143.92623867324065,161.7061113486297,76.58433198573529,A,D,E,A,-112.60621998712665,A,0
Physical,Male,B,D,24.665561062660622,68.24816339062497,9.05866975835633,D,D,C,E,-82.29332288753876,B,0
Mental,Female,C,B,-34.41976754274281,-27.008950110619377,5.3995745140587825,B,A,E,C,-119.55671282808555,A,0
Both,Non-binary,D,D,100.631128312907,103.83439905823428,-150.7522623348024,A,A,B,E,218.60366640438,A,1
Physical,Male,D,B,108.49624249310136,-44.437907986345216,-76.43630438292605,C,D,A,D,153.67902256578392,D,0
Yes,Male,A,A,-199.8074840180956,-29.043747652701708,107.63841123573779,E,E,B,C,130.2748011445068,C,0
No,F,C,A,86.04549378121041,-4.993965882383519,-18.21857565325679,A,E,E,A,17.077874082561433,E,1
Both,M,B,E,188.28163115954473,-45.648017126375414,-94.20113388240652,D,C,C,E,-15.078352241650354,E,0
Yes,Other,C,E,89.95697468943767,-171.80081182877356,241.84597357438395,A,A,C,C,-63.86700821471906,B,0
None,Other,E,D,21.17586221009482,-242.8757284651437,-126.69366028034142,B,A,B,C,-21.610534379050687,C,0
Mental,Male,E,D,-112.85479338145544,87.41689730355384,40.450830652679066,E,B,E,A,-59.35237989187615,C,1
Yes,F,E,A,-38.29153950788093,46.67383736248071,-63.606802201138294,B,D,A,C,19.216021629413866,D,0
Both,Male,B,D,-46.94650141143272,228.33272887667633,82.20480809100228,E,A,C,B,-132.71752753514724,C,1
Physical,Female,A,A,45.96702484494141,-78.00891435234784,108.88146533510914,C,C,B,E,-36.20205499672969,C,0
No,Other,E,A,28.167837361500304,48.65947980491326,77.82806013318077,C,C,E,A,-112.40414245120772,C,0
Both,Female,B,A,-72.36568281056968,85.968203678733,-117.82536360106486,C,B,B,B,72.60497313034975,E,0
Physical,Non-binary,C,D,-19.5363079348231,-7.572173485702444,-28.007813696418733,E,E,D,C,40.971325329362166,E,1
Physical,M,C,D,24.891080927091714,16.56132190228127,6.05790523643439,A,E,E,D,66.97674430849183,B,0
Yes,Other,B,D,-179.3627762644349,-6.54903496207371,3.541586545688893,D,C,A,B,90.63380275142907,C,0
Physical,Male,C,A,-59.83641796181222,109.0017040077533,-83.18975020146884,B,A,C,E,64.98381782582616,D,1
None,Other,A,C,-2.745802441100908,-21.50453489137077,93.23317708972266,B,B,D,B,-36.110561880713114,B,0
Yes,Male,A,C,-95.91332481074603,-17.689650606499093,-60.67441342706551,B,C,B,C,58.95019994421824,B,0
Mental,F,E,D,31.61778804516165,-120.59525270358019,-16.734502406923944,E,C,B,B,107.41103525322026,D,0
Physical,Non-binary,B,C,21.196299628750488,12.310209359709354,-80.48053631474585,C,E,B,A,81.70157899018183,E,0
Mental,Female,D,B,5.312467140333028,-39.198917187849695,41.40745151731681,A,A,D,C,110.56089017474629,B,1
None,F,A,D,-101.63248707298267,6.777604881117454,-26.21863993127062,D,A,E,C,55.680573266558916,C,0
Physical,F,C,A,-77.00839193936305,31.34221022643236,6.652406244346364,C,E,B,D,12.874597752158312,D,0
No,F,D,B,-132.43368439379572,-76.69373522619895,-162.25397917221068,B,B,C,C,-116.88848525567876,C,0
Physical,Non-binary,B,C,-195.47715525485702,112.99305927344572,188.47138368663343,E,C,E,B,-68.36059638731004,E,0
Yes,Female,B,B,-93.42619320716202,-97.03476693188146,95.65806768662812,C,D,A,A,114.44537813625135,B,0
Mental,Male,E,D,-27.617902747440564,-114.15952712252934,-78.92835159718769,B,E,D,D,-83.9347118827232,A,0
No,M,A,B,106.83700701244561,-14.00997475782198,124.51776459987754,E,A,B,A,37.78467302319971,A,0
No,F,A,D,167.7407289932502,98.9962823043827,69.61640232124617,A,C,E,E,2.6119257837576013,B,0
None,Other,A,D,-58.04051155763237,-115.19586568934668,65.16767499670145,E,C,C,E,-65.31360167455252,E,1
None,Other,D,D,-17.050056487399385,123.95679642771485,157.3575047321928,C,C,D,A,11.715598815189733,A,0
Physical,Female,B,C,16.88029217078665,-50.42184536597134,-72.0597268224039,E,D,E,A,9.32940081157975,B,0
None,M,B,A,59.88804588034632,83.7611504082748,-71.15367708250353,E,C,E,C,-62.03048945101227,D,0
Mental,F,E,D,-26.470732921520746,39.53274676822826,-75.32416001889138,C,B,D,B,-54.081103465036264,B,0
Mental,Female,E,D,183.48726885056956,145.0867750884318,33.457995599813955,A,D,C,E,72.75442465322408,D,0
Both,Male,C,A,-220.6170184334564,44.91961460717345,-168.30700737703395,B,B,D,C,103.89333850109472,A,1
Both,M,E,E,63.764965445806446,-84.41655119931433,67.79206258901098,A,D,B,E,-14.091709776292321,C,1
Both,M,C,E,-139.4136402524091,-85.32854430219216,44.31583289804921,C,A,C,C,-47.47821657834809,C,0
Yes,F,C,A,-109.57736766946542,72.63882742681177,-110.09304717348228,C,B,D,E,-44.64784352543057,C,1
Both,Female,E,A,-38.37327177298786,-31.97205479782458,159.2253320914161,B,A,C,C,203.79042889804117,C,0
Mental,Male,B,E,201.14564841672458,114.16035675119458,8.907500762275234,C,D,C,D,5.94635023347751,A,1
None,Female,E,C,-46.653996905216246,99.09546777044453,83.59602787710318,B,B,C,D,153.30372794214796,D,1
Physical,Male,D,D,141.30669605643234,-103.60350275808506,80.02592903527209,B,B,C,D,-63.274230588241686,B,1
Both,Female,D,C,230.7622215722589,49.23833420021203,166.03961872192178,A,C,B,E,-147.54766968330307,E,0
Physical,M,D,D,-263.9324662931107,113.8857614489254,-35.17490241260118,A,A,A,E,85.19824902859973,C,1
None,M,E,C,59.605527917169596,-15.468366476538215,133.58080399704266,B,D,D,C,-43.41936987709385,D,0
No,F,D,C,-23.257378317682587,-56.462751164227,-32.98171759874441,C,B,C,C,-282.01481075900614,C,0
Yes,Other,D,C,-129.20951052304014,8.57287632303964,91.59553125872894,C,D,C,C,125.13205916205021,C,1
Mental,Non-binary,D,A,129.59051756675856,-102.66405845670175,105.8203341393855,C,C,B,D,92.9364808397747,C,0
Both,Other,A,A,25.582569711258934,134.08048904947424,-81.05851333432356,E,B,A,B,-91.5700332800069,C,0
Physical,Non-binary,C,B,-66.00138512303617,-51.46776031062766,63.438043026696214,D,C,E,A,98.25566038031876,A,0
Both,Male,C,E,-62.3732590414716,211.4413818076146,48.15799352972206,E,B,E,C,57.61658221557221,C,0
No,M,E,E,11.821957826476503,143.31703459455778,-28.743489574567043,B,A,E,E,15.92447694793891,C,1
No,Non-binary,C,E,239.8567041810972,66.81900367464985,13.826328977945646,C,A,C,C,-33.809673334133564,D,0
Yes,Other,B,E,-143.59983701643765,-35.53586452471499,71.75363648184751,C,B,E,C,-0.7141771396880481,E,0
No,Non-binary,D,D,6.662884612703082,34.07625790296683,-32.37263073096335,B,D,B,A,29.658893511740196,E,1
Mental,Female,B,A,-222.195918031177,-186.32929254602968,157.5243005191125,A,A,B,B,-7.0606361444181225,E,0
Physical,M,A,A,-30.375313619538254,-60.11111698592935,-93.06235152276473,C,E,C,B,-166.32249083040244,C,0
No,M,A,D,120.54768963298699,-19.833235195926193,59.846125488768074,E,D,E,E,-29.685773438830488,C,1
None,Other,E,D,23.365461296624613,-12.685194491993009,88.74681399084899,A,E,E,C,12.131034369513536,D,1
None,F,E,D,17.646470519019783,43.80314510273319,28.61815551339526,C,C,B,E,-111.02028120424472,E,1
None,Male,B,A,-97.07829978245552,43.22238121510438,-23.15515930273776,B,A,E,E,65.47457107336481,E,0
Mental,Other,E,A,104.74036288940636,-90.36561377602219,-27.56976270033391,C,B,C,B,-40.8328693404252,C,1
Yes,Female,E,D,-17.190668836566953,14.164839161326489,-58.02818703776115,D,A,C,D,38.908469612760115,D,0
Both,M,B,C,-86.78154892415618,8.013824130582337,-12.177047262363143,C,B,D,C,-32.58886744678718,C,1
No,Female,E,B,163.4997473003158,99.00866758658164,25.660445052342524,D,B,D,D,-47.246344294205365,A,0
Both,Other,A,E,19.35009589450687,-82.35030075264554,-36.962225780492794,E,B,B,D,132.06410131619987,C,0
Both,Other,D,E,166.6640401518023,51.38761217224378,-60.0787568738385,B,C,C,D,54.88511587743107,E,0
No,Other,A,B,-101.74788616285997,32.68119272121652,33.27407521683983,B,B,C,B,3.36988765558461,D,1
Both,M,E,E,-45.47688567347364,25.469729184634172,21.046884258128497,D,E,E,A,175.15044976476094,E,0
None,F,C,D,-104.45347066583174,33.22552291427218,46.49800525251875,C,E,A,D,-78.86121842876011,E,0
Mental,M,A,D,-77.8356741391638,17.856043486470135,13.09095628313285,B,E,B,B,14.222284008442415,D,0
None,M,B,E,-99.58951698527139,-84.0285624198286,-126.68762095559391,E,A,A,C,80.43844781326042,A,0
Mental,Male,C,B,192.26272233375312,-55.16224979930566,-16.480582139405538,B,C,C,B,-5.297961057465375,E,0
None,M,E,B,8.607191454025873,-15.871653785957793,1.4746331698403001,C,B,E,A,-0.5166341123748478,A,1
Mental,M,A,E,-51.353714717226204,144.35147300818485,226.45711703442646,B,B,C,E,-223.33117437616033,A,1
No,Female,C,D,84.69739364569915,34.30617721523174,59.4017230584135,D,D,A,A,111.09548305935878,D,1
Mental,F,B,A,120.84632616946223,-131.04063816561288,-35.03207573784868,B,A,E,C,-43.03934790410037,D,0
None,F,C,C,-99.8276683265795,30.485088328354205,5.12519771367862,C,C,A,D,32.22606570216763,B,1
Yes,Male,E,D,36.4872468310894,47.79192103405451,72.65010700021091,A,D,E,E,-20.705312883680733,C,0
No,F,A,A,-158.62184209189243,-105.18544399238957,71.77332554195374,E,B,B,B,93.39271729606321,D,0
Physical,Other,B,A,-94.89664347613189,39.74317543928637,-21.871364425708624,A,A,A,E,44.98444815409384,A,0
Yes,M,D,A,-96.20389026366468,-45.97234551310272,39.444070435618066,A,B,C,D,-28.66124632345592,B,1
Yes,Male,E,B,52.01544553952719,-84.50770555691254,120.75754181616527,A,B,D,A,115.26253831488522,A,1
Mental,Non-binary,A,C,-39.05877172901001,73.99295031451493,135.00327817353747,A,C,A,A,104.75217737531197,D,0
Both,Female,B,D,-20.486301545287134,-66.48649310000373,203.746516554145,D,E,B,E,62.83448513812817,C,0
None,Male,D,E,116.80398128358462,167.84753608962416,26.530531860423118,D,D,D,A,-20.377024208634033,B,1
Yes,Male,E,E,-11.43935573388999,108.42963882113817,60.4316867485578,E,E,D,C,-110.38726718969367,E,1
Mental,F,B,D,14.368554972972378,141.4092675594569,-25.232020626966072,E,A,C,D,1.7942008596827028,C,0
Both,Female,D,E,-156.34289183575808,-60.35418938341558,-132.7459098711806,A,A,B,D,108.4384438318959,C,1
Both,Male,E,E,-13.989081636958034,142.85518342058546,139.38489696039375,A,B,D,E,-178.65566685677155,E,1
Physical,F,D,A,18.766507550185132,76.05187194476952,-100.50477767628682,B,C,C,A,91.93170891841113,A,0
Mental,Non-binary,A,D,-152.64981036411766,-32.3209617942484,-93.10911872228458,C,A,D,E,203.59461307530665,D,1
Yes,Other,E,A,-35.98773116564814,43.53945537504267,144.1943589536159,E,D,D,C,12.653713245708051,D,1
No,Female,A,C,-120.10647298687157,56.90388002010768,84.53967835737492,E,D,E,B,46.922805199158454,C,1
Both,Male,E,E,95.2782271388206,128.63528828645622,87.82743757855809,B,B,D,A,96.16324749625274,D,1
No,Non-binary,A,C,48.61919515309599,34.27318995039162,-35.13900192381572,E,B,D,C,-106.482623134767,D,0
Physical,Male,D,B,-185.41130779854302,-129.3301171738216,-54.03242874157706,A,A,B,A,-11.437322197125516,E,1
Mental,M,D,C,66.6036350109508,-24.454579663232636,-73.39382807882315,C,A,A,E,-19.91271722951725,C,1
Physical,Female,B,B,71.34608976554414,-39.46750191180238,79.36438664127833,E,A,C,E,8.451949554739354,E,0
Both,M,E,E,28.344965750188383,6.6461858040584225,-246.58746377750907,E,D,B,C,33.63746691796931,A,0
Mental,M,A,E,182.11934780267632,-36.56321634522156,218.59725974804158,C,C,D,A,-77.27773238800945,E,0
Physical,F,D,C,247.95588219470477,121.04425365617264,-147.36679118386863,B,C,E,B,63.013113171336364,C,0
Mental,Non-binary,E,D,36.62489730887227,152.3481111581169,-91.35133812237363,D,C,C,E,73.28303618695655,E,1
No,Male,A,A,-25.16656451872066,68.94451290659485,-179.56556383343533,E,E,A,A,45.42257936418621,C,1
Both,Female,C,C,-43.142787196449696,92.75629860652963,9.142141700935788,A,E,E,C,69.0061043974606,D,0
None,M,C,B,129.89819464655545,-142.09770150787108,178.72159332582152,E,C,B,A,62.275201997966214,D,1
Physical,F,E,C,4.2881704381012025,156.4047648214157,114.30985274484445,D,E,A,B,-22.465817612041768,B,0
Physical,F,E,A,257.5486910562322,11.482457738895189,-1.5457820454359759,D,A,C,C,135.2935080450899,D,0
Yes,Male,D,C,9.2385650177715,-63.68241891549968,259.1698479578622,D,A,C,B,152.70778103279986,B,1
No,Female,E,E,-94.44885734118088,20.47993691794844,126.0094122864938,E,B,C,E,-59.711350854528256,D,0
Physical,M,C,E,-64.02168252665368,-159.9396394619851,163.94631549033792,B,B,B,E,-14.314196101771348,D,0
No,Non-binary,B,B,92.3023822337783,-76.80311874103855,11.515956866514708,B,A,D,A,-119.86166823109698,D,1
Physical,F,A,B,-27.521317158078816,-118.36042010844619,148.72620537013955,C,C,B,D,9.589965897398084,B,1
Both,Non-binary,B,D,57.87066896321254,118.09116287174548,206.1016605139421,B,D,C,B,-4.013802968872913,B,1
None,M,E,E,31.26462541742897,125.5268792167429,177.23154290356774,E,D,D,C,167.31614933916336,A,1
Mental,Male,B,A,-33.21643572535298,-51.61081225424356,57.93113224047908,B,E,D,B,64.05789752569119,A,1
None,F,D,D,-106.38759287451826,-130.72796505686316,158.52788642086074,C,E,D,A,-16.5271148367475,A,0
Physical,M,C,C,-5.493250468599089,-32.10985042283434,82.57657699102762,C,C,A,B,0.5518433106614326,E,0
Yes,Non-binary,C,C,189.68808008923034,-37.67381058503214,144.67124042628413,A,D,D,C,55.32800797882786,D,1
Mental,M,E,D,16.622222012034662,95.09231929642283,-244.87005937881366,D,C,D,C,-118.02653098476902,E,1
None,Female,B,D,-104.67350694958573,-183.13038035412416,109.63922444384666,D,C,D,C,58.0325821937543,C,0
No,Non-binary,A,C,33.72510806633527,56.69633544141701,13.383271077315708,A,D,C,C,31.1910856923576,D,0
Physical,Other,E,B,-32.732046980250885,50.3135089923013,169.00454453648015,A,B,A,D,-60.57597136860936,A,1
Physical,Non-binary,A,E,199.68380735264407,0.619348157729808,-24.865926595955372,D,A,A,A,33.05125685786044,D,0
Physical,Non-binary,D,C,-91.92584177679655,-69.82416148803856,-11.518298760567996,A,A,D,C,58.561408780002644,B,0
Physical,Other,D,A,-47.97402311065096,42.439845088553625,13.353435558449833,A,D,C,E,-121.7071507593714,E,1
Mental,F,C,C,-21.693465503374643,175.48869612306223,21.92016259915251,A,C,B,B,160.63930752507167,B,1
Physical,Female,A,D,227.70801826694574,-125.43348038295217,-58.76123244601011,B,C,B,D,-28.85240121262664,C,1
Physical,Other,E,B,88.06316032436158,-117.64609061448674,122.91169359405252,D,D,A,D,41.659935752385906,A,0
Yes,F,E,C,182.93684759259435,-174.13010558818357,-104.11692362698328,C,C,D,C,-29.101720538682198,A,0
Mental,Non-binary,E,D,-246.41755606992515,-18.011752707591388,-23.51192279001354,E,B,C,B,-26.71181859026764,D,1
No,Other,D,A,-26.70490004715445,-25.425594703201376,-23.925535392702503,B,E,B,B,-155.63307013310526,C,0
None,Non-binary,B,C,-31.004975627307758,-132.59228347005447,18.916901320034558,B,A,B,D,-93.31645467173611,E,0
No,Non-binary,C,D,174.88799673340424,-70.45162871602795,25.85671661553067,E,C,E,A,-76.1962590245382,B,1
Physical,Non-binary,D,A,22.260899394767296,89.21824429058907,-27.18780858892333,A,B,A,B,140.09437397495796,A,1
Both,F,C,A,53.83244537057495,17.45738081033739,48.08629139264374,A,A,E,C,-131.4002957814951,B,0
Physical,Other,A,E,-112.01842289253132,-11.740918257724662,-65.22790083843991,B,A,E,C,-51.70382883978637,D,0
Physical,Non-binary,D,C,71.22615480023937,115.1735272508978,-93.61861545130495,E,A,E,C,9.80537996591189,A,1
Yes,M,B,A,127.2378985063817,75.95169531656023,-75.91372167876776,C,E,A,C,120.50371097258751,A,1
Yes,Female,E,A,94.37134594109457,24.40438072550923,-45.413479879668564,C,B,D,B,135.61561313647758,B,0
Both,F,C,A,67.31199629756858,-107.11467790500666,-87.57797168857604,D,E,C,C,-76.73528167913823,D,0
Yes,M,C,B,-0.08621163634600805,44.009996380940485,189.53241649592238,E,A,B,C,-209.83813750639607,B,1
Physical,Female,E,C,-47.36696029326176,-62.91116020159502,40.69289815094993,B,C,E,D,-35.05435456789796,A,1
No,Female,B,D,-73.92480848572998,6.593672713813559,15.606539890626955,E,B,B,B,-64.32683710432127,B,0
Both,Male,D,D,-93.09246557434713,7.0805431494238364,62.41704758490161,B,B,D,A,124.57017454497097,D,1
Yes,Female,E,B,-28.70354366762355,26.533218578214353,174.94504726868126,B,D,C,D,2.71812402736217,C,0
Yes,M,B,A,3.0343347765403985,151.98421910092,-164.10591182819707,C,E,A,D,166.49478610259305,A,0
None,F,B,E,-198.68308832727575,27.587056649337967,106.13296185082042,A,A,C,D,-110.54987696509824,B,1
Physical,Female,D,B,51.625050740787735,-58.569827147052244,37.94107460427578,C,D,C,C,-112.77751151965383,C,1
Mental,Male,B,E,-10.507274300051456,11.746080520756372,160.81497349051423,C,E,B,E,-48.737503987722306,B,1
Physical,Other,B,C,-36.315252637500045,89.3245137931364,-137.1808098511246,B,D,D,C,37.12700783757265,B,1
None,Female,B,D,-166.20584923462843,-107.42720417379705,4.169357562196415,B,A,E,A,143.00675105380003,C,0
Physical,Non-binary,D,D,-140.81150242049264,-104.83140497697583,110.45402228125245,A,C,A,B,-113.03536534829335,D,1
Both,Female,E,D,-109.36453675799389,-72.3172379912151,142.20193499530563,C,D,E,E,1.4193839329064943,C,0
Both,Male,A,A,-24.832318830250674,4.1760220579054295,-80.1558865836135,B,E,A,C,-12.331184403421585,C,0
Yes,Male,E,A,152.2711221471522,26.67078452919621,50.82634792631089,C,A,D,B,-146.022622162149,B,1
Both,F,B,C,-37.447716210002945,-21.78290753356112,9.567502322705451,E,A,A,E,-98.5888159419342,B,1
Yes,Non-binary,B,E,98.61145590404999,56.28840439607916,206.22893091174092,B,A,D,A,-62.60033613352412,B,0
Both,Other,E,E,-103.88642671781328,2.4704043920723553,-75.85806182195294,B,C,B,B,-239.05751190057072,C,1
Yes,Non-binary,D,A,-63.80799659990534,18.192176073175883,-88.61464797485729,C,A,E,A,-5.169645089870777,C,1
Mental,M,D,B,-127.93538166629878,29.198727874927773,-21.28660376073491,E,A,E,C,-78.80098280775849,E,0
Physical,Non-binary,C,D,-154.04055279863036,-103.7275235046605,-58.582626686119035,E,C,B,B,-26.067208389778784,B,0
Mental,Other,E,A,-55.43253060477842,52.95488091683054,-274.57390967125843,C,D,B,B,-34.952740469618426,E,0
No,F,B,B,69.34746149769744,196.3247993778055,56.23721584274547,B,E,C,B,-103.34274450573733,A,0
Mental,Female,D,A,6.710776964084629,-73.78613722172548,34.662427405236755,B,A,E,D,141.47545173054004,D,0
Both,Non-binary,C,A,-77.13807059204687,46.20673089626684,-5.935711618527249,E,D,E,A,38.746846110799645,B,0
Physical,Other,C,C,28.725769584119387,77.82657572762703,-58.3913576089246,E,A,B,D,-73.98276479104887,A,1
Mental,F,C,A,-100.99499958249262,22.53127206125402,142.77145516654963,C,E,A,D,107.03052485927904,C,0
Mental,F,E,B,24.116794260266882,34.6608714825836,-32.94301300935472,B,A,A,C,-9.55385901861836,B,0
Mental,Other,D,E,102.3738791038773,-48.73221448071223,79.79282201402289,C,D,E,C,111.67285564822326,E,1
Both,Other,B,D,71.1678284822156,-45.70733074986698,-95.38978011285928,A,B,B,C,-66.72476035342879,A,0
Both,Female,B,C,80.13631601515061,13.421337216219294,59.6719724735371,A,A,C,C,98.28749493065379,B,1
No,Other,C,B,66.63748327228178,-66.82770753920086,7.876061348495668,C,B,A,C,56.05156549366631,D,0
Physical,F,C,C,93.85728632665621,-113.05147347394842,88.54319130104635,E,B,E,D,-77.36277082250272,E,1
Yes,F,A,B,93.2832642726765,63.60740086426706,-42.536988587657255,C,E,E,A,26.891547402726,E,1
No,Non-binary,E,B,211.0237796606416,4.396615294548811,125.24463835145328,A,A,B,D,-86.49647340595055,D,1
None,Other,D,D,230.50108835236966,-70.06472345933123,195.04973191576525,B,C,E,B,172.48758034933476,A,1
Both,M,E,D,111.54558561717054,35.42616751638865,-2.358758351682633,C,A,E,E,-122.41920684886922,E,1
Physical,F,D,E,76.1488279034235,-62.41368131910067,40.45476428497921,B,C,E,A,-40.17180714748445,A,0
No,M,B,B,-25.853090403691407,-167.72601727195885,-176.55109533657793,A,A,D,C,90.43370528157283,D,1
Mental,Female,E,D,-195.64637768629643,-88.20635642162654,65.12547242256518,C,D,D,D,73.32811158850994,D,0
Mental,M,E,D,-5.373628604894052,83.75958201363001,20.448238992409387,D,B,D,A,-37.810618324350166,D,1
Both,Non-binary,A,C,-85.24478258307113,9.505512808130486,-94.79448290401932,D,A,C,E,-8.708987113533881,D,0
No,Non-binary,A,D,-121.2507287312759,-35.272844527849564,-80.60625771739353,A,D,A,A,52.906803646609745,E,1
Physical,M,D,B,18.581114466705966,110.0943008741863,20.67056254689232,E,C,B,D,79.92191187969071,E,1
None,Female,D,B,218.02873506135674,115.57287166323505,-29.069803575715998,D,C,D,B,108.91169180363764,B,1
None,F,A,E,14.869953656804224,8.979570911496921,-58.99918474526805,A,E,C,B,-25.340310902510875,B,0
Both,Male,A,A,108.52734637745203,95.7824142644174,30.42926366544733,B,D,B,E,74.36852143352665,B,1
None,M,C,B,-84.26114478696917,-31.100530391779568,-25.680403812552598,C,A,B,B,43.10559692472594,C,1
Physical,Male,C,D,-26.870813924440696,-83.38923483432148,1.4529999005574536,D,A,B,E,-10.319914900392375,C,1
None,M,B,E,80.92741249177196,103.97663881984155,59.36653458814036,A,E,B,C,89.22956588417236,A,0
Both,Non-binary,B,D,63.27573065105271,97.74557224883708,-242.65907267454674,C,E,B,C,-91.72544664237877,A,0
No,Non-binary,E,A,-233.2965721540171,51.810564169765804,-48.81433710828778,A,C,B,D,-79.87989101857944,C,1
Both,Male,D,C,-280.6046577721469,17.99920071945815,-2.4908131565585143,C,C,D,B,1.112951716359266,E,0
Mental,Other,E,E,-39.27798988738877,-231.73003790439185,-16.950491947416246,A,B,A,B,-84.25767809879126,B,0
No,Female,A,A,106.5557326645769,-58.652600759405715,75.16233550065056,C,B,D,D,96.52035942094076,C,0
Yes,Female,E,C,-3.6615163705521954,169.42230912877733,265.35721112994173,D,A,B,B,24.285840557205482,E,1
Both,F,B,B,63.897134973569756,-144.3191794403358,-104.71552119331702,B,C,A,A,117.17337051481881,A,1
Yes,Non-binary,A,D,-18.395546834742007,-17.82138939923494,1.2271267782100999,A,D,D,D,12.596929843167338,C,0
Physical,F,A,E,32.85294483271843,1.931182833355085,21.55622423573289,B,E,A,B,-23.617645364307727,C,1
Physical,Other,B,A,75.64441265448461,107.76466701140342,104.29453488534325,E,B,E,E,-49.03673269033939,E,1
Yes,M,E,C,-40.84935421879813,-160.93700830429748,-43.875223091644344,A,B,B,E,193.0335674386038,B,1
No,Other,A,E,-19.3486278411717,-41.67678045521377,90.11509162116215,A,A,B,C,22.65282266725877,E,1
Both,Non-binary,C,E,172.57004762554894,-12.169347896029764,147.67892219618716,A,D,D,C,85.81433254262669,A,1
Yes,Female,E,A,-76.38431858158522,-27.614874453847637,-84.94888322987828,C,B,A,A,-108.36060185561247,B,0
No,Female,E,C,159.74089681226027,-156.12747324133608,-154.3633257197551,B,A,E,C,153.51443759645304,A,1
Both,Male,B,C,30.588692678278445,-35.98001087731888,-3.0777629168119507,A,D,D,E,-1.8367227284765562,B,0
Physical,Other,D,E,-12.973503232427783,19.34118897082161,30.496079506049846,A,A,B,C,-98.55142859262685,E,1
Mental,Other,C,D,114.93002340209826,-102.31560663698814,6.480863213374145,D,E,D,C,-47.1625846041997,D,0
Both,M,C,E,69.36815240182864,148.48939327501122,64.8097592592315,A,D,D,B,197.58983471852756,E,1
Yes,Female,D,D,-95.36368577780654,-105.73538750151725,-182.0408754252105,B,B,A,C,-86.33968576560952,E,0
No,F,E,E,90.6381068438552,38.12034644563752,-21.470727862030824,D,A,B,C,-5.6752024782163355,E,0
Mental,Female,E,C,33.61921056264764,-77.77208396958977,-154.8038901245401,A,D,D,B,16.34784692804774,A,1
No,M,C,D,77.9564827242448,-68.87088945608231,86.75638703701352,A,D,A,B,111.69724904834233,D,1
Both,M,A,E,-59.02725035822819,68.17511919052241,-99.07546598238706,A,E,E,A,228.32989105282246,B,1
Physical,Non-binary,E,B,18.572460989520874,37.965226718034366,-20.703923113865105,C,C,C,E,108.9823091478835,C,1
None,F,D,D,-93.17365144613657,70.54502127993115,95.7708663670782,B,B,E,E,7.300995753006764,B,0
Mental,M,B,A,-46.93797721991873,-178.14698031321728,166.88698502569602,E,C,D,A,116.62242748094542,E,0
Physical,Non-binary,B,A,181.0320467941114,95.896655555311,0.8865566343613203,B,A,D,A,-44.83074772668458,C,0
No,Non-binary,E,C,-28.71687576230852,14.908948746797964,68.41059710744129,C,A,E,B,-43.625550903705204,E,0
Yes,Other,C,D,-125.79338435701357,27.306049176974316,-70.11111585292603,B,B,E,E,24.609178090893586,D,0
Yes,Other,B,B,-142.58488717738769,173.6318795544347,-1.4649212128429936,C,B,D,E,-2.7486325591701455,B,1
