nationality,Religion,age_range,AGE,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,target
US,None,18-25,26,29.366703698596165,-74.71957200799184,A,95.8420717464716,63.285767088413415,D,B,-15.300782674315691,D,0
Brazil,None,36-50,61,25.261746525794877,-26.930957133550564,E,39.046237074334904,-23.84278199852818,D,C,-37.69988203704451,E,0
Other,Christian,65+,45,55.67761948175429,-76.5267812363475,B,-61.44768784429656,-84.25962135074772,B,C,84.62828584547543,E,0
UK,Other,18-25,74,18.23135421812685,246.81938469385122,A,226.34674555106668,68.48035424212405,E,B,165.3577004765637,A,0
Other,Other,51-65,31,-79.3134211879636,61.315988873227155,C,-39.570671047457985,15.119587874089463,A,E,123.6534311078024,C,1
Germany,Other,65+,67,-70.02991409514945,226.04713876421107,D,-125.81639852306554,-7.179892299509976,B,B,8.122083438779887,C,1
Other,Jewish,36-50,49,-17.94349004767561,-97.49113499828455,B,39.551437042835694,71.47606542109428,A,E,-62.57065904767827,A,1
UK,None,18-25,48,-66.76019012723023,-42.19720410816663,C,126.89848013976723,-15.52460936229867,D,C,29.789946149957004,D,1
Germany,Jewish,18-25,38,-98.88486609000411,317.3080967965884,C,1.5837602977067624,-82.97343926190386,C,E,80.28701917927667,B,0
China,Christian,65+,73,352.1702403020676,-128.6560970829778,A,-17.761287508668012,-144.77533435212578,C,A,39.24330501444776,C,0
Germany,Other,36-50,73,-114.98450107384718,-112.77709868150669,A,-113.22599648334626,-226.8402719487673,D,E,121.49264690084254,E,0
Brazil,Muslim,36-50,61,88.16482738546169,-0.14124182152387535,B,29.41760789399111,17.180759213836808,E,B,86.84065649168947,A,1
UK,Jewish,65+,67,115.45451508395008,148.49313422405856,D,40.98008865394143,66.08585325000732,E,A,-190.88491020918295,A,0
Other,Other,36-50,27,52.4523432171509,79.91716184816975,B,-134.20518791020964,49.514910628042344,B,E,25.068517172375515,A,1
Mexico,Muslim,26-35,65,167.59956296454064,32.725123055947414,B,-25.401402925284195,67.2223287458134,C,A,-212.21264237298604,B,1
China,Christian,18-25,43,115.80782655842354,-49.541505681401645,D,89.03124346247807,-108.57328397414159,D,C,-32.879749811903416,E,0
Mexico,Jewish,51-65,68,33.802665191988,-41.94763839246182,E,-58.29338932556444,-53.70170253552513,A,D,135.98643183372712,B,0
Other,Jewish,26-35,45,84.81792214156533,104.8824051272512,C,-79.32686307695225,3.7409306769971633,B,E,-26.2295890931853,B,1
Germany,Jewish,51-65,25,-14.335439472354219,-61.185217925918124,A,-175.94094204448615,-67.84679123876472,D,E,75.1853329984578,B,1
Germany,Other,36-50,37,-170.65452756711585,-163.85806401419632,E,38.85950679274199,-90.92482218085833,A,B,-22.478217104473668,D,0
India,None,18-25,25,39.399943975548,32.886898369693284,D,-41.25857163612583,-19.87889965295443,B,E,-46.72290551442189,C,1
India,None,51-65,18,-5.5345790000033706,-16.88478226268088,D,-78.4355716853911,-13.105787528208534,A,D,24.40982096682584,E,0
Other,Muslim,36-50,76,192.73143071933094,21.879958942875774,D,25.6766701444068,-56.42914575154283,E,C,218.88521027792714,E,1
UK,Hindu,36-50,44,40.62515259003639,118.67610952594767,D,38.07319575782122,105.46406673072148,E,B,-88.29759939145279,A,0
India,Jewish,18-25,21,-134.9014126054897,36.75314562545924,B,33.15007004797114,-45.989324274196576,D,E,-122.68024052125135,A,1
China,Jewish,65+,28,29.424913442930396,-22.674747350262983,C,126.00339477275584,-3.799301920982459,B,C,12.130168481933651,E,1
Mexico,Hindu,51-65,49,-109.08078341250096,-70.28478977367054,E,-25.13759981382071,52.93392458305137,C,A,105.59506657035294,B,0
US,Muslim,18-25,21,-105.48118877482364,126.50389305514639,E,139.29703005927004,166.95035633935552,D,E,84.37518263084633,D,1
Germany,Jewish,18-25,38,-56.38216313674371,233.57655784829018,A,-32.67431449279843,28.82431841552238,A,A,-72.30007574199163,D,0
Other,Jewish,36-50,24,-213.8511417895196,-69.55417807118582,D,73.33139344413195,102.93411380747632,A,C,-53.93767582060548,A,1
Germany,Christian,36-50,57,103.32087758526613,-67.24966228212081,C,-134.70516070935278,-93.35575111368762,A,B,221.86173347405594,E,0
Other,Muslim,36-50,40,-184.5447262963944,-24.69605259824342,A,180.35663612891767,123.58569146966143,C,E,157.60547110918782,A,0
China,Other,51-65,19,109.11388005462406,13.286557910254832,A,29.528977186517473,-12.46541560402968,A,D,17.107098440200982,E,1
UK,Buddhist,26-35,18,-71.03166239035222,-88.52567767096718,D,-4.5747384103682025,54.9970473339519,B,A,134.0993649382398,C,0
UK,Hindu,65+,62,-92.43564280554826,-30.023794235859302,A,-258.7485004355123,185.29733792213253,C,E,13.389187154535257,D,1
Brazil,Other,18-25,28,-84.23284796061213,160.09718361950132,B,-116.03188190999134,-101.21660056595513,E,B,-104.69099820309083,D,0
Other,Hindu,65+,74,77.12463718473231,76.30077777488935,D,41.279475901807,7.605291433019571,B,E,207.54173477736444,D,0
Germany,Hindu,51-65,20,-25.30540474392045,-90.66780238762566,D,38.71109213471041,-73.13970128543718,A,B,34.7800331038837,B,1
UK,Muslim,51-65,58,-41.07919632685105,109.73775884972315,B,-73.64990515280482,-123.99696126319637,D,E,-12.394849064494347,E,0
China,Other,51-65,75,-80.29363234144262,115.90183565514214,C,119.10768378815948,128.18122756000778,C,D,-9.805220827124485,D,1
Other,Hindu,65+,62,2.0704135797664764,89.00942113878597,E,90.92804152078881,-184.78325985598607,A,B,94.66342332662052,C,1
UK,Buddhist,51-65,47,-5.364526789325572,80.68232342153338,E,-36.413436843488306,-3.695891619113435,B,C,159.61283683311558,A,1
India,Other,65+,63,133.43701313048302,-14.134727075144262,A,-2.402932017011603,142.26117462558383,E,D,-0.46271361435298536,B,0
UK,Hindu,65+,48,-1.6538703126707042,80.00807992188774,A,-84.26286834736517,-34.104574899493976,B,A,10.642274498975839,A,0
Mexico,Christian,26-35,76,-97.31663458126569,-19.656942171941623,D,119.73435481710735,-47.226499656079426,B,B,-30.93451122569958,A,1
US,Jewish,36-50,24,162.74605602068354,-176.01483515644028,A,-76.55109644972697,208.33881157666733,C,B,33.11619884875656,D,0
Brazil,Buddhist,18-25,40,107.1703075116166,11.042977516877935,D,-26.349869306902573,122.7026060099686,B,A,63.983431491878875,A,0
India,Muslim,18-25,47,21.975710585631298,82.52121159096986,E,46.8865097242234,-136.42782152001624,C,D,-250.56688630772598,C,0
India,Hindu,65+,21,-62.024446061616146,79.69080704695246,C,-12.27201219069729,8.236485019302494,E,D,-14.006568848652618,B,1
UK,Other,36-50,51,15.818326065564623,111.85534401652338,E,52.64138604142281,-40.37940612707258,B,B,-29.663821923463395,E,1
Germany,Other,18-25,72,34.19099047961147,136.34100157376898,C,-18.964903018858088,77.37774553676329,E,E,83.96248636692913,D,1
US,Muslim,18-25,60,146.94473196453617,205.29377029322595,E,-20.613027230194856,-89.2294251526232,A,B,134.65301907984843,A,1
Germany,Buddhist,18-25,52,133.4260297407271,26.71322332125394,B,-17.558136912722613,102.44795392262218,B,B,-82.87944543516812,E,0
US,Jewish,65+,60,62.49999114746184,-92.80131838687059,A,-31.66036594264805,111.18493192851172,C,C,-134.5745469261547,C,1
Germany,Jewish,65+,52,-3.006150684684869,41.74710984838061,B,-5.9439286605856205,105.7922323865669,E,E,37.54283162871343,A,1
India,Hindu,36-50,72,-189.16586893831317,15.700986869276829,A,41.264702546726504,-16.4599564978856,A,E,68.95761048051304,B,1
Brazil,None,51-65,39,16.800448266858673,15.015211018625656,E,-156.95495741339028,-7.975197969099593,D,C,-74.46444295494487,B,0
UK,Hindu,26-35,67,-47.618668652639364,132.80072390520115,C,37.58249157832026,-48.1913282876532,D,C,-48.56666991981268,B,1
China,Hindu,65+,69,109.9032891458011,13.454731300918063,A,-30.81032499919359,-169.44078026763006,C,E,-150.72722586767762,B,1
India,Other,51-65,37,-206.47112418684753,-93.99899036534825,A,-177.04824681980352,91.42809004751355,A,C,-41.92971159469823,D,1
US,Jewish,51-65,24,84.17939708046687,-12.923475209713962,D,-28.41525685039367,50.02358699135214,C,B,-54.142706105997185,B,1
UK,Christian,26-35,41,80.50514894027098,-187.78739246056793,E,-67.44006803712112,41.00605169030318,B,D,138.11627303471886,D,1
India,None,36-50,21,240.5621155023651,9.070252962810274,E,-109.7693715710455,162.339031499054,C,E,24.60428594809063,A,0
Germany,None,36-50,70,-39.49060546534744,-53.96324530866615,E,-55.95398091480839,10.281484340787387,E,A,32.03451992803735,C,0
UK,Hindu,51-65,79,-17.408712548202967,33.58765690761137,A,117.82380688454481,-102.44336174565976,A,A,-43.05957327090722,B,0
India,Buddhist,65+,67,22.582457796400394,30.097433758981886,B,243.95869159650516,70.37761272526843,C,C,154.19709533128565,B,0
Other,Hindu,51-65,38,1.8405105190921218,-81.94939562479868,E,-85.14964709326752,108.97706814119647,D,C,-180.1234206377042,B,0
Germany,Christian,26-35,35,-65.507820613436,1.470437685315789,B,-56.38438742352933,81.92626194660451,A,B,-35.019192248551875,E,0
China,Jewish,51-65,71,-173.03737687528167,88.86535423157207,B,-102.532933329383,82.69700041298678,E,D,0.7867928282229767,B,1
Other,Buddhist,65+,29,-35.564573377078965,77.73022970225706,C,52.85389529184161,-15.308927577557938,D,A,-142.70838471496262,D,0
India,Jewish,65+,40,123.22595509690389,115.89661054719782,E,-118.37935247848034,34.63921250086519,C,D,17.02057185341939,C,0
UK,None,26-35,63,51.57915823839144,58.12510137097293,E,134.386864504617,25.102789934927923,C,E,-208.64310612021262,A,0
US,Jewish,51-65,46,54.22436023217166,19.410869674696045,C,61.38908705145057,37.24145629924423,D,A,-30.316316676660737,E,0
China,Hindu,51-65,33,109.73113447845411,40.9897781942662,D,49.208643238005656,-20.10131083096919,A,D,-127.94459179845734,B,1
Brazil,Muslim,18-25,46,177.03502906500975,27.029395798196994,A,-55.11199757819255,22.09115314877922,E,B,-66.00903362547832,C,1
Other,Jewish,26-35,55,-65.55477125869254,-34.15408138007477,E,-47.656971896302316,-33.29069247814687,D,B,88.39176571839455,A,1
US,Buddhist,51-65,36,144.77698680298354,72.73335905600032,E,-81.24112701253422,112.21372795109264,A,E,129.95276828903317,C,1
Other,Buddhist,65+,57,-86.52058146504162,93.09660706893746,A,-33.833719034842574,35.05755843592266,C,C,-70.91855390914064,A,1
UK,None,65+,21,43.74801763293004,-0.512168452420421,E,-16.834288622642276,-63.19271450583275,D,B,-75.17432266378347,C,0
India,Other,26-35,58,39.43264187652835,17.588040957060905,E,157.53593518127113,11.332301234601712,A,A,71.19686601367334,E,1
Germany,Christian,26-35,32,29.553216353517346,34.94846423669261,D,-83.3946743974511,142.62083473418764,E,E,79.07828474841702,B,1
US,Hindu,65+,61,-14.92658701337914,-0.5342323795997955,C,-167.5436448493144,4.598533730897011,E,E,25.52427359902371,C,1
China,Other,65+,49,244.51581750890333,-107.86784104654967,C,133.10510753904788,107.00719118708155,A,C,-6.5990401220690345,D,0
Brazil,Christian,18-25,58,-43.252127326530925,24.495851090752275,B,154.12994954042497,-6.338087417420869,C,B,-78.27020173464628,E,1
Other,Hindu,36-50,50,-117.99637842742537,0.6903514454125466,C,-15.74515027388633,-119.60044404171708,C,C,23.851145668982703,A,1
Mexico,Jewish,18-25,79,164.65858312480296,155.99665328182945,D,145.11295543445328,-5.4087961855251425,A,C,-99.54421168715703,D,0
India,Muslim,51-65,51,284.647998239422,-28.54371351492703,B,-158.2244584136384,-9.428741260398617,C,D,100.58105484520084,E,1
China,Muslim,18-25,63,23.46501013091072,-6.769495139779636,A,-47.554297048247854,-36.162598019808065,E,C,-21.437799735917938,D,1
India,Hindu,36-50,71,13.253815710992093,157.34172628478512,B,138.0890586442904,-28.148578742092962,A,B,-59.79507329074308,A,1
UK,None,51-65,71,64.52867979261408,100.46444022812328,A,-65.13880199401605,176.993509008578,A,C,-52.94111679287777,A,1
Brazil,Muslim,18-25,20,23.89625639687159,-34.53078321185721,C,-64.75950034523707,-178.3799200880119,B,D,49.31536781360608,D,1
Germany,Buddhist,36-50,33,-10.953387071874161,145.9797389192087,E,92.18970760988549,-184.38515568954048,A,A,-234.0336438729512,E,0
UK,Other,36-50,21,100.80381083874839,33.89204210301343,C,-78.28202014909407,78.30776149820963,E,A,144.2689210844278,E,0
India,Hindu,18-25,77,-80.21791537269479,62.25050306532022,E,-62.20935114768141,175.10271901881973,B,D,77.25333704869101,C,1
US,Christian,51-65,47,196.94543266745012,135.57699796918737,C,-174.3936554862241,173.7974629369985,D,E,-156.91353594543605,A,0
US,Christian,65+,74,-43.07393328495359,20.00144245013587,E,53.828523266344455,145.22808407166417,B,E,35.47618277127429,A,0
Mexico,Buddhist,18-25,20,36.69860791866206,99.1465142713131,D,-72.10420675194071,2.9052740246092603,D,D,-62.8083566710597,A,0
Other,Other,51-65,75,-36.71510502206481,-25.553235707441203,C,-44.595032177778485,-84.83868655406557,B,B,114.9151039381008,A,0
Germany,Christian,18-25,36,128.88788811499302,23.835329344588647,B,-17.98739449827444,48.79449017024717,B,E,-77.82506835058652,E,0
UK,Jewish,36-50,50,-87.66981112913057,-54.4755708569037,D,80.88414300513143,-2.311405710662904,C,B,-41.28684254034038,A,0
Other,Muslim,18-25,49,-89.11071674665246,60.320093070151536,E,147.32367552817823,2.2345641254282076,E,C,-30.97147201473449,E,0
Other,Hindu,36-50,18,20.51546322789154,-122.13315593155116,B,-78.67021249446482,36.39205278089758,A,B,-75.21723981981764,B,0
China,Jewish,65+,21,17.150536414342355,-35.685713104072065,B,128.37718426559505,-262.2243672524185,A,B,-145.52433280039708,A,0
India,Muslim,18-25,63,46.782026719285014,-161.03057244173587,D,-34.233070876883566,-205.1708536777209,A,B,143.89394730877137,B,0
Other,Christian,65+,60,51.42910687662957,-120.02533613005535,E,42.04825323589349,-50.51750470835089,B,B,-35.92719438647599,A,1
UK,Hindu,51-65,69,-97.2702907632736,51.41497877520609,B,9.375147508526833,200.17183297216286,D,B,-231.12740667956592,A,0
China,Muslim,18-25,20,-22.372200056759997,-101.92480410130018,C,-48.14016521276781,88.98597443998281,B,E,184.861808343851,E,0
Brazil,Jewish,18-25,46,7.511175228560825,-106.07607621446546,E,112.74384640847452,75.71285715893885,A,E,189.26573412031965,A,0
Germany,Christian,65+,62,-23.783134075336587,134.61059571079977,B,-68.75822862593233,-154.37899364892053,B,C,133.85512084797963,A,1
Brazil,Buddhist,36-50,20,189.45341334709292,-38.08005641532934,C,61.075790222007406,63.69181603731502,D,C,-147.86819508106544,E,0
Germany,Jewish,51-65,52,20.22290361030393,-52.67235133641023,C,-10.134200447988732,110.01019363461806,D,B,-22.30706081376188,E,1
Mexico,None,18-25,35,-65.74438800744474,23.58736687080447,B,97.64618255786598,-39.37819430390236,C,E,1.1858461041635036,C,1
India,Buddhist,65+,49,88.28193347078083,103.28776346222767,B,-134.08733217575545,-7.874765419078335,C,D,57.29450164988702,A,0
China,None,26-35,34,-26.81677341397229,120.03854914402869,B,63.88508729525704,-181.79832574432297,B,A,-78.79186021714317,E,0
China,Buddhist,36-50,52,-47.17197604574261,157.53695998251084,A,-25.139454803052146,-92.92819649513542,D,B,-16.203286949053187,D,1
China,None,36-50,27,-100.99170520681784,133.7195733938554,B,-33.34511212374054,-108.66486317529558,C,B,55.07346426669679,C,0
Mexico,Jewish,65+,35,-115.80556633844536,124.25782103537671,C,-77.42141020677744,19.09595574999913,E,E,-21.04522437619976,C,0
China,None,26-35,77,137.8372176009808,-141.62553472068942,D,220.34781692178464,41.719038486567975,E,A,-72.02212183881645,B,0
China,Christian,26-35,69,43.71056277844374,43.334123208633656,B,48.41066893804869,-4.820103491635316,C,C,-83.74687341065197,E,0
US,Other,18-25,34,92.71367383761284,-22.286692949399058,A,-41.24478539066708,21.715775219565074,C,A,-31.52953723037284,E,0
India,Muslim,26-35,57,120.77657405265903,-28.2359659666034,D,57.401817078931614,128.16113399602597,E,B,-79.11918842555947,D,0
Germany,Hindu,65+,69,21.253000177663782,22.517373181077925,A,16.619666516960805,63.310668934980306,E,B,60.80475853648721,A,0
Brazil,Jewish,65+,52,-23.667683528717813,-130.22811108225616,C,125.2015419965784,43.973277416385756,B,D,-6.365415797233425,B,0
Mexico,Buddhist,65+,21,150.77061459683173,-89.35342466826432,C,-32.42977503569995,94.6643828386215,E,B,35.70540652122757,E,1
UK,Other,36-50,38,89.10082117370095,-170.3817245368358,C,-55.51366510728795,-35.711364954354494,E,B,14.203355679625314,E,0
Mexico,Christian,51-65,49,-202.17878476490148,97.64685989500427,C,-95.45435546983217,-83.62177447424281,D,C,69.50721983893598,B,1
Mexico,Jewish,26-35,37,176.30193445371424,-33.60492849105892,C,33.16059487599921,149.9028012715505,D,C,-26.75779903465159,C,1
India,Muslim,65+,53,3.730730389826448,54.63867229504403,C,94.19709797170349,79.33626853373434,C,B,-13.21065247066475,B,0
India,Jewish,65+,64,-47.8280869735063,111.9159841797551,E,-191.7504456193115,181.52645910876822,E,C,-8.067898752869066,B,1
Germany,Buddhist,65+,46,-70.71448110097495,93.57026719942135,A,-14.106720914281695,-190.01695739225653,A,A,26.312216796934706,A,0
India,Muslim,65+,54,-20.828931860443735,-76.39646029800844,C,-65.93316083379466,-11.142063390638594,C,E,-23.56110327456944,A,0
Mexico,Hindu,51-65,41,-60.3277698414738,47.72559721788789,A,71.07483523411678,86.07585180576534,C,E,43.23108473799177,C,1
Mexico,Muslim,18-25,29,57.39801590935556,-13.006433537447549,B,-179.79899534890117,-126.36890453656306,B,D,-3.8588149391954096,C,0
Germany,Jewish,36-50,39,22.3846474287697,-25.43318273619713,C,-257.54799529425895,188.5296278940882,C,E,-187.1636825537853,A,1
Mexico,Christian,36-50,27,-110.29143158271451,43.68742248533285,C,25.520926056963454,-8.571725657379506,B,C,10.033729518557674,D,1
Other,None,18-25,36,72.46220984573263,-184.07683655725398,D,-165.4285070082872,-28.6512884583145,A,A,-54.80846669260867,B,0
Other,Other,36-50,78,-90.12676792300428,71.41191629077363,D,36.65046578432838,119.80171341477389,B,D,233.46510184680307,C,1
India,Other,18-25,49,119.71043380525563,-72.27027180614604,B,204.34893798751713,152.44526038459492,B,C,-48.523478761701874,C,1
UK,Christian,65+,20,66.05163140235825,12.325928608571836,B,-29.618101292584686,-202.60861644284503,C,D,113.98747515406961,C,1
India,Buddhist,51-65,79,63.532103234176674,-37.50066843111988,A,90.03433372681427,95.45023969261763,D,B,64.34528210870495,C,1
Mexico,Muslim,18-25,77,73.87920718270252,64.19458871432738,B,10.0018540650087,112.29254623601994,C,A,-18.327867760723656,E,0
China,Hindu,65+,55,-17.387457458979455,179.39725653091497,B,-137.44989770389927,-173.57632484487527,B,C,110.96947383259148,C,1
Brazil,Christian,36-50,42,-128.78700642308306,177.1589981733966,E,-3.008576288559727,86.21318335132486,D,D,43.06757520822068,A,0
Mexico,Buddhist,36-50,73,24.701003980814463,-192.83533406213436,E,-156.51437485019778,193.9721398972281,E,C,146.90158958095827,E,1
UK,Hindu,36-50,59,105.24040620424134,53.55193356530379,E,84.27834432746388,50.720792206554236,C,C,-10.576071090767465,C,1
US,Buddhist,18-25,20,-58.63561865629541,-52.417219921924854,A,48.57310292004856,77.88455922251316,B,D,217.40531974429658,C,0
Brazil,Jewish,36-50,68,47.38090478329351,40.95768995195297,B,-72.30919555995428,-5.504629913790883,B,A,-184.99853251965038,A,1
US,Christian,26-35,28,-131.33661936155158,4.787602788480153,C,7.531655571360521,26.698358376932575,D,D,24.42781785302052,E,1
US,Other,65+,24,38.64940897412016,-11.800005491297751,C,-96.93946799949343,3.300751868534041,D,C,-44.49596609797643,D,1
US,Muslim,51-65,29,-31.615883772710156,72.05259237535807,C,30.785632089759684,-113.11962003129136,B,A,22.88348611275651,E,1
Germany,Other,18-25,63,70.64749657504265,143.61699058321432,C,-11.384742426222067,69.04777060228584,C,A,189.78103923253326,D,1
UK,Other,18-25,21,-63.06808239513406,-65.59616164796161,A,-70.43174109829538,21.973697782155355,B,E,-151.2676205067062,A,0
Germany,None,51-65,40,-38.01083293601623,-37.515974670252845,D,-6.342953494016252,139.02939134461647,B,C,-77.79633484152248,E,0
Other,Christian,65+,18,19.019903893174998,37.58723906332335,D,-9.506937919644844,-81.82498926595983,E,E,-119.12962202503736,A,0
UK,Buddhist,51-65,38,98.24615477956442,-83.0854166971461,E,-78.04070542911575,40.075751761941426,D,A,-15.058204067396789,D,1
India,Muslim,36-50,55,-120.89593757661565,79.64667101490447,A,32.00452549910425,-49.36974735086114,E,B,-1.7608962868509177,C,1
US,Hindu,36-50,49,85.84623897843451,40.92528214669017,A,-160.1048181321972,-30.077881480899894,D,E,65.86495125141073,B,0
Other,Muslim,18-25,32,-163.5434690730277,-60.06856783822408,B,107.08632047847021,215.77256757151946,D,B,-112.07231821987888,E,1
China,Muslim,18-25,68,69.77300998884459,34.13259365624769,C,-126.12647938125758,83.80396168985386,B,D,-99.82047621470673,C,1
Mexico,None,26-35,41,-53.480306615295916,55.045371195210215,A,71.67484586066124,0.4464180267347047,D,E,-48.29485050536712,C,0
China,Christian,36-50,52,-1.3331804434433567,-8.778352349028719,D,26.14505821180691,5.230736869008717,B,A,-96.09524397588281,E,0
India,Jewish,18-25,35,54.92810870508944,-21.384747089043987,A,-22.11555721941499,40.86755993107592,B,C,-27.121112875454372,D,1
India,Other,18-25,75,73.78560356813672,-6.293376182247233,D,-12.813777126309258,-14.96321414439068,E,A,163.4494550327698,B,1
Other,Buddhist,18-25,78,-166.212246755073,-47.16567254775848,B,36.249555391803334,32.616643377882745,C,C,213.4013680205081,D,1
Brazil,Other,65+,26,28.008717665416448,-89.03370440904183,A,135.356512346779,-39.99487972760784,D,B,-21.7405737508803,B,1
China,Hindu,18-25,54,-6.179552336707933,-190.15889560329273,D,148.66945127510846,92.08902542958627,D,C,22.818670383184887,A,0
China,Jewish,36-50,70,-167.93184854729734,31.74240021481457,E,-10.420900360049904,-144.64329970107116,D,E,73.5217265411779,D,1
Brazil,Other,26-35,20,-114.58007242922483,90.39565506921188,D,9.488533879719764,69.76961545436502,C,C,99.3911278430659,E,1
UK,None,51-65,49,-154.7158988997364,271.7250965980163,D,81.54405630071717,-43.02299516178822,A,D,127.92609128819336,C,1
Germany,Buddhist,51-65,39,4.039383038805319,209.60977023917175,C,2.509340849971358,11.521764947131736,E,D,188.63195203670827,B,0
Mexico,Buddhist,18-25,22,-66.07718010326137,-55.356569390344625,D,-74.92870236804767,-81.50251089471067,B,C,-76.03141642089221,C,1
Brazil,Christian,26-35,74,-80.82436429260201,29.30470295678323,B,18.995213333423894,3.1976408731561135,E,E,-88.68346500785401,A,0
Germany,None,51-65,32,29.43881360060001,156.05384059982194,E,73.73487278212501,43.84821493762251,E,E,-88.60726622920818,C,1
Germany,Buddhist,65+,57,58.16244934696506,-38.59251509667011,C,-140.11682938645137,235.38949612182273,C,B,-41.74034237001234,B,1
Brazil,Hindu,36-50,19,18.1031882981811,13.283209191924403,B,36.14125391404123,192.4306461222058,A,A,78.1371696449458,D,0
Brazil,Jewish,51-65,64,-65.11420131233263,-58.01549079351299,A,-116.07683322319293,-78.11748808326729,C,E,225.25670068309736,D,0
China,None,65+,65,-80.85258702471558,-91.82364268464073,C,14.34509367892997,39.5535833350721,C,C,-128.4258678557293,E,0
China,Christian,65+,74,202.5294357438228,54.55159374043521,B,119.10725406284277,-18.16064498830661,C,D,142.4268844363278,A,0
Brazil,Other,36-50,48,3.939602112536532,123.57013304215891,C,-23.90659220325971,90.95598190735357,B,E,23.443878537225125,A,1
US,None,26-35,48,-108.63285598645918,36.88034300415548,E,18.490412920365088,-91.26767574616062,C,D,20.873938423573822,B,1
Other,None,51-65,20,-37.227410104941576,-124.34001529053288,C,-125.61474295735292,-29.278949125635318,B,E,-39.61746853667178,D,1
US,Buddhist,65+,38,113.26230267034654,-41.84803205222731,A,-183.54866533952352,-25.38516397923579,D,E,-141.25023575696335,E,0
China,Buddhist,65+,46,37.239201563084926,-17.35133954585624,A,-218.53242002587749,-77.09315225775674,A,D,111.76842999158696,C,0
Other,None,65+,23,-231.71880593733385,-78.51025695845337,E,107.83037390356792,202.75610861084323,A,B,-25.73161522819971,E,0
Brazil,None,65+,50,-46.20568772639244,-69.03768809286362,D,49.63243030720133,99.33978511792276,A,E,88.72688060615765,C,1
Germany,None,36-50,66,5.192135869975897,15.173354312864271,B,-205.77308770355728,47.25228806687964,D,E,-87.15763837551084,D,1
Mexico,Other,36-50,38,93.1401739727922,-60.14845918350646,E,-144.90251491657773,-109.04058871940006,B,C,184.64588836979277,D,0
US,Jewish,18-25,67,-175.23510004447752,-17.604564978998592,A,4.713362816648367,-85.85549575365114,A,A,154.00377015823153,B,1
US,None,36-50,60,-164.7924188103517,58.20562354852568,B,-2.274532776077862,133.15717536512201,D,D,195.52165732473534,E,0
Brazil,Jewish,26-35,58,32.76299338148232,-11.06163973214693,C,84.10338850718885,187.24917586032487,C,D,9.49559356289964,D,1
US,Hindu,65+,34,-62.35562362375051,-33.384606235965556,B,-196.04926688969147,72.98795353616768,E,A,-1.776491770463592,A,0
UK,Hindu,18-25,67,3.559186942184806,-176.79935119850379,A,158.24710825874354,24.26591990791451,B,D,108.12914409511927,A,0
China,Jewish,26-35,20,-18.361563703851964,-52.23055635079222,B,120.49587442266525,186.18644432408948,E,C,18.764887071841173,B,1
Other,Buddhist,65+,23,129.48557116439102,-94.15609350898208,D,90.80086567503969,38.17223938854851,A,C,12.832408747442292,C,0
Other,None,18-25,77,11.25309279749801,87.04370632961196,C,85.44217451646945,-65.46780236065568,B,A,-122.48785514880971,C,1
UK,Hindu,51-65,38,35.5373863420445,-156.2390690051432,B,-25.405628188676243,-83.59935376256401,B,A,126.13253204280308,B,1
Other,None,36-50,45,50.50808903722752,100.3493554947259,C,3.0999020805211277,-28.517560556500797,E,C,61.9605418243609,E,1
Germany,Jewish,26-35,50,-3.2611829530212244,49.30924670270212,C,-151.60799867747198,-10.115203638453792,D,B,144.7063728863852,C,0
UK,Muslim,26-35,27,-100.20303757628295,-40.42934912520933,C,-75.41202875792075,1.2406561944878887,E,D,-55.535823082219615,C,1
India,Jewish,51-65,79,-168.89045031420525,5.965736548245543,D,82.71643254196451,-51.853262170036594,D,E,-59.62539917736767,B,1
UK,Buddhist,65+,50,-11.938614291244603,-117.06325085062133,E,144.7308477869625,-109.79602201008771,B,D,-80.97183895583764,D,0
Other,None,65+,71,-148.4377283211739,92.84216884941358,B,-22.254523156125973,-22.855459681086128,D,D,-168.74944616413623,C,1
Brazil,None,26-35,41,122.08075055649796,-38.636392086151155,E,103.43993478175433,-140.82770437558,D,E,-88.8974941849103,A,1
UK,Buddhist,26-35,26,176.27676313170778,85.28314331980754,D,4.16132591062931,-19.821716064764058,C,B,-26.448852491064358,D,1
Mexico,Buddhist,65+,74,-31.368193833303735,38.16819170847338,A,-132.70497464241802,86.93629884248763,E,A,-48.14290363823461,E,0
UK,Christian,36-50,59,95.62577430012736,37.30258615812255,C,-4.908748648752449,-57.292259118244516,A,B,-162.27254587205573,D,1
UK,Muslim,51-65,54,105.62373100407886,74.87546826040476,E,23.04411376160047,256.50102756946325,E,A,-30.81683434860919,B,0
India,Hindu,65+,38,33.80034806055701,120.51829028311103,A,47.32262613509556,-103.38684197215011,E,E,-86.8236833738621,B,1
Brazil,Jewish,26-35,62,-24.675951283524043,-90.29514245104997,D,-24.29020966873303,-130.02902120704448,C,B,41.410145909607756,C,1
China,Hindu,36-50,50,59.04028898554123,-93.71238681813597,D,-14.71807682199025,-222.30996847719064,A,C,-159.45875061038305,C,1
Mexico,Christian,51-65,26,93.05790062937615,13.460549435526717,E,-59.041923181881764,-13.38459579043655,A,C,-129.78548052281207,A,1
