ethnic_group,birth_year,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,target
Black,56,E,C,B,D,E,A,4.850095314543048,A,-30.934868190695898,A,D,B,52.60902111469864,D,-3.072474200554686,-127.91916348371967,79.82717361899945,47.147432898710676,0
Hispanic,44,B,D,A,A,A,B,-329.55969295720854,D,-38.04296086495895,C,E,C,16.390923101207925,E,-23.387841817772166,-57.6786423609598,-60.62812062367513,-70.81421611359556,0
Other,62,C,B,D,B,B,B,-153.41658607122267,E,232.77484634113358,A,B,A,117.00344351904903,C,137.74281428948538,-32.98348566836403,-65.07789376690309,-93.915384236122,0
Other,33,B,C,D,A,C,C,117.42215925860495,A,-25.323379234394206,A,D,B,49.82015834882848,C,-105.56661701575068,-103.59002067375913,79.45954097098738,-82.40032844710394,1
African American,61,A,D,D,A,A,C,-243.37023202769092,E,19.15391696690425,A,E,C,129.72720276573818,A,-51.20316039103383,-77.88803634886843,76.93920065459541,-64.15810526963863,1
Other,52,C,E,C,C,E,E,-111.74823202984858,D,201.12467364021543,E,B,A,-52.63354786007631,D,139.3216340933317,-47.338809182220324,-5.1225523717714365,-62.85955778810918,1
African American,40,C,D,B,A,C,E,-121.31218560158585,D,-121.16396802265382,A,A,E,55.92372717948575,B,-197.17427881526055,21.506452933119935,-20.47081981493449,57.70850540603133,0
White,70,A,C,B,E,E,D,-8.412209809486464,C,119.79954532027641,E,C,B,89.86556574911988,D,62.75337452602807,-90.3960151688038,10.991622605038572,146.8563943684041,1
White,78,A,C,A,C,A,C,-42.927817058227404,A,21.613960979346807,E,C,E,2.4337429326895323,A,88.83528323856679,-126.07606326821603,-39.38591229921397,-17.00826324125824,1
Black,25,D,B,C,B,C,E,77.85579213908149,C,-58.67894640576058,D,D,D,124.09572346979803,C,24.398589219811097,43.197448304770816,7.717474031181458,-101.25779135632756,1
Other,46,B,B,B,C,D,A,7.8187506850864175,A,90.28906368281862,A,A,E,122.02532584784788,A,106.45526281819014,71.2432251401928,124.0148334247009,80.43903510275399,0
Other,78,B,C,D,C,C,B,49.15652361662734,B,-172.28684240489466,D,E,E,-59.79642785119268,C,-180.27035637041803,-115.64038002015235,-81.11567296165492,145.07982474638686,0
Hispanic,69,C,D,C,D,E,C,-89.4631387302268,D,51.164666694489235,D,E,C,-20.63824312526066,E,57.81906349810899,54.78453888135947,41.0540241080983,-0.697942692456233,0
African American,21,A,C,E,B,E,A,68.0418660753752,C,73.54612010659802,A,A,E,51.32690032317703,B,174.03104495275565,108.44157261405638,49.411341834131655,64.45034745590186,1
Hispanic,42,A,A,E,C,B,E,-86.57918339408323,A,-94.04676419787435,A,C,B,166.94354046400244,A,-19.605284442657986,-53.16452437494643,-54.30448407345091,-105.21248875087015,1
Black,55,C,E,B,C,C,A,-49.81939549471578,E,-194.83832185730694,D,A,E,-97.07574934870826,E,-98.27388116417475,-30.79923414571188,-223.27054763483883,208.50990055361814,0
African American,59,E,E,E,B,A,C,30.32422182711264,D,-20.83381842725524,C,D,A,167.0038229385296,C,95.64233355035098,-270.9974871582992,62.82253157531189,136.00539533553018,1
Black,71,D,D,E,A,D,A,-98.21471281237369,B,-94.0978046423739,D,E,E,-12.281424657304472,B,105.91899497765422,142.84601651020373,-147.107839729349,-40.682080329276296,0
Black,66,C,A,D,E,E,D,121.63113778887991,E,108.97306003477038,B,C,E,-25.178143615063764,C,70.44036514855742,49.01867095064922,-73.24220150902013,224.7827831068264,1
Asian,61,C,A,E,B,B,D,27.173170233235826,B,204.85422981763196,A,C,C,92.22870899628889,D,-64.02665926360062,220.11555372134586,-80.5529278243951,-245.84125110782847,0
African American,68,E,A,C,D,A,E,9.827110842555552,A,-91.75453320456494,D,E,E,-38.79712164431383,E,-189.23851058383235,-201.76950135347033,-5.782960867113662,-186.23899582404576,0
Other,51,C,E,C,C,C,E,-55.07918254545038,A,-8.021365784261448,B,C,A,-15.268960230478982,A,100.31538389453598,59.10931480015341,409.8319360907997,211.27652620375775,1
White,28,B,C,E,D,B,A,-61.27827179598484,B,-20.399297358392403,D,A,D,131.4920321213172,D,-66.96999965814796,0.6450108651708039,-20.60785612891968,61.28626629733424,1
African American,55,A,B,A,E,B,A,48.846714635768514,C,-47.772384710447604,D,E,B,224.98857557175694,D,-14.7241188457695,-130.39041115517583,62.96242853814857,59.44673834919797,1
Asian,36,D,E,E,D,A,B,6.585318217075729,B,-36.8761155165268,B,C,B,18.899229117121212,D,-57.59467760259582,-46.85520616812096,102.18977735053568,-138.19315282830675,0
White,57,A,E,E,B,D,A,-9.529883145518461,E,75.21993558592477,C,A,A,149.7900664493257,D,19.09871663276636,88.2868126126233,259.2028536704802,-14.691238431033627,1
African American,32,C,D,D,B,A,D,-80.55705285546664,B,88.33413784860633,A,C,D,-79.23847337748357,C,50.27993115213894,41.007838657909005,142.08006352089143,7.60139181957867,1
Hispanic,53,C,D,B,B,C,A,11.293193498886241,C,-102.35005115542728,B,C,B,68.95981633418856,A,103.40272015731612,-104.65437232322078,-81.2583843793907,-77.15786950057529,0
Hispanic,26,E,C,A,B,D,E,145.37887674555847,E,-26.785036280194145,E,B,E,24.971622880903887,D,78.7456077024725,-31.39456985760061,64.91425450889831,33.423611537675036,1
Other,61,A,B,E,D,E,E,31.93807629046359,D,100.99708535173484,C,A,B,-87.56910506838611,C,86.94519569847205,210.8134294246911,2.503753361793035,145.64927794069433,1
Black,53,B,E,B,B,A,B,-52.50504462606832,B,-40.60945714861405,B,B,B,-75.59374567638119,B,21.943845219558025,-7.403846040808899,-42.29347530351878,69.35931360034678,1
African American,32,A,D,D,A,A,B,-101.31804025610676,B,35.006333314987096,B,A,D,106.0080653111384,B,-48.852913221034235,-26.047611503082397,4.206035015751172,81.84779255157797,1
Black,58,D,A,E,E,C,B,170.81266723793777,A,47.30086452664871,C,C,A,-121.91971891802784,B,104.53744946398542,4.197020957912681,126.53593119335899,-8.791501616774019,1
Other,58,B,B,D,C,A,A,-16.812326276102663,B,-134.0506353319094,D,E,D,146.24547375335496,B,-14.749501156393121,-83.49682870606696,-102.42385018093998,18.886353152037287,1
Other,29,C,D,E,B,A,B,-5.945527435575093,E,-104.56432012425891,D,C,E,-7.0730004650204705,A,160.3550675203617,24.46665459599874,159.02500161781396,-178.46662066772026,0
Other,18,C,E,C,D,D,D,-196.0225494831574,A,-4.823574818495845,C,C,B,-106.96710007272038,A,52.30146898998066,-117.77151401884171,-177.34917403395005,-36.175410359543264,1
Other,47,E,D,B,B,C,B,-121.48552065816425,A,-55.0812988347399,D,C,E,-174.7437255433029,C,-81.42383412031408,111.10345825327201,46.24388420510426,-7.199354552728959,0
Asian,31,B,E,B,C,E,E,66.62541997774221,D,-32.76310347336766,B,C,D,-4.747040370731038,E,97.04033882796429,-84.59537071762219,-92.92977103039377,188.59313976809105,0
Other,42,C,B,A,B,E,D,-110.71990453367735,C,182.62771468960918,C,C,A,-20.853329640053985,A,21.73029664421758,-200.9677701699629,-182.86425459886684,-143.25023750592695,0
Other,75,A,D,A,D,C,E,192.45240869205676,B,-81.35071040755915,B,D,B,-133.28433257445374,C,-74.72130965343315,127.09382174627505,-13.529686933041923,76.51726637593683,0
Other,40,E,E,B,A,A,E,49.33021667364357,D,128.97751382243956,C,A,E,69.89037504926063,C,-77.57294255055578,18.680490667816272,-173.6141556853563,60.235632302806195,1
Black,40,D,B,C,D,B,E,26.016595661136087,C,78.70537001247233,A,B,D,234.48703415117197,E,-138.18417979191554,80.81439399111203,-106.7170465872797,-137.87410742281403,1
African American,24,A,A,B,B,B,D,-34.43844084779943,A,-68.65896936713611,E,B,A,7.421981754468547,E,-173.69509895128388,13.219081094997634,156.49709555841693,190.18941505079044,0
African American,38,B,B,B,B,D,E,10.252404705499542,A,-29.773935282619224,C,E,D,-6.171274215550162,C,-63.76763113926203,159.87421950064245,41.42389794694974,-125.65603255203979,0
Other,25,E,D,C,A,E,E,-75.31568690441362,C,146.0820925200157,C,C,D,-26.33934554476008,E,-72.92812818379709,-63.6246193905385,20.33259352431255,-106.67758398104301,0
Asian,64,C,B,A,E,C,E,6.854935617688854,E,106.12506844255181,D,A,E,-30.39591740340021,B,-102.5087926777269,-85.58329109032702,-10.493021758626824,-118.93409431945136,0
White,43,D,B,A,D,A,B,-64.39357111095751,B,-28.814282014112276,E,B,C,46.79874703774128,E,-70.44920616948951,-105.73376908603595,-157.21281120348067,-76.3726738454518,1
Asian,49,C,D,A,A,E,E,-120.41381628721956,D,-64.95942319259368,C,C,D,-6.254095434946525,C,26.159072185625426,-74.83143537117918,2.8981573714181232,-27.126832492763793,1
African American,59,C,D,D,E,B,E,210.1228629580235,D,25.893764565656074,A,B,B,-66.95511283276348,C,48.865875272797766,-37.527986328693736,-53.50476840361631,2.2263527611429086,1
Other,48,B,C,E,C,A,C,201.09499040211767,E,153.00458496880407,B,E,E,321.0775028331724,C,170.0331769384887,-56.787550479928015,-69.29529048674411,-142.73815767172445,0
Hispanic,70,E,B,A,B,A,D,112.92163284097028,A,-79.89217266159427,E,A,B,-158.36752582067902,E,-81.06425649629287,153.68066493291616,-253.84954361154462,-7.87999307316468,0
Asian,65,B,D,B,A,C,E,14.423918119364634,D,105.17786157422107,D,A,E,226.0295675826859,A,-66.6734095912129,22.251108541249874,55.129865809564684,93.65591426474089,0
African American,62,A,B,D,D,E,A,21.789052933471705,A,34.962206562470335,D,E,B,-77.34626120313108,C,-11.029713339995238,216.2901348131901,37.703288161085204,-107.89534583082285,0
Black,30,E,C,C,E,C,E,-61.1875981649013,C,32.92227714865067,A,A,C,-142.28051383045675,B,125.41201689913845,45.352133045359714,78.01258590695384,180.59312032572424,0
Other,45,E,E,A,E,E,B,-35.34878316755755,E,74.0052090379796,A,E,A,-79.45232734112929,D,124.45690848404298,-132.84582614096564,71.42713750540017,-94.8043266571989,1
Other,28,C,E,C,C,E,A,58.10071659310767,C,-89.76133277510992,E,A,A,-15.571670294483328,B,39.061403729384594,0.2733331604365072,-2.907230883708133,-175.13394927858025,1
Asian,27,E,A,C,D,E,D,78.31959202283505,E,-2.1055544260288017,C,A,B,-159.44634397393475,C,85.32876833273787,27.53239438361473,-73.23897788534471,26.533796521555114,1
White,18,E,D,E,E,E,A,-20.61741528556161,D,15.209097671777672,C,C,C,-119.8699318380554,C,-31.439033114622887,-65.5946921691367,-73.20570365559877,75.84047165474274,0
White,62,D,D,B,E,D,B,13.378245252766938,E,-143.89735584649173,B,E,C,44.73284381435014,C,-84.86322285132121,-38.29664299060885,-71.29054454657184,-74.50907986422003,0
Hispanic,54,A,E,B,A,B,B,-52.05759648467232,C,37.578785258628045,B,A,D,138.9120975529347,C,-10.091983195661589,47.26150090498542,-107.62304232457423,-50.75898731374602,1
Other,26,E,E,D,B,E,A,-168.3406213420368,E,31.521955724382888,B,A,E,7.820677721557459,C,27.695620729943627,-56.90361244571554,25.409073742631005,-48.29385349237263,1
African American,78,B,B,C,C,D,E,21.72379342001415,C,-58.91724187784444,A,C,A,107.96045657691793,C,-80.34126980744742,-146.39410478990362,114.86417689991981,37.079591363772266,1
Hispanic,66,B,D,E,E,D,D,213.14254108103552,D,143.00251021122375,E,E,B,61.993012447432974,E,71.81640285443265,-66.21436068962366,-72.2089056031014,165.49698561605885,0
White,26,B,C,E,E,E,B,-56.65122440562202,B,-131.123815557784,E,E,B,-175.71581148194807,E,-74.72028491570707,18.125496864344445,216.2160110256421,-36.0107913888987,0
African American,57,D,B,A,D,D,C,-82.38707905652406,B,124.80348729025152,C,E,E,80.49188124884068,B,87.33906963532024,127.70713305183841,-48.78947147722891,36.42435451108197,0
Hispanic,33,E,C,C,D,A,B,73.49714341651263,A,114.59439492207201,A,D,E,67.60680333742687,A,152.91472853360347,-80.56466240865267,-64.60425699562579,31.302527339585527,0
Other,26,D,D,B,A,E,E,183.9039400259495,D,0.2496144534780454,D,B,B,42.05950054662129,A,-59.62713488553174,-98.91407625859443,-93.57515684541643,-81.6973895557661,0
Hispanic,76,E,B,E,C,C,A,59.947110029341744,E,-28.254425428917823,D,A,C,149.05014906676814,A,18.31677506904451,63.99030060386163,198.2147535419903,-49.42535425352616,0
Hispanic,73,B,C,C,D,C,C,8.690847871512695,A,-2.1103964251734384,D,B,D,-129.81243412337065,E,120.488873205329,57.28107225714888,-4.040690223669063,-130.48224188739127,1
Black,58,E,C,A,D,A,B,-36.67525602027286,D,130.84925711053336,B,D,C,44.956535303594016,E,122.72264935704335,-0.05031055969954676,-222.15849049030808,163.99436882812387,1
Other,56,D,D,D,C,B,C,43.14141435850714,C,-147.5002312755818,B,C,E,17.196591848604818,B,-71.41953059419886,138.28238980524645,17.239213477215355,-126.79138463766783,1
White,72,B,B,C,E,B,A,-31.188211398830784,B,-67.49774001971177,D,B,B,9.003004509775279,E,-125.37704086445338,-156.69936856278306,2.12301588287914,55.325018704878026,1
African American,75,B,C,A,C,C,A,125.74326586209041,B,-153.9149038786239,C,C,C,118.40869632214866,A,0.3731507947721699,-137.13728430923933,32.5630272379625,-14.546197261881636,1
African American,66,D,E,E,A,A,D,-19.940122382785216,E,-5.061138804106203,B,C,C,-92.32737427474532,D,84.64326141303111,-35.66189799342238,-0.9371972969380473,14.865419698627088,0
Other,47,A,D,A,B,D,C,-55.29097850088267,D,194.80815771383396,C,E,B,37.06399273793229,A,-77.54880926247927,19.02429798178559,196.62299735406245,124.82355246169723,1
African American,29,E,B,D,E,D,A,10.784866599753007,D,25.526159984234486,D,C,A,91.60237785232843,A,-13.028320059077462,27.74946379596519,-11.104817220623591,43.018227668128425,0
Other,78,E,E,E,B,A,D,-94.59643150412009,A,88.7942974224155,D,E,D,-0.3714244514722424,B,21.249620709108193,114.22269452089489,36.68926121529932,-101.04830718130444,0
African American,46,E,D,B,B,E,B,24.40317966859084,D,88.47870376315907,C,B,C,-242.71395547726624,D,-36.26247195957893,194.9257920492087,63.16112975702606,-70.28623076238964,1
African American,19,D,C,A,C,E,C,-42.147740768632566,C,65.17542990401206,E,B,C,87.9505240368019,C,170.48223477307195,-28.96946594349725,185.32428851845663,178.7591973992876,1
White,52,D,B,B,C,C,B,248.2122776939761,E,-50.84872816865986,E,B,A,-223.08875794519682,D,-69.31473040678034,-3.0304214024697735,118.55564743661367,-0.9421194882354169,0
Black,50,C,E,C,B,B,D,-158.14564240938842,A,182.48719778830747,D,B,E,67.47829445327791,C,100.94075664742344,148.6392193650858,-95.99498074484065,-90.96244132486979,1
Other,40,C,D,B,A,C,D,55.685725731901684,D,40.22930789006463,C,D,B,57.515432704228196,E,6.898760771321484,-221.4635531848026,-42.74012696609801,-103.22664879116039,0
Hispanic,51,C,D,B,C,E,B,33.11513420989996,E,-12.002901160076156,E,C,D,-37.22148293380753,A,138.44551476130732,56.20184570685659,80.34469250957858,65.30892165548072,0
Hispanic,76,A,C,B,B,C,A,-16.898821067443517,C,-193.30007477319447,B,C,A,0.6835261679210383,A,85.20285749956648,-129.38049347947796,27.35472407900843,20.748312908552503,0
African American,40,D,A,A,D,E,A,182.71427220056796,E,-195.54482991851722,B,E,C,144.10502041816662,D,-179.85778548278475,124.04368824033283,-35.35269392205864,-51.49742443606312,1
Hispanic,68,A,A,B,C,A,E,30.53106922535375,B,-53.894392839050695,D,D,A,185.86018431944498,A,-171.85228128717554,-7.887175289116505,-83.00477144475236,60.00908406772001,1
Hispanic,70,D,D,D,B,A,E,21.22711128327815,B,-105.03190566062305,C,B,B,-4.351779261090892,A,-147.7753309913506,73.83410301327423,98.40060097896017,-23.443442397643533,1
Black,70,D,B,D,C,D,B,-18.699180404955687,E,-15.011814728335404,E,C,B,186.76648387399956,B,-105.27931601293294,-24.335272114185635,-49.30529782530362,-16.560006391197675,0
Other,50,B,A,D,B,C,A,-92.70055056804961,D,-50.54899993223422,D,D,A,-81.6868247370895,B,-5.428491351243961,143.63279564806842,33.31393146691475,30.038310788925827,1
Black,36,B,C,D,C,B,C,12.49770864455513,C,43.65547035890962,D,D,C,132.65480435379266,E,-94.77663886894811,1.8832394605295626,108.17358808811018,64.31130172721173,1
Other,48,E,C,B,B,C,C,-168.76449758625566,C,46.96336134593109,D,E,A,98.21244876131715,D,-66.13869214279227,15.436934383344578,53.65563707204649,34.29993284346209,0
Hispanic,59,B,E,D,E,E,E,101.9430287531881,A,116.49824693340956,E,D,D,-57.65031447000233,C,118.34778881818883,22.780163609005,206.16546340936117,165.04759106273085,0
Other,18,E,A,E,C,B,B,-104.13200793605164,E,30.49095443476017,C,E,D,-19.792783480448445,B,18.09187383043401,-183.28695163717748,-34.71749199262854,-209.9981304488493,1
African American,26,C,E,D,D,B,E,118.17498088709762,C,-55.508523473240324,B,C,B,198.8687638099588,B,50.77810618470152,-138.73377821037147,-95.89003166962115,-71.35612574444274,0
White,75,E,C,B,A,E,B,-137.94245646969625,E,-51.56629849962593,D,A,A,80.62955774982552,E,-100.9352370885812,132.65202042096536,-90.29953404571097,82.82961609451789,0
Other,66,E,C,D,A,B,A,-97.62177443393327,B,78.41453925396586,C,A,D,-84.48039117907739,B,-88.05441569102013,51.00815477558335,-34.54138372506654,-112.07329602416705,0
Hispanic,24,C,C,A,C,D,A,97.19819459597936,C,142.68879697656743,B,C,C,-142.9422088163632,C,40.82862115491569,-140.64587780496512,107.1933600402185,45.70304212993234,0
Other,19,A,C,D,E,C,C,4.044128449689592,A,275.33592291945774,B,D,E,-132.3905656113069,D,67.4007121552041,-101.7366706713934,-6.106914716608406,-48.20213452648544,1
Other,42,C,C,B,D,B,D,-100.30208124979971,B,-117.22907053869005,B,C,C,23.697248149498286,D,64.9431453426247,99.90667322092276,44.841615479433806,109.97129287477037,0
Asian,35,A,A,A,A,B,A,86.98412049181803,D,197.94197094744283,B,D,A,83.41849068888928,E,88.22123536678896,108.98985581435379,-15.976680893009942,60.866991766379286,0
Other,36,A,B,B,E,E,A,-57.48303914313227,A,-85.66647218407873,E,C,D,77.30793006136483,A,19.53514073535002,27.13075937542896,-330.2462113487209,9.380687028353533,1
Asian,44,D,E,B,D,C,A,-25.5580133492876,E,22.648945372130633,C,C,E,38.73374167215529,C,-135.70328825651657,-88.3301539761576,52.710504812171365,124.45025447048725,0
African American,36,B,C,A,E,E,B,112.33789245872782,A,-219.2318986034683,B,D,E,54.36049222222912,E,29.111318391663687,-24.917122262388645,-76.7708090144327,152.21311599925536,0
Black,41,C,D,D,A,C,C,1.8166928392584987,D,32.34923270736545,D,A,C,124.56658898364836,C,-44.365699626986725,72.8038740537682,-40.8317699284287,109.92072353934897,1
African American,38,A,D,B,C,B,E,-135.55105610312089,E,-3.3936098088267066,E,D,A,-25.99454649075046,C,-8.952399834701154,-165.94733107326962,111.66721888280455,25.786222462646098,0
White,31,C,E,D,B,B,A,-99.79413300578169,B,-32.389917260515574,C,D,B,52.991724650180636,D,131.21966959108374,202.5583442060111,-68.22420699560368,-3.933544200556592,1
Asian,41,E,D,E,C,C,D,5.462983445495725,C,-91.2027702505677,A,B,D,105.25418263514312,A,222.24530612987868,70.40036362819244,-170.2406862316511,-74.33517794103777,0
Asian,58,B,B,E,A,B,A,-16.31221553469574,D,42.25969424619465,E,D,E,100.7870443883935,B,175.22480646738003,74.3631460598558,131.86705481583198,26.69477196759064,1
Other,49,E,A,E,B,E,A,180.5919995883451,E,76.66596474173943,B,C,E,77.72777103285112,E,62.330873476755755,-51.63651733392175,-2.749272381159371,99.11075900356444,0
Asian,31,D,B,D,A,E,B,32.638575343012405,D,-127.0136239993752,C,B,D,10.812509191625253,A,22.156350525940187,195.77684765770272,230.67130161208794,-197.64523096470376,0
Other,23,E,E,E,C,E,A,77.3766932923173,A,88.65682289990716,D,C,E,23.420278076619013,D,120.6159700550912,-78.93285360253806,-115.61485789680673,-94.63286316860714,0
Other,22,B,C,E,E,B,A,142.31398995767165,B,-66.7559060889656,E,C,E,11.744606967489606,B,36.776708377140174,146.15821721287267,138.93700347571178,11.776179627480152,1
African American,31,E,A,B,C,C,B,121.46203922964645,E,136.42423317737197,D,D,C,-4.516572957758832,C,-48.4013032999239,-227.70860150384107,-21.797134826157205,55.42299616461458,1
Hispanic,51,A,D,D,C,B,E,-91.30035720167635,C,-16.35886625335438,B,A,A,-213.10309705573002,B,-44.757842107940654,-24.113130655690235,-0.02828189191760486,105.34466532932699,1
African American,61,E,D,E,E,A,A,-59.91215595960545,D,-84.65999986115416,E,A,E,-37.698669884089135,B,-73.16463396578568,-220.83424680120126,-76.14238742260662,158.05297759773362,0
Black,54,C,D,D,D,B,A,-103.40166569886439,C,53.428007880576914,E,C,A,-89.06058766312822,B,35.9017770967537,68.3944107899116,17.911045630640313,93.8950957829703,0
African American,38,C,D,C,E,A,B,-33.30845868372593,A,-36.015381846472614,A,E,D,94.47268208689576,A,140.35514251698592,-43.19316727403031,-53.278352368983114,-112.59182098854119,0
White,43,C,A,A,A,C,A,-51.387463987494975,A,153.58879918838932,A,B,E,24.587596680248915,E,-64.65418660469012,-48.63614413626731,101.73721409106892,159.992419763295,0
White,24,A,A,B,C,B,C,-111.02502717851537,E,-71.8761056272598,E,E,D,-39.49651057590648,A,-183.13291957729038,-19.633145002364643,-0.9713941200942273,44.009678869568084,0
Black,62,B,C,B,B,E,C,-109.80852190875498,A,-200.77176387102838,D,A,B,-27.829023962388337,E,-197.2064790433031,-35.92904346954066,151.52518676067993,-89.54995392226174,1
African American,34,B,C,A,A,B,D,191.19861472692682,B,69.57965234859168,D,D,B,-11.612925158609103,B,26.88947181520585,-76.09357433135419,114.944521657003,114.67147697982053,0
White,44,B,B,A,D,A,B,128.07057593455028,A,28.052085858347446,D,D,E,58.04762071145307,D,-64.57685684353501,110.14712661099526,-255.08519814445094,-72.69136437979346,1
Asian,37,D,A,A,B,D,C,-77.94829305365263,B,127.8675828416507,A,B,A,-14.266369400218714,E,-60.51807051685558,110.26842152467478,-12.398162414483975,-9.281223034513228,0
African American,70,A,E,A,A,E,B,-26.844660608209246,A,-136.60428376093125,B,D,E,32.94912355670449,D,-89.77692041551288,53.099914802379814,57.68989955619105,258.17532584177656,0
Hispanic,63,C,C,A,B,A,B,-46.044602798544645,E,-107.29831329928786,A,C,B,35.4260339042324,A,-37.08638328260778,109.97548762097658,-8.368440881513294,21.822774759826,1
Other,59,D,A,D,C,B,A,-111.01336448812953,D,-121.2953728315313,C,B,A,-20.370331991099942,B,58.01106496615937,-132.01009032366565,-10.13713631396438,-12.57983231778429,0
Hispanic,44,C,D,C,A,D,C,12.770221608394158,E,-46.76047298106331,C,B,E,236.85409570528725,B,-65.66026719784624,156.8770996796544,-37.554205050689895,120.2378158677658,0
African American,71,B,E,C,E,C,A,-133.7658241415989,E,120.24215653709447,E,D,E,84.12668714509911,C,-36.19009030700312,-72.01288310790113,-69.52268129687508,6.502384114465726,1
Other,26,E,B,D,C,A,B,2.778595149000185,B,0.9900675637091257,E,D,C,-1.234082207512984,B,-168.61093919947865,-38.429954624087244,106.57854192354259,13.81325012798435,1
Asian,71,B,C,A,B,A,C,-66.00663933549912,D,22.74991554842485,B,A,B,49.862381343974455,C,-38.99685368164408,-201.08798310097745,75.36660300594711,-127.18307105431438,1
White,76,D,B,C,E,A,D,81.1309455758084,C,17.77434688576473,C,E,D,39.55765543326895,C,15.453907812977832,-30.147209730456332,135.5033839740528,-123.30310581087053,0
African American,64,B,C,B,E,D,A,159.37171551973125,B,21.57935816709025,E,D,B,-19.950689408627177,C,119.27262757115176,-56.12385020085968,41.155523146191676,-234.02062825424395,0
Other,73,E,C,C,C,B,D,-88.59458496137054,B,-38.391199436505254,D,C,B,-122.4109325402538,A,-49.58509074265087,186.81292079806286,-56.35783668212929,83.19948793700758,0
White,72,A,D,C,A,B,C,-206.76807644244118,D,-48.92090918339859,A,E,A,31.475565519983274,B,77.63243236106652,77.230474611128,186.83599992802,36.38825845157636,0
African American,43,B,C,A,A,C,B,-68.1599817458882,B,-105.35995351866625,C,A,E,-71.16740328026654,B,-103.6365274323089,80.1734392833862,-29.02418933020175,62.48308718270628,0
Hispanic,21,D,A,B,C,B,E,-22.815439479612838,A,-46.484480990066466,B,B,A,139.1630043614311,E,42.94524511682373,34.53414501769197,141.77645288079606,-152.6691608499986,1
Other,60,E,C,D,E,D,C,54.67116144345585,C,-117.41452736272917,B,C,A,-38.67477935210918,D,-22.36526195421939,-55.347680094069396,-86.99574829015948,62.6277523226238,0
White,65,B,D,B,D,D,C,72.75613905661984,E,88.69649161269753,B,C,B,-244.82608015358588,C,-69.76334003562465,-68.93272259420647,-68.43969675644,-28.704064716971363,0
Asian,48,D,B,C,C,C,E,16.85071586954123,E,-42.94036830546616,E,C,B,-11.639471550465357,C,-0.33186714096010594,-20.87462727820626,40.686457463192816,-46.50308269357908,0
Asian,56,E,A,A,B,C,D,54.48311159385971,D,65.55328756401538,E,B,B,-185.31703615576595,D,79.47185381814177,17.726223397130475,-39.72895770961095,-145.08775302036224,1
Asian,21,A,A,C,A,B,D,22.046591304891543,D,-100.02558598031806,D,D,B,-53.675219123315124,E,0.6566896798753208,158.01092681515053,17.868734713482752,63.18826646827643,1
Hispanic,36,E,B,B,B,D,E,40.95721721243541,A,135.02819777015696,B,D,D,-83.10199773444128,E,-56.01776458266213,7.757591308043564,-176.5938138762383,66.89696518071034,1
Other,43,A,E,C,C,D,D,-78.81487679178875,C,156.7856539827913,E,B,C,-22.305684076819972,C,110.46803220283505,-170.5664105210171,-135.36630423105643,64.23042922559941,1
Hispanic,28,D,B,C,A,C,B,81.94123824644156,C,-113.61929264957598,C,D,C,107.5055326402244,D,27.214342363376854,-128.90528400298925,-2.51567768929127,179.37329105977722,1
Asian,75,C,B,C,C,A,B,-56.33445626453991,C,153.2798182310352,D,A,C,-17.303831067544575,D,42.757628073499646,54.188937373265766,69.64225367787687,6.031664816427166,0
African American,51,E,C,B,A,E,A,-47.2447288536345,E,-50.427583233709164,B,E,C,55.34428532735202,B,-67.0111343966445,72.44948753616704,70.18698804911537,9.240702784944201,0
Hispanic,70,E,C,A,D,B,A,-23.54593305163621,A,135.20522818319847,B,C,C,-10.015650142729841,E,-135.33906368932307,-10.161372035548796,-116.6858148138494,-28.14026380537284,0
Other,57,D,D,A,D,C,C,-126.78477200427514,E,117.55734839711765,C,C,A,-6.421830299171099,A,-26.785777145936617,72.1311776316654,-147.93612056008132,89.33953768349852,1
White,40,D,D,E,B,C,C,-53.33375327874745,D,17.423985481383948,D,C,E,-9.36047123224958,E,104.17697083347244,-143.22686168245735,-54.85900243618025,139.48310336285476,1
White,42,A,A,C,D,B,E,-91.23730651411583,D,-22.088856282336476,A,D,D,75.16490486917868,C,32.783626682325526,-67.97494223959262,-1.1543300484350725,-82.90557361761603,0
Hispanic,64,D,B,D,A,B,E,-74.11246962378671,D,-34.86943359774772,C,C,A,-213.39322878665618,A,100.15302229306467,123.39981211296542,-45.30683297217766,92.37486601152779,1
Hispanic,19,B,E,A,B,A,A,-256.8317109788535,A,52.70472387830532,E,D,A,123.5009729366169,C,-118.3730890630482,-52.659864632798545,156.4978067732113,188.53682166216964,1
Asian,73,C,E,E,D,C,C,81.19176360003686,C,-40.62978832090394,A,B,D,-14.774920484385511,B,169.62057236773674,19.115389382139565,73.13096943769193,-111.85623264068445,1
White,43,E,E,A,A,E,E,-151.6489415498694,E,-89.84248964832084,C,E,D,-137.92405037141734,C,151.7361077526572,-10.416673666646972,13.452771099232713,-7.270238134553867,1
Black,25,B,B,E,D,C,B,-22.900220401734206,C,31.152235896422976,A,D,A,23.429180467796854,C,54.13204435841747,-74.9647098155535,-40.8251065328776,25.343969963096825,1
