sex,Religion,married,nation,feature_0,feature_1,feature_2,feature_3,feature_4,target
Other,None,Married,Brazil,13.109664436458038,B,-105.10294141142256,126.45884726040984,E,1
M,Other,Single,US,-11.750035642959288,A,47.586615867052174,20.424486622075612,A,0
Other,Muslim,Divorced,US,77.81579144583134,B,-223.11997093604822,-18.079324768516088,A,1
Other,Christian,Single,India,72.33539728147016,B,-42.63714098735035,-92.33148362830428,B,1
M,Other,Married,Other,-45.45337077491305,E,85.62364685068158,27.91006274438681,C,1
Male,None,Single,Mexico,113.19453103904709,A,74.52202681219691,-103.47342483029809,B,0
Female,Hindu,Divorced,US,75.86976001692935,D,119.29395543872931,-11.110660242565723,C,0
Other,Muslim,Married,Brazil,121.94390934594561,B,-5.545906080293836,86.23122760213487,A,0
Other,Buddhist,Married,UK,47.656320138850425,E,-19.76647437430162,-17.2165411731556,A,1
Non-binary,None,Divorced,Brazil,-1.6383065407648805,C,-307.0303638755477,74.29779611724082,D,1
Male,Jewish,Married,India,-47.21224004133035,C,11.79039229558437,-158.1776860319219,D,1
F,Jewish,Divorced,UK,-99.12699658911416,C,-24.26422991319158,95.89374658610748,D,1
Male,None,Widowed,Other,-159.85423666644158,E,-139.83122210940982,-70.20712097112354,B,0
Female,Buddhist,Divorced,Germany,125.87977608481951,A,45.575392919418825,-93.80401217163423,D,1
Non-binary,Buddhist,Widowed,US,-32.14754523939585,A,-35.34614419265403,21.571817209306474,A,0
Male,Christian,Divorced,China,93.81257502305567,C,170.2099198618194,-27.481446399773628,C,0
Non-binary,Christian,Divorced,Mexico,75.7852363079421,A,156.21463409231637,162.87333036853505,B,1
Female,Other,Widowed,Germany,145.98641991571714,B,142.41074608493076,-63.52397767447337,E,1
Female,Other,Widowed,Germany,-86.34149155689379,C,-8.463729653903219,-42.21700952918404,B,1
Other,Buddhist,Divorced,Mexico,-173.3533509667512,D,-49.85627992461836,-63.36313387535463,D,0
Non-binary,Muslim,Divorced,UK,89.84268959604233,B,-92.18157185313723,-14.930793889016655,B,0
F,Christian,Widowed,Germany,-59.80579636828447,B,-40.005277216351345,126.08424369431381,D,0
F,None,Married,Other,-80.67846164178002,C,-255.8262376470156,71.26892116254884,C,0
F,Buddhist,Divorced,India,0.2793121004952552,E,-108.39466898221953,99.15544847966437,D,0
Male,Other,Divorced,India,-64.82175987625702,A,-70.16102332720183,-20.45273364796393,B,0
Female,Hindu,Married,China,-187.15112474292846,C,62.98710597233429,136.96262514485375,A,0
Female,Other,Married,India,26.302840796333037,A,-30.876471514561864,26.6930324913027,A,1
Female,Jewish,Single,Brazil,-79.13660429589328,B,-73.33853473883256,96.42028027860839,A,0
Other,None,Single,India,115.77806233289054,B,-13.02182165871021,-153.30596578798531,B,0
Male,None,Divorced,China,-39.20893617062619,D,-29.60379127328198,-149.2168719652755,B,0
Female,Jewish,Divorced,Mexico,53.86913157591816,D,39.9755619672704,-143.47441784343528,D,1
Male,Muslim,Widowed,Mexico,31.627180544448603,B,-92.99761187310875,-66.30246069593471,B,0
Non-binary,Hindu,Married,India,120.49364249484185,C,119.4778478956336,66.88423423939027,B,1
Male,Buddhist,Married,Brazil,72.5239948381321,A,80.34327131299086,-50.89192958583764,C,0
M,Other,Widowed,US,-53.94498372702689,C,-116.13544891973288,80.28864260969401,A,0
Non-binary,Jewish,Single,India,-36.08146223815779,E,116.8965424758547,-28.265376249225426,C,1
M,Muslim,Widowed,Brazil,-9.76631605334212,B,-157.19279851764966,31.63865982800111,C,0
Male,Christian,Married,US,39.490535888528676,C,-55.34751602781765,-155.21656752524834,E,1
Female,Hindu,Married,India,25.110793669430908,E,-2.044384460007757,-99.89068270280407,C,1
M,Muslim,Married,India,-4.226249158586047,E,3.581551307831951,34.805806577904534,D,0
Female,None,Divorced,Mexico,-60.47334109796063,D,123.68118416056393,59.990013101876805,B,1
Female,Christian,Single,Other,192.2180215612983,D,136.7572559252744,224.18969878521895,B,0
F,Other,Divorced,Brazil,109.23333504768887,A,77.34567507913854,18.678540263056792,C,1
F,None,Widowed,UK,123.38483755952758,A,113.8677114205806,76.97029789765419,B,0
Non-binary,Muslim,Single,Brazil,-48.43042155856671,E,140.2466126956534,-136.59144383615015,A,1
F,Other,Single,Germany,-59.60674750667522,D,-188.1462819350471,-130.0074195570021,D,1
Non-binary,Christian,Divorced,Other,46.35840533532883,C,139.9660468033037,-79.79509974328029,C,0
Other,Other,Divorced,Brazil,-1.3097604270007153,C,85.04824853551676,-91.45939463979298,C,0
Male,Muslim,Married,China,1.9166762289813715,B,-57.476668498561644,23.00550408829924,B,1
M,Hindu,Married,Germany,75.73044200117907,D,-3.514581447276162,-191.14493653393768,A,1
Non-binary,Hindu,Divorced,UK,-36.217112021694426,B,-68.76399278833512,113.01416817737602,B,1
Other,Hindu,Married,UK,-50.524161265635705,D,10.340783333062951,-43.184438332283946,E,1
Female,Other,Widowed,India,-58.651131386368384,A,106.69544515143305,-26.75583425037125,B,1
Male,Muslim,Divorced,Other,60.258090470245506,D,-159.76974410626877,116.7053059747673,D,0
F,Muslim,Married,Other,8.662319452488578,C,-29.271850095549297,36.40863755184546,B,1
Male,None,Widowed,India,60.829178625951876,C,68.97867083916606,-7.403593658796656,C,1
Male,Hindu,Single,India,13.6489506129276,A,94.40292646538693,133.4040562446155,A,1
Male,None,Single,Brazil,27.24290603739876,E,-15.228787643680938,121.57257242777419,E,0
Male,Christian,Married,UK,-14.777420448472315,D,84.21804435245865,181.83495751065675,E,1
Non-binary,Hindu,Widowed,Brazil,-164.19272429941802,A,33.68490074604762,46.35825611342919,B,0
Female,Muslim,Married,Other,108.69733492079715,C,-24.070374720591055,217.60768345368,D,0
Other,Buddhist,Married,China,111.31407427189947,B,-149.98154283448932,108.90064950968272,A,0
F,Jewish,Single,India,-89.16789197116552,B,15.648086382034187,-54.438639434366046,D,1
Male,Hindu,Widowed,Germany,151.37343807851613,B,39.932924255923176,133.5174710007464,C,0
Non-binary,Buddhist,Married,Germany,-220.3483049793796,B,-151.33968743814435,-136.28069685626966,C,0
Non-binary,Buddhist,Married,Brazil,55.38634648736467,A,-66.21982553430799,-95.70303135764756,D,0
F,Muslim,Widowed,India,-92.91774174551301,D,-52.81926339508218,165.07986257507844,D,1
Other,Christian,Married,UK,-9.78057553168923,E,42.286341319172024,124.65458799244196,E,1
Other,None,Widowed,US,-91.65722900912975,E,11.63098588613725,-23.830273205620255,E,0
Female,Buddhist,Single,Other,-123.03476340848955,C,-31.8755950614387,-138.7397864062935,B,1
Other,Hindu,Married,Germany,1.3574214091823547,A,154.82102473642263,59.569604299953326,D,0
Other,Buddhist,Widowed,Germany,117.6329265479688,C,41.03911313376224,-151.8696856698228,D,0
Male,Buddhist,Divorced,Other,-35.996648216026266,E,62.14390335305349,148.15241134233068,A,0
Other,Jewish,Married,Germany,-41.54530609180248,D,177.50616188204918,-83.0656884336046,A,1
Male,None,Married,Other,115.30479421083587,D,92.04879675222169,70.32381388681213,A,1
Male,Muslim,Divorced,US,51.74489671982526,E,-77.98470698483082,66.474055164855,E,1
Other,Other,Married,China,140.42799786700172,C,-97.86618827426952,-4.90859269173977,C,0
Female,None,Widowed,US,-51.61097473013015,D,102.3759095012002,221.5670702839751,A,1
Non-binary,Other,Married,China,173.28640902358393,C,-41.47287162019132,30.976336504347852,E,0
M,Buddhist,Single,UK,-21.917914963640875,E,78.62008038920453,45.46310110761472,E,0
Other,Christian,Widowed,India,42.76503189732932,B,129.83554146307534,-106.40010134969296,B,0
M,Hindu,Married,UK,-19.171538295363334,B,150.68770589658905,-102.58091650849363,E,1
F,Christian,Divorced,China,45.739966184996725,E,-73.72308682285292,0.5119564784693329,D,1
Other,None,Married,Brazil,64.41874304998005,E,147.62868598010758,68.10623898109846,A,0
F,Christian,Single,India,39.8174997386022,D,115.49319150101705,-184.88600293457077,B,0
Female,Muslim,Married,India,-36.271817281756,E,142.46742133874204,80.65766410570825,E,0
F,Hindu,Single,Mexico,-98.88747564236535,A,5.927004868619739,30.420814469109708,D,1
Female,Muslim,Married,India,-192.75767107679263,C,-321.4879359210364,111.18404678033613,A,0
Non-binary,None,Single,India,11.541106093080415,A,128.74411897615573,-16.107835441860203,E,1
Male,Other,Married,Germany,-141.66074978612613,E,-24.78947614918406,-116.85546700308262,B,1
F,Christian,Single,Other,160.4270858015507,B,-37.60101803348473,153.773166729468,D,0
M,Other,Single,UK,10.31950821700034,C,35.40026241614137,37.041999157618044,A,0
F,Muslim,Widowed,China,-103.972035308924,D,-110.58806134404455,29.28138688862541,B,0
Female,Hindu,Single,Mexico,124.20990087163646,E,-72.14858815810572,-8.85520829623685,D,1
Male,None,Widowed,India,11.423241733451706,B,82.00263333620663,0.3680072835416077,B,0
Non-binary,Christian,Widowed,China,16.6400562402156,C,92.12954675312555,69.29438296746916,C,1
M,Jewish,Widowed,China,38.774300542412846,C,-22.243799064881053,144.21013268234458,E,0
F,Christian,Married,Germany,-32.67996248216097,A,-94.4349047074151,-32.20833041585784,E,0
F,None,Single,China,-110.24100591009542,D,47.5274345884603,-48.25808447142322,E,1
Male,None,Divorced,China,22.438824633127354,C,17.631718051568072,-63.47766563172821,E,1
Female,Muslim,Widowed,US,36.72023855787561,A,-111.01992211812464,-87.84072426374706,C,1
F,Other,Single,US,-69.8299127658817,A,-112.0204601551674,61.16122790318135,A,0
Other,Hindu,Divorced,Germany,54.81850771919654,D,-6.7402748147664395,207.85353863187584,D,1
M,Hindu,Single,Other,-117.28905424094351,D,-3.371525834448994,57.20315115298467,C,0
Male,Jewish,Single,Mexico,-8.580484157070837,D,192.52255960302358,-105.16696399797168,C,0
M,None,Widowed,Germany,-78.10661847353379,D,17.521843968604227,15.868053559503895,B,0
Other,None,Married,Other,-176.03465835811954,D,108.46727893146941,35.17393411665437,D,0
Non-binary,Muslim,Married,Mexico,-81.95843129015972,D,98.05026428283176,114.73034087936212,E,0
Other,Jewish,Single,Mexico,77.32441397913156,D,10.614544119000694,-197.83241125397808,B,1
Female,Other,Widowed,Mexico,-96.16769945316963,D,25.34806480869276,-112.32385715361912,C,0
Other,Hindu,Single,Other,170.49141176317687,E,-54.41140222289897,163.8808052052645,B,1
Non-binary,Christian,Single,China,64.11064874697018,A,88.98745151937821,142.8920651053337,A,1
M,Christian,Divorced,Mexico,45.31797854383458,A,-120.66871644910859,-44.47823390105618,B,0
Male,None,Married,India,209.9429390681659,C,41.05359240466958,-9.495919092287531,C,0
Male,Buddhist,Widowed,India,-100.66512840797625,C,6.786816058083433,-235.59445219468142,B,0
Female,None,Divorced,US,-39.653732606403366,E,35.45099048285244,169.51428491684598,B,1
Non-binary,Jewish,Widowed,UK,170.10035180639645,E,8.128709170991472,56.392894779241175,B,0
Non-binary,Jewish,Single,Mexico,-0.33523633087628946,C,-22.385616888644652,-80.8726069114937,A,0
M,None,Divorced,Mexico,95.39884021412723,B,18.206619310292556,150.15415084456097,C,1
Other,Muslim,Widowed,Mexico,77.11936326399818,D,119.23665178378575,123.14989599359404,C,0
Other,Jewish,Widowed,China,-16.071882683473547,A,94.01606980653587,-94.1966558018967,D,1
Female,Hindu,Married,US,63.985945865364016,B,-72.15064872722228,40.50865447981422,E,1
M,Other,Married,Brazil,66.34190016803,D,48.44208087491938,-67.58791511034138,D,1
Non-binary,Jewish,Married,UK,52.93448372611307,D,-170.7154649515022,-99.05526939457097,C,1
Other,Buddhist,Widowed,Brazil,25.176466905626476,C,-102.2100298149371,-115.39983511431389,E,0
Male,Hindu,Married,Mexico,-20.53797748765505,E,35.129333242136376,-149.88909474496486,E,0
Male,Jewish,Single,Germany,-84.52810906097037,B,-48.772818092538,-87.86291505330574,E,1
Non-binary,None,Divorced,China,-50.427475354137606,C,39.85509407356791,24.210206291712705,E,1
Non-binary,None,Single,Other,-127.63015423713738,D,62.315658139147914,-49.01906435757839,B,1
Other,Christian,Widowed,China,21.657442697337686,B,-190.4192356661727,-35.923913238130424,C,0
Non-binary,Christian,Married,China,-11.188292841143962,C,126.44503707693242,8.741046568610395,C,0
F,Muslim,Divorced,UK,42.001532522247864,D,167.7859034678668,-1.3042217654849988,B,0
Female,Hindu,Divorced,Mexico,-76.04490894697699,E,51.62448807112043,82.08449195540642,D,0
Other,Other,Single,Mexico,-93.24267796280094,E,139.7577705924978,120.11957647593212,A,1
Non-binary,Other,Married,US,13.384845555311484,A,2.889845243099456,42.27858524338408,A,1
Female,Jewish,Widowed,Brazil,104.47218909082143,E,35.262055441981424,-93.02530292760358,A,1
M,Other,Divorced,Germany,-52.630637352587364,D,-1.323440832285149,55.980555416371125,D,0
Non-binary,Christian,Married,UK,-34.65166277896644,D,49.472585094276326,-118.70960171116674,A,1
Male,None,Single,India,-136.79656220435612,D,-17.977851810302848,-72.43558681693352,B,0
F,Muslim,Single,Other,-88.46727858616553,C,-95.65963398104954,-23.071765072068406,A,1
Other,Other,Married,UK,133.8846701334833,E,-128.84587280764964,-228.36818998455638,C,1
F,Muslim,Divorced,Germany,-111.62684313907833,B,143.17077808192744,105.2428342501623,A,1
M,Jewish,Widowed,Germany,-113.65491746952239,B,-99.6245741436777,-78.9755805973383,D,0
F,Christian,Widowed,India,24.018232624639367,D,149.1692090791974,-89.19767605925328,E,1
M,Other,Widowed,China,7.994190082868835,E,-66.33802931813754,167.2073491242667,E,0
M,Jewish,Divorced,Germany,144.60354158049665,E,117.78258478116459,38.60377501661248,A,1
Female,Buddhist,Single,Germany,22.981349231425078,D,165.60185600325755,-95.38075698602769,B,1
Non-binary,Muslim,Single,Germany,-58.14810119466398,E,-48.662177177720054,108.90324130048596,C,1
Male,Buddhist,Divorced,UK,92.5133622012286,C,-9.387832543412738,19.508115039258442,B,1
F,Buddhist,Married,US,-246.6226527225242,E,-37.65753681111915,14.927435013243612,E,1
Non-binary,Christian,Married,Germany,144.4884365167121,C,82.53645986495476,-17.478223361140646,C,1
Female,Christian,Married,Mexico,-78.14136899889749,E,-43.34304070913747,-46.943062276262104,D,0
Other,Buddhist,Divorced,India,-47.139041044760816,B,56.83313999409979,247.5909963515611,C,1
Non-binary,Jewish,Divorced,Brazil,-35.427642226951704,A,115.96521730166056,96.86323743345862,B,1
Non-binary,Other,Married,UK,195.07874734954135,B,201.8056923086908,105.8630624649834,C,0
Non-binary,Jewish,Married,China,-78.46948732966598,A,208.16541914578926,-106.27231172299938,A,1
M,Other,Divorced,Other,-21.058186122108417,A,-120.39475303333165,6.252801768561886,B,1
Male,Christian,Single,Germany,144.10513642329644,D,-192.30196239723725,12.197511670155102,A,0
Female,Other,Widowed,US,-16.56079471655074,C,-207.85858581757256,-91.58779061678236,E,0
Male,Other,Married,India,-76.04724800094661,E,54.61792510764776,-9.070430319705418,C,0
F,Buddhist,Single,Mexico,125.20961191674888,A,12.113144237802594,134.82378184901617,A,1
M,Muslim,Married,India,54.98986482351472,D,34.496068655572905,-71.60504332083146,E,1
Male,Muslim,Divorced,UK,-14.52564300028199,B,-22.04589106040482,25.303219139917175,B,0
F,Christian,Married,US,73.86101040679229,D,-188.7444529392298,-196.0282059974738,D,0
Other,Muslim,Widowed,Brazil,-175.62695707492068,B,16.304281865623068,-99.24461882452746,A,1
Other,Buddhist,Widowed,UK,-182.22336148217957,D,385.7806787180428,8.448202735795055,B,0
Non-binary,Hindu,Widowed,India,94.22113070443393,A,100.27982137009698,-11.204509136961862,C,1
M,None,Divorced,India,-41.14283722632287,D,3.396658319393399,137.58200827877403,E,1
M,None,Married,Other,-205.41151135342147,A,27.354869726165866,-88.31595243943056,D,1
Other,Buddhist,Widowed,UK,-96.72999518519042,A,-167.02284946080806,43.555397265904396,E,0
Non-binary,Christian,Divorced,Other,-53.3241933438604,E,8.027139566964635,-103.26674653809573,C,0
Other,Muslim,Single,US,-27.6566975999125,B,-37.80846488900051,-43.78816167179535,C,0
M,Other,Divorced,Brazil,36.18226909703793,D,-26.651433625630748,-19.017137546744227,C,0
Female,Muslim,Divorced,China,-25.685987916847214,D,-34.13640143846831,-57.71190878386404,D,0
Other,Muslim,Widowed,UK,-100.10420010350711,D,66.856058899657,12.455901591457524,A,1
M,Hindu,Divorced,Germany,1.5324542013074818,B,66.18865883246711,-21.173044636600537,D,0
F,Muslim,Divorced,Brazil,132.8883243951282,A,-30.92802659165219,121.07383421730977,A,1
Female,Muslim,Single,China,-6.422476597066769,D,245.68719395770154,2.285090883415565,E,1
Female,Muslim,Married,Germany,74.2646088534454,E,65.61235194174148,81.08835327610234,E,1
Other,Buddhist,Widowed,China,5.888252307229027,A,-287.18650678402213,33.42040772091157,C,1
M,Muslim,Married,Brazil,48.892606123985075,B,58.77489142360239,-58.59168637647135,B,0
Other,Muslim,Divorced,India,-150.17577524156764,C,136.7703240591144,-72.70102619242274,E,1
Male,Other,Widowed,Germany,-21.430339645599236,A,26.361214688513023,-18.362224476995653,D,1
Other,Other,Married,UK,-38.946378917478974,B,-48.61001620222378,-62.93231549493067,A,0
Other,Other,Divorced,Germany,-95.28068999504457,E,100.25717184017748,-185.11554606174934,C,1
Male,Hindu,Widowed,India,154.66080043832486,A,-94.4296706350797,-62.36369456082359,B,0
Male,Other,Married,Germany,82.4729578717604,B,-32.05963807597055,57.908423916756746,D,1
M,Jewish,Widowed,UK,81.10153983387576,E,74.34806042641085,218.4027077832265,E,1
Other,Buddhist,Divorced,Other,125.3173216140114,E,-120.50191476653549,51.398851755068634,B,1
Non-binary,Buddhist,Single,Other,23.66626177562913,C,-21.932375779820628,69.9414829754089,D,1
Female,Jewish,Divorced,India,-67.25884191441843,A,-25.843248133618157,-69.94479433675797,A,1
Female,Jewish,Single,China,-34.74608032721121,B,-71.26200495713054,94.19222390548542,D,1
Other,Christian,Single,US,35.85809513264787,A,14.571806727290543,74.81077944953279,B,1
Other,Buddhist,Single,Other,78.55918012658888,D,53.53313024437539,173.9811434408478,C,1
Male,Other,Widowed,Mexico,29.157123531629114,B,69.73717399619272,-96.69765829559249,D,0
Female,None,Married,UK,139.3105369603714,E,244.79693425471484,4.916654370430721,D,0
Non-binary,Christian,Single,India,-107.37962627789459,D,10.432023927767954,170.75617324672274,B,1
Non-binary,Muslim,Widowed,Mexico,164.74580232780264,D,-50.299810214339225,198.83345453853389,B,1
Other,Hindu,Divorced,Mexico,-12.819463961742313,E,34.02912190528479,158.68866566516485,E,0
Male,Christian,Married,Germany,10.712557228896213,B,-84.44326886550951,-27.754459541278543,B,1
Other,Other,Married,Mexico,53.987762212920245,D,128.90281273425583,47.203359801405945,C,1
Non-binary,Jewish,Divorced,US,-36.072838743811076,E,177.9550873922975,-14.39219701330637,B,0
M,Christian,Widowed,US,12.154936026079408,E,-158.9712748464687,-20.401488171242548,B,1
Female,Other,Widowed,Other,53.434428203756845,D,111.99841520631088,-44.2212807299863,D,0
M,Buddhist,Married,Brazil,-21.44004225465415,D,102.97214512060134,-122.92865010274399,C,0
Male,Hindu,Widowed,US,-149.9575689747014,D,-172.55942994845975,-23.493552206268287,E,1
Other,Muslim,Married,Brazil,30.28498536033659,C,19.30407509532378,76.31036775512145,D,1
Male,Buddhist,Divorced,Germany,69.37501406287943,D,108.37782316796347,34.66486563111644,A,0
Female,Christian,Divorced,Mexico,-28.687319979513404,D,127.71423245304223,101.13105558976692,A,1
Female,Muslim,Single,UK,176.01262508326744,D,121.9234229757346,-77.06383230008316,A,1
Female,Jewish,Widowed,Germany,-56.95492451550281,C,110.15615342801021,-91.4748752700908,C,0
F,Buddhist,Married,UK,-112.33853591974545,B,-26.851094132729397,-80.03846727763079,B,0
Non-binary,Buddhist,Married,US,-66.756699537555,B,196.34318218734356,-14.634860967743826,C,1
F,Other,Widowed,Germany,-20.941268543809645,A,-96.27319760088788,-8.415877383402542,E,0
Male,Other,Widowed,UK,-216.67811974082323,D,-15.367043405918862,-27.148374310228114,E,1
M,Other,Divorced,China,-49.69935490217617,B,146.49396685770688,147.16406393703232,A,0
Other,Other,Single,Mexico,64.80589317505363,B,-31.365798640503726,-144.01110958206843,C,1
F,Muslim,Divorced,US,-48.82234009094867,B,52.038338311192,86.5058968923055,D,0
Male,None,Divorced,UK,107.39820986088802,A,-54.14433681776203,98.69570318975767,E,1
M,Jewish,Single,India,136.91638283189613,D,12.956437662968936,-48.18718162999575,B,0
Male,Other,Married,UK,2.100737689453067,E,40.43600720265139,-97.65859656242777,B,1
Male,Other,Divorced,China,-25.5662519687463,B,11.391296023438839,-102.9466016843066,D,1
Female,Christian,Widowed,Mexico,-69.9854677360514,E,-63.353076285729834,-47.85063936716579,A,0
M,Buddhist,Married,Germany,-182.68125996967572,D,-214.43970696797115,199.52334064108365,C,0
Male,Hindu,Single,Brazil,-108.81702345296667,D,74.48987690731303,-61.8593057167542,C,1
Male,Muslim,Divorced,Brazil,-116.68935453289362,A,-10.478075650170409,50.56226695231171,E,1
F,Jewish,Married,China,50.139740783039684,B,-211.90957070495884,91.61017876133651,B,1
Female,Buddhist,Single,Other,-72.64035053528353,E,69.20766123818403,-63.65650828177806,D,1
Male,Buddhist,Married,UK,78.88952519220318,E,-138.50594489244313,-45.43159798857252,D,1
Other,None,Single,US,104.88763763583238,A,6.094181771609388,168.061782690848,C,1
Non-binary,Buddhist,Single,US,96.02906983847022,C,96.18743919949074,-59.72638473664876,D,1
Other,Other,Married,Germany,34.07270941027647,A,-80.28129766795456,-57.39049895140552,C,0
Male,None,Single,Brazil,37.833917203382875,E,-33.97971935411805,82.91417398462309,E,0
Male,Hindu,Single,Mexico,-16.092452000458042,B,83.8546398567921,100.12629104805491,C,0
M,Buddhist,Widowed,Other,163.33211804063075,C,-57.042549032124455,-40.120236599415755,A,0
M,Other,Single,India,13.502863558278996,E,60.98729275132839,71.15902298524158,B,0
Female,Buddhist,Divorced,Other,-110.86313393510783,C,-115.88665190797076,109.02319637136084,C,0
Other,Muslim,Divorced,UK,17.537215191327796,A,142.825886653266,122.45884046653939,B,1
Female,Other,Widowed,India,-49.61584687810519,C,43.977824887920654,121.02655081900163,C,0
F,Christian,Divorced,Mexico,-24.211517745941183,E,152.71640177106266,98.73831144044206,A,1
M,Jewish,Divorced,UK,-46.439664721787686,E,265.22245012503384,-39.5174104947811,B,1
Other,Muslim,Widowed,UK,-77.3734114320701,B,61.60909023984586,128.47541918552528,E,1
Non-binary,Hindu,Divorced,Other,-156.2131557605752,E,-117.33031884447693,-261.1982690577941,B,0
F,Other,Divorced,China,27.45757593155544,D,-45.72307905644924,-113.69649617235223,B,1
Other,Muslim,Widowed,UK,-32.603091191785424,E,1.4860850990131484,119.84293055363622,E,1
Male,Hindu,Married,UK,-49.84088294968247,D,28.407707113769337,206.40244169109363,E,0
Other,Buddhist,Single,Germany,118.39619866774456,D,-11.19303481070081,-8.749678684425339,B,1
Other,Christian,Widowed,US,-24.3021335891729,D,-25.230194578871263,5.243349911365068,A,0
Other,None,Single,Mexico,129.37958151404578,C,20.01276509364104,37.64217886460375,A,1
Female,Other,Single,Mexico,-159.1972767856468,B,-15.053074377835202,116.48850890918705,E,1
Non-binary,Other,Single,US,-151.79370973162833,D,169.453717520956,25.734997236052166,A,1
F,Jewish,Divorced,US,54.42483407761206,D,-26.16114240571567,1.8668991295833357,B,1
Non-binary,Buddhist,Widowed,Mexico,-109.02728686354044,D,86.23819229216538,-109.36787182634772,E,0
M,Christian,Divorced,US,41.62193922407694,C,185.70337465902765,7.102078531157535,D,1
Male,Muslim,Single,India,-1.3691350385613954,D,63.95534544379235,-43.94454878716148,E,1
Male,Christian,Married,Other,62.2849716515675,A,-136.71959618549687,-99.85637275806349,B,1
Other,Muslim,Married,UK,26.916955197202107,C,116.58136816578997,-96.39887282786867,E,1
Male,Hindu,Divorced,Brazil,189.07108993865697,A,156.8289692164117,3.6457249651028785,B,0
Non-binary,Muslim,Divorced,UK,-53.9799020071434,A,53.78161187833642,186.14829689444366,A,0
Female,Hindu,Married,Germany,116.22170536671842,C,-43.230687140933874,49.924951440592714,C,0
Female,Other,Widowed,China,-76.1031580238578,A,130.5883945501568,109.76563696096333,D,1
Female,Buddhist,Single,UK,76.43963244263094,C,-122.77702917882563,-43.57995792301502,E,1
Non-binary,Muslim,Divorced,UK,-19.999934427165623,B,190.61402218181428,124.6079898492267,C,0
Non-binary,Hindu,Single,Other,72.33560752023973,C,-73.41288979619559,43.28006572732913,C,0
Other,Hindu,Single,Mexico,134.54731714608593,E,-43.20002653649169,-47.06532948493279,D,1
F,Other,Married,Other,110.60504651792591,E,142.71531654292852,-84.41778462483254,B,0
Female,Hindu,Divorced,US,-12.549525081320963,E,-156.79621781215164,-143.54845791751538,B,0
Other,Other,Married,Mexico,137.74068217044803,D,68.70700402682903,-101.52037692915354,E,0
Non-binary,Muslim,Divorced,Mexico,-95.9378543915051,E,1.707703910722451,117.61680363669139,C,0
Non-binary,Muslim,Married,Brazil,-177.29064584582633,C,120.69470645676883,97.56927745116353,C,1
Male,Jewish,Divorced,UK,-71.48361971929496,E,16.836422146138617,-64.18605185367478,D,1
Other,Christian,Widowed,Germany,-41.99977191635502,E,-48.461505243559245,-5.097416232264502,D,1
Female,Muslim,Widowed,Germany,-54.36123401844415,D,-116.82659148284343,57.44163315804085,B,1
Other,Muslim,Widowed,Germany,247.65237050176964,D,-69.24395900398045,125.06992797024394,D,1
M,None,Single,Other,-138.83698826760047,B,-30.821061566439077,118.7762623175948,A,0
M,Muslim,Widowed,US,5.521684230247197,E,-1.9455597234874173,-27.739577320042265,C,1
F,None,Widowed,Germany,63.53766242671782,D,-38.438684518895116,72.26493524690108,A,0
Male,Jewish,Single,UK,91.00448960369543,C,-94.7995971761269,5.628953960585709,A,0
Non-binary,None,Single,US,72.44032503143917,C,205.1142903637774,34.55525004440897,E,0
M,Christian,Single,Mexico,114.89653341145136,D,-118.3812625767726,13.1260417119753,E,0
Other,Other,Widowed,Other,-122.39176429658258,E,-54.053256312870026,-8.143594350244696,C,1
Male,None,Married,Brazil,-130.54119028425148,E,70.19748569054272,-2.310396770364134,D,1
M,Jewish,Divorced,Germany,3.479832840911902,B,62.05693018286584,5.926596543104003,C,0
Other,Hindu,Single,US,-165.2842580183679,E,76.42438558964521,49.69546205191978,C,0
Other,Hindu,Married,Other,134.0923152264971,A,-55.15239005627548,103.9602615522731,E,1
Non-binary,None,Widowed,Mexico,222.64085705276196,C,93.42564107841524,-89.59540685429158,D,0
F,Jewish,Divorced,Other,15.812831846994666,E,-28.77504734910924,104.07187033811446,C,1
Female,Jewish,Widowed,Brazil,-11.875182130926746,D,-111.2589908101552,16.310913249286536,A,1
Non-binary,None,Widowed,Other,-94.5453386483432,B,142.4529774045272,86.6504123102222,B,0
F,Hindu,Widowed,US,-221.67258232419977,D,-2.275134024451695,-262.32726218034554,D,0
Non-binary,Jewish,Divorced,China,-133.32934965928214,E,7.8406555733911425,-61.09478235857099,B,0
Non-binary,Jewish,Single,Other,-54.899014620178264,E,-118.44483048049965,-182.71202220322436,D,1
Male,Christian,Single,US,-266.66634965291007,C,71.24662164405372,-149.35884615397674,C,0
M,Other,Divorced,Germany,121.42790862423232,C,13.231877584396296,107.70349013537262,B,0
Male,Buddhist,Married,Other,21.215040065361617,C,-129.10093366463587,-72.50241361799539,B,1
Female,None,Divorced,UK,72.1831558372505,E,48.622951201753,-276.4303740459596,C,1
Male,Muslim,Widowed,UK,-77.11959351021999,B,24.905158844278834,33.012038939506965,C,0
M,Hindu,Married,India,-65.91458959479651,E,68.79188136871196,160.77408726497168,A,0
Other,Christian,Divorced,India,-200.2420851992885,B,114.80677737711875,1.6618216527537342,A,0
M,Muslim,Widowed,India,-35.30248800229214,E,78.23855054924603,59.67424798512282,C,0
Male,Other,Married,US,65.82326168125473,D,-95.57911580844302,86.33131496122226,A,1
Female,Jewish,Married,US,67.1151336792783,D,-52.587232059280595,-58.5058373007986,E,1
