age_range,SEX,military,Nationality,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,target
18-25,M,Veteran,Other,-124.77151472879117,106.85662692493767,D,C,E,11.470617343887184,0
65+,M,No,Germany,49.556100822753876,67.88836701099302,E,C,A,56.49040509592026,0
65+,F,No,India,-63.8833849828565,103.4395707867505,C,C,C,-32.34826161613325,1
36-50,Other,Veteran,India,45.58515193048483,85.01159391135776,C,E,A,6.204277104031336,1
26-35,Female,No,China,101.96538980121423,87.11748464607932,D,E,A,79.80155585193933,1
65+,Male,Yes,Germany,100.3209293455491,-29.185047778200314,D,A,B,208.98583443829148,0
65+,Other,Non-Veteran,Brazil,149.02993598650212,3.2459561886110855,D,C,A,142.36507695028206,1
26-35,Other,No,US,4.665338620318126,76.09405684307633,A,B,D,132.67532665941852,1
18-25,Other,No,Brazil,-36.881227820341806,87.63159446471211,D,A,C,44.33005356216236,1
65+,M,No,Other,111.06519519907907,-101.39472497596094,D,D,C,-175.8628799975067,0
18-25,Other,No,UK,85.4789155026159,-73.73777477623294,C,A,B,296.0116242666695,0
36-50,Non-binary,Veteran,Mexico,49.92534288977954,-28.478356140254498,B,D,B,50.431765128411165,1
65+,Other,Veteran,India,-52.617319694938516,-1.4900690819197324,A,A,C,-7.951588224422074,0
26-35,F,No,China,77.7852177146489,-176.57306162236813,E,B,D,100.29274825748551,1
26-35,Other,Non-Veteran,Brazil,168.50014765942538,135.8988713402573,A,C,D,126.23018379487667,1
26-35,M,Non-Veteran,Germany,52.37733032910072,37.98397953347533,C,D,D,-47.117331689571834,1
26-35,Other,Non-Veteran,US,-137.22854890325317,68.53130442351436,A,B,C,-130.3874444319934,0
51-65,Other,Yes,Germany,35.3635513221532,28.683803109617383,A,E,D,60.095844979050874,1
51-65,Non-binary,No,China,-29.27630655284739,-73.21956672578914,E,E,B,1.5694809720735619,0
36-50,Non-binary,No,India,166.37222834614846,23.870119722419275,D,B,D,-52.162928831845356,0
65+,F,No,UK,149.0683825937802,146.80212211915617,B,E,A,12.875092011401401,1
26-35,M,Yes,India,-111.87910766203375,-162.5614462929899,C,A,C,-110.23395813511227,1
18-25,M,No,Mexico,-48.02049973816223,128.69740401714745,B,B,A,100.01305643970927,1
51-65,Male,Yes,US,-118.09267362020937,158.92540977312393,C,E,C,-34.46217222381387,1
65+,Non-binary,No,UK,-37.461230547800696,-60.31382464876197,E,A,D,43.51175466401316,1
18-25,M,No,China,-63.46206490047906,184.1139700959753,A,C,D,21.782177558268703,0
18-25,F,Non-Veteran,India,52.44120613166567,12.822706137874379,D,E,A,28.403940596382128,0
36-50,Male,Veteran,Mexico,77.01685629987561,-1.6885866478012668,D,C,C,96.66741218390837,0
18-25,Non-binary,Non-Veteran,Other,-116.05960123667063,-16.25353635895181,A,D,B,-198.81540254002655,1
65+,Female,Yes,India,-89.74119228644382,-151.39575241522073,C,E,C,243.8791085792135,1
18-25,Male,Veteran,Brazil,-32.540489494919015,27.51382497148657,D,C,B,-249.6031563729609,1
51-65,Female,Non-Veteran,Other,10.95411731785566,55.47494468227791,E,D,B,-90.90073236373273,1
18-25,Male,No,China,160.4972090274504,2.337241890984122,C,D,D,2.037430821482314,1
36-50,Non-binary,Non-Veteran,India,74.07917690124206,-244.10264079977023,D,D,B,-162.26381122223458,1
51-65,Female,Non-Veteran,India,15.66365176211056,-118.70699586291605,A,D,D,251.49857898041637,0
36-50,Female,No,UK,52.02852247502069,28.46598435800427,C,D,D,32.19894112071044,0
18-25,Female,Non-Veteran,UK,-123.79437331700154,-107.59062370498486,C,A,B,105.71408260506068,1
65+,Other,Yes,Germany,23.745727992822705,34.427585679130644,E,D,A,-63.11856290994386,0
18-25,Male,Yes,Germany,-72.70068998913388,-135.29560336774597,D,E,D,78.56067235824244,1
51-65,Non-binary,Veteran,Germany,-243.56918860840028,-18.877955860977952,A,B,B,29.004429492580048,1
26-35,Non-binary,Veteran,Germany,198.9625473422157,85.58065343427495,C,D,E,27.864474003600247,0
51-65,Non-binary,Yes,Other,42.999188547057145,-96.86065394155027,E,B,B,-10.172673339409195,1
65+,Non-binary,Non-Veteran,UK,-101.20606750715035,-0.5613662909042634,B,B,C,91.46262286432403,1
18-25,Non-binary,Non-Veteran,Mexico,-163.78983091519567,105.12647426926006,C,B,B,-27.757463436107276,1
65+,M,No,US,91.10177763176704,6.135803724218019,E,C,C,-84.31487074457709,1
18-25,Other,Veteran,India,-61.15049162952517,26.038007107687307,E,C,D,-34.78811250369365,0
26-35,Non-binary,No,Germany,-75.25913775466188,-75.28230112687847,B,C,A,-71.60473151589136,1
51-65,M,Yes,UK,259.8373385719217,-101.46526110139003,E,A,E,-97.85741519185736,1
36-50,M,Non-Veteran,UK,-75.59971903950652,-78.55704549674527,C,E,D,97.52741350735046,0
26-35,Male,Veteran,Mexico,-102.46568799817256,52.88941521614405,A,C,A,-58.24922153794756,1
51-65,Female,Yes,Brazil,104.520083852643,58.943638418476354,D,C,A,43.60351601104614,1
18-25,Female,Non-Veteran,China,-99.9691626840302,52.874369186672695,B,D,E,-86.91569089013905,0
36-50,F,Yes,US,24.89385695634414,63.49266241402313,B,E,C,78.87503438114025,0
51-65,F,Veteran,Brazil,-12.195567377218861,-41.65480913207377,A,B,D,93.20654594376012,1
18-25,F,Veteran,Brazil,5.810052189615498,-23.83118495159809,A,C,A,-40.69018197760575,0
51-65,Male,Non-Veteran,Other,-86.08084594662945,-60.409274131103295,B,B,C,-210.67287228049872,1
26-35,M,Non-Veteran,UK,-87.91649500371442,162.73582856531777,C,A,C,-61.072876627278404,1
36-50,Other,Veteran,Brazil,21.743745218263815,74.767729820185,B,B,A,-22.588193591087812,0
51-65,Female,No,Brazil,16.2716780447667,164.4386857864503,C,E,B,94.03571426499839,0
26-35,Female,No,Other,-17.269104677168496,-78.71464577652102,D,E,A,105.07434355867629,1
26-35,Male,Veteran,Mexico,-222.0048155834061,-155.43295362693277,C,A,B,110.90875199523154,0
51-65,M,Yes,US,-93.9331939360743,-46.209061989851286,C,E,C,118.3397262281777,0
65+,M,No,Germany,120.87234487472097,47.361217573770666,E,E,A,-36.00487081792278,0
36-50,M,No,Mexico,108.59296217727406,73.58365196178706,D,E,E,-145.53661554447854,0
65+,Male,No,Brazil,-150.03190274489884,-72.86058883373335,A,D,D,-152.3738762259956,1
36-50,Male,Non-Veteran,Germany,73.734128476835,-68.32132059839171,A,A,E,-138.4301546816019,0
26-35,Non-binary,No,UK,-3.3306183290399742,61.39996862532209,B,E,E,192.82863652498705,0
26-35,Female,Non-Veteran,Other,-125.07668002614687,-13.742042924347372,A,B,B,-81.53015622206998,0
51-65,Non-binary,Non-Veteran,Brazil,-93.90857936696267,-26.88316753095649,C,B,D,178.91810262521778,1
65+,Non-binary,Yes,India,-72.5672064754667,113.68495909512679,A,C,B,-49.06542908907826,0
51-65,Male,Yes,Brazil,-84.13414899263539,91.07841251344819,C,B,C,-55.50623849250622,0
36-50,Non-binary,Veteran,Mexico,-116.39303613157357,-29.660597191384024,A,B,C,-17.69388669289225,1
26-35,Female,Yes,Germany,-10.885848075506816,-21.481902150247365,B,E,E,-114.26683540113372,0
51-65,Female,Non-Veteran,Mexico,91.10839520065092,98.28016719954216,B,A,B,13.011073280408686,1
26-35,M,Yes,India,12.114034692734627,-20.229837094556377,E,A,B,-107.28848331373828,0
36-50,Female,No,US,121.71381400670911,-105.89476629969606,A,E,A,-116.27832148151724,1
36-50,F,No,Brazil,-89.09674515825242,-120.7838819839687,B,E,A,-102.3745610261541,1
36-50,F,Non-Veteran,US,199.6050212868218,-64.21656915282996,D,B,E,92.95384535280937,1
51-65,Female,Yes,Brazil,-73.68179666075912,102.72016611548977,E,A,A,-83.79536671535813,0
65+,Non-binary,Yes,India,126.20630398483303,-157.12024723364476,C,E,E,33.038172633289484,0
65+,Female,Non-Veteran,China,-59.45666335954276,-77.35324982294412,C,D,A,-25.041547650464175,0
65+,M,Non-Veteran,Germany,170.3199545997642,73.34659643897501,D,E,D,-9.064350471055798,0
36-50,Other,Non-Veteran,China,-68.02681810691368,96.54985491617816,D,A,E,-161.6150918780843,1
36-50,M,Yes,Other,82.16885865652937,-62.850719844273954,C,C,E,-53.87486310557995,1
36-50,F,Yes,India,-182.52816503532858,194.22061992615133,A,E,E,79.97779551937182,0
65+,Male,Veteran,Brazil,220.3102998690346,133.74380011293408,A,E,E,-130.1125838101688,0
51-65,Non-binary,Non-Veteran,UK,129.5992231407635,90.93136453687434,B,B,C,10.342965057544639,0
36-50,M,No,Brazil,-43.497909841658945,-90.77439000566216,A,E,B,-109.135791058612,0
18-25,Female,No,Mexico,13.695529320421434,-95.08938243227352,D,C,C,-21.464200021015824,0
26-35,Other,No,Other,54.81306429094263,53.01693202449812,D,D,C,-35.275010123201,1
36-50,Male,No,China,5.880881463504728,136.2695804232578,A,C,D,-40.51442767295272,1
36-50,Female,No,Mexico,113.52743317526148,83.74413103004463,D,D,E,110.42639431625771,1
26-35,Female,Non-Veteran,Germany,-33.51821597206049,-90.61313798320529,B,B,E,168.33087543443614,0
51-65,M,Yes,Other,-33.24940783926384,110.96290206296588,C,B,B,-303.71686105852484,1
51-65,Female,No,Germany,-15.214377859904621,124.84254093694784,E,B,C,-6.862318460909754,1
18-25,Male,Veteran,Brazil,-24.599657079255053,42.07746240166493,D,E,A,34.0193760145919,1
36-50,M,Veteran,Germany,-21.804161623051932,118.20377303990107,C,D,E,-45.228126624461254,1
51-65,Male,Veteran,India,-51.82537316818302,15.83906450479792,D,A,A,44.97556616480045,0
36-50,Other,No,UK,95.8395397560698,-34.37489091599135,A,C,A,-64.93812993304296,0
18-25,Other,Non-Veteran,Mexico,-51.01726397540608,-77.9850438430361,C,E,D,-122.70430973020723,1
65+,Non-binary,Yes,Brazil,82.03322776086982,195.3729225903408,D,D,B,-45.118142134871086,0
51-65,Non-binary,No,UK,-5.2810551110413995,-130.13310698270192,B,D,A,16.03584858480699,1
18-25,Male,No,UK,74.86938429552646,67.30828371750528,B,B,A,68.75411259631585,1
26-35,Male,Veteran,UK,168.33173699389025,77.6861980574704,A,C,A,87.56103705124818,1
36-50,Non-binary,Veteran,Brazil,-13.28481168604414,20.49160479816799,D,C,D,121.35312646443627,0
51-65,Female,Veteran,US,-98.2393998515416,-32.01479119621107,B,C,B,-65.56274523473425,1
26-35,F,Veteran,US,21.631058974021215,41.70642475359381,E,E,D,-19.1410746898353,1
18-25,Non-binary,Veteran,UK,-114.85397877811035,138.84124289205442,A,A,D,354.5082300263302,1
51-65,F,Veteran,Mexico,-3.266228824479725,40.288350555785776,C,E,C,-58.86172970431641,1
18-25,Male,No,China,115.45973667900205,62.76482955405541,C,C,C,91.88011297798242,0
26-35,M,Yes,Germany,110.29924812689802,-81.93614809439245,B,D,D,24.288052122442544,0
26-35,M,No,Brazil,24.91466946403561,-33.9917650382098,E,E,A,-157.39547854273312,1
36-50,F,No,US,130.72344517061092,-92.52561561637921,E,E,B,90.72016427528703,0
26-35,Female,Veteran,UK,44.234668651139,172.12413081806906,C,A,D,-120.29301596243135,0
18-25,Non-binary,Yes,Germany,108.20716730896727,5.714750103490148,C,D,E,24.772475289256686,1
26-35,Female,Non-Veteran,Mexico,65.27245599516169,5.3455151346679495,B,A,C,-29.109677764791584,0
18-25,Male,Non-Veteran,India,63.08226689697736,-24.971725506168305,B,C,E,-74.38612235436665,1
26-35,F,Yes,China,-64.5994969443646,66.39575613936177,A,E,D,-165.47850116042758,1
36-50,Non-binary,Non-Veteran,US,46.735351205612375,-72.92174544321351,E,A,A,23.21817285190026,0
26-35,Non-binary,Non-Veteran,Mexico,81.56762727661173,-149.78493941051477,E,E,C,1.3602832306923243,1
65+,F,Yes,China,10.899029174135917,-143.22749070452622,D,E,E,230.8247485417511,1
51-65,Non-binary,Veteran,China,-28.512921243322868,159.22133011306923,C,D,B,2.106016378997946,0
18-25,Female,No,China,-89.1160136659931,10.37266814856322,C,C,D,-75.22106303976966,1
36-50,Other,Yes,Brazil,-43.89456594465882,76.34658364590975,B,B,C,142.2525385678237,1
26-35,Other,Non-Veteran,India,-125.68584883279179,54.51939698754711,B,C,A,-177.28796707137317,0
18-25,Non-binary,Veteran,India,-95.5745059237485,109.22166202624678,D,C,D,-39.32599964646715,1
26-35,Male,No,China,-87.95133130183147,32.17133971951902,A,D,D,23.001565366092475,1
65+,Male,Veteran,China,16.614998605369546,-11.601125229939264,B,E,D,-37.38657648414589,0
36-50,M,Non-Veteran,Germany,176.7920119214962,82.3018251147296,D,C,A,48.95317745122393,0
65+,M,Non-Veteran,Brazil,-182.88250855405607,32.65111011958551,B,A,E,-240.24045129873505,0
36-50,Female,No,Germany,-91.54256866375714,-44.65803678482992,A,D,B,-24.960551751289387,1
65+,F,Non-Veteran,UK,-52.20731679075236,-226.85544287507926,B,B,B,-1.9681743911717686,1
36-50,M,Yes,Other,30.717871931126595,73.6749565301657,A,A,C,-1.0929999832855457,1
36-50,M,Veteran,Brazil,-18.94275607711956,18.258032648195517,C,A,A,202.08735328006543,1
65+,Male,Non-Veteran,China,2.7452172974758033,-40.69513086885205,C,E,D,5.1702351328085046,0
26-35,M,Non-Veteran,Brazil,-263.50859563309916,50.462931118771415,A,D,A,-59.22346142909812,1
36-50,Other,Veteran,US,-77.39735969063398,-152.51143002168547,A,B,E,-2.3895909432272835,1
36-50,Other,Veteran,UK,47.411779878184674,79.976617256418,D,B,C,-35.59631413765164,1
36-50,Female,Yes,Brazil,-27.43596697736152,-128.48316659497206,B,A,A,-78.7987084571304,1
26-35,Male,Veteran,India,107.7070626781222,2.5959593617023105,E,A,C,3.4255195728912877,1
51-65,Female,Yes,India,-106.6126147794856,5.231612172235607,E,D,D,-67.53462801187897,1
51-65,Non-binary,Veteran,India,292.1639982157666,0.14752263699089788,A,A,D,-290.3924255410912,1
26-35,Male,Yes,India,-60.66044638767186,126.3064948021313,E,A,D,-131.97586968242882,1
65+,F,No,Brazil,-86.02830892607123,-92.62695687372822,C,E,C,-77.63340639058795,0
36-50,Non-binary,No,Germany,47.75746482328346,42.37329489899501,D,E,D,133.2611372368468,0
36-50,Other,No,India,32.03810571260619,-108.58129462745836,E,D,D,16.226804999818818,1
65+,Male,Veteran,UK,192.8597313171049,-112.47876584803606,E,A,D,-30.178084328773082,0
36-50,Female,Non-Veteran,UK,-150.66278734632596,-39.63872009364376,C,B,C,149.8672899075501,0
51-65,Female,Veteran,Brazil,115.59516835154729,161.10840458362483,B,E,E,33.34240559353867,0
18-25,M,Non-Veteran,China,-12.416649635908147,-27.35077995348497,B,E,E,39.15896443634548,1
51-65,M,Yes,China,-1.5409740140622952,70.16130093120253,E,E,C,-62.93722926994988,1
36-50,Male,Yes,Mexico,2.1758339540031986,-30.085128107220882,A,A,D,68.86584514683565,1
51-65,F,Veteran,UK,-1.565954449974741,-40.244439697144145,D,D,B,-53.16687671223469,1
18-25,F,No,UK,-164.66136243178872,41.836031707027956,D,C,D,37.57564167778168,0
26-35,M,Veteran,Germany,42.44839006358877,220.15311720422483,B,D,E,51.186428748743126,0
18-25,Male,No,UK,105.67669963893182,107.44031364209772,C,A,B,-63.141376406250046,1
26-35,Non-binary,Veteran,India,13.593124000306322,-78.0958421416661,E,B,C,-92.32909013679522,0
51-65,F,Non-Veteran,US,145.43686242912025,-36.86312542273125,D,D,D,-1.8026008313138373,0
36-50,M,Non-Veteran,Other,-254.00308190376424,79.27306566685176,D,D,A,75.68354059587247,1
26-35,Other,Non-Veteran,Mexico,39.05739479107568,108.79913002531897,A,E,B,-108.91800221995625,0
36-50,Non-binary,Veteran,Brazil,4.097336926303146,-98.8239457309226,A,E,D,-0.048575639055816806,0
26-35,Other,No,UK,-308.5039932951223,65.00466141837687,D,E,A,-26.60741688984103,0
51-65,F,Non-Veteran,Germany,-102.37434336391746,-9.69345489556038,C,B,E,69.26067277956656,1
51-65,Female,No,UK,137.78782039475246,88.52712707473577,B,B,C,-131.15176450530078,0
51-65,Other,Non-Veteran,Other,-213.64273406653916,71.61569939276514,B,B,D,69.54565736010355,0
36-50,Non-binary,Yes,US,12.414293404854392,-30.982679178996175,C,E,B,-96.35595187836715,0
65+,Female,No,Germany,61.48158679568323,-165.2467633490697,B,A,D,17.89717263651254,0
51-65,M,Non-Veteran,Germany,-1.8756158665164755,104.2231260058184,A,C,A,36.24467211536131,1
36-50,Non-binary,Non-Veteran,US,81.2194327571249,95.77826422100952,E,D,A,122.07906264171066,1
51-65,Non-binary,Veteran,Other,-146.7577819748202,-161.26088601046843,C,D,B,51.49640450599383,1
36-50,Male,No,India,-10.808811571723883,91.4021689093979,B,B,D,73.76817462248677,0
36-50,Non-binary,Yes,US,-96.77475833651425,-8.433970730114456,C,C,E,25.646317750250514,0
51-65,F,Non-Veteran,Mexico,4.884418605907767,-14.257391225996535,C,D,E,120.66021712970722,0
36-50,F,No,UK,-68.33352949273157,206.82356051175964,A,A,D,-34.76710403296159,1
36-50,Non-binary,Veteran,Mexico,46.10063636270629,-101.03395213034008,B,D,C,37.61014640893144,1
26-35,Non-binary,Veteran,US,-5.356217048119528,33.01512757068611,B,C,B,-40.06200304808505,0
51-65,Female,Yes,India,98.15335997150012,-120.80559697119257,B,B,A,-30.46340544936619,0
51-65,F,Yes,India,-82.40899124735411,-67.00138323191466,E,D,A,81.497177210203,0
65+,M,Yes,UK,30.74579504718003,-60.89931456344527,B,B,A,-46.91865832071087,0
51-65,Male,Veteran,Mexico,-33.667676740168815,-24.060844411315962,B,D,A,-211.92857076683836,1
18-25,M,No,UK,78.05647878951268,-110.41975365105077,E,E,D,3.5907472798626805,0
36-50,Other,Veteran,US,194.7279337941932,-18.06777188347202,D,E,B,40.05693865697136,1
26-35,Other,Non-Veteran,Brazil,-38.16393414154036,-115.4584390936844,E,D,D,-136.7151023594868,0
36-50,F,No,Brazil,-17.00808244729175,125.75214741345626,E,C,A,163.3928055143309,1
18-25,Other,Veteran,Mexico,-44.49486630112818,18.84446564996896,A,E,B,26.648219223451363,0
51-65,M,Yes,US,-170.45337332950746,-46.68220577625061,A,C,C,-18.582611538022196,0
18-25,F,Yes,India,0.5876129771216191,15.43276704779459,B,C,A,-13.346836833826456,0
36-50,Non-binary,Veteran,Germany,-66.89646066334198,74.01566548484514,B,A,B,90.10700541303372,0
36-50,Other,Yes,US,-29.14511015067171,-139.64498624970628,D,C,D,198.0408961814652,0
36-50,Non-binary,Veteran,US,-15.991562442997648,125.20286200417705,B,E,E,-12.434201114561716,0
18-25,Other,Yes,UK,-10.349140167304443,43.974684139672355,D,D,B,83.86596120606352,0
18-25,Male,Yes,China,-64.19497813156221,-116.37355656162964,B,A,B,-63.027963136855014,1
51-65,Male,Yes,India,-83.73902365038738,59.5801632078403,D,A,E,-23.070006337060835,0
36-50,Male,No,Mexico,78.5065077600338,-167.82713883664982,C,A,D,76.39999661740266,1
26-35,F,No,Mexico,-91.91043091302272,-55.356467108684924,A,A,C,-130.89700580362617,1
26-35,Other,No,China,63.83873102761252,-130.10882808053802,B,C,B,-72.15305501946337,0
36-50,F,No,Brazil,141.29159242808447,-84.87773237242416,C,A,C,-277.59828313191286,0
26-35,Non-binary,No,UK,-69.89769607619584,64.39024229905418,A,C,C,-6.60285756268733,1
65+,Male,Yes,UK,61.913813755760536,69.24847720132774,D,C,A,178.80199302927892,1
36-50,Female,Non-Veteran,UK,12.55306755495311,19.759276223775444,E,D,A,89.89416648446485,0
65+,Male,Veteran,Brazil,307.8735163257543,56.75669747036144,D,A,B,35.21978546485938,1
26-35,Male,Yes,Brazil,292.5997264245282,-81.13138847056098,A,B,A,-41.38476629603074,0
51-65,Other,No,Mexico,-109.67917079423609,-157.67938349997394,C,B,C,-37.28962368811711,1
65+,M,Yes,US,-58.03756879855093,112.61685345914361,D,B,C,27.52588201341364,1
65+,Other,Non-Veteran,India,209.80795932065118,38.29703581911173,B,B,B,-84.6393830691965,1
26-35,F,Non-Veteran,Other,-24.924614559007725,-6.356506824458359,A,B,B,-51.899789629910565,1
26-35,Other,Non-Veteran,US,58.14445026810199,-50.33109061199621,D,E,E,-27.489627841821118,0
51-65,Female,Yes,Germany,82.59178248369979,-46.73345939207525,A,A,E,-92.11091264418235,0
65+,Female,Yes,Brazil,78.02132174328811,100.34630680725571,B,E,D,67.46773200211143,0
18-25,Non-binary,Non-Veteran,Mexico,2.966118604591259,152.7963123126604,D,D,B,16.922567794984715,1
26-35,Female,Non-Veteran,Other,91.817672256231,64.41370841231392,B,B,B,-6.919582344522512,0
18-25,Male,Non-Veteran,UK,115.0908122713909,38.217695863451354,C,E,B,-236.2956751114575,0
65+,Male,No,UK,-171.30053854521344,-38.65800204139014,E,A,B,13.048930070804127,1
18-25,M,No,UK,41.2878883709951,144.3793689899684,E,A,E,-138.88867865201027,0
18-25,F,Veteran,Mexico,-69.65935584741942,-191.14048458443474,C,A,C,105.28868084974079,1
18-25,Non-binary,Veteran,Other,-105.57536989143179,15.991273479449337,D,E,B,82.21660219741864,1
26-35,F,Non-Veteran,Other,-86.12412590261161,-139.37945601419105,B,D,A,-43.436443286495134,1
36-50,F,Yes,Other,4.9482932675797455,-146.84748969810897,B,A,C,-49.17349946634449,0
36-50,M,No,Brazil,-10.990574473548508,-70.26232238541567,B,B,A,145.2341251302481,0
65+,Non-binary,Yes,India,-19.438066056563205,41.84512295710703,B,C,A,-97.6352104867789,0
26-35,Other,Yes,China,-165.46249246178564,-91.63691465654921,C,A,E,11.682010632253165,1
18-25,Female,Veteran,Brazil,-81.90865402706015,116.13028322131333,D,B,A,114.12702930219629,0
51-65,Other,Veteran,Other,180.26529776674695,62.11616447964388,A,E,E,-143.41443843663438,1
36-50,M,Yes,China,-87.79043226788016,12.816612743904665,B,B,C,118.37730888641946,1
65+,F,Yes,China,-108.51338767265204,-67.22254737429361,A,D,C,-67.49829423048037,1
18-25,Non-binary,Yes,Other,-52.02280139732125,-87.90600866860731,B,D,B,-74.75609445277597,1
65+,Other,Veteran,Mexico,84.21287110424348,53.78676105803155,E,D,A,70.98240101910879,1
18-25,Other,No,US,63.66906663034524,24.453365981553922,B,A,B,-149.64633930894925,0
26-35,Non-binary,Non-Veteran,US,-120.67101025136935,32.8519763409075,E,B,B,1.7573202360655318,0
18-25,F,No,Other,57.1747966571722,24.64765030648972,C,A,A,-64.47383856036824,0
36-50,Male,Veteran,US,102.5945173380585,-42.48304584668048,A,A,B,-9.489961486637421,0
51-65,M,Veteran,US,23.872620076879496,55.252282767405845,D,A,C,-25.829272785921642,1
26-35,F,Non-Veteran,US,-167.92736957832247,-77.13771066030718,C,A,C,22.739787642410324,0
65+,M,Veteran,UK,-28.770957773048835,-22.060875488120953,C,C,E,19.97499537554965,0
26-35,Male,Veteran,US,130.86761664148636,42.974863227502816,A,E,C,64.23254951147645,1
65+,M,Veteran,Mexico,-51.872831512507645,-87.49875598719406,B,C,A,-29.07518138587649,1
51-65,Male,Veteran,Germany,-4.839716342095925,-69.58708950876562,C,B,D,-140.4530929419191,1
65+,Female,Yes,Brazil,-134.63284527442937,-2.854411060251593,D,E,D,-22.82053004629851,0
65+,Non-binary,Veteran,Mexico,86.1637158177187,42.50064916787627,B,A,E,-41.03033976034969,1
26-35,Non-binary,Non-Veteran,India,122.2605312667062,-46.678209487725994,D,B,A,42.77297780162982,0
36-50,Non-binary,Veteran,Germany,-31.289618314671714,49.24352559448118,A,C,B,-15.000215987661155,1
51-65,M,Non-Veteran,UK,-134.20794340395324,-43.9474982733574,E,D,E,43.69489138949737,1
36-50,Male,No,US,11.411596468407655,-101.74586742635093,D,A,D,169.0242549000281,0
51-65,Other,No,UK,-72.19302839839742,74.37767414118765,A,A,B,-44.512689204506984,1
26-35,Female,Veteran,Germany,0.672230110658819,-30.350138622231547,B,A,B,-102.00907657750116,0
36-50,Other,Non-Veteran,Mexico,-196.05514625580187,34.371860513413324,E,C,A,-37.863742460147506,0
26-35,Non-binary,No,Germany,-94.29801341502123,-26.87612553598202,D,E,E,46.7237902982681,1
65+,Other,No,Brazil,46.69172832022998,-259.6733030323023,B,C,E,-38.362398094766064,0
65+,M,Veteran,India,-147.96930263779387,-26.86192089668642,D,D,D,79.81747004950701,0
36-50,Male,Non-Veteran,Mexico,-189.88612601056644,-18.74684824950678,A,B,D,-70.7440504697564,0
18-25,M,Veteran,India,27.985898580702194,94.60107274033771,A,C,A,104.35581281992796,0
36-50,Male,Yes,Brazil,-97.31052413485418,-66.43998743041874,B,B,C,120.18163084659268,0
36-50,Non-binary,Non-Veteran,Brazil,125.68951028092347,83.02236720414233,B,C,B,-38.127216552372786,1
26-35,Female,Yes,Germany,-83.72953879399492,-264.7851709042997,C,C,B,8.318981538422763,1
51-65,Other,Non-Veteran,China,166.20023906943266,-129.2381244614306,C,B,C,5.1184348492296206,0
65+,Other,Non-Veteran,Germany,58.9871810110237,-138.54606529959926,D,E,A,102.72315922878626,0
65+,Other,No,India,-77.99806858270098,-169.3198438164081,D,D,C,-58.5649628983288,1
18-25,Non-binary,Non-Veteran,India,-137.95048641536968,67.74763469089382,E,C,C,-43.80765121027563,0
36-50,Male,Yes,Other,23.744319831362304,48.39383733336161,D,C,A,28.896764271427518,1
18-25,Female,Veteran,Mexico,-71.14198745215357,-61.46944915602411,D,E,D,-81.0880780006087,1
18-25,Other,Yes,Brazil,118.96934889063171,198.337066409323,B,B,D,-133.64679073200554,0
26-35,Female,Yes,UK,-220.59743017984937,0.399916659246292,C,E,D,-28.88360143565255,1
36-50,F,No,US,-10.739633398158078,25.94846969205962,D,A,C,-80.23536085755164,1
36-50,Male,No,China,45.172716958385585,5.3098214396712775,E,B,D,288.94854636497735,0
36-50,Male,Yes,US,-63.80753200083469,45.78024258946534,C,A,D,72.01744018931447,0
36-50,Non-binary,Yes,Mexico,-91.03225430684958,-2.123044499565513,E,B,C,-67.98263917634793,0
51-65,Female,Veteran,Brazil,65.59987056806854,-57.44154282646057,D,B,C,33.92452405680694,1
65+,Non-binary,No,China,-19.264843179229054,-49.46539387320497,D,A,E,22.245133060734613,1
18-25,Male,Yes,US,19.806908422869242,136.94336588115897,E,D,B,17.58942513785079,1
65+,F,Non-Veteran,Germany,71.66158804094427,55.48799743981061,D,E,C,133.84517504893952,1
26-35,Other,Veteran,US,17.431117039726143,139.48404488824778,A,D,A,160.56725169453077,1
36-50,Male,Non-Veteran,US,-22.2429077418277,-76.97887588072446,B,D,A,-41.86474970598023,0
26-35,Other,No,Other,127.020653922483,-171.9018836551302,E,B,D,49.586343940111114,1
36-50,F,Non-Veteran,China,-102.64058047808959,102.10471422825087,E,A,B,-158.79930603385773,1
36-50,Male,No,India,-165.32633200904593,91.97466166006326,C,E,D,154.60460162712332,1
18-25,Female,Non-Veteran,Other,-101.96889655705081,-137.99419263912148,C,B,A,152.6163414709654,0
18-25,Male,No,Other,33.81716503248649,86.67801464509695,A,C,C,88.2226250084171,1
51-65,Other,Veteran,Germany,-2.672932013165968,-72.06211112881114,C,A,D,7.15761383988551,0
26-35,Female,Yes,Brazil,-237.21126490664653,-127.48693978978936,A,E,C,34.22868615830199,0
26-35,M,Non-Veteran,Other,184.62015803799045,44.057863117472884,A,C,B,7.258554699657423,1
36-50,Male,Non-Veteran,China,-41.278913683892135,98.30887107414422,B,C,A,16.10642138260399,0
51-65,Male,Yes,Brazil,1.0354931511382206,-87.19952797309597,E,B,A,90.5375502171672,0
36-50,F,No,Brazil,-67.05066499668858,189.08680377743872,A,E,C,110.31577643715586,1
36-50,F,Non-Veteran,India,5.352738788980739,-98.73961526177528,E,B,B,11.690499626761461,0
18-25,M,No,India,186.70443192930915,-90.03833236971653,B,C,B,-82.53661776400149,1
36-50,Non-binary,No,Germany,62.38571379145306,62.9563424792892,E,A,A,85.98510294841763,0
