Nationality,Veteran,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,target
Germany,No,D,A,D,77.50319444882531,41.63010577022928,E,C,E,-147.50587930042354,0
China,No,E,E,E,-29.093136999631987,-185.13253299945458,C,A,C,133.45084486450298,1
Other,Yes,A,A,A,-99.22059803471481,-94.61549695271101,E,A,D,-85.08035683000065,0
India,No,E,C,D,150.0710303080566,-105.48145218134628,B,A,D,-17.612783752187237,0
Germany,No,A,E,B,-77.23042217683971,44.50617792282572,A,B,A,-116.5448644165223,1
China,Veteran,E,B,E,-163.61663957613723,-16.920393622378075,C,D,A,-66.95536255622538,0
Germany,No,C,C,A,-65.6453214456488,-84.7281261440409,C,A,A,112.53443005188385,1
India,Non-Veteran,B,B,C,-65.66608082007409,-61.37364352375677,B,D,E,63.19585235645431,1
US,Non-Veteran,D,A,E,-35.19987383875617,70.58916706233119,A,B,C,-44.657409497483144,0
Mexico,Non-Veteran,A,D,C,106.53033301239823,155.97655769756383,E,A,B,40.86380055920837,1
UK,No,C,A,A,-14.11902951424395,215.55065510072913,B,A,E,-212.7555133844415,1
China,No,A,A,B,-2.182024965870294,20.941064764172037,D,C,D,155.5059397355194,0
UK,Non-Veteran,D,D,B,-63.52678303771808,-55.273305376820936,C,E,B,-55.14401317115365,0
UK,Non-Veteran,D,C,D,29.29274790279574,-19.049507226147018,A,B,A,44.149074359105164,0
Other,Yes,D,A,D,-1.1049173431226589,70.6175585779147,A,A,C,60.89983686458342,1
UK,Veteran,E,D,E,-104.021473879068,-55.076002319960324,A,B,D,196.24608815102778,1
China,Yes,A,D,A,87.09751228046856,40.57022698390349,B,D,C,-109.3076411237945,1
Germany,Yes,A,B,A,130.50741268914493,-6.772577713580461,D,D,D,50.752329207569915,0
Germany,Non-Veteran,E,A,D,-143.45665703330704,-73.49078003729174,C,D,B,-111.4367936262195,0
Germany,Veteran,E,D,E,74.49801461498738,15.156000421595392,B,B,B,214.77798866606543,0
Other,Non-Veteran,A,B,D,89.18268950790991,5.044578208750214,D,D,D,-28.23133443737505,1
Brazil,Veteran,D,D,B,-55.49245838323576,-146.0192463998698,C,A,D,-2.524947672611555,0
India,Non-Veteran,B,A,A,61.717089318473604,145.34236947830064,B,D,E,116.2117045459325,0
Germany,Veteran,C,B,D,-40.796246481109115,-0.04662488285894345,E,A,E,0.30165300445948495,1
China,No,A,C,C,7.5162947330988255,-239.8443615921571,B,B,B,-53.78220504582942,0
India,Yes,C,C,B,-130.93394109997746,129.86368986651837,A,C,E,224.58657606335927,1
China,Non-Veteran,E,A,B,-114.0640901392557,17.877774529182226,B,E,A,-121.54184611009615,1
Germany,Yes,A,E,B,158.45459512042515,-86.36289451609721,C,C,C,-90.42855279248667,0
US,Veteran,A,D,D,216.5198911358162,-85.192199049636,A,B,A,81.00341527254187,0
US,Veteran,D,D,B,-10.993833128421874,-202.57105187879532,A,E,C,45.77043849217809,0
US,Veteran,D,A,B,-56.20629394771156,49.63904377047423,A,D,D,-51.659356066445625,0
US,Veteran,C,D,E,226.03109585019286,271.38961948880177,D,E,D,76.26453726974734,0
Other,Non-Veteran,C,A,A,-144.67842096109965,44.46377160313082,A,B,B,22.293029580885733,1
Brazil,Yes,D,D,A,203.05126673108433,-131.25977980625322,B,C,A,-198.7236154614649,1
India,Yes,B,B,B,-78.61073132521209,-224.11397172875823,E,D,A,226.57521156913393,1
Germany,No,A,C,B,-209.8715981917723,-145.27211240447375,E,E,D,-65.41187374473286,0
UK,Yes,C,A,D,2.239671208764714,-67.38379383082741,A,C,E,-142.63825289992891,0
Other,No,B,B,D,40.25102727512292,-20.577583952124723,E,D,E,69.02932904077298,1
Brazil,Veteran,A,E,B,64.32351607018649,-55.51139489525635,E,A,A,126.864449146099,0
Other,Yes,C,A,E,-119.89345953645953,-60.01390806054692,D,B,E,145.6737417367359,1
Other,No,B,C,A,193.9344039889051,-18.555430742297073,D,D,C,27.44655561341409,1
India,No,D,B,C,-85.44111290488172,-38.8247760229802,A,B,E,-89.27695153556132,1
Mexico,No,D,A,B,-14.597988633766532,2.989308551380573,E,A,C,50.07699918758751,0
Other,Yes,E,E,E,149.17473092636783,73.03124540522099,C,D,C,-87.27464625945146,0
Brazil,Non-Veteran,E,D,A,-84.72022168821438,-51.22804946639678,D,C,D,-35.45114014756632,0
Mexico,Non-Veteran,B,B,B,-58.70189403168573,-35.935787411739035,C,B,B,134.07915901680576,0
India,Yes,C,A,E,109.2274340577763,33.51295334954969,D,A,B,25.410641722383616,1
UK,Yes,A,A,E,109.45477878383056,6.4367831957443205,C,E,E,-75.23110612973699,0
UK,Yes,D,C,E,-254.29130625767993,116.69310209997195,A,B,B,-31.66510172844696,1
India,Yes,D,B,B,-67.80639402964377,63.915149465175205,D,D,C,-113.79190668781314,1
China,Yes,B,B,B,-10.27163365532817,90.15895879706011,C,D,C,-97.44261125880108,0
China,No,C,D,D,-46.02512249428571,-32.190668899749596,E,B,D,10.360743716316666,1
China,Yes,C,C,A,-9.211783455993638,125.20628188934253,C,C,A,90.69286832771624,0
Other,Non-Veteran,A,B,A,142.17966529302936,170.04212956317127,A,D,C,37.72817805865677,0
Brazil,No,A,C,B,-28.16340382587222,-154.20593103043794,B,A,E,-97.69887424163156,0
Germany,No,C,C,C,-93.73821625692163,96.00871119736014,E,A,E,72.59092154971715,0
China,Non-Veteran,B,E,B,-60.752537384328356,92.77482076138864,D,A,B,146.06228286864797,0
Mexico,Non-Veteran,D,C,D,-28.23737314960227,137.67050096184255,B,E,B,217.2248864078174,1
US,Veteran,C,A,E,126.94048567267498,236.64242528660546,A,D,B,-72.03596721250628,0
Brazil,Veteran,C,B,B,19.651023672530005,91.40708892010964,D,A,B,-24.749457618125007,1
Germany,Veteran,E,E,D,-72.4508298059034,-13.779369486955975,B,B,B,0.10531222364364334,0
Brazil,Veteran,A,B,E,97.27770032666491,58.670870711424485,C,D,A,52.58652194923735,1
US,Yes,B,E,A,-35.79609978600446,-55.356760368495515,E,D,D,65.02766173402833,0
Mexico,No,D,D,E,-67.83129001809203,-192.58990266721844,A,B,A,-95.08376970844091,1
Brazil,Yes,E,A,A,6.828866148290226,-28.901435506286088,C,E,B,155.58756042662822,0
US,Non-Veteran,E,A,C,-140.32744351966596,105.23978833608709,E,D,C,161.3728964798855,1
Mexico,Yes,E,C,D,-129.4424426637334,-12.739335506454132,D,A,D,50.20825641110028,0
Brazil,Non-Veteran,A,C,A,12.520823430219243,135.95657055796352,D,C,E,-100.88972062856084,1
India,Yes,A,A,E,99.37020425358111,67.7915403312806,D,B,D,78.40840353139367,0
Germany,Non-Veteran,B,A,A,110.54350302552065,183.86779251027556,C,B,A,24.379124508504777,1
Mexico,Veteran,A,E,B,170.53603101452515,12.315921928959046,D,E,A,-45.60514255373261,0
Brazil,Yes,E,C,C,46.91737508780572,44.485294746838335,C,A,A,-77.9369721451356,1
Mexico,No,A,D,E,-103.47148122423037,49.10689468430425,E,C,D,-68.78582997882384,1
UK,Yes,E,C,E,-56.38807950024392,33.76188200308371,C,A,A,71.10246733468702,0
India,Veteran,D,E,D,-215.35007412613183,26.35749149322404,B,A,A,296.92769005957274,0
UK,Veteran,C,A,E,-156.41462243460742,33.41913543516648,E,D,D,-88.38246636125821,0
Brazil,Non-Veteran,B,C,E,250.31111504095543,106.36281615957235,C,D,C,73.27836071058445,0
UK,Yes,C,C,A,-38.350567866078485,30.47571022991167,C,B,A,-51.37081625443031,1
Germany,Veteran,E,E,D,-96.91256528576932,203.35238124925075,D,A,C,117.37515677887002,1
Brazil,Yes,E,E,A,-79.81653590344568,33.442401278296025,D,B,A,-14.690519330476699,1
US,Yes,B,A,D,206.5580605726023,41.48372596686778,D,A,D,46.59546862534428,0
Other,No,B,A,C,54.37252433369414,-59.651556975393625,D,B,B,-56.14053039638615,1
China,Veteran,B,B,A,-18.931426846067858,-74.74174292164231,D,A,A,-162.09853374170098,1
Brazil,Veteran,B,A,A,-25.670456745475175,-2.026628732253351,D,C,D,67.41854203234901,0
Germany,Veteran,B,A,E,165.61324108620767,-231.04907102188167,D,E,A,87.2577722286847,0
China,No,B,A,A,-25.395647617796367,3.9109782690239294,B,B,D,-5.078702322688609,1
India,Non-Veteran,B,E,A,-91.75158536644258,106.42225598358495,C,C,A,22.673710420013297,0
Germany,Veteran,C,D,C,102.0801405736472,-147.09019102808116,E,C,D,-64.1710209045527,1
Germany,Veteran,D,D,D,69.30420853981528,99.75646421496309,C,C,A,-49.79940260971353,0
UK,Veteran,E,A,D,-73.71227570905869,18.141797506917097,A,D,B,-74.39417817526434,1
Other,Yes,A,B,D,-22.810184522574826,-260.3355148075093,C,E,C,-81.22356790211062,1
US,No,E,C,B,-150.58911390099257,-0.28953747689854686,A,D,B,-55.034602748083294,1
Brazil,Non-Veteran,C,B,B,28.90534555926903,-48.85046256929782,D,E,E,-188.08941890920735,0
US,Non-Veteran,E,A,B,130.93183607952736,116.38044032009596,C,B,E,29.263331780609814,1
Brazil,No,A,E,C,-113.60118325619202,-44.80520762988242,C,B,D,128.62149877531573,1
Brazil,No,B,C,C,-155.4244821566895,-20.438416431532417,E,A,C,29.656031761054113,0
Mexico,Veteran,D,A,E,-45.24293020071964,79.53978342838472,A,E,D,-44.45762074424238,1
Germany,Yes,A,D,C,52.451695382520434,107.22677333715134,E,A,A,-174.32411467892516,0
India,Non-Veteran,B,C,A,-43.439874755830715,-18.980115067992784,C,A,E,-46.41106762404238,0
China,Yes,D,A,D,-155.73107112464413,-51.25375439925385,B,A,E,63.227743794877526,0
Germany,Veteran,C,E,D,-72.8079524381161,91.34628717231563,E,C,E,-130.7963560206163,0
Other,Yes,B,D,B,106.65541092127555,-24.12195824745991,A,B,E,117.27343702329244,1
India,Yes,A,B,A,-203.5219620827279,-152.0154085048467,A,D,B,-196.3303706049579,0
India,Veteran,D,D,C,-49.54412931055063,-69.28742840358704,B,C,B,-118.4220997558231,0
US,Yes,C,D,A,-60.545245115551026,-47.94728627872762,C,A,D,-10.013143252690583,0
UK,No,E,E,D,-129.1353303973533,-93.84089252708712,D,E,A,64.36513627724726,0
India,Yes,A,E,D,85.23736145938926,74.05771244474488,B,D,C,-58.62286309999754,1
India,Non-Veteran,E,D,E,-111.16385553298743,40.70034795878744,A,D,A,-37.38758182048604,0
Brazil,Non-Veteran,C,B,E,149.72637454401792,10.667473051568484,A,C,B,82.76361114930084,1
India,Yes,D,D,B,163.4849460732059,-32.43827781813247,C,D,D,-138.58890874538926,1
Other,Yes,E,A,B,92.64098468137949,-54.83577739555635,A,B,B,-154.22626051238808,1
US,No,B,B,A,-84.39477519710672,-79.98731512870748,A,D,E,-177.5168790066667,1
India,Non-Veteran,B,A,D,-57.76792598319713,-52.37057450678703,E,D,E,-172.00201222240418,0
Brazil,Yes,A,C,B,-120.91040747411151,19.067008427289778,D,D,C,9.947307320495813,0
UK,Veteran,C,E,E,65.51864665136611,-18.195780540667986,E,C,E,-29.143565057380883,0
China,Non-Veteran,B,B,E,-119.63637940937389,-157.03082113701788,E,A,C,94.73032979727057,0
Brazil,No,A,E,A,262.915618609158,-226.73015307375567,C,A,B,102.94182313913231,0
Brazil,No,A,A,E,-33.42236475634288,-1.544045575876433,E,E,A,-61.56354683276171,1
Germany,No,A,A,D,27.20661288350839,280.3869636051317,A,C,E,115.0144440523965,1
Mexico,Veteran,C,D,E,-59.53212549159197,-10.726869114490707,C,A,B,-66.26336769156686,0
Mexico,Non-Veteran,C,D,B,-46.03455893454448,132.44920441800647,A,E,E,58.36927064731105,0
Mexico,Yes,B,C,E,145.54577864796616,25.690881637167205,A,B,A,134.50448426865563,0
Other,Non-Veteran,A,D,E,34.19133951892334,17.43761658133263,E,D,B,215.83585787119316,0
Germany,Veteran,B,E,C,-3.5411747891221426,-54.43342416204238,D,C,D,-47.110218033382154,1
Brazil,No,D,E,A,49.39662033239169,-151.48945502639614,B,B,C,-59.394609019185104,0
India,Yes,A,A,B,96.32645988324543,168.61420981491122,A,D,E,61.76581537367538,0
US,No,E,E,A,-161.84545734644416,32.499950816370855,D,A,A,-108.1408748896787,0
US,Yes,B,C,A,-50.71439644434579,29.79318261457646,E,D,B,-217.73330414761838,0
Brazil,Non-Veteran,B,D,B,116.70178605392363,0.14228326237762015,C,A,D,144.0245224974348,1
UK,Yes,D,D,D,83.61220772096773,80.17672063548153,D,E,A,-48.4696732441866,0
Other,Yes,B,A,A,-66.94266006274466,-162.58492399653147,B,E,D,-53.042967094176284,1
China,Yes,A,E,C,-64.28193627548106,99.47790059188334,C,D,A,94.70319464094061,0
UK,Non-Veteran,D,B,B,55.03776378771161,175.18463749889858,A,B,D,-88.40703123405437,0
China,Veteran,D,A,A,1.6684021169493368,-18.571872319327635,B,C,B,-114.34044803643582,1
China,Yes,C,E,D,-153.55801235293615,-120.285101850265,A,A,B,53.95049776468296,0
UK,Veteran,C,A,B,45.75762720987001,78.78636038503873,C,D,E,-80.82453642338261,0
China,Veteran,E,C,D,-6.453853247232084,-34.915457388353104,D,C,E,-18.886364726297227,0
India,Non-Veteran,A,E,B,55.39742812700725,-83.74544698528567,B,C,C,-78.1937270399594,0
Mexico,Yes,C,E,B,-94.55260326399109,-35.57778825430679,A,A,B,6.581999972653538,0
Brazil,Non-Veteran,C,D,C,-29.346578231810728,12.523204300452925,B,B,B,-66.12293665879452,1
Other,Veteran,B,C,E,-26.323408314400588,-26.25499414697551,D,B,D,3.601798124596747,0
Other,Yes,C,D,C,-175.7704765350318,-98.02568116782928,E,B,E,-51.052987180433476,1
Mexico,Non-Veteran,C,A,A,-62.796610945053864,16.937327958337203,D,A,A,123.9348248077407,1
US,Veteran,B,C,C,89.84014006699958,184.5205725458484,E,C,E,33.824320210231356,0
Germany,Yes,E,B,A,-88.01897483433277,-41.79858474702015,E,E,B,162.06499693176187,0
UK,No,B,D,B,20.058996903598928,-147.30132074107127,E,A,B,-179.5149163907177,0
India,Yes,C,E,B,-63.441314635640076,33.858343630453355,D,D,D,178.17109057563744,0
India,Yes,B,C,B,-57.25169525202381,176.41000359585905,B,D,B,74.97509199533583,1
Brazil,Yes,D,C,D,-140.80857066030796,32.55501860075181,B,B,C,-79.5310750188724,0
US,No,C,C,B,-115.5719389917448,-245.67945171907897,B,C,B,-72.16226983115493,0
Other,Veteran,C,B,D,194.41247697369494,-48.41148372215986,E,B,B,150.30915777268058,0
Other,Non-Veteran,A,D,B,275.5553887984846,-198.87315238057027,D,D,A,37.15681756082251,0
China,No,C,D,E,15.767771056795407,-29.45351762044673,A,D,C,-279.03349552973367,0
Mexico,Yes,B,B,B,-67.60877463721685,-78.08986485399386,A,D,E,-45.82248441853855,1
India,Yes,D,A,B,23.104009321957548,38.01179254067242,B,E,B,-263.2246258952785,0
UK,Veteran,A,A,C,21.31578954817115,62.9149518219835,B,C,C,-93.09288030346751,1
US,No,B,B,E,-80.44544936597995,-55.16040688225255,B,A,C,112.0623110339076,0
UK,No,A,B,D,47.03719196066211,-45.17340077322901,C,E,D,-157.80209849144248,0
Brazil,Non-Veteran,D,A,A,65.61640119030568,92.25404791639163,A,C,A,178.30406136152072,0
India,No,E,C,D,58.081531097118486,197.88959013952808,E,E,D,34.528745570088134,0
Brazil,Yes,A,A,B,-38.998519466993464,77.119976996393,A,A,B,23.786213525536994,0
Germany,Veteran,B,A,A,-15.078548628157243,-34.07075528981606,C,B,A,38.161272405618334,1
Other,Veteran,E,D,D,104.37171698192451,218.4730824137916,A,C,C,-150.0965751579551,0
Other,No,C,B,B,-28.42329582315195,26.06649050474755,B,C,C,78.98495535850995,0
Brazil,Yes,E,C,B,85.59263102227986,8.977123277352177,C,B,E,-208.40288436521152,1
Mexico,Veteran,A,A,D,45.13914805836003,-5.777740572586132,D,B,D,225.46593401689665,0
China,Non-Veteran,E,B,D,-95.78802800886803,-82.5265486647046,D,B,A,-66.73558669581777,0
India,Non-Veteran,C,D,D,56.000297213751125,60.20112537948519,C,D,B,26.37199792754575,1
Other,Veteran,A,D,E,-73.76835565123561,-103.46789543162815,B,D,D,60.84485155996317,1
China,Veteran,A,A,A,14.636115065373456,47.612554713200026,A,B,E,2.95671521255415,0
UK,Yes,A,D,D,-153.26115492450208,-36.36270066769339,A,B,E,30.672332850307154,1
India,Yes,B,E,C,101.62041723749282,21.886236011878133,A,B,D,243.00205151725888,1
Other,Non-Veteran,C,E,A,155.0461183757029,20.242954675224414,A,A,A,3.849377281788742,0
Brazil,Non-Veteran,C,B,E,3.2433206065717655,251.7688602063955,B,B,D,-59.048469896475865,1
China,Veteran,A,E,B,-31.082930647989375,32.15656487633278,C,C,A,-28.33358656724812,0
Other,Non-Veteran,A,A,B,134.68285849646713,-60.87737948191445,C,D,A,37.421118724281435,1
Germany,Non-Veteran,B,A,D,6.024087477641308,164.65938388283303,A,B,B,-94.67185859896232,0
Mexico,Non-Veteran,C,D,E,-125.4193507432882,-117.15836386982392,B,A,B,108.22176693335572,1
Other,No,D,E,C,25.21726172938319,98.74375465135398,B,B,D,-238.8605445899575,1
Mexico,Veteran,D,B,A,21.546934427729767,-92.09009520841764,D,E,E,-73.26045846520027,1
China,Non-Veteran,E,E,E,-57.58535034965939,219.96468714788503,A,C,D,26.079085052130623,1
Other,No,C,D,C,50.0461324397685,-242.89435265992608,E,D,E,-39.76961515349415,1
Germany,Veteran,D,C,D,160.42113841573968,-176.83203235970493,B,D,B,-55.871978680214006,0
Germany,No,C,D,E,-53.58549890815656,47.531149850138796,E,B,E,37.09614373730401,1
India,Yes,C,E,C,16.811201085209916,-27.756820510934798,B,C,A,-55.968567917597746,1
China,Non-Veteran,D,A,A,43.87360377275626,18.165048697073978,D,D,B,87.79638476427958,1
Mexico,Veteran,B,C,E,119.81785350487316,107.19996738267218,C,A,C,4.007065393604177,0
UK,Non-Veteran,B,E,E,2.355766011117215,-21.52913944508714,C,D,D,-165.64255682169872,1
US,No,E,D,B,-128.6835973626772,50.61939629338147,A,A,E,-104.61039967824223,1
Brazil,No,E,E,B,-57.28712600846353,172.2703503539305,A,C,C,92.17877607595045,1
China,No,C,D,E,178.33957258571414,-87.505239624603,E,E,E,-29.445100902059384,0
Mexico,Yes,D,D,C,39.45005065726501,-3.0726968302671467,B,C,D,59.668535659353005,1
Other,No,A,C,B,-39.08946911323327,30.7974502507826,D,A,D,90.40143641403833,1
UK,Non-Veteran,E,D,E,120.9420556947375,-77.45216380915441,A,A,D,116.28172626598052,1
India,Yes,A,B,B,-53.9546985354159,82.21835882586751,B,A,E,8.649367526142097,1
Brazil,No,A,D,A,20.286622368879346,-8.796123938784804,D,C,C,-25.470780995123093,0
Mexico,Veteran,B,C,D,151.15057467659832,-158.65893403555435,D,D,E,-97.65824019905033,1
Brazil,No,B,B,B,-64.18899854202625,-124.81805122447376,A,B,C,-40.93331707541361,0
Other,Veteran,E,C,A,25.904022740402244,-92.0497766962288,B,E,D,14.859453097874653,0
US,No,E,E,A,-149.70892285532798,20.22638824611817,E,A,B,-83.253517863057,1
UK,Yes,E,C,C,-12.679045798177407,-68.94349044237661,B,B,D,-78.27768107039223,1
Germany,No,D,D,C,32.36110071906679,191.20583892575237,D,D,C,-344.7221333411252,0
Mexico,Non-Veteran,D,E,D,-19.012032396672055,73.63485551135636,C,E,B,-48.714828501588606,1
Germany,Non-Veteran,A,A,E,-80.01760047602086,178.60983267047885,C,D,D,-48.544462077183674,0
Mexico,Non-Veteran,C,B,E,37.62025240936314,70.66018668087791,E,A,D,-21.800362699196803,1
Germany,Yes,C,C,E,38.7919427764055,-49.70490617590965,B,A,C,-75.29335949029937,0
China,Yes,A,A,C,103.73263241714683,51.4434427456551,E,B,D,-116.47531149940981,1
Germany,Yes,A,D,C,7.689916840264753,-1.4820059245968944,A,D,A,-57.792828108025375,0
Brazil,No,D,C,E,-129.98202084245813,-3.542040248835933,E,A,A,-73.5276100919609,1
Mexico,Yes,B,B,C,-127.19793842472129,-12.054143687879126,D,E,D,-78.87325659914546,0
US,Yes,E,A,A,46.02968973497021,85.49544759641692,E,D,B,-33.019336500886794,1
Other,Non-Veteran,E,D,B,-54.40853546287343,-13.703622659278453,E,A,D,113.00757504578387,1
UK,No,C,C,D,48.39562232307907,56.16354280933208,C,C,A,-129.81158471064379,1
Other,Non-Veteran,A,B,A,152.42037628784468,-31.62260797057508,A,D,D,34.4175406655508,0
Germany,Non-Veteran,B,E,C,-258.307491880702,-3.698851377450031,E,B,A,-34.10141649165737,1
UK,No,E,B,B,-14.1284260624624,7.703896619003967,E,A,A,36.219142480628896,1
India,No,A,E,D,-124.01557963578381,-47.98928199821475,C,D,A,100.07268448012745,1
India,No,D,E,E,-136.99795430921824,-0.9557470779788931,C,E,C,-22.82646218929891,0
India,Veteran,C,A,D,-36.233510148242466,14.72706316239767,C,D,D,-15.194189777172346,0
Other,Yes,D,B,B,-98.5571980799408,4.281312879092755,E,D,D,-49.98443276184003,0
US,Non-Veteran,C,E,B,-130.1160709334764,-2.2683232423762476,B,E,B,110.38576403453165,0
Germany,No,B,D,A,-94.70269894561842,-4.439316312086065,C,B,E,-131.45860390886585,1
UK,Yes,A,C,D,147.52965601323103,-80.14949908359648,C,A,E,-60.83960161818558,1
Germany,Non-Veteran,B,D,B,310.76646059394443,-179.6929040919211,B,E,B,18.32730737519538,0
India,Veteran,B,A,A,-82.82612075654555,141.63625492224125,E,A,D,126.88248579952214,1
Germany,No,B,E,E,-90.96023414009287,49.583273425120154,C,E,D,117.7564405349548,1
US,Yes,D,E,E,111.92308712574285,48.80002087768835,C,B,B,-74.83414610287726,0
China,No,D,B,B,179.79371541028058,-65.59444421512977,C,A,E,-218.24439993519232,1
UK,Veteran,D,A,C,217.48293762462905,-11.01893953780069,B,C,D,152.74728593144374,0
Other,No,B,D,A,-88.79442418033692,129.10294912620907,A,B,E,57.89770365227269,1
Mexico,No,E,C,A,3.8811954514364158,-80.84818641671053,A,D,A,-67.11984330721413,1
Other,No,C,C,C,110.68592176945515,-53.23189497714822,C,B,A,1.2890119034656258,0
UK,No,E,B,B,2.264227122135057,-58.94064830080698,D,C,A,7.5467302138632535,1
India,Veteran,B,E,E,-63.08431545428931,-0.739772169546527,A,C,D,-19.618730412320623,0
Other,No,B,D,A,55.2232227510835,70.70268589742828,C,D,A,0.8024198915409915,1
Mexico,Yes,D,A,E,167.21189905939926,-26.470050602026777,C,E,C,50.504725822622554,1
US,No,B,E,A,34.29374974758998,-10.37888843513326,B,C,A,-89.74771261121856,0
India,No,B,B,D,-46.59139390591894,292.1688794132947,C,C,E,10.978192086912626,0
India,No,D,E,D,236.47975529335113,-5.065556202547795,A,E,A,35.00490954709765,1
UK,Non-Veteran,D,D,C,8.506725689047242,-70.4785073188946,B,C,E,-49.56325633331112,0
Brazil,Veteran,E,D,D,-223.48513956522478,17.57548908256544,B,D,D,23.01237031379266,0
Other,No,C,E,A,182.3284872360186,51.47518679075404,D,E,D,72.45359244867142,1
UK,Yes,C,D,B,-107.20477334417315,51.369100698585314,A,E,E,-128.49121025156768,0
UK,Yes,E,A,D,-52.82645606500381,-44.48778137720226,A,C,C,-23.61083852206126,1
Other,Non-Veteran,C,E,C,87.48830481042374,99.88142295114972,D,B,C,-75.13526524798606,0
China,Non-Veteran,D,C,D,-102.9763079022707,156.42916054813116,A,D,D,94.51712322176768,1
Other,No,B,D,E,-66.37035698647816,153.22885774869522,B,C,B,-161.00497558703006,0
China,Veteran,D,A,A,-15.001303839014623,3.6688387643015603,E,A,B,-115.46982146623603,0
Other,Non-Veteran,C,E,A,-26.7380868969043,151.5070243430459,C,B,A,-13.15911855185712,1
Other,Veteran,B,A,E,192.9387496239546,30.604533815385583,E,E,A,117.85475061206894,1
UK,Non-Veteran,A,B,E,169.1138059889413,22.67036612764459,E,B,C,-100.72342870147604,0
Brazil,No,B,A,A,-154.28599599031162,-93.89446138951203,B,A,D,-12.728940468048213,0
Other,Non-Veteran,B,C,D,131.5038650794583,32.703626056603454,D,D,C,11.145261933302455,0
China,Non-Veteran,D,C,C,130.9303714046721,19.788495311195035,D,B,D,141.615639714083,1
Other,Veteran,A,B,A,-44.17976014379258,-10.973293574767332,A,A,D,175.61692350036586,1
Brazil,Non-Veteran,A,E,A,-50.39442039507194,-22.719809908574405,E,C,E,24.91701809242204,1
UK,Yes,A,E,C,-153.79019072617524,191.79725864707643,B,E,A,118.46730695532446,0
India,Non-Veteran,D,C,A,-3.492517624037813,242.70827633160604,A,C,C,-74.94804227638797,0
Germany,Non-Veteran,D,A,B,144.2664082755055,56.970096928692456,B,B,E,117.05668282480906,1
US,Veteran,D,B,D,-32.63295449038896,-11.59302837970682,D,E,B,111.11797754561408,1
Brazil,No,B,E,A,84.08883295992356,121.20032346648806,B,B,C,-38.94047473900074,0
India,Veteran,E,C,E,-107.32114610720215,-61.19909378014721,B,A,D,-233.01154081656486,0
US,No,E,C,A,197.44062202197273,-3.741676217869926,B,C,B,-30.6787451673591,0
Brazil,No,D,A,A,-40.68694366296807,-32.759717246973025,D,D,B,39.02329786336099,1
Germany,No,C,A,E,-108.62350178802316,-24.859165302118164,A,A,C,172.5362270329267,1
Brazil,Yes,E,E,E,43.74508989346285,151.80937735487444,D,C,A,90.46316150465671,1
Mexico,Veteran,E,E,B,-131.39580356711383,22.771219154654336,D,A,E,-82.78429322584975,0
US,Veteran,E,C,A,-17.04807456297963,-176.37659898947499,C,A,C,-60.48947890814769,1
Brazil,Yes,E,C,A,65.49669938950693,72.59327401456503,A,A,C,158.2578153847429,1
Germany,Veteran,A,E,A,-70.23668319647574,-21.761067075122195,B,A,E,-0.4984130216854001,0
UK,Non-Veteran,C,A,D,-71.79119666554888,-92.99327052611986,A,E,B,18.798218053439747,0
Germany,Yes,D,B,A,-124.77690852531657,-45.90399388312311,C,B,E,52.8955794173264,1
Other,Veteran,A,A,B,-68.40282702354973,-91.53404247574431,A,D,D,-27.36553535798027,0
Brazil,Non-Veteran,E,D,E,-45.744356011795965,-9.603633221500557,C,A,A,-29.564402640994768,0
Other,Yes,D,A,E,2.972451947871178,68.11178059676462,C,B,A,21.644178666573165,0
Germany,Veteran,E,C,E,25.577957276726345,-30.09541253709932,C,C,A,-158.22108917481853,0
India,No,C,D,A,-38.26989313369099,-125.19909900300381,E,C,A,19.966097497611706,0
UK,Yes,E,E,D,33.738755818911926,88.50504983388234,C,D,B,76.76664573648883,0
Brazil,Non-Veteran,B,E,C,11.808335153550042,27.342410985296002,C,A,A,-166.2686695979375,1
Other,Veteran,B,A,D,15.22621193144838,81.17526423095191,B,A,E,-128.02356590372608,0
Brazil,Yes,D,D,B,-171.24496003224175,43.55062733629632,E,B,A,34.70355039195467,0
China,Veteran,E,E,D,137.87740409502624,-40.858729026926795,D,B,C,-0.4789895941884423,0
China,Yes,C,A,E,-173.25240862543242,14.55676887584306,E,E,B,-8.485154903712036,1
Germany,Yes,C,D,A,-40.585175173521385,49.531527084651486,D,E,E,77.4450425134666,1
India,Yes,A,D,E,-76.18212339169304,180.5500956448476,E,B,D,-147.6634601822016,1
Other,Yes,D,C,E,-50.28213329243434,-66.96965540202797,B,A,A,-156.8192163183604,1
India,Non-Veteran,D,B,C,-91.29430468143435,-51.75231017127525,A,B,A,-13.430336308186746,0
UK,Yes,B,C,A,53.17344579941567,-149.9137555212888,C,D,C,-39.60060897497648,1
US,Veteran,B,C,C,-100.30061221767039,-1.6853069709607926,E,C,D,-171.22384719495284,1
Brazil,Veteran,E,B,B,29.512747623297198,-42.70418392932814,B,C,C,138.82127041642124,1
US,Yes,A,C,D,-61.157435052136336,45.73995264264184,C,B,C,-181.51690362942153,0
UK,Yes,E,A,C,123.18429916854097,-58.24592786324617,B,C,D,92.99525967964088,0
Other,Non-Veteran,E,D,A,-111.69255829926482,-6.855538944570559,B,E,D,58.88350272550613,1
