age_range,military,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,target
36-50,Veteran,-122.92942019989958,-116.20071033187051,-12.73414859041967,-132.5837633929628,-96.9132744547512,E,E,-2.1553846499411593,121.72285670002555,C,46.08514645324973,103.31947423061567,102.01219804314856,90.2221544772304,162.8479496563325,16.78351899535666,B,D,101.92322017786194,0
18-25,Yes,251.22816715594664,-191.2595012172701,54.12141990600985,-14.706710718798648,-142.194751035787,E,D,33.26424811456544,-45.97442691050234,D,-220.68855283108041,-23.574728139839948,103.34050448008875,-41.370151804581624,-31.81678100575961,73.01738330329583,E,A,-34.17935106294019,1
36-50,Yes,118.50011671736888,-67.30861268098836,77.55744015137485,131.77831657621255,46.43346874604495,B,B,-33.91119954760294,115.69957497484016,C,-237.09674942644585,140.41324773106018,-128.40703387898148,-56.810146365610514,-149.24783357660633,96.39028244637912,E,B,-12.733353029617126,1
18-25,Non-Veteran,-46.992649713337286,-118.45284910328446,34.94922238167041,-141.19251509491463,80.89898684200608,A,E,79.75752627014454,38.396727737670794,B,-141.7025585438804,102.71511023960768,-25.445842133973866,61.53387400884106,34.68942769700533,2.3680235838008272,B,B,-68.88431681454567,0
26-35,No,-16.70534500439487,23.27713460740058,-64.34767563337466,17.104799649900517,-13.824616340672948,E,D,-40.19536942698031,-78.71838249391587,E,-105.55778934555755,40.77987052165778,265.9179359828017,31.83034035181855,141.2091893275541,87.1398990416307,A,A,-48.767049743553486,0
36-50,No,-44.16627537531139,14.869150221356461,79.73023775274783,49.67584074916308,110.27286201549241,B,D,-161.23263153787948,-31.448707581369824,E,-23.66816598464837,-13.491161245388733,207.18187271605316,128.55708852284536,-238.04455583867997,40.219704606984436,A,E,-191.0395158637153,1
18-25,Yes,115.59217096154877,-114.76277395661954,-20.557274272469524,104.19594249184851,41.60655163234049,B,E,-138.04249262627073,-132.34273062696215,C,159.2596017602692,114.07337703854745,38.59992980958394,-84.51314182413269,23.886058978855278,-51.8398599161766,B,E,-48.11440395379244,1
51-65,Veteran,-254.8329993660932,34.796363111612436,-89.97134884962225,90.54035956866501,42.70226655032393,D,D,-154.29859158266788,-110.09639897282983,E,-31.332209654346453,23.8282959525535,127.98207271428012,-198.67371914076378,-41.54794109362822,-132.58569190272965,A,C,-37.68261417716824,0
51-65,No,-27.564637567429124,-56.44325366634596,31.6600407635686,-17.91110490855067,117.35182145291816,E,E,27.130299730984948,29.160489171011257,D,4.188582463638172,15.787306090592931,-194.77600042292536,-66.07913067397337,-12.57102001719369,-25.307778139774488,C,A,132.4804400434255,0
65+,No,-42.735269216588044,41.753553590444106,-51.866652686742,44.2682826800755,58.55967513014873,B,A,-70.76811169317565,-73.44141941905127,D,159.96772738116664,-49.15156819652373,124.6435685713212,20.408839131904625,-13.639037149267688,-64.11807738142345,C,A,-2.0745076547412715,0
18-25,Veteran,8.193146636737007,-177.20532611563212,-26.512295797177465,-73.77720244972478,89.92580769093081,C,B,48.77528218875267,126.35580517928813,B,12.885966622899323,122.95822930826883,-3.615416885954962,11.617202149350774,65.09776646458522,-139.63931489544484,E,C,-61.6311446849371,0
65+,Non-Veteran,-84.60252682576336,-30.52979501771175,-68.5477726550017,-88.86467273849496,100.5064204147764,A,A,33.15736331091066,155.4357636885195,E,72.21935756118914,-38.60068605514581,3.8976844097696612,-107.2923797976772,13.461723234231696,-49.79254564584619,B,B,-24.102330356692274,0
26-35,Yes,-100.60976328976265,-41.46715823193074,-1.3843590250282911,-22.52981123217421,32.41825150945605,C,E,-7.356512830522158,186.06809711505701,A,-24.88997372189464,101.17861418526515,-75.57620669288715,-92.89494335210506,-125.2224977025232,-66.42414328578955,A,A,-128.33512475135092,0
36-50,Non-Veteran,33.931430641206305,-131.12093472264203,163.1215158169661,61.4123215842251,-4.316019870407584,A,A,178.039828490569,15.5829266477331,C,130.95799366849144,25.958115094120437,-66.92069814151711,-92.1395064440961,-7.776470885886709,115.70916360289347,B,E,146.66802804885236,0
18-25,Non-Veteran,-64.06358049485989,-79.53480586087751,-18.793637376382616,181.2210554838627,149.14113581198455,C,E,-2.5109699228962503,-44.490564831869975,E,121.24173858456955,-177.35506441868284,49.58050527619372,18.670190235567443,-52.96320587097366,258.9656446061465,C,D,107.91212637596071,0
65+,Veteran,-3.0728431040997894,-140.50841662494898,-94.02787651416958,-45.27842636319385,-230.57827925437974,C,B,-43.72215226662259,-302.0348023371268,B,115.65799982177116,-216.2017051935336,-47.513079334396,-45.03421269438211,-108.49872272027885,-21.95330523997378,D,C,107.11139270485187,1
51-65,No,-90.05362027431234,22.390892907540657,-43.11947863870317,51.93736480297395,-29.33149201550187,A,B,136.5107599818201,13.332384577191398,B,-33.536277163562254,-174.10791062223385,5.029734105913339,30.94656638407062,-67.93722112905185,-76.07781071255222,B,E,129.97486405271778,1
36-50,Non-Veteran,133.37168789630405,73.53714383456314,-62.71865309358766,-120.30917291046825,-50.77317789902631,A,A,191.19513889930698,54.14231584531577,E,-41.736878446245676,-61.46629599414801,-12.258856084817952,-29.786616105554536,321.56283154166255,-143.5065354582977,C,D,119.45129042379176,1
65+,Non-Veteran,81.83737855844221,-50.82370310522898,121.14713060212736,-206.05858112735547,-24.990929812544984,A,B,165.96307613125853,35.88867768677847,A,72.18136439801047,-74.43165682740174,-47.56549062351044,-83.84555600483338,45.166016743340236,-14.50912143654753,A,A,-5.861790880300881,0
65+,No,-53.10527321069838,-118.22097006465759,-67.31038520199644,-38.783392114358456,-2.5687579119560238,E,B,97.370270829334,-139.68836747384762,D,-22.0294549846719,-92.96015912521317,87.70460484039077,64.35104255646421,42.18739980972212,3.578098222543538,D,A,150.69460288097372,0
51-65,No,-154.58380964394863,-136.65195414634954,-46.00905501223001,3.122490610569707,-77.95953524029655,D,E,66.198347785528,138.16442508227846,E,136.10794820378692,-25.475196154797143,-30.78993907610858,33.06217388543818,47.75745688559611,110.7647401492865,E,C,-6.142067191574433,0
26-35,Non-Veteran,70.10076369423953,53.06581224378042,113.61524136851277,-72.83230855242732,-79.27690044230485,B,D,-227.6268682317958,95.0174559160626,C,-192.64106640333767,225.2771429832637,-1.8512490353453508,-71.19105240326569,-37.17014473845693,-43.4773232693541,E,E,-138.72777628702045,1
36-50,Veteran,109.50207022999724,34.362855513712844,10.486338280862327,76.45707812387312,200.7087220464248,D,D,234.53529471460746,-177.60271536571437,E,-82.08562307998245,138.40568710158126,24.636536773361602,-10.697861488769158,-13.99772039924537,9.146070509572741,A,B,-96.73941752630031,0
26-35,Yes,-77.75455930840705,62.317356653766666,68.42138849677379,-60.68430196139577,78.44911356208316,B,B,-13.454077574636852,123.04143338413564,C,72.81925616321018,68.97383459401686,109.34539535228822,105.65161113472736,27.58118610948387,37.940079889817675,D,B,1.495639979862261,0
65+,Yes,-29.42131303230482,-13.104438476571644,128.63626250485197,-123.09362413530762,11.102589566799399,D,C,-69.14542539914835,-51.24567103260268,B,-69.53150627515724,55.63129030084567,-188.83825098009274,75.07877041437257,162.1551271281732,80.99298203542133,E,B,-189.8698608697035,1
36-50,No,-57.25717194202598,-10.551181658237912,-67.05776437239518,-164.7403598159913,-57.52432177264969,D,A,-92.06643476752306,-120.65725957306044,E,-70.64307493638661,-134.28877136918143,-3.7071370987999086,138.0088481260329,7.319310476662835,234.90844400868679,E,B,-83.63514641616598,1
36-50,Non-Veteran,-60.49167268909873,43.8333770963209,-54.2058853949539,-122.23107158210524,38.53836740062023,A,D,15.815991389373075,-157.39855878504267,E,6.320202422750193,65.72565159906331,55.74991349871796,72.83721463040544,-72.26438264584887,-291.5204897537169,B,A,42.944462343151876,0
36-50,Non-Veteran,-62.46653938609922,6.164137716395722,-22.103495394366387,-11.281582846003348,127.97542448857236,E,A,-78.95131899796044,31.360546163608895,A,-49.917706402952184,-189.33828399336784,114.49583309018368,72.71516732688539,-74.98900778216365,-117.16842871603532,A,A,-31.758094927052294,0
36-50,Veteran,51.43600827938257,9.987423456430012,88.33891210848867,-41.68573472583501,105.1668470415638,E,C,-108.58954879678193,11.951919137806263,E,-40.57912626805822,78.1904491104901,-67.25619073847497,26.81116261826576,-151.18280791835343,1.7281901219982558,B,A,-83.89879396407208,0
36-50,No,-58.4420647310402,67.38010792019088,196.42961670130722,-3.0368949455878367,82.45661814253208,E,D,6.483602688618209,-115.93040110878341,E,7.187490078917404,199.9671342050272,-111.27596176162142,-66.0372047187656,54.11863794121186,91.73625910710665,E,E,85.27848917982986,1
65+,Veteran,-73.03779576250757,-106.40356381506145,-5.833780575473028,184.12070167322008,-52.632594731750295,D,D,-42.23563529197457,18.55054598833875,A,74.83841629428592,92.83197988005011,-61.761743621046804,-60.128566966534144,115.26717726027589,-42.668281272022,B,D,45.65815658190046,1
26-35,Veteran,24.42617524432449,-51.852668209511265,267.84416754792136,133.11407534477334,-61.54344519172661,B,A,-98.92827670478181,28.827901359960258,D,77.40093024649221,-30.615126995658766,-118.98061921153761,120.34164677572096,-26.302081721730335,-116.65025019573862,A,A,100.6559845136829,0
36-50,Yes,9.11341716226983,-20.735305713051766,74.38498427724032,44.0763358938102,-40.35706685980631,D,E,-74.52036051661717,-278.47597944401457,E,-43.1218982195883,53.06345505232311,-135.47700581868355,87.38359461076108,-1.8740896460070666,-134.58036532196783,C,B,52.29783480722456,0
65+,No,-15.939285435109799,22.48938917944761,-235.68171077985681,-22.874394633306444,135.24340658995146,E,B,-32.56161042845084,78.92441686529615,C,-128.2713367686776,53.91728344767815,-41.47054379518846,-153.813240094459,-88.93516745934805,43.946570362786865,A,C,-35.82341040549993,1
65+,Yes,20.049959417752703,169.5082499358146,96.26643826632562,-68.3954731919825,-28.570359736929383,A,E,-90.54238770632344,-22.68094650619229,C,198.6516524542482,117.29513456579035,11.522756717988283,19.210132703698573,-33.14262424778916,182.02297711098853,E,B,21.690209167108282,1
51-65,Yes,88.12165906875748,-48.45342729887589,104.57786387388497,84.15190114076798,-127.34488411511695,B,B,-265.44896696291556,64.74718566857854,B,-180.3861106070618,-52.45741959740769,159.2226386394142,-178.84951144008576,-87.16731507961096,-161.00934625606206,B,E,-0.6853357644338333,1
18-25,Non-Veteran,-2.8544017775145956,-136.96077343276895,76.05581512824995,-52.94331090971453,-29.203633498219105,A,A,17.18555349228766,-41.41442879360154,D,-208.349520229274,-8.013484195190523,-27.124748206289677,131.79755238498575,23.908934827972665,-109.0210804443833,D,C,58.65027946833117,0
36-50,Veteran,111.790372341507,86.57697804707314,69.84115031744236,109.77334220879396,-161.76439641646053,C,A,-92.18984140466992,115.8060148600824,D,-64.06093941809375,91.21507274107107,-80.54406930327606,-248.72315381825786,180.39289596752135,-7.73618864628602,C,E,-34.04906053117169,0
51-65,Non-Veteran,-82.95071350774651,31.294776662654844,-32.712350300402896,63.48050412262458,13.021882142191735,E,B,26.03882984222732,-40.36296123091196,C,-114.10472481807892,-6.92791269328746,63.67732701954283,45.29169384048705,-102.20463500307477,133.62830979135288,D,A,-96.31195482072417,0
26-35,No,1.941277242972134,-198.86241322895302,113.29127229326158,-53.53731412901329,-25.325911829828545,D,A,183.14595366947037,18.886457013453416,C,135.79986642818847,-43.07201616006701,-40.83130999461138,109.45860260765103,147.20744651050882,51.78966422170952,E,E,48.11266008240783,0
26-35,Non-Veteran,6.262322346582846,186.99299571026546,-22.904056474519464,5.016623169278522,-19.20592631113786,C,C,166.01079384313073,-9.47826826009868,E,186.58048513341794,72.68821945559048,116.96858323686064,-92.69941747492304,78.24441857907489,115.87310512724429,D,D,101.0285076217642,0
36-50,Non-Veteran,-38.48659812527428,-41.2593310090297,56.05335954148899,-126.9608163195622,-36.17433899500092,E,B,53.682247640271974,-97.24605110669441,E,-35.110544083361184,-30.728009370898807,-97.93135852560214,0.5597411050739369,-87.93834044514941,-75.48027163270002,C,C,68.8490624791874,0
36-50,Non-Veteran,117.34891354741521,-136.2346585701561,130.22913762127882,-32.7440740896255,75.55380334623729,C,D,57.24669698716234,-104.64165704652221,E,58.33462471725688,-187.33056402797067,-46.965872705550304,193.79562338856576,22.666635343656175,-20.76197241003645,C,E,81.86509927262331,1
65+,Veteran,-84.95785229490218,109.15682166099285,93.42139584371502,113.18167423461145,115.51828829382676,C,E,-34.281302725367915,-105.64067734270182,C,-21.66446356748647,56.68027114996176,78.29067163167694,-39.385079639931156,82.4976906100994,7.126082908812126,A,E,-136.67147018704586,1
51-65,Non-Veteran,-56.05641717022777,-41.17217589135732,-70.12793114547244,-54.359086793005005,172.87633074362623,D,B,47.35326180363954,140.65397284600675,A,172.0852134127367,-94.99447522152737,-46.89436641336327,-14.258801233578646,-86.73798330296559,78.64839470818211,E,D,-35.804420355106274,1
51-65,No,-17.392015791914105,-169.4952173905348,-142.7616263930213,-61.13976672954715,152.18351890098432,E,E,-26.586476457295365,2.021020496962885,A,-55.25759902818987,-115.31111815417296,80.12910843043713,-239.8707340865924,-17.446832013161117,194.43758429168898,D,D,90.26410222952389,0
51-65,Non-Veteran,121.81205730522473,111.99100276516715,85.25080857103808,9.000792841191165,61.335125980291004,B,D,153.23716555837595,-90.55064085468476,D,-126.73908625879548,-24.47262066770865,1.1421420389237396,-94.03292367993079,22.263206419562138,3.599641322874917,C,C,-35.16486923943228,1
65+,Veteran,-60.18293522174106,124.76512241702041,111.39856347544155,-4.838003644272289,-84.01934932472544,A,E,53.54698670608455,16.439742477567414,E,-45.68822090879653,39.01835511807541,-56.94449650786907,101.83622889354113,-81.12472677326048,65.07371651043586,B,B,-37.814333063828926,0
65+,Veteran,168.48396450086636,-18.279047764121387,-15.090202957736132,29.41466937331132,-72.10985849858484,B,C,-87.74625509860195,-55.19497645848347,C,-85.1178457240443,-41.21136551493992,122.5096898870057,161.78356563205554,81.24606914245915,-79.2185894748877,A,E,133.9924345370315,1
36-50,No,-90.61947210047143,198.51378527140093,243.1262474934968,29.73608194225022,-3.4736515698098693,A,B,104.37260086464568,19.432833325365415,A,28.089079128639145,-33.42893109360796,-11.361178401622087,-46.12430222601018,66.6627694632636,116.40521818059047,E,B,-117.16592036199994,0
36-50,Yes,-93.66008861083944,-175.97674474026965,139.4969978174265,-74.71768257104799,38.61508751249942,C,C,-70.35687132860102,18.865950554824007,C,-5.993067728411334,-134.7623992568104,75.388281121998,172.65902711412082,-107.83664626173719,-114.78269860144357,A,E,-175.70961204102875,1
65+,Yes,44.09420969160484,-69.20826642300841,98.50286375840456,-53.070386724879384,-30.007325816355802,A,D,-174.90016516019017,38.50454406605686,A,17.737421488731805,-24.39696462282932,-27.499620975709128,-9.437675245739664,175.48359583621846,114.26986097342791,C,C,-44.5437754856412,1
51-65,No,184.29726210468476,-74.32940904482213,-141.20756360784029,-46.396921603807186,-155.83049248807774,D,B,94.61543356164331,-60.40613865803154,B,-37.17926486643805,36.90500637846783,44.10057481364567,-62.97344956092932,-13.668244692991195,-157.45183159064547,C,C,39.186482083118854,0
18-25,Yes,-176.97587985158225,42.85230367669992,-61.27884975117668,34.51677360977859,-189.14596203405762,B,C,1.1280108288641832,46.72227405762436,D,-69.40887424751556,57.17053072968462,-103.6770376115538,12.695389678394807,-8.8499983441546,-122.56035823507614,C,B,64.48078311692841,0
51-65,Veteran,126.35991991286244,-36.923907440434704,32.806189613912466,-163.96134529767136,191.7198170908278,B,E,199.15538603906876,63.086103201118284,E,-75.01013962787658,-45.24715092015489,-65.43148821213953,92.77903856725108,-21.60793268331746,-29.677714341008443,C,E,76.10801105749483,1
26-35,Veteran,127.84865041948537,184.54992041779624,-109.05987374430791,-33.113843849363874,5.756074142820433,A,B,-124.45530637993068,208.06569032882197,A,102.85798848818702,-151.06155866413792,50.581143779683856,120.8034868802087,-34.33492296760226,-114.48959666009925,A,B,62.319941487715504,0
51-65,Veteran,-89.18275684529904,-38.108714985269046,42.937316640675355,136.6077473076649,16.322614979506657,E,C,-36.5380686311332,-39.65853345951299,E,-95.75273242601614,2.4912563422852982,-25.937819271608912,-66.48720738809115,7.120288109076727,189.8323494444329,C,A,-139.4981713772143,0
65+,Non-Veteran,32.78369851574422,30.242192843793692,-108.950722118123,-50.97989288529911,260.5537600039129,A,C,182.98022079853305,-84.86932100352058,A,-38.28738532063852,9.328585300575295,9.662150148018466,62.824350946610274,-0.055233170675910714,-141.65657350407176,D,C,-69.46948598843409,0
26-35,Veteran,316.57317490439925,9.103388286052768,19.20199434297547,2.0426097629051716,-148.18004935368018,D,E,68.33290366961874,-1.1560618237311182,E,-154.49700591614524,-69.66632187494092,23.052578660933705,48.125708497145574,-68.80249303218405,-30.53304202907811,A,B,-160.87557556425736,0
51-65,Veteran,-12.489701043274358,-115.82485101237421,-0.011940240610901107,28.130467471634113,-72.60157114584429,A,B,30.779398878922027,115.75826002055672,D,70.57573787310173,-107.52033662343248,81.0433955202783,21.70212111800011,-208.7625560707944,7.600436629624456,A,B,-0.6622340848115577,0
26-35,Veteran,-31.689299454365038,17.215740452060675,-52.98708365306675,0.5165398988439517,-126.15621598241933,E,E,-69.56842591194192,35.9261504916777,D,-110.44748686421708,5.706358030492175,-15.066376937689698,129.27912958088163,22.781372561391542,-247.61901676312482,E,B,76.88817943961422,0
65+,Veteran,16.735749737113654,-49.845352219670865,-2.5655520708578528,45.6341882944162,89.77238155723822,E,C,-1.8687924955191157,-21.758066920277177,E,-62.027374260540725,80.37853158806178,113.7817024067411,139.10344633179477,-116.93304192763318,-124.36050869152375,E,E,-39.560567125672684,0
36-50,No,-106.15132456770837,331.9880118829814,-151.78715052155712,-169.36688225435802,-47.427280977373854,A,A,-17.58897697505662,87.02477245347448,C,-63.013710755487175,3.5097513420664557,-138.0169786906242,-78.10418294427625,88.22792334628275,-55.935522535167095,E,C,144.00192451422217,1
18-25,Non-Veteran,-122.36980705042816,156.4248399949269,-159.30022234219402,61.28894256760914,-99.52125567305752,C,A,-13.448526589002805,-17.421513940668216,B,-189.46280982580086,-97.69859895636458,-72.13458042197324,187.53369418092885,18.986961072438575,84.33154518070383,B,D,-42.839576653981915,0
36-50,Veteran,120.13443036169879,-36.866327598234264,7.401818047093397,60.61807152120965,-280.58345708117895,C,D,-85.53664845768161,-122.29562138142578,A,-95.94082812456342,134.6634832374445,221.81822909064834,-86.26710594434826,-33.795511263484485,-121.3489481426564,D,B,-117.42840660387574,1
51-65,Yes,44.02823375171222,21.810526637103187,-134.38856487938025,123.16515216586677,40.1284587216664,C,E,20.38789319706725,-110.22192353224172,C,-115.06403916606911,-131.11702052357202,-26.079361974188757,123.19454847817009,49.04309575355653,-53.52641258697487,D,C,-85.45254239655792,1
18-25,No,-109.28769404295102,-102.72482536789462,-43.7224058908263,15.319681619315805,119.99565471939957,A,A,67.36545718276746,106.1261193918596,E,-110.77616222206042,-205.058701538956,-1.0411644649024798,57.789418663771094,-120.75248926147697,225.8661981995707,B,B,-163.99487114083578,0
51-65,Veteran,-29.091608602869023,66.24600657789117,-0.06736737109419536,-264.80002483072724,-13.279600324522356,B,B,117.79792016642621,191.49721052434035,A,-86.29309718869615,113.23469613661727,-62.715696899054116,-95.85922629028806,-126.70908445728992,-52.72541913823653,A,D,114.21962749912858,0
26-35,Veteran,139.8959768805318,-36.24727383791731,-108.928448694416,-83.87845941413693,19.719198558202162,A,A,-59.9065011561601,-109.29480445259345,D,-72.83468009762309,-89.13034051566206,-88.3253493698282,59.51790660522626,-80.7391314392591,83.94795058608426,B,B,-62.872312142154385,0
36-50,No,-61.21341788031101,169.27910408017505,-64.56402043106854,-218.60424412207823,40.84213278121007,A,E,-77.46737710084493,-89.03012304109296,D,-69.65366187478075,-129.89856165738234,38.98723276438197,-269.27691153993084,-8.08633924500888,-50.087713806199844,B,B,-112.96342522338105,1
18-25,Yes,-39.931541230083305,-31.312899484213368,20.28737040041386,-143.02210576023725,-22.41343766992192,E,D,144.53823035312888,-114.29975679824065,E,54.63819452103685,18.907688098177292,185.4692931579762,-59.68720277382036,5.366785817258353,-97.13857559368789,E,C,-112.53167183406723,1
26-35,Veteran,17.121567165804613,38.808593467928496,-44.80444072681677,143.78248263565177,219.56715575942508,C,E,-55.84418424230153,91.11494495639757,A,-30.22358178656297,-173.05674981142704,38.11797367387263,-50.589622630775835,37.2327427548355,45.78416372110702,C,D,-55.4455939042551,1
36-50,Veteran,46.08614589143238,60.796649339029216,-67.6345935364582,-141.20350456232603,9.142988090687254,C,E,47.483990057260186,-139.95488567139856,C,-174.65024757701124,28.075710172778802,112.30201312418653,127.7611684444184,204.95480859066487,-82.4774294345006,C,E,108.43622187612307,0
18-25,Veteran,78.32582871647723,295.9016684420317,-171.31771959601915,-115.91565062531464,-107.60045747061571,D,C,0.8140910467033632,89.91081690428756,E,103.18627076776694,307.794126538658,-16.89976318799425,-28.897595010881005,3.793647792456789,32.107812300716674,A,C,119.40830443629335,0
65+,Veteran,82.28665908371282,-210.023980593675,23.91687970977093,-89.1033241019142,99.69660609175251,E,E,-17.62879020517005,34.09430964247176,D,55.234090313011066,-31.364734649873743,171.0655201607639,-37.31283957308423,97.77989296055334,-19.74533820451627,C,C,-46.902631375320865,1
65+,Yes,123.31770273158892,-124.76194220211376,-30.22346276208509,-7.807570834075199,14.16652922174688,A,D,110.77413485076855,112.27425945471172,C,36.137634744133315,-77.09239222227089,-178.99184892871622,81.95895207644242,-62.053385785286366,20.259435794355177,D,A,71.77584296613706,0
65+,Yes,-49.60516191284714,160.35347200106713,-108.31973127182812,39.18626841123889,44.867120535737484,D,B,143.43085899623514,-29.261903748990512,B,287.12790839787266,83.57954276095931,11.350098725595204,29.56528757439139,50.27788891738627,24.487373500374165,A,C,24.079642169872102,1
51-65,Non-Veteran,-153.68158006364084,59.93741502293851,61.17911196176634,43.48931811980149,-16.915721669397442,C,C,-137.75383455056053,-114.00366308926723,E,-110.31029685883273,40.31175468066786,-40.854658125487994,-46.52724021866058,-81.44596522046918,109.26860480053335,A,A,81.44991958318684,0
18-25,Veteran,182.8605499579029,-78.51816033803259,80.57104692411744,-30.021095930500874,-162.34694604573505,C,D,-120.72906627607685,38.055780840721596,D,66.36139750539955,-64.6639179381827,9.518854693057824,-51.34491915714806,111.55967201809256,-156.9646051249991,E,C,-150.15186002853767,1
18-25,Non-Veteran,101.36122991247353,-36.5622643368008,140.99362723246105,67.97901600264169,31.499723544984537,B,D,92.00592412638782,-64.78855852037007,B,42.7099737008119,60.840020452374866,-26.96226909431086,-137.58734986840827,-27.710063887831442,-119.18472468415781,C,E,220.0274035463946,1
51-65,Veteran,-158.69447180801103,91.09461735898304,-37.83759781939334,105.74196879756784,-11.165385664140086,D,C,44.26208601676976,-24.761137834002685,E,-14.940467087477483,62.821625088465595,188.0020111247527,127.46362516136949,93.09063442119373,-114.89114133481347,A,B,-19.672047154014223,0
65+,Yes,-36.55876336118224,48.66360165805016,-127.01741929964705,-54.94995126575355,31.274610212979287,C,C,26.234169515218348,-216.87629158116022,B,-20.426544083284256,95.5297904720794,-136.96999852307025,-103.43443605298886,-33.443432159061466,-105.86372610340482,B,B,17.850127033338243,0
65+,No,48.10384726241243,-93.25131189279658,-98.28814223486681,-100.89462288632245,-92.79454510322914,B,B,-211.6017892995445,-68.8385485136335,B,151.853978401535,-49.43513619756195,-31.141008214681488,107.94220826627495,-33.31911893746346,57.14233181885001,D,E,-21.68750909478156,0
36-50,Veteran,-47.27758202645216,-31.403939577251617,-110.77037589210342,-13.74245110429873,-5.649454164931089,E,A,12.507520955686216,39.49749804110795,E,-194.51569134670132,-37.62746343019421,42.954518725502446,28.93560103640927,132.57015482367595,68.92539376187817,B,E,-96.54322812996439,0
65+,No,-58.63019536575502,34.28352574707561,-50.108966989196105,-22.647013288961286,31.41119011241253,E,C,-40.516284000885754,5.501704515968064,A,47.76217575245864,79.398191741317,132.0828836151187,-74.4158304787353,55.18459240054974,37.48734866576896,B,B,115.19250788842803,1
26-35,Non-Veteran,25.664567626457867,80.18968929274197,52.800671417909726,60.77183126549966,-73.89392653102725,D,B,80.95238192159971,-61.32654692789434,C,-36.38105763512744,67.74439985999176,42.831168578358934,-12.177837280360581,34.24207213025882,252.16702163494892,E,B,-14.30202032699322,0
65+,Yes,-74.59004756463986,80.49410916278033,15.441742825435057,26.619692673001342,23.07518352686629,A,D,-72.70119221969563,38.64981615191026,A,49.25675102882766,86.25036892788933,19.067764331323367,-132.89140004671754,-49.755083965829186,-131.78454302075923,A,B,58.27639523939967,0
18-25,Non-Veteran,1.2434631758072052,51.707627076532795,76.61606207715565,-126.98325152279597,-58.37481451129981,C,D,101.76263058807284,105.99541036047226,A,10.521651663543398,-124.55306983119787,-145.7668269097015,-112.41254892706975,80.96995357557869,-21.02400768416091,B,B,-28.03784738643967,1
51-65,Veteran,-46.740875414455346,24.082613671314267,-99.04393900043627,-77.08282174894046,-23.83276539545987,A,C,68.08042378384155,104.13681749397115,D,-80.30152172431598,-236.5941322377775,-181.28989251631202,197.23731689582416,-29.80666208840811,19.253445919886378,C,A,-125.94401953048362,1
18-25,Veteran,105.10706404867697,76.91917213190142,7.552536434463645,29.48655359957127,60.48798180982978,B,E,30.038677915358576,-105.2349624907359,B,-21.00149274910702,-139.29887549961384,-35.75706978182452,-0.40423106056951785,-0.25365746960460267,-52.77070609905593,A,D,-231.51775011987237,1
36-50,Yes,-41.8452705521288,-135.33872610952665,-177.57471927071452,-6.863585148146674,98.11726326469096,A,D,191.3116139742108,-108.09089680398829,C,4.514871264867297,31.14573035033579,-111.62134766901278,-18.527237779278018,-4.829865522673784,172.8415022950911,B,D,106.89838563968964,1
26-35,Non-Veteran,179.51291534280682,-24.99277300678461,-31.56958914509645,-136.68471032594312,-19.964198869022514,E,C,12.105609529483027,16.117838240245614,E,-90.6519402621057,74.41968277362567,17.372582284600814,-40.69569334485187,2.496807441431656,97.82311453420144,B,A,-193.0084791457624,0
51-65,No,20.693797148261105,120.49638437323142,-55.23517924178213,47.641168699432015,126.71869531387469,B,E,236.6051952949706,-104.24274656507129,E,121.75555132415185,69.55006075177026,-98.67058959234664,70.738133731896,-116.85971269591988,-7.458056782174053,B,B,-158.54802097090194,1
51-65,Non-Veteran,135.80567149138375,-16.240094910504496,26.919584561885234,29.209235673210305,73.90887822907331,B,C,-42.114813111511495,61.56508855197459,A,-58.346100776024066,10.467095075705581,-35.27315674151985,-62.884207483846055,70.88139599770777,20.388845972678084,A,E,115.52998045267597,0
65+,Non-Veteran,284.3878502056107,14.840097974446556,48.709710131013914,-38.49164414399658,28.84168413443217,E,D,-147.727328142274,1.381262764392116,D,63.26862735431723,-80.12733867086646,-205.9498254217275,45.63053427916864,-195.63661433405446,22.181616089028896,A,D,-55.50244783685776,1
18-25,Veteran,131.36176987109633,-4.624038876146395,136.12824191698022,58.41468433925991,40.38468288497508,A,A,69.59639535497318,-79.15828609305474,D,147.95730529524883,0.7986026672149924,-177.64114327225224,-20.27032204291466,55.01288215583219,214.75119513701236,D,A,-61.69952551530725,0
36-50,Yes,-21.465675861253825,-148.90129673437443,-26.19232026189457,-85.6988215663073,-200.7681033076575,A,A,11.450000851652181,81.4096866914753,E,19.538712801464794,-71.92441402625315,12.97393746387443,-210.2684879483086,10.956931792054515,99.47621501287908,B,D,-47.73902093900563,1
65+,Non-Veteran,-37.914021566710176,-4.327752696662792,113.88642240709612,85.51155877013001,-9.937333685082033,D,D,96.0509994719723,94.75364332728819,A,149.53430204989937,103.60707559785286,-84.73298749302214,134.73161335720266,-103.11611532325524,87.87731684092269,D,C,18.12155592227397,1
51-65,No,-176.04224424905863,-90.98216396155657,275.12627538510657,-199.65119721187824,-154.47420354795108,C,A,20.691944484421036,-84.49904029716208,C,-11.148280583231562,-137.49143945516514,9.639905108153403,26.167473042547922,-63.809731506749436,-129.60232994505287,D,E,140.12977690169265,0
