religious_affiliation,genero,nationality,married,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,target
None,F,Brazil,Single,57.498238703788985,112.6567674648502,-23.195593281706,97.20138715686232,13.454178235371971,-20.82807332851057,56.384101871600656,A,D,B,D,0
Muslim,Non-binary,Other,Married,-44.00129072463905,17.847932577887306,-65.14117847985919,-86.15085832140366,-5.843296785724602,-143.96793953181313,-110.95111965662329,E,A,A,C,1
Christian,Male,India,Married,62.408587496902754,-81.48269059472165,12.592106377615886,76.1395530034296,8.445202868350105,32.824562685346685,-77.25618039609851,D,D,B,C,1
Jewish,Female,Mexico,Single,-71.41889727571824,64.62048081810691,87.34099779206164,6.226296436073553,-43.210984367057165,43.827727715740686,-130.17585032220916,D,C,B,A,1
Jewish,Male,Brazil,Widowed,34.365388830034185,-57.19848619308699,183.44372343148066,-170.02889019257466,185.7146372031049,127.44610426316719,37.8364684907479,D,D,B,B,0
Muslim,Male,Other,Single,63.9313157375655,188.1235972576134,1.165281213421889,-114.7595446171137,12.700977796185436,-150.4220575664185,29.33825433720363,A,A,B,A,1
Muslim,Other,Brazil,Divorced,152.6060625974054,-261.254186770788,56.35709469670491,47.032682666439676,-39.65224431886369,-60.88122211063447,226.10936744566425,B,E,A,C,0
Jewish,F,Mexico,Divorced,9.268598528886947,125.52370558793402,205.53262076824703,-9.554763407030705,-111.7846412454627,111.12237431493763,-67.39008691914397,C,C,C,A,1
Christian,Male,US,Divorced,-34.6091544859562,42.54027253293497,123.76784575069308,-25.966390569253132,-113.148940852098,46.27772857944086,-15.017845106554075,E,D,A,A,0
Muslim,M,US,Widowed,150.84361847119365,103.07260086565431,120.53179886413214,-189.05205483367925,109.59205445839666,104.59351795174132,31.343763331754985,D,A,B,E,0
Buddhist,M,Other,Single,221.51359761812236,46.273186280322776,-158.01969952783267,26.959586399351675,94.83760412027313,-152.83619333235438,9.319523475809707,A,D,A,E,0
Other,Non-binary,Germany,Widowed,109.17151962717699,-18.387892236542374,52.2998617906743,-53.36840710578057,30.390067076177008,-212.36954685124147,1.5631836714404865,A,E,A,E,0
Christian,Non-binary,India,Divorced,7.470307771864763,15.217033159715863,65.94687500221652,-55.41729092460274,-74.7610478858881,-36.96553017309028,-67.05749009942609,C,E,D,E,1
Hindu,Male,Mexico,Divorced,8.52139848780513,89.48149207665507,41.95598857947371,52.53987874349565,-211.8017788203192,-0.4992057195495129,-52.74645720424341,C,D,D,D,0
Muslim,Non-binary,US,Divorced,131.92399056566882,-19.17715903327236,27.332111503276145,-11.18929530554623,-98.52884569253408,49.41313244606702,103.85966539914693,C,E,A,C,0
Hindu,F,Mexico,Married,100.03721470225784,-220.16602554825036,99.61617856386013,70.55161712471936,101.73003218480609,-29.76426843857202,-25.290422910736527,E,B,C,E,1
Muslim,M,Mexico,Married,23.769851082294373,153.25015779304573,32.940326409137185,185.81061646436223,159.18997450779673,-26.710718707694287,-61.50900152540362,C,E,E,A,0
Hindu,F,US,Divorced,-90.48733659349273,-193.01739267048916,-14.83160102321901,-145.28442030126124,32.499079847071265,18.762209970986852,64.78419778578618,B,C,B,E,0
None,Male,India,Single,155.72476439512747,-137.1931331495462,-21.788101279802927,-155.1161508367178,53.12106100522958,19.175523383377133,33.045474148749,A,B,E,A,1
Muslim,Non-binary,UK,Single,-88.13281314756412,47.35986129763251,110.15758382146055,-81.6466850728345,-120.04524871249835,60.46168336132545,20.733604453919146,E,B,B,C,0
Buddhist,F,Germany,Divorced,112.41288591849585,103.99382307672755,90.67925717350683,-32.47037265691395,80.81095163648699,-1.7090519497275223,98.61759023907584,D,C,D,A,0
Muslim,M,UK,Single,125.64838182926701,28.424003595507656,-65.1513207058921,103.52065197408709,74.35611298862175,-118.37129839408951,42.7897854147626,A,B,A,C,0
Muslim,F,US,Single,-37.88617195906577,29.14610106024326,-88.64128507297778,-5.462381473559045,30.524444618159187,-120.55036479744396,-100.54327406028656,C,C,A,E,0
Buddhist,Other,Mexico,Widowed,-55.097844670435016,-28.02638508885762,-54.401289066461764,7.669586063326818,42.302822982253396,7.13918877328958,-72.33011329525598,B,B,C,D,0
Jewish,F,Mexico,Widowed,59.83400406989522,-57.20585407710951,-89.9254910506606,161.03153895624166,4.733078297874485,34.41158207355789,149.3804012566152,E,A,D,B,0
Jewish,M,China,Single,-84.89747964925705,-7.8179359696479125,-75.65240886821111,-46.25438118777272,73.4839810543303,20.358366117938075,-25.642169724359015,D,B,A,C,1
Other,Other,Other,Single,3.8627831924751894,-143.45569587700493,-39.07048681674493,98.33287628003382,93.84348315630942,96.21896340464319,55.67003054593016,D,E,B,E,0
None,F,China,Divorced,138.37126210686876,10.02687450346658,-56.40592454135434,73.85116942900142,-123.73826134156913,61.45519938108093,-99.22367257498857,C,C,D,D,1
Hindu,F,UK,Widowed,-161.74937587190368,32.85700436965544,66.51912142394566,-203.45568808450682,-65.31482731925405,190.76029698383724,178.97387911720634,E,C,B,B,0
Hindu,Other,India,Widowed,-102.13496455303606,-132.49207850116858,-200.39337581758807,166.3097596039442,-153.0861383486807,125.79185285560001,-77.14412227475519,D,E,C,D,1
Christian,Female,Mexico,Single,-9.368443271813234,76.47601153030638,21.094134299482597,-68.74682276732152,142.63814871017092,-86.781226543235,44.28251141515276,D,D,E,D,0
Christian,Female,India,Widowed,0.007614427104313546,-0.3841596425944322,25.08120422763609,-176.50172877456285,28.63428582824618,-93.80055961355522,48.2136143977575,B,D,C,C,0
Hindu,Female,Germany,Married,98.55999639481333,9.992969724348384,-23.28210307212859,-225.20141731719764,-24.72614679164317,36.03374505143836,-195.47640636428466,A,C,E,D,0
Christian,Non-binary,Brazil,Divorced,9.029750435594542,58.33557805923254,-8.658745157321093,-163.02356295106097,69.03086655194424,179.8569068670857,-34.695856037843924,A,A,B,E,1
None,Other,Brazil,Married,118.7327479572963,-31.872499690373246,4.115858185084897,-57.24920529931226,109.47755063998518,-50.908386657520225,-88.01768962437697,D,C,E,B,1
None,M,India,Married,-56.1375253912115,-47.101699237259226,50.75116395235012,129.24338994732418,-7.700817591261115,-2.771187888074395,-92.4097656341988,B,B,E,B,1
Jewish,Female,US,Married,15.686088359638312,-126.14581939414336,-95.5826001635532,-75.10158941203446,19.833180284096564,-12.940587996237547,25.811147325293092,E,C,D,E,1
Buddhist,Male,Brazil,Divorced,162.64530966112233,67.77331478448437,-154.0689949872892,16.4470507723617,17.34550418906925,-121.63138359148624,-45.0641206445168,A,B,E,C,1
Muslim,F,India,Widowed,-128.33034516636624,-104.0667060485791,-39.09244457116614,-20.661153546459218,0.5341787191435354,52.375596924643965,-144.60425651593616,C,E,B,C,1
Jewish,Other,China,Single,-19.14925337464903,-107.1941721285705,-24.99885687772839,-160.10303787743464,6.368097091803768,-38.094970454455364,-116.81484070186528,A,D,A,C,1
Muslim,Other,US,Married,8.215124524985978,-187.89556642255562,-59.05409618089222,-39.743958436218016,70.5409163329577,90.89793105905548,96.15721658091915,A,B,A,D,0
Hindu,Non-binary,Other,Single,76.91881341682752,-254.12418439696168,46.60836258076467,-163.42313270145985,48.71203545742293,-120.86863752662332,-244.25185031773546,D,A,A,D,1
Buddhist,Non-binary,China,Divorced,47.938960211457655,-85.0163911095304,-112.661463348196,58.48430953400201,97.28938967018064,160.1879081208767,185.05239382925004,B,A,E,A,1
None,Non-binary,US,Widowed,-45.97628813090861,-144.03041450095347,81.64959072215709,236.00526838380583,-53.65951081660039,114.06055388706915,78.88602348573005,B,E,A,E,0
None,Female,UK,Widowed,-156.98737462481412,16.99137219764792,-29.992635848803946,191.53729868992778,4.589844550409978,-72.36024560717995,-112.04966881642757,E,B,E,B,0
Jewish,Female,Germany,Widowed,-116.61275827018191,91.25269403335037,-80.05285418580888,-19.463401487108957,124.9570282778629,-113.16530384876818,-77.36319600687676,A,B,B,D,1
None,Other,UK,Married,-166.51695128323752,83.68220700375389,-82.67109007082828,1.42837971919704,29.135933071575902,-82.93746412160543,136.47155666091822,B,B,B,D,0
Hindu,Non-binary,China,Single,34.36002021226852,56.98028295785009,146.46048684206255,-68.12075119771532,99.9322459334607,-130.88519899044064,50.48987850007253,B,D,B,E,0
Hindu,M,UK,Widowed,91.63168321719317,-126.06890993488736,-131.77865463306364,58.970146832424234,-97.57086186429756,-20.56596435104535,-10.46096155573386,C,C,A,A,0
Buddhist,M,China,Married,6.870976844704092,31.614407307859942,-10.325494055360986,65.92358286123606,-84.61966545685917,-105.1159699158193,-99.01983507503195,E,E,A,D,1
Jewish,Female,US,Married,-13.208346163840062,196.27774377192222,-17.938496994840158,35.47115672895857,295.2167575053447,215.43798167248588,114.12750357153692,D,C,E,A,1
Muslim,Non-binary,UK,Divorced,51.130437187730415,94.27576493303972,-181.52843500390264,91.71184267115927,49.462046815471986,-47.156597464164626,-57.00075053889771,A,E,D,D,1
Hindu,Male,Germany,Single,16.376074426064736,-47.499743420945016,71.17919801045245,-89.3434150093766,-14.655194160789625,-20.89979724479234,-37.375242371008085,B,C,A,D,1
Christian,Other,Brazil,Single,-60.225766228511446,-98.47243775577252,-18.872822591662143,94.37209044126396,-81.54904814986023,-22.552941217518015,109.86817726872363,D,D,D,E,1
Other,Non-binary,US,Single,-137.92617582506935,15.950609863931067,97.66113630746247,-28.028793583428747,19.54410082338926,-66.9980058862683,-150.655563565616,C,A,C,C,1
Christian,Other,US,Single,185.15081402189364,-21.583066921798952,-16.601685152329846,2.6884742381557487,6.8232120014461755,38.27273167519206,-3.5089135032242216,D,D,C,B,1
Hindu,Female,Germany,Divorced,12.342571612168962,108.55664375405156,-18.9096423457411,97.76017005620986,7.6663397937291125,14.442518678585822,99.985946721076,C,C,A,C,0
Muslim,Non-binary,Brazil,Divorced,24.61299631702274,79.86893326693564,-39.40778869018784,-86.791603679116,-126.00728935141268,-8.409696891542687,-234.91771990552368,D,B,D,C,1
Hindu,Male,US,Married,116.82784598552416,28.41011835053488,31.315094201289202,-123.84595265326124,-96.36439252282698,-23.440774728190615,-82.4418562939177,C,E,B,D,1
Buddhist,Non-binary,UK,Single,-90.82299870851374,35.27489280369735,-35.89660125321462,-108.65548933380111,-105.55857916832392,45.768780939683765,74.55015686855394,D,E,C,D,1
Other,Non-binary,Germany,Divorced,152.27238009141578,-34.870383860577206,51.09892967105858,-77.63992177096955,-81.42750525930232,50.15451169719222,45.00523146117707,E,E,D,D,0
None,M,China,Married,-245.93861401179007,-191.82710021803152,46.083784301011235,128.6376393205943,-2.2834708082957116,-153.42588861761786,168.34339860961984,C,A,B,B,0
Buddhist,Female,Mexico,Single,125.13696892874691,127.07604025670882,-25.701336035266426,-8.017575115778648,-22.40257342233728,-165.60649149572316,-140.3731430890955,D,A,D,C,0
Jewish,M,China,Widowed,135.29998988539276,252.09003295025707,68.67096720217208,24.40821166766142,-71.59303450087366,-144.41884971889652,0.12286941556198257,B,A,E,D,1
Christian,Male,UK,Single,263.581897144691,-4.434690362356735,-17.261291713135915,114.43290879095804,-118.0359869244059,30.34785726035438,-32.1136989870708,C,D,E,E,1
Buddhist,Non-binary,UK,Single,-56.6264699149138,75.02063364487232,57.53841211421338,13.508477597097016,70.27606648642953,-8.993064175853853,-46.65866788477423,E,C,C,B,1
Hindu,Female,US,Widowed,59.98042754648314,41.25380317111069,51.84253037994145,254.34960753007124,-70.17538842641213,114.84223825930762,-55.32624712566543,A,C,C,D,0
None,Male,Brazil,Widowed,-43.562084913322245,-13.87594724739873,-3.0841718480900098,-41.81632617826182,65.06319437474065,-0.6576034278864601,-76.52881299023593,D,B,C,C,1
Christian,Non-binary,Brazil,Widowed,93.57881047172168,23.422571512325685,166.0653659226714,37.36613572341053,-4.978396905399599,-78.11158828382267,-18.21084599343756,E,D,A,B,0
Buddhist,Other,Brazil,Divorced,-46.93468204725473,98.61536012444658,-40.53611059476493,44.492645258553324,71.48412620162568,-28.333626929884876,-47.52914791453114,A,C,E,A,0
Hindu,M,Brazil,Married,-41.80731540518935,-122.35205138630126,-144.18935650871845,-321.0148939532133,126.64554436318151,-34.30215622993231,-9.040702998334122,A,D,C,D,0
Muslim,F,Germany,Widowed,-43.493449846346046,-174.80199726830875,-1.1760351860061944,73.79815421347628,26.12509773302148,-10.18626930921968,76.31967648569493,B,D,A,D,0
Other,Female,Brazil,Divorced,-207.70421000769926,-149.3018843312513,24.60220932398344,-59.644067582852756,-30.871115670972493,39.29819144171388,27.214695559577684,E,D,D,C,0
None,Other,China,Married,-87.14723437855719,-229.52953208945956,47.859609677103435,-48.88232907863541,11.543345913178708,-155.16946057335878,-122.45473852511661,D,B,C,E,1
None,M,US,Married,-24.314263767036167,-89.75851204732669,-43.42973360565612,-250.82663714865507,-3.2571655084299085,-89.03000486374775,128.93930250541905,C,D,B,B,0
Muslim,M,Other,Widowed,82.69708978697085,-32.51364890987033,79.28342442398552,112.47860421595763,-37.993128668666564,40.07409072480218,-1.5850417434140174,B,C,C,B,0
None,M,UK,Widowed,45.459331631460046,-125.17357208476574,-36.632565853471256,-4.179231038349171,164.19960133225254,-35.26338590934937,173.3254851849901,D,C,B,A,1
Christian,Male,Germany,Divorced,27.348334371234177,100.49511190750987,6.811581269263946,-21.248806535302673,-17.898422320463176,-90.50385095735632,8.406497101563259,E,C,B,E,0
Hindu,Male,Mexico,Widowed,59.35005985389367,-35.98039171119528,-41.089158583297746,164.28119411267693,-174.76214376604534,-140.96862313815964,113.21288193152859,D,E,E,B,1
Hindu,Non-binary,Mexico,Single,223.13683955942025,143.7489358169497,-72.50093680043561,-19.091331066502583,-46.973013502053476,13.150820033322894,-149.54007043512675,E,B,B,C,1
Other,Male,Mexico,Widowed,204.81307212591315,-44.416878753377766,-212.16552244309307,-103.26454332757777,103.76556593875807,87.11045439172806,-175.79566716359264,D,C,D,D,1
Buddhist,Female,India,Married,48.95443432682786,-152.00189442246378,-41.07632134809917,15.140662046129815,-85.43036383094255,72.76036221491458,-14.220130139279883,C,C,B,E,1
Muslim,Male,China,Single,210.91115400869703,-3.267903216586035,127.64687994409883,100.51265461048202,39.67158560660959,197.0644763993332,-28.713351551237835,E,A,E,B,1
Christian,M,Other,Single,-68.64468256652769,-37.056050082182615,-55.25122781724562,6.240421848796461,-16.44703848244613,-66.26435786012524,29.756150375630046,A,E,D,C,1
Muslim,F,US,Single,174.87494073246816,113.909429857292,127.83948235049442,-199.28319368757224,-9.783427496452786,-64.47997020931766,-142.52673069877557,D,C,A,A,1
Other,Male,Other,Divorced,-129.088368510437,-8.496438027422993,16.966733357541532,-37.38303486644766,-30.482340278628016,-125.86597358089995,102.58973985266479,E,A,B,A,1
None,Male,US,Divorced,14.39445806301386,-143.53873543384827,120.80435695414309,7.437774597937431,52.64725754171824,142.79315686016773,30.84943801613521,A,B,D,B,1
Christian,Male,UK,Single,-14.268643101310161,-44.361097028548755,-119.93357886622071,118.65374139839118,-43.37551074770447,55.57472309989776,-212.89484040375876,B,E,E,C,0
Buddhist,Other,India,Single,4.396054225636268,-8.277422014829021,-220.86764910397693,-9.71364216463148,-78.58534676232463,-102.84861266974474,68.33503795556048,C,B,B,C,0
None,Non-binary,Brazil,Divorced,150.51210818945066,-14.813856449819223,-31.45220977865754,-47.97948047839218,33.99697669477396,-105.69676438173923,100.95576257175074,B,D,B,B,1
None,M,US,Widowed,17.130302002393382,-2.140275544263167,56.33494007366898,-2.236914604229267,0.8563901451887453,-72.31432491318968,-237.85587314295267,A,C,B,A,1
Jewish,M,Brazil,Single,87.25147403920921,-240.0313314383149,82.91906402322485,-22.36232971466346,103.95201809052723,70.55323121266736,-63.68519671148071,B,D,C,E,1
Muslim,Non-binary,US,Single,-102.249474719547,-71.48615967575041,-143.49081547722537,-79.74690096151062,-128.2475212548894,-45.895497143015405,-74.47603517370341,B,C,B,B,0
Christian,F,Brazil,Widowed,69.28271733422635,-40.811966393543095,51.667693536124204,60.92160653382269,-149.74344733061594,-62.4209617621267,-136.9761435892032,A,B,E,C,1
Christian,F,UK,Divorced,-124.58113119716734,-126.09567802047445,145.9958289419973,73.22313133041492,20.75131892163318,143.49424226533625,103.3966064615231,C,D,C,B,1
Buddhist,Other,Brazil,Single,-108.9044126375976,154.24509941127573,34.836280840646324,-215.7283235646283,96.12284759847411,-13.320752438212308,0.8437230142699863,A,D,C,D,0
Christian,Male,Mexico,Divorced,10.542086930973452,-46.016713608773046,-13.363473419963789,27.598410486585667,91.55418300336308,7.170434863578626,164.04071578272476,E,E,D,E,0
Jewish,Non-binary,India,Widowed,195.19259071994315,29.597886853565424,55.85791440403541,123.21550120662816,-28.14018861856333,75.08147498460708,67.85900715015738,E,B,E,D,1
None,Other,China,Widowed,77.68724422267861,-10.969601766925022,-131.851849677443,11.595052093973234,-5.105077954894341,-115.02487095568658,100.35062732609823,E,A,A,B,0
Jewish,F,China,Married,82.86099641543183,-156.24679524717286,-169.75182300617305,30.44995894173021,-43.930169486976794,12.838122849090228,-129.1517275678806,A,B,A,B,0
Muslim,F,China,Single,-153.78081838443143,215.48726440879497,75.48189862765061,-15.422824348352462,-16.480099616446907,-196.36801284161837,-133.29397212647285,A,B,D,D,1
Buddhist,F,US,Widowed,-66.8492048020914,72.3620486713381,-222.35178469506755,-0.9875146174107806,-32.70229635764437,40.955412120148914,-116.63832725704712,D,D,D,D,0
Jewish,Other,Brazil,Divorced,-45.77165827574785,110.58743064926813,74.74255869170634,89.83558579066373,51.78434500657417,-101.50140054458394,74.76678057684042,D,A,D,E,0
Muslim,M,UK,Divorced,-151.97445255026864,144.67872925741966,150.50532371526253,95.46522445416902,-6.088241899227426,-36.66402509916219,62.502815442532246,E,E,A,D,0
Muslim,M,China,Divorced,50.59832623098121,-142.2405159730544,-1.8112090671283572,-101.76723022778921,-73.54241052418293,60.546696574474915,30.454780674320986,D,D,C,C,1
Muslim,Male,Mexico,Single,-72.82118738320423,-122.63413594641679,-50.19370499165229,101.56976073370139,-31.44899285394726,62.551127540728125,3.458903438352259,E,A,D,C,0
Muslim,Female,Germany,Single,-114.43575895574061,100.92618367564772,-142.56625166990716,-41.63679890838726,16.798148910001004,55.64572480244868,-61.60372901430069,D,E,C,E,1
Buddhist,M,India,Single,48.17681217881281,103.2804139722042,-96.40660450645929,65.16388340435583,-14.688900147853055,103.68894404681907,66.12127399745086,A,A,B,C,1
None,Non-binary,China,Single,-148.89524169314973,119.29748266080126,137.04524606838754,-107.79923573392483,87.41705457356689,142.8168345394368,221.79720752831494,D,D,B,B,1
Other,F,UK,Married,83.16339745731226,-74.45724318683997,30.394864543968513,11.459560401460072,35.934319294856174,-53.71494559218388,-69.33097853300193,A,D,D,A,1
Other,Other,Germany,Married,-15.613117647186536,126.69676282277771,18.88667657911128,38.122019625746965,115.37523285897728,-144.90924585284571,-109.78680087287562,D,D,D,A,0
Jewish,F,China,Single,41.09098770800539,148.99347964693175,-81.42970121907457,-87.80366124159427,149.32554866563686,-41.272008527369074,-127.77951926851523,C,C,D,B,1
None,Male,Other,Single,-33.54699366417688,65.20459179927764,15.274017826120506,34.3883022462276,62.67620822979687,-97.71593543826579,15.744845501600876,D,D,B,E,1
Hindu,Male,Brazil,Widowed,1.9661455829913859,-110.66163910891056,44.40940409334971,-147.74219203727966,132.45692201594423,-30.305419241466208,-60.888873167386684,D,E,D,A,1
Muslim,Male,US,Widowed,-150.5935496541569,-5.903535644112214,-126.8464722508232,68.44565528224106,-185.76656181975778,161.8834376328651,76.40559815353586,E,B,C,A,0
Hindu,Non-binary,China,Divorced,-49.54491110409741,-19.10755070367933,58.56860929205347,-32.43777143659645,104.66524320146517,89.10327974432856,99.03979304242304,C,A,A,B,1
Buddhist,Male,China,Single,-3.6185703458352343,148.42981882494195,-9.628582281669043,-221.22472560719865,104.28506246485982,-143.1181646285137,-54.87202453770978,C,B,B,B,1
Hindu,F,Brazil,Single,-49.96932858062709,5.207853597800613,-44.793326976979706,80.70522227831133,100.78307623126126,2.604396669983082,-7.937085243279282,B,A,B,E,1
Christian,F,Brazil,Single,118.45818304000932,15.182755757899416,40.15099152867524,25.246445302437536,-92.66469423901394,-32.670865820287865,-39.86134038932576,D,D,D,B,0
Jewish,Other,Other,Single,43.501480273966784,15.54766462486775,23.87584698186666,-89.41333455850044,-81.80007868968204,-112.55825031093245,-22.904258192658705,E,D,E,E,1
Buddhist,Other,China,Divorced,66.95824987186494,-23.328748602911727,133.898352722207,-78.7515467505083,9.282504752054411,-202.04333849694623,-31.03651568827739,A,D,C,D,1
Jewish,M,US,Divorced,22.527777950230433,53.13032061308382,95.2456698038382,36.166653444687384,29.928167634038644,-111.94546006176986,81.7374757273209,B,B,C,E,1
Christian,M,Brazil,Married,102.20513913847084,15.62481918100063,140.51737103495162,76.88592242582234,41.94773306176764,3.4088121961617803,-24.151948827948207,E,D,B,D,0
Other,Non-binary,UK,Widowed,40.254401632222276,-16.047698662740373,37.21173628859878,-107.31582367436974,55.62607249138721,53.92529094827923,27.54451280801773,B,C,C,E,0
Hindu,Female,Mexico,Married,129.47928783212694,27.01841060898263,-39.54546979169458,99.82890858090452,-148.357039983451,-34.93551385114848,118.20030321539383,B,C,D,C,1
Muslim,Female,Brazil,Married,-35.175411494180906,9.78224299087854,-126.54736754465394,-39.177057537741945,105.29917558118922,75.81332802748506,140.2810484512982,C,C,B,D,1
Hindu,M,China,Widowed,-54.139015680425075,-82.68202279511793,12.353520709930805,10.313029421759007,-9.233513756824767,4.699047787642064,36.98198290417657,B,E,B,C,1
Muslim,Female,US,Widowed,72.75073858492604,21.089641103146562,9.500717331681757,56.13316987071055,95.3474331117792,-31.891376101730735,202.5194532803903,E,A,D,A,1
Other,M,India,Married,-213.96377694490064,-267.7589336292158,-13.03057030722844,-43.48124010168202,-38.666159030766714,-30.247540905695754,138.0106254314664,C,E,C,C,0
Hindu,F,India,Divorced,269.95654462886813,-173.8593924316886,4.136346408096888,55.164362370695486,-62.33726976035151,-78.98024874451966,-56.28854893193178,B,C,A,C,0
Other,Female,India,Widowed,162.96026977998116,56.90779806184768,-186.130707302106,32.14363532147434,-46.69041495102524,40.37682854132667,41.36981691346621,C,D,E,B,0
Buddhist,F,Other,Widowed,37.87317425916051,86.8931584234299,-31.56186791302632,149.0168867745207,-24.9111997159302,174.61135673286282,149.46263774346903,B,C,A,C,0
Buddhist,F,China,Widowed,97.66541649677048,-42.45391904845451,155.57042667678363,-32.908336027470746,9.929272824101847,50.08185760074565,-28.230836447745016,E,D,C,A,0
Muslim,F,Germany,Single,-61.77372923298128,-9.56940673002429,119.49668874994066,-84.31116365694673,134.7956194849001,-94.3158031287994,-111.65157321301902,A,C,A,B,1
Muslim,Other,US,Single,-100.99975898803677,-60.268842507766884,94.94842271566131,-125.76558006533205,61.66425662820081,-58.678864542457056,-137.1876916440182,D,A,C,B,1
Other,Other,US,Divorced,-24.19421824122581,-114.7782225507916,-200.16771716179176,6.646503546123948,-16.064038288408483,1.0908280854775678,-9.979338066784386,C,D,E,E,1
Christian,F,Mexico,Widowed,26.144382292312546,22.329755641900807,178.0080629601379,-96.15103180696313,117.42738420375369,148.6806578868006,-147.88248892802244,C,C,E,D,0
Muslim,Male,Brazil,Widowed,89.42282610792802,-44.83191296127503,-20.91667942548444,-24.781026296042118,-141.74269932347315,-128.4713927542203,50.808220425962936,E,A,E,D,1
Other,Female,US,Married,-110.27307335291403,68.0299711471579,-95.99621553206184,39.936129084433354,-20.792156842686165,-137.11709995257326,-4.150882500722128,C,A,D,C,0
Buddhist,Male,UK,Divorced,67.73074644468463,173.4284227529406,15.123655592270643,93.54168080264135,-58.62690379926554,-105.79147432128771,-127.96557635259506,D,A,D,D,1
Christian,Non-binary,Germany,Married,83.39979028513501,-56.69543379294411,-10.024377149489236,5.296711642761832,-112.1447311050612,199.69039894743847,-134.38862156101172,D,A,B,B,1
Muslim,Non-binary,Other,Divorced,5.3646822188754735,-47.947560838455914,-14.587316247943235,20.936819806749156,99.63544856857683,-48.916244612463814,-60.135227282365044,D,E,E,C,0
None,Non-binary,Germany,Widowed,113.67588983364034,98.0518134492916,-22.09673969047643,166.177393712829,118.1873168397634,23.86331160713202,-30.40034683384291,D,D,E,E,1
Buddhist,M,Other,Widowed,-279.2661194060231,-41.97753237212217,-181.89932709868896,-245.36633542856245,-36.79999343035219,-3.6602576310584825,-61.43241768472025,C,C,B,D,1
Christian,Other,China,Divorced,-162.94948493969724,-149.59733101272747,115.3996988789545,120.44805991137572,29.773363481308714,52.146618803898626,125.37326085149776,B,B,A,A,0
Other,M,India,Single,58.94347046118433,-3.413615589737163,174.53699931178812,-16.002987007961767,210.18420045127155,-20.157694733732708,-48.87712599366707,D,E,E,D,1
Christian,Non-binary,Mexico,Widowed,-119.30045873202883,-70.9479428023948,-30.11988274995241,19.801191440535735,18.509225998958918,-18.59799437476104,66.01420092095145,E,D,B,A,0
Muslim,Female,Other,Divorced,41.133476654264,-239.9152322042083,28.80869017438496,139.66219810032132,-186.15446140723455,29.135861014132836,-115.00953077575082,D,E,D,B,0
Hindu,Non-binary,Brazil,Divorced,120.76249169037541,45.40489622227732,8.176428807827303,-130.87074251995452,68.11375380962514,56.27024090047249,68.98286406437109,B,E,C,E,1
Hindu,Female,India,Divorced,-190.58895829425094,50.01644197000843,19.855479594522933,24.880014275414126,137.43373636550544,-22.324493758611666,-27.108249678375934,B,B,C,C,0
Muslim,M,Germany,Divorced,-106.0206738654597,15.743936812036063,-1.707794991390798,-8.40608058117363,-203.03695931004415,66.98767302432202,-113.70316405548013,A,A,C,E,0
Christian,Other,US,Widowed,-135.06928950384494,-62.91164125040304,17.235562168877504,-54.773562683891186,-78.93684274844327,39.18520847005412,-44.4337668138096,E,D,D,E,1
Muslim,F,UK,Single,7.773886188950735,-83.10733998113605,-31.74822067536426,-31.473576621728043,-179.9372402444398,-39.06340948810856,61.86400669624324,C,E,A,E,0
None,F,China,Divorced,-88.71141107760965,19.710263190781156,-30.559156823210998,91.32931980391939,-54.868111364950266,64.72092222275386,86.71480661612947,B,E,D,E,0
Hindu,M,Brazil,Married,70.43803562488874,-148.45939287445003,168.70552418508169,33.790573022217764,-13.60130125057141,-131.10538979138076,66.47177771709684,D,B,D,B,0
Christian,Non-binary,India,Married,-67.67270572202978,145.6821755000961,-59.6719695121026,-39.42239812390268,-93.70887569929874,-64.08026570144766,-2.2226067665875773,D,B,B,B,0
Christian,Female,US,Divorced,112.4691333303534,86.7136870798009,126.36339143627502,46.24236750238306,107.08558160599225,-153.7095563518188,-50.83713269621176,B,D,E,A,1
None,F,Other,Divorced,-60.8833009428673,-145.42320496631368,34.89034331671738,-20.941318934490436,52.33116522435593,-37.41164269973432,100.65150860957637,C,E,D,D,0
Muslim,Female,US,Divorced,-97.81536531660389,1.1731126278856359,-3.932008201245246,-91.12709968678631,-87.50545126070618,74.51418943622289,-7.2518838256594025,A,E,C,E,1
None,F,Mexico,Single,45.90537677619626,-21.654118658994424,54.58763570792259,0.8984133294984277,-61.582447712114586,78.95246046679634,34.13088552362044,E,A,E,E,0
Hindu,Non-binary,Mexico,Widowed,222.5651809907822,113.92906398069582,134.81519009959382,110.01105357946892,-204.9323270424483,62.94881697225795,184.05627842843444,C,D,D,E,1
Jewish,Female,Other,Single,51.256994356295515,32.29062241139216,-16.368598221139706,-128.93677648954076,73.09309347827784,38.51158989461352,27.819261937324953,E,C,E,B,1
Christian,M,China,Widowed,-47.30344138912743,-38.503503459286776,103.18092598287485,200.16636594856413,-170.21757172672093,97.11376445170701,-84.23337379852983,B,A,B,E,0
Hindu,Non-binary,Mexico,Single,-120.33306083407906,-56.51639970685602,106.9765712670622,62.54106876077897,105.04928021562243,113.3413833962353,-130.87188270262496,D,B,D,C,1
