race,disabled,nationality,veteran,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,target
Other,Physical,Other,No,-31.248677378440483,106.19892559509982,B,A,D,220.92641592242,-65.89250556342733,D,71.01422144871596,A,C,-76.01717353776137,-52.4901664992829,0
Asian,Physical,US,Non-Veteran,12.137385565760354,8.882658935858494,B,B,B,25.068836460512394,102.65442320170519,D,-7.668246302422416,D,E,113.83895118999115,-211.74951186729928,1
African American,Physical,India,Veteran,2.88610234777494,-263.9085709395493,E,B,B,-124.93708606654346,-171.242700776321,A,-134.05028024107605,C,E,192.0745560482076,22.145673721197145,1
Other,Mental,UK,Non-Veteran,77.30960507227593,34.14477575470318,D,B,A,-60.85830346039801,53.865324657843296,E,-18.66017997938157,C,B,-92.16196645721077,115.87449273969514,1
African American,Both,China,No,-69.32512171911821,-11.261491576977585,C,B,C,-50.45640696847049,-14.005525297321675,A,109.51923068320433,C,C,57.046465595123486,5.593189553385117,0
Asian,None,Germany,No,39.10404514702704,84.68258560472259,E,C,B,107.08791792765253,224.5916914829436,B,-76.59455047658994,D,E,12.75691138623943,-174.84872241563082,1
African American,No,India,No,113.33849311905828,89.39294637852507,B,A,D,-55.115316972188275,-133.2005542227922,E,63.24893812493831,D,C,-193.3537386626209,-11.957155607117251,0
Hispanic,No,Brazil,Yes,113.99634852402369,-62.58408749461726,A,A,E,170.3412053579771,53.02469031063307,D,-128.56697048275714,B,C,69.48593887268194,-37.44973830755868,1
Black,Yes,Brazil,No,-20.89490163094034,-4.162429486067956,B,A,E,42.50877772448809,-85.04047491987261,A,-40.31062935153346,C,B,-67.45512810767208,61.25146660117948,0
Asian,Both,Germany,Non-Veteran,-35.06617638378164,49.987411009958535,E,D,D,-63.43034680682563,159.57548178733808,C,-117.98114744823118,D,B,134.49997732666495,242.88312653669965,0
Black,Physical,US,No,133.33387238937254,-68.11723421010568,B,B,E,-38.10467733384492,-19.676532232831,A,38.35490283790167,D,C,6.997459575862316,-62.26195155641523,1
African American,No,UK,Yes,162.04022910463084,-86.38006763913657,D,B,B,-91.35816664803956,82.2831552976962,C,-79.32863795618714,E,C,316.27662914571385,-64.38327833968181,0
Asian,Yes,Mexico,Veteran,-101.35353397905962,60.39217379923664,E,C,D,-234.53246823871248,9.58826625655451,B,190.8625098920553,A,C,-5.214617833632503,-35.86842490279164,0
White,Both,Mexico,Veteran,-7.8469800722496705,103.41899106614478,B,E,A,63.49550898677945,50.45555810106856,C,38.15144166079639,E,B,-25.010315992053485,70.05355592393909,0
Hispanic,No,Other,Veteran,107.51576454971594,103.94610476479747,B,D,A,29.80818920940747,-185.77486780508883,D,44.26647934204071,D,D,75.35979735530468,146.75000745111535,1
Black,Physical,Brazil,Yes,47.924845317040116,49.18550767977044,B,C,D,156.94952543322157,-233.73668249901215,E,36.691302877708424,C,D,-274.25540353137177,-162.11669446203723,1
Black,Both,India,Yes,59.149575651551714,66.78710206820709,D,D,E,-5.419569812932853,-46.93731145398451,B,-19.688555547844153,C,C,53.778934040821916,-61.14218868438678,1
Hispanic,Physical,Other,No,-121.14450414624704,142.63205597414137,A,E,E,47.58657773640129,193.3473013185918,C,75.87793159316024,B,E,-70.95552075872013,-100.15622790911887,0
African American,Physical,China,Yes,-96.72868225603824,-108.85541690592345,C,A,C,-95.51449408919865,-111.95106728025168,D,-54.90885646276825,E,E,-141.06719574527963,-203.65026637004036,1
Other,Yes,US,Non-Veteran,204.7646217764055,91.00032100874478,E,A,D,-84.15431253610481,165.40845273346213,A,93.004351836972,C,A,-19.215165937524834,46.63972832724179,0
Asian,Physical,Brazil,Veteran,80.05692985681189,-129.66158465195144,E,A,D,101.15459671127016,45.50142931931254,A,-104.0305871136868,A,B,-64.42843352900567,153.4417835752524,1
Other,Mental,UK,Yes,-65.04501255439408,0.37705254141022737,C,A,C,49.57054459018082,110.604603733006,A,-95.62493203087705,A,D,-39.097982319415756,-69.73882905013467,1
Hispanic,Both,Brazil,Non-Veteran,-27.044549856839843,90.60898182413779,E,A,B,-87.10923776310686,-5.775543005170667,E,102.02976679558955,E,A,-3.616487172067525,55.112205433086636,0
Hispanic,None,US,Non-Veteran,-335.7306883579139,-170.19026232274246,E,A,D,-88.82126249658644,159.76533054679587,D,26.229522405844826,D,A,-131.5847987279608,-45.27029874505789,0
Asian,No,UK,Veteran,147.66684578860378,-69.42196679575338,C,C,A,121.14729570422162,-0.43883858497531025,D,130.99786211808427,B,B,191.57812613579543,-147.5608504829582,0
White,No,US,Veteran,-39.88206133990599,-118.8905716169387,A,E,E,75.99926708309192,-33.728797370825056,C,18.389471454800567,A,A,16.557767710088385,-33.203245199816884,0
Hispanic,Both,Other,Non-Veteran,46.81467793878048,102.81910788246415,D,C,A,-65.69091851725834,-121.48069922455062,E,-61.6540331645312,E,C,-48.69183835255373,64.31711785844549,1
Asian,No,US,Yes,-196.34702502944117,21.155648394671736,B,B,D,98.70944559974033,-8.33543717469679,C,-22.92029894595817,D,C,-89.00553527759966,-113.75535372514385,1
Black,None,UK,Yes,-95.86440451268894,19.258995272925933,D,C,D,33.22300829689622,72.99095136686337,B,-7.053120952789528,E,C,-35.77545107437305,-79.38762649840208,0
Asian,Mental,US,No,100.23272956175795,99.496431025911,B,A,C,36.97550665583657,8.689103345044435,A,64.56814507276255,D,B,-48.030199457357334,-82.24345405612019,1
Black,Physical,US,Yes,74.10313223365208,47.973283732547955,B,B,A,83.36711283310233,-34.98630193476392,C,108.61216287625635,E,B,-20.796685263576975,-13.944797427595592,0
Other,None,UK,No,118.07101655041434,-43.06175298716973,A,D,D,78.24481070565669,130.43690253666068,E,165.18084172433234,B,C,-19.425742915050687,-60.93724689533543,1
Hispanic,Physical,India,Non-Veteran,-161.09534018735337,-94.86641874174721,E,D,B,4.310786248330638,-56.47670589261595,A,-65.29150412722402,E,D,-33.783183765831495,49.69559272282569,1
White,Yes,China,Yes,3.6506766333209826,30.51800915099775,C,C,B,54.83146546096875,-174.30390238512814,A,-5.832727532394547,B,D,165.8061899233311,165.62778436810117,0
African American,No,US,Yes,91.66927865175826,71.92957082011698,E,B,A,23.949797412079292,49.45687703031298,B,-104.68931765208154,B,A,33.669950613148174,-253.12737644360706,1
Black,Mental,Germany,Veteran,26.184480434968332,-77.56945538232843,E,E,C,-102.63175259751,13.486436152061607,B,-91.79790477433724,B,B,-161.41647932865598,44.008244181468626,0
Asian,Yes,UK,No,-62.41775120537568,91.73532584122552,B,D,A,59.494864093958654,-81.25070786966437,B,66.04340685840619,A,C,47.78026601935663,-79.67963288531682,1
African American,None,UK,Yes,185.25102786238537,14.380492193156105,D,E,D,-22.067979536841605,-66.64346534800781,B,138.4650695950913,D,D,-117.18272699567922,32.37668461918396,0
Other,None,UK,Yes,183.62706450992192,148.072125176393,C,D,B,-111.56831373534186,-19.867489813491247,B,118.43421887712356,E,C,90.07846721605011,-229.6255009186151,1
Hispanic,Both,Mexico,Non-Veteran,-73.29815598525985,0.9837802425675333,E,D,C,-74.45956863256778,-167.50426578253854,A,-33.00802226740869,A,B,122.84577639782952,-23.69087281988777,1
Black,Yes,China,Veteran,-20.49670886083413,72.3152379987377,A,D,A,-143.13532522419524,-3.587069801027641,B,8.33524526914312,B,C,-30.16013565464497,-136.094868409144,1
Black,Yes,India,Veteran,-107.84961082883493,-82.96419145145806,B,D,A,54.06618167177674,-87.2289492566457,E,-31.607851387692932,B,D,-44.330109823048915,-48.23382568717534,1
Other,None,China,Yes,96.03065208241141,76.73991740907135,B,C,B,-41.028616650992625,101.5600240979589,D,-98.90987866611121,A,B,-121.61634943950925,-58.05219940376688,1
African American,Both,Other,Yes,-3.7090092434966326,-139.02854542937396,E,E,D,75.20949159635796,25.254348825249284,E,-16.449451009435613,D,D,-9.553111944301122,62.897028610010565,1
Other,None,UK,Yes,-5.600697794668009,-201.86171559497237,D,C,B,-174.36826625174305,66.99172533194468,E,96.1884883860827,D,E,13.086746628897231,4.11968770760092,1
Black,Physical,Germany,No,97.23989723627567,6.476975104447848,E,C,D,-0.44473040838180516,75.13739263370849,E,-231.44901825315404,A,C,-43.57611437725302,125.50708926626181,1
Black,Mental,India,Non-Veteran,-27.171871739170296,46.03373342687988,A,D,C,-13.116797259146537,-29.748485474961083,E,-71.67644162928299,C,D,-39.691086550947716,-156.991376649819,1
Black,Physical,India,Veteran,-88.59929205146251,62.44953410164102,B,A,B,-97.31052289830498,45.70365080551712,C,22.290957318726747,A,A,173.46096593248078,120.60803443084625,1
White,None,Mexico,Non-Veteran,-84.41220929783096,165.36034870138323,C,C,B,-36.35664041050135,6.055103576629698,B,-3.842942256415902,E,C,-101.08721366010889,451.05547836475444,1
White,Both,Germany,Veteran,-9.093465939235761,-38.71840781251322,E,A,D,0.5473616921322901,-46.97216328468173,E,-10.44846713973696,A,A,-38.880726315966925,79.81820973069847,1
Asian,Physical,China,Veteran,-123.95804111655909,26.00088666474768,A,A,A,-74.74815121122008,-9.135909848415329,D,-113.47192244718676,D,E,-91.66242771725649,15.61579602300513,1
Asian,Both,Brazil,Yes,36.2382910226275,103.23381898701595,D,D,E,56.245040739933984,-39.25079223411144,E,28.196135214338625,E,D,-3.2424575303543675,-112.63335886889143,1
Hispanic,No,Other,No,6.617305274079076,-43.82373485428431,A,A,B,149.57287293639928,-114.08339173410378,E,-141.93275803987274,E,C,28.361075151103243,63.056824618118554,1
Black,Yes,US,No,-97.34584377417075,-60.05010283260237,C,A,A,34.887013281108224,43.33205795850802,B,-103.64437599849836,B,C,-185.6401573117444,-45.53671569590541,0
Black,Physical,India,No,-11.343370983738884,-9.403627256909333,E,C,C,-91.88219534961205,64.75023235601746,C,60.742664206462884,A,D,-46.313990166336474,44.183668621167264,1
Black,Both,Mexico,No,-12.464121048656281,-83.70500618192752,A,D,A,-2.342554392817438,-3.687954558129547,E,-141.10986258726007,E,C,31.900762400983417,-58.90093356107976,0
Black,None,India,Yes,-31.022654480976463,-83.75011582067111,B,E,C,21.139856623072223,-67.35252468013968,A,44.14174194843122,C,C,6.265116312849963,27.219569415113547,1
Other,Physical,Germany,Veteran,76.2763652676608,-40.06886234923328,B,E,E,-84.79454519927168,71.13367003116367,A,147.26713778664285,B,A,-9.448533281359097,47.50203944303399,0
African American,Yes,China,Non-Veteran,-122.60103407343325,145.94017998830972,D,A,E,-36.116888788327515,-104.71647216974449,E,88.46729369101796,D,B,-33.31973968445248,96.74563412898053,0
African American,Physical,Other,No,153.384967337706,-113.3128597337851,C,A,C,83.51354707703629,-17.051352868551476,B,106.34381982319371,D,B,-104.38389283022653,-103.48621543733736,0
Hispanic,None,China,Yes,-31.41410315070236,235.65580326124086,B,D,B,21.9606721971397,-17.947619336932043,C,-98.00093141222855,B,A,3.7335599927580216,256.0022694843591,0
Asian,No,China,Yes,-185.87394293190903,40.69996406698604,A,B,E,-36.74108284808087,32.394552195894974,A,127.06619073971972,A,C,4.22058169177549,-99.83676771812907,0
African American,None,Other,Yes,-54.70151945528939,-56.03034867920893,B,D,E,-28.08277301923214,84.93302111463093,B,-99.30194702575952,A,A,-2.532150602860441,-51.165391905107626,1
Black,None,Other,Non-Veteran,127.24433663933685,-111.61981112231993,B,B,D,-4.8747336282542,-158.99562702608557,E,-85.26933936514278,D,E,114.90743783421406,58.033579720533254,0
Asian,Physical,China,Non-Veteran,-33.27583826974595,62.33597447903564,E,E,C,47.6937588063575,-178.56828006344426,B,113.6453682971283,A,C,-83.73217245981512,-103.97770796901769,0
Black,Yes,India,Yes,0.6935988681526252,-130.12012005716585,D,D,E,-14.541048559907182,-193.20921936791456,D,-130.3089692463089,A,A,6.612303786067663,-3.2386820591144283,1
Black,None,UK,Non-Veteran,-66.81471690951054,116.02575762200264,A,C,C,-94.51678591649339,-89.62578612003036,E,-93.87633874382209,B,A,-76.93241099437525,116.09757740727704,0
African American,No,India,No,-149.17835890487405,-132.03348759213426,A,D,E,-0.8448913212666713,43.05158053885882,E,-85.64101307178767,B,B,83.2329427247347,138.50929366143558,0
Black,Mental,Mexico,Veteran,170.96314898508734,142.17681967387867,B,C,B,129.49712351018022,17.490560543933587,C,-75.89403167516467,D,A,-220.00239921883966,103.95542484211025,0
Asian,No,Mexico,Veteran,-112.63597424262576,40.19482024471996,D,C,D,32.50687079537354,99.19635084064593,E,-225.0737933712727,E,C,-289.94066192069425,156.40985221892805,0
Asian,None,UK,No,-22.233235251968328,-83.65109618180679,E,C,B,-17.083706907364977,-158.6005234369122,A,46.59263791397334,A,C,211.25941462274903,169.60563737286097,0
Other,No,Germany,No,-34.090211654930556,-66.57069423735194,C,E,A,-27.154080000937086,-61.41606776788153,E,10.54610003508061,E,E,-54.66239440705238,71.18234935020965,1
African American,Physical,China,Non-Veteran,112.36905546378763,44.51854888620187,E,E,D,13.801343138755536,-29.566314356706126,A,-199.46975817374636,C,E,10.688951085595559,-59.486720620248434,0
Hispanic,None,US,Yes,89.6794611078748,-21.504763811008356,E,A,A,-14.696404073437899,34.64688673346601,D,-28.389680618530917,E,E,294.37552305409554,243.15056833189468,1
White,Physical,Mexico,Yes,-19.838107464601734,99.640266802775,C,E,D,82.07976780692408,-167.23599507744623,C,19.921241342132348,E,C,82.0583319046079,25.11543554133908,1
Hispanic,No,Brazil,Non-Veteran,-96.20991300263661,125.7101886747025,B,B,C,-157.54730660469698,-64.40704770505864,A,-36.575401676382796,D,A,-196.31526320739832,-159.71497122683257,1
Hispanic,Mental,Other,Veteran,-5.939921603466024,201.22739366259884,D,B,B,-130.15346165773548,-128.9142831880132,D,-175.99893443127013,A,D,-70.93720381559118,-1.7400031764926327,0
Other,None,India,No,-43.609959394071176,-118.42463796799001,C,D,A,-130.74818079889502,42.35336271045388,A,33.36262629828963,C,B,-35.09585603987402,37.71933788757099,1
Other,No,Germany,Non-Veteran,-17.055151713998917,-143.238371478354,E,D,A,78.42421346011137,161.1026405273926,E,-19.10740073049199,B,C,-34.85118684106755,-100.99797783575073,0
Other,Both,Germany,Yes,111.53499481317428,59.048373944181655,D,C,E,-15.530491952513131,28.685785483376485,A,73.070727411849,B,C,-4.582760936564484,69.88992403142123,0
Hispanic,Mental,Brazil,No,63.89054807783984,44.951279520793264,C,D,B,152.39241108442917,4.513725718195652,B,135.02841100327726,B,C,336.78348908274194,-237.98830475737023,1
African American,Mental,Germany,No,-0.9652903207387431,-9.87414929521793,E,E,B,-259.1739912803433,90.13896545462238,A,128.31008085174525,E,B,42.55910984848372,-19.435736676472967,0
Black,Physical,UK,Veteran,-41.01293109223072,92.90333599754524,C,D,A,-45.88208995986259,108.10498745422616,D,-175.14945347505056,C,E,22.644130654750693,-123.43790421191771,1
Asian,Mental,US,Non-Veteran,108.17302699310389,-167.1079397766072,D,C,D,-220.4522707596008,206.38111999198978,C,-57.98436060648553,C,C,-50.10854703333544,16.397946268404787,0
Black,Both,UK,Non-Veteran,-15.980830083560424,-60.02688688274975,A,E,D,-119.56506591274334,-0.2143097678282481,B,-139.81689580446394,A,D,-74.32825719249574,201.29507708355322,0
White,No,US,Yes,40.607464132474135,131.8309690382468,C,A,C,67.94738407817071,-63.01989427463912,E,76.49711972154869,E,A,-6.604275819922645,-131.81224475487565,1
Black,None,Mexico,Veteran,86.54871813498414,115.6063662520947,E,A,B,56.16694277846257,89.25017703956509,E,172.29199771759158,C,B,-181.53626420451664,-31.206307282552064,0
Asian,Mental,China,Non-Veteran,67.92917157878891,-169.4072544292275,D,D,C,-109.20877062410095,-75.16526877023178,C,-33.45175014303246,D,A,-14.419207337185297,42.915763692408035,0
Asian,Mental,Mexico,Yes,23.502087144788234,76.48963695985097,D,A,A,18.16832131223553,-31.63947277202004,E,4.375375934461539,C,C,88.16003813467272,128.38583103506355,0
African American,Physical,US,Veteran,87.25588155941487,-31.14250951912511,E,B,B,-119.75484255159385,-5.609741327743184,E,41.584893030387285,E,B,46.57558723883453,-166.881521770091,0
Other,Both,China,Veteran,-138.28760260219585,-38.3722213078299,A,A,B,-106.69017907236527,47.55361864901674,A,-1.3024945141762378,A,D,-16.670910409594818,196.33054853697675,1
African American,Mental,UK,Veteran,-51.84253974941163,2.296880104453356,B,B,E,-72.06815110652269,-115.97120971925578,A,114.3126278914424,A,D,108.58567517500957,86.10579452861687,0
Black,Physical,Brazil,Yes,-99.03836026522424,-11.183579592166693,E,E,B,-71.27597188237903,-62.765650437429834,A,35.02274597382085,A,C,-248.80470949343376,96.61786311424154,0
African American,Both,Mexico,Veteran,-192.76951458469992,129.73106401430726,D,E,A,-19.486169325834584,190.7300398001195,A,-56.5253146837416,D,D,20.71384150202882,-208.1589233907764,1
African American,Both,China,Veteran,67.743259962886,-21.66255146136286,C,A,C,-130.8251816975919,-92.60503949921944,E,-163.74458185743143,A,C,37.84642670819162,85.99300551975752,0
Asian,Yes,India,No,2.5158649828195228,37.998957691722175,D,E,C,-52.93899439848359,82.48083016110695,E,-34.976256230432625,D,D,106.27829174682361,-82.29554923219904,1
Hispanic,Yes,China,Veteran,11.483196542567683,-57.68193020328758,D,C,C,-70.13873937528192,26.11653700174907,B,-26.45316619401831,D,A,-130.29706464127543,-38.402897090038635,1
African American,Mental,Brazil,Yes,53.640041856383725,13.552261879927658,A,D,D,-10.962024690806311,-31.94592512795732,D,-91.50641504550188,A,E,-4.149701205039285,33.59878874197871,0
Asian,Both,US,Non-Veteran,-79.81479970576054,-172.8366020036,C,D,B,6.116235456327713,44.39170923665007,C,185.6780404797556,A,A,99.84400966671244,82.61070993421245,0
Other,Both,Other,No,-20.131518494370994,-97.9138220103963,E,C,E,-178.0815999953893,-60.59543533915579,E,-260.79364109343254,A,E,6.915280612485559,-137.5875982249283,0
Other,Both,India,Yes,-90.85167759801949,-20.871729944946946,C,B,C,72.27253890196323,-92.91815954971575,C,290.43463059149235,A,C,-30.849206461239316,-219.69437374800998,1
Hispanic,No,China,No,-70.76081017079147,-21.812154885295985,C,D,D,102.84419979279429,243.84107800318677,C,-22.841092859718504,B,A,-244.16737101197995,-62.61097807892021,0
Other,Both,Brazil,Veteran,-50.86572983375386,-5.023478005959958,D,D,A,63.10591821558484,49.998611516769564,D,-54.69556978702067,D,E,-73.56594102399512,126.08339556409453,1
Other,Both,Germany,No,175.52451248483266,126.59513088267695,C,C,A,73.9051390252894,94.56055083139239,A,-11.861810720102183,B,A,42.40827602034865,-58.20529480806207,0
African American,Yes,US,No,-76.18337832995321,57.74400580870549,D,D,E,-2.876871485912705,56.427115075976786,E,-162.75580899830436,B,D,75.18989624149579,22.951806125755798,0
Black,Yes,India,Veteran,37.13712758600307,-119.18424533899932,C,B,D,194.51104684309567,-73.6659114315787,C,46.51208730235284,E,C,111.56285009419018,53.267996622010614,1
White,Both,Brazil,Veteran,-51.975147860809386,138.71220110971106,A,B,D,258.9206864094175,20.917484031345627,C,42.18513819706309,B,D,199.0026302695242,37.82566727237129,0
White,Mental,Germany,No,71.96838634459196,-78.35835893933462,D,A,E,125.27784537512265,-259.5925881389896,D,21.693667907646113,D,B,-25.473559403276187,-117.63698898643018,0
African American,No,India,No,-89.61415692733644,-64.2435843035422,B,A,C,-98.30489339594585,-81.64579108550336,C,113.25617534627543,A,A,27.78192421770214,92.62688781279891,1
Asian,Physical,Brazil,Veteran,-121.17621879003617,50.333680109416136,C,E,A,-120.41285805256821,-15.5992918306867,C,13.16922591087127,D,B,52.514454243308215,30.38522529723821,0
Black,None,Other,Yes,-66.25428371135602,44.83573421407148,A,B,D,-43.0302904818312,88.1943173706451,E,36.19461330581831,B,E,3.6671033090971776,-97.16771114012478,1
White,Physical,Brazil,No,-1.3007801534461998,-18.349887101661754,E,B,C,79.2830651537655,-8.644795757156153,A,-14.582760571291953,C,A,110.78959158900633,93.5866061059214,1
White,None,UK,No,-22.37136414435385,14.288251938620833,C,D,E,-3.209741687483108,148.5751149128152,D,42.49764420180537,A,C,-99.04895621314778,-36.94234630079489,1
African American,Yes,India,No,11.415146572160685,-59.076650306052194,E,B,B,-93.870284188278,142.4378685766152,D,53.12260213516484,D,A,6.156937825248862,144.85353883214984,1
Hispanic,None,Other,Veteran,-20.28741543667986,-166.06146510229988,A,B,C,66.0412182787494,14.639366768632641,E,-129.06596138280426,D,A,45.8587286132144,1.6111024706647497,0
Other,Physical,Mexico,Non-Veteran,45.65240233123555,-43.96835950509736,D,E,D,-14.219858639426745,-77.36805435518835,E,345.13701827985926,C,A,137.12368996341618,58.51958031169631,0
Hispanic,Both,China,Veteran,-56.879110488818654,11.146292495372986,C,B,B,187.06982463420488,-33.379841933249445,A,9.077247190595807,C,A,-25.350203854708163,66.70565299374515,0
Other,Physical,India,Yes,18.235837104542902,-162.488332003925,D,B,A,-200.02762971425813,20.402716038274672,C,22.14219002890211,C,C,1.355190483420766,31.377108273429172,0
African American,Both,Brazil,Yes,-20.032714309999765,78.52918377111853,C,C,E,55.12016288287245,22.95721332647452,B,-30.148061522127595,A,E,-9.917422952710009,-83.01840548038439,0
White,Mental,Mexico,No,-129.87948427595902,11.558766789848994,E,E,D,75.07615734110327,-18.276897180998073,A,-55.82072491309773,B,E,-87.64654332377553,71.12859326494342,1
Hispanic,No,India,Yes,138.99911926521997,-64.74174095702143,E,C,E,23.622461427474324,-1.3836052292731738,C,-159.45228060445166,A,E,-9.513195386255946,102.14842283315598,0
Hispanic,Yes,US,Yes,-142.72816935514973,-128.48687863690444,A,C,C,89.25613661300056,-82.88139160263314,C,26.459262857645843,E,E,44.500534013083744,17.44077202471405,1
White,Physical,Other,No,-105.14467855174716,-36.87725114694181,A,E,E,51.113772383443,89.40970428394003,E,18.95800236501404,C,C,0.4158164551170785,26.065823458003383,1
African American,None,Other,Non-Veteran,-107.80962964047127,-130.37787314136952,B,C,B,11.759773971829388,-4.049752643878431,A,-109.83711131642104,C,C,-215.48904042319913,60.81358952926149,0
Black,Both,Other,No,267.79860773863874,-31.020372634612137,C,C,A,-29.003522332997267,14.916242003468053,D,234.33751256786542,C,E,-47.48669461097864,169.58867602566283,1
Other,Mental,Mexico,Yes,5.552533078454712,150.2196864750652,E,C,A,-118.84488393467898,-92.10809808659354,D,-4.500197266280835,E,A,-167.1928167955966,-151.3210107877582,0
Asian,Physical,Germany,Yes,-107.58458575076216,165.92387453128921,D,E,A,-227.40440365100642,24.363213505551315,D,-42.19623381989148,D,C,52.14074062753776,-96.10833651775516,1
Other,None,China,Veteran,-105.99167655299004,110.9133050288913,B,C,C,34.76200519819708,-20.951187513068916,E,-149.3367435547413,C,C,153.3749269406397,84.98598943666117,1
African American,Both,India,Veteran,-265.0215763671308,-49.26590710893644,E,D,E,53.297246051540206,-161.28178190055831,B,-27.877017298724272,D,E,9.272746942388506,-33.33448838062839,0
White,None,Mexico,Veteran,11.71095037767445,50.78313684728869,B,A,A,59.40038083720272,-36.18012354708897,B,96.71279825080973,B,E,-54.78781882713033,-87.26424189749986,1
Hispanic,No,China,Veteran,51.42932067958464,100.1158801963097,E,A,E,-51.87434610018755,-52.15701714804576,C,-124.30869399581046,B,E,73.32918870002037,65.06000037864588,0
Asian,Mental,US,No,-96.63536821493676,29.19675975346021,E,B,C,-99.140378811937,-263.3612643532805,D,102.69980230220888,B,A,54.21751292761666,114.61667374475,1
White,Mental,China,Veteran,76.81798503470225,-20.364964723300517,B,B,A,116.25478672288465,53.82523095952442,B,-42.8272772994922,D,B,-70.87852259698101,251.96705809258935,0
Other,Physical,Brazil,Veteran,-133.5634773118828,-130.33918782070637,A,B,B,-109.3722151694015,142.95883223444724,A,137.4219881142381,D,A,-79.90043752809012,53.759121158192194,0
Black,Physical,UK,Non-Veteran,124.37701984495786,72.36818967417787,C,C,B,40.68571952754424,19.047885475415686,B,-118.61389157142249,D,C,-8.817332678254969,45.78657142368071,1
African American,No,Other,Yes,60.82806978087905,-36.820460085594235,E,D,A,-38.93217730630237,73.20907146276205,A,-15.174621692581777,A,A,4.1519953419705855,81.1139761659782,0
Asian,Physical,India,No,12.285974132450214,90.1505512299162,E,B,D,-12.883315284512129,-5.145842997094505,D,11.793926175972567,B,D,64.52263339998413,-37.08068010908527,1
Black,Both,Other,No,8.029071860686194,11.389171285106272,A,D,A,205.91670035700594,-65.12545787445744,A,-72.44742616686385,E,E,-9.34470927598479,-69.28713903427791,0
African American,Mental,Other,Yes,105.4499238312078,70.31095276087092,D,A,E,-63.16875883595432,-20.97699378666903,E,45.202395218050626,D,E,162.81679740955204,-91.49160409384486,0
Black,No,India,Non-Veteran,-68.49209224181595,30.092547594755032,D,C,B,85.65204916856288,22.271217013477344,C,-199.10930433461286,B,A,84.4155503836344,169.53862265675582,1
Other,Yes,UK,No,60.96197686392119,64.25702763145648,C,C,E,28.88117108823469,-6.646453352383046,C,-243.78010907944926,C,A,51.65934899961658,110.29763879212754,1
Black,No,Brazil,No,-111.83840804739317,120.08539016938391,D,B,B,3.3551553321444274,-44.13685986486918,C,-57.12115211088733,A,E,96.27696142216301,20.36426084479343,1
White,No,Mexico,Non-Veteran,32.67635303571297,180.69429396048406,D,C,B,47.407212578705185,-53.40281145528066,D,-18.318337113420156,B,D,-70.17157110675392,-55.262392763196054,1
African American,Yes,Other,No,-54.46101301772571,133.09582233110712,D,E,E,90.49734944782406,-107.55594953371946,D,-82.25757498180108,C,C,90.59881121352535,-117.2330849439312,1
White,None,US,Non-Veteran,-46.24311559552156,-6.884567315518017,E,D,C,-31.855925552308722,-138.2209245456035,C,54.44032576926379,B,B,-106.82552038545555,35.905046399191626,0
Black,None,India,Veteran,-68.17795857993931,-255.65867620958045,A,A,C,-237.65081674211413,50.51070769799711,D,-13.849454683712462,E,D,-83.8150462807027,-91.14190170660179,1
African American,Mental,India,Yes,-40.38395414938151,-39.71916789039328,C,D,D,135.79396151048047,-42.068540987961754,D,-17.437248547695454,A,C,40.23372940588115,115.46111839687134,1
Black,Mental,US,No,3.2358315278524215,121.74202683249422,B,C,B,-71.04403335094102,0.1922427081171404,A,135.95318209673079,B,B,-9.796281607153537,179.31997009084307,0
Hispanic,No,UK,Veteran,33.958372777059544,198.96510763856276,E,B,D,103.00196019035232,-52.93571151664417,B,127.03038874159067,D,A,76.46070104385211,-55.485182313680795,1
Asian,Physical,Germany,No,-61.26984037752708,216.18461107549214,A,D,B,-107.94275287335367,36.18657792317912,C,56.21957186485641,D,D,17.043296910537663,-89.33286295734588,0
Black,None,US,Non-Veteran,-125.78413773935166,7.869434374587768,A,D,E,-48.36115275262877,69.06533164782178,E,10.850470053263814,D,C,-25.483739219091323,-167.92829799023622,1
African American,No,US,Non-Veteran,-7.389512973528535,-162.27615403913293,B,C,A,-132.38411661946608,16.31123521297278,A,23.758942521633315,C,C,-11.387807322825992,-219.0107461155795,1
Other,Physical,Germany,Veteran,-30.064429588303348,-57.23092665971651,A,B,E,-98.56262015909782,-139.6895244964699,A,-63.06851866787244,A,E,183.07319484510109,-58.985451891983395,0
Other,None,India,Yes,-124.97762430053359,82.96831628628082,A,C,E,193.71963285230024,67.4418188559035,A,19.264758819196917,C,B,-99.72957491371453,121.41457431820186,0
African American,No,China,Yes,31.427902551501873,-43.68061369857556,A,E,A,34.07141943210452,52.97241193372504,D,-128.4005789502335,A,D,74.1753719404677,-114.58935225889061,0
Hispanic,Physical,UK,Yes,45.465623501700605,-28.098311196683113,D,C,D,128.69867811630945,-84.58854979937077,E,55.764486952764294,E,D,68.87885104146487,-192.32363328935338,1
Other,Both,US,Non-Veteran,10.550689811775205,-201.35933513208758,C,E,E,149.92203521625376,41.58285713483034,D,47.50931875199267,D,A,-15.144719865725708,-3.5634447312588295,0
White,None,China,No,29.925302164886798,-109.31577573514492,C,A,E,-16.5107071626515,-158.065029686385,E,-49.55287959447052,C,D,14.246175510228825,78.22837355884343,1
