sex,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,target
Other,A,E,B,-143.87142222419808,E,D,E,A,-45.53177898542867,74.01796452413929,27.743360366453974,E,154.89296522775103,-192.74979557013882,E,-81.49467509525998,C,66.9391929432685,66.13564155652975,1
Other,C,B,C,32.25968095628775,A,E,C,B,-11.123520991033724,216.344127098257,-27.064918633313734,C,68.83726318315026,-65.15134167174796,C,79.4880963627031,E,-190.92138279604185,48.83841938452458,0
Male,E,A,E,81.3556826363939,A,B,C,C,-39.570617760907346,127.93006722621773,-68.13808137682304,D,-18.209203141971013,-54.01070692054112,E,-52.39746528650411,A,-181.65635789908734,54.16436683911097,1
Other,E,C,C,-97.52922212825494,B,B,E,D,111.00269234226828,-25.285517601942363,9.527695958644735,B,53.321829059964465,36.90029787406051,D,29.927519887916898,A,-93.96894154719317,-108.92670327397127,1
M,D,C,A,-104.56702661714337,D,B,C,D,7.0491400429570845,-119.40956752437239,-4.739497553012502,C,-186.6049452512462,-130.12608059461758,D,-120.8351213523368,C,44.54669172245584,-175.0975750879429,1
Male,A,E,D,109.192164088318,D,A,A,A,-18.509846200875018,88.74303600814771,-156.29406464343953,C,-28.3064472950893,72.53403151986765,D,15.301459400933663,D,-89.72134500364473,47.738423406759836,1
F,A,E,E,61.10881159127655,D,C,B,D,-98.89307950402082,-21.626764772755955,-37.88974012272838,A,-55.41488101181529,31.666108604476044,C,-74.26714559593685,C,105.49724608323581,-12.256728274896425,1
Male,A,A,E,-46.384018966232816,B,A,A,A,-102.26535772632208,-119.22491549938121,-0.07531366275657919,D,87.18317987518923,48.69351083024564,B,-49.71112726781257,B,-19.85750517034933,62.463036591175616,0
Male,C,B,B,175.4182456183937,E,B,A,D,63.8334198361717,-323.6323695320879,-84.57224979980819,C,-111.94240670572151,-70.9487488126705,B,44.812554950448956,E,-83.78277898598455,108.6818456656774,1
Male,C,A,D,-147.63076745168354,B,E,D,B,196.50445175251582,114.8994759760373,-21.117375843759888,C,41.82605766299337,-0.020755681155904135,D,4.518845224585667,A,91.79548737911406,62.98696653988433,1
M,D,B,C,56.729899761883296,C,A,C,C,-6.018023365036611,31.09006445155334,-161.19544568156655,B,157.58330628440487,121.3876865112887,E,-67.53743179848303,A,-162.36825255736892,-31.201251990394862,1
Non-binary,A,A,B,54.8171540428151,B,E,C,D,-104.08087291472992,-46.329978312768766,-6.271061097068731,B,46.08731198115421,57.60501318610727,A,80.84423742840806,C,-78.2180513626714,188.83629905492307,1
Other,E,A,E,13.298259425633304,B,C,A,A,47.072049452080364,-140.2258469832242,85.05905688608505,A,20.759248320742486,-41.07546000242933,E,15.46621761346355,A,44.81812185770933,103.67951785693985,1
Other,C,E,E,-137.60283379906318,E,A,C,A,74.15264674746537,167.23144599544727,-112.97807952460029,A,-15.983726646188781,92.04625949009169,C,-151.2507479801335,A,90.47848141039009,-199.47564900429236,0
Female,B,D,D,-97.6377649018914,E,E,B,E,69.36708777075363,53.42033971854471,44.59774794172673,E,-22.0303414544907,191.04058765671329,C,369.35989629261604,A,-85.10935658538759,-14.281393021713551,0
Male,B,B,D,-18.65224846645242,C,E,D,B,18.22519401056638,33.21271945570077,-79.04061517415155,D,-33.113919489300756,-99.58316013514494,E,-5.271006643417368,A,28.629760571298853,-50.08582263550686,0
M,B,D,E,181.27238689301694,A,C,D,C,-43.04530345547256,-127.89500993708273,-60.35421821899678,B,-98.36937282502987,81.50766130947191,B,-147.0662143986329,B,153.70324269283333,-135.61844685040637,1
Female,C,C,C,-19.3449340658369,C,C,B,B,-340.60886106685786,-6.205352519809073,51.593902805341216,E,-16.486190991568893,-86.63415183379453,B,-84.74350914729028,B,16.03571568920375,-93.743454811084,1
Male,D,E,E,46.320598260023196,B,B,D,E,128.7167526105887,36.14932340983862,248.786125614088,E,23.870225449948144,138.96042322128045,C,-1.5136063929009125,A,-65.5749592796742,35.23801742284171,1
M,D,A,B,39.928499238080526,C,C,A,C,195.6876979344835,21.6495087511956,220.0280529440291,B,23.559893511850618,-14.287866242517755,C,74.6816476020444,D,-90.07565794930825,121.6554926850819,1
F,E,B,D,-8.652510539829548,C,E,B,C,-54.80522933482005,-54.10745178852746,-44.099881028104,D,-9.904327763295175,-86.58299743285653,A,50.937959243892436,B,-73.1648340537555,213.48117619194258,1
Female,A,E,C,-49.14320237938488,B,C,C,C,97.35593328799223,91.19911076572785,-82.49236821695453,A,-56.27689353810813,-45.6340944430536,C,46.599129088968255,C,-20.142915001596005,157.0533114670139,1
F,A,A,D,-73.74775749664573,E,C,D,E,16.372336656680957,-16.727423999772395,22.959216778191767,E,77.23408586794868,-5.531117025340965,A,-115.9555062120352,D,116.17840313668466,95.32384412361401,1
M,E,B,A,-75.55256662049906,A,C,B,B,24.65759531326467,55.60901968372527,-84.51483413418138,D,19.105093947270543,65.17293876121013,C,53.52897334333143,D,-125.1488999740882,83.28427024850245,1
F,C,E,B,19.77397968512875,E,E,B,D,-74.3661299755516,-88.73835847763671,12.319316882998578,C,63.10041796299773,39.662323050283966,B,-106.62764721460931,D,262.5634815148834,-10.26771555055997,1
Male,D,A,C,-49.4099335775885,D,D,C,E,7.485644927692123,77.70395155906289,177.35104414305135,D,98.40446331812052,-96.39682598361932,E,54.621486562868405,D,44.682577165414294,45.38228534819173,1
F,A,D,A,-61.03741905512171,B,B,A,A,-189.32239230144484,34.06860064758534,145.06551692293414,A,44.366992006395215,-147.50585527729325,A,22.532183457393003,E,20.500231195916903,43.64651739588194,1
M,C,C,B,178.41187938573702,B,C,B,C,-93.91534040355022,-16.894181908116245,27.414088581840257,A,-59.29911110393312,-125.44749876137715,E,-24.845471936987167,A,197.35647247055212,36.83402817496198,1
F,A,E,A,-23.962115005279742,A,E,C,D,-122.44328639974616,-79.44421702976788,-18.47833940295549,A,-190.0475153927058,-9.314172412506299,E,51.58142111157428,C,136.7901997058755,-65.58551712005027,0
Female,E,B,B,157.31109630881645,C,E,A,E,136.6673951348872,41.26063514415021,2.2183087966402906,B,43.65125818522601,15.625185964305846,B,-110.29039611025428,A,-169.60575926289562,-130.45146005924948,0
M,E,A,D,102.65823374776816,D,A,B,A,-15.96663624023277,-27.08756901761369,108.58127634906492,D,29.514324098193622,65.78452315847714,C,-28.899551225560682,E,-98.38222451623501,270.5059268963669,0
Non-binary,E,C,C,258.1073498458885,E,D,E,B,-99.05208213147179,121.61151559564318,-8.588747846710895,B,-12.12173016565443,-57.62913009982581,B,72.33948751519618,B,-28.804541934830773,38.29086959815374,0
M,E,A,E,96.80114925795587,C,B,B,B,-131.7332811900352,-26.849626601341477,130.4038861353683,C,-242.01492779419706,-50.00453529143366,B,-142.24382045075538,C,-31.498450681907684,15.460760842683156,0
Male,D,D,D,1.0634099486805915,D,A,B,B,-85.86175603824233,32.36554670699432,162.6987879718757,E,-39.37850656975626,-23.568523700832422,C,10.189743065200766,A,204.5575217339321,205.04881752400533,1
Other,D,E,E,-34.82065998821931,A,C,C,D,-11.65415792786134,169.24206557139922,8.342709432381376,E,-45.9014069864473,-20.399313887441334,B,-106.60400213750356,E,12.179819693362022,-27.3623415874019,0
M,C,E,C,61.019937292926876,B,A,E,C,277.13405312926585,40.03044519650057,44.649431685544,D,-4.205717671422489,285.5004490909525,E,99.453772507976,A,49.94878147565443,-2.5462791452381572,1
F,D,C,D,42.0565970983029,E,D,A,B,-53.36951373996808,118.17636652837527,-96.70052706807448,D,38.00115480470745,22.091993502428462,A,-46.95193713083158,E,75.37553011296394,-2.094473855337917,1
F,D,C,D,64.38197899434599,B,E,A,D,-48.471598943489745,23.98281912492437,6.416286394410645,C,-104.18011849348201,147.09023053484464,A,-96.28035189703594,D,-175.34153249346065,-29.96965606184952,1
Male,E,B,C,122.1020176557936,E,A,B,D,-67.45589549498703,-7.528629718247368,-20.342457058822482,E,51.62074909364974,-15.24186546021517,E,-91.91002605546338,E,-94.7042959775262,-46.215287573275404,1
Female,C,C,A,-133.48597153341407,C,E,C,D,135.63898375995132,62.716779835631286,36.220037547576275,B,136.25780355514343,86.67669642100361,B,-89.55672270245304,B,-32.559644970398075,-61.829713604553525,1
Other,A,C,D,15.195352324960623,D,B,E,E,99.01454325091518,8.9823759643471,-139.16421573808722,C,-45.44774489341233,30.712387623629304,A,-38.35521814647941,A,56.30093965877493,-50.577529964654154,1
Male,C,C,B,139.0243740183465,B,D,E,C,-127.56389128704322,22.21950577117937,-75.90921545602869,A,199.9870539985788,23.023756666247984,B,-89.90725473455376,A,93.3002812170519,41.099283334764934,0
M,D,B,E,59.94311277620356,E,B,C,B,-83.29240973042936,-97.6918213402191,154.3634700723056,D,32.980138313071016,113.63948839362088,A,-90.16054249381895,D,176.85119751662708,-3.3473686986505213,1
Non-binary,D,B,E,-44.4245884647879,D,E,C,B,-3.4251471425661277,31.04757621408765,-63.41436352966866,D,104.07588748933212,74.04361327810538,D,38.50040115135571,B,-30.763884541639825,-193.99984281553728,0
F,A,B,B,-67.0162984431366,A,C,D,D,-102.90050107707214,-56.686136295111986,-124.00294677511367,E,-77.08801470360132,-37.63612212180613,C,-37.44735751157518,E,-90.39165923409735,51.237765730494104,0
Female,A,A,A,68.75159687088434,D,C,C,A,10.611834134995675,8.312392071926963,-97.23011142478003,A,126.85084667634328,-97.03239820528891,B,119.69514162451442,D,77.30855631085196,102.5537688410088,0
Female,C,A,C,-6.110710699222541,D,D,E,D,126.01353426245782,-127.55524433762918,-57.08244909604444,C,113.16441804358904,-74.83762141426058,E,-40.9878574084552,B,205.47867600011145,-45.112528334083194,1
Female,C,B,E,-36.92314469545569,B,C,D,A,55.61868831863159,-61.995919403297165,93.81965483238938,A,-51.23266403198643,-18.401205181760034,B,139.67934720476063,D,-13.018089709256362,-185.5946902835267,1
F,A,B,A,229.99899689258987,A,D,B,B,239.38051510950206,60.928672091816274,-22.850216158941077,C,-313.6629703143748,-83.0375058361868,D,-115.6662376488204,D,-56.725270067972446,-67.00750341013152,1
Male,D,D,D,-14.404781964391248,C,C,D,D,33.52731241629448,119.51323771056357,-158.77296669546632,A,52.215090141448016,-225.31930254963638,A,-101.761746684007,D,35.05322215983772,-140.31859412809072,1
M,D,B,C,125.13448751126748,E,B,B,B,60.07055941513085,78.318329781752,-1.0659909371677139,D,-41.00467392475065,-22.18024932006919,B,20.806541261039197,A,-12.389781489666587,224.39992353829587,1
Female,C,A,E,-19.343631412904863,B,E,E,A,-155.50509609910785,-30.242261729135265,142.21121769000453,D,-11.603388684912376,-185.73085450839824,E,125.38639398882916,B,-101.1479877933799,99.20150384427252,1
F,D,D,C,4.255175424851364,C,A,D,D,-158.0203730736624,80.91036562455051,-29.069439646637633,B,-62.54208774800796,85.30818775894488,C,75.44425222123733,D,-51.80432843406527,39.561105268337656,1
Non-binary,D,B,D,-109.35450922207346,C,C,B,E,-105.50377669646467,33.02571404908524,222.00910506230156,B,51.41610514178797,-180.32239558346316,E,219.088565126932,B,-30.024017692039223,-41.79173301563206,0
Non-binary,A,E,A,-14.033111113514932,A,B,E,C,-105.49238496552327,-32.624039154763906,104.9157676895471,C,228.40601476416737,43.97688812106571,E,-88.34881230506684,A,242.29734567565467,-26.089619648370693,1
Other,E,E,A,-76.47944231148261,E,B,E,E,-3.0502472550660085,-211.19559820021055,47.90942471713072,A,191.85796379617207,39.3322190268462,C,52.8094706303323,C,-277.85845348719096,158.97198910263225,1
F,B,C,B,-134.4974300291319,D,D,D,A,66.32018882161613,-11.961782290916938,122.96371789166112,C,44.51547108225877,22.474474176957703,D,48.107840268313566,C,-59.74777840603653,107.69110973711642,1
M,D,B,C,-7.400351229647082,E,A,E,D,24.01182535891942,-45.80780700280123,67.0950369474403,B,35.555977623884075,-120.03459727463128,E,-48.49359892759282,A,-209.7180588738596,-28.450528888350483,0
Non-binary,D,C,D,29.79953866507637,B,A,E,C,-162.2100869628632,26.687278092335948,139.2605939385365,A,47.88011304455996,75.61689882088223,E,75.24916335879767,B,62.975377679863584,-43.91763840519412,0
Other,A,E,E,-78.7732710816677,A,E,C,B,-93.90780774664894,-43.27904607531504,-54.268424544396254,A,-8.432093760810059,126.16558029538938,D,-102.55752505456792,E,90.0368927695903,102.65071208555759,1
Other,E,A,D,-23.831170353418905,B,D,A,B,9.632700907235561,39.43511680997793,3.8230731005925356,C,101.56483164115076,-157.60523419663565,A,187.28378504214433,A,-28.96389888598261,83.25064003674629,0
Male,A,C,A,62.15930785013545,E,D,E,D,7.2032842216793735,104.51882846743428,-120.80956237927947,E,-63.758080189163444,11.013455460922223,D,-87.0622668812116,E,46.12571486074446,-36.62102269292299,1
Other,B,C,B,-41.365117023224414,D,D,D,B,123.52132433638722,-16.713220198920883,49.967262809323856,E,-7.517643188252393,-77.14074270047514,D,-2.74091498821888,A,33.108391798498225,-47.47167668913783,1
Female,A,D,D,-61.511907371118255,C,C,B,C,25.772039780187484,-86.96245269578284,-32.77163572944398,C,193.8071887763974,76.10876991420051,D,-4.833201573257644,E,103.2335091326945,-127.71858195578574,0
M,E,C,C,-47.313793487336866,B,C,D,B,25.068464166176224,95.80690264529385,15.614898476215094,E,-71.77455204914189,-48.0058448008637,C,-4.299591149705524,A,-83.9445746074176,41.0288682864261,1
Other,D,B,A,17.46488119644532,B,D,C,A,-36.896228781125814,-87.9105805975261,35.58715053802787,C,11.088241938702307,66.05300635800026,A,-56.6499054233631,D,19.429728588136122,-12.105705491401388,0
Male,B,D,C,-17.027649447200204,B,E,C,E,-85.66816508367255,123.5193852534984,32.4324550223644,A,5.0439239591142435,-185.89578317210734,C,1.4558912393752441,C,-3.1560583086891163,79.78212579775564,0
Non-binary,D,A,B,85.04854188786258,E,B,C,D,-10.217735982498127,-94.50653451818907,190.71863776291477,C,106.0811441553749,-49.21739266724363,E,139.60446943461437,D,-79.27488316496843,6.689777502327783,1
Male,A,E,C,-1.5989377180424547,B,D,B,D,16.5587400842218,111.96792635318147,-3.726355552590194,D,-7.658728814438151,-15.802746651423197,A,74.21196744144326,A,-140.81851466550287,-57.518400184667684,0
F,B,A,B,45.2035718753624,C,D,B,C,-28.432413309187766,99.79140424014099,16.101697394795174,A,2.3475626573508728,92.83650251376476,C,129.09404398833055,A,36.95965270229646,163.54902778615659,0
Male,E,B,B,66.1185581706023,A,B,D,D,-20.831058645152602,1.1137151775265504,133.6581511579743,C,107.34662001265612,120.65728860102985,B,4.681600119240183,C,-99.40052710309361,45.22834411006025,1
Male,D,C,E,250.9609365592755,B,B,E,C,57.60183297459251,5.542722748591324,138.34611842704624,C,89.33735392189689,-90.5183593661459,B,107.56226156112858,B,110.67052473730885,-137.6360058951586,0
F,A,C,A,-32.52952165081394,A,D,D,C,-68.24012482983306,77.69089898121075,67.54715897412329,A,-55.70096115766835,-42.77927022865212,D,68.19017023355107,B,150.69303357052226,172.26187482161268,1
Male,E,D,B,-100.20473411504692,D,B,C,E,202.94545885750432,4.027794547899148,214.92776699820882,C,-209.3072346497634,-51.90806224863687,E,-89.97888980021536,D,-32.53531558150092,44.47682900700137,1
Other,C,B,E,49.391552118442576,A,B,B,D,-111.69410578900873,49.32451410756442,-96.94254308328259,C,-71.86451662501845,-30.569956529086944,C,-60.15510498361749,C,-140.13292537012538,-3.333911716301446,1
Non-binary,A,D,B,179.75208069995438,E,B,E,B,-4.570923871292007,-1.3021323983632875,28.182501819880923,A,-5.756602787103645,60.90536687767788,D,-95.85860645822623,D,-209.84265285934706,73.9091390125361,0
Male,C,A,E,-107.62258574499539,A,B,D,A,-123.8780613564638,-115.44138575620184,23.273662521470538,D,-158.6235962587505,58.82121396322895,A,8.406773815758562,E,-7.521398497259954,50.232830017027595,1
Male,E,B,C,62.721137794031115,C,D,D,B,159.37322475688077,-81.61234289627647,-192.2284923785226,E,56.121788311394084,4.3903950831797784,C,-85.373847842028,D,25.584561477345137,-14.17093454504801,0
M,D,A,C,-51.55300402437744,C,A,A,E,-9.283096840381985,-45.55555462175656,-24.93191480597857,C,-8.212325634865598,-65.56794574282947,D,42.982933693275655,E,35.87111679427772,10.49324673462294,0
Female,A,C,E,-209.78625869392653,B,E,D,A,99.39884532256626,-51.549810000761575,-80.65539054236618,C,59.9285991217357,-59.88024656768008,C,20.750416518296998,C,211.35972389611433,48.64333510915681,0
Male,E,A,B,-30.574615423575217,C,E,D,D,0.5333921789348804,-54.83082896631111,63.10263042405897,D,9.209430681292455,6.086868091483848,D,144.0368860984601,A,135.60893611492583,-67.30505683366792,0
F,A,E,B,122.60015017585192,E,A,C,A,-14.784560837201042,152.41012547886675,-107.67084729998635,A,-102.75907696196592,-131.11956849277695,C,38.82223920148891,C,59.894844535634604,92.78510014803037,1
Non-binary,C,E,D,-176.39168840724005,A,A,D,B,18.580077279286986,-83.68254682558067,-188.3196733017153,D,-103.20515229816161,-39.7783143378756,A,9.856066258579766,E,-87.3618271185846,-43.53733702413342,0
F,B,B,B,107.77205898832933,C,D,C,C,-28.529771374591473,-248.94546246856981,-69.07134997933996,C,-20.65987786621954,2.5414950935710263,A,-40.81504226380822,D,202.96841240766224,-89.61393505640812,1
Other,C,D,E,-31.167660548506188,D,B,B,B,-35.54202084804029,35.56504238132067,-76.72380033872122,E,100.52297923537043,58.4286874188252,E,-53.86500893970678,B,-79.68973634954793,-134.91550060586627,0
F,C,E,B,-3.573971628792653,E,D,E,E,-5.885867027445175,114.06922859067177,4.905144305571301,E,5.2497607775202155,63.21274374523278,A,71.55817725859588,E,100.542062735011,-4.141606086946816,1
Non-binary,A,C,E,-84.60365271816673,D,B,D,E,115.17683947386553,36.69503854196229,156.43876001745335,D,31.049098857071293,-77.14797687350227,D,-28.407785231148264,C,21.88101846727429,-120.90239183830613,0
Non-binary,B,E,C,169.36024862155335,C,B,B,B,57.696838370274804,37.21051834431376,95.63394561824433,B,-168.29075613991623,-61.535841393328205,E,-37.571403153592605,C,-116.40004751271312,-136.56538580100369,0
Non-binary,D,C,A,-1.6454030205377577,A,E,E,A,-54.201060407811894,-6.503909361052587,-140.31814883401253,C,52.50928582984432,-73.71184235297234,D,56.19057903909477,B,-100.681398143824,-182.41550782863087,0
Female,E,C,E,-164.5803522111532,B,C,A,A,-63.8317493445144,5.707451154008,-36.091523881265175,E,-54.83678061906952,-38.9587249243038,D,90.12515460105529,A,68.69147354025121,14.889527349873214,0
M,B,D,E,17.911270509387133,A,E,E,D,-65.78034651681685,28.911144810374843,-94.15234289098963,E,246.7817397828322,-134.96446287363685,E,-140.163572543134,D,63.14879755427773,-101.99190578163437,0
F,B,A,A,-13.959572312466348,A,C,A,A,103.35822990778168,-136.73713402612765,136.96795714052362,C,1.183794893474643,130.23377704099406,D,-93.13147155152647,A,-24.342901292584575,-85.34261088087261,1
Female,D,C,B,-65.87032748542005,B,B,B,D,145.54201466627995,-4.051110570259672,3.6298462343560156,C,-157.65209632352315,11.198713246859247,A,45.192875305970695,E,-48.48532185691939,34.55612103727225,1
F,E,C,B,-25.300404894714017,B,D,D,E,121.44091537234176,-80.49443406117032,98.47475462651298,E,-22.685814545221803,110.77268199497856,D,-187.16799773910827,B,93.32535515514635,126.63737964246513,1
Other,E,B,A,-142.06329188220388,C,C,A,C,10.220943275941234,373.85011100816405,-5.784560037454641,C,198.5574148148506,2.5224093788254542,C,-190.05322499223269,B,-191.85723096457698,139.90226501053135,1
F,B,A,D,1.6318136694154717,E,D,C,D,130.3429227161671,-44.32397093532279,-24.77355335309555,C,-32.969739772340866,121.0588535625178,A,23.23322441128036,E,-11.23656230582722,102.2065026003115,1
Female,A,C,A,81.44953119650553,A,C,D,D,168.66896400313297,-0.1185166354383685,226.5829135375147,E,125.57711937563091,-185.93336087603493,E,-47.47548393202078,C,-11.753085476542669,67.08471314495948,1
Male,D,D,C,-44.743942724446576,E,E,E,E,-18.031712017100467,-15.627825097628145,-196.9964440057995,D,92.79132857342563,83.7362469998516,A,-221.21590724777448,C,31.620910087553423,-55.477724884777736,0
Other,E,A,A,-252.02202822353746,B,E,A,B,146.477134185855,30.174243194696533,-21.643590067721604,C,-65.74786294900518,-63.05881329371768,A,-91.6149698541808,D,120.81886780624494,-23.204908786044403,0
M,A,E,D,-38.906267851666456,B,D,A,B,73.08674080544623,1.9689534289042372,311.1889732114704,A,-82.66539171696297,71.35710371266512,D,6.805175269407,C,23.9035721771325,-113.57565382921801,0
Male,E,A,A,-21.94600671317908,E,B,C,E,-1.8290260405508865,57.82169692048965,-38.80152683937217,D,84.33245461771892,4.43725051189675,E,-104.49353247442627,B,166.16697409078807,175.22680521564854,1
Other,A,E,C,-33.06987792838933,A,C,C,D,170.68439935181897,-120.37254444272614,-81.66639732687577,A,-51.20677788473548,20.46143622980859,E,-6.435572579265381,E,47.172135327055564,56.44203007617685,0
Other,C,A,E,201.5216143421243,C,D,E,A,36.20619378344359,-217.42604787449693,-81.03441202005158,E,14.110902897982012,-30.30720901041836,A,135.60859301003163,A,-7.159387182739732,-124.51016222001836,1
Other,B,C,D,-88.02797786622574,C,C,B,E,-33.94843232835442,-96.62557363978642,13.4716593831458,A,-114.7479723944198,-213.36182191225933,D,-99.82200149217569,E,22.593002219659322,-13.997566895003452,1
F,D,D,E,-132.65948389263943,C,E,C,D,44.159354237920674,309.99683890639244,-40.35579959338563,C,43.459906247162,51.57320960825498,E,62.67264697126483,E,162.28866447166465,-51.213802982704806,0
Other,A,D,B,26.258513579343074,C,A,E,A,134.21714301061593,-217.15591329322166,-66.44814594228717,C,88.83321713963312,-63.574369110857866,D,-36.20891985872626,D,-12.073886124998706,118.69605229238202,0
M,C,B,C,-50.855555883340585,E,B,B,C,-95.34390495291987,160.43175157708407,-171.2675426850317,E,51.61436803140506,71.06197614730509,D,0.7717877361001987,E,-131.03691438648136,-47.54047424493022,1
F,D,D,C,-65.83161816012286,D,C,E,E,-16.626256696083395,26.26789308676591,-19.73263284438814,D,77.07884770278135,-94.2227775133727,B,179.3834321444495,A,-156.34266080290362,-138.03612400099485,1
M,D,C,E,-99.31706616728027,B,B,C,C,89.01364530770984,-45.97095803540407,97.57220608994652,A,-61.6217585006673,40.964240679400255,B,53.31535413769477,B,-5.837657777819178,40.46995784195936,1
Non-binary,C,C,A,-165.6505035949511,A,A,D,A,1.6573959428198166,25.178732255191672,89.36307510570659,E,-94.50955179183836,10.501547395659081,A,46.56502979920255,A,13.68371966457059,88.18027991181107,1
M,E,B,C,125.01866068122463,B,D,E,C,-14.41467808155466,23.85528685472329,-133.46496316694407,C,11.250909285218713,-40.48604410878107,C,76.00303810622341,B,-27.1799739835901,-7.449258542404877,0
Male,E,D,E,-45.58110899723761,B,A,E,E,105.74803820756485,-81.0735520988214,72.70174869192286,C,92.86748541540312,11.15070436121441,A,82.14261267573934,D,-37.043524495344705,2.017988060997825,0
Male,C,A,E,28.98194884049911,B,E,D,C,3.6077818664542765,-65.05133031054186,97.27718843457843,E,-0.512151663466934,134.9053057782481,A,54.52234174597209,A,-3.4666824643577536,38.218709528705936,1
M,E,E,E,34.812451858476706,C,E,E,E,-161.33747588658528,84.25934287952337,15.099438330327104,E,61.84616024692955,-115.92622445579683,C,84.30919564921489,C,26.07083414704715,24.83606693914387,0
M,E,E,B,-54.886887250012464,D,C,E,B,208.54056940254577,4.604960527303441,-93.98180409690727,E,-92.40372796670341,5.684150643967733,E,213.81167773827593,A,-61.95377949057532,-98.51120756622103,0
Other,E,E,B,107.16809189434302,A,D,D,B,-36.747134833507076,-1.0162844779104432,75.44830738433738,E,-174.06953675558952,36.70502961319184,C,-108.16916185047565,D,15.664227331601879,130.6156274986636,0
Non-binary,B,D,B,100.78387163724148,B,E,B,C,-22.242193607113826,-66.37716999433579,-29.471883005947884,E,218.99239457806644,-54.77442689650132,E,-152.9477279846047,E,74.49301498163958,49.89660568274952,0
Male,A,A,A,-61.24980460566888,E,A,C,E,-75.1945975402701,-66.88563535951326,50.956489041814436,B,73.53572159587594,111.78013272555405,D,19.34616124926819,D,211.3719128629831,62.79269205249245,0
Other,A,E,D,81.92173416770707,B,A,A,D,86.25544520860619,12.660756341421123,132.3415016850943,C,18.499715304265766,171.7571446723943,B,4.539922482745617,D,-162.2994848919244,197.73686004358638,0
Male,E,C,D,-80.63595515987963,D,D,A,C,-165.77839579128914,26.8599262212706,-30.565311414866958,D,-84.63502507813403,114.1041247689216,D,-95.42016885240793,C,-68.46830140682985,-231.58908238461495,1
Female,C,D,B,-38.98304302058857,E,C,E,D,-121.97933010007083,104.53886175929507,-111.09588086639546,A,59.25399818342535,-114.11383310673364,E,103.64236506065801,B,-28.083917781178087,109.9887796524448,0
Female,A,A,D,-99.71538626227249,A,A,D,B,-48.12361171697538,131.5717265531877,-110.05097604907029,A,-65.83646590354381,-26.981773955753685,D,-72.25495835715925,B,37.631966313278326,-55.3976561366454,1
M,E,D,D,-145.3841752171104,A,D,A,E,51.0836963078632,79.08729672800656,-38.54312406537927,C,86.11091499956423,-209.02482291843432,B,61.893380173602786,B,100.3138995725715,82.09714118575727,0
Other,B,A,D,-129.94354487108458,E,C,C,E,-163.9049219495619,12.564684289561134,-67.33953312321856,D,-51.585845882473095,-85.85390239739104,A,156.1166915919801,B,-124.09211638420423,83.63870780615599,0
Male,A,D,D,26.421678095020614,B,C,E,E,16.6928475381941,-17.19352136719871,-53.02912113080549,A,-46.670043452412365,-15.355072295243682,D,-116.37908561637336,E,-107.21003597202031,-36.777589962900386,1
Male,E,B,A,178.40263812156866,B,E,C,D,179.8145834825041,-63.258982400745,-71.9602489314079,E,-27.424106638658458,-37.58689727806786,A,-75.2663706775499,D,23.620917998392574,32.46856851514489,1
Non-binary,E,C,C,-60.50557956680551,D,D,D,C,80.11939188798458,-37.71010322877604,80.4665192591936,C,112.25357327665104,-95.56986729094807,C,-91.65261289420494,C,-52.043682760488984,54.56542471966933,0
Male,C,D,D,-12.228398119265984,E,B,D,B,-11.021119557492119,57.150143684713214,-6.380805132157548,D,-107.16907327857412,-43.45210353846029,E,-66.66068241443239,C,104.61858640375914,97.85072304162894,0
M,E,A,C,9.347993648195617,A,C,B,E,101.20238844818243,-80.38875950573913,-111.74880928512655,B,58.980410172261585,36.41427073060902,E,2.4185985509711747,E,29.477888426539227,49.91874229865369,1
F,A,E,E,-77.0271136881106,D,C,A,B,-62.627989733319936,14.883142724021,21.350601743286386,D,76.12221010976486,34.162967846578915,C,-51.31551608612316,B,-91.70779500724169,43.161079867726556,1
Non-binary,D,C,A,122.98125086096591,C,C,D,C,127.52203603295808,-36.894914235201085,-99.98991866749584,A,-99.43037928373326,68.5177912315616,B,107.71817260268219,D,-90.09571401812872,40.11711652685825,1
F,E,B,B,-131.32854417639135,D,E,E,E,17.027858055280387,29.95770448751516,-4.5161297767333295,A,61.25571324117177,-157.56221414806384,C,-72.4020345492645,C,-144.02585335182278,26.904929471382665,0
M,A,A,A,-139.7520409546315,C,C,A,E,-9.700643712273287,-37.98725048819687,-7.972641878930843,C,4.44669527109386,-91.33730063754257,A,16.50619405228411,C,146.40732725651222,40.15309980766554,0
M,D,D,C,-98.97249632895424,D,E,B,D,-97.22222064130446,15.318755946240639,99.9045987515494,D,-93.26462693776621,5.298785706829561,D,-159.37810484392605,C,-23.662634765326843,54.10522413250528,1
Female,A,D,D,39.94412922716021,B,B,E,D,8.295324780714752,163.55066762109348,85.78977457939729,E,7.066167151048311,-150.60637757573906,B,-91.0770700047003,D,-82.16475569694983,128.38041710382163,1
Other,D,E,D,124.35258012750958,C,A,C,C,-161.2165959214225,-89.60775645552282,-144.87054264069707,D,207.4619136886005,-128.6027442788753,B,53.70336035469033,A,121.14118999502298,13.111455458644059,0
