sexual_orientation,civil_status,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,target
Homosexual,Married,A,D,C,-125.41964224336648,91.10362219378449,302.61032500237945,58.9163949637457,D,-50.74340519960582,70.1687014269918,D,E,D,E,1
Heterosexual,Divorced,B,C,C,-120.85840225990898,155.65043131554668,-19.43740822861912,81.19261650349905,D,-84.87989625179176,83.19612340375394,D,A,B,A,1
Other,Single,A,D,B,-4.440212407399939,7.3631821546909,15.523366695903643,-48.980737588296364,A,62.63761405543502,-54.47026245339555,C,D,C,A,0
Homosexual,Single,A,B,C,-46.45125863238469,-20.207862443978534,-53.94757329396306,191.11149980472152,A,118.4331865812311,-47.95264529524651,D,C,B,A,1
Bisexual,Divorced,C,E,B,-52.509814732578356,87.35303307157707,34.9067311020405,-136.68703558687662,E,32.9328413347481,27.829074406685155,A,A,E,B,0
Heterosexual,Married,E,D,A,14.592218758495301,55.796063369672844,-127.1890545583444,-164.28617922175417,D,-17.136778014622163,22.31954182503592,A,E,D,A,0
Heterosexual,Single,A,B,B,57.789439785045325,-220.72168059880758,198.6595404301612,164.55918508537343,A,-135.21120860339553,2.8348994449849028,D,B,A,B,1
Heterosexual,Divorced,C,C,E,40.032400273714295,-52.74564650184131,-130.96719060028585,-149.8328710835424,C,-10.61440312256472,-11.223386502017698,B,C,C,A,1
Other,Single,C,C,A,-146.70672930286085,-23.398367991968794,52.91943335335611,-8.641313235434856,D,71.98612747248914,91.38072621966509,E,A,B,A,0
Bisexual,Married,E,D,D,-47.27682501316865,23.54362428096895,108.64739206421396,-81.1732515539787,D,-187.84126170815867,-185.4459449758298,D,A,B,D,1
Heterosexual,Single,D,B,C,15.512545972012465,88.3920744197371,-140.93702583168175,72.78622280659005,E,-38.60655013139157,114.29339197599657,A,E,A,E,0
Bisexual,Widowed,B,C,D,111.24191714454284,102.14220092947821,-81.94100498139647,23.82831132207675,A,92.41443929847732,5.008611941948666,D,A,C,E,0
Other,Divorced,E,E,D,68.93607369527646,120.58442165921525,-132.17936729532633,27.66027767920822,E,-29.791557925307377,-60.07257764170606,A,A,D,B,1
Heterosexual,Married,E,B,B,-7.463696015743023,94.99878239286082,114.80024407917375,-42.70309016520002,C,92.78749059950454,149.0642078965123,E,A,C,A,1
Bisexual,Married,D,E,C,-46.24612200786066,-63.41743896450043,68.61196088762155,34.21103837051843,A,-56.8200861294724,104.1310357288461,B,E,C,D,0
Bisexual,Single,E,B,D,-88.21859866907613,56.91330198071445,-23.827959919980398,85.19224468706201,D,61.68087398793327,14.256361403816959,E,E,D,A,1
Other,Single,B,D,B,278.6462396649612,-125.0828173587164,-146.1434357764626,98.50035664370115,A,34.930964303948805,102.70043622479521,A,A,B,E,0
Homosexual,Divorced,C,E,E,77.45923445801579,-110.40666425304333,-46.157915395754316,44.7017928345678,E,61.69382339690357,-128.89455007263047,A,E,E,E,0
Other,Divorced,D,C,C,260.7601383010597,-214.54004282620306,184.6730981369555,-56.74644352024656,E,-129.59281898524787,-45.638831500133456,A,A,E,C,0
Homosexual,Widowed,C,E,C,-43.357155306896374,8.672460511463202,-107.03738051812061,33.57876902390176,C,69.50818775602782,-123.60661263575948,E,E,E,C,0
Other,Widowed,D,B,B,-6.466999144025613,89.27853995458864,-51.73435409087658,51.486018744492014,B,-15.047397445889368,-112.21458919926101,C,A,B,E,1
Bisexual,Single,C,B,B,-148.9621586261781,148.76527611598152,-28.148349654600512,28.167180170622867,C,81.14239483339534,-82.08193374675614,B,C,C,E,0
Bisexual,Widowed,C,C,C,83.55408307980125,-49.986523001380796,34.950498955132154,-244.50603970632594,B,69.71919493209076,133.69135046863693,D,D,D,C,1
Heterosexual,Single,A,C,D,105.27360620721402,-182.22175186052425,66.42088873934352,63.9597425305819,D,46.11122408453884,-51.341955952284394,D,E,D,D,1
Other,Single,D,E,A,-78.59792055390258,242.7873851385326,-7.680311046550564,-38.043697726004716,A,-243.84495318703406,-58.24020438755541,C,A,A,B,1
Bisexual,Divorced,A,D,A,48.55340708325871,-10.593327962335179,168.95286722277527,-126.8790551544038,D,8.87467157149728,-7.732924956528242,E,C,E,E,1
Other,Divorced,A,D,B,-35.39152274615694,-128.9996239378798,14.900128141371516,-30.330818383188863,A,123.21639471828905,-56.790890334765834,A,B,E,C,1
Homosexual,Widowed,C,A,E,-34.62620837303865,-166.9052278135876,-67.26751647434112,-93.54150891937985,D,-17.553987476293493,104.28140314085688,D,E,A,D,0
Bisexual,Divorced,D,B,B,43.53192330462057,2.696293092184334,-199.10145612598308,-149.35023035309752,C,56.86012861877181,4.657745600897178,B,C,E,D,0
Other,Married,E,B,D,-43.3629136402313,72.81390217040793,141.50915207855388,-109.57035706986848,B,-66.42722028736809,-71.6667663865379,E,E,D,D,1
Other,Divorced,B,B,A,-11.756277120768852,306.6089884693927,-83.9403528016117,69.45255349966962,C,-42.230825200584924,-94.2610744180363,D,C,A,C,1
Other,Single,A,E,A,-51.08682310486932,-13.198599897943566,-91.12432952886218,14.878295243225178,C,31.42849600136945,-132.00297072175863,C,A,B,A,0
Heterosexual,Widowed,E,B,A,54.2752728589244,-139.4803667859432,-155.6460338986847,-72.18402930522939,D,49.469597740331736,240.45599041235266,E,B,E,A,1
Other,Married,C,A,B,23.247012665935117,13.216971522993534,76.71343227881523,108.24054255858164,B,34.84557371836129,65.8086242609408,D,C,E,D,1
Bisexual,Single,E,A,B,33.95176801150301,158.53862865856462,-153.56245639166852,19.709687298046838,B,36.827684194843975,-57.20394269443722,D,B,C,E,0
Homosexual,Widowed,E,A,B,65.74589013009758,-261.94275940141716,-151.74260027271401,187.0547823763804,E,88.6862882780365,28.68103461846741,B,B,C,E,1
Other,Single,A,A,C,46.48406504861165,88.52040159997256,40.20844722043117,126.44407234762645,E,-22.76109086159753,-108.01670242339382,C,A,D,E,0
Heterosexual,Single,C,A,B,96.07838727775217,149.96473872695228,-58.96557419465607,59.10105338650268,C,24.660007787342526,-192.80856601484885,E,E,A,E,0
Other,Single,D,A,C,96.3690230338071,-105.35815341701836,119.43677514339387,-9.050749194961401,D,48.44547789202447,-58.83571673625021,D,C,B,E,0
Other,Married,B,B,C,-28.679394256540913,57.05225960588638,-88.2933530347892,74.9900732504928,D,-209.8369710332241,195.14542996482606,A,A,D,B,1
Other,Divorced,A,A,D,-113.69352380295332,49.873043621431904,28.261622481255433,-35.47370036388151,E,-176.97184152983206,184.13239866997327,A,A,E,D,1
Homosexual,Divorced,C,A,D,-84.01303362745357,115.86039528403207,87.70713282813438,53.607153392154,E,-114.69503222704718,-32.48784994544142,B,E,B,D,1
Homosexual,Widowed,E,C,B,-15.988718481198735,-34.17684727527106,48.40954977120207,73.11961691661134,B,24.294058423515814,62.2495342535525,D,C,E,D,1
Homosexual,Married,D,B,B,87.33403912054023,181.90276168546367,34.54263923958719,-60.297496037630104,B,-44.69438235593448,78.41561814096478,C,E,C,E,1
Homosexual,Divorced,A,B,C,-31.32603489515178,4.230809805674217,-73.24297723247994,-24.9831755843779,A,237.59070728695716,-36.48290346251681,C,E,C,D,0
Heterosexual,Divorced,A,E,B,-100.58533036301324,-124.21792879428035,130.3146301666884,-88.4472582441833,B,-134.65469123863923,118.81500736992618,C,E,E,D,1
Other,Married,A,B,A,44.986672358253706,-11.056560211382276,37.56998366642065,-0.1627558145220684,A,-294.33274310295536,25.983460287840177,D,A,E,E,1
Homosexual,Married,A,C,E,-28.135287151613596,72.22758899038911,1.3528694072473857,86.628247312572,E,62.11131348283332,-156.94924795383443,B,B,E,E,1
Bisexual,Divorced,D,D,A,-68.26125775690063,45.437636094388836,-80.11104447700731,134.6941407576852,E,-30.562921555415517,-21.231958409123404,C,D,B,A,1
Bisexual,Married,A,E,E,151.72616971744353,-51.52546038634745,23.31060933806274,-12.288887118924922,B,3.0236686297582938,-183.37168366397938,D,A,B,D,1
Other,Single,C,D,D,45.49431314284123,5.348517138957197,23.510145395005758,39.47415725286124,A,84.16043669489791,-217.34648121357498,D,E,A,D,0
Heterosexual,Divorced,D,E,E,12.015392650430222,-6.876507999661219,20.050366899804928,-92.46321076302006,C,153.63255618101402,-143.57426537946517,E,E,D,C,1
Other,Widowed,C,E,B,30.28084280441031,-34.793581269193936,129.56107555233297,-67.24981178264204,C,-121.48133649262462,-66.53598787092973,B,A,C,C,1
Other,Married,D,B,A,75.66712232067572,-61.080197375125564,-63.89444092246887,151.94257122975537,D,-83.40462640640811,-131.08171366424534,B,D,C,D,1
Homosexual,Widowed,B,E,A,49.64645914438978,-98.68762803836566,90.02372575833817,58.35183084933916,A,-19.30404747336918,-186.40071417971683,D,B,B,D,1
Other,Widowed,D,B,C,-61.60670733753576,-82.93347964736031,220.12411832043682,-82.42585576550844,B,-89.46938458429408,66.05534073445033,D,B,B,E,0
Other,Widowed,A,C,E,-28.859365247154717,103.99266831337964,-101.67427373344768,-2.61800379306437,D,153.60860985198,121.40527184657945,C,B,E,E,1
Heterosexual,Married,A,E,B,-13.145264204734719,-116.80380794415652,56.423174580366464,-138.48096484839326,E,11.204239688309737,-172.3990197626194,E,B,D,A,1
Other,Married,D,E,A,75.45515887232843,-0.854264226773054,12.380539875949246,19.01843459012259,D,137.97328015613994,155.3715547822502,C,E,B,C,0
Heterosexual,Single,E,C,E,-92.30449808387262,-4.726952860507184,-35.94063277134983,-175.5232673274807,D,51.80709547159251,41.259623902468974,A,E,E,E,0
Other,Divorced,D,B,D,-16.456916878251707,-47.38618516058669,-159.1346697736893,-103.41798103101584,B,-164.47518549220345,-7.4438542695540315,D,B,C,B,1
Bisexual,Widowed,B,E,E,-81.97412006756909,-188.46445325536877,-16.527134891275,-115.27108368211697,B,155.70262202172987,15.640272799145812,B,C,C,C,1
Bisexual,Married,C,B,A,27.938374968037966,-124.52246091029069,-45.36564623193877,140.00068470028756,D,103.08439543169186,-114.77842329666883,D,C,B,E,1
Bisexual,Single,E,E,A,68.5541704724019,36.487793493165874,-45.326072737746834,-138.2096439758953,E,100.78315153610633,108.0361941978951,A,B,B,B,1
Other,Divorced,B,B,B,82.76163698874585,-63.15479680370122,-57.71984897258854,-11.134507695756486,E,-136.54324664000578,-128.20557898476136,E,C,A,B,1
Heterosexual,Married,A,E,B,-14.94026144109985,163.80665622820837,-127.19872249787517,46.94299525562598,C,137.07913349768407,217.55789278711117,A,E,C,B,1
Other,Widowed,B,D,C,113.72876971896618,-105.79882820692549,-186.1950271277438,-95.55844829781456,D,33.601593046458476,-50.867520632658916,E,A,D,B,1
Homosexual,Married,A,A,A,149.7308614603302,-37.56704005040366,-14.853230853727414,122.44454675487908,A,-48.47691554055966,-14.044354443743812,E,C,E,D,0
Heterosexual,Divorced,D,D,E,-78.95479987616538,131.5084917483053,26.55220015815849,1.9667671925999946,B,224.8853527612501,-77.13977234824291,C,C,D,E,1
Other,Divorced,D,A,C,82.01273186837082,106.68012341654433,-100.56288649602492,-70.5880479222183,D,-31.618851002324483,4.691475740884849,B,A,D,A,0
Heterosexual,Divorced,E,A,C,-10.933930425831834,-55.53224389975312,-9.989516667679386,-18.119918743519456,C,134.8754806637604,-77.2535722012449,D,A,A,D,0
Other,Widowed,A,A,A,-41.33540339298195,-120.77698062943438,-114.65901182677756,-20.852371199259284,D,13.294107826569022,173.57478028544537,A,C,A,A,0
Heterosexual,Married,D,D,B,19.96777305888083,49.68518845670366,110.85878209751128,-107.83303340291015,C,-0.005569918236728521,-132.81875970547722,B,C,A,A,0
Homosexual,Married,C,C,B,-62.212090008706156,41.43265427967835,24.89252520089592,-179.04735395970303,D,-58.285743477197435,71.77302538940856,B,C,B,B,1
Bisexual,Married,C,B,A,33.065511628767084,165.1754618452922,-24.81521601148675,2.1160035999266262,E,-47.40901834560703,122.57426459754844,C,C,E,A,0
Homosexual,Married,E,C,A,156.60008618743217,140.11999031294772,-9.547373725732157,68.82736049466294,D,-146.20750889903522,-116.5961942880375,D,D,D,E,0
Heterosexual,Widowed,E,D,A,-12.595812371053217,75.32784164611968,-89.61513378336238,32.566666790237385,D,-99.70525996836555,-103.71973874711054,C,C,A,C,0
Heterosexual,Married,C,A,C,66.69281596532738,29.40980887715785,-125.05186128687428,86.6017195573428,C,-85.4799651732372,168.18911211855846,D,E,D,C,0
Homosexual,Married,D,C,E,165.57139951125802,-83.357280973139,-103.72332870868976,-123.24529725706361,D,128.93017408290603,-193.09886721506376,E,C,A,B,0
Homosexual,Single,D,E,D,-170.07514835556384,-76.43903376957262,23.92655880228117,-47.62071275721555,E,-81.16959106677267,127.87755245075705,D,C,A,C,0
Homosexual,Married,C,E,A,-61.33536947749783,-102.72922962679594,-26.312995973914134,18.384734167369217,E,20.98220792932361,9.372306586934958,E,B,B,B,0
Other,Widowed,B,E,E,32.15758641894021,-165.44873963184116,75.24878349160488,-317.48360792212543,C,-57.53498917380243,-33.76641679869739,B,A,B,B,1
Bisexual,Single,A,E,B,-13.94140698141268,-74.32412495426306,-164.40700182154532,-109.50474973516184,B,32.92179241474785,3.326050286814709,E,B,E,B,0
Bisexual,Divorced,A,D,C,196.92901424351817,135.24663039278016,-68.76608915593665,3.6799794064232296,E,83.04601794502545,-35.05240659436245,A,A,B,E,1
Homosexual,Divorced,A,C,D,49.94578331234384,132.03971269661844,-19.82936920168164,-61.41766170915205,A,-83.35500774367158,-8.935872121881463,E,E,C,B,1
Other,Single,E,D,B,41.41265561873734,-89.02825455187062,129.64112758055396,62.41051372900807,E,-42.88133275484873,-56.57317187548103,C,D,C,A,0
Heterosexual,Widowed,A,E,B,18.478467517603868,-121.71141473207874,214.40713193427706,75.58948749677094,E,95.02506051404028,-168.52176429800227,A,D,C,A,1
Bisexual,Divorced,B,C,B,13.195203784665393,55.74532731513937,287.21572992925735,-46.782633592764704,C,-58.94423176968101,-119.50274621340589,E,E,E,A,1
Heterosexual,Single,D,B,B,30.367745168391664,49.75661232841374,-32.66638050120273,34.61604224426953,A,-19.748170693945085,17.31385851035987,D,E,C,B,1
Bisexual,Divorced,E,E,C,-63.5896612764532,-43.33405390347871,144.45019612020843,18.23725738311927,B,-105.63830408009638,-89.42493200461364,B,C,A,A,0
Homosexual,Married,C,D,D,110.35098443047325,-46.21509730968723,62.16337068857237,43.17670675498175,B,-87.73445563949048,-43.97453859984972,C,D,E,B,1
Heterosexual,Married,D,B,A,-16.866655021010928,-74.66322265108441,-45.446766556153385,-83.9970228664109,A,-88.13951779620409,41.65394642371129,D,E,C,C,1
Other,Married,C,A,D,-96.0311379913144,31.67321136094095,93.01779064781006,90.75087190918,E,2.964412737291353,-127.32343754447567,B,D,C,D,1
Heterosexual,Single,A,B,E,-56.685685338810366,10.489602601918707,36.33732991667753,219.48237340484008,D,-269.4794147402428,-70.50376858475748,D,C,C,A,0
Homosexual,Married,C,A,C,-75.1065590858842,25.14914290652312,-68.70436998672167,75.50519259920455,E,66.49833352308265,104.0636964112715,E,B,C,D,0
Heterosexual,Married,E,C,C,15.728507387577547,51.8828823799644,19.604519241540917,80.98409924557666,C,105.2168545490411,173.05308951269478,A,C,B,B,1
Heterosexual,Widowed,A,A,B,-152.3135645547517,-67.48401211011982,60.3859906409505,68.62262197892981,C,6.448343536945904,-42.69530534383926,A,B,D,A,1
Homosexual,Divorced,B,E,B,-28.296007454655587,-85.98289234539862,45.486000238208,75.26908979845108,D,9.644344211554595,97.42993056690811,A,D,B,E,1
Heterosexual,Divorced,A,B,A,188.8588445577444,179.56245212185001,-37.31947294424187,-81.21078578494456,B,-27.262994529050893,-14.297919403056843,D,D,B,C,0
Heterosexual,Married,D,B,A,-92.72140218274852,79.14695899273939,-120.70915241327684,78.05906481574529,A,89.09167045597594,12.219587656995886,D,B,D,B,0
Other,Divorced,C,B,C,127.61562268931775,45.945074365035396,51.78149775673716,-104.30571699989659,D,64.10179968737076,-118.4646483971657,E,D,D,B,0
Bisexual,Married,C,A,E,26.128568760668752,45.84784109740087,-91.3508287272718,-151.06975803045896,C,-31.924412862369067,-192.91327620077982,A,E,C,A,0
Homosexual,Married,C,C,D,-2.3025198192814362,-247.23852259031983,-22.271038030937007,-165.52553866146513,C,-62.396193157616274,386.2868511581434,A,B,D,D,0
Homosexual,Widowed,D,C,B,13.109597509694607,74.4713561516593,62.25670151200298,-6.265301379731255,D,35.9355632265958,59.98640952516776,D,A,C,B,0
Other,Married,A,A,C,-48.62480517105918,-237.62232236298297,113.21656881274016,10.713709678729977,C,-6.362764967580829,-151.93661254961592,D,E,B,D,1
Homosexual,Married,B,B,C,14.46297574622909,-65.741101953305,-11.800730916444929,12.34216621114071,B,-65.91278724307047,-113.16819454996782,C,B,B,C,0
Heterosexual,Divorced,B,C,B,-77.68134414014568,-18.943042357279854,186.29013926580785,20.256478013185003,D,16.63506031293326,32.40712371684392,A,E,D,D,0
Bisexual,Divorced,E,B,A,71.09397869514373,-172.78258798313792,-147.50074375271177,-40.444043145709145,C,72.33908431951446,-22.56306936412927,E,D,A,A,0
Heterosexual,Married,C,C,C,69.45422873843832,14.41446088354069,23.409081910622934,-24.861481276340353,A,-45.434895037853465,-64.73133818013741,C,C,B,C,1
Heterosexual,Single,D,B,E,92.82523587674308,-21.101261858444534,119.87326753063734,20.01530634552467,A,-114.63172054214009,-175.61689509204538,A,B,E,E,1
Homosexual,Divorced,A,B,B,20.00682437158255,-11.549555615604282,-78.28043721467289,-2.443618162531657,A,85.29258142099533,31.843646354599908,B,C,C,E,0
Heterosexual,Single,C,E,A,61.83351698240773,119.74492723827757,-2.724819663745313,87.03402892694781,A,137.83059594253595,33.354629632168354,B,A,A,B,1
Heterosexual,Divorced,D,E,C,11.607211466927394,117.76331356570921,68.43500667601752,50.49896385360542,E,-1.1978648809265109,38.7966941854983,B,A,C,A,1
Heterosexual,Divorced,B,B,D,-46.352497637073846,38.836857168148434,-127.79591611556944,-17.801596668562635,C,-18.76566753442303,-13.759570354448583,B,D,E,A,1
Heterosexual,Single,D,D,A,-113.17490244415636,27.445944547454175,21.271101369154305,-51.92615566549094,C,46.21490944901828,-21.09377736607158,A,B,D,B,1
Bisexual,Divorced,D,C,A,-56.75687334063974,55.96220502003501,-75.28537644767074,106.31863442848729,C,96.15057585801895,139.20350982480366,C,E,C,B,0
Heterosexual,Married,C,C,D,47.629576839228534,-128.945050243526,61.51315701327674,-113.07340606877187,C,-73.5045926531184,62.3124044262363,E,A,B,C,0
Other,Married,A,A,A,-131.45126514895142,-225.85476029175288,-44.17802277230082,204.92775850500527,B,-81.34172188016883,-37.803171340951266,C,C,E,D,1
Homosexual,Single,B,E,B,56.561858919699894,-282.42490943423684,-54.47962396887341,-63.47225504010433,C,-129.1003464310794,-247.9167146999384,B,E,A,E,1
Heterosexual,Divorced,C,B,E,-188.08174813227282,58.0904095430449,-57.48040735838196,-86.82591252894997,D,81.95013487978535,66.228754608806,D,A,D,C,0
Bisexual,Divorced,A,C,A,-78.1758127535372,-49.3438918233329,-84.41602808868016,-8.068986813269326,C,111.25477392171615,92.63563950820713,D,E,D,A,0
Other,Divorced,D,D,A,-50.71081079121086,-35.266112125725606,68.55348085652525,10.299165267761392,A,-1.6384534698842441,-41.78654860327018,C,A,D,C,0
Bisexual,Single,A,A,E,94.68363684729353,81.83180734666009,3.2939482881667987,118.32653305485199,A,-224.22989173805772,-120.91678295510313,E,C,D,D,0
Homosexual,Married,B,D,B,138.3214127311799,-29.626265664898266,62.98730989268826,0.24263894101103956,A,48.71890176737892,9.566300032628757,C,A,A,D,0
Bisexual,Single,C,B,A,-53.715725367892055,109.1758301562796,-133.83885830830323,139.84184003969372,E,-117.14652309769255,92.32947287128998,C,C,C,E,0
Homosexual,Widowed,C,B,E,-59.65636657541621,-46.89059436350799,-113.3011554947724,-5.7419433451991955,E,-35.91000406450069,-44.83184377316841,C,B,C,E,1
Homosexual,Widowed,B,D,D,-124.85697896480661,97.0456750523217,-78.13008698226561,-19.810261481003607,E,0.1483760727930493,29.38821784155785,D,D,A,A,0
Heterosexual,Single,E,C,C,-29.83926382515394,13.841629862704046,24.746142145244765,15.730431640042022,A,-7.535032887009005,123.2555625344861,D,C,B,B,0
Heterosexual,Divorced,B,A,A,-99.61396606574522,-0.29025542322346776,0.865283071807489,-18.822535457994164,C,81.95154096659367,-116.43272525279171,E,E,C,A,0
Other,Divorced,C,C,B,52.999698028004815,-119.57827929009899,93.24360362979208,116.34423917561799,A,61.82779875045657,-23.67261479865567,E,B,A,A,1
Heterosexual,Married,A,C,B,105.5069463028119,-41.773683402414555,82.7392817938893,221.1969294907659,B,-83.46427414228147,113.91687419041257,D,E,C,E,0
Bisexual,Widowed,B,E,A,-211.385353047856,93.90095837899112,-5.752691082981269,-43.15058624868041,B,-61.38928107127799,18.171879762942304,C,A,B,D,1
Homosexual,Divorced,B,C,D,18.91910422654799,38.50656620849669,172.55731058654496,17.61324389099262,D,-102.6706280369089,-46.41302148574301,A,C,B,B,0
Homosexual,Married,C,C,B,143.58661864731238,-20.45897509867134,9.070939979689324,37.42648046712405,D,17.514880730384412,-126.61012412084831,C,E,E,B,1
Homosexual,Married,B,C,C,52.75524162329391,37.857220594356406,-15.827878374371245,109.44210448735281,B,122.58660699362443,-148.97279004573275,C,C,D,C,1
Bisexual,Married,A,E,E,102.08876689706167,183.14505447081388,55.48314833845115,-70.74596042866148,E,-131.94372452853463,86.95172268551387,B,D,D,A,0
Heterosexual,Widowed,C,B,A,-136.01181667356775,18.72910302950615,-112.78492776631937,21.747992036613887,D,-0.322448305811286,192.52399069877302,B,A,A,B,1
Heterosexual,Divorced,B,C,D,174.8832389193464,-95.91912887348009,125.2959116799675,155.088592991401,A,-8.39654852545136,-44.2271269767154,E,D,B,E,1
Other,Married,A,A,C,-84.78639239140226,53.66601790761116,112.47022328028562,-55.2678289213753,A,-140.7571860324798,-98.13298132696315,C,B,B,C,0
Heterosexual,Married,B,D,D,-137.8177057222493,45.31580631364566,-20.583080870495852,-80.10437866698895,E,-6.428449067289149,-76.8969682304992,C,B,B,D,0
Homosexual,Married,B,E,D,162.17671465499433,152.6756213637072,62.88678206388582,91.10065104163228,B,19.7440780035086,-185.45030155869097,B,C,D,B,0
Other,Married,E,E,D,-163.05112850458977,-108.68539387001161,-0.9483637367591484,-55.41659695930018,C,8.219441915423113,-3.576633054768677,D,D,B,E,0
Other,Divorced,E,D,C,-39.91956412692972,103.17191256281018,130.959534783477,66.0738608840825,B,121.66450185658229,-89.44409081205171,B,B,B,C,0
Other,Single,C,B,A,-121.28625879485848,-102.00315038892941,-158.08759979474587,-39.610418506541514,A,23.117761649597206,-123.46036911609424,C,D,A,C,0
Other,Married,B,B,C,1.4270951913656453,71.8495167808555,-51.513861181304634,-89.1326801300816,B,-93.5365578135875,56.04374257645728,D,A,A,D,0
Heterosexual,Divorced,C,A,B,-0.31079208383085216,-2.093096577765689,5.501150806746737,-43.28236489485345,D,230.14485065552407,135.24158572725952,D,A,D,D,1
Homosexual,Single,E,D,B,34.7301963482523,-87.7745332938021,-129.78907002281062,121.79060657937879,B,-11.223192222404139,98.797500557403,D,C,E,B,0
Homosexual,Single,B,A,C,-81.81555675199984,81.57657135386287,-105.91446916826771,96.52058914637995,D,-167.56101251381324,-76.98933643924286,D,E,A,C,0
Heterosexual,Single,C,B,E,-126.49350051627566,-114.73170664246155,89.45420547938501,-77.87615557561558,C,43.311977928163955,-63.90790026091723,D,C,A,E,1
Bisexual,Married,A,D,E,-58.80010766240743,37.65925205933195,-232.65688817467995,55.70534053866976,D,110.76694729896792,-66.99132254218637,E,D,D,B,0
Homosexual,Single,C,D,D,35.12886987844797,-20.401906952802474,-65.98303191320312,40.094203770158956,A,58.865244019142516,-32.64754267177729,C,D,C,B,1
Heterosexual,Single,C,D,A,-23.390315052116584,-137.78004140793706,58.81268146100048,-139.0600300374698,D,-30.696493057375505,1.4437844180393702,E,D,C,E,0
Other,Widowed,D,C,C,163.46459112988185,76.30398563332112,29.762948961486895,7.189627270805929,D,66.95212145319213,-23.168641621734114,D,A,A,E,1
Homosexual,Divorced,D,C,B,-127.49066740681197,241.07779553809706,-123.21391035529612,-109.55506123887182,B,-33.55125247555606,-182.19335496327105,D,C,C,E,0
Bisexual,Single,D,D,A,28.870329383178944,171.3274971131222,4.044684982567983,148.67586140683446,B,-48.746041667939124,15.396446179882508,D,C,D,D,1
Heterosexual,Widowed,E,C,C,65.22999880256157,-175.77516174562132,20.577484282979217,239.20255392437522,B,87.32389658015092,-93.62592035073007,C,A,E,E,1
Homosexual,Divorced,A,B,B,10.762585505281704,11.751453662500362,-183.12286614792765,74.0229342074065,C,41.02398458040146,142.11648152781498,A,C,B,D,1
Homosexual,Widowed,B,D,B,2.892476357345472,-40.437878899448776,-153.8215310437696,-75.85432955496486,B,-9.735188695594463,107.18292884498453,A,E,B,A,1
Bisexual,Single,C,A,C,1.8156796509420357,-208.90171279230958,-3.020484470357951,42.98717992322085,D,26.420732602992135,177.64405508210882,D,A,E,B,1
Other,Divorced,D,A,A,47.15800384774321,-40.621304203960115,23.133744688737405,144.6652700896885,A,17.497889516259963,-43.15756026702513,D,E,E,A,0
Homosexual,Married,A,D,C,167.79232409568664,151.1260770921082,40.211893859012825,32.484546798593925,A,106.19026589465008,-52.144223702943236,E,B,B,C,1
Heterosexual,Married,E,C,B,17.568322922493312,-85.97787138193878,205.6489393747558,77.68658524081599,B,187.4689800979622,-13.727615763008044,D,B,D,D,1
Bisexual,Single,D,A,A,-76.5228514218562,7.268753365742016,235.36557319544028,-67.70645761499459,E,-94.11438553915964,-73.1756543483639,C,C,E,B,1
Homosexual,Married,E,B,C,-7.976702667241581,44.65295226630302,-0.8812192450261231,-164.17065145467754,D,64.6049955685648,-13.46960074597722,E,B,E,D,1
Bisexual,Divorced,E,D,C,-104.13487316591963,-16.291802240375105,72.767907423865,64.42421499450629,C,38.764544423350685,67.75315436430498,E,E,E,B,1
Homosexual,Single,C,E,C,42.13715115706187,-129.96177044037768,58.84370932206093,-9.284437511884734,D,63.83937670800177,-64.75057149873408,A,C,D,B,1
Other,Widowed,E,B,B,-104.4053645855972,123.1450824866682,-187.55207957106913,51.572775067546864,E,16.879932159848366,129.90127584541304,E,E,D,E,0
Other,Single,D,B,B,110.79349798116185,-127.89709726829099,-48.931153872483755,33.31207831979125,B,72.87985498963893,-71.10140940378767,D,D,E,D,1
Homosexual,Married,B,C,B,-59.209883391977044,-61.10889681123016,-72.40501180916169,-34.64726589887824,D,-193.44475408390548,-119.41044481484828,D,C,A,A,0
Homosexual,Divorced,E,C,C,89.9366912562941,25.872986430514672,98.42280860070368,73.28606811443828,D,-37.39469101380748,115.96574443493597,C,A,C,A,0
Heterosexual,Divorced,D,D,D,103.09888489047263,76.55968421992708,85.63952298507257,-153.05768013173568,A,114.60382821042865,-84.53243979636741,A,E,A,C,0
Other,Widowed,A,A,D,59.80778571913039,-170.64007669203417,27.7574403554111,-145.6381506063096,B,-24.94216849316633,-62.325660628040445,E,E,D,C,1
Heterosexual,Divorced,A,E,E,115.58668877661675,-15.898677110623078,55.93195553560291,-79.35595906804174,B,-21.959864186425683,-208.69338856860819,A,E,E,C,0
Other,Widowed,C,D,A,-94.59959092268153,24.153839059048252,-116.34923379564226,94.73658763434945,E,105.57664267335318,140.9278194876305,C,B,C,D,1
Other,Married,B,C,B,78.61486974335318,51.77117260884943,18.142471867254383,160.06093185741435,A,-20.859731000685933,76.8845208296669,C,D,A,D,0
Bisexual,Widowed,B,E,B,-14.66805228198873,111.66755023399276,-79.34791084934733,98.30750389543348,D,-86.10883612614592,-79.615762381819,E,B,E,B,0
Heterosexual,Married,B,B,B,-0.989845038221716,-79.92854477405844,-73.71796637763872,34.72425510946688,A,-18.304718257927828,-72.9959628788422,D,B,D,A,1
