Veteran,AgeGroup,Race,Religion,feature_0,feature_1,feature_2,feature_3,feature_4,target
Yes,26-35,Black,Other,A,267.5503587231282,E,B,48.031596619890614,1
Yes,36-50,African American,Jewish,C,20.88273944594645,E,B,-152.04853374291795,1
No,26-35,White,Other,A,7.714608369016619,A,D,-29.58593578311538,0
Non-Veteran,36-50,African American,None,C,47.77166023716322,A,A,-22.129068519516633,1
No,36-50,Hispanic,Muslim,D,-61.93964862774227,C,D,-160.56216861593967,0
No,65+,Other,Jewish,E,230.78865363219742,C,E,-197.00976838463316,0
No,26-35,White,None,E,66.72932598457805,E,A,-17.076998113819197,1
Yes,65+,African American,Hindu,B,-108.23454513833374,A,B,133.34511534627563,0
Non-Veteran,65+,Other,Hindu,D,-21.247205393472687,D,D,37.48398826174789,1
Non-Veteran,26-35,Black,Muslim,C,-144.68544429594996,B,D,17.670069892671624,1
Non-Veteran,26-35,White,Hindu,B,-13.989186146453807,D,A,-55.04064583562276,1
No,18-25,African American,None,A,-105.4049225895771,A,D,-147.05294425835888,1
Yes,18-25,White,Muslim,B,83.72930433920571,A,D,-142.1652505137138,0
Non-Veteran,51-65,Black,Buddhist,E,-166.11050713261866,A,B,93.89611085177063,1
Non-Veteran,18-25,Other,Christian,E,-80.17215938941176,A,C,66.98779967555588,0
Veteran,18-25,Asian,None,B,-73.773720830097,A,E,25.343912258129485,1
Non-Veteran,65+,Asian,None,E,105.22160613685271,A,A,137.99886288965536,1
Veteran,51-65,Asian,Other,A,-28.930206591337193,C,E,53.409206084738805,0
Veteran,18-25,Hispanic,None,A,-42.5197260410814,D,E,-30.9636565832817,1
Yes,51-65,Other,Hindu,E,51.97477158509738,A,A,2.6426810837893155,1
No,65+,White,None,A,13.699555315876363,D,B,-42.574528035834426,1
No,51-65,Other,Muslim,B,80.73080095293014,C,A,62.43007913892325,0
Yes,26-35,Black,Jewish,B,14.935792700249701,D,C,194.16951965285486,1
Veteran,65+,White,Christian,E,-9.275880765549486,D,A,-226.05431435997212,0
No,51-65,White,Other,D,-104.36524762213901,E,A,179.97033710432476,1
No,51-65,Hispanic,Muslim,E,-22.481850355929105,B,A,-111.47527509128778,0
Veteran,26-35,Black,Christian,E,-198.39611868034729,C,D,-77.63163276593345,0
Veteran,51-65,Asian,Hindu,C,-27.75101615410771,B,E,-148.28762462417995,1
Yes,65+,African American,Hindu,E,-152.4740940824156,B,D,104.06953526064655,1
Veteran,65+,Hispanic,None,D,-25.881307648399137,D,E,-11.639325046825814,1
Non-Veteran,36-50,African American,Hindu,E,11.150711522777877,B,C,-76.35969553733779,1
Yes,18-25,Hispanic,Hindu,A,-179.41279179125428,E,C,-165.85140034121866,0
Non-Veteran,36-50,Other,Christian,E,-43.45293699912493,D,D,131.05978097126803,0
Non-Veteran,65+,Hispanic,Other,E,153.6894269897886,E,C,-61.90400301897307,1
Yes,51-65,Hispanic,Hindu,C,106.41129774862526,A,C,-111.0717510464838,1
Non-Veteran,18-25,Other,Christian,B,18.68471660045617,C,A,-73.92069375142269,1
Veteran,18-25,Asian,Hindu,A,22.38793348092902,D,A,36.16540954020117,0
Yes,51-65,White,None,E,139.24201310602388,D,E,-179.54792118075184,0
Veteran,65+,African American,Buddhist,B,43.33627974330459,C,B,-129.5947813706627,1
No,36-50,African American,Muslim,B,-22.83328459678341,E,E,-2.9915599077923094,0
Veteran,18-25,Hispanic,Other,C,27.51897824977918,D,B,64.76806358542542,1
Veteran,51-65,African American,Muslim,C,118.30502653525956,B,D,11.570708851155507,1
Yes,51-65,Black,Buddhist,D,74.64301756900068,E,E,-39.51711586714558,0
No,36-50,White,Jewish,C,-154.0469855846339,D,E,-198.3034736227509,1
Non-Veteran,65+,Black,Buddhist,A,-72.60143235269013,D,E,110.37808031727107,0
Yes,26-35,Hispanic,Christian,E,39.93176564392786,E,B,51.604639325699644,1
No,51-65,Hispanic,Muslim,C,-89.23948215545047,B,E,221.87421147671338,0
Veteran,36-50,White,None,E,18.156530743653867,A,E,184.12694149536043,0
No,51-65,African American,Buddhist,E,-70.96642892822902,B,E,-174.90171775491606,1
Veteran,26-35,Hispanic,Muslim,C,-24.549602339348805,C,A,-96.65764082262315,1
Non-Veteran,36-50,Other,Buddhist,A,163.3478911352281,E,B,-19.70398448204875,1
Yes,36-50,African American,Hindu,A,70.62002977893705,C,A,105.13608120964209,0
No,51-65,White,Buddhist,E,201.38767344895112,A,E,6.922553621300745,0
Non-Veteran,18-25,Black,Jewish,A,34.69803253140056,E,E,19.753339684156003,0
Non-Veteran,51-65,Asian,Muslim,B,58.067179397641986,A,A,126.24263236700979,0
Non-Veteran,18-25,African American,None,C,82.26362399932965,A,A,-182.81233129247408,0
Yes,51-65,Asian,Buddhist,B,-58.66351946152362,C,B,-32.31257440761433,0
Yes,26-35,Asian,Muslim,B,-120.46870463175571,D,C,134.30738333289816,0
Yes,51-65,White,Hindu,B,-68.04906793603355,D,D,-8.993685519196351,1
Yes,26-35,Asian,Other,A,-211.22840006462815,B,E,-184.87284683816648,1
No,51-65,Black,Other,C,-88.22399626889545,D,C,-231.04473507677037,0
Non-Veteran,26-35,Hispanic,Muslim,A,152.45839113632903,E,A,152.9235094796627,1
No,65+,Hispanic,Christian,D,-16.122955079235176,E,C,130.5865506979358,0
Yes,65+,Hispanic,Other,A,1.8226059160877586,E,B,101.03848139959159,0
Non-Veteran,65+,African American,Christian,D,24.634412865320794,D,A,-12.80234101515986,0
Non-Veteran,18-25,Other,Other,A,-51.4502148296111,A,B,-128.27755656227578,0
Veteran,65+,Black,Hindu,B,31.247567985116724,E,D,-75.70544412424901,0
Yes,65+,Hispanic,Muslim,C,12.771631821041332,D,E,9.28542591777044,0
Non-Veteran,26-35,African American,Christian,D,44.779975332204316,C,E,-4.042733334999174,0
Yes,18-25,African American,Hindu,E,-36.40523994169714,C,E,27.0930652400999,1
Veteran,65+,Asian,Other,D,-138.11827753504548,E,A,-155.89500757613206,1
Non-Veteran,18-25,White,None,A,24.28621106191042,D,D,151.62087131725463,1
Veteran,36-50,Other,Jewish,E,-132.6826927110914,B,B,-112.0316356287023,0
No,36-50,African American,Buddhist,C,-28.269005929597167,E,A,-48.101385199659184,1
No,36-50,Black,Christian,B,120.6797048743308,E,E,88.59993026370843,0
Yes,36-50,African American,Buddhist,B,-72.79845880753211,A,A,-45.204442268795546,0
Non-Veteran,26-35,White,Other,B,153.5904651179754,C,A,145.3750207670625,0
Yes,51-65,White,Christian,E,-18.735815508924006,B,C,86.1993420741596,1
Veteran,36-50,African American,Jewish,D,-24.3074867507642,C,C,212.33785913073683,0
Yes,36-50,Other,Christian,A,-112.0772415370894,E,E,-85.09285641756345,1
Yes,26-35,Hispanic,Hindu,B,-35.00450067546382,D,B,-33.93102590086228,1
Veteran,65+,Hispanic,Christian,A,-43.08919199468091,E,A,-50.11514460215858,1
Yes,18-25,Asian,Other,C,-78.94289675424079,C,A,195.40578520288193,1
No,26-35,Black,Hindu,E,-68.52512156081583,E,B,29.949932758576775,0
Yes,51-65,African American,Muslim,B,100.05993681305408,C,C,-140.48331185106775,0
Veteran,51-65,White,None,A,-194.41305879611258,B,D,235.58616396779354,1
Non-Veteran,26-35,Other,Other,E,-84.2539909948951,B,B,112.78869251527499,1
No,65+,Other,Buddhist,B,-5.741695960390344,A,C,25.841305272836422,1
Yes,18-25,African American,Buddhist,A,31.42422455445128,D,B,6.860432054093649,0
No,18-25,Other,Other,B,-101.39170360296939,C,E,-107.67857258600071,1
Veteran,18-25,Other,Buddhist,C,-4.409738004603449,E,A,15.64013400395526,1
Yes,26-35,Hispanic,None,D,135.35214433308172,E,A,44.549161697940065,1
Yes,36-50,Other,None,E,117.41005815821693,A,A,119.49586614811028,0
Veteran,18-25,African American,Christian,C,14.417811772127633,A,D,154.4644021914098,1
Non-Veteran,18-25,White,Muslim,A,-149.42958430280734,E,E,215.60532155357816,0
Yes,65+,Hispanic,Hindu,D,-73.90617398845113,A,E,142.4370219630557,0
No,51-65,Hispanic,Hindu,D,-38.38483299766609,A,B,179.62926461325063,0
Yes,18-25,Hispanic,Muslim,A,-45.174424824658814,D,B,30.93143793452857,0
Yes,18-25,Black,None,A,-104.7057107467781,C,E,44.38716593661559,0
No,18-25,Hispanic,Buddhist,E,-44.230928647140566,C,B,33.32244654428351,1
Non-Veteran,51-65,Other,Other,D,57.982969320939645,C,E,-34.25474335853889,1
Yes,51-65,African American,Buddhist,D,-28.65122050234712,B,A,65.16872158222412,0
No,65+,Black,Jewish,B,217.49684310331503,C,B,-28.823614695588905,0
Veteran,36-50,Hispanic,None,E,148.00216445403197,C,B,-65.8577317656095,0
Yes,65+,African American,None,E,78.67035937474414,C,A,-73.83216715421015,0
No,26-35,Black,Hindu,A,-1.6353278628741683,D,B,94.5442828513502,1
No,18-25,African American,Other,A,122.40402589924193,A,E,-68.621340690799,0
Veteran,65+,Other,Buddhist,E,114.54323386680747,B,D,139.79806468119668,0
Veteran,36-50,White,Other,E,-113.14723325028257,E,C,33.8792589738169,1
No,18-25,African American,Christian,E,-47.58998214593606,B,E,80.61383485958574,0
Veteran,51-65,Asian,Hindu,C,-32.54466862592665,B,E,15.966657533582993,0
Non-Veteran,18-25,Black,Other,B,-131.45519222007616,E,D,10.873001520417445,1
No,51-65,White,Other,E,-188.8770683715434,A,E,15.90024418639921,0
No,65+,African American,Hindu,D,-95.85071640301496,A,D,-85.52488552540412,1
Non-Veteran,18-25,Asian,Muslim,D,-45.19272655041145,A,C,38.70522001443242,0
No,36-50,Asian,Other,E,26.646956006872795,E,A,87.69302607022385,1
Veteran,51-65,White,Buddhist,A,-58.900341757875566,C,E,-55.07360596375012,1
Veteran,18-25,Asian,Other,D,-45.793030484703515,B,E,104.4759015331045,0
No,36-50,Other,Christian,C,123.55490997773335,D,B,25.426594488063476,0
No,51-65,Hispanic,Hindu,A,55.71404751984327,A,C,-67.99626879375951,1
Veteran,18-25,Other,None,A,39.45346870831977,E,E,79.21231409443077,0
Yes,36-50,White,Christian,D,-56.35845769576774,B,A,166.15742400052852,1
No,26-35,African American,Jewish,E,57.072321433981166,B,A,158.61995151492346,1
No,26-35,White,Other,B,-146.42196171196997,D,A,-4.399114539067737,1
Non-Veteran,36-50,Asian,Christian,C,110.13797541733423,B,A,78.06041711376045,0
No,51-65,Other,Christian,C,82.5774495464397,D,A,-58.518210484912736,0
Non-Veteran,18-25,African American,Hindu,C,-95.14458743528395,B,E,-112.38776335492713,0
Non-Veteran,26-35,Black,Other,B,8.146186065251761,A,D,14.40620258736281,1
Yes,36-50,Other,Buddhist,E,-117.17227894226845,D,A,95.68299545926654,1
Non-Veteran,26-35,Black,Jewish,A,-70.24422988001633,A,A,-24.413847863744813,0
No,26-35,Asian,Other,B,164.52288237891744,B,B,-79.3299417917973,1
No,36-50,Black,None,A,91.0795333377176,B,B,125.8213033307106,1
Yes,36-50,Hispanic,Muslim,C,-16.207931218373332,D,E,48.53280795499654,0
Yes,65+,Other,None,E,-39.52762763761945,B,B,42.25293953939541,1
Veteran,65+,African American,Muslim,A,70.95057375410063,E,B,-115.46424542187725,0
Non-Veteran,36-50,African American,Christian,A,-180.0727110812317,C,B,48.34234155049869,1
Veteran,26-35,Hispanic,Hindu,A,-85.92424008535046,A,B,-41.38324608675736,1
Veteran,65+,African American,Christian,D,78.88126576437948,E,E,-178.6912227280141,0
Non-Veteran,36-50,White,Muslim,B,4.592034954649563,B,C,83.49703112134247,0
No,51-65,White,Hindu,D,38.46100849300489,A,D,132.92147974218335,1
Yes,65+,Hispanic,None,B,22.677627709066066,A,B,-6.777331681755797,0
Non-Veteran,51-65,Other,None,A,236.45764393435243,D,A,78.97751041462003,0
No,36-50,Other,None,C,35.94725008946927,D,D,54.32953611596235,0
No,26-35,Other,Other,C,137.8667405786785,B,B,-25.124390939856372,1
No,36-50,Hispanic,Buddhist,E,-123.77075574544808,B,E,-193.50739495560882,0
Yes,26-35,White,Muslim,A,-86.86743188120828,E,E,-77.90961884119551,0
Non-Veteran,18-25,White,Christian,D,81.93336053568878,D,C,71.86473854961223,1
Non-Veteran,18-25,Other,Buddhist,C,-190.43285899398364,A,B,-117.2293328249348,0
Veteran,51-65,African American,Buddhist,B,-14.601031831015831,E,A,-116.24953200905435,1
Non-Veteran,51-65,Black,Jewish,A,66.77751154307175,B,A,-56.52325334418934,1
Non-Veteran,65+,Hispanic,Christian,B,45.27421080491786,B,A,152.1148148753567,0
No,18-25,Hispanic,Other,C,-22.998051847750535,A,D,187.07021306372135,1
Non-Veteran,18-25,Hispanic,Jewish,B,-154.5857960038097,E,B,19.977243869427646,1
Non-Veteran,26-35,White,Christian,C,-193.0614822065153,B,C,-86.90294254519154,0
Veteran,51-65,White,None,A,-84.14554174941313,D,A,-56.750542033070225,0
No,18-25,White,Muslim,E,-358.51396023276527,E,A,15.867739757476757,0
No,51-65,White,Hindu,D,117.8698251350405,B,B,125.1348140888773,0
Veteran,26-35,African American,Jewish,C,122.55261827169744,E,A,113.19272977319595,1
Non-Veteran,51-65,Black,Jewish,C,250.87565652708324,C,D,73.31419115089406,0
No,36-50,African American,Other,D,-80.77465634200176,D,E,-3.9255102081842947,1
Non-Veteran,65+,Other,None,E,-140.40375888510795,E,B,44.0277170617486,0
Yes,65+,Other,Jewish,E,6.093266429138261,D,C,-90.41655727473568,1
Non-Veteran,36-50,Hispanic,Jewish,E,-3.89713403840161,B,A,-5.219248975207606,1
No,18-25,Asian,Other,C,-134.48266432248653,C,A,-55.75585322795927,0
Yes,26-35,White,Muslim,A,66.4790680939562,A,C,30.654784141209586,1
No,65+,Black,Buddhist,B,-54.92857932564667,C,E,72.25898721153668,1
Veteran,18-25,White,Jewish,A,-44.975468570653085,B,E,-11.72318312473952,0
Non-Veteran,65+,Asian,Jewish,C,83.80656006236707,E,E,8.083240018517774,1
Veteran,36-50,Hispanic,Hindu,B,-33.84190529418423,A,A,4.655226125563121,0
Veteran,51-65,White,Muslim,B,19.231470618717022,D,E,57.226103381511486,1
Yes,36-50,White,Jewish,C,-87.22018327080733,E,C,-241.05951799393654,1
Yes,36-50,Black,Muslim,B,-112.92816586862244,A,E,141.36632855954366,1
Yes,65+,White,Other,A,-204.32113845177926,E,C,15.013564884780745,0
No,36-50,Other,Other,E,-67.83352104830726,E,B,61.787358231005896,1
Yes,26-35,African American,None,E,108.52335273223052,D,E,51.43108766737342,1
Yes,36-50,African American,Other,E,154.3443151762596,C,D,46.461160967736014,0
Veteran,36-50,Other,Other,A,-127.12062255883984,C,B,83.36803630972625,0
Veteran,36-50,Other,Christian,C,-111.43944075406634,E,A,-218.86076140230597,0
No,51-65,Hispanic,Other,B,-62.897132135782996,E,B,22.321674441477473,0
Yes,51-65,White,Other,D,-15.288824524070327,E,C,38.46618657347993,1
Veteran,18-25,White,Hindu,C,12.58002443532536,C,C,-66.84096605114995,1
Yes,65+,Black,Jewish,D,-47.872504035297446,E,A,18.887746499679164,0
Yes,36-50,White,Other,A,19.972564850434797,B,B,40.96626378404743,0
Yes,51-65,Hispanic,Buddhist,A,25.426440275867563,D,D,48.746796022300074,0
Non-Veteran,51-65,Hispanic,Hindu,E,43.56265762520633,B,D,-40.859857139364536,0
Non-Veteran,18-25,Hispanic,Buddhist,D,-35.91802303355608,E,E,-40.44207474165666,1
Yes,18-25,Hispanic,None,D,-5.302224952754658,A,D,-37.007138372447606,0
Yes,18-25,Asian,Muslim,A,-51.95419184908216,B,B,99.35840113483744,1
Non-Veteran,36-50,Other,Jewish,D,68.34023352365912,D,E,97.43710293398003,1
Non-Veteran,51-65,Asian,Christian,D,-29.463071252431867,C,D,-90.33907982825889,1
Veteran,51-65,Asian,Muslim,A,43.265676277232735,A,A,158.81091626945633,0
Non-Veteran,18-25,White,None,B,45.599186894037544,A,B,-28.166534045538256,0
Non-Veteran,51-65,African American,Other,B,-92.57991847520411,D,C,-153.0311366770884,1
Yes,65+,Other,None,C,-119.97493670542654,A,B,-25.576182657081397,1
Yes,65+,African American,Buddhist,A,-20.99153099341877,E,E,121.73433906928805,0
Yes,51-65,Black,Christian,A,-55.32632695993145,B,D,-137.80070780714493,0
No,51-65,White,Jewish,D,-12.361913274196223,E,A,13.755628013054519,1
Yes,65+,Asian,Muslim,D,-75.71341906870542,D,A,73.15363968242853,0
No,26-35,White,Buddhist,A,94.5737437484348,D,C,141.0835313175959,0
Yes,36-50,White,Muslim,A,41.59302019770387,C,C,-34.968921625054605,1
Non-Veteran,51-65,Black,Jewish,D,85.36812988303323,D,C,43.2720948141554,0
No,36-50,Asian,Hindu,B,-112.81727749724446,A,E,-31.37959580970569,1
Yes,18-25,Black,None,A,-15.525609457004752,A,B,121.08291902444073,0
Non-Veteran,26-35,Black,Hindu,E,214.30359761299744,E,B,177.86615856002388,0
Yes,51-65,Other,Other,D,-38.34846097905922,E,A,108.99415568370205,1
No,18-25,Asian,None,A,40.93711773115618,B,D,69.62698750964617,1
No,26-35,Asian,Hindu,C,82.99566136702117,A,C,157.54992629949507,1
Veteran,65+,African American,Christian,B,-11.365882555397924,C,E,25.274579432124643,1
No,18-25,Black,Other,C,-20.06358205750384,B,B,-82.63809721319716,0
No,18-25,Asian,None,A,58.92889723904664,C,A,-62.07351744715177,0
No,51-65,Hispanic,Buddhist,D,154.5726726968951,E,A,144.110635699411,1
Non-Veteran,36-50,Other,Muslim,C,-163.60943398136772,E,E,-24.66660779827268,1
No,51-65,African American,Hindu,D,-116.11554363885217,D,A,165.9567577327205,0
Non-Veteran,51-65,Hispanic,Hindu,C,49.730276011174396,A,C,-112.98147019515818,1
Veteran,18-25,Asian,Hindu,B,69.74944552176741,E,C,-26.501426537895462,0
Non-Veteran,36-50,Hispanic,Hindu,A,91.29183484044556,C,D,-13.869927465032776,0
No,36-50,Black,Buddhist,A,7.574480467529169,C,A,-82.79120571527703,0
No,65+,White,Other,A,297.6308932949533,B,E,10.410497536154464,0
Veteran,18-25,White,Other,E,8.191781903343628,D,D,15.31204844008316,1
No,51-65,White,Jewish,C,-70.83669413451604,E,B,180.3850154877095,0
Yes,18-25,Other,Jewish,B,-129.8776945908402,D,D,24.76898156612856,1
No,36-50,Black,Muslim,B,-138.62579732532078,C,E,-71.43808007734962,1
No,18-25,Asian,Hindu,B,91.72115923770964,C,B,-38.98569424007799,1
Yes,18-25,African American,Muslim,A,-49.20916746464321,D,C,35.864434076247676,1
Veteran,18-25,Other,Hindu,E,-102.00664263990605,C,B,-15.817857350079409,0
No,18-25,Other,Other,E,25.307968921084285,E,D,-51.43503614196698,1
Veteran,26-35,Hispanic,Jewish,D,97.14265766485461,D,E,38.84985595996874,1
Non-Veteran,36-50,Black,Other,D,90.83874260446208,A,D,149.27710558355176,0
No,36-50,Asian,Jewish,E,138.3566597673875,B,D,-39.87296180236816,1
No,65+,Hispanic,Other,C,182.03692342914727,D,D,108.46555816417019,1
No,18-25,White,None,B,163.22894526436886,D,D,10.46963181729034,1
No,51-65,African American,Jewish,C,144.96946442756547,E,D,-121.35875604540249,0
Non-Veteran,36-50,African American,Christian,B,-17.276938855376514,D,B,103.34875141893384,1
Non-Veteran,36-50,Black,Christian,E,66.98314651730246,A,B,-127.70058023789855,0
Veteran,36-50,White,Other,C,-73.36566609329749,B,A,-56.1669164736195,1
Yes,26-35,Black,Muslim,A,148.55260730812594,E,E,49.82533615342356,1
Non-Veteran,18-25,African American,Christian,C,87.18811509371469,A,A,-20.317795079316582,0
No,26-35,Asian,Other,E,151.62864507438593,E,C,71.84771763584446,0
No,51-65,Black,Muslim,E,33.403613834037586,C,A,35.65888932903498,0
No,36-50,African American,Other,D,175.85679579619796,E,B,23.992576272172762,1
Veteran,26-35,Black,Other,C,-16.06588941054701,D,E,3.667645668439422,0
Veteran,26-35,Black,Muslim,A,31.971380146306537,D,B,93.12387062332569,0
No,65+,African American,Hindu,D,-82.06010087886499,D,D,-2.340112362897169,1
Yes,36-50,Black,Hindu,C,-115.26208013876642,C,E,-93.55921680525277,1
Non-Veteran,51-65,African American,Muslim,D,-37.66696126391061,B,E,-81.87326104060921,1
Yes,51-65,African American,Buddhist,C,-186.03503127792203,D,E,105.77586478051948,1
Non-Veteran,65+,Other,Muslim,E,99.9771975090735,C,C,-16.93098240387518,0
Yes,65+,Asian,Muslim,C,33.46446174009514,A,B,58.84385823303781,0
No,51-65,Asian,Jewish,B,43.69674171925675,E,B,177.47944053878194,1
No,36-50,Asian,Muslim,C,138.16842201574536,D,C,76.04802225545976,1
Non-Veteran,65+,Hispanic,Muslim,C,-127.99379213421791,B,A,107.21168742480684,0
Yes,51-65,Asian,None,C,-103.86435375691654,D,D,-95.28933740515184,0
Veteran,18-25,White,Jewish,B,-7.044057497359756,E,A,-79.97299128018224,0
No,26-35,Hispanic,Jewish,D,56.01738690828202,B,A,114.50568524255651,0
No,36-50,African American,Buddhist,E,55.631355596761466,B,D,-101.56646977109706,0
Non-Veteran,36-50,Hispanic,Christian,B,22.07494725997354,D,E,-25.675550932755204,1
Veteran,26-35,Hispanic,Jewish,E,-35.88145525420697,D,B,-88.3085585014862,0
No,51-65,African American,Jewish,C,69.89208374624748,E,E,40.181675326997116,0
Non-Veteran,36-50,Black,Christian,D,-62.3775847622737,E,D,-27.082766542028864,1
Veteran,18-25,Hispanic,Hindu,A,-6.576741226382332,D,C,104.91598498113007,0
Non-Veteran,36-50,Asian,Christian,B,38.21429925160071,D,A,-129.5605417782572,1
Non-Veteran,36-50,Black,Christian,D,63.68533453644108,A,C,3.2956676358282637,0
No,36-50,Other,Muslim,E,115.4604746014726,B,C,-12.382873904231541,0
Non-Veteran,65+,Black,Muslim,C,108.85498542926435,E,E,-37.63179963213683,1
Veteran,26-35,African American,None,B,-3.3739882470739864,D,C,-94.95096565490745,1
No,51-65,Asian,None,B,85.71351959371196,B,D,-40.547230124781144,1
Veteran,26-35,African American,Jewish,A,14.91479193639928,A,B,-2.0732000525447765,0
Veteran,26-35,Black,Christian,A,103.39478350368137,A,B,75.30389666934792,0
Non-Veteran,65+,Asian,Other,B,61.588659632253155,B,A,84.05944197291375,1
Veteran,26-35,African American,None,D,-6.96636931550252,E,C,-21.464730159383972,0
No,51-65,Other,Hindu,A,-83.20418533403465,A,D,-97.84198510315495,0
Non-Veteran,51-65,Black,Christian,D,25.56559080258081,B,D,126.47789188716789,1
No,18-25,White,Muslim,D,-59.97744188266885,C,B,120.5267194916938,0
No,26-35,Hispanic,Buddhist,E,66.282638149413,C,C,-65.5838294759293,1
Veteran,65+,Black,Muslim,A,104.3235973455457,A,A,-18.913957038177376,1
Veteran,65+,White,Christian,D,-19.569253999114306,B,B,80.83346370981685,0
Yes,51-65,Other,Buddhist,C,-37.727521622671844,D,C,35.61610648954991,1
Non-Veteran,26-35,African American,None,D,-211.93995554261247,B,E,-136.08043741174595,1
No,26-35,Black,Jewish,A,-44.57452070417637,B,A,83.2656137980729,1
Yes,18-25,Asian,Hindu,E,-186.24320401953486,B,B,14.90405013745108,1
Veteran,26-35,Hispanic,Jewish,B,-156.9249178671319,E,A,151.88398196534706,1
Non-Veteran,65+,Other,Buddhist,E,3.632112553617041,B,C,-141.06866319180574,1
Veteran,65+,Hispanic,Muslim,B,-57.4686432587281,D,E,54.89779221782697,0
Yes,18-25,Asian,Christian,A,-106.44031386344015,E,C,-66.48707591057425,1
No,36-50,Hispanic,Hindu,C,-48.253224480748194,A,B,19.583308430868975,0
No,36-50,White,Muslim,B,114.06244626160185,B,C,180.03423688051586,0
Veteran,51-65,Other,Jewish,D,45.79099021074045,C,C,162.89956071751638,0
Veteran,26-35,Hispanic,Hindu,E,66.14988267009882,E,D,-17.824572731168235,1
Yes,26-35,Black,Other,D,-195.1516140034831,E,D,77.66009273541505,0
No,51-65,African American,Buddhist,D,46.94487850194479,E,B,193.27419487222198,1
Veteran,18-25,Asian,Jewish,D,14.690811364717943,B,C,26.32076282011766,1
Yes,65+,African American,Other,C,107.78554224745153,D,C,21.078397723032538,1
No,65+,Hispanic,Hindu,B,-159.32182658606524,C,E,24.9008138958123,1
No,65+,Hispanic,None,C,-33.271938082163054,A,A,33.55464318246988,1
Veteran,51-65,White,Jewish,D,79.07833371589193,B,B,164.24252473816168,1
No,36-50,Black,Jewish,E,-73.80726732196005,E,A,32.943736674374826,1
No,36-50,African American,Hindu,D,-219.3029956507881,A,B,-29.518089500491705,1
Yes,51-65,Asian,Buddhist,A,-127.38031760027417,C,D,183.33591025879105,1
Veteran,26-35,White,Hindu,D,-91.08070824111074,C,E,-163.46257591529485,1
Veteran,36-50,White,Jewish,E,-19.79092699702632,D,B,55.55367354012943,1
Non-Veteran,36-50,White,None,E,97.3121719482359,B,C,-10.44742248549708,1
Yes,51-65,Other,Muslim,C,-148.29672450390393,A,A,15.96203345464932,0
Non-Veteran,36-50,African American,Muslim,C,49.61962030400341,E,A,-3.8452730376034623,1
No,51-65,Hispanic,Jewish,C,-108.67332835814085,D,E,-66.46342886823142,0
Veteran,51-65,Black,Jewish,B,51.038827462977174,B,C,-41.1085495846073,0
Yes,18-25,Hispanic,Christian,C,69.52490615902775,D,A,10.950951231510517,0
No,65+,Black,Jewish,D,58.52805020716434,C,E,-56.81954687615289,1
No,51-65,White,Buddhist,C,19.39776743301579,D,E,6.827545558208341,1
Veteran,18-25,Asian,Buddhist,A,276.8231167863789,B,E,-20.734734498647168,1
Veteran,26-35,Asian,Muslim,A,-87.92990426158727,E,C,-161.27272403462754,0
Non-Veteran,65+,Black,Jewish,D,-20.938125536261612,E,D,-37.558998023646126,0
Yes,36-50,Hispanic,Muslim,A,-6.335133986159422,D,C,-97.62228964863601,0
Non-Veteran,18-25,Hispanic,Buddhist,D,196.9424670262938,C,A,-103.48988090590532,1
Yes,51-65,Black,None,D,-42.55418785097138,C,A,-2.2407115256729253,0
No,65+,Black,Hindu,D,-106.77489049930698,A,A,-294.638695519145,0
Non-Veteran,26-35,Other,Hindu,B,-172.22111243622257,B,A,46.62388778029362,0
Yes,51-65,Black,Other,A,-0.20078311985312508,C,E,-25.91345314818163,0
Non-Veteran,36-50,White,Jewish,E,-3.1020398664807196,E,A,-121.66075912745325,0
No,26-35,Hispanic,None,E,82.58486628076507,A,C,-27.30113803001908,0
Yes,26-35,African American,Christian,D,105.69183724526343,E,B,178.11904261407176,1
No,51-65,African American,Buddhist,E,-19.68441430732881,A,D,84.99293027332008,0
Non-Veteran,51-65,Asian,Christian,D,-38.625212426912725,D,E,-211.52594927725454,0
No,36-50,Asian,Muslim,D,-30.34545874302619,E,B,144.85810380005915,1
No,36-50,Black,Christian,B,151.03817763878837,E,C,135.79761061206105,1
No,51-65,Asian,Muslim,D,129.08856504333798,A,E,3.4451211692709296,0
Veteran,18-25,Other,Jewish,A,-26.553751855258795,B,C,-38.26868930996067,0
Veteran,26-35,Asian,Jewish,C,-20.495022519143287,B,D,-0.4441765883961124,0
Veteran,65+,African American,Christian,E,69.58204253969757,B,A,-91.14899768278882,1
Veteran,26-35,Asian,Jewish,E,-151.30609430399298,B,C,-72.07947868430097,1
Non-Veteran,26-35,Hispanic,Muslim,D,-19.319693487313092,E,B,-128.56729118890044,1
Non-Veteran,51-65,White,Buddhist,E,-135.65669823894336,B,A,-44.316833601321626,0
Veteran,65+,White,Jewish,D,36.504547060919194,B,D,-148.4840903505751,1
No,51-65,Other,Buddhist,C,-49.23588788303679,A,D,-89.8121687817083,1
Non-Veteran,51-65,White,Muslim,E,-115.16992960140524,A,A,125.12252087255588,0
Veteran,51-65,Hispanic,Hindu,C,36.55048581588719,D,C,125.3348970485068,1
No,26-35,White,Jewish,D,129.09501552529326,C,D,91.94301242392685,0
No,36-50,Other,Buddhist,D,100.07947982848313,E,E,-203.1810982629679,1
Veteran,65+,Black,Muslim,A,102.10863193750359,B,D,26.784202632296772,1
