veteran,gender,feature_0,feature_1,feature_2,feature_3,feature_4,target
No,Non-binary,58.063077257271175,-38.32410938983955,-154.9273560978457,A,B,1
No,F,-195.19729443974444,41.86840169682554,120.39066480342302,E,E,0
No,Other,-11.963084383844391,-76.64798936490918,132.771540771124,C,E,0
Non-Veteran,M,-1.7106910835096263,6.738190421752519,-70.84728217398703,D,B,0
Veteran,Other,57.812057114168056,37.73507425382937,-42.64106595410507,A,D,1
No,Non-binary,9.09936250826954,157.79554102142887,-52.95643714244699,A,C,1
Veteran,F,83.70371748550988,34.930825262659866,199.1800900250011,E,B,1
Yes,F,16.97680046622094,-122.32045129561801,-342.76454378156734,D,B,1
No,Other,220.83662357048803,118.92856645272987,109.77169063174092,B,C,1
Yes,F,-43.78793666195414,-46.64198250144179,18.77283934670406,C,B,1
No,Female,76.45486859802551,59.65192472887978,73.38895561633223,E,D,1
Non-Veteran,Male,15.445289055075012,-12.414724207482532,-82.3819869482634,E,D,1
Veteran,Non-binary,68.2835388834807,-151.53168890972486,-17.598301397336964,E,B,1
No,Female,-22.785368081577932,31.018462491579356,84.02488283815039,A,E,1
Yes,Non-binary,36.69667925366479,-21.631368784538513,-29.486003436167756,A,C,0
Veteran,Non-binary,138.52005493663572,-129.60112970449208,102.43268710651823,E,A,1
Non-Veteran,Other,-26.317268132213023,153.13592159494243,57.487538140808184,B,B,1
No,Other,-179.16125593698098,22.542662460495283,83.85738339858452,C,D,1
Non-Veteran,Male,-55.71154118805099,-143.95659115239715,-44.776643210226695,A,C,1
Yes,M,142.40745867105426,127.23835537753692,129.6060785531651,B,D,0
Yes,Other,239.6156463867865,76.85918249861514,-234.96679498622345,B,B,0
Veteran,M,66.62736927522609,97.5690982798826,-125.085867515173,C,A,0
Yes,Male,-26.51793932309674,-60.72483436267186,171.73212253378122,D,E,1
Non-Veteran,F,63.48009719419182,90.8126161216179,103.80568966318467,B,C,1
Veteran,Non-binary,7.572564796866037,0.5845959542716602,-116.73273535272443,D,A,0
Yes,M,-106.63350243122167,84.60590324871757,-128.0752809938998,E,D,1
Yes,Male,38.24608447381773,-1.886371929184754,10.002251134903098,B,C,0
Non-Veteran,Female,-95.6007970972272,47.67580419350483,-124.5999342607566,D,A,1
Veteran,F,-55.825553197760534,-21.770049285684316,33.69865579844167,D,B,0
Yes,F,-16.434538790563945,-163.66291888685566,-9.839730750356752,C,D,0
Non-Veteran,Female,97.69033350294036,67.93773629931033,83.91362173981275,D,B,0
Yes,Other,-1.5318700354723351,-15.32281040478994,-128.25853984236076,A,D,0
Non-Veteran,Female,-131.8500252965638,-69.24888885185968,39.89222791907333,C,A,1
Yes,Other,18.777170932799834,91.25509492056423,156.39922825352488,E,D,0
Yes,Other,75.53185532697562,-27.21491366587092,9.732445373919903,B,E,0
Yes,Male,78.79977059089309,33.54077499014117,60.49999525580343,E,C,1
Veteran,Non-binary,-44.26071828489434,16.135897263371678,-61.37489176896065,B,D,0
Non-Veteran,F,-127.91856423668706,147.68776552462182,9.619206244892537,E,E,0
Veteran,F,61.101157367735624,105.14254494372221,-72.07350212103917,D,C,1
Non-Veteran,Female,206.0312900593224,-52.3634708073364,121.48929835929967,C,D,1
Veteran,Male,121.64721952893818,-2.714446471945757,210.55082666302067,E,C,1
No,Male,-31.487220855519233,-37.20133493972323,0.07827698071232521,E,E,0
Non-Veteran,Non-binary,36.147153880925096,218.11850463996825,-44.28477975403098,A,D,0
Veteran,Female,69.15093159830515,-135.00260489937602,-106.13918803046187,B,E,1
Veteran,M,-88.16725807509911,-135.88517338368993,-182.603766572567,C,C,0
Non-Veteran,F,-119.05191492033195,22.439332945101242,-26.547855227376154,A,D,1
No,Other,58.37473933733344,155.50730416675583,-147.00526822097575,E,D,1
Non-Veteran,Female,-110.56395858049515,69.93806309001666,70.53846827186459,A,B,0
Veteran,Male,-85.51694368526172,-17.715409353525075,12.571483767711594,C,E,0
Veteran,Non-binary,-58.30633398898338,62.5708298926695,40.97020483636498,A,C,1
Non-Veteran,F,20.636651820978546,-18.110423814514387,59.43466004447713,D,B,0
No,Male,-46.511894090852785,-35.81933544466348,89.86863535375075,D,C,0
Yes,Female,167.18912001392542,113.96454492068784,-27.72831466996265,C,C,0
Veteran,M,30.193620577000857,-51.81510029322586,-41.7839406578082,D,B,1
Veteran,Female,78.59600066472974,39.13995623347016,-56.26488829872851,B,D,0
Yes,Male,-73.04105815902038,-118.95010342082483,135.58698700965635,E,A,0
No,Non-binary,79.20826669538647,-106.56815387957312,17.93953035045612,A,C,0
Non-Veteran,Other,129.25970240843057,36.72676572770818,-2.3418097443089447,D,C,0
Veteran,Non-binary,97.64756206644033,-69.64968955165565,163.34603850830206,A,C,1
No,Female,-20.20223884903799,-79.08905775216363,-122.25940983195368,A,A,1
Non-Veteran,Male,-66.52782360873695,112.39122890886148,156.09172216515316,B,E,0
Non-Veteran,Female,75.56803232315093,-31.46123809885576,-8.131639875378227,C,C,0
Non-Veteran,M,282.27389721128714,-40.78367640295271,-70.689527918923,D,A,0
Yes,Non-binary,4.76674991884543,-151.24772803966323,-14.051146418708763,D,B,1
No,Non-binary,74.48618870768621,-27.76326055402632,75.82442775467008,D,E,0
Non-Veteran,Non-binary,-114.33309620337835,75.7485456645883,-4.941455297398997,C,E,0
No,Male,-24.500232141828672,75.61130258965059,55.8722690124206,E,E,0
Non-Veteran,F,233.01423271291623,-15.294259973976173,-88.5589408378538,D,B,1
Yes,Male,-172.0807089170663,-54.16699844603025,21.970282618468406,D,C,0
Non-Veteran,Male,69.51359026582222,-33.693096959287764,-113.83620260151687,E,C,1
Yes,M,20.025919657253077,220.65033928074905,42.93643352361187,C,E,0
Non-Veteran,Male,-105.72744801347982,151.02434179224176,-62.4997240998098,C,C,0
No,Non-binary,-64.18211769044446,196.3731598056002,-22.035009667194323,C,C,0
Yes,Other,56.11941076359758,25.980943878683515,-243.65969116574314,E,B,1
Non-Veteran,Other,-62.33112943178965,-221.50785946391775,103.74288895044022,B,E,1
Yes,F,4.2013023778479885,-84.42096571373465,-134.05634572317183,C,D,1
Veteran,F,-102.05147190601448,5.554347625937268,24.06013259103682,C,B,1
Veteran,Female,-72.58688742705903,-136.86922808611445,33.476773638323486,D,A,1
Veteran,Male,54.969647987014206,73.12013453464697,-37.84554814288138,B,E,1
Yes,Male,-21.355150904839622,44.74288341355486,-59.49788003486688,D,B,0
Yes,F,-34.669455250085214,205.14612906086433,-140.61052374381958,B,A,0
No,F,40.0936736880141,85.56425659852486,-20.198584467964125,B,B,1
Veteran,M,41.08815768035609,75.17952175160161,18.82814246421816,C,D,1
No,Other,-221.71076322621212,-33.729426975607666,10.224230049914762,B,E,1
No,F,95.7062921817227,59.59263071916823,-14.591099443848634,A,C,1
Non-Veteran,M,-51.11849666140681,-206.39457838924832,16.100301143869782,E,A,1
Yes,Other,220.39552975958605,14.735294423350018,-47.57168326852505,E,E,0
Non-Veteran,M,97.22653864128216,31.104297276378922,216.7715299383174,D,B,1
Non-Veteran,M,-131.79462611907547,-212.07074672544698,-31.491410802389957,A,C,0
No,Male,63.114955932003284,92.77398188726649,-53.39440993388557,B,A,1
No,F,-62.66106273346508,-46.8549329321432,86.91718273901121,D,B,1
No,F,-106.20598030577631,-0.24218461095973173,-89.9285092945228,C,E,1
Yes,F,8.928038502136456,92.82067685320459,-120.03238096256675,E,A,1
No,Female,-110.20484017698149,30.416800637304647,-34.22740388600729,A,A,0
Veteran,Female,164.24462657366797,-97.9217813120647,-78.4491980366133,C,E,1
Non-Veteran,Male,28.3865760989305,49.063170237254255,5.970884847216083,A,A,0
Veteran,Female,-60.42213365273268,25.33384508915626,105.61081213019732,C,A,1
Non-Veteran,Male,-42.38120740086134,30.38851272082147,20.475972391295468,C,C,0
Non-Veteran,Non-binary,-69.31509117960934,53.05577095869079,37.562560454252676,B,D,0
Yes,M,-6.1929063581272,-58.45511433733223,119.2843114561124,D,A,0
Veteran,Female,-77.35339193052457,99.10053377917436,-131.2405205463974,C,D,0
No,Female,238.22785810271293,-277.75091929289806,-8.171680562138189,A,E,1
Non-Veteran,F,76.15402329939222,18.704483050980965,-214.21615784036678,A,B,1
No,Other,23.635840477574664,5.488416131005046,4.132470100095182,E,B,0
Veteran,Male,4.959118513411435,46.727626531263866,48.69882669683607,B,D,1
Veteran,Non-binary,-95.90888590719226,347.2537580222496,-63.43472808447407,E,D,0
Yes,Male,10.454134125669869,55.37663443775528,-8.593135172175327,C,C,0
Non-Veteran,Male,19.093455352882653,-93.7162792221375,-52.289734025578674,E,C,1
Non-Veteran,M,-93.54479871124622,-11.821930425094134,77.44411699571515,B,D,1
No,Non-binary,114.89425877532852,17.14810645987403,41.989128005145076,E,E,0
Veteran,Male,-24.166914599161558,-83.41143650998379,-63.74785007218517,A,C,0
Veteran,Other,-187.58354155849136,57.77021451081612,217.36396179177393,B,A,0
Veteran,Other,52.360353991523766,-16.31699241050542,40.637103474437396,B,C,1
Veteran,Female,-115.33429059506983,47.01530873927432,83.0363474315537,C,A,0
No,F,-57.66161509723868,-24.835779339190264,-133.17247784539902,E,E,0
Yes,Non-binary,-98.46192001077938,146.17111229538006,233.71619857936682,B,C,1
Yes,F,54.10308500550034,-45.84380471818813,-1.4938857114805941,D,C,0
Yes,M,-121.86662751307473,-145.38843681476533,1.2685766221987673,E,D,1
Veteran,M,-124.73851426635878,88.38527214646174,-116.79879788980007,D,A,0
Non-Veteran,M,24.755415112137584,8.664696676190605,-52.073322298841,A,E,0
No,Non-binary,60.57186236569019,-12.079502537447915,242.61827388335723,C,E,1
Veteran,Male,91.82731435990802,0.47252594306123963,6.463261516318298,A,A,0
Veteran,Female,58.305301238397846,108.31358268077483,57.69505014650213,C,A,0
Veteran,M,29.82385742218931,47.083357247824075,69.74089272057238,A,A,0
No,Other,-322.9750390903866,136.04906715599395,-170.05012628428165,C,A,1
Non-Veteran,Other,-136.63586991071915,204.7823301838522,-2.8855396144550363,E,C,0
Veteran,Male,-129.47121076115516,156.22009522768897,3.5898802267263807,E,D,0
Yes,Male,-23.451240344366127,56.16793602686756,-55.039674319700026,C,B,1
Non-Veteran,Non-binary,23.446766580472683,93.62849657104623,86.74050578397289,B,C,1
No,Non-binary,-199.22713473064294,55.37762072320178,192.2794509673135,C,C,1
No,M,128.23726681978854,-53.447688251660495,55.57818572401481,B,E,1
Non-Veteran,Other,-79.16214948361574,38.42408141300486,39.5272944387343,E,A,0
Non-Veteran,Other,105.26197173059069,42.75394044194807,-51.543246704439014,D,E,0
Yes,F,89.69410462021533,-179.56985737473613,137.24110868401522,D,B,1
Veteran,Female,130.2867901472091,82.81251736341437,-52.68454216375248,E,C,0
No,M,-58.89134012568584,-108.09073579425173,17.824993856041377,D,A,1
No,Male,100.40452270030906,-48.10290906348941,28.47573401983962,C,D,1
Veteran,M,0.9758817276655176,-45.14898698302767,67.36187734066928,E,C,1
No,Non-binary,-90.99694595315178,-105.66741295168327,45.438109887013916,D,E,1
Yes,Male,24.04143826545172,-81.51797772736569,-72.75867578181715,C,B,1
Yes,Female,-169.0248165138746,-32.4329732758213,69.40076453366262,E,B,0
Veteran,Female,68.19922043360798,-112.35090919325805,-40.05826656466737,D,B,1
Yes,Non-binary,51.76809262559041,120.33841768770368,145.29642872967494,B,D,1
Veteran,M,5.701113839298961,44.16724911699674,-122.69217744734642,C,E,0
Veteran,Other,-38.13387687874064,-81.11485173175514,106.8769332726197,B,E,0
Non-Veteran,Non-binary,29.935580971815078,112.03922144099616,40.14424192982867,B,D,1
Non-Veteran,M,-57.885665504757625,61.539368169738275,-24.833034601926155,E,E,1
Non-Veteran,Non-binary,-26.38339478007757,44.53763215212654,60.637833155503294,C,C,0
No,F,111.95265097995734,-98.444830563562,126.14867357192294,C,E,0
Yes,Other,16.268318401074104,-140.9894929630447,-74.643266841207,C,A,0
No,M,4.809923600661584,8.048157619725814,100.93953195782785,D,A,1
No,Other,-125.13788923093381,21.101085528158023,-39.253927342587765,B,D,0
Non-Veteran,Female,46.7688428190022,-37.69778528958512,-54.88562987196729,E,B,0
Yes,Non-binary,8.088873453339266,149.08222029569737,-122.5203253169626,D,E,0
Non-Veteran,Male,18.65763931482388,-117.05349257987238,-4.797673397000643,D,C,1
No,F,114.89654254031272,-64.61100382090957,-88.88412572252024,A,D,0
No,Female,-105.32395910012397,13.206819857039653,88.41965138312108,B,D,0
No,Other,1.100588961899241,10.743400978508234,-46.990245933357,E,E,0
No,M,76.53470839028729,-168.19140486290937,-67.54879292356172,A,A,1
Yes,Male,97.82258693118831,55.29067438082033,-27.521366746400748,E,E,0
No,Other,-58.94244533471947,89.9969234500468,61.83356110596222,C,C,1
No,F,-4.002202326882779,134.29773063403925,-83.6308194009369,C,D,0
Non-Veteran,Non-binary,110.09644817221329,61.975784251017686,-62.81534710166826,A,A,1
Veteran,Female,125.69531372291738,78.6200272388891,37.14310325924559,A,A,1
Non-Veteran,Male,-160.89882220144887,87.51550997093405,61.11576018992086,A,C,1
Yes,M,-107.40893737947212,-115.99005601682164,1.6900323574693892,B,C,1
No,Non-binary,-18.55540634898116,-23.48677963868917,104.71702024589908,D,A,0
Yes,F,58.06796317959473,63.42393580432915,-30.285406287948007,A,B,1
No,Male,-188.13114350431408,-126.35206298017022,35.48345937672272,A,E,1
Veteran,F,46.91334059152207,134.76549179059606,-18.47656324312522,A,A,1
Yes,Female,84.92276645814012,-12.799803704417515,71.95051292892379,C,E,1
Yes,F,-28.218731622352266,-104.9064017672964,53.69192704941811,E,C,0
No,Male,-110.56763477636397,-24.48748442771678,-100.11276188599317,D,C,0
Veteran,Male,28.761782683890104,-190.13279231954252,-8.534770488289247,C,B,1
Yes,F,-92.57382078168355,50.66013128892553,-49.453868151488976,A,D,1
Yes,M,4.233135841411257,-142.8337273299378,30.071795385712598,C,C,0
Yes,Other,-170.43168325678184,191.73351812764957,-105.93382091482302,C,C,1
Yes,Non-binary,-50.25436633928747,5.1726905079770145,-16.325893533794016,E,A,1
No,Male,-39.01376406367488,96.05887231380302,-36.6536533400838,A,A,1
Veteran,Non-binary,-142.33981080066386,178.44931683411866,-29.599010147858927,C,E,1
Yes,M,-91.43498267559714,137.34575393958227,17.301518269165754,E,B,1
No,Non-binary,41.43756688280717,50.79909538475028,27.566351791469867,B,C,0
No,Non-binary,8.80526430821432,-41.76059432660658,-143.32947878041526,B,E,1
Veteran,F,76.93305733235279,-54.03080546449737,96.62025029477064,C,B,0
Veteran,Non-binary,26.0904771738309,-145.84083575091512,30.78429158550267,C,C,1
Veteran,F,70.25031469040161,55.55921793315364,-4.056460303765573,E,E,1
No,Female,13.633976243302563,-32.70079957850082,4.926473260427257,B,A,1
Veteran,Non-binary,12.142596740591785,107.54302601609595,10.872562801163246,A,D,0
Veteran,M,-114.15876497313504,-5.509538770797461,-10.310205967575055,E,E,0
Non-Veteran,Female,-150.93007306890723,165.3324573580137,-107.60936608321335,C,D,0
Non-Veteran,Non-binary,-4.503871180044498,-123.62782975073807,-91.82610443877508,C,D,1
No,Female,-32.47501948765609,138.93413267639363,77.95993524723906,A,D,1
No,M,6.109465782634836,149.73772798258628,200.20880708289928,E,D,1
Non-Veteran,M,-9.731432600452795,329.7314264775022,-25.350359716105185,B,D,0
No,Non-binary,49.93429780850293,94.80467104431892,9.27153657654717,C,D,0
Yes,F,-11.807635067172098,39.58197912080319,-48.38682233655514,C,C,1
Yes,Female,86.23242217971192,157.93548892845553,-82.41200219534129,E,D,1
Veteran,M,258.12101967185515,-25.97229869245652,0.599630386865808,D,A,1
Veteran,F,44.13831271884159,159.6741548691801,65.40103670033885,E,A,1
Veteran,M,-6.878057998720465,-48.32292214370683,0.3827203270306197,D,A,0
Veteran,Male,-70.71737417574755,-118.84747617299254,215.66295643948635,C,B,1
Yes,F,-126.4828397242364,-18.866842054349362,80.68805479203431,B,E,0
No,Other,63.20942133221595,113.66357092376013,63.5849774650335,D,B,0
Non-Veteran,M,-54.626263994407864,-16.262544844323532,-125.81240031378809,D,D,1
Non-Veteran,F,70.50938721166624,-3.6893548371002964,-92.48950941515766,A,E,1
No,Other,252.71168456386158,107.72510080168311,2.0563671150218767,A,A,1
Non-Veteran,Female,159.63832557102901,48.4620460008897,122.16026657489041,C,D,1
Yes,M,-213.80541522293223,4.452567476664416,44.22324320752216,A,E,1
Veteran,Female,271.004021742557,210.35306054358435,-292.6509673559466,C,D,1
Yes,Other,52.85379484423795,87.01071781573559,-197.04803766506973,E,C,1
Yes,Male,141.50069012639966,6.86447456274358,93.14351704744895,A,D,1
Non-Veteran,Other,-0.4541423176666109,80.78119953055675,74.2640967097844,D,D,1
Veteran,Male,35.9339678515974,35.59179995256504,180.03996110532427,C,D,1
Veteran,Female,6.676588150163505,19.86690509713689,97.88446494679079,A,C,1
Non-Veteran,Male,20.160038053177427,115.86532631928223,-98.33786974267595,B,D,1
No,Non-binary,-54.70794303258849,-71.7474369362987,-18.017922296261148,B,D,1
Yes,Non-binary,-89.47845850111355,86.89119834282289,21.598506164564967,B,E,1
No,M,6.777103973585376,-31.340558034570225,74.42358291493576,A,A,1
Veteran,M,-114.60999916640611,-29.492070040433592,-108.13439954946962,B,E,1
Non-Veteran,Male,128.0375990187113,-38.716861899987514,-80.07312279244354,D,D,0
Veteran,Male,-100.18870801546842,40.031264586123186,115.25826042728673,A,E,0
Yes,Female,60.276665999765896,39.9150883854407,144.32095571532167,D,C,1
No,Other,-167.4248953806233,-157.4423677418045,52.400521838684774,D,B,1
Non-Veteran,F,143.00445378369102,62.603783215729955,-142.95449921277864,C,A,0
Yes,M,-169.50293711534476,78.05703260106993,111.65326546920691,B,A,0
Non-Veteran,Non-binary,-51.178730474703194,64.58797763030833,68.93430837132651,D,B,0
Yes,F,-155.73775035652184,48.454911980490856,-90.25206451986443,C,E,1
No,Male,-189.0203848413264,-25.43962130174554,9.252432291661023,D,C,0
Non-Veteran,Non-binary,-190.74868600066625,87.83846487559902,-51.422553487964706,B,A,1
Veteran,Male,189.44229202553325,-180.90135698756973,-21.49010778718674,B,A,1
Veteran,F,34.443391155377306,153.95534773894738,155.94523960375707,C,C,0
Veteran,Female,-201.46930680660208,110.70010107858941,-90.24582620903743,B,A,1
Yes,Male,-57.80682034898684,-30.75514555323072,105.29525998528406,D,A,0
No,Female,-94.13571483670317,170.4254352256087,-30.418943804848265,D,E,0
Non-Veteran,Non-binary,64.50121001707305,-3.3074309977221987,-89.8778304661723,B,C,1
No,Male,-17.933843302866524,15.256880762773134,20.494557107832122,C,E,1
Non-Veteran,F,-10.094067751511862,7.684866580332303,-184.9904364815609,E,D,0
No,F,63.92567399931638,127.41036499937447,-170.37146929923014,C,A,1
Yes,Female,58.93095272118939,72.36052673357837,-11.871070498061592,A,C,0
Yes,Other,90.01707836491715,-159.3320073039786,11.321525450699916,A,D,1
No,Other,143.55300583563888,0.6740796331054407,101.05380562577884,A,D,1
No,Female,-179.30178916244986,166.4012319568814,107.41166264978092,B,A,1
Veteran,M,-71.64536323770172,-118.12743942029846,-85.91498433277924,C,E,0
Yes,Female,185.46270876029635,-41.86449276492099,-13.089383654733489,E,E,1
Veteran,Male,100.1530886796709,22.259499187643893,226.2214453866977,A,B,0
Yes,Other,-147.68912450295642,-186.64700695959132,137.95748811367744,C,A,1
Yes,Female,-27.341795702372696,0.8021749278029783,-9.075961317741111,E,C,0
No,Other,-170.81440811296653,-220.93923484812484,42.22634654854191,A,D,0
No,M,53.08741042379198,-10.948878515955306,9.115278165241243,C,C,1
Non-Veteran,Male,-1.9250285564306868,41.63783080182652,-76.2141696178976,C,E,1
Veteran,Female,-57.44948908764951,62.16190851270338,-128.77352613731296,B,B,1
Non-Veteran,Male,-53.36124036442259,76.21826458906777,162.31067283079537,E,E,0
Yes,Non-binary,-59.5523740274736,92.08238288046225,43.779198232361594,E,D,1
Non-Veteran,Other,162.76038070256925,26.593406105886725,-67.53280713603877,E,E,1
Non-Veteran,M,56.39845653363641,33.63932432687934,-187.50768934275754,C,C,0
Yes,Other,-147.76235717567806,-45.3937952024156,-40.80376662647091,D,B,0
Yes,Other,-10.406286028685242,15.503264792527368,-182.52005845994393,D,B,0
Non-Veteran,M,-131.77713445469186,157.6649723423749,151.48893507474077,C,B,1
Veteran,Other,-172.9307332044758,-78.66741821241978,-212.43937527907545,A,C,1
Veteran,Non-binary,130.8948685931942,0.13051846835535416,-19.216416947294096,C,C,1
Veteran,Female,-4.732783625962949,61.82693634005167,69.78910568143047,D,D,0
Non-Veteran,F,86.42381900804871,-125.26791832894877,-61.07252351908438,D,E,0
Veteran,Other,-44.50543104784078,28.23330860320044,207.29591908312614,D,C,0
Veteran,M,199.0024621742355,77.5153630652919,0.9937549066919333,B,D,0
No,Female,-17.440663647635326,-173.59352656127166,83.3490251458873,D,D,0
Veteran,Other,2.085399544762808,-29.58174083715493,23.923240925830182,E,A,1
Non-Veteran,Other,106.40867701491588,59.59024599382411,-161.77600399958015,E,E,0
Yes,M,-22.624482038099,22.19693710933713,77.791704163897,A,E,1
Non-Veteran,Male,-29.99793936597484,63.829227784487856,37.590110115535246,D,E,1
Yes,Other,156.15624558200528,-189.2720661291111,-265.8367705162483,E,E,1
Yes,Other,55.0796745367114,283.5931176364074,-62.006932972213335,C,B,1
Non-Veteran,Male,72.32718829449408,-66.70549160569412,-117.78527246860457,B,E,0
Yes,Male,-107.08363870797173,29.080415297572948,-27.507923173830207,A,B,0
Non-Veteran,M,-19.039087428898405,-92.71131006768465,126.92853938046973,E,C,0
No,F,-209.69805147838022,-77.72583058619048,-0.6382221871396888,A,D,0
Non-Veteran,F,-38.40460443912859,-90.95093377736173,62.70249128034738,B,D,0
Non-Veteran,M,-68.23263824569578,89.9550303008273,-13.697745504763127,A,D,1
No,F,15.079360425389682,-88.9235877927097,-21.400062798560658,B,C,1
No,Female,105.11633120345468,-48.77771920965604,126.68937647037603,D,A,1
Yes,M,-187.84647348107194,-86.06482799488286,1.495118848104058,A,B,0
No,Other,181.99129358436014,57.384795752016124,-9.570695128297864,E,E,0
No,M,-49.84277818885287,211.99570889445164,39.683831688736575,C,B,0
Yes,Female,87.7547592400989,76.16405806687739,-40.98782739720603,C,B,0
Yes,Other,-28.767507199170712,-13.125993109205083,-111.96967297339211,B,E,1
No,Male,-135.09939223441586,106.60879149073924,19.15286875023632,A,C,1
No,Non-binary,-111.3803996263068,-245.91749087869036,28.039922320462285,D,E,1
Veteran,Non-binary,17.916679050040592,-53.357909596454924,27.776296355206874,D,D,0
Yes,Female,-60.77158659012801,-177.39968747489206,-46.35539527376168,B,E,0
Yes,Other,166.24906510383965,105.41754686662233,67.88787226408574,D,B,0
No,F,133.33375385223846,127.97945803363329,-24.339270992455386,E,B,0
Non-Veteran,F,-59.57885918688508,100.0369161596896,-55.7942141599582,C,C,1
Yes,Non-binary,-52.40186780991265,50.70148417134285,-98.90336003328677,D,E,1
No,Other,-87.14588958388765,-103.98415962366005,81.79965817134298,B,A,0
Veteran,M,-156.5148474294791,-25.33072244448472,-24.76757700513823,C,D,0
Veteran,F,-131.36573754055735,218.79527155618425,31.022454726769492,C,E,1
Yes,M,-70.17917907265459,7.541076097942395,76.77852674271658,C,E,0
Non-Veteran,F,-46.61644565426493,51.02353861989195,135.77534222259152,C,D,0
No,F,15.82117897057937,136.36111537216968,-19.529006116032924,D,A,1
Non-Veteran,Male,-22.963111162613394,74.3773261398134,38.934582452520736,B,A,1
Non-Veteran,Male,70.39648325788603,-88.37114030367225,44.57046746447801,C,A,1
No,Other,52.002114389101386,-164.64637565182065,64.39609039923764,D,A,0
Yes,Non-binary,-147.4559705757485,-40.58631185522977,21.312609058374704,C,D,0
Yes,Non-binary,67.9477687251169,-24.124128432196446,25.649803331310178,A,E,0
Veteran,M,-46.557562565013114,-111.50419813652586,-56.68471178786061,D,A,1
No,Non-binary,88.46267092137772,45.447238463786434,51.35370183592415,B,D,1
No,Female,-73.32748726983505,-129.46836886115517,-153.20298899326983,D,C,0
Yes,Female,2.950842347872814,-77.9079824361356,-225.97049727040974,A,C,0
Yes,M,-27.7869795995766,34.89204770241355,-127.04400998596608,D,E,0
No,M,67.79143136856119,22.051175899571803,79.61505715986814,B,C,0
Non-Veteran,Non-binary,83.0374400874169,138.01970666590188,-144.25818485900834,E,A,0
Veteran,Other,-13.00376105594783,-97.00086683456551,91.86974350990283,D,D,0
Non-Veteran,F,-47.296611077177374,70.09192729497788,-123.58318323004427,C,E,1
Veteran,Non-binary,-3.5382669338141945,-113.02109589522694,-41.77648577412548,E,C,0
Non-Veteran,Other,61.30348845085031,4.982358745522591,-24.03933176173846,E,B,1
Non-Veteran,Female,-71.55041905984166,57.55626794233836,-4.664868023793662,C,A,1
Veteran,Female,-129.69788849996482,114.01339398878645,-150.86380172846702,A,D,1
Non-Veteran,Other,-51.208425312121264,-153.31176793277496,85.39646479590886,D,C,1
Veteran,Female,-39.99460700626061,-62.35307799250735,36.21475900631426,A,C,1
Veteran,Other,152.80041412464874,185.62919611480882,55.53783872874435,B,C,0
Non-Veteran,Male,105.22454382564752,10.684227105413338,48.6665706625999,A,B,1
No,Male,5.539201910551034,62.16728955442585,64.88948151963415,E,D,0
No,Non-binary,232.66336895940572,8.467157754101134,64.4265955963434,E,E,0
Veteran,Male,-2.301553168272903,162.11821122553772,86.6545863891442,E,B,1
Non-Veteran,M,-182.85650189214863,-107.16865641476853,-90.97495117465235,E,E,1
Yes,F,-14.433264405417606,36.52360984619402,-91.16358813097652,A,E,1
No,M,-86.37874523204984,124.73038758426947,76.77916626568698,B,A,1
Veteran,F,50.77832586160067,44.00546517230044,185.62753511566422,D,D,1
Yes,F,-14.070793459471112,19.768279361136983,-122.00901258920543,C,A,1
No,Non-binary,6.949109190378423,-69.5793833934866,26.176242003362443,B,D,1
No,Other,-55.60893685701333,50.3477665041633,-13.522883404047601,D,D,0
Non-Veteran,F,-95.85707978565189,-104.44951993116803,-84.65846277168862,A,B,1
No,Male,39.664031241646754,-61.79438165768283,-86.26070275179922,A,C,1
Yes,Other,2.4841187583301734,45.9006087153298,35.12789084493595,D,B,0
No,Female,-156.29540790800874,154.94357422089894,12.73038316520599,E,C,1
Non-Veteran,Female,277.43738951303465,51.319397155272206,-78.41239900192943,A,E,0
No,M,34.28475622683958,49.724487562780666,-229.4845162659584,B,D,0
Veteran,M,-24.782935346128458,-46.21139886151594,30.979194364848674,C,D,1
No,Female,-52.4651206633297,-60.58231362174792,-231.85227009920646,E,D,0
No,Other,-76.84900286798357,-281.4765643560005,22.827336045713142,D,E,0
Non-Veteran,Non-binary,150.99785280057532,103.96383549862671,-124.27433266303056,B,C,0
Non-Veteran,F,-134.74346132278146,-25.10035498727331,5.39112934891016,D,B,0
Yes,Other,200.70674817544597,58.761975380990094,95.15969696773304,A,E,0
Non-Veteran,Male,-56.332750039056734,66.7712223657237,200.9608173543246,C,D,1
Veteran,Non-binary,29.49961736958319,33.411911867498375,-170.57348916447899,B,D,1
Yes,Other,-79.19061014738095,-103.50000694760288,42.97655490152989,C,B,1
Non-Veteran,F,-8.667414578348401,92.22562763802755,0.26397597905273734,C,C,0
Veteran,Other,12.546513813677015,-22.130100084251136,-5.1404152512213095,E,B,1
No,M,50.846136285773156,-315.0175818301702,18.086822111955094,E,D,1
Non-Veteran,Non-binary,22.562257394569173,65.14119034706953,68.2155083256386,A,B,0
Non-Veteran,Non-binary,24.315718175609376,-16.31576182033877,-122.10149598093976,A,B,0
Veteran,F,-151.121411238472,-95.61222786811311,-69.0296126980285,A,C,1
No,Non-binary,-33.30417755963054,45.07365245508221,83.98992992154305,A,B,0
Yes,M,-52.070006294867134,-188.9202106082138,-64.06541924582399,D,D,0
Yes,Other,85.93246086276417,-109.25218706458169,-41.248993002187106,E,E,1
