age_group,orientation,genero,Veteran,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,target
51-65,Other,Other,Veteran,B,A,C,A,224.31927656389686,-46.63148260900995,E,-35.97185793963564,-12.742491720720828,71.08793573773127,0
18-25,Other,F,Yes,D,D,E,A,63.93934431306687,-29.68244814089304,C,48.07695584577041,117.17265228384555,-116.80065657547294,0
51-65,Bisexual,F,Veteran,C,D,A,E,-66.65273414041391,-0.04256639261575679,E,-16.580265288345714,-115.58271229890791,-10.145254520062753,1
36-50,Heterosexual,Other,No,C,D,C,D,-70.17259077389404,-16.84931549818767,E,54.414483432943314,131.70159724155138,-3.578247193854582,1
26-35,Homosexual,Other,Veteran,E,E,B,A,187.78485258519555,-2.830299541677129,A,225.47000751234924,-26.514105111096942,-172.30288705181596,0
51-65,Bisexual,F,Veteran,E,C,D,C,11.493143850963781,9.71753695832691,C,-102.98788665255421,42.32357539992202,-135.73825451539773,0
18-25,Bisexual,Male,Yes,E,D,B,D,-12.271629769360374,42.15094737496132,E,-61.897881696524614,76.84284845412223,43.71521707930843,0
26-35,Homosexual,Non-binary,Yes,E,B,C,E,-150.55879938918088,28.42923183442865,A,51.99989883194025,-58.6322799876958,-60.256381680824724,0
18-25,Homosexual,M,Yes,B,C,D,D,16.411993712993315,22.506297604906145,C,86.42134015844653,-22.14316058245486,122.87805898379827,0
65+,Bisexual,Other,Yes,D,C,E,C,43.153478562065494,-52.37634780725027,D,3.8881419966553095,-121.43469413205072,-106.0474539583388,1
65+,Homosexual,Male,No,B,E,E,E,-105.04216281075233,-273.6310317124353,D,-33.99828500180255,33.09274264324169,0.8825655424712144,0
36-50,Bisexual,Male,Veteran,A,E,E,E,-27.88131432700609,-141.36457779315867,B,-159.10724914556675,25.51412764408235,-19.489577612329732,1
18-25,Bisexual,Non-binary,Non-Veteran,D,E,A,A,31.42994292529292,-61.05351846388443,B,-121.93360746359183,32.53427223040567,-84.21593488075467,0
36-50,Other,Non-binary,Yes,C,C,D,C,32.36159849277772,-58.48691318212407,A,-14.83624231797524,-112.70281509541704,92.30148893474255,0
36-50,Heterosexual,F,Non-Veteran,D,B,A,E,-143.49803904626197,-15.04166669520325,A,-10.599859974846723,-73.52944912409417,123.99234106187444,1
18-25,Homosexual,Female,Non-Veteran,B,B,D,C,-24.371808414177057,78.93584045130649,B,95.50877371170031,52.241754549606114,42.69841961721367,1
36-50,Bisexual,Other,Veteran,B,A,B,E,81.96568230606204,-160.78186220333,E,-37.71586333443834,5.091878744157767,128.47862334237678,0
36-50,Bisexual,Male,Veteran,B,E,C,B,67.68426044073445,-66.65387129061664,D,30.653161622353476,56.21733410011752,-142.77067845295318,0
26-35,Heterosexual,Male,Yes,D,A,A,C,77.63758306594909,-37.41839364132177,B,73.63665988720689,26.29583603847367,117.95842226436307,1
18-25,Heterosexual,Other,Non-Veteran,B,E,C,B,137.84100430066516,59.73349404238469,D,70.94345934329155,0.5831404481996412,-117.44355179516116,1
36-50,Bisexual,Male,Yes,C,E,B,B,-54.78563564635387,11.237791107053472,D,37.30094155693238,-111.0300036306938,104.89774759816835,1
36-50,Other,Other,No,B,E,A,B,-60.21152435803122,68.23117758652788,A,95.4861206203667,-152.1090053094634,-158.76490129443025,0
65+,Bisexual,Non-binary,No,D,A,B,A,-56.6625059687975,-124.56570319915849,C,-43.266162679960075,-155.06256625220453,-38.667341383683905,0
51-65,Other,Male,Yes,D,B,D,D,15.264912676007445,26.88101971976586,D,25.706212054635554,34.78179286391518,34.37065554261316,1
36-50,Bisexual,Male,Veteran,A,B,B,C,-142.34465014639397,4.761112116479835,E,43.89965387204302,-102.27963868409175,-116.17189959581422,1
18-25,Heterosexual,Male,Veteran,C,A,A,D,112.24125543486561,113.11887850439935,C,106.44895531703611,101.70508845473658,-98.94058309022756,1
26-35,Heterosexual,Male,No,D,E,C,A,-51.9509394674308,6.9304411391447704,A,-115.45425752429348,156.76368774789918,-112.25727399654595,1
51-65,Bisexual,Other,Yes,E,C,B,A,55.64435446990527,21.81015765559727,C,-104.66689059797014,50.24657984606979,-45.855804049652455,1
26-35,Homosexual,F,Non-Veteran,D,B,D,E,75.81226337213334,-69.08079969238338,D,52.76914976418803,75.24885903825083,-5.193509064747568,1
36-50,Other,F,No,D,E,B,D,-120.915740385356,-137.97945227792664,B,-138.86100246228835,-5.593310950910454,10.99068479741789,1
51-65,Other,Female,Non-Veteran,A,B,D,C,-123.12891439139553,3.385509346384632,A,-194.61594757285215,28.200647102094113,-170.1626774593485,0
65+,Other,Non-binary,Veteran,B,B,C,C,-38.23054917416203,21.872396545044502,B,-16.84397615662812,-105.41553941973531,-7.28211093500187,1
36-50,Homosexual,M,Yes,B,E,B,C,26.2284391952255,-155.01562901980884,C,-31.116830421437243,23.026653479904702,-63.672649035809826,0
36-50,Homosexual,Other,Yes,C,C,C,C,78.53445933528405,92.61136344480492,A,104.14114208477068,15.967085045304271,-151.96380065699432,1
26-35,Bisexual,Other,Non-Veteran,A,E,B,E,-94.4068577323429,-14.53026793300042,B,-37.12823152952259,-207.41688617458993,-170.3259316662315,0
65+,Bisexual,Female,No,E,E,B,C,22.181577487289378,41.61483300513087,C,-96.59187294363242,170.36492640790019,-11.305967067233688,0
18-25,Homosexual,F,No,B,B,B,C,-52.734270392963246,111.83483520489148,E,-116.4051998785553,166.05717847999736,-16.073569717619215,0
65+,Other,Female,Yes,D,E,C,A,27.130552648134937,5.81459881636117,B,-136.52715734139133,-94.31677251031698,-89.42667215898081,1
51-65,Bisexual,F,Veteran,B,E,E,B,-163.0501614049737,114.07849601808095,E,-40.790342260501376,94.94623844071285,82.3471861616113,1
26-35,Other,Female,Yes,C,A,A,C,90.93544262551464,-53.40007205942649,A,-133.92556927822937,33.36417807766845,-153.93052325329114,0
36-50,Homosexual,Female,Yes,A,A,C,D,-154.32215068764225,127.57114992362997,E,33.50321608315742,52.622907302667365,-26.575442288059207,1
26-35,Homosexual,Male,Yes,C,D,A,C,-62.69007333602753,184.7601697266753,D,-94.34268568337505,141.4631436527993,138.98125807011158,0
51-65,Other,Other,No,E,D,A,B,-4.887799641573497,-174.27655993294098,C,-271.015169279577,-7.792974071213145,-102.73035831981619,0
26-35,Bisexual,Non-binary,Veteran,B,A,A,E,6.073662555776021,169.89051953577538,E,-0.7352873705573677,129.80255239432273,256.6874395634545,0
26-35,Homosexual,Male,Yes,A,A,A,E,-77.62535431878993,-109.68310771876686,D,-138.25010073731096,13.949548516152301,-6.01179615288239,0
18-25,Bisexual,M,Yes,D,C,B,C,132.49150558768633,148.58880479810523,A,-87.54857908155977,-22.806978221336944,59.87141435494271,1
36-50,Other,Male,No,A,C,C,D,96.53317536698772,27.545542221359113,C,-50.386484728334224,121.63326777102186,109.38922614232057,0
36-50,Other,Other,Non-Veteran,A,B,A,C,-45.09813547510888,-4.222404578295504,B,-33.78720179423869,69.38960116103449,-125.3273906925742,1
65+,Homosexual,Non-binary,No,B,D,A,C,-160.34049526490415,33.721879407148336,B,-71.35059442998444,6.867131945369451,-118.49996269070296,0
51-65,Other,Female,Non-Veteran,C,A,A,E,67.53143852133728,151.76193201573253,C,-23.185605930365526,152.2811526767253,152.44776022205042,1
51-65,Heterosexual,Non-binary,Non-Veteran,A,C,E,A,49.03121541959067,90.34811976571905,A,-19.740093158524534,46.25709974678044,-180.33809395003365,0
51-65,Bisexual,M,Yes,D,B,E,D,-93.33030967265731,30.77189658696369,A,129.7002413032634,-92.94972755794949,-60.77022870790283,1
65+,Other,Female,No,D,C,B,C,-15.366277116847794,-47.82530366952634,E,83.39224755123651,96.39078758430286,93.62684004953972,0
26-35,Other,Non-binary,Yes,A,C,C,E,124.82381059618186,-38.883593750803456,B,-65.29801487267272,219.9971056146301,-214.1408569699692,1
65+,Other,Female,No,A,D,B,A,-118.653057102898,1.0714621944130078,B,-156.52501198827505,-7.221137390595442,-120.38506294785911,0
26-35,Heterosexual,Female,Yes,C,E,C,D,-36.383852373513506,-85.54700205681293,B,76.36608269840616,-64.73488782901315,-37.25978599490878,1
51-65,Other,Male,Veteran,C,E,A,A,122.02496439740061,-155.96603634926544,A,103.18921880757712,-106.2198161931247,-52.14841982169357,0
26-35,Homosexual,Female,No,C,E,B,C,-140.359143414131,70.19768356087481,E,2.9824631703269384,70.20686903281025,27.938478055329558,1
51-65,Heterosexual,F,No,A,A,C,C,120.59505744496629,0.8013401670541416,E,-17.693382286142395,-180.11231274168097,51.35856293580575,1
51-65,Other,Other,Veteran,A,C,A,A,-125.84688449675896,-103.53243484776169,A,-56.71572263024511,-61.11165085001079,36.53103824028145,0
36-50,Bisexual,Non-binary,Yes,A,D,E,C,42.83495239928147,27.538608012486165,E,-12.390590510747424,74.2537136684646,-76.10405316440033,0
26-35,Heterosexual,F,No,B,E,C,C,-79.9214746302857,-8.419268014642132,B,30.517530661376263,5.537261912170704,-80.6259312466118,1
65+,Heterosexual,Male,Veteran,C,D,A,E,-93.42460610357153,-85.22071624679882,A,-98.81219987268645,66.3064599706202,54.49070691441212,0
18-25,Bisexual,Other,Yes,E,B,A,D,77.1264845429979,-160.9648551690871,A,155.86740530971738,138.32182208273147,-150.42419633437,1
26-35,Other,F,No,C,E,E,A,-69.6518890373791,55.188527251131006,D,-106.37818505336054,16.84651349323743,93.07925816514634,0
51-65,Homosexual,F,Non-Veteran,E,A,E,A,113.62771477039126,-57.559611547872755,D,-72.63890042136718,46.54848000212806,-135.3154250865276,1
36-50,Other,Non-binary,Non-Veteran,B,D,E,C,87.54853808785637,203.02309115251975,E,45.14627809147071,73.0479212835564,-33.77841896806286,0
65+,Homosexual,M,Veteran,C,D,E,C,80.0141100169646,-36.15866733967982,D,1.386812876709507,-11.832610483916172,65.04432110058956,1
65+,Bisexual,Other,Veteran,C,B,B,A,80.80437500074605,13.130135908996932,B,-78.15647363997134,-4.731368892338615,-101.4253980579207,1
36-50,Bisexual,Female,No,A,D,C,A,88.54334029421256,8.031627204288483,A,194.406832777298,19.10448656972573,164.26044164277545,0
36-50,Heterosexual,M,Non-Veteran,A,D,A,E,8.002660692042806,25.307041338466597,D,164.18594181160654,-10.479363356884337,11.942674660478897,0
26-35,Bisexual,Female,Yes,A,C,A,B,106.72561269400917,-238.16412253333817,C,-56.36583049669169,21.040167953957017,13.46614387058073,0
65+,Bisexual,Male,Yes,D,C,E,A,-203.0292421106877,88.41219528132041,C,-1.7126094598566632,-2.109954807356853,50.19519473844727,0
51-65,Bisexual,Other,Veteran,B,A,A,C,27.105132621700058,-18.654176266983878,C,-51.84308659980199,40.64158572122684,79.47608267208561,0
36-50,Other,M,Yes,B,D,B,C,83.71181901299771,109.15938399734104,D,48.256507233475304,-133.17129924178215,148.73174772773683,0
36-50,Heterosexual,F,Yes,C,A,B,B,97.97076153238594,126.6258794369698,C,-148.98664980658464,-33.86274296706576,-20.1725425328757,0
18-25,Other,Female,Yes,C,B,E,E,33.18766315386167,-295.82967369655375,C,132.56567722424862,-98.04649807164395,7.685738751146726,0
26-35,Other,M,No,C,C,A,C,-67.35336579860463,-137.79276598095524,E,125.16063432555225,104.0920832657365,230.84078732271266,0
36-50,Heterosexual,F,Non-Veteran,C,A,D,E,-22.141988663474983,-76.67288635547345,C,-8.696945010056053,-164.1140142869824,255.85187031001323,0
18-25,Bisexual,Male,Veteran,A,E,C,C,-28.114379964249352,-43.38566376078475,E,55.434979329641145,-27.74139382009678,-22.977800704571486,0
51-65,Homosexual,F,Yes,B,B,D,E,-41.35483456437793,-102.51822683244663,D,118.7977713470366,-173.86278117514172,-84.14447342932021,0
26-35,Other,F,No,E,B,A,C,-232.05463911626927,-24.344686150160197,A,76.8122838308203,95.92437352488803,-141.17746682809945,1
51-65,Homosexual,Female,Non-Veteran,A,A,E,C,-92.35746489744928,11.219168645228645,C,85.30446240988219,-25.09075661084334,16.20655206904299,0
36-50,Other,Male,Veteran,B,B,E,E,176.07968990308152,72.60409530064055,C,-1.64231004499883,-28.505703034940122,-65.7619942845323,0
18-25,Bisexual,M,Veteran,E,C,E,A,26.281304753789225,14.968749302453327,A,85.60791800337935,-113.77419291050683,127.35105862632975,0
51-65,Heterosexual,Female,Veteran,B,D,A,E,88.49377395743235,146.32093039226237,D,80.27509055647029,74.40179432450202,-129.28191701872086,0
26-35,Bisexual,M,No,C,A,A,C,106.09146717766747,-14.157419166731492,D,-2.5491701687439376,94.78431568113372,62.13721830242569,0
26-35,Homosexual,Female,Non-Veteran,D,D,D,A,-76.10980258143925,104.02438306347483,D,-127.33109070972041,3.4842519098343967,102.90975112030165,0
65+,Heterosexual,Non-binary,Yes,E,B,C,C,27.640670612632036,137.37089403837166,E,-16.78717926360742,57.98969615654407,35.41817685562588,0
18-25,Heterosexual,Non-binary,No,E,E,E,E,112.38502846938229,29.498679419591493,D,-2.0263859417446164,35.89039951506921,-170.58206379106383,0
26-35,Homosexual,Male,Yes,E,D,C,E,24.046844289433135,192.9385817950635,C,-52.77058114185414,53.89447662744951,37.53328443203186,0
18-25,Bisexual,M,Veteran,B,C,C,C,-170.01694576049871,43.49543381191048,D,-105.1014389591098,19.08571358964599,-11.383182188953565,1
65+,Homosexual,Other,Non-Veteran,B,B,E,C,-180.1227235601591,32.794683311491134,B,8.303245208875124,151.57895421394122,-83.81279630692454,0
65+,Other,Male,Yes,C,A,C,C,94.24351797445763,30.79161684656665,E,74.52946095338065,94.56585015690247,-209.06314397445746,0
18-25,Bisexual,Other,No,E,C,C,C,-55.97498424524049,-76.19099332395159,C,64.62429973845919,-49.49774013033289,105.2961706451325,0
36-50,Homosexual,Other,Non-Veteran,B,E,C,E,-137.76385449329632,44.8709861276815,C,-72.3958957415495,25.290996440646126,27.61606149000026,0
36-50,Other,Male,Veteran,A,B,B,C,-69.83088354657248,-56.72120603596158,A,127.81739650087054,118.8541008610668,-0.7155452175543926,0
26-35,Heterosexual,Non-binary,Yes,B,E,A,A,-10.76540385518942,-3.8590906141814507,A,19.364839788423435,-38.98736539110481,39.09314272850104,0
18-25,Bisexual,Female,Veteran,A,A,C,A,53.85353063565559,266.09155017515695,A,129.72718306640368,62.84483233093785,-66.04418383899588,0
65+,Homosexual,Other,Yes,E,B,C,B,159.72535981439944,52.07825605462428,B,-62.431964271974174,156.18284315415755,-5.577173187104608,0
26-35,Homosexual,Other,Non-Veteran,B,B,D,E,-91.7288911522191,0.12530331076711806,E,-152.15651134082378,72.12216273129313,218.67241779379194,1
51-65,Other,F,No,B,C,C,C,55.50455922389461,-6.166818509292922,C,-3.005119843844785,100.6665101594794,-131.4510924041834,1
18-25,Bisexual,Other,No,E,C,A,D,-35.57848473062766,-57.15480987476632,B,117.2338315586839,-55.03782383941939,48.053416665270426,0
65+,Bisexual,Female,No,C,B,E,B,107.1029454519227,78.86742833795711,C,-128.88532774578005,-25.149783822292555,28.985234799676746,1
26-35,Heterosexual,Male,Yes,B,D,E,C,17.42468205387434,5.960327238832796,C,103.1316891127307,7.021727363950096,60.82456597660691,0
51-65,Bisexual,Non-binary,Yes,E,C,A,D,-114.33865207542789,21.235627144779514,B,-77.77704549295422,57.620268513060715,104.55725906413653,0
36-50,Other,Female,Non-Veteran,E,B,C,E,-25.053246355740722,-56.93081410776634,E,-191.5559021890224,-10.650365881422795,-99.13488857605539,1
18-25,Homosexual,F,Veteran,A,C,D,D,63.143586524811255,-54.458926138752,E,203.84602855658596,-28.237344353254485,38.44027774312557,0
65+,Bisexual,Male,Non-Veteran,D,B,E,C,43.1409370065247,113.61981680408432,E,36.41107771618903,-59.28746014167705,114.60076915396984,0
65+,Heterosexual,Non-binary,No,C,E,C,A,-92.43007926488677,116.86570900460687,C,-78.50859119624045,66.18875093461479,-146.3720612495339,1
26-35,Bisexual,M,Non-Veteran,B,D,E,C,-13.787412246912758,-62.95667209051745,E,-94.07456361087387,101.46286269156546,-28.318936365330593,1
36-50,Homosexual,M,No,E,C,C,D,18.600452196803563,2.618852171967671,E,206.82462626466256,-31.443408564967168,89.16491738820945,0
65+,Homosexual,Female,Non-Veteran,C,C,C,D,116.1858057634066,-7.297570463681616,C,67.45790358925508,-200.07943773698463,170.38327872354597,1
26-35,Homosexual,M,No,B,B,E,A,68.56972732709043,91.4632624979689,B,-110.93835974955526,66.64267521374512,214.92682283470344,1
18-25,Other,Non-binary,Veteran,E,C,A,E,130.384253485614,-58.46111277817534,B,-86.50594392113595,86.56285603355748,47.362538458910606,1
26-35,Homosexual,Other,Yes,C,B,D,C,-192.67463105476745,-0.7342420136389683,B,35.25512402416838,-24.094466527322577,90.04764532269279,0
26-35,Other,Non-binary,Veteran,A,C,E,B,58.551375202202074,-27.75651809139683,D,-27.260832229991745,-11.797547741595475,-18.440647358736616,1
36-50,Bisexual,Male,Yes,B,C,C,B,-31.856489802474492,321.9637167469711,A,-83.2242178083463,-39.75185880173271,-25.04303460207656,1
65+,Heterosexual,M,No,E,D,A,E,-41.19599049164043,123.44091671304709,B,-20.004974284504183,133.89841066696303,-96.36307604588306,1
65+,Homosexual,F,No,A,D,E,B,-109.7681912764767,-12.225477829576894,B,17.061543705016664,2.927581103033755,-150.98410531327454,0
51-65,Bisexual,Female,No,D,C,D,E,-48.09358411702984,139.94255879205477,A,-14.27667305391893,117.9624224767138,43.5924754601156,0
26-35,Other,Non-binary,Yes,E,A,C,D,-15.265960675682416,200.39222119005782,B,-77.64784631046602,0.6866975152203908,-97.52967922458086,1
36-50,Other,Female,No,A,D,C,D,-103.32208696777276,65.76218545911266,C,-93.87432219694139,-68.36144107484394,23.23980727473596,1
51-65,Other,Other,Non-Veteran,D,A,D,C,-10.829255437399015,-7.630970595741175,E,-63.5748556370836,35.89729518038521,-29.969541359290748,1
26-35,Homosexual,Non-binary,Non-Veteran,B,E,E,C,-99.09140507936563,198.31961102566413,E,-12.70010779003755,109.01779461033045,88.33388600224167,1
51-65,Bisexual,Other,No,B,E,E,E,106.81868759082826,-37.832567865005814,C,49.342442577435115,-139.1826560260423,-153.55743036898778,1
65+,Bisexual,Non-binary,Veteran,D,D,B,C,18.886211192402577,-10.187332506005479,C,97.68125924635184,-61.99334721668721,147.14276275692333,1
26-35,Bisexual,Female,Veteran,E,E,E,A,170.09133937031183,-77.98118723205404,D,-88.2976530585334,-128.5923637339001,-28.993432923404477,0
18-25,Heterosexual,Other,Veteran,B,D,C,C,-69.68718865823021,-124.03902659966684,E,-39.62043233904928,64.34812319724504,-52.479284502886145,1
26-35,Heterosexual,F,No,C,A,E,A,54.19398588869137,-63.47156720569054,E,23.503602124934776,-85.68542063452608,16.439234076591227,0
36-50,Other,Female,Non-Veteran,D,C,B,E,-114.89957299989977,28.412893684354152,D,10.754869295325944,-190.8053334076766,-193.68863901562779,0
65+,Homosexual,Male,Non-Veteran,A,B,A,B,193.59782236301507,-2.833944777508569,B,-214.45867933159812,34.176527168071125,-144.7354719161516,1
26-35,Bisexual,Other,No,A,A,E,E,92.4852063810134,-34.807790775186284,C,142.3575648999525,87.6048646815933,154.20170902503594,0
65+,Bisexual,M,Yes,E,E,D,C,96.95634919853104,115.57720025211245,C,8.065410479142052,176.59387792270826,47.09727974013666,1
36-50,Other,Non-binary,Veteran,A,D,E,C,10.86227978786567,-116.79500976239186,A,49.64639823110209,-34.048259008402695,16.59696952495934,0
65+,Homosexual,Female,No,C,A,C,A,147.99899525201667,47.471088441753885,D,22.176996899258285,97.85642548885512,61.83653658520842,0
36-50,Heterosexual,M,Non-Veteran,A,B,C,A,-110.85297131482277,-146.11612059675,D,-65.60633268832451,-137.95073730110178,-37.258228271190326,1
18-25,Homosexual,Female,No,C,D,B,A,-142.85216210191598,-63.408136646099145,A,80.16660893430311,-183.80262221756254,-78.30683199803683,1
26-35,Other,M,Non-Veteran,E,E,B,E,47.301880561417946,-199.0864537819358,B,-13.335104055083876,-177.75423299591475,-51.94670122325383,0
18-25,Other,Female,Veteran,C,E,B,B,54.530884765808985,31.71312790390935,B,8.18590846095146,91.1444540274993,1.9030476468667272,1
36-50,Homosexual,F,Non-Veteran,E,B,C,A,-23.6353727440508,4.239033365597762,A,82.02985860023797,32.26328644693397,41.049699756494284,0
18-25,Homosexual,M,Veteran,A,B,C,B,8.28611023017198,-11.259240577646478,D,-82.9759794675845,-62.00219860189704,-33.98063192062427,0
18-25,Homosexual,Female,Non-Veteran,E,D,E,C,121.69939363038789,-133.94662149347,D,-60.177695552317935,-6.614109661299507,-10.786551623002804,1
65+,Other,Non-binary,Non-Veteran,D,D,B,A,-72.33087583884023,68.08473695828854,E,-157.19089857723992,115.38884241888539,-29.35952986384781,1
65+,Other,Female,Yes,A,B,D,E,-128.00891264308197,-71.22859112026978,A,200.54488188709684,-0.0628999822131133,36.32494714489596,1
26-35,Homosexual,Other,Non-Veteran,D,C,E,D,-70.83875088696857,128.89245579208745,A,-90.23232763677626,174.30268120678062,-89.65359912576368,1
18-25,Other,Other,Yes,E,E,A,B,110.55455908369917,112.42140485213964,C,26.21007364794248,47.37737843560983,-81.47910700713746,0
36-50,Other,Non-binary,Non-Veteran,C,A,A,A,82.62023629803247,65.12222676908756,E,12.155013276438758,6.346934726517593,-75.06790979741133,0
36-50,Homosexual,Female,Veteran,C,B,B,A,-38.39973346002133,59.271034093284754,E,8.480896136091044,-58.29744852749068,-137.854914994578,1
65+,Other,Non-binary,Non-Veteran,C,D,E,C,133.784395090202,99.77187300134051,C,314.3706672312333,56.60737233901533,127.69153670626581,0
65+,Other,F,Veteran,E,D,A,A,68.20748226081552,-92.32267040649201,B,-3.529615370053886,67.93166313863601,-64.34463552795484,0
26-35,Homosexual,Other,No,A,E,D,C,-21.1518654534024,-51.59539197752044,A,0.02419043309239988,191.0367568559098,-86.40156070102051,0
51-65,Bisexual,Female,Non-Veteran,C,E,D,E,-52.52982009803663,-120.24366621804336,D,94.56100923620161,-151.5779600075498,-74.61387861467537,1
51-65,Homosexual,Non-binary,Yes,D,C,C,D,-9.898265191650744,-64.21263715402965,B,-4.898404112774546,89.58988596479622,43.31260066025958,1
51-65,Homosexual,Female,Yes,E,D,B,B,-25.428164896714428,17.591797689766253,D,-24.56560183059726,59.40929712198481,81.92723307150086,1
36-50,Homosexual,F,Non-Veteran,C,A,A,E,65.76768350828051,53.49853824723031,B,142.86721880298373,141.64671827745929,141.1332034146477,1
65+,Other,M,Non-Veteran,D,A,D,A,116.06005283076601,111.80625800546838,B,179.1147687252754,251.4249694722378,112.78812409730526,1
51-65,Other,M,Non-Veteran,B,C,B,D,149.96700988675232,-174.27584158372636,C,-65.9094055410886,57.12271925715066,-137.15894220450824,0
18-25,Heterosexual,M,Yes,D,E,B,A,152.98947581700867,-18.62956620756467,C,43.87184407890832,22.301087742715854,15.902303991592904,1
18-25,Homosexual,Non-binary,No,E,E,B,E,-41.617346372588074,-217.6414767687895,C,113.60541629768484,-50.19515374653284,179.32748920394346,1
26-35,Homosexual,Female,Non-Veteran,B,A,E,B,21.349664754546037,127.63908266026445,E,-39.1697654396561,57.88895867559243,-124.85455388855833,1
18-25,Homosexual,Non-binary,Yes,C,E,E,B,-153.5334922359674,-2.16548831130417,D,-75.71521463452959,-22.444931811927194,139.94960224699506,1
65+,Other,F,Veteran,A,C,D,D,166.02095807495715,-74.66323141043323,C,-4.626020214541046,-160.2605505210239,57.017897849535274,1
36-50,Other,F,No,B,B,C,C,-50.4925898792982,123.57452979319434,E,-90.04761009931977,-76.96009968421187,7.038582630199827,1
18-25,Bisexual,Non-binary,No,A,C,A,B,165.5672439007582,-38.50839932563742,A,23.874975794991016,164.69866311706704,16.854003790483553,1
51-65,Homosexual,Female,Yes,A,B,C,E,78.52505596643414,-39.76393623199212,D,-116.22488406585241,-69.38820229334209,-41.60883054438614,1
18-25,Homosexual,Female,No,E,A,B,B,-44.878728520765506,43.14781427787687,D,3.2718229975042403,88.97601575277616,-20.62630493843726,1
36-50,Bisexual,Non-binary,Non-Veteran,A,D,B,E,-138.77117260006273,31.512215106495834,A,100.82721691106329,-14.262397965358717,-119.35216966985611,1
18-25,Heterosexual,Male,Veteran,B,E,C,C,55.54584604591714,-52.463649940236834,A,163.12938803674314,-11.542147289262516,-22.588646854333135,0
36-50,Heterosexual,Female,Veteran,B,D,C,E,117.70233044846489,28.01542319261169,C,-221.8067790101063,28.812846451453122,-53.26698439548877,0
51-65,Other,F,Veteran,E,A,E,E,113.95188357705115,-78.4286491666092,C,35.518915855826194,67.83101982036696,-63.17906428692832,0
65+,Bisexual,Male,Veteran,E,A,E,A,-55.67956673440831,-193.6757579615267,C,41.875786074305005,-24.927869862343957,-54.23592448041342,1
36-50,Other,Other,Non-Veteran,E,D,B,A,40.09081591027747,30.00271706049851,B,64.90276776922052,75.64443952580413,144.66038766140335,0
36-50,Homosexual,Female,No,B,D,B,D,70.46345720790057,242.63491999897244,B,-105.18049115097739,-173.23122962893726,-15.92100508437959,1
51-65,Heterosexual,F,No,E,B,E,A,-96.90574328684383,-86.63644289782077,D,-45.333938532856365,-160.15902423938667,-27.201350046777005,1
36-50,Other,F,Yes,D,A,B,D,-24.34530213122249,-11.996994540374379,C,6.3077134710458145,27.559487059800862,-34.814490573869215,0
18-25,Other,M,No,B,C,D,C,-136.595249231921,-154.30006281137366,D,-62.91033964226644,63.56891489622256,-93.24712287566756,1
18-25,Other,Non-binary,No,E,A,D,B,128.0799758262392,-26.995323460845977,B,-5.522177737838902,10.903334637215911,-12.83123646436794,0
18-25,Other,F,Yes,D,E,A,D,77.21312589957768,30.756690029188587,E,-34.86501343530771,-72.63589339580214,211.10864670225035,0
26-35,Other,F,Non-Veteran,D,E,C,E,8.182393051461542,-177.04161568185205,B,-20.09978022958338,208.01201434934075,-46.27829193568422,0
18-25,Bisexual,Male,Yes,B,C,C,A,-44.25849696881144,171.6533893921141,E,-115.74141420216253,-43.824769144102035,120.42606064727295,0
51-65,Other,Non-binary,Veteran,E,E,A,A,-173.69481921715925,-96.18497937472623,C,-15.829912184272867,-82.3684142264206,12.979226991277038,1
26-35,Heterosexual,Non-binary,No,A,B,B,E,-73.22566714935273,2.190174598708592,D,59.97639539175774,-208.39343890761,-27.651113084721402,0
51-65,Bisexual,Other,Veteran,B,D,A,A,65.29241738377921,121.84029858901513,C,-179.97124978451848,-161.72629373780302,40.07812815279771,1
18-25,Homosexual,Other,Non-Veteran,D,C,E,A,100.99204389167016,-13.541196463255456,A,114.97759421852531,-43.27881585973516,-69.06890169704224,1
51-65,Homosexual,Female,Veteran,A,C,A,D,-45.9509236809247,-17.007007769931718,D,-63.212394757152104,20.310436083085758,-30.23340179399172,1
18-25,Heterosexual,F,Non-Veteran,C,A,D,E,60.694935893246814,7.450885185226001,D,-77.48985063941393,147.5667391224738,132.54959680092662,0
65+,Bisexual,Male,Non-Veteran,A,D,B,B,-257.80333712185046,-21.4225239150035,E,-20.310439378522315,-189.21622899477282,2.9281250143664272,1
26-35,Homosexual,M,No,C,C,D,E,-253.60179764883281,126.78376085549328,C,-96.90972866140784,-130.28567199866063,62.28016030745176,1
51-65,Bisexual,F,Non-Veteran,E,E,A,E,-30.79782702408845,115.76020499182043,A,2.7349802371507965,-63.85093664561864,-85.5150987621088,1
26-35,Bisexual,Other,Non-Veteran,D,E,C,A,-13.825180614912307,-198.1434083647966,C,-201.03452491992013,149.16532734008203,24.662789921304658,0
51-65,Homosexual,Male,No,C,A,C,A,-20.693735999206307,99.07105553621662,A,-2.243269249711521,91.60133001860773,-199.14790878601008,0
65+,Homosexual,Female,Yes,D,A,D,C,15.1707727822096,7.847333417382588,A,72.99868974295613,45.20860318625944,-129.49640828620514,0
36-50,Homosexual,Male,Veteran,E,C,B,E,83.59199893381066,149.3461018261471,D,45.36221521332165,93.19859547085669,-4.263330098761414,0
