Veteran,Nationality,orientation,age_group,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,target
Yes,Mexico,Heterosexual,26-35,B,B,200.82570318818912,D,A,-46.815151061520375,1
No,Other,Heterosexual,26-35,D,E,133.44587362296772,E,C,-136.34753793185615,0
Non-Veteran,US,Other,65+,D,B,66.52034167180496,C,B,-119.35021032094,1
Veteran,Brazil,Homosexual,51-65,C,C,48.65564383364702,C,A,-137.43471138590752,0
Veteran,Brazil,Bisexual,36-50,C,B,123.9816160490751,E,B,21.82791237519812,1
Veteran,Brazil,Other,51-65,E,D,-30.0587242216768,D,E,3.33640612893666,1
Yes,UK,Other,18-25,D,C,-185.57932344908983,B,E,-82.79884089001224,1
No,India,Heterosexual,36-50,E,C,-39.126095845868754,B,A,183.20578478499027,1
Yes,Germany,Bisexual,26-35,E,C,44.78922949202333,A,A,-81.3394412897088,1
Veteran,Mexico,Homosexual,65+,C,B,69.21584780937678,E,E,8.76172032930418,0
Veteran,US,Other,65+,E,A,39.559000243409955,D,B,26.480506535911335,1
No,US,Heterosexual,26-35,D,C,103.35098449481588,A,E,36.85777936745473,0
Veteran,Mexico,Other,65+,C,B,-57.73505997696255,D,A,-251.9417554277441,1
No,US,Bisexual,65+,B,B,-104.56702115323986,C,D,104.36171716789175,1
Veteran,UK,Bisexual,36-50,D,D,115.95776427106041,C,E,160.86124009037502,0
Veteran,US,Heterosexual,51-65,D,A,-8.372131630931165,E,E,30.648399804278963,1
Non-Veteran,US,Bisexual,18-25,D,D,44.78112231088923,D,A,-232.87238353446728,0
Veteran,UK,Heterosexual,36-50,A,E,44.16345465510151,D,D,36.68653210752294,1
Yes,UK,Other,18-25,D,D,105.26901985394134,B,A,12.833820143039148,0
Veteran,US,Homosexual,18-25,D,A,-70.99697386676634,C,E,36.27848280294146,0
No,Brazil,Homosexual,51-65,E,D,74.20554532482822,A,E,52.548952493829624,0
No,Brazil,Other,26-35,D,B,178.13441614289405,B,D,-259.8065626772831,0
Veteran,US,Other,26-35,C,B,27.808320151816268,A,C,-0.31503803797638325,0
No,China,Homosexual,18-25,A,B,-37.97309280268954,A,D,-68.62526609859431,1
Yes,Germany,Bisexual,51-65,B,B,136.27196782659007,D,D,-41.61097305516449,0
Yes,Germany,Bisexual,26-35,C,E,-41.29959496969408,D,D,165.91137275593334,0
No,India,Other,36-50,C,D,9.393478646292273,D,B,-146.1467621245671,1
No,India,Other,65+,E,D,20.645504778651848,A,A,-30.823692203637187,0
No,Germany,Other,51-65,E,C,-72.2485924311837,B,E,27.02841702874045,0
Yes,Other,Homosexual,18-25,B,C,60.184072150821,C,E,-9.348356269835852,0
Veteran,US,Other,18-25,D,D,-0.6920547855966995,D,A,44.53194356673043,0
Veteran,China,Homosexual,26-35,B,C,24.20670565124683,E,C,20.040451329529372,0
Yes,Brazil,Bisexual,36-50,B,E,11.244265129934233,C,C,82.53522515723502,1
Yes,UK,Other,36-50,A,E,34.80486053253211,E,E,31.34008387235438,1
Veteran,UK,Heterosexual,65+,D,C,16.540244960003633,E,D,44.271346136576575,1
Non-Veteran,Germany,Bisexual,36-50,A,E,-52.596958718879314,C,E,76.53896488414468,0
Non-Veteran,US,Homosexual,65+,D,D,10.108560559091039,E,A,149.67071513530556,1
Non-Veteran,US,Homosexual,36-50,B,E,4.1980404918971495,C,A,-72.84904997457883,0
Veteran,Brazil,Heterosexual,36-50,E,A,183.32628232013477,C,B,136.84080887592927,1
No,Brazil,Heterosexual,65+,B,D,-32.81929971323749,B,D,135.52781156697756,0
Veteran,Other,Homosexual,65+,B,A,-184.83959354182872,B,C,-249.2765687421062,1
Veteran,China,Other,51-65,C,B,16.65365876317791,D,D,201.636683657288,1
Non-Veteran,UK,Heterosexual,26-35,E,A,-54.50630411707708,B,C,-145.06593683202908,1
Non-Veteran,UK,Bisexual,26-35,D,E,-11.881942137808513,B,D,17.250117336386392,1
Non-Veteran,China,Bisexual,51-65,C,E,97.95161961132227,D,E,112.69035623465129,1
Yes,China,Homosexual,65+,E,C,15.063389138082965,E,D,-81.29449688552215,0
Veteran,India,Homosexual,18-25,B,A,-84.03989285161698,A,E,158.7064033984766,1
Veteran,US,Other,26-35,D,A,179.96614425732105,A,A,-27.552171584542595,0
No,Other,Homosexual,65+,D,D,-71.75060567295868,C,E,120.44175904383947,0
Yes,Germany,Other,65+,D,D,12.416717800155723,C,B,253.54161880897604,1
Veteran,China,Heterosexual,36-50,B,C,25.39186794943682,A,B,-5.053321591462528,0
Veteran,China,Bisexual,26-35,A,B,-9.840522233123815,B,E,-121.96387274550362,0
Veteran,UK,Bisexual,36-50,D,A,-222.2044596062023,C,D,325.7354210114281,1
Veteran,US,Homosexual,26-35,D,E,182.87788100723108,A,A,182.87592363546753,1
No,US,Homosexual,65+,A,C,18.923088832054198,A,D,-1.3421425159724745,1
No,Other,Other,65+,D,D,32.906454434563166,E,A,-162.18182991013148,1
Yes,Other,Bisexual,18-25,E,D,-46.40271174316257,A,A,-24.14627564367045,1
Non-Veteran,Mexico,Heterosexual,65+,B,B,-6.282531388724156,D,C,-0.8131301980617879,1
Yes,Germany,Bisexual,51-65,C,C,-152.41154712824084,E,D,-21.276828062433932,1
Veteran,China,Homosexual,18-25,D,E,139.30688841998514,D,E,-96.16188544690388,1
Yes,China,Other,18-25,C,E,-220.28198322510502,A,E,-329.6624615273883,0
No,India,Bisexual,18-25,B,D,19.0642524561939,E,D,3.6135399636305077,1
Yes,India,Heterosexual,65+,B,E,55.21694639915191,E,C,65.75200296923897,0
Non-Veteran,UK,Other,65+,E,C,49.818794903719066,A,E,-137.0722872297549,1
Veteran,India,Other,36-50,B,C,-81.2368355184096,D,C,164.06188252135055,1
No,India,Homosexual,36-50,C,B,85.90971882139688,B,C,139.9297588824819,0
Non-Veteran,Brazil,Bisexual,18-25,A,B,94.29033366738221,C,A,64.73582012317006,1
Yes,US,Other,65+,B,D,87.88308559553734,E,E,0.2787898170917988,0
Yes,Mexico,Heterosexual,36-50,C,B,146.06477237599978,B,E,-19.73349373018869,0
Veteran,Germany,Heterosexual,36-50,D,D,86.83478341029091,A,B,178.76314136616398,1
Yes,Mexico,Bisexual,36-50,E,E,-114.30115480543202,E,E,-108.09487641786528,0
Yes,Brazil,Homosexual,36-50,D,E,42.68684234364222,C,C,50.614016318219115,1
No,Mexico,Bisexual,65+,E,C,-232.46620388389778,E,C,68.54693283119164,1
No,US,Heterosexual,65+,B,C,109.72815234937494,E,A,46.013065955150154,1
Yes,China,Other,18-25,C,E,-57.396045386604165,B,C,-52.22205488486272,0
Non-Veteran,China,Heterosexual,18-25,B,C,-26.99071606058841,A,D,-141.53029902239604,1
Non-Veteran,Brazil,Homosexual,18-25,C,A,18.254294644442318,D,D,-217.58234933738746,1
Veteran,China,Heterosexual,18-25,C,A,-186.17080762054965,B,A,-1.6606942458902392,0
Non-Veteran,UK,Homosexual,18-25,B,E,-46.19734118114181,D,C,-71.71275481647768,1
Non-Veteran,Other,Other,36-50,D,C,82.17669612609892,C,E,-169.3854285273899,1
No,China,Bisexual,65+,B,B,-207.46395450363315,D,E,-95.40984540072654,1
No,China,Homosexual,18-25,C,D,16.54394376559126,A,A,274.63237162080435,1
No,India,Bisexual,18-25,A,D,113.85253095366394,A,D,61.19672492099441,1
Veteran,Germany,Heterosexual,51-65,D,A,190.02530447911036,B,D,-153.97548860422748,1
Yes,Mexico,Bisexual,18-25,B,B,122.22185795056318,B,E,115.56514153571817,1
No,US,Bisexual,65+,A,B,141.03339531745482,D,E,-62.8747052603578,1
Yes,Brazil,Homosexual,51-65,C,C,-87.5874284130847,A,C,-61.80889548469052,0
Yes,Mexico,Bisexual,18-25,C,C,50.85995543184556,B,C,-122.28049277055011,0
No,China,Homosexual,18-25,E,E,193.0382362875149,E,B,169.59370856600145,0
Non-Veteran,Mexico,Other,51-65,D,E,-150.11175414718804,E,E,-46.278071426259174,1
Non-Veteran,Other,Heterosexual,36-50,C,E,-174.48304178061366,A,C,117.1440983629289,1
Non-Veteran,India,Bisexual,65+,C,D,65.94971456062314,A,D,-185.54006043491887,1
Veteran,India,Other,18-25,C,B,42.99835404509937,E,D,-20.22227262487793,0
Veteran,Other,Bisexual,36-50,E,D,-13.99204163331636,A,A,175.3448385297711,0
Veteran,China,Homosexual,36-50,D,C,-22.38617690093895,A,B,111.38791159041557,0
No,Other,Homosexual,65+,A,D,155.33008898796902,D,A,-66.36746686735904,0
No,India,Heterosexual,51-65,E,A,49.017151931452844,E,C,-109.64788999511114,1
Non-Veteran,China,Other,26-35,D,C,7.071013561740568,D,E,12.178697358222685,1
Veteran,Brazil,Heterosexual,26-35,C,B,103.51727821463568,A,A,-136.8316240640143,0
Yes,Germany,Homosexual,51-65,A,D,-0.1890865166426616,D,C,82.9879518839505,0
Non-Veteran,Brazil,Other,51-65,D,B,-28.83050533592229,A,B,-120.58959180082725,0
Yes,US,Bisexual,18-25,E,C,-135.80262263632633,D,E,-105.47114091493125,0
Veteran,Brazil,Other,51-65,C,A,131.25242644511067,E,E,-7.0708317332589585,0
Non-Veteran,China,Other,51-65,C,D,5.344587395635085,A,A,123.0329777438841,1
No,US,Bisexual,36-50,A,B,-2.4526720498872,E,C,60.01419401952437,0
Veteran,Germany,Heterosexual,36-50,E,A,93.56609917767943,C,D,42.770873283657465,0
Yes,UK,Bisexual,65+,D,B,-16.797568895374585,C,A,-36.63342410622749,0
Veteran,Brazil,Homosexual,18-25,E,E,-175.4888350450116,C,B,-105.49605111231062,0
No,Brazil,Bisexual,36-50,B,C,40.503226552289426,B,E,-0.7619391108637125,0
No,Mexico,Other,51-65,E,E,-69.12745680920376,A,C,-6.185713450905183,1
Non-Veteran,China,Other,18-25,C,C,-106.44947624895822,E,A,-71.57102788598353,1
No,China,Other,18-25,E,A,-164.55192601174207,B,D,55.60255701096273,1
No,UK,Heterosexual,36-50,D,B,-133.45571368151846,E,C,38.98444559936578,1
No,Other,Heterosexual,26-35,E,B,14.79318768265386,E,A,-185.58992821567637,0
No,Brazil,Heterosexual,65+,D,B,42.773216438047,D,B,59.80025516883596,1
Non-Veteran,Other,Other,36-50,C,E,175.88308126371166,B,B,71.47872988771326,0
Non-Veteran,US,Homosexual,65+,D,D,31.43453565563264,B,D,155.0755046930424,0
Veteran,Mexico,Bisexual,26-35,E,A,5.330943682676556,A,C,-109.88652511092928,1
Veteran,China,Other,65+,C,A,-2.521765734635031,A,B,134.5519744355853,1
Yes,Other,Homosexual,65+,B,E,85.59886418134133,C,E,-77.14469920673653,0
Non-Veteran,Germany,Bisexual,26-35,A,A,-71.72863331141866,C,D,-75.31228199424211,1
Non-Veteran,Other,Bisexual,51-65,E,A,207.30602900990235,E,E,197.46179863863838,1
No,US,Heterosexual,65+,A,C,-15.341262545553114,E,E,-82.87981666540732,0
Non-Veteran,Other,Heterosexual,51-65,B,D,-7.19871614654591,D,C,14.24385260338967,1
Yes,Mexico,Other,26-35,D,C,30.471723225975673,A,C,-59.86046740630597,1
No,Germany,Bisexual,65+,D,B,-39.124257555145185,C,A,44.445089297421994,1
Yes,Brazil,Other,26-35,D,B,92.90465049342713,D,E,-81.91066130417224,1
Veteran,Mexico,Other,36-50,D,A,-147.57893541655292,B,E,-41.00532895499457,0
Non-Veteran,Germany,Homosexual,36-50,E,D,-148.0504031218475,B,A,125.80902013133924,1
Non-Veteran,China,Bisexual,36-50,A,A,-13.731174519758934,E,A,109.3794695161888,1
Yes,UK,Heterosexual,18-25,A,E,169.97682840148119,D,B,61.211122502711014,1
Yes,India,Bisexual,65+,A,B,239.90122658651168,E,B,-96.37245769608867,1
No,US,Homosexual,51-65,C,D,111.9199304598457,B,B,-66.42185514367723,0
No,US,Bisexual,36-50,D,A,-52.84377701688603,A,A,65.89449665125147,1
Non-Veteran,Germany,Heterosexual,51-65,B,A,-170.69368506180328,C,C,8.58889810823218,0
Non-Veteran,India,Heterosexual,65+,A,B,69.70733553974709,E,A,119.75366625842372,0
Veteran,Brazil,Bisexual,18-25,B,D,23.01942190360546,D,C,-113.2197569113472,1
No,India,Other,65+,B,D,-21.81599271132425,D,E,33.63571270708927,1
Yes,Mexico,Heterosexual,18-25,A,B,-56.49419427738335,C,E,25.103836023002774,0
Veteran,Mexico,Heterosexual,51-65,A,A,49.02381607987835,B,E,86.81789393095166,0
Non-Veteran,India,Heterosexual,36-50,E,E,50.00686622949626,A,E,111.51287153518439,0
No,UK,Bisexual,18-25,B,C,109.70749486671387,C,D,52.72266689309646,0
Yes,India,Homosexual,18-25,B,A,39.26581191904292,B,A,-74.55335156410612,0
No,Mexico,Heterosexual,26-35,B,B,-41.53648915123036,C,C,237.15916590093613,1
Yes,UK,Heterosexual,65+,D,D,17.599815457337122,D,E,40.08328321591467,0
Yes,Germany,Homosexual,26-35,D,C,-43.47475160074642,A,A,-15.655743918240445,1
Veteran,US,Heterosexual,51-65,A,D,-41.272408760997855,A,C,-145.71094611914603,0
Non-Veteran,Germany,Heterosexual,26-35,E,E,177.8966250931806,B,E,-49.18719498238955,0
Yes,Brazil,Other,65+,E,B,-89.28594876308671,B,B,-141.68391660141745,0
Non-Veteran,US,Other,65+,E,D,-44.06944392930769,B,E,109.34272099170958,0
Veteran,UK,Bisexual,51-65,E,B,125.39362120297999,C,C,116.16861026604856,1
Yes,Other,Homosexual,51-65,E,D,31.33999651180729,A,C,-33.16475426298634,0
Non-Veteran,UK,Heterosexual,18-25,C,D,41.95476692745488,A,E,13.555079979118867,0
Yes,Brazil,Bisexual,18-25,C,A,91.20566681658786,C,E,240.35342094579875,0
Yes,Germany,Heterosexual,26-35,D,C,92.76622079811173,D,E,30.23760418604785,0
Yes,China,Homosexual,18-25,E,A,45.45750169238207,D,E,137.841282336177,0
Veteran,Mexico,Heterosexual,65+,B,A,133.77387047163825,C,B,136.1589932179544,1
Yes,Mexico,Bisexual,51-65,E,D,135.7225094821377,D,B,-37.85400709255357,1
Non-Veteran,UK,Heterosexual,36-50,B,A,161.54809166190051,A,E,-52.813863143518034,1
No,China,Other,36-50,D,A,68.40119879586474,A,A,54.70912477715191,1
Non-Veteran,Germany,Homosexual,65+,B,A,-38.05884967920331,D,E,75.76088991618192,0
Yes,UK,Homosexual,65+,D,D,32.79944591925244,C,B,-168.12346523931484,1
Non-Veteran,US,Other,26-35,A,D,73.0184919405818,B,B,53.172884616973015,1
Non-Veteran,India,Bisexual,36-50,B,B,52.02410009771643,E,E,37.96570757085099,1
No,Mexico,Heterosexual,36-50,E,E,46.413668263280094,C,E,35.66412251439008,1
No,India,Other,36-50,D,D,26.51463124506342,C,E,30.08184002149984,0
Non-Veteran,China,Bisexual,18-25,D,E,-127.89863753641025,E,B,67.85459134521801,0
Non-Veteran,India,Heterosexual,26-35,E,B,108.99873358676804,C,B,-30.17216599142783,1
No,Other,Heterosexual,18-25,C,B,-131.6387410510468,B,D,-99.1573135739178,0
Yes,China,Homosexual,65+,C,C,-109.01500194063729,D,C,-32.58504792896009,0
No,China,Bisexual,18-25,E,C,-9.109310204625192,E,A,-25.13747777534503,1
No,Other,Bisexual,65+,C,E,139.8754953305222,C,E,51.06027120656715,1
Yes,UK,Homosexual,26-35,C,E,-177.4958359909475,A,D,-25.52987745900412,1
Yes,China,Homosexual,26-35,D,D,-36.4783975760715,B,E,47.908909588232376,0
Non-Veteran,Brazil,Heterosexual,65+,B,A,38.746793976912954,E,C,-103.29494808883099,1
No,Other,Homosexual,18-25,B,A,-82.0261769465196,C,D,-108.89620240374138,0
Veteran,India,Bisexual,36-50,E,A,-119.93119297651134,E,D,-59.67908849633511,1
Yes,Other,Other,51-65,D,A,37.81259722746053,C,E,-65.93158391618417,0
Veteran,US,Heterosexual,36-50,C,E,58.650088989184134,C,B,99.85647279483092,0
Yes,India,Bisexual,65+,D,B,-9.22393515275855,B,A,-25.790210273154486,1
Yes,UK,Homosexual,36-50,A,B,192.59765216823098,C,A,-84.8918762626779,1
Non-Veteran,Mexico,Other,36-50,E,B,103.9364890754848,D,B,236.62095192219024,0
Yes,US,Bisexual,51-65,B,A,-76.50927198300003,D,B,86.1596065555023,1
Yes,Other,Other,65+,A,E,-119.73605408093802,A,B,-31.04206861285464,0
Non-Veteran,China,Heterosexual,65+,D,E,-97.29739280483889,D,C,-16.4182958423358,1
No,Other,Other,26-35,A,D,-78.88821264066215,D,B,-127.92263865861588,0
Yes,India,Other,36-50,D,B,-34.47447158764437,A,D,117.66216932862872,0
No,US,Other,26-35,B,A,58.99373637583911,C,A,-2.7329582591328685,0
Non-Veteran,Brazil,Heterosexual,51-65,A,D,9.332181496848031,E,D,245.67983685897494,1
Yes,US,Bisexual,18-25,C,E,-106.15175433764735,E,C,-199.59838238742563,0
Non-Veteran,China,Bisexual,18-25,D,B,5.017504018543003,E,A,15.039348015724785,0
No,Mexico,Homosexual,18-25,B,D,42.03963862315946,C,A,-3.2004410536278955,1
Yes,UK,Homosexual,51-65,C,B,181.23706051805863,C,C,-80.13944708367443,1
Yes,US,Other,36-50,E,C,-91.08852151776303,A,E,107.44464440171227,1
Yes,Brazil,Other,18-25,A,E,147.64943009616454,E,B,-143.79052940394536,1
No,Mexico,Other,65+,E,E,-55.76619788164621,D,A,-95.5631647275193,0
Veteran,UK,Homosexual,65+,D,E,82.83923988234088,C,C,64.11279324281078,1
Yes,China,Other,36-50,A,A,-2.068583218856644,A,A,-82.67048978462522,1
Veteran,Mexico,Heterosexual,51-65,C,A,14.282763102455354,D,A,-193.6456556663451,0
Yes,Germany,Heterosexual,18-25,C,B,75.06534531185636,B,C,-57.94982781693911,0
Veteran,US,Other,65+,E,D,65.15406356100132,E,D,152.70008989090678,1
Veteran,UK,Bisexual,26-35,D,B,-8.197828905239355,C,A,34.347948883690606,1
Non-Veteran,UK,Other,26-35,A,E,-0.44468628522921166,D,D,80.01543391543152,1
Non-Veteran,Mexico,Other,26-35,C,E,111.62815081621406,B,B,250.51808468804748,1
No,India,Homosexual,36-50,D,C,-8.483399162295798,B,A,95.55195637513727,1
Veteran,China,Heterosexual,18-25,D,C,6.354521926397121,C,C,190.4658049231727,0
Non-Veteran,China,Bisexual,18-25,D,D,49.20072876035232,D,E,-73.25958646152915,1
Veteran,Germany,Heterosexual,26-35,A,A,-100.2546518117144,E,D,40.18121478308262,0
Yes,Germany,Other,18-25,D,B,90.10985050834309,E,E,-101.8698832845965,0
Yes,Mexico,Bisexual,51-65,C,D,108.78140254744144,E,A,-116.84278380171645,0
Yes,Mexico,Other,36-50,A,E,-152.39957050251974,E,D,19.61742649967841,1
Yes,China,Heterosexual,36-50,E,B,172.16910790768313,B,C,-27.583836207614134,1
Non-Veteran,India,Bisexual,18-25,B,D,-136.30596512152138,B,D,-13.615282057491985,0
Yes,UK,Heterosexual,26-35,B,E,46.00359810182707,D,D,82.83181217490511,1
Non-Veteran,UK,Bisexual,26-35,A,C,-2.182348140492736,E,A,-118.65348063084818,1
Yes,UK,Other,36-50,B,C,64.54757343554408,E,C,35.607643060313194,0
Non-Veteran,India,Heterosexual,65+,E,E,123.81440753927609,B,B,8.62993988911835,1
Veteran,Other,Heterosexual,65+,E,D,-141.09300158967133,E,A,-50.75551571812839,1
Veteran,Brazil,Bisexual,65+,E,D,277.73922961534663,E,B,-35.4628710893836,0
Yes,UK,Other,36-50,A,B,38.80235343496393,D,A,76.67429666398886,0
Veteran,US,Other,51-65,E,A,66.1954225466085,A,B,26.722680725073612,1
Veteran,Brazil,Heterosexual,18-25,A,E,176.82109038961912,D,E,-81.65317705819054,1
Veteran,Other,Homosexual,51-65,A,E,55.245843166943985,D,A,-43.041188207826444,0
Non-Veteran,Mexico,Homosexual,18-25,B,A,-88.48575349138687,D,D,208.7010887126245,0
Non-Veteran,India,Homosexual,18-25,A,A,-117.769931224865,B,D,0.5334913864988782,0
Yes,Other,Homosexual,65+,A,A,-57.80887803618195,E,E,86.73412609332661,1
Veteran,India,Heterosexual,36-50,C,E,97.38552544940373,D,D,-38.305688641761115,0
Yes,UK,Heterosexual,65+,C,D,125.56393065976445,E,B,-69.99335231713845,0
No,UK,Heterosexual,65+,D,D,92.15791152062705,B,D,-55.41831817797972,1
Non-Veteran,US,Bisexual,26-35,E,B,-77.28986394656839,A,C,-58.604456618794046,1
Yes,Mexico,Other,18-25,C,A,-92.59140666150293,C,A,-171.84410186232378,0
Yes,US,Heterosexual,26-35,A,E,178.90484272595174,C,A,-140.63905978839702,1
No,Germany,Heterosexual,26-35,D,A,80.65882329585762,D,C,-324.8297506167529,0
No,Germany,Homosexual,18-25,A,D,89.35690957935788,D,D,-53.666728109911496,0
Non-Veteran,Other,Other,36-50,B,D,-101.43741401346928,E,D,48.7772844226445,1
Veteran,Mexico,Heterosexual,65+,D,B,-29.060814320235018,B,B,-47.32936313522889,0
Non-Veteran,China,Bisexual,26-35,D,C,117.8336186982145,B,A,-207.89415501481744,1
Yes,US,Homosexual,65+,E,E,113.85506667202709,D,A,-74.54315507981346,0
Veteran,Brazil,Homosexual,36-50,D,B,-248.7029400488426,E,E,159.66246223416047,0
Yes,Other,Other,36-50,E,D,57.24889025483313,C,C,-160.55322790794295,0
Veteran,China,Heterosexual,18-25,D,E,20.48190449640725,A,C,-159.4142336091066,1
Non-Veteran,Germany,Homosexual,65+,E,A,-125.85716730449634,C,E,56.585985899483035,1
Veteran,Brazil,Other,36-50,C,C,79.08150218403466,E,E,-56.37356753786401,1
Yes,US,Other,36-50,B,C,101.96159634517711,B,C,-301.68562202263877,0
Non-Veteran,China,Heterosexual,65+,B,D,30.867330134072933,E,E,-42.13278322198514,0
No,Mexico,Homosexual,26-35,E,C,-32.8365004097045,A,B,-99.4815476422319,1
No,US,Heterosexual,36-50,D,A,-29.9055277240933,C,A,-30.91658731822566,1
Veteran,Other,Other,51-65,E,D,47.37258059923816,C,B,142.2991245980602,0
Yes,Mexico,Heterosexual,26-35,A,B,-197.87836004015554,E,C,125.30973361117957,1
Yes,Germany,Homosexual,36-50,D,E,34.02279326057913,E,A,-127.80670377705188,0
Yes,Other,Heterosexual,65+,E,C,49.92325552435469,E,C,136.87493229479554,0
Non-Veteran,India,Bisexual,36-50,B,C,57.665796305215046,D,D,-69.8155809590731,0
No,Brazil,Heterosexual,51-65,E,A,14.800879479635126,E,E,177.9300616242363,0
Non-Veteran,Brazil,Other,36-50,E,A,121.90997551516911,D,D,54.44180606807658,0
No,Brazil,Other,18-25,D,C,-51.7800347119553,A,E,-128.49588870546785,1
Yes,US,Heterosexual,36-50,A,E,-111.6985968921829,D,D,213.04549510676574,1
No,UK,Other,51-65,A,E,93.0098310112692,C,B,-102.47805211582566,0
No,US,Other,65+,C,E,-39.34631089764479,C,B,-164.45730782310926,0
No,India,Other,51-65,E,A,8.01859769091293,D,B,159.09978196273119,0
Yes,Mexico,Other,18-25,C,B,-32.475539740143454,C,A,-153.22730487830452,1
Veteran,China,Heterosexual,36-50,E,D,129.8540245250261,A,C,-13.252955402787755,1
Yes,India,Heterosexual,26-35,E,D,-21.86145194752557,E,A,-108.58554048902467,1
No,US,Other,36-50,D,C,-44.787735939273986,B,C,-33.10396274025774,1
Veteran,Other,Bisexual,65+,D,B,76.98448294488853,C,D,-16.70342092672752,0
No,Germany,Homosexual,26-35,B,D,30.177643718471142,B,B,100.08614489610206,0
Veteran,US,Heterosexual,36-50,C,D,-78.27015476173995,B,D,-28.502575201891382,0
Veteran,India,Homosexual,26-35,E,D,152.1056345984178,A,C,37.31915945305825,1
Non-Veteran,US,Homosexual,18-25,B,A,104.02521257215913,A,C,65.74151175826569,1
Yes,China,Heterosexual,18-25,C,C,-73.50300194204108,A,C,65.49649730755944,1
Veteran,China,Bisexual,26-35,D,C,-188.36067106788067,C,C,146.5923988908876,0
Yes,India,Other,18-25,D,B,72.94870191224277,D,C,142.4601530950757,1
Yes,UK,Bisexual,36-50,A,A,-77.59774117207527,B,A,-76.3672991334625,0
Yes,US,Homosexual,36-50,D,A,74.54585718593977,E,E,113.14437465789973,0
Veteran,Other,Homosexual,65+,A,A,146.0447472025933,A,E,-76.36838673156736,1
Veteran,Mexico,Bisexual,18-25,A,B,148.36217639454134,C,B,-160.12773759093952,1
No,US,Homosexual,26-35,D,E,-77.1491159201122,C,E,-207.0627616333121,1
Yes,US,Other,36-50,B,E,52.8497999789092,A,A,-12.182892601137361,1
Veteran,India,Homosexual,36-50,E,D,-11.796498421060809,D,A,26.722103657268566,0
Veteran,Mexico,Homosexual,65+,C,A,70.24139210965981,A,A,-99.28588227413017,0
Yes,China,Heterosexual,36-50,D,C,-39.18797771110946,A,B,-59.2180528824883,0
Yes,UK,Other,65+,D,B,139.98608034833606,C,E,-40.525386563445785,1
No,UK,Bisexual,36-50,B,D,-27.582480776424745,D,D,-204.69379740145496,0
No,Mexico,Bisexual,26-35,C,A,78.96017403998022,A,C,138.07974651017497,0
Yes,UK,Bisexual,18-25,D,E,-87.45791622851574,B,B,-52.96834099670901,1
Veteran,UK,Homosexual,65+,B,B,-168.18717934986836,D,E,47.47489681845959,1
No,India,Other,18-25,A,E,165.19769025154582,B,B,36.63171379269756,1
Yes,Mexico,Heterosexual,18-25,C,C,90.10671225330228,D,A,35.75572258135954,1
No,Mexico,Other,36-50,D,E,-98.25308164293367,B,C,-82.08442186382385,1
Yes,Brazil,Homosexual,65+,B,C,-59.13972681716149,A,A,-252.49558642619894,0
No,US,Homosexual,26-35,B,A,-18.542144621662374,A,B,-127.00688947520338,0
Non-Veteran,Germany,Bisexual,65+,E,D,-57.04749926180419,A,A,241.6349894051432,0
Non-Veteran,Mexico,Homosexual,18-25,D,B,-76.1646067471862,B,A,-104.01337242905564,1
Veteran,Mexico,Other,26-35,B,C,-6.970139589635092,E,A,-62.56766085660242,1
Yes,Germany,Homosexual,36-50,A,C,43.51726226362801,E,A,158.93661017847515,0
Veteran,US,Heterosexual,18-25,A,B,54.8801691715172,A,C,156.00647997923915,1
Yes,China,Other,18-25,C,E,23.92052041047966,C,E,52.98837684303397,0
Veteran,UK,Homosexual,65+,B,B,-32.513685569327706,D,E,20.684088375985883,1
Yes,Brazil,Other,65+,D,B,47.5460921485645,E,C,-61.62280086220503,1
Yes,India,Bisexual,51-65,B,D,-72.67765304095494,D,E,-187.86138310071976,1
Non-Veteran,UK,Bisexual,18-25,A,E,264.0371619636434,C,A,96.97766233670902,1
No,India,Other,26-35,E,A,-8.707099151676143,B,E,-65.41399494706258,1
Yes,US,Bisexual,51-65,E,C,33.50781042795856,E,C,-17.135712951684816,1
No,Germany,Heterosexual,18-25,B,A,-75.83746562214635,C,C,-72.51460355776503,1
Veteran,US,Bisexual,36-50,B,B,123.85043204621742,C,B,104.20204679273593,0
No,US,Bisexual,65+,E,A,55.109316172757886,E,C,-60.691915353742424,1
Yes,Germany,Homosexual,18-25,D,E,-108.55314883731633,C,B,33.718154210903165,0
Veteran,UK,Bisexual,26-35,D,B,9.018515127904916,C,D,-229.01651971743178,1
Non-Veteran,Other,Bisexual,65+,A,E,-148.1177944967608,B,B,111.6638828629176,0
Veteran,India,Bisexual,51-65,C,B,-157.1163110886172,C,B,56.749027849804556,0
Veteran,Brazil,Heterosexual,65+,B,D,86.30072468180728,A,C,26.335473043611174,1
Veteran,China,Other,51-65,C,A,-151.02548390731545,C,E,130.95909713063054,1
Veteran,China,Heterosexual,36-50,A,B,65.84778770286006,C,A,-22.965251795326527,0
Veteran,China,Heterosexual,36-50,A,D,130.85438330208765,B,B,-122.32622460994713,0
Yes,UK,Homosexual,36-50,D,B,-26.361797446689444,C,C,-115.88335369597371,1
Veteran,US,Other,18-25,B,A,38.30106727602378,B,C,43.55448878634779,1
Non-Veteran,Brazil,Heterosexual,26-35,B,E,-25.001143992065867,E,A,53.29215522214046,0
Yes,US,Heterosexual,26-35,D,E,117.1348281321242,A,A,134.58465967670577,0
