religious_affiliation,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,target
Other,A,B,C,C,A,E,C,-139.27583082283982,70.13204074926786,B,-203.68827927410328,11.779004928289588,E,1
Hindu,A,B,D,A,D,D,C,50.59972138500291,57.67127974575425,D,26.29756657389537,31.358534503339747,E,0
Hindu,E,B,B,A,A,C,B,177.26190994439398,100.67767345007204,B,-12.743885445409312,-11.882425261122108,A,1
Other,C,B,E,A,B,E,E,-113.83402152892148,6.354715350631326,B,203.2194883720016,167.90823971970735,E,0
Muslim,E,A,B,D,D,A,A,45.11502575198107,-21.08818454450953,C,209.85284958959215,18.15217239181677,B,0
Christian,C,B,A,E,B,C,C,34.57013467349108,127.37974303261336,C,-72.63643447545844,52.157127358345775,D,1
Other,C,A,A,D,C,C,A,-15.997451923370937,2.8062799655190904,E,-22.09721493613347,-43.376950774302,A,0
None,B,A,E,C,C,D,C,163.44949123661831,108.81871648136381,D,43.37743774335411,-53.906522737223796,C,1
Buddhist,B,E,E,B,D,B,C,197.63200860556483,-141.25887074876175,B,-165.28894293681162,5.46095132325488,A,0
Buddhist,A,B,D,D,E,C,A,70.16257709786925,36.79653682493808,C,72.50768231921197,92.93738221496783,C,0
Other,A,D,D,A,A,B,D,-82.6016806494277,171.73734680685874,C,103.29950490801991,42.95324038046601,A,1
Other,E,E,C,D,D,C,A,11.686811880598025,121.4667651635693,E,43.11953988876148,-13.840648464215127,E,0
Muslim,C,A,C,D,D,B,D,100.47909998701074,-190.44852823284754,A,88.68516752581964,52.333892651860715,C,0
Other,D,C,C,C,C,D,C,-10.606288489096281,-127.52366971387453,E,-87.39945817114874,-215.3727624254554,B,0
Hindu,C,B,C,C,C,D,E,156.48858438293703,-126.3454902326094,A,-107.70242727425048,-226.17833554750896,C,1
Buddhist,C,A,B,B,D,C,D,24.12129948497338,-52.38789715180082,E,23.3517355492424,278.92332742483086,D,0
Hindu,C,C,E,D,B,D,B,-31.128658721809376,-0.28505524800683696,D,-54.265254157604815,69.53619831522565,B,1
Other,E,E,D,A,D,B,B,-9.12273095809162,-4.2792819797186725,A,5.368777676942224,11.4055836139978,E,1
Muslim,E,A,C,A,C,D,A,-14.248196318628706,32.71288833197058,B,-70.23876498817691,11.686160534780011,B,1
Christian,D,C,D,C,B,B,E,69.8946124571542,22.17097932955556,A,-69.52713232065838,-23.599330091346747,C,0
Buddhist,B,D,C,B,E,D,B,4.921181431217142,-60.1639845360911,B,-4.2788463100651475,-40.405801827195496,C,0
None,E,A,B,B,C,B,A,-134.4002377517065,70.17442415284243,D,-59.145994936070814,-138.42769403428147,E,1
Muslim,D,E,C,C,C,B,A,-78.32287438492804,-82.18553612166669,A,142.596439489308,-86.05146273624611,D,1
Other,D,D,B,A,E,A,D,-105.76822163606816,-174.14159003773193,E,99.15719828590069,-106.0875598311237,E,1
Buddhist,A,D,C,A,D,D,B,-24.375582886516376,12.639098044636937,E,17.12333763079153,-45.629829196721055,C,0
Christian,D,E,B,B,B,B,E,79.83430907469352,76.52255686696417,A,34.18343806405955,-60.72174140930861,E,0
None,A,A,A,A,D,A,C,83.32529832536919,123.60420257151678,D,-125.67951501833514,266.8600289590383,E,0
Other,A,B,A,E,D,C,C,6.901142144154216,28.60024291532047,E,16.847883706727178,-21.384250074693444,E,1
Other,A,C,E,C,B,B,C,128.12374760490263,-11.447540846695652,B,61.67763062393593,-54.59861576111683,D,0
Christian,C,B,A,B,D,D,E,43.61976331976744,16.35116589351771,B,-297.38128283564816,-151.79661357051816,B,1
Christian,C,E,A,C,E,B,E,-145.22984736705124,-28.074434516367557,D,-60.372381362999995,-7.617906232845587,B,0
Christian,A,A,D,D,E,A,B,-100.00260881644543,9.000468531122426,D,-168.58641944857473,92.57365619371636,B,1
None,C,E,A,C,A,C,E,146.77335001360248,75.34504446780474,A,-165.2127993845413,-77.74282393051344,D,0
Hindu,A,D,D,B,D,E,A,6.326586112204962,-1.9395932508717708,B,58.631851054210294,-83.42829759321971,C,0
Other,E,B,A,D,A,A,B,-115.22451947409994,-219.43844243732337,A,102.23765322552624,-0.2650644495234524,B,0
Hindu,B,D,A,D,C,A,D,-27.150033206611486,-2.5788477025371113,A,-153.436985878217,115.13659123169664,C,1
Jewish,B,B,C,B,E,E,C,-203.5441900894116,39.22140033611217,B,-69.28446793717745,-41.868729302071074,B,0
Muslim,A,A,C,C,D,E,A,-13.484689143070847,-187.33033377199686,E,73.53711209712036,-70.96159719812209,A,0
None,D,B,D,C,B,D,E,42.62668590484515,-61.93394312007931,B,-61.80394865754101,8.471248266108264,B,0
None,C,E,C,D,D,C,C,-72.99068194524655,198.1961030105217,E,-225.70541930673107,57.73188203765813,B,0
Muslim,D,C,C,B,C,C,E,19.390181859077867,-28.793087413302636,A,-89.97695028125065,120.19451949834881,D,0
Buddhist,B,A,B,E,E,C,A,4.575163042583306,180.84237605577763,A,-87.46364858955323,-62.3120585753596,A,0
Christian,E,D,C,B,A,C,B,305.1426192341787,-87.5431655877729,B,153.93082171374394,-173.3357160278772,C,0
Muslim,D,D,E,B,D,D,A,-11.119625324023534,-14.985821725082227,A,87.71799922978079,22.087829080123143,C,0
Buddhist,D,D,E,D,B,C,C,213.85671974975446,132.02417435737536,B,22.98331246137758,-10.481480035325987,D,1
None,B,E,A,D,C,C,A,-203.94419474147787,-6.876107479208526,D,-7.562256857034731,-119.01717031110744,C,1
Christian,E,C,E,E,B,E,A,70.9102953149631,71.37272831999046,C,-2.626652248219949,-141.21400278571355,D,1
Muslim,C,E,D,A,D,C,B,133.27466966750058,13.776328303050029,D,-118.85559046501551,-161.53867852638095,C,1
Other,D,A,D,B,B,A,C,-37.95585720501099,267.79795410453204,A,-70.7025861898345,-73.25971784388629,D,0
Other,D,C,D,D,D,A,D,19.805808942878688,25.518625631551313,C,-155.22654052743422,14.280192109998305,D,0
Hindu,B,A,A,E,A,E,A,-59.56797827844347,18.582368357714728,C,-105.51625690178747,47.608729276160766,A,0
None,A,C,B,A,B,B,D,39.12357310787355,92.45853734807639,B,126.3706732944357,-78.94332891171445,B,1
Hindu,E,C,C,D,B,D,B,-47.24393348594023,83.53487926950086,D,-115.91593626790954,83.08957875255406,A,1
Jewish,D,E,B,E,E,B,A,106.64925464607194,40.34950559196657,B,164.6346563485509,43.70291590655434,E,0
Buddhist,A,E,A,D,E,D,C,221.53505668446044,-10.6532153063144,C,-76.37103379617845,-103.83179034346341,B,0
Other,D,A,C,A,C,E,A,75.58534556044575,-226.84204325185658,D,-111.61657717182511,38.46038839101123,E,1
None,A,B,B,A,D,B,D,112.27389313522703,-122.6889489182768,D,1.1751140857242848,34.628348455591514,C,1
Christian,E,D,B,C,C,A,B,111.48498633187303,108.11900124519605,C,-66.31296683226186,-86.34588352055276,A,1
Christian,D,C,A,B,D,E,C,-91.62789269321091,92.51024493241391,C,175.3170981699154,101.287045543705,B,0
Christian,C,B,A,B,E,A,A,58.163164645025034,74.56192342426559,B,-13.576944304016092,-5.441145434315251,C,0
Buddhist,B,A,A,B,B,A,C,220.7604709930799,79.92997322663624,E,120.31621098882137,141.8033082889143,D,1
Buddhist,E,E,C,C,D,A,D,-9.402063550659054,21.340345131192812,C,-38.7084233831901,32.35950091770539,C,1
Muslim,A,C,D,D,A,A,B,43.642377578357,-113.99051234674009,D,9.30752195498635,122.67730087589597,C,1
Muslim,A,C,B,D,C,E,C,-0.8419650808333102,300.0485271862136,E,13.11029598104057,9.080061222699474,B,1
Other,B,E,B,D,E,D,B,3.707980764786239,83.81815538688801,B,74.65014023737673,-32.87837337674679,B,1
Christian,B,D,C,A,A,D,D,7.843359305010359,-96.32083765420245,A,-9.245019648600927,-40.710848709395606,B,1
Other,B,E,C,E,E,A,B,48.022837897192325,132.11590081160864,B,-8.603197516676413,-50.05614259709781,A,1
Buddhist,E,E,B,A,C,C,C,2.6772659233783043,-116.06313033204754,C,46.75053960665781,-186.98546575585226,B,1
Christian,E,C,E,A,E,D,B,236.35307053602457,20.75985326957197,B,94.92331060684339,-25.60693318438052,E,1
Muslim,B,E,B,E,A,B,D,147.79573769606384,-163.27978622901765,E,138.59293507317298,47.2342825903071,D,1
None,A,A,D,E,C,D,E,136.23535019554862,110.78929100660307,A,-2.046848601505146,130.52310140973196,B,0
Hindu,E,E,E,D,C,C,C,71.3113331334147,164.866042079522,E,-42.756914316017884,-162.18506409265478,C,1
Buddhist,B,E,B,E,E,D,A,24.891339405922132,-34.89240828145708,E,95.81486242010568,-266.33209761420125,B,1
Christian,C,D,D,A,C,D,D,-66.92893537008709,-80.669263225861,C,33.8212216619581,140.71858269275427,A,0
Buddhist,C,D,B,C,E,E,E,-137.15866719613044,-42.15666612879944,D,-43.06339647983767,-59.48984293029957,C,1
Buddhist,A,C,B,D,D,A,A,-108.6908569629389,208.41958211415874,E,28.79532909747179,12.608264425372223,B,0
Jewish,A,E,E,C,D,A,A,108.57231184645231,-70.99721169531145,B,-42.66154864047825,-145.98230720127182,B,1
Other,E,A,B,E,A,A,A,177.3231040919571,104.17709375859377,E,52.194184268717414,64.5081667391763,C,0
Other,B,B,E,B,A,C,E,-16.256487235418167,-76.01933789244035,A,91.46713632371532,145.46335149830006,D,1
Other,E,C,E,B,C,E,E,-27.55300116827578,-104.2938390222238,D,104.38077274004132,-12.951060447296179,A,0
Jewish,A,C,B,E,E,B,C,79.32657456952045,-143.68937000353566,E,-21.442385463507826,-90.23052796346349,D,1
Muslim,A,E,A,D,C,B,D,-41.11670135279708,-63.57248757013956,E,-64.50181447378652,-18.67532525928518,A,0
Hindu,A,E,B,D,B,B,D,-23.89411874846499,159.34915871392684,B,42.333392767764316,55.96810957372824,E,0
Jewish,E,B,D,E,B,D,D,36.9098064791477,134.27866212035545,D,41.59272885835142,54.84890077433501,D,0
Other,D,D,E,D,B,C,E,-198.22188360765836,-49.81653385475858,B,-37.8478752867439,168.59748494954127,B,1
Christian,E,D,B,B,E,B,B,-75.69504898003377,-42.97292395826946,A,48.66608398012019,26.456172475399782,E,0
Jewish,E,C,E,A,C,B,A,-33.20930522678168,-67.34955917745759,B,-30.836487983009608,-16.820940629727694,A,0
Other,E,B,A,C,D,E,E,19.553649676647577,98.62161094947146,E,-114.0092332460497,125.61478525114195,D,0
Other,C,D,D,E,E,D,E,279.91051666728833,43.46977499238148,A,60.49401074511865,-108.12443206880506,C,1
Muslim,D,B,D,C,E,A,B,-18.073400193169906,-9.69287476056694,C,4.705265128356825,159.0415053271386,D,0
Jewish,E,C,D,E,E,E,D,29.48668158504078,3.4978160502758664,E,124.17459270726769,-38.31214087087922,B,1
Other,A,D,A,C,C,C,D,16.57003537142656,65.3199750226918,C,-98.67816401163986,-35.82169342938638,A,0
Other,A,E,B,E,A,B,E,-20.582976958301455,-66.86290679810722,A,99.97817175460786,-28.49270596669788,B,0
Hindu,B,B,C,B,C,E,D,18.750903602087217,95.92381246183453,D,-100.04690641653599,48.42676827082651,A,0
Christian,E,C,B,A,E,A,A,170.6945999260642,17.54964016630709,C,47.8904315470047,-102.0389807749893,A,1
Hindu,E,B,C,B,E,D,A,-43.675960706080204,-260.388615808097,A,19.32768834576031,15.8670290795007,C,1
Buddhist,A,A,D,D,D,B,E,-179.42231065942056,166.1944049506514,B,226.09449608573874,-65.76228838772458,B,1
Christian,B,A,D,B,C,D,E,26.32778683120546,-103.39444003261507,C,-139.7109503366391,17.96729227658051,B,1
None,D,B,C,C,D,C,E,-122.8110182067899,119.60834778181142,D,-19.13009644138692,121.27656570002871,B,0
Hindu,E,D,C,C,A,B,E,-74.67432910671901,65.87662567348819,B,20.682200400805247,-155.39101493064373,B,0
Muslim,B,D,C,C,C,D,A,141.5765443223825,27.948618771128135,C,40.218495057580434,59.48181338143971,C,0
Other,A,E,C,B,E,A,C,-69.1688463092757,-74.53393650097382,A,-26.421666038706014,-76.9045359227977,B,1
Other,A,D,D,E,C,B,A,76.33715764992616,-89.82216983844317,B,25.681842362072345,-12.181535372702777,D,1
Muslim,D,A,E,E,E,E,E,-101.23136545220976,-21.971617879214154,C,123.16552730635941,-34.05753923601261,B,1
Other,D,E,C,B,C,C,E,12.381873717775765,-14.033562074373219,A,76.87081346403333,36.811958707322844,A,0
Jewish,E,B,A,B,E,A,E,-105.39444673510702,-41.90481475412942,C,-139.34784451985328,-40.4979035094301,A,0
Hindu,A,E,C,D,E,E,B,204.60358422398014,97.1263565387888,A,-50.508247364353785,94.27313547405676,A,0
Hindu,C,A,C,D,A,A,E,72.46174653720666,89.63626312665409,C,-203.83880125925327,121.79951770494866,E,1
Buddhist,C,A,B,D,C,C,C,-218.11444583222425,-60.32018974213926,D,162.5459407674127,-7.164265320553,D,0
Hindu,C,A,E,D,A,D,E,163.9796741059412,-16.92805633030001,E,-98.67982593267877,-34.51478063736068,D,0
Jewish,B,B,D,A,C,B,A,157.7487094923542,10.473569748465865,B,-77.03949636651527,188.65260628549868,B,1
Other,D,E,D,E,C,A,B,107.61619258004791,44.32102797624176,A,126.16376992795888,-79.2746278521877,C,0
Christian,D,C,D,E,A,D,C,-53.462075950363776,-67.19090112575805,D,82.81294195142056,-23.688529668926574,B,1
Christian,E,A,A,D,C,B,B,123.32871179353258,48.5367621776564,B,-80.54727204325566,-126.46233929595807,C,0
Other,A,B,D,E,C,A,B,-90.708793896331,-123.62969189589359,A,14.215723719301998,3.88023452875435,B,1
Buddhist,A,A,B,D,A,B,E,69.86601838057636,113.20452524022822,E,-158.8156016752272,64.10680583604112,C,0
Other,D,E,D,D,E,C,B,-101.53832147572423,-92.71970986458051,B,52.46935300509762,-204.00761862941025,B,0
Buddhist,D,B,C,B,B,D,B,27.357585099748015,173.0696393314398,C,-38.24825717947871,-73.05867507858473,A,1
Muslim,C,E,B,B,E,D,A,71.30261152566258,-63.74408443158198,A,-15.250024040518673,-217.32745364640164,C,0
Hindu,B,C,C,A,A,B,A,-94.12058895446364,-11.971994129307078,E,0.768717642144439,108.42827702263395,C,0
Other,A,A,A,C,A,B,C,2.627031091800909,33.969038459687,B,27.765918342051236,-6.849508955815368,E,1
Muslim,C,A,D,A,E,C,C,-98.27194684116877,78.95152985289599,E,-18.05122781843141,146.38550451515323,A,1
Christian,D,A,D,C,D,B,C,-166.53992726389478,35.45205796034307,C,-196.46909105686365,-64.18706278107321,C,0
Muslim,B,B,D,D,B,E,D,61.74406593067623,70.34545688268375,C,-194.22102266540574,-31.68470972569213,E,0
Christian,D,D,A,A,B,D,A,158.04792544164698,9.004934907570547,C,82.63467405474599,-157.14597824259897,C,1
Other,E,A,E,A,A,D,A,-33.1987170810422,76.20122770768589,A,45.89721496380926,24.68821942745792,D,1
Christian,B,D,C,B,A,E,E,-151.8885483133185,17.597090463099466,A,39.37033388508822,56.81776266557071,E,0
None,C,B,C,E,E,E,B,51.66365256831112,-115.5874403011166,E,37.8562698160731,36.53069985152362,A,0
Hindu,D,E,E,D,B,B,D,-188.28651895815676,-23.49079461986752,D,82.66392167943756,-15.430917015637297,A,1
Buddhist,C,B,C,C,B,A,E,-39.86374670806046,9.730361284899802,B,6.93508159492705,-92.75015774038587,E,1
None,E,C,C,A,D,D,D,65.44642259881105,26.916791580585148,C,-119.39759916373545,156.42144665661363,D,0
Other,D,A,C,C,A,C,D,172.64419424964788,-46.679653408146905,A,-231.41062944166273,-6.010218508659804,E,0
Christian,D,C,C,E,D,B,D,86.30088403949485,-102.24578660369154,E,87.37182326179433,74.92881998549046,D,0
Hindu,B,E,B,D,A,A,E,61.02255704503,170.39357534469542,C,-3.0028016430835427,-8.756865040112002,D,0
Other,A,E,D,E,A,E,B,27.97766077404049,99.662282933909,A,-239.84147342058804,292.34187751987355,C,0
Muslim,C,E,A,E,E,E,E,-86.63743988349762,15.422855079464068,C,-181.288597419969,71.67833123140781,C,0
Christian,D,A,C,A,E,B,D,7.78313583580807,180.21267364139405,D,71.66033325251743,-90.83284779031355,E,1
Other,E,B,C,E,E,A,A,-163.44323118188055,48.99073778803007,E,95.21686414011987,-179.12147277568099,B,0
None,C,B,D,B,D,D,B,-85.72680734687658,82.02796366112227,B,69.41224080558894,52.71264615210538,A,0
Hindu,C,C,C,A,E,A,E,95.2151642042907,150.5281986603093,B,101.19932639919729,76.9532887022773,C,1
Jewish,B,E,E,B,D,E,A,57.698344683596126,-114.78870316537633,B,7.197075100364246,-76.7651352397823,D,1
Muslim,E,C,A,A,E,D,C,-151.51670119718634,-87.26155939497828,D,15.203820886051478,58.79165639426988,B,0
None,C,D,A,C,C,B,C,-13.354337957458476,-26.845974472501222,B,66.27836823096874,-48.85863093868416,D,0
Jewish,B,C,A,C,A,B,B,141.36154463710002,-4.604264959245021,A,142.4341935527552,-193.67180294624427,C,0
None,A,E,D,D,C,D,B,-151.2521506176285,-15.274410289630508,C,-15.752787020098822,15.21623087793062,C,0
None,A,B,D,B,E,D,E,52.9240842349592,-53.06096771489732,C,3.1369560964671974,-151.84350682770943,C,0
Muslim,A,B,A,E,E,C,C,-120.59454706750815,62.09707115325579,D,-148.66941837624347,-118.77946722405505,D,0
Jewish,C,E,B,B,D,A,D,32.979354556023196,-26.237602013946837,E,31.590028835430058,-117.83040972517576,B,1
Other,B,B,C,B,C,A,D,-134.67533201174066,-24.793440987980773,B,-12.643042546160926,3.3782599827505124,D,0
Jewish,E,E,B,C,D,B,E,100.2870048848375,-98.84241343974146,D,-51.281189429645416,47.125591828133615,A,0
Muslim,D,B,E,A,B,C,B,28.046041533491454,234.47202134667117,E,-69.5520626907997,20.773148552383514,B,1
Jewish,E,A,A,C,B,D,D,-30.375908333888603,195.43769140222614,D,25.44277810771615,70.4375591998045,D,1
Muslim,A,E,D,B,B,D,C,-7.436555850974405,65.17592593621193,C,114.25579652508063,37.37470751007833,A,1
Buddhist,E,A,D,E,A,A,B,-48.22553561111481,-94.80772619791765,A,107.62762908995087,27.945719789353653,C,0
Muslim,B,B,B,E,C,B,B,-230.85127902131677,146.97710708974597,E,-15.848977347377499,130.14880408496305,D,1
Jewish,B,B,B,D,E,B,B,-12.135509952953552,-56.06896352603984,D,107.56705266556727,-79.50339773582058,E,0
Jewish,E,C,A,E,B,E,D,-17.904398497240123,-107.40138341536122,C,188.9984447070476,-218.8612750306508,A,1
Jewish,C,C,C,C,B,C,B,5.103156211763926,-18.358497663926197,D,248.21214249426302,266.4732501725815,A,1
Jewish,C,D,C,C,C,E,A,-73.38598569809763,-127.28316882963028,A,-228.19287357566998,146.91239300902578,E,0
Buddhist,A,A,A,E,E,B,E,88.91790147998537,-2.1627132038800263,B,9.155282416038913,-87.81689524405066,C,1
Christian,B,B,B,D,C,A,B,62.404026486661,-104.21580482476426,D,145.6091352236103,-88.30348489873465,D,1
Hindu,E,E,E,E,B,E,D,107.55813660695026,3.020720471019864,B,-130.94121239749467,-46.042205535537825,A,1
Other,A,B,A,B,B,B,A,-135.95579467627027,-73.0492113090574,A,80.23559528979185,-59.44238646167589,B,1
Other,A,C,C,E,E,B,E,-27.775879574142937,-27.836428862335993,C,59.88896576105513,-62.17482292135169,A,0
Hindu,A,A,C,E,E,B,C,-0.4258636227228797,-144.45701532734,A,37.97214116420956,-40.80219444423294,C,0
Christian,A,D,E,A,B,D,D,-41.73523984369265,-70.21403839435824,A,-100.3892740385194,-144.89641277676517,C,1
None,A,E,C,A,C,D,D,6.698915382905908,-120.51086809549783,C,-39.09123592521427,-110.61673191851737,E,1
Hindu,D,E,A,B,A,D,E,112.6514175138483,95.7466610541638,E,32.87275394728,44.576270673907366,D,1
Hindu,C,D,E,E,D,C,B,30.844870692925497,85.74397842414632,A,159.8435955163099,14.027004985998081,C,0
None,C,A,A,A,A,D,B,-29.349797373101712,-62.94826017566296,D,4.5331470891580015,-105.08893326899387,E,1
Muslim,E,E,C,E,B,C,E,-42.49064117853471,-129.69815944268498,C,51.399899633392266,-62.439688781507165,D,1
Christian,C,D,A,B,D,A,B,-99.29056643056315,27.715604552700317,E,-116.89377300323436,-50.79139119852572,C,1
Jewish,E,A,B,E,B,E,D,232.76353366732727,0.7224817274005619,B,-84.746435375558,44.81486891562221,D,1
None,D,C,A,D,A,B,C,-52.45881220708198,92.24941182029757,D,-51.28381299281608,231.1922683760534,B,0
Other,C,D,B,A,B,A,B,134.55410939862773,143.31728973678022,A,25.881835644141816,-102.33743079425477,E,0
Hindu,C,D,C,C,D,B,C,34.95668744201246,68.07491623272219,C,57.44920989640877,-36.206809768334516,C,1
Hindu,E,E,A,E,D,A,E,133.31754015574896,226.45140308778866,A,174.05821448237802,-20.62153313668757,E,0
Jewish,C,E,A,E,C,B,C,-149.84154842037992,-45.30416008547111,C,15.322787166219323,251.6837270565927,C,1
Buddhist,A,C,C,A,D,B,C,-4.367739156184293,65.18830369297812,B,71.42238656758401,114.26574020328968,B,0
None,B,C,C,B,A,E,E,40.71556880686679,-97.24052492004245,D,137.96095409179733,31.872028084509363,D,1
Muslim,E,A,C,B,A,E,B,131.15426656343686,121.89816374995928,D,-53.95863448259753,-159.48199983364282,C,1
Hindu,A,C,C,B,D,D,C,32.478744718829184,-95.96250326781998,B,-206.75653377615646,64.77397688102796,E,0
Hindu,A,A,B,B,A,E,D,-41.155159377482626,-294.922091933299,B,-100.43508390178077,-121.43439016945592,A,0
Jewish,E,D,A,A,D,A,D,81.00843249034196,68.6747933739939,C,40.090784905742964,125.29988304289405,A,1
Jewish,C,C,B,C,A,B,D,-27.84478637598759,-6.27507627326101,B,-262.29195393688036,-37.71808532519588,A,0
Other,E,E,C,E,C,A,B,-44.53016393525302,-35.01311880301837,C,-138.42675603444118,-100.66869022568932,C,0
Jewish,D,B,E,A,A,E,A,-143.59255903860816,-155.9228620458286,E,-69.64255996600063,103.75359543681235,E,0
Hindu,C,D,A,C,D,A,E,-116.09542178766745,195.96392610103126,C,-88.11233823075817,-260.97363337267524,A,1
Christian,A,E,E,B,A,D,C,182.12634328190904,120.34680447772533,E,4.894948563175936,-124.51648883264524,E,0
Other,B,A,A,A,E,C,C,-24.021219390046856,25.82973631892384,A,99.47538312978907,132.57154405249614,A,1
Christian,D,C,B,D,C,E,C,-54.07860210932738,233.39328858624683,B,-53.1794232142581,74.12384443124753,E,1
Christian,B,A,E,C,B,B,D,16.56685498884515,32.05479223068299,B,-18.107227013840497,71.66011222450668,B,1
Jewish,E,E,E,B,E,E,B,-35.14637651246207,-17.656517883661458,A,-45.27624267417048,15.282188625922968,A,0
Hindu,B,C,A,E,B,D,D,-131.10689445167992,-114.1814116124492,D,-61.10370563941069,108.42344063349918,C,1
None,C,E,A,D,A,C,E,-121.77918267992534,-20.243993326959174,D,94.09265502783383,56.167093619727495,A,0
Christian,E,D,A,A,B,C,A,-156.8357603850556,-187.16678073822445,A,98.3351412460842,131.83050701552327,B,1
Other,A,A,D,E,A,A,A,-182.23554530604628,79.94051907817104,C,-168.73961699822252,70.69788983752113,D,1
Christian,C,E,D,B,A,D,D,67.83150712343979,-49.69896792543773,C,56.676279964897105,38.719525571335524,E,0
Jewish,D,A,A,A,B,D,C,-26.305079748520782,63.21028690591663,B,183.41678374993353,59.46635433059655,E,0
Jewish,E,A,C,A,C,A,E,-59.65274511634176,102.16660726129885,A,49.324747716516804,37.17676660749623,E,1
Muslim,D,C,D,D,E,E,B,135.6128670242289,-128.26476692741758,A,82.92016184159078,105.09885466810726,D,0
Christian,A,C,C,E,D,C,B,135.6872551504306,126.95051644678412,E,-130.52162856270897,112.67020863214168,E,1
Hindu,A,D,A,B,E,B,A,-27.050099148502284,171.57444763141663,E,74.38548745867857,-137.71602084254292,E,1
None,E,B,D,D,A,D,D,60.84734418381268,105.97016656558888,D,153.84411639100904,20.103118640095598,C,0
Jewish,A,D,C,C,C,C,D,29.669754286794653,-82.02434915531563,C,11.978539162268573,55.84768722660524,A,0
Other,D,E,A,C,D,A,D,-60.67217147000902,49.920973331951295,B,-38.68795884201088,-28.58742259508169,C,0
None,E,E,D,D,E,C,B,-99.90386069646762,-66.21331751384628,E,138.0787655529361,135.11330607170015,B,0
None,C,A,B,E,C,D,A,-203.77090493576029,-213.15796419449126,C,69.12766160944824,-244.76111574404916,B,1
Other,B,B,A,D,A,A,C,79.59415742365819,50.20434028366887,C,-32.87158255782061,-7.614075026140461,E,1
Buddhist,E,A,A,E,D,B,E,-45.34913133208911,56.39204587569371,E,114.08523930504421,-76.03559965989703,E,1
Buddhist,A,C,E,A,B,A,A,-6.1192033027599075,-66.22872924008367,E,-19.50388770023343,27.618974125171835,E,1
Buddhist,E,B,D,C,D,B,A,38.004812162617135,-73.9339973051986,D,-4.766163071923062,132.93761172227664,A,0
Other,B,D,D,D,B,B,E,19.40050263497197,-2.7072326450300275,C,66.0294168975846,-93.06648575058406,E,0
Muslim,C,B,C,A,D,A,A,146.36127440225275,-27.992225739675785,D,-124.08448737809445,-126.94850857353346,D,1
Other,C,A,C,D,C,D,A,67.49349083754302,30.183166736603013,E,281.2619279598671,251.73280928309438,E,1
Hindu,B,B,B,B,D,E,E,-15.85040858066897,-67.22223887740996,B,-180.82822252573342,74.13851930916933,D,1
Christian,D,C,B,D,D,D,A,-60.14873313558764,-4.9594246435033105,A,102.59064020198751,-93.02277983076117,E,1
Muslim,E,C,A,E,C,C,D,-97.86180356941672,43.74784350177871,D,-117.06396289355115,-24.554362075194543,D,0
Other,A,B,C,B,D,D,E,104.46465122401487,-200.09168965421983,D,-57.510548979376,36.20756781660138,A,0
None,D,A,B,A,D,B,C,-62.67383302501253,128.93463402840845,B,-26.864551602908882,-95.77157057191955,B,1
None,D,D,D,D,B,B,D,-21.329078655730896,46.331321201948114,E,95.85771695268109,-17.460895235125886,C,0
None,D,C,D,E,C,C,C,-7.258279757997947,-14.89104405871261,D,57.87530283591865,126.29234160335396,A,1
Muslim,D,C,E,D,E,E,C,83.80449119895007,30.05354007653211,A,-128.47208146588542,-68.88191238684107,C,0
None,A,C,B,B,E,E,A,-82.09152040063123,94.68169566813418,D,-23.960071024848155,-76.45793240140183,A,1
Hindu,B,D,C,B,B,D,B,42.43467302964399,36.61429127594518,B,-1.602519992199051,16.200080489742422,B,0
None,A,B,C,E,E,B,E,-27.662401063015807,-14.094230424990242,A,12.270659738140479,-133.00541430796576,A,1
Jewish,A,B,A,A,A,D,D,-165.07827586933143,-4.899104790816455,B,-39.03546703573369,-56.07726367381154,A,0
Hindu,C,E,C,C,B,D,E,-65.45213549698755,-49.26475462543777,E,-26.53995731850044,-153.17412263862863,A,1
Christian,D,B,E,C,C,C,E,-94.98071796120234,19.568624384908144,D,-73.65835213922028,6.167604584950337,D,0
Jewish,A,B,D,E,A,A,E,-63.84505580587722,-22.714027712633843,C,186.79631101003608,-20.901003002144044,B,1
Jewish,E,B,C,C,B,B,B,62.32627184610233,119.92557290872415,B,-265.2358384689709,-9.260676156779194,E,0
Hindu,B,B,B,A,E,A,B,40.11550882410335,55.23143973698451,D,-63.54089152188984,106.2605289786674,D,0
Buddhist,B,B,D,D,B,B,B,-7.572990434418049,14.77180376144542,E,-19.190678371646975,-70.39876366620035,E,0
Jewish,C,B,E,D,D,D,D,25.469486385401837,241.33935628520044,A,4.032458013647847,1.8384699529601711,E,0
None,B,D,E,E,E,D,B,-263.0891236386121,26.704804975720954,A,-44.61338004798173,-151.67076273134944,C,0
None,E,A,D,D,D,E,E,23.954969483883342,11.169272567491307,A,-13.83374151338423,37.83802789909886,A,0
Other,D,A,E,C,D,E,B,-18.62925864242647,-170.96744623445556,C,-38.1908211998103,102.95324173688805,A,1
Buddhist,B,E,D,E,E,A,C,-5.704929844579248,69.73761170987359,D,-19.946741551506488,16.18040126853459,E,0
Buddhist,B,B,D,C,E,D,A,-219.66119803570714,-20.743707971109398,C,41.10490179335769,15.12260153124827,B,0
