religion,orientation,military,age_group,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,target
Muslim,Bisexual,Yes,65+,B,A,A,E,-31.330830183694463,A,A,D,108.86877423674221,58.156987167793325,E,-0.458508750750252,A,C,C,0
Christian,Other,Veteran,65+,D,E,D,B,-15.236538542595326,C,C,B,23.271393249883925,2.124821473812597,E,-58.48592659927353,E,E,B,0
None,Homosexual,Yes,51-65,A,E,B,E,35.794323778929666,A,A,B,165.5416414010229,-154.35100784997672,A,-51.924321592737066,C,C,D,0
None,Bisexual,No,18-25,D,C,A,A,-139.887483169326,B,D,C,-11.601732910935318,41.55812219354761,D,-208.42769263472886,D,B,D,1
Muslim,Homosexual,Veteran,51-65,D,D,D,A,6.6235494211342765,C,D,A,19.23352369663804,-110.35611070493259,D,14.78289618891675,E,E,B,0
Other,Other,Non-Veteran,18-25,B,A,D,B,-85.46131562072472,B,C,C,64.75586899466077,69.94555495822222,E,26.263617734050822,A,B,A,1
Buddhist,Other,Yes,65+,A,A,E,E,69.48914611992294,A,E,E,98.28027519536259,-144.95285560250042,B,99.08896869113231,C,C,E,0
Jewish,Heterosexual,No,65+,A,B,E,C,275.397313184017,C,A,B,-55.64276877601958,-37.68771669901617,C,-47.36898654174722,C,D,D,0
Muslim,Heterosexual,Veteran,36-50,A,D,E,E,146.45833562332174,C,C,D,85.66804239125167,73.90582220235105,D,228.43685296392513,C,A,C,0
Buddhist,Homosexual,Non-Veteran,51-65,A,A,A,B,-31.26729945179527,C,A,C,156.27726665952312,-19.887002317706838,D,-1.5261929700171029,B,B,A,0
None,Bisexual,No,65+,A,C,C,E,-2.267365427950656,D,E,D,-15.672711288281294,94.69260289746718,B,64.67827898486881,C,E,E,1
None,Bisexual,Yes,65+,B,A,E,D,281.1120585444063,C,E,E,110.12242494801694,126.43969378628506,D,-79.71021309557811,E,B,C,1
Muslim,Other,No,36-50,A,D,B,D,-165.79602710490983,B,D,E,32.6667228000905,161.029326369584,C,45.84603230779549,D,B,E,1
Jewish,Homosexual,Yes,18-25,B,E,B,C,-22.674375311269472,C,D,A,63.79992057457492,-48.819924790092934,A,-53.11284369082745,C,D,C,0
None,Heterosexual,Veteran,18-25,E,D,D,A,96.68382704193607,A,A,D,16.81533136314293,-0.15339706388517182,D,68.29572654241693,C,C,D,0
Christian,Other,Non-Veteran,65+,B,A,E,D,186.8901495691721,B,B,C,-75.2576396825798,71.79762727516284,D,124.60042781943801,C,D,B,1
Other,Other,No,36-50,B,C,C,D,-88.91969886822152,C,A,A,174.77186595160376,258.4698288328254,B,78.19225546116212,A,C,C,0
Other,Bisexual,No,51-65,D,C,E,E,86.7395247911441,C,D,A,107.62710620593718,20.45000176165709,C,-113.08934489459985,C,C,D,0
Other,Other,No,18-25,A,C,D,A,83.54489905506,D,E,C,-47.944655876281175,130.57932010947744,A,37.60601902092723,A,E,E,1
Christian,Other,No,18-25,B,E,A,C,88.84054901664568,D,A,A,139.11915944092536,-8.0859576314078,A,67.05111019593733,A,A,E,1
Hindu,Bisexual,Veteran,26-35,E,C,D,D,-163.2310912926026,D,D,B,198.21526712588047,-90.45840396794127,B,86.38065464292917,C,A,D,0
Other,Homosexual,Yes,51-65,E,A,B,D,135.98485455730122,A,E,B,165.33372751134496,172.02806343661183,E,-197.75034732128336,A,B,E,1
Christian,Bisexual,Non-Veteran,18-25,E,D,E,B,-101.12110109467342,C,C,A,-11.777786919306884,27.83795657665972,E,-44.080386617634595,C,A,E,0
None,Other,No,51-65,D,C,E,D,-71.95258425989341,C,C,B,-152.25947789336925,-155.91376364228435,A,16.23708757150656,E,B,B,1
Muslim,Heterosexual,Veteran,36-50,A,B,A,C,-76.27853008430037,E,B,C,49.38864192309559,110.32290234059619,B,96.43589867236093,A,C,A,0
Christian,Other,Yes,36-50,C,A,A,A,30.30773626526773,D,A,A,-62.415630256468134,-149.65775243494892,D,-43.11520891750256,D,D,B,0
Buddhist,Bisexual,No,26-35,B,C,D,A,118.28325573389758,E,B,D,-24.89838600590854,111.34971899933588,A,12.444756475099576,A,B,E,1
None,Homosexual,Yes,65+,B,A,B,B,-178.13094393435975,D,D,E,143.04658648699095,-113.50431197147218,C,222.19753899283484,C,C,D,1
None,Heterosexual,Yes,26-35,E,B,B,C,-87.17142938348601,E,D,B,-41.75729508730524,29.577581976251192,D,-142.10278443518348,C,A,C,1
Buddhist,Heterosexual,Yes,18-25,D,B,E,A,53.236811301343366,E,C,D,-149.79678133199664,128.39459087344272,B,-21.498013568899925,D,A,A,1
Muslim,Heterosexual,No,51-65,B,C,C,C,29.21547435278942,C,B,C,53.040487068437294,-41.905956957144795,C,-13.921228502979924,C,B,B,0
Other,Heterosexual,Yes,51-65,B,E,E,E,147.3266211850432,D,B,C,120.55391334897531,-58.98983151025303,A,41.84561154740467,C,C,B,1
Buddhist,Heterosexual,Yes,18-25,C,C,C,D,-124.97906486368116,E,B,C,25.02492801700727,21.02331008734319,E,-51.3943521453193,D,B,E,0
Muslim,Bisexual,Yes,51-65,C,C,C,C,31.48908555189738,C,C,D,-102.8950328366842,-70.08014896337191,B,32.49794960003486,C,D,E,1
Christian,Other,Veteran,51-65,D,C,B,E,-23.826790178516184,A,A,D,-114.71438256079321,81.85128203983099,D,26.33429054071109,E,B,D,1
Other,Heterosexual,Non-Veteran,26-35,E,C,C,D,77.28039825122035,A,D,A,-22.462174416106784,126.61031299309857,B,155.36198026391872,A,D,E,0
Buddhist,Homosexual,Yes,65+,B,B,B,E,-75.10183864125541,C,A,D,2.699189535408695,38.54029170889356,E,76.6912168165374,D,E,D,1
Hindu,Homosexual,No,26-35,B,E,A,E,46.72764601519083,D,B,D,29.717845594443805,-105.7234114582461,A,109.83792157827621,E,B,C,1
Other,Homosexual,Veteran,26-35,D,D,C,B,-15.503900222519038,E,B,E,-60.53113728919257,269.24256243797015,C,-6.516698035989406,A,B,A,0
Jewish,Bisexual,No,36-50,A,B,D,E,15.674224234814377,D,A,E,-27.210479048597406,-217.12870912958365,C,-132.45614673669272,D,D,B,1
Muslim,Bisexual,Veteran,18-25,B,A,A,C,-101.45239332994743,A,A,D,-72.86214635980589,95.61707590991192,B,-73.91598879448112,D,D,C,1
Other,Bisexual,Non-Veteran,36-50,C,A,D,A,-80.25900458282271,B,C,B,117.1047116000231,-101.88380640298608,B,-0.33783883769602285,E,A,B,1
Hindu,Heterosexual,Yes,51-65,E,B,C,A,-77.72394244679846,C,A,A,-85.06648632982588,66.79685218875393,B,19.0741536834719,E,C,B,1
Buddhist,Other,Yes,36-50,E,B,C,C,54.36473811099373,A,C,E,-268.1402346511335,48.73985591679097,C,310.2265775130412,E,B,E,1
None,Bisexual,Yes,51-65,A,D,A,C,-22.915029593653323,A,B,D,-23.81155681904476,108.37181406363192,C,80.25904925616592,E,A,A,1
Other,Heterosexual,Veteran,51-65,B,E,E,C,-70.12424229947942,E,A,D,-91.02268345982071,143.37814882083782,D,43.76743210202638,E,C,E,0
Jewish,Bisexual,Veteran,26-35,B,B,B,E,-15.318871386517127,C,B,D,-20.319679950673773,-74.72308039672274,E,172.19671775981698,D,D,D,1
Jewish,Homosexual,Veteran,26-35,D,E,B,B,-86.87807321914411,D,A,C,36.427330330836746,-87.26795663822642,C,3.6911496085324007,C,B,E,0
Hindu,Other,Yes,51-65,E,D,A,C,-206.6857950530542,C,E,C,-268.8254506815527,-178.48882069982827,D,63.78104356678366,C,D,C,1
Hindu,Homosexual,Yes,18-25,C,D,D,C,-93.46268463360592,A,D,B,-86.50053977545569,0.36746484081720754,A,7.304813626211995,E,D,C,0
Jewish,Heterosexual,Yes,51-65,C,A,A,E,58.78554680666598,C,C,B,-78.84254116087935,-9.758603288974438,E,9.895241896303448,D,E,E,1
Other,Bisexual,Veteran,65+,D,C,B,A,-102.79073406690773,C,E,B,-235.97769433994583,-12.484719719450228,E,150.52432187147676,C,C,B,1
Buddhist,Other,No,51-65,E,D,E,E,206.0230103256043,D,B,C,2.2051911507361854,60.142877512050795,E,130.71418313341258,C,A,E,1
Jewish,Heterosexual,Veteran,51-65,D,D,E,E,-86.36804081921493,A,B,B,-45.02145265274229,146.5834232699416,D,-201.63082170425182,C,E,B,0
None,Bisexual,Non-Veteran,65+,B,B,C,C,-33.21225470963024,C,E,E,-131.37791001145592,41.49589160991674,A,-185.44544398104654,C,A,A,1
Jewish,Other,Yes,36-50,C,C,C,C,-2.0992785071717046,E,E,A,60.8079827986642,-146.3094295518673,A,-69.91504667316971,E,A,D,1
None,Heterosexual,Non-Veteran,36-50,A,D,E,A,79.04721453387526,D,A,E,60.45815889811945,-30.962103933617392,A,-18.12140141795497,E,B,E,1
Buddhist,Heterosexual,Veteran,36-50,E,D,D,E,58.75171023423166,C,D,A,191.22660087672236,-132.46863011188714,B,135.62418471458756,C,D,A,1
Christian,Bisexual,Yes,18-25,C,C,B,E,-48.0464551984049,D,E,B,61.64754965756861,-80.4377000560466,C,116.72408953632166,A,B,B,1
Jewish,Homosexual,Non-Veteran,18-25,D,E,B,B,17.991038856851173,E,B,C,-125.76070526577514,74.3243734312401,A,-45.22272243160558,E,E,E,0
Other,Homosexual,Yes,26-35,B,E,B,D,28.059627231184553,B,E,E,10.031737999396553,110.91234703588395,C,31.188561462773816,A,B,A,0
Hindu,Heterosexual,No,65+,A,B,A,E,-142.6307624616052,B,C,E,-67.93981419606008,-36.53734229812696,E,-115.64328976599533,D,D,D,0
Other,Other,No,65+,B,E,B,E,-210.36987852126407,A,E,B,-0.5423474396719338,-62.167068001988746,C,-250.9778962433765,A,D,B,1
Christian,Homosexual,Yes,18-25,A,E,D,A,-61.89586590913998,E,A,C,110.88719292593949,125.31872894291263,A,-21.37717931552364,A,B,A,0
Muslim,Homosexual,Veteran,65+,E,D,C,E,-37.47223695505556,C,B,A,38.950080157215375,-95.83513862149722,B,69.20117697246712,C,B,E,1
Jewish,Heterosexual,Veteran,65+,E,E,D,B,-116.74594062641557,A,B,C,38.37157966709446,75.04380847429125,A,2.333787786511318,B,D,B,0
Buddhist,Other,Non-Veteran,36-50,B,A,C,A,-5.895758351616172,E,D,A,-93.12564091720999,-6.1009470168909345,A,181.65422824679166,D,E,A,1
None,Heterosexual,No,65+,D,E,A,E,-99.70781839984927,E,C,B,9.873531713718142,65.14763183079484,B,107.99168129670697,B,D,C,1
Christian,Bisexual,No,18-25,C,B,B,C,98.89973906997415,E,D,C,-118.50197498123029,-47.761954433735724,C,-55.40362036892875,A,D,C,0
Muslim,Homosexual,Non-Veteran,65+,B,E,C,D,94.29966787327666,A,B,B,-61.89022765511369,-71.83947969785626,D,-83.85432705594305,E,B,E,1
Christian,Other,Veteran,18-25,A,C,B,A,-72.16606872338397,D,A,D,-127.12303684007533,3.8736913319280024,B,104.74977937410152,B,B,B,1
Hindu,Heterosexual,Veteran,36-50,E,D,B,C,74.16314319145731,A,A,A,159.34063288160704,120.13119646327002,D,-83.14613374654965,A,E,B,1
Jewish,Bisexual,Veteran,18-25,A,C,C,B,105.64723960779294,B,D,A,-39.45111852251163,-14.974293104218853,A,38.225100646241856,B,A,A,0
Buddhist,Homosexual,No,26-35,E,A,B,B,-7.213460371788718,A,D,C,-165.50334633822956,170.43500886363154,E,33.649862943164365,A,E,D,1
Jewish,Heterosexual,Non-Veteran,65+,D,C,C,E,42.38792077720777,D,A,B,12.60632087600576,-67.4452770717315,A,-85.98052127700024,A,B,D,1
Other,Other,Yes,18-25,E,C,B,B,203.08072728431102,B,C,D,-66.62373171151052,-111.88779504774955,D,-39.172148835254504,A,D,B,1
Muslim,Heterosexual,Yes,65+,C,B,D,A,-118.53858328392917,A,E,A,-1.9492507340008598,-152.59800251281,D,-8.76290388865169,B,C,C,1
None,Homosexual,No,18-25,D,A,D,B,35.21897762245125,E,D,D,-105.08569567366304,1.2791717942945768,A,56.26102401701334,B,D,B,0
None,Heterosexual,Non-Veteran,65+,B,A,D,E,0.652846379007273,B,C,A,-19.026185980196594,114.71527265458373,E,-41.4814853137588,D,A,A,1
Muslim,Bisexual,No,51-65,A,D,D,B,68.50763964306866,A,A,A,-20.802532647496,60.581943268948294,E,129.9523699371326,E,D,D,0
Hindu,Bisexual,Non-Veteran,36-50,A,B,C,B,184.53456663228368,C,A,A,-117.57520438713591,99.60447646309521,C,109.56694823626727,E,A,B,1
Other,Heterosexual,Veteran,18-25,E,A,B,B,150.84187971792173,D,D,D,-7.80493560853108,-26.91596936725241,E,-13.6270978121586,C,A,B,0
Christian,Bisexual,Yes,51-65,A,C,C,A,-9.964740512372627,B,C,A,197.40411867686353,169.1518043492597,B,-11.534453129455782,A,B,A,1
Christian,Homosexual,Yes,65+,A,E,E,A,71.39146837249129,E,E,B,-50.531560858642464,-104.87075263265677,B,-35.908366235323534,A,E,C,0
Other,Other,Veteran,26-35,C,E,D,D,-7.9443222615532845,D,E,B,-79.41532331517081,1.188344020311039,B,219.76978587870022,A,A,E,1
Jewish,Homosexual,Non-Veteran,18-25,E,D,E,B,-37.229468292176485,B,D,E,-248.15091622680808,135.53203953887606,C,187.41971399060503,A,C,A,0
Christian,Heterosexual,No,26-35,E,C,C,D,-130.42859890240672,E,D,A,205.86702223649115,-26.631312037265953,C,-28.690587661744626,A,B,B,0
Muslim,Heterosexual,Yes,51-65,D,B,D,A,-52.372532027116904,C,B,E,-45.17274808558908,66.96754240438601,B,-52.01932824139032,A,C,E,1
Christian,Heterosexual,Yes,18-25,B,A,D,C,-0.5741865807312962,A,C,B,89.13484294459987,296.2468482835602,E,8.12206873170994,A,A,A,1
Christian,Homosexual,Yes,51-65,B,E,A,B,-46.42530896989723,B,B,E,15.906009646389213,-113.84841245557058,B,-62.97134651918702,D,A,C,1
Other,Heterosexual,Veteran,26-35,E,D,D,C,-210.3816133137714,D,C,A,14.024291066381842,162.8789734620046,C,38.07608423958603,D,D,E,1
Christian,Bisexual,No,26-35,B,E,C,E,-93.06674525239264,D,A,D,-138.2133273866423,-78.39966786554089,B,-54.68630620035986,D,A,B,1
Jewish,Heterosexual,No,65+,B,A,D,D,-6.6808515016996,E,B,B,-40.19186699282963,-18.759133341720645,C,32.45884619744816,A,D,C,1
Hindu,Heterosexual,Non-Veteran,51-65,D,A,A,E,-88.55645538442806,E,C,E,-141.7869301269426,41.181722197384765,B,-6.476230652908031,E,D,D,1
Christian,Bisexual,Yes,26-35,E,A,A,D,-27.451753150572284,E,A,A,71.30028364575189,-187.64455326586253,E,-10.608477398718605,D,C,C,0
Jewish,Bisexual,Veteran,26-35,E,C,E,D,64.32424225544847,A,C,D,21.246064424333525,-55.524519561263666,D,190.30534753771366,E,A,E,0
Jewish,Other,Veteran,36-50,D,E,B,A,-159.6669421781803,E,A,E,188.85244896597453,31.185067875857346,D,53.720727647901036,A,A,C,1
Muslim,Bisexual,Veteran,51-65,A,C,E,D,11.477516577405797,C,B,B,47.04702874210624,-71.50395198586143,A,117.87769611280478,B,A,E,1
Buddhist,Heterosexual,Veteran,51-65,D,B,C,E,-223.02481549349648,E,B,D,11.461628594808762,7.158410605220837,B,42.51595509783612,E,C,B,1
Buddhist,Other,No,18-25,C,A,D,E,144.73187958707743,C,C,C,-35.69857705742162,-3.073190406130779,A,53.86987918991797,E,D,A,1
Christian,Bisexual,Non-Veteran,65+,E,E,D,D,-77.5119982534473,D,A,D,-94.48447272295067,142.80260340090248,E,-17.347290285192845,A,D,E,0
Buddhist,Bisexual,No,18-25,B,A,A,B,-188.73889276660964,D,C,B,-20.383061028769184,65.80453712051212,A,-16.3114049821656,D,D,B,1
Hindu,Other,Veteran,36-50,C,E,A,E,-101.8888395661397,B,B,E,-36.376536444912404,-25.584701280365202,D,4.706157351458983,D,E,D,1
None,Homosexual,Non-Veteran,51-65,D,A,A,E,-25.258482515917315,A,E,C,118.04503390966073,-11.864800878403333,D,-51.913117810001886,A,B,E,1
Christian,Heterosexual,No,51-65,C,D,A,B,39.32653853636702,B,C,A,212.8512521707885,86.5189224426019,E,118.44659873284378,B,E,D,0
Hindu,Bisexual,No,18-25,D,E,C,A,-33.481303242927005,B,E,E,-83.62851271351936,52.449433503424544,E,159.3220881112004,A,C,A,1
Hindu,Homosexual,Non-Veteran,36-50,E,D,A,D,164.64128459113317,D,B,E,-178.20944827205875,100.9315198218502,A,-36.65808614229133,D,E,A,1
Buddhist,Bisexual,Non-Veteran,65+,B,C,A,E,-101.7055856657839,D,C,D,40.924068500756725,-64.59460131337683,D,-137.9248720008611,B,A,D,0
Buddhist,Heterosexual,Yes,65+,A,B,C,E,-102.78247682093402,C,E,C,-143.93266070999354,13.660539549485836,B,-78.44678158658593,B,B,B,1
Muslim,Bisexual,Non-Veteran,26-35,D,A,D,B,-90.02633145761793,C,E,B,2.8323479311021194,-144.00107364136935,E,-130.74384708007594,A,C,B,1
Hindu,Heterosexual,No,51-65,A,B,A,C,-221.95866492522006,C,E,B,45.870817178832915,139.85812839838962,B,49.897105668203764,D,C,A,0
Hindu,Homosexual,Veteran,26-35,A,B,B,C,-255.73716955906244,E,B,C,-86.62081790281118,-57.158136376433056,D,36.60438907089147,D,D,C,0
Christian,Homosexual,Yes,18-25,D,A,C,D,-26.689979189856395,B,C,A,-104.43407279091552,-94.14878200064419,D,-157.40120281715423,C,B,C,1
Jewish,Homosexual,No,36-50,E,D,A,B,71.4440843051793,C,C,A,-226.26301882189716,227.46619723710882,B,2.1513285568837066,A,D,D,1
Hindu,Heterosexual,Non-Veteran,26-35,D,A,D,E,-63.32329473534853,A,E,C,108.05300760404218,201.8915879540995,E,-185.8963656371397,B,A,A,1
Christian,Heterosexual,Non-Veteran,26-35,D,C,D,C,66.23603249191909,D,D,B,-22.064113562934537,161.18883138108612,D,-109.69308981116124,C,E,A,0
Jewish,Bisexual,Veteran,51-65,B,B,B,A,18.996416267754213,D,B,D,30.360106289762406,115.60104974588556,D,279.9653799221978,B,B,C,1
Jewish,Bisexual,Non-Veteran,51-65,C,D,B,C,38.57882155260597,D,C,E,30.27118302014784,108.24347827245421,B,49.57915532993377,B,C,E,1
Buddhist,Other,Non-Veteran,18-25,B,C,A,E,-121.91934550488884,D,B,B,43.61579785647213,-94.03561716825898,C,-222.62737980607818,B,C,E,1
Christian,Homosexual,No,36-50,E,C,A,B,5.58159713812161,C,B,E,-65.51990964976537,-151.2526233734577,A,-142.59535837258218,C,E,D,0
Muslim,Bisexual,Non-Veteran,65+,E,B,A,E,150.89763773115848,A,D,C,-14.08574319516732,41.40816041037058,D,-149.97837156419092,A,C,E,0
Muslim,Heterosexual,No,26-35,B,D,E,A,-202.08100604790226,E,C,E,-101.57792730044028,50.82205245244943,B,-159.46960271493055,B,E,D,0
None,Bisexual,Non-Veteran,36-50,A,E,E,D,-2.555655700669491,E,D,B,-207.44934638218942,-86.4728897947882,B,-26.65038124014616,D,E,E,0
Hindu,Heterosexual,Non-Veteran,51-65,C,C,A,B,76.05912347859373,A,E,E,122.98844327926857,-14.186342754502817,A,-53.3534271025968,B,D,A,1
Christian,Homosexual,Yes,51-65,E,E,A,D,-79.35350128100693,C,A,B,-36.26917679088824,-152.5540769638292,C,169.43972267859488,E,A,A,1
None,Bisexual,Non-Veteran,18-25,E,D,C,B,-61.373941212337954,B,C,C,47.92933369900822,112.05564119134183,A,-71.11793246674873,E,D,D,0
Muslim,Homosexual,No,18-25,E,D,C,A,-67.75365426666394,D,A,B,216.56033109590584,7.950808777948476,B,11.601131441941375,E,C,B,1
Buddhist,Bisexual,Veteran,65+,E,D,B,A,-99.62265430140202,B,D,D,-103.91606287310273,-43.501842462729954,C,-104.8861052538872,A,E,E,1
Other,Homosexual,Yes,18-25,B,A,C,E,79.10350281699266,C,C,C,-42.56145018649688,-70.62579620804412,E,-181.4356134501983,D,B,B,1
Muslim,Homosexual,Veteran,36-50,B,B,D,A,170.52915961859,A,D,B,64.50597379946346,-194.598268419912,B,25.172043706670905,A,B,D,1
Hindu,Homosexual,Non-Veteran,36-50,A,A,E,C,-152.6848078519688,E,D,C,-50.568589235984575,-88.04852255045789,D,-81.46702373239326,E,D,D,0
Jewish,Other,Yes,36-50,C,B,B,B,72.60064680707669,D,C,B,44.88356582756131,72.3965119469772,B,17.864195014428805,C,D,D,0
Hindu,Bisexual,Veteran,51-65,E,D,B,B,-160.19906904972171,E,D,C,23.663671138120797,-98.28100660360282,C,47.94680092052285,B,C,E,1
None,Homosexual,No,36-50,A,E,B,C,147.96127695050637,A,A,E,5.914443359381754,11.188770082094232,D,-45.34518964728699,D,D,A,1
Other,Homosexual,No,51-65,C,E,B,C,-259.4683005346986,C,B,D,-105.87267840413452,247.69765406009282,E,312.4636797030071,C,C,E,1
Buddhist,Bisexual,Non-Veteran,26-35,E,A,A,A,174.93965692135944,D,A,C,-171.18259082862352,59.81117784404971,E,72.57281886500137,A,A,B,0
Buddhist,Bisexual,Yes,26-35,D,C,A,D,69.04593715544986,D,A,E,-6.931488081312798,43.875325341982894,E,28.530272486303993,E,C,A,0
Muslim,Homosexual,Yes,18-25,D,E,E,E,-149.17486428496133,A,A,B,119.19220589091428,-34.49288654273463,A,108.42247304196077,B,C,C,1
Jewish,Homosexual,Non-Veteran,36-50,B,B,E,B,-20.370645819931635,C,B,B,99.19021783413194,-131.9280793448612,D,188.92519498823827,E,D,A,1
None,Bisexual,Non-Veteran,26-35,A,E,E,C,159.8588843881132,D,C,A,-33.18498673252312,-59.12042418918434,A,-20.639174999623886,E,B,B,1
None,Homosexual,Yes,65+,C,E,A,D,-150.00900393969044,A,E,E,132.37743198841315,-70.48636656005695,E,71.72458599951838,A,A,A,0
Other,Bisexual,No,51-65,A,D,A,A,1.2123307312884495,E,B,B,-202.76632349275735,-5.924298308084244,E,33.57371646519278,C,E,A,1
Other,Other,Non-Veteran,65+,C,E,B,E,126.36038258194506,B,A,C,234.8027241538113,163.79011113292597,B,92.91017361709284,E,E,D,1
Other,Other,Non-Veteran,26-35,A,D,B,E,217.0368571701844,E,E,B,-25.814390221839695,54.725699582700194,E,53.659945920542974,E,E,A,0
Muslim,Homosexual,Veteran,18-25,C,C,B,E,57.744853127153505,C,A,E,-35.433373427875644,63.897091095900635,C,-199.67240637246002,E,B,D,0
Hindu,Other,No,51-65,C,D,A,C,52.609557396148766,C,B,A,-84.82920876792737,-89.1742550692662,B,-33.0181499785562,C,A,B,1
Muslim,Heterosexual,No,51-65,D,A,B,C,188.28679558150876,C,E,B,22.0845977190907,-10.937580822193604,E,45.15405147653412,A,C,E,0
Muslim,Bisexual,Veteran,18-25,D,C,A,D,-53.33653425536057,E,B,D,4.197959294044549,113.20449172077987,E,-118.31724502117483,C,A,E,1
Buddhist,Other,No,18-25,E,D,D,D,-20.255721916574153,E,A,B,93.71564399288759,105.05538211932593,B,45.289785518824885,C,D,D,1
Christian,Homosexual,Veteran,65+,A,A,C,D,120.3965476712159,E,A,E,-68.78248666215087,-76.52513625355184,E,-9.753297621329105,D,E,B,0
Other,Other,Yes,26-35,C,B,B,E,-22.64412373946515,E,D,E,127.84914852375321,-45.50650711726859,A,69.18665832619484,C,E,A,1
Other,Homosexual,Yes,65+,D,D,C,B,26.7631170564963,A,A,E,62.23599812570383,-153.16963225312296,E,-45.221300675555106,E,B,E,0
Other,Other,Yes,18-25,A,A,C,C,-73.56005764741926,A,D,D,35.50678332782903,-54.247384350746316,C,41.83069748428349,D,D,E,1
Muslim,Homosexual,Veteran,18-25,D,B,E,A,23.517155799115603,A,E,B,-164.00709305799504,109.64545162575688,B,-25.89273795202877,E,A,A,1
Jewish,Other,Veteran,36-50,B,B,C,C,-180.41308289564668,E,A,A,106.78414977884589,-70.68113563635274,B,-6.366109094685954,B,D,A,1
Jewish,Bisexual,Non-Veteran,18-25,E,E,B,B,7.351328455196042,C,B,B,-73.22837838693565,-37.150667156430615,D,18.42097911566765,A,E,E,1
Hindu,Other,Non-Veteran,65+,B,A,B,E,55.28930073403693,D,D,C,167.7163854024633,-31.97158427935996,B,33.98235286787231,B,E,B,1
Hindu,Other,Veteran,36-50,E,D,C,E,24.815295531041006,A,A,B,-102.67825014806895,117.74794513522235,A,29.651449293754574,D,B,D,0
Christian,Homosexual,Veteran,51-65,A,B,B,D,77.04352007694146,D,C,B,26.11541119976121,-56.73966651569151,E,-139.3166358551389,B,D,C,1
Christian,Bisexual,Yes,18-25,B,E,D,E,-9.748982232054592,E,B,C,-101.97668335274439,62.93075371338551,E,-54.01391335643412,E,C,E,0
Jewish,Homosexual,No,65+,E,C,A,E,98.44983881189049,A,B,E,-51.135482719371225,-36.96550791049255,E,47.870779665390685,A,B,E,1
Other,Other,Yes,36-50,C,C,C,C,218.74334234421946,E,D,C,-139.94061115012872,-81.25603861123946,B,154.14264637419123,C,A,A,1
Hindu,Heterosexual,Veteran,18-25,D,B,B,C,-9.739344515059038,D,E,E,-226.4815506878284,24.68176436267966,A,-239.79772354185332,C,E,E,1
Other,Heterosexual,No,26-35,C,C,C,C,76.77858352780359,B,B,D,11.956939970462443,-91.29627470514605,E,101.52513791748021,B,E,B,0
Muslim,Other,Yes,18-25,C,A,E,C,156.0343807306575,E,D,E,-44.32554529244975,-11.59390552887665,B,-19.17481202942595,D,B,E,0
Muslim,Bisexual,Yes,36-50,D,D,D,A,14.55553418549909,C,E,C,116.99958824612635,70.00732639063384,D,93.13658295531846,E,C,C,0
Buddhist,Other,Veteran,18-25,E,D,E,A,-110.52076770391635,C,E,E,-19.16274316111106,143.49229568282334,B,-40.55346451295448,E,B,C,1
None,Bisexual,Non-Veteran,51-65,B,A,B,A,-54.59679443115856,C,B,E,153.05799930244476,112.35757327783895,D,-102.81740254021791,C,A,B,0
Other,Other,Non-Veteran,51-65,C,B,D,C,38.445714442694644,D,D,B,-139.9056963793117,103.44706622643594,B,-16.357061639705115,A,A,B,1
Other,Other,No,51-65,A,C,A,C,111.48662865780143,E,B,E,-38.54680946390437,-127.26191579540922,A,-98.2384714580879,A,B,C,1
Buddhist,Other,Non-Veteran,36-50,D,E,E,B,-67.7765400726994,A,B,E,88.98763360939427,29.956831089256813,C,-83.30996350779705,C,B,D,1
Christian,Other,No,26-35,B,E,D,D,15.32422697267018,C,D,E,-80.09182244815176,-78.71400425083542,A,-83.94139625340979,B,C,A,1
Christian,Homosexual,Veteran,18-25,B,C,B,E,-82.31113184160718,A,E,B,65.89325888379204,-179.66784791065447,D,248.14269560830064,C,D,A,1
Jewish,Other,Veteran,26-35,A,C,C,E,196.15262695001567,E,A,C,-22.654117908991704,15.841407081376586,E,43.58227852084642,A,E,B,1
Hindu,Other,Yes,51-65,C,D,B,A,42.216854216338525,A,B,D,-34.63916842690246,-31.939784098174258,A,-24.00759579789368,A,C,B,0
Muslim,Heterosexual,Veteran,18-25,E,B,C,A,-116.31539001623239,C,A,C,13.892256786987623,-15.583647548714541,C,14.505097973676245,A,E,B,1
None,Heterosexual,No,65+,C,C,D,B,82.13262552335864,E,A,C,-129.35804042405425,-34.15262288970759,A,-96.61346481276195,D,C,C,0
None,Bisexual,Veteran,36-50,B,C,D,C,-65.6745372326341,C,B,B,13.048202388484304,-116.61528513464958,C,-62.888136412115834,A,B,B,1
Muslim,Heterosexual,No,26-35,B,B,C,E,49.24439793791955,E,D,D,-101.80899463387325,16.670589246413684,B,207.57938301379477,E,D,E,1
Jewish,Other,Yes,18-25,C,D,D,A,-133.6101589182202,B,E,C,-15.711658118787113,-99.25544879674804,D,120.99945432422419,B,A,D,0
Hindu,Other,No,26-35,E,E,A,D,17.07485600819143,E,B,B,0.7308956769128867,-97.60497347431858,C,273.23319104096146,C,D,B,1
None,Bisexual,No,36-50,E,E,E,E,-17.887920515558577,E,A,C,15.688352488394703,143.17789449837068,D,34.12624579690423,C,D,D,0
