married,feature_0,feature_1,feature_2,feature_3,feature_4,target
Married,C,B,D,B,-40.412773764405586,0
Divorced,C,D,D,A,-136.7792403918184,1
Widowed,B,D,D,E,63.75481355219406,0
Widowed,D,E,D,D,-264.3946521947802,0
Divorced,D,A,E,C,23.784812027815622,1
Divorced,B,A,A,D,-135.67394075320033,1
Married,C,D,D,E,-146.12160164740857,0
Single,D,C,C,D,-0.5587358053330297,0
Widowed,B,D,D,C,98.3565501653872,1
Widowed,B,E,B,D,-111.07769934521126,1
Single,B,D,E,E,-72.10825165162692,0
Single,A,A,E,B,3.497270366134639,0
Married,C,D,A,C,4.4323201950270885,0
Widowed,B,A,D,B,-25.951524851289015,0
Divorced,D,A,B,C,-5.3522897776861,1
Divorced,A,A,A,B,-39.77839237315177,0
Widowed,C,A,D,E,109.85713833547666,0
Married,E,B,D,E,-113.66932024016603,1
Divorced,A,D,E,A,9.274965658310531,1
Widowed,E,B,B,E,180.14437481269547,0
Married,A,A,A,D,-60.029208744138366,1
Single,A,D,C,D,76.62748096519934,1
Divorced,D,A,A,A,6.850061243554503,1
Married,B,D,C,A,-2.552788552311156,1
Single,D,D,B,D,86.08989489714455,0
Widowed,B,C,B,E,-27.129868484557928,1
Single,B,D,D,C,181.15621647333612,0
Widowed,A,D,D,E,-34.22787655689585,1
Divorced,A,D,E,B,68.78266936355163,1
Widowed,B,C,B,C,-15.950288363334705,0
Single,D,D,A,E,156.31753228665107,0
Widowed,A,C,B,D,-165.86589169189975,0
Married,D,A,C,D,-190.92308927043368,0
Single,D,B,A,A,-8.98943459525253,0
Widowed,B,E,A,B,-40.69715368521131,1
Single,C,B,B,E,30.969221400804148,1
Divorced,C,A,B,C,138.27554365417868,0
Single,D,D,D,D,128.83744387142323,0
Widowed,B,E,D,B,-140.0874935294797,1
Single,E,E,A,C,-50.216135689492205,0
Widowed,B,A,C,B,50.96571006883986,0
Widowed,C,B,D,D,96.31497303338372,0
Married,D,D,A,D,34.64447314924416,0
Married,A,E,D,C,-46.256115973296545,0
Married,A,E,C,B,-40.31577066583978,0
Married,D,A,D,E,93.6737192269952,0
Divorced,D,B,E,B,-62.75028283556118,1
Single,B,C,C,A,-143.424168582994,0
Divorced,E,A,E,B,13.516877214275933,0
Divorced,E,D,D,A,156.25038346973375,1
Divorced,C,C,E,D,74.14728300776716,1
Widowed,A,C,B,C,-85.20977469361691,1
Single,E,A,E,B,78.13714889397886,0
Divorced,E,D,A,B,72.75839611055012,0
Widowed,A,C,B,A,40.191445149885595,0
Divorced,B,A,E,A,-54.380886959408315,1
Widowed,B,C,C,D,-27.36800550142328,1
Widowed,D,D,B,B,104.63954231878037,0
Married,A,D,A,C,-160.7949600499315,0
Married,B,E,A,D,-31.361938231708898,1
Widowed,C,B,C,B,85.6235639154425,1
Divorced,A,A,A,D,57.57504606285475,1
Widowed,A,D,A,B,5.176663541755434,0
Divorced,B,B,D,A,55.6032149679759,0
Married,B,C,A,C,-2.677216541824362,1
Married,A,E,E,A,-126.95971229301976,0
Married,E,D,B,B,-40.77581240958402,1
Divorced,C,B,B,B,-65.0898028280607,1
Divorced,A,A,A,E,136.914013938144,0
Married,C,A,A,A,-105.96490140993527,0
Widowed,C,A,B,A,-65.77558740188135,1
Divorced,C,A,E,D,224.95036350000404,1
Divorced,A,E,D,A,61.051888057687705,1
Married,E,C,E,B,14.821720473866016,1
Widowed,C,A,E,A,74.08414960187054,1
Widowed,D,A,A,E,217.33319584250933,0
Married,C,A,B,E,-48.99064555381462,0
Single,C,B,B,B,51.584204857196546,0
Single,D,E,E,E,-106.54162629745758,1
Widowed,C,D,C,B,24.29865079473877,0
Widowed,A,B,E,B,-20.056753189553355,1
Widowed,A,C,D,E,182.45055590505478,1
Widowed,E,C,B,A,-53.246292343006814,0
Widowed,A,E,C,D,-15.100773712256569,1
Widowed,A,E,A,A,-32.17908145774305,0
Married,B,E,A,D,-15.855143053005413,0
Married,E,E,E,C,-11.718081450522583,1
Divorced,D,C,E,D,30.65691708650302,0
Widowed,E,D,A,B,199.59456692911294,1
Widowed,D,D,B,A,20.410487975254142,0
Widowed,C,A,E,C,-84.23783380143269,0
Widowed,D,B,B,C,-8.384591995974942,1
Single,C,E,D,E,-12.667520969775472,1
Divorced,C,D,E,C,-33.7203568999915,0
Divorced,E,A,C,B,47.48245429808936,1
Married,A,C,B,A,-93.91346573050373,1
Widowed,B,E,A,C,35.67830263242186,0
Married,E,E,D,A,44.62113034419362,1
Widowed,E,E,A,E,80.36476410938003,1
Single,A,C,D,C,197.04822618911885,1
Divorced,E,D,E,A,136.41108104413289,1
Married,D,C,E,D,13.06222197302104,0
Married,A,E,B,C,-93.72986003529668,0
Married,B,B,C,A,-113.89061181261633,0
Widowed,B,A,E,B,-99.43772627549643,1
Married,D,B,A,D,-97.5123639813021,1
Single,A,D,A,E,133.72963412000152,1
Widowed,E,A,D,D,-166.50726425072352,0
Married,C,A,B,A,206.080640285882,1
Single,B,D,C,D,60.14984523760788,0
Divorced,E,B,A,C,-74.25166847600944,1
Widowed,C,B,D,E,49.09999932677192,0
Married,A,B,E,B,-142.3279957881691,0
Married,B,D,C,C,-12.308335727857715,0
Single,D,A,D,B,3.135161305221463,0
Divorced,A,C,B,B,-142.76425344061266,0
Widowed,D,C,D,C,-70.14275855800662,0
Widowed,D,C,C,C,-32.232002343869695,1
Single,D,D,C,B,-80.49577519358205,1
Divorced,B,B,A,E,-97.7130994742443,1
Divorced,A,E,E,A,33.841366092086275,0
Single,C,A,E,B,14.76659620926852,0
Divorced,E,E,A,B,156.3026267139405,0
Married,B,A,D,A,-136.02477878061674,0
Divorced,B,D,B,C,122.30719915427007,1
Divorced,C,A,D,A,-44.330647908087855,1
Widowed,D,D,C,E,-179.17385000855938,0
Divorced,D,B,A,A,34.3103473598962,0
Married,B,B,B,D,49.888861432890906,1
Widowed,D,E,D,C,-16.77212473159321,0
Married,A,E,E,D,84.81619340388187,1
Married,D,E,B,A,-93.52800744213489,1
Divorced,E,C,E,D,52.05858888436546,0
Widowed,E,B,A,D,-38.52792356908408,0
Single,E,C,E,D,-23.594241306648065,1
Single,A,E,B,E,34.151443569644016,1
Divorced,A,C,A,A,110.07635180230537,0
Single,E,B,B,B,109.54971885859415,1
Divorced,D,E,C,E,-20.43538646358153,1
Widowed,A,E,B,E,-63.004031141109586,0
Divorced,A,C,C,B,101.98606686547294,1
Widowed,A,D,B,B,-155.18058565194656,0
Divorced,E,B,D,A,24.567580246018693,0
Single,C,C,B,C,-120.59665231622031,1
Divorced,D,E,B,C,-23.682832029681116,1
Married,E,C,D,B,90.9401676727295,1
Widowed,A,B,C,C,21.921518059426454,0
Married,D,A,A,A,56.90137358928647,1
Single,D,A,C,E,-113.82596422659235,1
Married,E,D,D,C,-188.82804470075868,1
Divorced,A,D,C,E,-18.553047997497263,1
Divorced,B,D,B,D,97.29047527711833,0
Married,D,A,B,B,18.293577047157395,0
Single,A,B,B,B,102.58068732335292,0
Single,A,B,D,E,101.15587621360203,1
Divorced,D,E,D,A,-99.95311418500505,0
Widowed,D,A,D,A,-33.610514842510206,1
Married,A,A,C,E,-81.49428764927796,1
Single,A,B,C,C,-98.00114703035109,1
Widowed,E,B,C,D,-135.53745299985692,1
Single,C,D,D,A,-79.97399394184403,0
Single,A,A,D,E,-28.127281631972668,0
Married,E,E,C,A,92.26623200763686,1
Widowed,A,A,E,A,85.8487736458996,1
Married,B,A,E,D,66.69546765200327,0
Widowed,E,B,D,A,12.700675243222182,0
Single,B,C,E,D,-8.931625447375389,0
Married,C,B,E,D,-50.4043460647317,0
Widowed,E,C,E,A,-24.131056374057195,0
Married,D,C,C,C,-302.81622046051893,0
Widowed,D,E,A,E,166.1478214056837,1
Single,E,A,E,D,189.55023239114993,0
Divorced,D,D,E,B,-148.26855574344881,1
Divorced,C,B,B,A,33.15279235018478,0
Widowed,B,D,A,E,2.2626347459584983,0
Divorced,C,B,D,C,52.42835744622004,0
Married,C,E,A,A,14.699439002491271,1
Married,C,E,C,A,245.94416073081558,1
Single,D,A,A,A,41.79828978574237,1
Single,D,A,A,E,90.60527943395643,1
Married,D,B,D,A,-198.96931475102286,1
Single,C,A,C,C,-31.51265496744447,1
Single,B,B,D,B,168.9853900464802,0
Divorced,A,A,B,C,27.774803273070763,1
Widowed,E,A,A,E,201.72551316321704,1
Divorced,C,D,B,E,-112.15485916850787,0
Single,D,C,B,C,-85.77691627167466,0
Married,A,C,E,D,9.308079749974524,0
Single,E,A,B,E,-76.83597932487301,1
Divorced,E,A,A,E,88.33174860628986,1
Single,C,D,A,E,-131.50908667941857,0
Married,B,A,A,B,-242.0216952621017,1
Divorced,E,B,E,C,185.78784645513272,0
Widowed,E,A,A,D,-13.991872578160294,1
Widowed,D,A,C,A,22.51801537381178,0
Single,E,A,C,B,184.55581993007706,1
Married,C,A,C,A,-63.843779009094895,0
Divorced,A,B,A,B,110.45777713194929,0
Single,E,B,D,B,-14.310873007983577,0
Divorced,C,D,E,E,56.85109876341695,1
Single,A,A,C,E,80.07163523072747,0
Divorced,C,C,C,C,-13.587829517969405,1
Divorced,E,C,B,C,-20.179065573326493,1
Single,A,D,B,A,43.71385777853615,0
Married,E,E,C,A,21.80423352710039,1
Single,D,B,C,D,55.67078352879379,0
Divorced,A,E,E,B,-199.22572487805755,0
Widowed,D,E,C,B,173.26675892930243,1
Divorced,D,C,C,D,-4.459779048655246,0
Divorced,D,A,D,E,-64.92337748807499,0
Married,A,E,A,D,-26.13558515240474,0
Married,B,C,C,C,-31.99007148849659,1
Married,B,B,D,E,106.29177840236561,0
Married,B,B,B,D,78.55790713514189,0
Divorced,C,D,D,B,-17.352450564217115,1
Widowed,B,A,D,C,-22.136491398571902,0
Widowed,D,E,A,E,100.62660101896401,0
Single,B,D,E,E,-31.768593252933858,0
Divorced,B,D,C,E,99.27739858383349,1
Widowed,E,A,B,E,11.831092230588405,0
Divorced,D,D,A,E,-36.130748017764134,0
Divorced,B,C,E,E,7.401805675263011,0
Single,B,B,C,A,297.24415270932246,0
Married,A,D,C,D,-123.85149126140985,1
Divorced,B,D,B,C,188.40948103231543,1
Single,E,B,D,B,-10.389379783584433,0
Divorced,B,D,D,E,-77.60448308448174,1
Single,E,E,B,D,-87.02346733879213,0
Widowed,C,D,E,E,59.058300313568694,0
Widowed,B,A,A,A,-11.479522797026338,0
Married,C,D,A,A,-150.7838861369006,0
Widowed,D,E,C,E,61.876950084795304,0
Single,A,C,E,A,42.273822960084786,0
Married,D,E,B,B,-64.59479929031183,1
Widowed,E,B,A,A,53.17537570513221,1
Divorced,A,E,C,C,-29.436810080234864,1
Married,C,A,D,B,-143.90407287350982,0
Single,B,B,C,A,-129.0120879894996,1
Divorced,E,A,D,E,-81.92980221676318,0
Single,C,E,A,E,151.32295979905317,1
Married,B,D,C,C,81.52056012317009,0
Married,C,C,C,C,-5.149256589273975,0
Widowed,A,D,E,B,-21.305369937690045,1
Married,B,C,C,A,173.55902725555808,0
Divorced,A,A,A,A,-42.25206986906767,0
Single,A,E,C,E,-10.416544101686963,0
Divorced,D,A,D,A,75.64442510375007,1
Widowed,D,E,B,A,-65.00394641270908,0
Married,B,A,A,D,-150.29427862346486,1
Widowed,A,B,E,B,-145.51732850096823,0
Widowed,C,C,D,C,67.79370553706585,0
Widowed,D,A,A,D,70.01750942271143,1
Single,B,B,E,A,-37.86279137717587,0
Single,C,B,A,A,-61.334066119451215,0
Single,E,E,A,C,-162.33582003231686,0
Widowed,C,B,B,C,-106.29339929407723,1
Divorced,B,B,A,B,-42.4404421283844,1
Divorced,C,A,A,C,-127.78637367240313,1
Divorced,A,E,A,C,-0.7958814508247712,1
Divorced,C,E,C,E,-74.55993592663786,1
Widowed,A,C,A,A,35.60395057791289,1
Widowed,A,E,E,D,98.18972508297806,1
Divorced,A,A,B,C,28.85435926377658,1
Divorced,B,D,C,B,121.05759419610874,0
Widowed,A,C,C,E,104.21627468930824,1
Married,B,B,A,D,25.234040332978815,0
Divorced,C,B,A,A,10.562855390069053,0
Divorced,A,B,B,B,-15.379846632973853,1
Single,D,A,D,B,-99.45894746795175,0
Married,B,C,E,B,-23.1558471208943,1
Single,B,E,A,B,-36.809885751913946,1
Single,D,B,D,B,8.237977063081416,1
Married,D,B,C,E,-50.50191833673993,1
Married,E,D,A,A,-15.55205066367368,1
Widowed,E,A,E,D,60.331781517243456,1
Single,D,C,B,D,145.90068254709556,1
Married,B,C,B,E,121.54449073270102,1
Divorced,B,A,A,E,-123.77153651443436,0
Married,D,A,E,E,-83.26010261948403,0
Single,B,E,C,B,-55.86636903608524,1
Widowed,B,E,E,E,-10.56304621922625,1
Widowed,E,E,C,D,-78.74270351099383,0
Widowed,D,E,C,E,11.812987503096442,1
Divorced,D,B,A,B,-25.071080540523027,0
Divorced,E,C,E,E,30.26634673626768,1
Widowed,D,D,C,B,111.41906643665006,1
Single,C,C,A,C,116.51070907463115,0
Widowed,D,A,C,A,54.65351731773711,0
Widowed,B,D,E,A,-46.95575983244654,1
Widowed,C,D,A,A,-183.87295412004178,0
Widowed,C,A,C,E,-2.8248711748739477,0
Married,B,A,D,B,5.229972970338595,0
Married,C,D,C,A,-16.65482426926498,0
Widowed,E,C,A,A,12.861311600301073,0
Single,B,C,D,B,-62.313133157209386,1
Single,A,B,C,A,-72.11570181167815,0
Married,D,B,E,A,-21.16176916275792,1
Married,C,E,E,D,-23.138883943467995,0
Married,C,D,B,C,-70.14439812340952,0
Single,D,E,E,A,16.895036584984766,1
Divorced,D,A,B,A,-3.893093245887829,0
Widowed,D,A,E,D,206.74008172697117,1
Married,A,B,D,B,-15.649306220467457,0
Divorced,C,C,D,D,-208.90234558992776,0
Widowed,A,A,C,E,-71.54898118317315,0
Married,A,C,A,A,-121.01456468568674,1
Widowed,C,B,D,C,-24.97387126360348,0
Widowed,D,A,E,D,40.209903408469025,1
Single,D,B,E,E,-76.92990017067119,0
Single,C,B,C,E,13.992107892735293,0
Widowed,B,A,E,C,-55.60540016760767,1
Married,C,D,E,D,23.873241626810003,0
Married,A,E,D,B,-207.36073349462023,1
Widowed,E,C,B,E,-14.906411213739629,0
Married,B,E,D,E,33.98864442309417,1
Married,E,E,C,B,159.5682123359834,1
Widowed,D,C,C,E,7.056982414138932,0
Divorced,E,B,D,A,-50.04966236892767,0
Divorced,D,C,B,D,81.42533604008068,0
Single,A,C,A,C,-61.539338900031545,1
Married,E,E,C,E,-16.66263619733968,1
Single,A,B,E,D,-165.10755087106685,0
Married,B,A,E,D,62.19864727912079,0
Single,D,B,A,D,-101.4472889130302,1
Single,E,C,E,D,66.93102453012357,1
Married,C,A,A,C,-56.95950756289109,0
Single,A,C,E,C,138.79015683601563,1
Divorced,D,A,B,A,-96.41606905094127,0
Divorced,C,C,C,A,-109.07727163769034,0
Married,D,C,B,D,-252.2646571615235,0
Widowed,D,E,C,D,-14.848985369335956,1
Married,E,C,B,E,-21.34153859058829,1
Divorced,D,B,C,D,107.91603625623442,0
Widowed,B,E,E,A,-129.3882238598801,0
Divorced,A,E,E,C,84.40025093124139,0
Married,A,C,A,E,-111.51684327297897,0
Widowed,C,E,B,A,-110.64507799758307,1
Widowed,A,C,C,D,-88.60097558062238,1
Widowed,D,E,A,A,8.694353194999135,0
Divorced,A,E,D,D,208.07814835916716,1
Widowed,E,C,A,C,-54.13088920993071,0
Single,A,A,B,A,-300.7618731427564,1
Divorced,A,A,E,B,53.949404035405045,1
Married,C,C,A,B,-47.00974087473874,1
Divorced,D,C,E,C,-115.78738889147071,1
Widowed,B,E,C,A,1.0548968515329085,1
Married,C,A,B,D,48.33767764675941,1
Widowed,C,C,C,E,35.17460232020442,1
Married,B,B,B,C,-154.7412574291038,1
Married,B,D,D,A,26.726942630503718,1
Married,E,B,C,B,48.1996557637364,0
Single,D,C,A,C,80.70133091362604,1
Single,E,B,C,E,145.14270775260852,0
Single,B,B,E,D,-127.01985035149161,1
Divorced,D,D,A,E,-4.773418698900712,0
Married,D,D,E,A,-91.55658818632882,1
Married,D,D,C,B,-87.00231549689413,0
Married,E,B,B,A,-23.31647512997664,0
Married,D,D,E,A,-51.34350221656434,1
Widowed,C,E,B,C,-227.23297645771905,0
Single,B,B,E,C,-72.43996347774781,0
Married,E,D,B,E,-89.43256894926316,0
Widowed,C,C,D,C,81.18002005733534,1
Married,A,A,D,E,103.82191655258903,0
Married,D,B,E,C,-28.957435808597626,0
Widowed,B,C,C,B,-163.36030419928105,0
Married,E,D,B,E,-36.74374055770691,1
Married,A,A,C,A,92.27390871724783,1
Married,D,E,E,C,15.247824490590233,1
Single,C,B,D,C,26.996407364855262,1
Divorced,A,C,E,E,-85.47456683719206,1
Single,B,C,B,D,-51.494045613983786,0
Single,D,E,C,B,104.81154223107228,0
Divorced,A,C,B,C,41.57554189624826,1
Single,E,E,D,C,74.65337249804692,1
Married,E,C,E,A,130.23023026161678,1
Widowed,E,C,E,C,-10.155284500820489,0
Widowed,E,D,C,E,15.832960222157281,0
Widowed,D,E,B,A,55.90256677021374,0
Married,B,B,A,D,-137.8614021706971,0
Single,B,E,A,C,87.50692168054277,1
Single,B,A,A,B,210.19744281379423,0
Divorced,A,D,A,E,54.68804405063844,1
Married,A,A,E,C,26.651201895612132,1
Divorced,D,D,E,D,43.225096757897234,0
Divorced,C,D,A,B,33.3701891021738,0
Divorced,C,B,B,E,-169.8266749822188,0
Married,E,E,D,D,-20.718242237980064,1
Widowed,A,A,A,A,-80.35193621547822,1
Divorced,C,D,D,D,50.160032647669986,1
Divorced,B,A,B,D,45.624598012692104,0
Widowed,B,E,C,C,-85.07544736018643,0
Married,A,C,A,A,70.57729576615134,1
Widowed,D,D,A,D,-86.34782177942853,1
Widowed,E,B,E,E,64.59584535933239,0
Married,A,D,C,E,41.82353305993414,0
Widowed,E,C,E,B,-131.56829583799595,1
Married,E,E,A,D,191.99647152681413,1
Married,C,B,A,E,-81.89397570991021,0
Widowed,C,C,E,D,-83.51036912949067,1
Widowed,E,E,B,A,94.41884325531184,0
Widowed,E,D,B,D,-258.9083062268602,1
Single,C,C,E,E,-160.21118178194882,1
Widowed,D,D,D,D,-40.71498766569933,1
Single,E,B,A,A,-12.524205637626052,0
Married,B,E,E,C,81.5380533871068,0
Widowed,E,D,B,E,116.85826484417379,0
Divorced,B,D,C,E,-29.29105668881603,1
Married,D,D,D,E,38.26295626534735,0
Divorced,D,D,B,C,-119.20145306600958,1
Widowed,A,B,D,A,-58.3826487181886,1
Single,A,A,B,B,37.132868263852636,1
Single,C,D,D,C,4.723480321178823,1
Divorced,E,C,B,E,90.53938127088475,1
Divorced,D,D,C,A,-128.5469207687174,1
Single,C,C,A,A,124.0324737177541,1
Widowed,E,C,C,C,59.54984983969197,1
Widowed,A,A,B,E,-7.945149039316117,0
Divorced,C,E,A,A,-95.31031705348315,0
Widowed,A,A,C,D,146.47348851615456,0
Single,A,C,E,B,8.215978189814399,0
Married,E,D,D,B,282.84364418508693,1
Single,C,C,C,D,-47.42867103415308,1
Widowed,B,D,D,A,-13.52002117143774,0
Married,C,B,A,A,15.445250230384117,1
Divorced,E,B,C,E,-150.31502202114646,0
Single,E,B,B,B,22.55840636476807,1
Married,B,B,C,B,42.4964373269125,1
Widowed,A,C,D,B,77.97651566278375,0
Single,E,B,A,E,43.89668586884381,1
Married,A,C,D,B,-90.53852918243597,1
Divorced,B,B,D,A,-50.98563361809766,1
Single,A,E,D,E,38.94152330875261,0
Single,D,E,C,D,53.35082516077063,0
Single,B,D,B,A,96.12585509880181,0
Widowed,D,B,E,D,171.42489653267856,1
Married,C,C,C,C,35.1506179574906,1
Widowed,B,C,A,E,165.20668039156868,1
Widowed,D,E,E,D,73.78749980924853,1
Single,C,D,B,C,-73.44204585052535,1
Married,B,C,A,E,-32.80046646804089,1
Divorced,B,D,C,E,-35.139695206223735,0
Divorced,D,D,E,C,-101.70858705892125,0
Single,A,D,D,A,44.00814022279875,0
Divorced,E,B,C,D,203.3041831825459,1
Divorced,D,D,D,C,-6.116444864982007,1
Widowed,B,D,B,C,137.15091033488505,0
Divorced,D,A,D,E,-103.98134820928134,1
Single,C,E,B,D,-29.908071185343836,0
Widowed,B,A,C,A,112.19169521161534,1
Divorced,B,C,A,A,-10.087934064542832,1
Widowed,D,E,A,E,28.809149403941152,1
Widowed,D,E,E,B,2.967222379074492,1
Widowed,B,A,B,C,-109.1160678988915,0
Divorced,C,E,B,E,104.56878203034799,1
Divorced,A,A,A,C,73.03290889463295,1
Single,A,E,D,A,88.53773864969085,1
Divorced,E,B,E,C,30.301344890089034,0
Married,E,C,A,A,-4.104587021260659,1
Single,E,D,D,D,94.56381165934596,1
Married,C,C,C,C,65.00719497411367,0
Divorced,C,E,B,C,-14.190808954056944,0
Widowed,C,C,D,C,65.35812087317159,1
Single,D,C,C,B,-73.6800794057545,0
Widowed,B,D,E,B,60.40980931056765,0
Divorced,E,C,E,E,-90.89267054398938,1
Single,C,C,E,C,-28.23778963770327,1
Married,A,C,E,D,12.527491867970378,0
Single,B,A,A,E,-72.55160814276634,0
Single,D,A,B,A,-121.51496400031441,1
Divorced,C,E,E,E,113.99519686022555,0
Divorced,C,C,D,E,-71.84377276898557,1
Divorced,E,D,A,C,0.11438801811361901,1
Single,E,B,A,D,24.62702548085236,1
Married,C,A,B,C,100.72129802350942,0
Divorced,C,C,A,D,-42.95615916249504,0
Single,B,A,A,B,21.20992227025605,0
Divorced,E,A,D,E,177.37826178513464,0
Married,C,D,C,A,-26.450340182978955,0
Single,B,A,A,C,35.638990749392704,1
Divorced,E,A,D,C,81.49482104940724,1
Single,C,D,A,A,-60.00502107900867,0
Widowed,C,A,D,B,-56.01792288594753,1
Divorced,D,C,E,B,-147.61035508161814,0
Divorced,C,B,A,C,-55.36964032340822,0
Divorced,A,D,B,E,23.027971509018222,1
Single,C,E,D,A,76.67777677718365,1
Married,A,E,A,C,75.84522738318952,1
Widowed,C,D,D,A,-154.9648109135952,0
Widowed,D,D,A,E,-36.51605688859691,0
Married,B,A,C,D,-159.5317891102643,0
Divorced,C,C,A,E,-26.38312870989822,0
Married,D,A,D,A,-104.59600999603073,0
Married,D,C,E,A,65.39255586360683,1
Widowed,B,E,A,C,-99.4326290467905,0
Divorced,D,A,E,C,-49.175923960458256,0
Widowed,A,B,A,D,171.23862734206418,1
Widowed,E,E,E,C,-87.16069797670377,0
Divorced,E,B,A,D,150.79825699416767,1
Widowed,B,A,A,A,-18.599048984229558,1
Married,A,A,E,D,-20.60672101548407,1
Widowed,A,C,B,B,-63.47132276045482,1
Single,C,B,C,C,52.71031480362331,1
Divorced,E,B,A,C,211.7911491264854,0
Divorced,D,B,E,B,6.313183085859141,1
Married,A,A,E,D,-114.15922438852934,0
Single,C,D,C,C,-21.31230968983367,0
Married,D,D,C,C,170.93898475337554,1
Divorced,B,C,B,E,-90.80492436418714,0
Widowed,C,B,D,B,-44.2719875741257,1
Widowed,C,D,E,A,14.383534962336844,0
Single,D,E,E,E,-29.908189546498864,0
Married,E,C,B,A,-133.23242399101102,0
Divorced,D,E,B,E,60.651152464470584,1
Married,D,A,E,B,96.95853905801197,1
Single,A,A,E,D,-131.17718624809203,0
Married,C,A,B,A,121.26748379646341,1
Single,A,C,B,D,-81.6471352183936,0
Married,D,B,A,A,-108.2212154279337,0
Divorced,C,D,B,B,-31.911748513025874,1
Divorced,E,A,D,A,-2.669118938213968,0
Widowed,D,C,A,A,39.39958060520841,1
Widowed,B,D,D,C,7.2101755447024765,1
Divorced,A,D,B,E,-178.07791612641552,0
Widowed,C,E,D,B,-50.16067912588241,1
Widowed,B,C,E,C,-22.75956908200868,0
Married,C,C,A,B,72.9183027706594,1
Widowed,D,E,A,E,-157.6495689023155,1
Married,D,E,A,B,-150.01719318447223,1
Married,D,D,D,D,18.330372731173902,1
Divorced,A,A,E,D,91.32424445079874,1
Married,B,B,C,B,-8.190651933419206,1
Single,A,E,E,D,85.32996612751559,0
Married,C,B,D,E,-112.13539062183766,0
Divorced,B,C,B,C,96.85865190213357,1
Married,E,E,A,C,4.9098926888185055,0
Widowed,C,D,C,C,-232.61026879801074,1
Divorced,B,B,B,E,-42.3855364405653,1
Widowed,D,B,A,C,-28.955243911011358,0
Widowed,C,B,C,A,8.39209749112347,1
Divorced,E,C,C,B,83.68423239836072,0
Divorced,E,B,A,B,-98.21386372904593,1
Single,D,D,B,E,-136.82583950700345,1
Single,B,A,C,E,38.99434968653514,1
Single,E,B,E,E,27.11305052611303,1
Married,E,A,C,D,-65.97738508919701,0
Married,A,A,C,A,20.161131068938833,0
Single,D,B,E,E,-42.09344205838955,0
Married,C,B,A,A,-16.08631684343086,0
Divorced,C,A,E,D,-35.97257564116562,1
Married,C,C,E,E,52.857884631148956,1
Widowed,B,A,C,B,-72.58428276948035,1
Single,E,D,A,B,101.70653543930457,1
Divorced,E,E,C,B,-27.88719157614973,0
Single,E,D,C,B,-17.687974180092784,1
Divorced,E,E,C,B,-49.55014554849833,1
Married,C,A,E,D,-40.37852892512601,1
Married,D,B,A,D,-97.57550128246656,0
Married,A,C,E,A,85.30207000559709,0
Divorced,D,C,E,A,127.61667467233157,0
Married,C,B,C,C,-137.72530917861906,1
Divorced,A,D,D,D,-128.060579900883,0
Single,B,D,B,C,90.6759870257963,1
Married,C,C,B,E,-109.78050035294389,0
Widowed,D,A,A,A,-114.96602089270216,1
Widowed,C,B,E,D,-237.46065803293413,0
Divorced,E,C,B,C,24.647411967040416,0
Married,C,D,B,E,16.740949585142346,1
Divorced,A,E,C,D,-123.50775865015461,1
Single,C,D,C,A,49.656998262110456,0
Divorced,D,C,B,D,-48.649187327944574,0
Married,B,D,C,C,-31.888376946290325,1
Divorced,E,C,A,C,68.21541004920125,0
Divorced,A,C,D,C,-43.61345541426607,1
Widowed,D,A,D,E,-106.8865200903061,1
Married,D,D,A,A,83.78730502977612,1
Divorced,B,C,D,A,-89.10055351732538,0
Widowed,A,B,A,A,-32.00047423074667,0
Single,C,D,E,A,-123.83598026313419,0
Married,C,D,B,A,-92.55676407205907,0
Married,D,B,D,D,104.50310922581107,0
Divorced,B,A,E,E,-42.282393738100346,1
Divorced,C,C,D,B,112.46161665903425,0
Widowed,E,A,E,E,-49.957972418233545,0
Widowed,C,A,C,C,-39.074269317143326,0
Single,B,B,C,C,163.55156663950098,0
Widowed,D,E,C,C,-111.61517135751728,1
Married,B,E,B,C,-188.07397688250512,0
Widowed,D,A,B,E,82.38938662391143,1
Divorced,D,E,D,E,273.83028163443714,0
Married,E,A,A,B,-14.929611530552487,0
Single,C,E,C,D,-11.44879582736056,0
Divorced,A,E,D,D,2.4325306416147647,0
Divorced,C,D,D,B,47.82306593205925,0
Single,B,D,E,E,-62.65351005223062,1
Widowed,C,D,B,E,-133.17237822202733,1
Divorced,C,B,B,B,-23.382167437334083,0
Married,D,D,C,B,4.3253077045445965,0
Divorced,E,D,D,C,-7.478585072434894,0
Single,E,D,B,B,38.776650418938324,0
Married,E,D,D,A,150.44821720601115,1
Single,E,E,A,B,-177.54747287398425,1
Divorced,C,D,A,C,-114.49088795320496,0
Single,B,B,D,C,-79.18714274161196,1
Married,D,D,C,E,178.8970419097851,1
Single,E,E,E,E,-34.00842770581309,0
Single,E,D,D,A,-128.24765510790868,1
Single,C,B,B,A,124.82410970698822,0
Widowed,B,E,A,A,-1.0000877435032178,0
Married,B,A,D,D,-43.95764050120447,1
Widowed,A,B,B,D,13.941087305649985,1
Divorced,A,D,E,A,81.14038358894034,1
Divorced,C,E,E,A,-154.93733332464458,1
Married,A,B,A,E,11.804399805378974,0
Widowed,B,C,E,D,-22.09580830624992,1
Single,B,D,B,C,242.87487000396902,0
Married,D,A,E,A,-5.8150461440110695,1
Married,D,D,C,D,108.22041305205727,1
