nation,religious_affiliation,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,target
Brazil,Buddhist,63.457542180065985,D,D,-20.290951191611885,35.385178995584226,24.389961089317964,E,A,68.43665398332975,B,10.020673552393909,D,1
Brazil,Jewish,62.78215399301724,B,A,66.72280974424953,-94.02354481841145,-345.59359156896835,D,A,69.95018029781914,A,133.46762705801075,A,0
Brazil,None,-30.398898831007465,A,B,49.15723608491957,4.224249264069663,-34.796433450138714,C,B,187.65072032629408,E,115.90740602494651,D,1
UK,Jewish,45.55941393093354,D,E,124.84874078101231,117.36913808373347,102.49146938312323,B,C,30.642488282820306,E,129.73796252695226,D,0
Germany,Muslim,112.04485244265612,C,D,112.4062700427753,137.03811349530847,-19.555617742906954,B,E,110.97057574523517,B,-138.44471051857727,D,0
Mexico,Christian,-21.839335613037722,C,C,-17.722541568706994,79.90117570830205,-120.17112135479537,B,C,-4.819044293183539,A,21.986720881516504,E,0
US,Jewish,-110.17999592089997,B,D,12.751875239289188,142.76223260077506,5.127080094537533,E,D,134.3948419533458,A,73.68853687635357,D,1
UK,Christian,-265.7350356934782,B,C,47.30774632057962,99.57855799944313,-47.39550078152685,D,A,-99.85215065568832,C,22.50321950724684,E,0
Other,Jewish,-48.56799855066493,D,B,147.43290525935885,-201.52972752395078,64.7729111687519,C,B,-21.706638018672457,B,104.4773261754253,E,0
Germany,Hindu,-211.03576440279238,D,A,40.79197076499051,-94.11942484030045,-29.950023227230954,D,D,-13.349085363196245,B,53.828899799202354,B,1
US,Muslim,-3.420627628641537,B,B,-109.42949702081108,-44.164079634421974,20.14119614756072,C,A,127.79194645505565,E,-36.831450938952194,E,0
Mexico,None,-130.54055150921744,E,B,-79.08317189385531,-202.3700383679091,272.9647053479512,C,D,-85.77076082984316,D,-195.69008955210023,D,0
UK,Muslim,27.650830673700312,C,A,210.07565100956816,4.189991688210312,-96.69327343195842,E,E,105.17125782324825,B,86.2963871522407,A,0
UK,Jewish,130.5757320874153,B,A,-5.10409605990119,150.03304930182864,-49.41037209190961,A,B,63.30478161496467,D,-0.08580522033246892,A,0
Other,None,-130.09760763693362,A,C,-45.65545489312668,239.17444986042602,206.6112710078493,E,B,-19.499013959257045,B,-38.815629129984465,B,1
Germany,Other,86.77389288482699,C,D,199.07433786278781,-41.59612676629105,70.97760080520106,E,E,35.112696737863516,C,71.90432716655451,B,0
UK,Christian,-42.17790535249045,D,C,-65.90059955714915,55.65515101442383,54.090984277959194,A,B,-12.24662230504988,B,-77.07277753632056,E,1
Mexico,Other,-109.8747821346139,B,D,40.43736653689358,-55.02001372586351,36.20357218602971,A,D,-77.36440462504105,D,-63.62002904875752,D,1
US,Jewish,-44.363284316382426,E,D,-50.13476912065128,-184.44718398829883,-131.2485775302242,D,D,-11.35865159288561,A,98.19725813114042,C,1
Germany,Buddhist,-47.117430109126616,D,E,16.743077752772024,-1.6050700713982384,30.875488631383234,A,C,5.408872547025532,A,81.41536555651288,C,0
UK,Hindu,189.74322255378038,D,D,-36.862326591259524,-163.59181839954047,99.72741003288137,C,B,59.73372018845793,D,24.420325323612737,D,0
US,Hindu,-69.36108541722783,C,A,-59.72983113305405,-49.673358381622386,290.975132365924,D,A,18.02201457115925,E,149.21458236967976,D,1
Mexico,Jewish,224.63826219665228,A,C,-129.09670451129335,-35.469106239733385,-39.99615837708197,B,E,-72.73438308583324,A,65.2912966127941,C,0
Other,Hindu,4.580172244635589,A,A,1.5896058847685641,87.96846265000046,117.96032586446792,D,B,-15.249014266408514,C,-25.804086930912984,A,1
India,None,-50.2987869740667,E,D,-149.19750031554202,83.46142243119684,-120.52982972545809,D,B,-39.59860582313844,D,-28.102113462488898,B,0
UK,Hindu,-51.666801559498964,B,C,-106.66520591020048,203.9807101056002,48.64153503858134,E,E,-158.69062736782703,C,70.0054748619324,A,0
Brazil,Muslim,-94.17339239933607,C,A,-116.74866213023931,32.36570093672712,-17.376278101375515,D,E,-29.436778705261435,B,139.37864619182244,C,0
China,Christian,-191.91792618640085,D,B,80.3072513156267,199.74408260286128,104.97760737505293,E,D,-113.53928713889117,D,37.069149485344845,B,1
Other,Other,72.65172270801958,A,C,10.146433106825715,56.83691575717443,128.33153680029932,B,B,-10.612318645853009,E,3.4907332387818126,E,1
US,None,-37.02908462061724,C,E,63.61236060140004,48.67403672903347,80.96995993578344,B,D,220.38072458351405,B,-77.20273444833745,B,1
UK,Jewish,171.85660274360026,E,D,-125.70999461709667,-226.3642559489277,85.94373947855132,D,C,-62.843113292366546,B,-95.30627137595788,A,0
Germany,Hindu,-196.11540735225026,E,A,-98.63824102377325,62.94318552006503,-30.50024959820447,B,B,79.71242501750308,E,151.44354884259522,A,0
India,Hindu,98.86457055643379,D,A,-82.68800376695398,14.493318404622052,28.866649784009557,C,A,-252.83333340466837,B,-129.6770931575893,E,0
Brazil,Muslim,93.64280210243153,E,D,-22.92760091317649,-130.17889127463937,-59.97488144018225,C,D,-131.6070488158823,E,-149.97469163210903,B,0
India,Jewish,40.67570619623921,E,E,-187.92464023844963,36.70686386061236,105.01605522913154,D,D,151.58311022026362,E,170.12550232819103,C,0
US,None,-22.515719988187605,A,B,107.58072107308413,58.54793521533854,-0.7405150958770101,E,E,50.43306656195726,A,41.52258718874178,D,1
Other,Other,-183.0365335018077,C,A,-70.56674858558392,-83.55461353594026,53.8635643009244,C,C,-112.46451287971068,D,-15.14440673768885,A,0
China,None,-115.68342462135892,B,D,-33.08716793991838,122.6361682590056,68.18058101594329,B,C,21.251245304619374,C,-12.275746622114475,D,1
Germany,Christian,-91.96325938642438,B,C,159.89470487149833,90.53923871975375,-62.135340973614376,A,A,-151.6635545036114,B,2.8360894972815793,A,0
US,Hindu,243.83476978767987,B,A,37.90808429203148,-122.22816702694861,26.246411214070047,A,D,4.688596707745883,A,-118.14115723025309,D,0
Other,Other,158.6266180512025,B,E,7.065031351601409,-89.12320239437508,104.13619325859665,B,A,-132.9230231695095,D,-100.20954764222942,A,0
Brazil,Christian,-175.20751449422698,B,E,136.14460187398208,82.87828556994292,3.9572599133650472,D,D,146.68572758098978,D,-22.02149055294412,A,0
Brazil,Hindu,156.90972789462376,A,A,21.363718342959764,151.69277578047337,43.08258012423168,D,D,5.983348695326313,A,106.40679209520414,A,1
Germany,Christian,-66.73914396927462,C,D,-69.52798533134207,-123.29593437888755,68.60783948599484,C,E,-152.3415235775264,A,11.754453787375697,E,1
Other,Buddhist,-62.89231779830084,C,D,50.420606801465375,58.97367572153729,65.22253858398142,B,A,3.6550544107168874,C,-63.31291385142617,B,0
Germany,Christian,-15.656523729679133,C,B,-55.21353377954439,-43.36058408571937,-214.3624493856408,C,E,16.281589314071635,A,-137.82735475440936,E,0
Brazil,Other,-54.416305123280104,A,C,-80.13249448298338,18.91144485367172,-62.427099661609084,B,E,8.876185140495314,D,-52.94590188950568,A,0
US,Jewish,38.5592069468841,C,D,14.612933149349011,-59.280102714809665,0.8045242781232026,B,A,-77.81891945374039,A,-61.82649610103979,A,0
UK,None,24.845230820976816,A,D,23.06771164931677,24.807870512479198,200.94486498754551,B,D,-112.54223301826558,C,217.56648820075378,B,1
US,None,77.52139897031059,D,D,-41.6343016940608,8.196724002168185,124.73890768249738,C,A,218.7607393463613,A,106.57503003280921,D,1
Brazil,Other,85.0943849960477,D,D,29.924792274870367,20.57151510986698,-75.65449974320839,B,B,-80.34062564869363,E,81.37637632669578,B,0
Brazil,Jewish,194.4578970650854,B,E,-186.0740897024606,-34.06566236967065,-60.35356284669102,E,D,57.9344675575911,D,51.5829845670713,A,1
Other,None,-89.679098454541,D,B,156.8063963532254,221.62472988627323,-6.589853516323749,B,B,39.135944908676215,B,-229.74136461073917,A,1
Other,Muslim,95.77962439553839,C,A,2.425873296243805,18.962862491949455,131.23407884942267,C,B,14.04357932008633,E,18.018368916406704,D,0
UK,Muslim,-89.49520140997816,C,D,-92.07044739215105,-37.46864853803727,36.82325472704308,D,A,-18.11841174230146,E,-59.27180467257037,B,0
US,Other,112.88099558828134,D,E,47.41722369419822,-51.77732605051252,49.22401095994913,C,D,-56.688463150009916,C,31.126559918365864,D,1
Germany,Other,1.7424944306114563,E,C,-135.6176496230701,-58.692381201402654,-186.9731307448365,D,B,-101.87788292965358,B,142.22888545722128,A,0
Mexico,Muslim,54.027377031373746,E,B,-86.53896920963497,-141.65933134987884,23.282734511315283,C,D,-27.43283758265943,A,125.87466911346603,B,1
Mexico,Other,-209.15664515627927,D,A,142.20333105728213,148.60983854774508,-2.272824590558307,A,B,142.21552786517907,B,-38.8189506601839,A,1
Germany,Hindu,46.535880171569474,E,A,-131.05909036090867,-185.39523428467902,-200.79463648438275,E,B,2.988938376574524,A,-67.42004634629892,D,1
UK,Muslim,-70.1344119380814,E,C,-62.02505845829451,42.604246205892196,-26.072824315579467,E,C,24.42192518016066,E,123.34643368492888,C,1
Other,Hindu,61.82887894932498,A,B,-145.65454629155312,44.68664841867209,101.26718259517614,D,A,35.32599731186127,E,37.02527484847615,C,1
Other,Hindu,-149.92147323196085,E,D,57.40723659697091,51.62926805500078,-28.089766434149233,E,D,59.94591446289931,E,-97.69743302445468,B,0
UK,Buddhist,-243.4741572059636,B,C,-46.625361323519094,19.686383256895365,44.01466787735574,E,D,-70.49782608046215,E,45.525273892658866,D,0
Mexico,None,-92.37297476342981,D,D,-133.10875127574892,-37.21449416354361,-39.69479585832186,D,A,64.0360965033095,B,-222.71407071749687,E,1
US,Jewish,39.825809871881305,A,B,11.316971973270263,-23.266777515797223,-37.75299770210825,C,D,103.77798417485258,A,52.26726121551337,E,1
Germany,Muslim,29.281369674709907,C,D,235.59925994984803,-39.27959860824167,-15.64276639664116,A,A,1.8268009007343464,E,-19.434044621968596,C,0
Germany,Jewish,-30.935476259584956,B,E,-96.00389966731892,-29.542874972101774,68.37364826676199,B,B,-34.67861247277773,E,-19.662609473896094,E,0
UK,Muslim,32.21188054976598,B,C,14.116850344433365,77.94870405152935,4.767722180646488,C,C,-19.86230761100541,B,76.44104561784697,B,1
India,Muslim,22.127823029672083,E,C,-57.64276306820324,-157.41679801036517,-54.020838479916556,C,C,-82.53516570529796,D,34.555492774899385,A,1
Germany,Muslim,-131.98045289597871,D,C,-146.1375861558945,71.8764852602827,-16.867624646042156,B,B,56.02155573843941,A,-129.0724113994745,C,0
Mexico,None,-89.36123300245075,D,A,16.4069930492526,-77.56405007613274,30.947999844101837,A,A,-8.385559046492338,D,-35.9295784708001,D,0
Other,Buddhist,-155.20011617312605,A,D,-23.9323751184047,129.417500593057,28.18614362199735,C,E,-68.76909762817685,A,45.233966779913345,B,1
Brazil,Jewish,-109.98455825463196,A,E,5.791682469119204,-7.433569717477457,-241.7877484453526,B,B,25.22613897603645,C,-39.252742473686745,C,1
US,Christian,136.26696749085463,E,B,9.479052036363278,10.101640772612837,49.04712883166091,A,D,-4.488307278380581,B,140.05657979102193,C,0
China,Other,-16.250859083360886,E,C,-163.65957077110602,-19.92800801440412,-59.188871938394186,D,C,31.560796036174672,A,83.06796815221963,C,0
UK,Hindu,0.2823957442449005,D,C,120.1614410981155,156.42166473725726,154.47292685326727,A,C,15.90417754259619,E,-83.29284121882358,A,0
Other,Hindu,84.1261902574639,B,D,-38.387469370299286,52.09283213148118,25.729589027417116,E,E,-134.2227026039957,C,-81.66759955604522,A,0
Mexico,Other,-16.226863071210175,A,B,-87.53994905002342,90.96263375521299,-91.15536379524781,D,D,-79.18204468032701,E,13.913961099525936,A,1
India,Buddhist,120.53501447091104,A,B,-81.5207030600527,46.57281186317019,-10.538306018408552,C,B,-158.57041662314967,E,-76.43317835780654,A,1
UK,None,-41.448627352789046,D,E,13.22946941646023,249.90937910620988,-4.6880642890561415,A,A,-83.97963826887957,C,127.6491984643946,C,1
Brazil,None,29.958693303948824,D,A,7.122451546836494,41.83924529709634,-29.49925710487273,E,D,-73.1778153105142,B,-58.78438293801156,D,1
Germany,None,-87.58052344805097,A,D,25.237989896191316,-134.77775219133844,-56.71143547404496,B,B,106.43656856965632,E,-105.17579370253067,A,1
Mexico,Jewish,-113.74710716281702,C,E,-41.22105535289053,56.738131244786295,41.17860867567897,A,B,167.37699852243242,D,-1.514929803104057,E,0
UK,Hindu,37.086752606326314,A,E,23.915693017451964,20.216913572055407,248.90795202916584,B,B,-184.4255008286357,D,144.10431342062907,B,0
Mexico,None,-228.7030343807686,C,E,167.95720025612223,92.99907292662384,79.71005973109722,E,C,-95.85879192418453,C,150.76975297934644,B,1
US,Muslim,30.72464116296509,E,C,-279.7630452663844,62.40116283994934,1.8898651514974305,C,D,55.442839604374186,B,94.32794842898477,A,1
Brazil,Other,68.65015295134573,C,A,-8.442017873905124,26.088851512214774,9.982201126439197,A,A,148.6469172716039,C,32.446199418568064,D,0
Mexico,Hindu,12.306270442817569,E,D,193.47037646161397,-91.25943204730264,-167.6879982235564,A,C,25.595152649287773,C,184.00381787356778,D,0
Mexico,Buddhist,31.48981097408128,A,C,-112.5519738606634,39.89507773517565,-81.33242489343773,A,A,-99.1743420194225,E,194.77243116601093,D,1
India,Hindu,89.72998665013613,D,A,-114.65168649877326,-69.62232093328716,45.65755535072004,E,E,-164.92668698051844,C,-94.9229499515678,E,1
US,Other,-97.97589486310886,D,D,92.65249647856137,-111.77521966859108,22.256247993443907,A,C,-29.58431083745281,C,113.01601652107047,C,0
US,Muslim,179.3977515717824,C,E,-96.63508218048865,109.66949336902476,-72.02023630132717,A,A,206.39255748150887,E,116.86063627011643,C,1
US,Other,120.35301404862462,E,A,-61.154997295680246,-32.30770656071034,21.621032535867354,E,E,-243.90710284428874,B,0.2384340994843515,A,1
India,None,-100.75099166978883,D,A,-51.56897573839391,-88.59182463665356,-35.93142778254694,D,A,106.55910991122283,C,92.49549987884974,D,1
Germany,Hindu,108.6744074814491,B,D,-5.342409506581585,192.40362197912359,-89.7028601298687,B,E,-140.18081409808718,D,138.82794209026673,C,0
US,Hindu,-75.48452346822549,C,E,-27.522819466726173,73.07819310948787,-76.79849479134054,D,C,182.11061562143902,D,12.8421245347146,D,0
Mexico,Muslim,76.34371284853634,D,B,268.3406315366324,-95.19672286523004,-56.708117850423676,D,B,-112.43349125801288,A,29.05804049149907,A,0
US,Hindu,-75.02541176483109,B,E,-65.94218457816267,-43.21648848886749,56.40552459052437,E,E,-116.78184653999412,B,11.37120499383362,A,0
UK,None,39.95025010759406,E,A,11.386524767846305,122.05163966198367,-115.59348498054236,A,C,19.766066872930207,C,-35.280248988631115,B,0
Brazil,Muslim,72.2979004498849,D,B,-123.75225190167653,-142.07773692269535,21.36585116902924,A,A,-85.34695256128431,E,85.60718910870328,E,0
Mexico,Other,-134.18090158742194,E,B,193.07650016185542,30.55484098456262,-61.96345682293168,C,C,95.98061925361594,E,175.62730842581496,A,0
Mexico,Jewish,99.94337992028883,E,D,112.74674430339834,4.234702928952426,17.194552264191273,B,A,-70.62912449985332,D,127.88455902524818,A,1
Germany,Christian,-91.97853069758582,E,B,-119.22482187438683,-42.16698355967789,106.54279329086008,D,C,-63.450451834944666,D,-162.33696010658775,C,1
India,Muslim,22.521145611549002,B,D,59.068628506538786,-37.18999497106365,-24.690461341493897,E,B,-54.28956883526119,C,40.01073917174299,B,0
UK,Buddhist,224.68802766956716,E,B,-38.166813795363694,-6.927988608460094,27.96175919740984,E,D,-102.98455222921328,B,-29.242919178987254,C,1
US,Muslim,141.85362379221226,B,C,-36.39232398526527,13.924191254098073,65.32732725351792,B,B,-86.82982767737757,B,52.485253290157765,A,0
US,None,-135.34158228214278,C,A,30.681744353192684,-5.244369712477938,-182.56978309786552,A,C,0.0024454481587793692,A,37.33367146151694,A,1
Mexico,Buddhist,320.6832030536772,A,A,-20.848341835932167,-33.0681837348718,-153.36841981721852,D,E,143.61929455226974,B,46.138295068875564,C,1
China,Buddhist,-69.50386090565472,C,B,121.49866368188435,-29.34691080291381,2.549942918404826,E,A,49.20049691239981,A,-217.9894102206417,D,0
China,Hindu,104.85649444897096,C,B,-70.21101026607997,-108.39290813376195,47.58297399481211,D,A,-31.231776434484715,E,-20.585575490898425,A,1
India,Christian,73.97515191904075,D,A,-217.94150764256867,-42.8287056614606,29.141605210783105,B,C,27.264909366503897,B,-9.398815953585656,B,0
Mexico,Buddhist,-15.124985312952962,B,E,-32.86276042031214,56.820320167864004,-92.2167570011445,E,C,-53.502131018301746,E,189.28592658334446,D,1
Brazil,Jewish,31.91197564465787,B,C,37.96527430023437,-64.71271273804558,-21.920370180930814,B,B,-14.833605917011749,C,115.53244160769822,C,1
India,Christian,49.29811068180662,B,D,130.06906746415993,-37.39832308625129,30.51921308930034,D,A,16.192702584958575,D,90.62633162297378,D,0
UK,None,-28.031519291100043,B,C,-5.232190596945852,157.81851377245255,30.715075427303407,C,D,-145.86948309481033,D,-113.54185283905787,D,0
Brazil,Christian,71.94134536505946,D,C,107.6078820040767,-87.52280536944966,121.91576218504541,E,D,-6.031260646091707,A,-30.326621344635317,D,0
Brazil,Jewish,23.718512429982454,B,D,-248.4711701153637,-43.971388459199794,22.79752690382602,B,B,-217.4254947450363,A,-37.570423914257084,D,1
Germany,Hindu,-32.880073946465295,A,B,-159.82184394718402,19.16876666865962,-39.653251176578145,A,E,-194.98774135315108,C,15.643504593562621,E,0
US,Hindu,23.13607100545339,B,B,-60.7583388158188,-51.946597103021,29.351979398641582,D,C,-21.291707368715084,C,36.7733366483093,B,1
UK,Muslim,36.26450488078534,C,D,20.449789487041222,88.91951030746783,145.41047360944407,E,E,64.48543445432564,D,0.6029148156807809,B,1
UK,Hindu,-92.42600039716619,C,C,-22.509547970571177,64.91863748534574,-136.5390107680725,B,B,-201.23436664012524,C,-60.61185157318142,E,1
Mexico,Christian,-88.02208450163185,E,C,84.15772259660437,-103.48518738602922,8.208554868640137,A,A,56.4481364577582,E,32.277732868131245,A,0
Germany,None,-79.84154995178714,B,E,14.107179921569848,-219.0248067335769,-68.23589478131711,D,E,-135.0321581932216,A,81.64195339873497,A,0
India,Muslim,-43.99058709657259,D,C,-65.73714391000601,153.0601177343773,-254.7011296190787,E,A,46.291377214717315,D,-159.08522661604187,D,1
UK,Buddhist,-57.73883741622207,C,C,-59.453230428707315,176.9417946601871,247.6162907554658,D,B,83.5637836469838,D,-208.48520634496387,D,0
UK,Buddhist,-84.54145024854877,A,D,48.02971306645018,-90.83397056015473,-18.50383220226663,C,C,97.81651360445936,A,72.91781364886836,E,0
UK,Jewish,-124.80805513679691,C,D,261.0050855999626,-207.7744322029575,-160.1371665419671,B,A,-86.47716600474082,E,104.72949790626093,E,0
China,Jewish,-91.27018666423604,C,A,81.63773456469606,-116.07491917270653,63.75586902914805,D,C,-39.413406278795115,C,-134.91964863243635,B,1
UK,Christian,73.9624673359526,B,C,85.11233115308126,-66.43827032885787,-40.431324823431076,B,E,0.7674731340619312,B,104.5706333353722,A,1
India,Hindu,-211.11872472250522,E,E,-61.1457190695289,194.26266242499796,-101.47666826353733,B,A,-21.6405141545059,A,-131.53590166417877,A,1
India,Other,-20.732470954850776,A,A,122.64480132564475,14.584956191897197,112.74462717138174,E,C,-92.54440089772784,A,-174.47364296661277,E,0
India,Buddhist,-76.88711730387843,A,D,75.47988491014009,49.874220199475985,-109.06480071219713,E,A,72.43990423853273,B,-80.085783661937,E,0
China,Christian,55.921203112906284,D,D,-83.25043941626164,-8.678312577391303,-15.484077981842049,B,A,70.00487711987986,B,-38.74951107598329,A,1
US,Jewish,-104.70320956948558,D,C,-12.724273747562767,-119.55843530367754,177.44371559992732,B,B,50.54280448226884,C,79.5932348986004,B,0
US,Muslim,201.25969070675382,E,D,-26.83180723166212,-136.16550069531613,-136.90436822641095,D,E,-174.34592547167364,A,-10.170611467266884,B,1
Germany,Jewish,8.090044097467887,C,C,34.58149280797195,87.01667132513843,150.79761594826263,D,A,-151.10721254180143,B,-115.97179990930024,B,1
Germany,Other,45.65962775866433,B,C,87.6320103453738,-104.8570598051023,-201.18889914278765,A,D,-136.41656989337065,A,156.52441553980702,C,0
UK,None,-261.89842986726984,A,A,85.79991715846221,-252.66887373801018,-138.92927641461364,C,C,54.865076225264154,D,-120.06696522467387,A,1
Brazil,Other,6.775220808050937,D,B,-4.987824547591243,215.24308009529065,-77.19833854663504,C,A,-59.208201846483924,D,-99.1405515052516,B,1
India,Other,64.56214458178499,B,C,-165.77236882053944,-24.23956198727167,-58.84964540948865,E,B,-12.497368773791981,B,-72.95163194712264,A,1
Brazil,Muslim,-10.889019634020038,B,A,25.987211621095696,130.18374010095718,88.86163246360191,E,E,-34.85690726636357,B,23.776288811630682,A,0
Germany,Christian,69.1577852615259,C,D,-92.45342867842393,151.94358218810765,-272.62698843975,D,B,-96.74178090063037,A,-42.93750615326087,D,1
Mexico,Christian,-27.870674397477963,A,D,95.69322937951821,-5.660209423675938,-52.99151846318859,A,B,138.18001854063002,D,97.08465964768783,B,0
UK,Other,-14.842599386545885,B,B,-127.05132250861924,-114.97486534212288,-5.958939713853034,A,C,-34.46525183336644,E,45.30694501289225,A,0
China,Hindu,-111.50414237820638,D,C,-146.9468893888324,-183.20354444771434,30.52320925892505,A,E,-49.23680130619085,D,71.06381012020843,E,1
India,Jewish,86.80818686211741,A,B,-22.65638404083182,-49.65683824431388,147.54232979339847,A,A,21.026167039463502,B,217.43349813562736,A,0
Brazil,Christian,35.57423731882896,D,E,-3.646862970945485,71.9162594627027,97.90904654816259,E,A,-33.27171768987016,C,48.5062301931292,C,0
Mexico,Muslim,-73.30184361078629,A,B,-154.64082189698988,-23.531352832788695,-68.18910257591372,B,C,-24.492010879691268,C,56.5829847568317,D,0
Brazil,Hindu,52.59542641383709,C,C,-69.13307323547875,18.15879302737835,-189.7695632556287,D,C,-280.65069221776866,A,85.23229543376348,C,0
China,Hindu,-101.48649878799523,A,C,-33.91912384121615,-88.66285152170384,29.94195862150794,A,B,155.07290180502383,B,-13.262608793030054,D,1
India,Christian,-155.29992817469173,C,E,226.67485090425163,111.62267709789673,-5.6029964147535365,D,D,184.9077344662792,C,47.15854132646262,C,1
India,Jewish,-98.5670379381057,E,A,206.28695424602478,-92.73938731687282,-90.55385184989495,C,E,154.25666760420634,E,-9.813847016831513,B,1
Germany,Muslim,33.213976624040875,D,D,-54.07485397079683,-63.11402167158909,136.71557052061024,D,C,-55.730457784280816,A,-90.53396712611686,D,1
Germany,Christian,-47.99983514009764,A,C,49.18388000686844,-104.53744852328268,17.562028699505976,B,E,181.06976688250282,E,47.37900950944955,B,1
Other,Other,30.427863111016055,E,A,-31.6274335258639,-21.865737258035196,-74.13909165184273,A,E,-26.86195232812067,B,61.675092714721146,A,1
China,Christian,10.854155768741473,B,D,-52.45991703181222,-43.77676263803693,-75.16616367700976,C,D,0.34863867905353324,D,8.249285112238763,A,0
UK,Buddhist,-19.599845235217696,B,B,-180.93291030946398,39.897601775999945,-19.190445508204988,B,A,125.29300115633288,A,198.9560510174709,B,0
UK,Christian,-67.35275988134394,A,A,31.294762690481175,-97.72616352668376,77.50672441351341,D,E,46.64598358495392,D,11.930027294719123,B,0
Germany,None,-32.94826697808709,D,E,-17.1652276984639,162.99646433960316,86.5828462896061,C,D,-127.89812786372514,C,-140.8673453451621,A,0
Mexico,Other,-26.39813796899397,C,B,-108.89158384783168,44.70554648401372,-3.9143309126118018,C,E,8.360067206386065,E,-136.93614579162667,A,1
Other,Christian,77.62263233743558,C,D,-141.2283912601801,77.2453843742289,95.36095241152492,C,A,-75.01136170747064,A,28.649453015731446,E,1
India,Christian,14.42446430358487,E,B,-84.69271287038372,71.52483023787714,-147.15780614934104,C,D,21.811689156997698,C,-52.979801758446456,A,1
India,Jewish,51.55232337611486,C,D,67.57740806379194,88.52345647473823,-65.20365457151964,A,E,-65.75885080196203,E,-22.84067262813971,A,1
Other,Christian,100.8335927999641,E,D,-5.6468912533336875,33.29363553189803,26.140644894894795,D,B,-211.1980518244227,E,92.19294373927809,B,0
UK,Christian,16.530892211561195,A,C,-7.713350841692216,14.528199080008545,-42.64123664108229,B,B,99.59361464721398,E,118.05673392031659,E,1
US,Muslim,-63.24417217321271,B,E,24.28190853399963,85.9856985454683,-43.25795026531134,C,C,-38.569127914706065,E,60.992521452312175,E,0
Germany,Jewish,80.74265399100311,A,E,-234.0050416670408,80.11445780251762,56.91095835495259,E,E,-134.49078854919273,A,-130.91447636196727,E,0
Germany,Buddhist,-174.08844733401918,E,C,-123.31713917684483,112.68364954184791,-67.1113077289399,E,B,15.375195521122645,E,60.52240389677228,B,1
Mexico,Jewish,-65.2919832374713,A,A,-203.28837855556165,25.948155418571538,58.43587250840771,C,C,-39.11134992342167,A,71.24205290732569,B,1
UK,Hindu,-85.70058742888655,B,D,-210.87870682648955,13.174103607318566,-193.80353996704872,A,B,-39.646507865378354,D,-180.5841993337007,E,0
Brazil,Hindu,76.53140998401098,D,C,31.392536624856426,-142.26749712517005,155.61753467556287,D,A,-146.29419365081066,C,-27.092464185538528,B,1
Germany,None,-26.620979499430604,D,E,-7.965047432958297,-34.6855315138353,-175.09188933637282,E,C,63.071123455661805,C,26.052303853886688,B,1
Brazil,Jewish,-111.34752943332921,D,B,101.08466894978396,112.42838126189969,135.2782222789582,D,E,34.66701847067959,B,124.59364631789238,A,0
India,Jewish,301.2513647076521,B,D,-0.1949090724599443,-56.51174433932417,-24.26198475076553,E,D,-134.34553107389786,A,231.5072033386822,C,1
US,None,-69.73986770635426,D,E,-136.9748585375138,31.525542599773594,136.74376337136388,C,B,-94.84769751119096,A,50.25179124488114,D,0
Mexico,Muslim,-202.06857278780183,B,A,26.15257499132227,25.671898229733436,32.86638948897093,B,A,185.08787435174676,E,50.96771401747419,B,1
India,None,-28.403198898450636,E,C,-131.68621446124195,-91.12673934555312,-58.79726671221729,A,E,-78.27333342937112,B,107.13833939815012,E,0
Other,Buddhist,-55.669018547492385,C,C,-18.154059215530065,-149.96843075394662,-76.63843893196744,E,B,-46.52997174561765,A,110.59542093217935,E,0
Other,Christian,-166.57415370710865,D,E,98.5973708439806,44.032171772222824,35.92072095500709,C,C,-7.067974683803284,C,-2.169879417962958,C,0
Brazil,Christian,195.73531478590348,A,A,-10.516971050510735,92.52976035480938,47.578555226124195,B,A,16.824160629414518,C,-64.46617923375005,E,0
US,None,138.0223630270566,D,C,-157.39292546706855,120.1305360459234,-7.8484780576735025,B,B,-132.20422283715624,B,-105.66088645588194,D,1
Other,Muslim,-11.088648711486876,D,C,26.711560434389774,-98.66135000533144,58.961629875336996,B,A,97.7743394178141,D,163.82585344546774,D,1
Mexico,Christian,-1.9654863922577184,A,E,-163.95162868153437,-11.86881109742972,-75.30148904881096,A,E,-116.489732057881,B,-13.369858787774735,C,1
Other,Buddhist,157.22396150870682,E,E,-62.760137473090914,-148.02463062312083,155.48668204106636,C,B,139.18644766246155,A,218.99180187188182,B,1
India,None,-34.46664710579749,D,A,-41.311517409438125,-169.18596833755643,28.31557010219905,C,C,135.34491767666987,D,-111.4294352954698,B,0
UK,Muslim,220.37719860791066,A,D,-123.02440209256189,-58.03880219357027,7.776907349682567,E,D,120.74069611027811,A,-24.06247254706965,E,0
Mexico,Hindu,-112.03295519950478,A,A,-70.66237791990207,101.68055303735535,79.62315447328055,A,A,-215.64536589320193,C,69.09188528377513,B,1
UK,Jewish,-80.56565371045701,C,A,105.72658204306087,-302.1607846028606,-116.50725354033318,A,B,-254.04742795304495,A,73.05122588515992,A,1
Other,Christian,-20.2812552927167,B,B,58.13891950125597,-56.09764108569686,76.99568959827083,D,D,-168.9818392401522,B,-26.263601435642848,A,0
China,Muslim,-19.03431674409575,B,B,-123.06731095345489,-96.35439255948478,-88.33529835138846,E,A,143.7991461532348,E,-141.90082715909813,B,1
