religion,sexual_orientation,Race,age_group,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,target
Christian,Other,Hispanic,18-25,16.40998656116979,185.19213525624428,E,106.87469646477297,C,E,D,E,A,51.949193728107424,C,B,84.37053228915667,A,-28.903195705657183,C,C,1
Muslim,Bisexual,Other,18-25,6.193996793103085,-70.7444075720622,A,-8.577966588503362,C,E,E,B,E,54.555023839505566,D,E,90.12770455694886,A,-105.43753659396049,E,A,0
Buddhist,Heterosexual,White,51-65,5.624770840394566,-194.89042040651836,D,-19.96445287324385,E,D,C,A,C,-115.14815735677777,B,E,160.25752440859117,B,121.84269962104463,A,B,0
Christian,Heterosexual,Other,65+,125.76150598637632,120.80293670865846,A,50.55349470363007,A,E,C,D,B,84.14849842101205,C,B,-75.59153952410361,E,-56.46864244660218,E,D,1
Christian,Homosexual,Other,65+,-3.0240015160742795,-50.407583283681966,D,0.8543349674959212,C,E,C,E,D,-125.8913906885851,A,A,91.56396045491691,C,50.400773619077135,C,D,1
Hindu,Bisexual,Black,26-35,-33.13870326738391,-115.49647666270776,A,10.516366053312005,B,A,D,E,C,-121.49062440442573,E,E,12.077037100196138,D,35.62457094708481,D,E,1
Buddhist,Heterosexual,Asian,26-35,21.355660628827028,25.215482084128993,E,48.27492217004261,E,D,B,A,C,-86.78432999531846,C,D,95.4831781768722,B,-56.23670010982549,C,E,0
Christian,Homosexual,Hispanic,26-35,-124.14127980200287,-50.377257569672764,E,-73.75086575234606,D,B,A,B,E,75.91098363896164,B,D,69.19484350691287,C,3.7935551990382774,A,C,0
Muslim,Heterosexual,Black,65+,74.54059644825121,-28.055277914604464,B,-56.388956216638434,B,E,E,A,E,34.257933478474236,A,D,68.68482639326037,A,-14.376354455075127,A,E,1
Jewish,Other,Asian,36-50,76.04736987903269,-40.84960994506004,C,-60.896088759748054,A,A,A,D,D,6.501749004251503,C,C,-61.308739289965786,D,52.15664672122007,D,D,0
Christian,Homosexual,Black,18-25,9.088557918734946,-30.448413841863502,D,-189.6023669220277,A,D,A,C,B,3.349260908363388,E,B,-104.14097673885941,C,47.35662922689171,B,E,0
Other,Homosexual,Black,36-50,86.29528764310625,-48.65456571714177,C,102.18282217997321,B,D,A,E,A,-29.418708827827455,C,B,-90.46306419798587,D,-97.39895484237147,D,D,0
Hindu,Bisexual,Black,36-50,-13.502633060627382,29.68333184742476,E,5.5213029799186435,C,C,D,C,A,-55.16184155418452,C,A,-144.48325834923233,D,-64.01898594136384,B,D,0
Jewish,Bisexual,Asian,18-25,-96.91123911296225,49.24750178594133,D,188.6621882491351,A,A,A,D,D,-2.3662122868402062,D,D,72.3998961221542,E,142.55719806255834,D,D,1
Buddhist,Bisexual,White,18-25,-1.1037923317763492,169.51523786384112,B,69.52196962534119,C,E,A,D,C,-68.46515686514239,C,B,32.790152356285056,B,-122.73611686233359,B,A,0
Muslim,Heterosexual,Hispanic,26-35,-34.311347455790695,-12.757195255204811,E,30.910483623034256,A,C,A,E,E,66.22356794494712,C,A,63.9444871053168,D,182.92939162318177,A,E,1
None,Bisexual,Asian,65+,-14.819052954486683,-203.54381134454437,C,-26.777072352457115,B,D,B,B,C,-23.17603580471102,C,D,84.50465410208837,E,-7.336956568790967,D,D,0
Hindu,Heterosexual,Black,36-50,-144.5623888981244,-47.60687014916515,B,54.82597783823305,A,C,D,B,C,-165.87581295117448,A,C,178.75994344563318,D,43.419647155755136,B,B,0
Christian,Bisexual,Black,18-25,-152.41461167546433,-195.1628464308753,C,-166.64657590180258,D,E,B,E,A,-24.985412838586473,A,B,66.51248604063773,E,-11.301975343812673,A,A,0
Jewish,Bisexual,White,18-25,26.69093184336576,-72.81619628982622,C,-68.37785534380139,D,D,E,A,B,236.49307801374434,E,C,105.19898853969597,D,-93.42944130456029,B,B,1
None,Heterosexual,African American,18-25,16.903693389497963,24.728542299581918,C,31.93847981936727,D,E,A,B,B,61.97717257098353,B,A,21.621823864142698,B,192.52340928575947,D,E,0
None,Homosexual,White,26-35,75.20340249495028,2.4062445434711024,B,120.01570210700028,E,A,E,D,B,9.508752119497576,C,D,-6.748186435177715,A,-91.43527120407951,C,A,0
Buddhist,Homosexual,Other,26-35,-202.67446037993705,64.85549069025738,B,5.306398602734971,D,C,C,D,A,-154.6332983874766,A,A,-125.0566230883851,C,-73.03961145960915,B,D,0
Hindu,Bisexual,Asian,51-65,100.81909589989573,54.31916617686705,D,59.50965430636847,C,E,B,E,E,-247.56444900057093,D,B,-95.00031476658447,B,-72.30113889844382,D,C,0
None,Homosexual,Hispanic,36-50,-215.38701158630843,7.346607023352332,B,-52.60650159695932,D,E,E,A,E,44.784570847700095,E,C,-76.09228999901406,C,-194.61869533399624,A,E,0
Other,Homosexual,Other,18-25,56.15439596642576,-77.58869382965838,A,217.73219826929045,B,B,D,B,E,-161.6639826968645,C,E,-44.845602151872505,D,59.79290135615546,D,D,1
None,Homosexual,White,36-50,-116.84963924455884,33.60587816278305,B,-44.49960231719804,D,D,C,B,C,-316.36524801375924,E,A,167.6339390811793,E,56.56600747357115,A,A,0
Buddhist,Other,Other,65+,38.392171591584315,-68.60020771600664,B,23.50607229949568,C,D,B,D,E,52.69022218895463,D,B,-173.01944718623946,A,-61.78578366115808,E,B,0
None,Homosexual,Asian,18-25,62.882933595595816,-61.984616564559644,C,-47.09695861802567,B,D,E,B,C,41.25700791322789,E,E,27.62351318804611,C,-108.21103543785526,D,C,0
Christian,Heterosexual,Asian,26-35,-245.87771226776533,-115.70596875362666,C,139.36412891682093,C,E,C,A,E,-323.24838715292196,D,C,75.7085430660504,B,-159.0705795978022,D,A,1
Hindu,Homosexual,Black,65+,-94.05700940842408,-243.73270812762482,D,-161.93938904686675,A,E,D,A,B,18.463933294189143,D,C,-77.79186058431814,B,-60.524053078849725,A,E,0
None,Bisexual,Black,51-65,1.9482709610767441,34.768549465106446,D,120.35708747879579,E,E,C,C,D,27.722063971077223,C,C,20.500862981543893,C,56.03788242767867,D,A,0
None,Bisexual,Asian,65+,-0.8243152436836952,-62.67082396685383,E,-130.7178706589693,B,E,C,D,E,-22.446901454240752,B,C,116.79823788366434,B,13.331773102289333,C,C,0
Muslim,Bisexual,Black,36-50,173.02863035678408,256.2001389451708,A,-63.002707362952506,C,A,A,B,C,-190.87414924265374,E,C,-124.35046654564637,D,168.03216751809978,D,A,1
Other,Heterosexual,Other,65+,131.0684541066543,-69.74008785456121,A,-87.09743881340121,D,A,D,E,B,-16.619650360297694,D,A,-195.34236055360833,A,-122.03817544250187,D,E,1
Hindu,Homosexual,African American,65+,121.87400759441734,-123.26827040560038,C,-184.6371425467447,E,A,C,D,D,-102.04877733603635,A,B,171.28379682956538,E,53.86580611397835,C,D,1
Muslim,Homosexual,African American,18-25,-57.142288818748455,-25.909204319324953,A,75.11625732779498,C,E,A,B,C,-45.74506858007075,C,E,-1.1982644409451197,D,43.574010003516086,B,D,0
Other,Other,African American,26-35,118.30254831440364,4.891811749435322,E,-53.620932848752055,E,A,C,E,A,-106.25740908014174,D,C,-116.3364112712905,D,-35.98173359854716,C,D,0
Buddhist,Homosexual,White,51-65,129.7482187799186,62.544950294274614,C,32.98128927600184,A,E,C,D,A,-139.51820268309817,E,C,128.73238424360216,D,-87.33895756097263,A,D,1
None,Bisexual,White,36-50,136.23421380047483,28.73033732878732,A,-15.731072352785242,E,D,E,B,B,150.48784083989378,C,A,128.11393792775837,D,-67.15517305911068,D,C,1
Christian,Other,Other,51-65,-71.84422172667902,-92.03641206229496,C,-74.06589975723124,A,B,D,B,A,21.068982189053965,B,D,61.65217384347179,D,-102.69546548792634,E,B,0
Jewish,Heterosexual,Other,65+,13.83181521348992,32.83171048104681,C,60.39182389169554,E,D,C,C,E,-12.085113533770866,C,B,51.62803694286004,D,-56.84125239193341,B,E,1
Buddhist,Bisexual,White,36-50,-85.64307502312413,-10.466401077961324,A,17.142217806535562,A,C,E,C,D,-32.022627677721125,A,C,187.5531884004859,B,130.47991450067016,E,E,0
Muslim,Heterosexual,Other,36-50,104.63488914271906,33.663465264429846,A,9.1152912890986,B,A,D,D,E,-45.73690940339368,E,D,7.525825866442126,C,-42.498476281720436,C,D,0
Jewish,Heterosexual,White,65+,-9.093405324516382,-70.92587434970554,C,147.94564935314676,C,B,A,B,E,-87.81127963164997,E,C,-104.16586775663662,D,225.4431800964743,C,D,0
Hindu,Other,Asian,36-50,-232.51412034695954,117.94706013104397,D,-152.9455747560299,B,E,C,B,E,102.15566118403765,E,E,30.41545628689631,E,-10.438097888849105,C,A,0
Jewish,Homosexual,Asian,51-65,-76.15694567528894,-78.21259003800324,C,172.32129280107148,C,B,A,A,E,-96.04591406334754,B,E,-10.447019391138907,A,-3.5162528668646162,C,B,1
None,Other,Asian,36-50,-54.366598418739756,59.26104991437151,B,-257.56112016756686,C,E,B,A,E,152.39406506960512,E,A,-19.360309387207884,D,-72.26171413683204,C,C,0
None,Other,Asian,65+,-50.46275772013228,17.552829050702666,B,-275.65241678460075,C,E,C,B,D,28.21254674648494,E,E,-120.07763317290964,A,56.79210780133223,B,D,1
Christian,Bisexual,Asian,18-25,-96.22767437993792,122.185387439272,E,-40.17208063136384,C,D,C,B,C,-131.72206605110196,B,C,-34.82354302066699,B,-38.96506810830522,C,E,1
None,Heterosexual,Other,26-35,88.85756479876602,83.0242759850471,D,-169.46438760671606,D,B,A,B,E,63.92832302832831,A,A,10.538327767475938,E,-60.87386277535024,A,B,1
Other,Other,African American,65+,-67.92255482613928,-84.11894861750966,C,-67.583338893863,E,E,C,E,C,-127.10113597747585,A,C,45.02243880409535,E,77.12399187139636,B,D,0
Muslim,Other,Black,18-25,-117.55301628466812,100.47811796446709,C,-109.3524337329247,A,A,C,C,C,-1.6829300576039146,E,B,-136.43893237673234,D,105.0206039359798,A,D,1
None,Other,Hispanic,26-35,176.0455803893252,68.99782136759988,C,50.54433650564544,B,B,D,A,B,-105.8987281230841,A,B,65.89123319125075,E,-199.00290304795774,E,C,0
Other,Heterosexual,Other,36-50,154.44458824894906,104.92317975809615,A,-15.550853189466698,D,E,E,A,E,36.09185544830388,C,D,103.3902600554376,A,-93.87890435098514,E,B,1
Other,Bisexual,White,51-65,-112.06680383650915,222.9843359369108,E,-30.89444782623147,C,A,D,E,E,-131.32880867022743,D,A,-60.02530046621881,D,263.95322049947316,C,B,0
Christian,Homosexual,Other,51-65,91.23337828882437,-120.3618984423644,B,-159.0368485153384,A,C,C,A,E,34.57671512565547,C,D,-34.10064595326284,D,-211.93099178131848,E,A,0
Hindu,Homosexual,Black,65+,-22.796145842512814,32.522674648520535,E,60.71409807681584,E,D,D,D,C,112.19980376399381,D,E,45.88584048629705,E,149.92288577945595,A,A,1
None,Bisexual,White,36-50,44.35740507752922,48.94718648907412,D,-31.332765309462374,B,B,A,B,B,-165.7531222775413,E,C,6.621290766183013,B,-57.54162888973872,E,A,0
Buddhist,Homosexual,Asian,65+,11.005119234091067,-31.62892098694166,E,-59.692318598228,A,C,D,A,E,-28.99504782647525,D,A,84.21062179256542,A,78.72544122763043,E,D,0
None,Other,Other,65+,24.977040019830586,31.466390128549637,B,-10.763189985844498,A,B,E,D,D,43.05869974577738,A,A,32.88882192493997,A,28.505277287815122,E,D,1
Christian,Other,White,26-35,136.29572174708048,32.642067064746485,E,-69.72378329614962,B,C,A,A,C,-124.94799492275538,A,A,-126.31861259265816,C,-172.60214680022273,D,D,1
Jewish,Heterosexual,African American,65+,-17.33642351722791,117.52059311646619,A,-43.30490241284943,B,E,D,E,D,-113.87881658473162,B,A,-10.771398646660538,E,19.208313837645257,C,E,1
Christian,Heterosexual,Hispanic,65+,-64.24185853030492,-56.557727660766346,C,10.055374503433441,B,D,E,D,B,126.81627618230846,C,A,31.19741881201899,C,111.70602122929833,C,D,0
Hindu,Bisexual,Black,18-25,-19.217301403450264,6.553455461425996,B,13.172827625413856,E,E,D,D,C,-117.49590454759688,A,A,-55.224506266819326,D,15.249199567144112,C,A,1
Other,Other,Asian,51-65,68.50898866037124,-56.01429695235037,E,87.62139050683182,A,A,A,C,C,-113.30718499954786,A,B,-51.21323994821109,C,-230.51103590520228,E,A,0
Buddhist,Heterosexual,White,18-25,82.15633098149434,-78.6695967105761,B,-98.05910875483794,A,A,E,E,D,-70.80272539369393,A,C,117.17559737529169,B,14.652111501269506,B,A,1
Buddhist,Other,Asian,36-50,17.52037441695481,24.33337436129098,C,91.34931000358799,C,B,E,E,D,34.116247553257026,B,C,156.82301021041093,E,89.96759234819264,C,A,0
Hindu,Heterosexual,Asian,26-35,183.97631064365703,88.82762310671282,E,-4.7462132800297425,A,C,D,D,B,92.19849216482295,D,E,110.00020364231231,E,55.53123132072737,E,E,0
Christian,Other,Asian,65+,68.28806624090558,-122.86381160207452,B,-49.23250260787853,A,A,A,C,D,-156.8094000501096,C,E,-65.16207287004386,C,-51.022041317783994,D,C,1
Buddhist,Heterosexual,African American,26-35,8.438913815289498,-71.2134614819109,C,52.151270338182854,A,B,E,D,E,-45.483704143297324,E,E,-177.64886741666476,E,25.012469486092726,C,D,0
Other,Heterosexual,Other,18-25,-2.0253785334445498,-77.43870733319697,A,-16.035736670985205,D,A,C,E,E,56.581466568151704,D,B,-9.276729089469482,B,42.40826054868723,C,C,1
Buddhist,Heterosexual,White,26-35,-64.805494370032,-66.25894778720921,D,-62.09824073916543,D,D,E,E,C,-1.2221496705755863,B,A,64.98335791622742,D,-65.20975656956468,E,D,1
Jewish,Homosexual,African American,51-65,110.3736897479898,70.74706324106552,B,-10.294672264464744,A,E,A,D,D,-61.05909672130031,A,A,-7.1306794388687855,E,-82.00804525709572,E,A,1
Christian,Other,Other,65+,14.806297326086392,-50.91764373232807,C,-67.22782875341592,B,E,A,C,D,-206.7765346018438,B,D,-97.35754203270339,C,89.36633506591363,D,B,0
None,Heterosexual,Hispanic,36-50,96.9408906597803,143.67562378000406,B,54.21602787505485,E,B,C,D,A,3.4021493270344245,E,A,-36.348357630818626,B,-2.9839158375828054,A,B,0
Buddhist,Bisexual,Hispanic,51-65,46.74569681500989,100.72371101380968,B,17.994242081167798,C,C,C,B,D,-114.93570942301032,D,C,4.309538985746521,A,63.029581050875336,E,C,1
Jewish,Bisexual,Other,51-65,123.17206870998743,-201.018230927686,E,5.985550556323361,A,C,A,B,D,-28.28953823771022,D,A,-116.14210927290902,C,-90.39697095254108,A,C,0
Hindu,Heterosexual,Black,65+,-99.6523255536754,-110.78441043964524,B,-127.64548841988139,B,A,B,B,E,69.06861716639328,A,A,51.87860614928108,C,-61.299357505617294,A,A,0
Buddhist,Homosexual,African American,65+,-28.19451831069562,37.44903949351169,A,151.3570042795013,A,C,C,B,B,42.56080523152822,C,E,41.48273469332047,B,-61.89150131239016,C,A,0
Jewish,Bisexual,Other,18-25,-2.931549292978075,-11.255608076167531,B,81.0345740943135,E,A,C,A,C,-93.93133386434354,E,B,-17.323777255745483,D,-80.92930747641917,C,E,0
Christian,Homosexual,Hispanic,36-50,29.33069144727793,106.68569464796806,B,71.39386048118831,A,D,C,E,E,-23.67902393051457,D,C,-190.99925712894023,C,-134.6089806148929,E,A,0
Hindu,Other,White,36-50,-8.685644452411779,-40.10806160118072,E,102.81541805057115,B,A,C,B,B,131.88353558039609,A,B,1.9635804421434266,A,153.25215615102618,B,A,1
Christian,Homosexual,Black,26-35,-105.34359726376034,-120.6070396451015,D,1.8520135051306654,D,D,B,E,A,-6.472064853339629,B,B,50.80131136937132,E,-56.491560847959946,B,A,1
Muslim,Homosexual,Black,65+,-125.7249459424381,-265.328824221899,C,2.2102915473402946,C,B,B,C,D,42.733175380842965,A,D,-197.50416013582952,C,94.01191126745798,B,C,1
Buddhist,Bisexual,African American,51-65,133.05347182813767,101.0772061894847,E,43.97707998795535,D,D,C,A,A,-151.09699143605587,A,A,-24.00915316711483,B,31.093131476061163,E,D,1
Buddhist,Other,White,51-65,-94.54659311540954,253.9691843522728,C,149.6851331902316,A,A,A,A,D,-10.42680568743221,B,A,-120.9402776146324,D,-69.23113648699268,D,A,0
Buddhist,Heterosexual,Other,26-35,63.901680066813974,52.005219001813444,E,127.73552536272234,D,D,B,C,D,-77.22815830215339,C,D,26.60324686916118,B,130.78707825394787,D,E,1
Christian,Bisexual,Hispanic,18-25,149.91579830273997,53.44438823690195,D,12.138499451498085,C,C,B,B,B,119.56927432918731,E,E,9.071181664011318,E,55.739456644117446,E,B,0
None,Heterosexual,African American,65+,-55.82012118665843,-78.23170328940263,E,-8.98441396238161,A,D,E,B,D,-96.36089414661346,B,E,-132.47844111726837,C,2.8811557394412715,E,B,1
Other,Other,Other,18-25,-87.30965844348538,-90.39404780279564,C,-171.45817861562355,B,D,D,B,C,53.54244645824754,D,C,73.24669583777697,D,172.29171722065422,A,C,0
Other,Bisexual,Asian,51-65,9.388649924811334,-82.15227306245384,C,86.816820731593,D,E,D,A,A,95.61867527466723,D,D,-177.5639959957799,C,12.3807119051801,C,E,1
Muslim,Heterosexual,Other,51-65,-18.936362891560304,9.642788710274132,E,85.49575680284973,A,B,E,D,E,-25.583503546680376,C,A,-2.8261985429128855,C,-4.569930193991232,C,B,0
Buddhist,Other,Black,65+,8.828522829445118,-5.536952562128291,B,229.24187987030987,D,B,C,E,C,-33.28505349226468,C,E,23.630890362927214,D,-92.10046171998462,C,E,0
Hindu,Bisexual,White,26-35,-107.47179247819439,186.2929478070532,A,190.35173610076518,B,B,E,B,D,-13.728110084278477,C,E,2.2431208911556957,B,235.19116617967777,B,A,1
Jewish,Homosexual,White,36-50,30.361689347216192,-154.20474340203978,B,-86.30821799664132,C,A,E,D,D,76.89529953663187,E,C,6.23009694255116,E,47.071798727910014,B,D,1
None,Other,Black,51-65,2.1734108786407984,-43.48822918176858,C,28.504328117645677,E,C,D,D,D,-37.78669417992628,D,B,-18.743746010966372,C,75.39972541133918,B,D,0
None,Bisexual,African American,18-25,53.45130877026727,2.2697376940163423,D,-17.890724076020383,E,C,D,C,C,114.4726516563249,B,B,85.89888828205727,A,-47.25856127714027,C,D,1
Christian,Heterosexual,Asian,51-65,65.09652127359676,-106.79574579710922,B,59.263891285592166,D,C,E,D,E,42.885145385709166,C,D,-56.941425680795945,D,21.377527370532807,D,D,0
Jewish,Homosexual,Hispanic,36-50,130.1556831584825,42.451728610995914,A,-27.440816175710737,D,A,D,E,A,-91.40831421370163,C,C,-142.91917588980635,D,101.53697078865964,C,A,1
None,Homosexual,Hispanic,36-50,126.08710513473036,-4.071934146714988,C,96.36507634899357,D,B,B,E,E,80.4730545623809,D,B,21.766076979759283,E,152.55166109949684,E,A,0
Muslim,Bisexual,Black,26-35,-59.484577116621566,53.59022336478123,A,-91.1601797463349,C,C,A,A,C,-120.78739154528084,D,A,205.86053412279313,C,-131.98741074816843,D,D,1
Muslim,Heterosexual,Black,18-25,-21.073311843836564,25.592845438292116,B,-17.84340383833459,D,E,E,E,A,-141.58142083261714,E,C,-88.06005739722852,E,-100.10220613170608,B,D,1
None,Other,Hispanic,51-65,28.920923998929528,18.258860058644327,B,-53.76241596173331,E,E,B,E,C,92.41522131742916,A,C,-20.59541576239169,E,-94.6712203343169,B,B,0
Buddhist,Other,Black,51-65,41.22285183619694,-78.20474551144322,D,-7.5153867103980945,B,B,C,B,B,31.164894740985783,B,A,-40.39296729937279,D,-41.98961314861275,A,E,0
Buddhist,Heterosexual,Black,26-35,-11.199908188960702,-36.29982234522529,D,-47.69896665799876,B,D,D,E,A,-135.54693567953746,B,A,24.41417338693088,E,-184.7048585131917,E,B,1
Jewish,Heterosexual,Other,26-35,-69.00717638085638,43.70879839087108,D,9.117310851856528,A,D,E,D,C,26.815520435128327,D,A,110.83334017898696,C,9.674267936145945,C,E,0
Other,Heterosexual,Asian,26-35,-116.38632931856041,100.88700992153616,B,-90.46898421920558,C,C,D,C,D,-26.355245614835205,C,B,-2.210479541381204,C,33.462540177886716,A,A,1
Other,Heterosexual,Other,26-35,114.78160819427055,96.89612986334906,E,-93.27289055742261,A,B,B,A,C,131.59860518457998,B,C,61.75001043080754,D,-66.05430908257638,D,D,0
Hindu,Other,Hispanic,26-35,55.75174783076815,-63.39195533781427,D,-15.540448985535848,A,C,D,C,B,-52.96633807585713,D,A,16.63453550505748,A,-100.89333707864631,B,B,1
Christian,Other,Hispanic,18-25,89.01659271370835,42.133638851864205,B,41.785879077539576,A,C,D,A,E,-33.462527105270574,D,B,-160.98997648487477,D,-36.635351835247114,E,A,0
None,Other,Asian,65+,-3.7194523984516787,-0.4147702468678921,D,-66.56487546445204,C,A,A,C,B,43.12944503431581,B,A,-114.4290626668643,D,-34.61043208790419,C,A,0
None,Heterosexual,Other,18-25,-33.385558213394035,22.969733786077505,E,-14.827552628468046,C,C,A,C,E,86.60059974660795,C,E,-58.192872721816904,A,110.53930343216136,A,B,0
Other,Bisexual,Hispanic,36-50,23.074231452050086,-66.36103686822422,C,173.28499889408567,D,C,D,D,D,79.23654561168357,E,C,54.84651800839785,E,-81.93750305194044,A,C,0
Muslim,Other,Other,36-50,-139.49677374048562,-57.39144407201633,E,-18.301041308302043,A,D,C,C,B,112.7760973607175,B,D,-65.28948701801704,D,-49.76252689080933,C,A,1
Other,Other,Hispanic,65+,-55.444576166545104,-49.99913351298789,C,89.91692549571812,B,A,D,D,A,-81.06472642201994,C,D,-20.473880339890556,A,-27.035028838720333,A,A,0
Buddhist,Heterosexual,White,36-50,11.370294863771896,44.317330507711745,A,-36.11375176885739,D,E,A,A,B,-23.37193614912908,B,C,76.73285430897467,B,81.79253383457925,D,A,0
Buddhist,Heterosexual,Hispanic,51-65,-121.62210981040612,50.111524345303124,D,-115.33826774532663,D,B,D,A,C,-12.82808218646224,A,E,-90.95395223244606,A,221.64027817717465,B,E,1
Hindu,Other,White,26-35,25.176542176562087,-15.96478660992718,B,-95.83885289385287,B,E,D,B,B,-102.95702152236414,B,E,37.638444859827935,D,-76.75964636699891,C,B,1
Christian,Heterosexual,Asian,51-65,-60.05675680985162,-48.31481447769851,D,-53.68893421234421,A,C,A,C,E,-52.84510592147436,D,D,-0.9222875562302956,C,98.43140948203391,A,D,0
Jewish,Heterosexual,White,51-65,-132.01947362076038,124.29947299114414,C,230.65082217795663,E,C,B,A,A,172.64306154528109,D,A,-20.35125349689621,E,-6.9902895262097084,B,D,0
Christian,Heterosexual,Black,18-25,-60.70970418580056,-63.496762287717075,C,-3.6591506893609287,D,C,A,B,D,102.26463512803001,A,C,-18.164265966041494,B,27.447356614142475,B,C,1
None,Other,Black,18-25,134.1884352792278,14.880574969862154,C,-91.50780808805646,B,C,C,C,B,-17.75081028428257,C,A,16.388114505248,E,36.75544407651317,B,A,1
Muslim,Other,Asian,65+,17.605896413540055,110.60961950316172,D,53.61662444297418,B,E,A,D,D,-18.564199095001932,A,B,-78.29979038381833,D,-15.115825072878314,D,E,0
Jewish,Bisexual,Other,65+,-84.23470412350515,162.55472355249543,E,-9.341862869274301,A,D,B,C,D,29.78125862484581,E,B,-2.200846099441368,E,210.85835968158477,E,C,0
Hindu,Homosexual,African American,51-65,-170.00074250154876,116.02721494080603,C,-22.34970856908096,E,A,A,A,D,96.7410401551097,C,D,-31.39611010796187,C,-84.88968742658912,B,A,0
None,Homosexual,White,26-35,-38.166845349601935,76.95209974973739,C,-31.429420544242376,A,E,E,E,A,-44.677688590417375,E,A,-201.15863323187781,B,-107.0515619030711,D,E,1
Hindu,Homosexual,Other,51-65,12.431449274764073,-55.030646553976524,A,43.94571550270308,D,E,C,C,C,-90.69344806460956,C,D,-2.787427699208365,E,-113.16364153147227,A,C,0
Buddhist,Homosexual,Black,51-65,40.71769841505156,-18.70797874310679,C,9.339820659568565,C,D,B,E,D,-88.39108360078609,E,C,-17.633477402442903,E,-86.74260932252899,E,C,0
None,Other,Asian,26-35,34.143000150397604,-118.75101756695334,E,-39.3786795491696,D,D,B,B,E,-127.94768324936658,B,A,-76.12015761074495,C,8.278216425150971,A,C,1
Hindu,Other,White,18-25,-29.574330273524268,85.59006554180255,B,-11.637706926449995,A,E,D,D,C,89.58452848397333,E,C,1.1609958946445142,B,-41.2300891793466,B,E,0
Hindu,Heterosexual,Black,36-50,-40.95274741769303,-200.3863665027718,E,-15.714251268002528,B,E,E,D,A,75.84177756587366,A,A,17.635284959955875,C,12.498001028360989,A,B,0
Muslim,Bisexual,Hispanic,18-25,-69.64746976296405,119.1729877220218,B,28.316294697706564,A,C,C,D,A,-82.24256845492728,C,E,124.075663937892,E,-95.32593573485394,B,C,1
Other,Other,White,26-35,-27.681309872292438,-120.84113570479349,B,-110.83530967322362,D,E,A,A,A,-84.1498492923125,C,A,62.305114529457306,A,-44.68606677509298,C,D,1
Other,Heterosexual,Black,26-35,-68.60752503321808,28.418698840816738,A,99.3121219075018,B,D,A,A,D,-53.083831786012645,A,A,-86.34771896616238,B,43.27978296130848,D,C,1
Buddhist,Heterosexual,Asian,26-35,55.67928149875365,104.63547779312053,B,52.51367268963726,E,E,E,E,E,-32.17955159758633,D,B,-60.09969644233237,A,190.31379671094177,E,E,0
Christian,Bisexual,Asian,51-65,-120.10217275696718,-88.35139591320741,D,-55.02944639726608,C,B,D,D,C,-83.98208380622289,C,E,64.28153461610997,D,84.0725295997379,E,E,0
Muslim,Other,Hispanic,18-25,-56.819564523397005,39.67113451068608,B,19.59065261030046,A,A,E,E,A,141.10485149964475,B,B,122.60774424619956,C,97.07648668555792,B,C,1
Other,Heterosexual,Hispanic,26-35,169.30778487949925,-243.92977555326874,E,-162.50080601145888,E,A,A,E,A,-12.989667964623827,E,B,-83.84130394972313,E,-59.22995794920601,D,D,1
Other,Other,Hispanic,51-65,104.48713400111602,-10.857857948120909,B,-70.62647443696416,A,E,C,C,C,-4.726626234953852,A,B,-103.09661158184713,C,-1.3064232564428722,C,A,0
Other,Heterosexual,Other,51-65,46.89661036258519,-20.248551022800335,C,-11.00907574717976,D,B,D,B,A,12.385800612404234,C,A,-68.68312138121213,A,-53.057577257306384,D,E,0
Other,Other,Hispanic,51-65,-80.0253253550727,-9.978450274967598,D,67.87849756871373,D,A,A,A,D,-3.645757040251817,D,B,-16.931962906835928,D,2.9771972275860903,E,C,0
None,Other,Hispanic,26-35,-31.478910720659016,-71.18794941324592,E,-21.060163647977365,C,D,E,B,C,-154.94401016371197,A,A,62.63760335440598,E,143.6091590516661,B,A,1
Hindu,Other,African American,65+,61.502419462979276,-43.28635068082487,B,26.9197664805586,B,D,E,E,B,124.98210400109696,B,B,-53.68192658051096,A,-184.4012759341884,E,D,1
Other,Bisexual,Asian,26-35,156.44870820075155,-149.72995243014432,C,227.9390458950614,C,A,E,E,D,11.696689155584778,C,E,-11.245998580599148,D,-23.794646538298252,E,A,1
Muslim,Other,African American,36-50,-9.354700508395583,-167.12109009327662,E,38.686481422243716,E,C,C,C,E,-3.13770763745198,A,A,-26.65298275135346,D,-62.319807146516595,E,B,1
Jewish,Heterosexual,Hispanic,51-65,103.15185715849495,79.15380956053626,C,-97.82893417268143,C,B,A,D,D,-11.472458383047785,B,A,-45.91122188890671,E,-27.135639977122274,E,B,1
Other,Other,Asian,51-65,-140.3744578456534,57.093942297425315,C,82.23621152385753,C,D,D,E,B,-131.33248454784177,D,A,65.80185734182929,A,1.9114145878577575,E,E,1
Jewish,Other,Black,51-65,-51.74225977317691,-3.4083429164695715,A,-71.66294071779758,E,C,C,A,B,-104.68736758183807,D,A,-84.41413160082557,E,-236.31023917610227,A,B,0
Other,Other,African American,36-50,-71.86256528787877,0.21320934853163875,A,17.646011916509103,C,D,E,E,D,35.01379373352556,D,D,63.88873238573258,A,28.348347064780103,A,D,1
