marital_status,faith,nationality,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,target
Divorced,Muslim,China,-74.515976755527,A,D,-79.98938258826676,-83.48424276769408,57.702162102962674,A,C,A,A,60.7445710584809,B,A,-80.60919323044267,40.402137564471666,-29.832412546580112,E,2.688765593116322,0
Married,Buddhist,UK,-148.33773181141453,A,D,-62.46360792114665,-2.101733439014551,314.5046986110206,A,B,A,E,-167.48183158002868,A,C,-47.00474757739132,-4.515662590299374,96.86477223311866,C,-3.053894258163177,0
Widowed,Hindu,Germany,-4.86221215952523,C,A,53.25372524111975,42.9070754877473,38.551137139599554,A,A,B,B,-40.39440276760764,A,D,23.025534650479536,-31.36811374353726,-62.10572607950453,B,107.94406515347904,0
Widowed,None,Germany,-33.517198910073006,A,C,56.575536669928916,-212.52674873686587,-103.95195621507258,E,E,C,E,-59.09257409667963,B,A,25.835397745355458,158.9000970420934,122.39432454887198,C,-40.431105374343204,0
Widowed,Muslim,US,48.28593007191022,E,D,-58.948983792048125,75.6430551700251,-86.05371753438206,D,C,E,B,-35.17716995701629,B,A,-203.30323998626733,-142.90549806940345,-170.95894536280753,E,14.80734966753661,1
Single,Buddhist,US,-121.9629652539736,C,D,-57.96221473437093,-58.231625546856506,118.27772661244167,E,B,B,E,10.016714177689654,B,B,-159.3477595022218,51.813133532513156,45.44187153391243,B,9.730600354827086,0
Single,Jewish,Germany,-37.64838765476205,B,C,180.686042096366,-133.15012579721886,-19.933158600869326,E,E,C,D,22.642032573834317,D,B,-28.889230247968346,-85.1705307664897,48.28406581260909,C,-11.770794367209248,0
Single,Christian,US,19.64672416180608,E,A,-61.876714966021076,-14.375320040443029,30.556019491225996,C,B,D,E,5.498092878020602,D,A,45.707211522139964,-97.64657648225075,59.175202648674464,A,103.32752961209464,1
Divorced,None,India,118.20472677483811,D,D,181.94545464237626,-13.80927219875363,225.17896128404226,D,C,C,D,-125.3585538715591,D,C,8.96638921897025,57.86137800009426,-34.97819436328536,A,5.503168647063334,1
Married,Buddhist,Brazil,-75.03120546952812,A,C,-4.1141337193143075,-155.5201088566359,-52.65431631874867,A,B,D,D,-367.35572671590467,A,A,-32.794164226604174,-11.4631501037501,40.66205606199726,E,37.68685815755457,1
Married,Christian,Germany,303.0648517916013,E,B,-55.31806313514247,16.104981466779012,23.941853146855504,C,D,B,C,52.40071269280978,A,A,-19.127262246560147,25.059089341947693,4.756189395753579,A,-38.56608876248749,1
Married,Jewish,China,-102.03944656439332,A,B,-151.31626606324187,126.27174481739694,-153.71304993052578,D,E,E,A,-60.13522912356572,C,C,-121.70775737336754,-47.02875782576449,-55.01714907151667,D,37.13312701614905,1
Divorced,Muslim,US,-8.970719118782759,A,D,-20.922921781642795,115.9163498657768,-32.72335291815724,A,C,A,B,45.41112356169708,A,C,-97.79297834945282,-230.533698948524,-14.759072908901864,A,-116.6215533609767,0
Single,None,China,-28.502863580997627,D,C,-112.93557921922567,105.86352019377567,-7.039662519722458,E,C,D,E,28.892582699819897,B,D,-94.55522112950536,45.22437417881602,-105.18212552726578,A,6.371483681471303,1
Widowed,Jewish,Other,117.40328464080054,D,D,-173.43307121114762,10.508235301936155,41.299200052047254,A,E,C,C,-65.10250407549594,C,B,-63.852761325791775,-27.99874767535508,-20.00517811832208,B,-206.73382254185913,1
Widowed,Other,Mexico,-48.85181034663946,A,B,235.78228619178043,56.19070062937337,116.73444502913048,D,D,D,A,-71.78895346920821,B,D,-124.40188040861473,167.69904579652143,-53.13471223548224,B,-67.49583619731978,0
Married,Other,Mexico,-214.60939004464038,B,E,96.5853425874869,135.70088233128857,-62.767894798209625,D,E,C,E,49.32410549652849,C,D,42.027090832506026,-146.072123631598,41.80343989896216,B,-17.50188278709415,1
Widowed,Buddhist,India,-35.32836886545518,A,B,-94.85567858069824,-97.76034026589797,-262.3544071990558,B,C,A,C,-158.70333781611953,E,D,-55.409603618518574,6.03558382486264,108.42915987179222,E,82.36799759998269,1
Divorced,Other,Germany,36.98399770182356,C,D,151.00568541186516,-26.61493751315075,18.782134832338375,D,B,C,D,-10.490621926115056,A,B,81.03860076256467,-172.4334180213914,130.1634812540691,C,-13.255480155304328,1
Single,Muslim,UK,98.1487081937722,B,C,-128.3427911969465,-12.545161526034674,-21.668893146163576,A,D,B,D,19.759012316786233,D,A,173.27698184043157,-4.306444969705484,26.52897128524927,A,21.484900888405907,0
Widowed,Christian,UK,80.72716963451688,C,C,-222.76537456658926,-35.40034136877156,75.73835441087483,E,D,E,C,-61.45226512385111,E,B,146.27006651005908,-2.792295576238778,-8.190358961074793,A,-101.04597812475842,0
Divorced,Muslim,Germany,15.625208816357517,E,B,24.548721635783835,87.92360563856766,-96.29289997603114,E,D,C,B,-69.4853175012982,B,C,-28.482500954791735,-41.24360283814941,-249.73024662450212,A,-41.021867221367515,0
Single,Buddhist,US,-132.53450848219444,E,D,-95.53785519360424,44.32366355557513,-69.9028602348525,B,A,E,E,38.378728148178915,D,C,74.30424210431285,49.471469408970385,47.367363097404365,D,106.98525334818201,0
Single,Buddhist,Brazil,244.88042712635735,A,D,107.07461558615677,107.62338490770533,46.699524771588145,E,E,B,B,-1.2262804658364495,E,E,-172.27364662085935,-22.56247555793033,-11.035226120211547,A,16.858315437831195,0
Married,Hindu,Mexico,-79.45585324442399,E,B,-36.27485475597705,-33.84843076297453,119.45396756478522,A,B,D,E,-124.83095907326232,C,E,-57.15332366166126,-45.898484294066506,-16.852634183823692,C,132.0128225811385,1
Divorced,Jewish,Mexico,-263.8062646362235,C,B,-28.315209191482438,-60.12454823272524,-257.9860733862596,D,B,E,A,-55.655287196510095,E,A,18.737568271127603,-130.45214064568688,-148.931682270697,D,0.4279181979232936,0
Widowed,Hindu,India,-124.62694905631444,B,B,15.10958135671427,-124.36033035980401,-78.90952866733768,C,B,E,D,108.87171554921649,D,D,70.45345403946938,-191.50485779944879,-148.72112548001243,C,105.665262245448,1
Married,Muslim,Mexico,15.755713049681699,C,E,-160.51901431998212,-28.055775948150764,-7.7194863974111545,A,E,E,E,-86.80494277033155,D,B,67.6525041401317,38.70836442166551,-8.351358514574777,E,-43.847583061933534,1
Widowed,Hindu,Other,-56.68876367055907,E,A,51.361457127560115,101.39925120615929,58.75279433069931,A,C,A,D,3.264982267682331,A,E,175.07145228168946,86.28556637414754,10.755154192263925,A,-28.909526849147987,1
Divorced,Other,India,142.15337584694697,C,B,-64.16435653980909,-129.52248593167596,-23.478246593041217,E,A,C,A,57.42010595502038,D,A,121.18913624929361,-48.764705239955,-88.70865368666837,B,-77.99171064432412,0
Widowed,Jewish,UK,-1.876092563396299,A,C,-64.53793962076908,19.75172751909573,183.36234117765446,B,A,C,E,223.65908848703077,C,A,-94.80187146185887,85.18295131300926,-149.8119322627513,E,263.4976709212384,1
Widowed,Other,Brazil,59.447951945628176,B,A,68.47181893424528,268.0805510357602,-53.3223543847746,C,B,D,A,-104.11645998338544,C,C,182.91612388632186,4.07800166286516,-21.28046561619975,E,-287.744598185733,0
Divorced,None,Brazil,160.24942439149768,E,A,108.35113437047315,-160.2173729986188,-55.53082908420045,A,D,C,C,-158.2943693718601,D,D,-20.259719787487683,68.13812138671501,-95.4246513541714,C,142.4623351876303,0
Divorced,Jewish,Other,96.91716254126564,E,C,-13.434734933985892,-20.449458691232138,29.781715940237724,C,D,A,A,-141.70429636977485,C,B,66.56613991375315,-194.03989841812984,-50.44231963956779,A,-0.7702391264397358,0
Divorced,Buddhist,Germany,68.94207605066313,A,E,-17.012040118143194,135.7471642221496,105.29925938648815,A,E,A,E,24.454583063445913,C,C,93.43076103913798,104.08447275335462,136.99504118320775,C,31.160534126009136,1
Married,Buddhist,China,-94.22518998438122,B,B,-41.42329050213981,-86.61432749705948,58.44179168158171,D,B,B,E,63.67058242905398,A,A,-50.95667029219848,-63.77138368655565,7.871962411837758,D,-25.45387964404151,1
Single,Hindu,Mexico,132.01963232742364,C,D,32.366466730927414,70.436975161204,-48.81655858298558,D,E,D,E,-141.2718871886245,A,E,102.64485807990992,156.81994909122244,60.69167596941878,C,-2.715991839032873,1
Divorced,None,India,-67.22813819872403,D,D,82.98260598255568,176.10167552846465,-44.232495935684945,C,E,C,E,127.44615480995438,A,A,-3.2827551631782046,49.35152288417335,123.96852590380334,B,35.40788639322174,1
Married,Muslim,Brazil,-160.86451674728414,D,B,52.845092188871654,88.99980874290709,-34.33952755339747,E,C,D,D,71.49754546068098,B,B,-126.25987923707117,17.502601870900506,-18.644226267326673,A,137.26436287216677,1
Single,None,US,129.58129864372324,E,C,-140.62144422933088,30.986878345584927,-38.61976405866942,C,C,E,B,195.3651336094275,A,A,36.47495978000486,163.23849407777448,-297.29612328543794,B,55.84895322989698,1
Single,Hindu,UK,-59.64960698772865,B,C,16.675773181636114,2.7857412083242576,-20.204644883602608,E,E,D,B,-130.68648233644907,C,C,-104.28256846499634,-103.50247281337171,69.38897251349636,E,-7.447889176214901,1
Widowed,Christian,Mexico,25.522569424025715,C,B,251.9023960503155,-71.14936510612758,-238.39343525774964,C,A,E,C,3.940406417772614,D,D,-116.956747425214,30.27523176289707,37.68688335897543,D,-35.07204615485817,1
Widowed,Other,UK,5.232836246865012,A,B,-111.87228557689608,-8.810780841832951,78.06565896435058,A,B,C,C,62.65405096125447,B,C,91.12872155372352,-131.95387482586003,61.8145616820954,B,47.075976519822774,0
Divorced,Muslim,US,66.69946292675483,B,E,-95.18331720235678,-38.17170651413777,-213.59956246408544,A,E,A,E,-30.521691703296618,D,E,-203.25420908807206,-90.5363069382332,186.50471967661525,C,-29.800437436618544,1
Widowed,Muslim,Other,170.23222005247635,D,C,70.34437136633171,-87.99056308128178,-60.31842916273793,B,A,C,A,-178.9331311471591,A,D,-32.762012372973416,-53.65452332545162,37.64922522499069,D,-53.193222515416615,1
Divorced,Christian,China,-154.50770923617543,E,B,65.62284514546558,164.97902102287037,158.40971718743185,E,D,A,D,-33.53020673042665,D,D,30.58202650577196,52.38040627443185,-19.433424910291404,D,47.74842920738748,0
Single,Buddhist,US,-170.02669963074476,A,C,58.73021454638617,0.1739631205348594,-15.921390283434093,B,E,A,B,-170.20206299289114,E,D,-10.231285196430582,134.70900795956695,-69.56381457028019,A,60.373429415067335,1
Divorced,Hindu,Germany,18.259522896077705,A,D,-158.4432932573875,96.97332091163922,104.64933157245034,C,E,B,C,-0.5035295577432563,E,C,128.653013144969,47.193911847042195,81.09035834129017,C,-32.436858783224245,1
Divorced,Hindu,India,-25.424334743090476,E,B,125.90255811930997,1.273264027632913,-132.75623768971636,D,D,A,B,-189.5972049504075,E,B,-80.95933088713032,40.908124774793976,-44.010433155552256,E,202.54113292501384,0
Single,Buddhist,Germany,-49.11610549776203,D,D,50.94933607423771,79.43825818942989,-99.41404176426126,A,D,C,D,-61.619591570237695,E,A,16.314403121001035,13.87889301264229,100.74088571737319,B,-70.97806799647019,0
Divorced,None,Other,-24.759615698481095,E,B,233.4349088267483,-84.05342255541431,-12.869132593265945,E,A,A,D,-158.81762500717332,A,B,111.5069985616558,104.24161681713196,29.711448635417874,D,159.5578179914921,0
Married,Muslim,Other,271.6837659711649,B,C,88.49381041366452,-71.68353855052119,-15.571825974621447,B,B,B,D,-10.961182891908352,C,E,58.86910882045137,44.07361315016057,88.73541864854272,D,-65.97432806541754,0
Divorced,Jewish,US,67.47286003859031,B,B,244.61039324914245,19.079337826478994,-77.84428263759384,A,C,C,C,51.144593151942566,A,D,103.39081972303894,168.2154610596167,109.86971020027545,D,107.94447857044874,0
Divorced,Christian,UK,11.98540049465167,D,A,165.34059323855945,22.20873277950991,-10.009497126793624,A,D,A,E,-81.81020380121264,E,B,-49.23985464487659,94.16321042004986,118.41315188703258,E,100.95442625808273,0
Divorced,None,India,-104.15957600508285,B,C,-79.79862988574541,-106.13111787125644,-83.94268579935583,D,A,C,C,107.38923899849608,A,A,-9.002933398400764,-205.08653893785382,-59.54746022712656,C,7.645656715730871,0
Married,Muslim,US,-190.0709122347674,E,A,8.944244664134517,24.11738159473348,-27.205590968234112,C,B,B,D,303.9368776177894,D,B,4.0481211477557775,2.941506130665568,92.23985941657669,A,-234.00772398900855,1
Married,Jewish,US,9.380847993512127,C,B,8.744248053256118,13.216896275259352,28.631750843942093,D,A,C,E,-12.381962802422567,A,D,75.97001390725511,-45.254262522780756,73.54264483420336,E,-62.9922758943891,1
Widowed,Other,US,-9.22591646492246,A,E,63.67124766470644,-107.4362460204824,64.68979636953433,A,D,C,A,-175.33190294720126,C,D,111.16011349992974,132.9664498251106,-100.12751983618105,C,113.37201800641799,0
Widowed,Christian,Other,-108.72405065899748,A,C,34.308408941590805,-106.62269568378662,-35.966727710748394,B,D,A,A,32.97189193118646,B,A,49.41295517529654,-141.3198434527465,1.3247937567548123,B,-40.86256693023837,0
Divorced,Buddhist,China,282.2175830820881,E,D,80.43807937966842,-30.467460706621974,-121.20027804629873,B,B,C,B,-9.70641413090343,D,A,65.00410410953022,-190.08115377385178,96.45144559420224,E,80.2768311174723,0
Married,Other,Mexico,73.49942160219209,D,A,45.45416919657368,-49.304071695804076,181.56139968543565,B,C,C,D,11.335412753225725,E,B,20.25176166258918,73.2306245976897,-6.1756035280728625,B,14.994838006696726,0
Married,None,Germany,46.73764001679763,C,E,0.44063288184874316,-69.1744740347567,125.39727143769042,A,C,C,A,-31.532127980614515,B,D,56.07734233805023,196.18986182945534,237.3832311134154,A,-112.0255622631882,0
Divorced,None,Germany,53.10266613605591,C,C,44.55126919215742,80.89719871646072,-159.07879459106618,C,E,A,A,39.72238102456117,A,E,-44.89093020883928,-74.24009709614973,-106.66624323716908,D,-96.83145924583026,1
Single,Christian,China,84.31786315473428,C,B,-28.891123818922342,8.61609947967662,175.02187501937692,C,A,B,E,9.301596188739246,B,A,104.77664192846407,-31.64264395453965,126.18421069582269,B,-43.670663829367975,0
Single,Other,India,60.19830638513544,A,D,-156.24150102681597,86.94880289338768,-53.653554856342446,E,A,B,A,117.26203825303575,C,C,-138.6487222692973,-49.353974251684036,-83.33451478451602,D,89.21006875105758,0
Widowed,Jewish,China,-146.6193534682501,A,C,-21.68421126103007,-67.86714504630396,101.63063131323258,D,A,B,D,12.793814589292928,C,E,-27.066834005061864,20.369279124708157,-100.5767578162151,B,27.26283187130666,0
Single,Jewish,Mexico,-96.9429279647963,A,C,155.93695941517495,-11.654751038747326,170.48859067055332,A,C,B,A,18.72787093969209,E,A,107.56931811485867,-187.99290939868348,-126.82065069625818,A,-3.6551669951273356,0
Married,Hindu,Germany,-3.76025126813257,B,E,-22.221891164472932,70.81119918711718,-134.61232151898258,A,A,D,A,95.71859630576873,E,A,173.2302022478634,133.9740733281016,-126.60381532168216,E,17.92736188090814,0
Married,None,China,-6.617855051219293,E,C,25.515128530739027,76.9439525233854,-14.583463680649524,C,A,A,D,-38.46187678837862,E,B,-166.76389863965366,-97.28830389763107,-109.3733779897371,D,63.2242841159223,0
Single,Buddhist,Other,21.86016789142205,C,C,-46.70450703197652,22.507392507245385,62.87148499524277,A,B,B,B,1.6532172434704622,B,A,-7.254737133594123,156.37133484482072,66.19176763076851,A,29.683383900474507,1
Divorced,Muslim,China,-194.9575044388137,E,B,137.97523890467718,-167.02421821547807,-30.11900693791426,B,A,E,A,-15.400127956575865,D,A,164.76937971780848,-81.49451786013702,46.190897412470164,E,2.4284148056626815,0
Married,Christian,Brazil,9.041053546335691,E,B,78.37017272843512,14.161067491454391,150.20518650241232,B,B,D,D,127.73469471117171,C,D,41.259099439909164,130.16584632316898,-24.399589807091036,D,54.758508827404285,1
Single,Muslim,UK,-106.68541280254047,A,C,-28.45504802356874,-92.2614031657871,99.66457738798589,E,B,B,C,152.4502760634572,B,D,-94.30341217776697,-77.17640126464471,85.21556283473306,C,-57.17044775009638,0
Divorced,Buddhist,UK,-77.6155121834337,A,D,-65.20999172637633,150.46507284356352,39.60698915050637,C,B,A,A,69.50091060581155,A,D,55.537606256584404,-27.472077372685437,-27.045015772674518,E,80.81154977087225,0
Married,Christian,Mexico,16.245941240819654,B,C,66.53821578445898,-36.30175888898155,110.04249147582587,C,E,E,D,27.667151738806584,C,E,-45.62488853899418,-159.72847115422533,-15.414128423924634,B,-213.3985761471704,1
Single,Jewish,China,-189.51406737669006,E,D,-112.76388615665054,33.4468483948554,-159.5955158049415,C,A,D,E,-83.8346848670509,B,A,51.82415938763578,106.4156510884111,161.1823103739375,D,-94.66333495142501,1
Single,Other,US,-30.052494782333188,C,D,-49.794827889865296,-114.78955376754615,74.27430395196059,A,B,D,A,-85.06367220436015,B,A,31.40099335199621,11.51549026780358,135.276354161771,D,224.8533003979908,1
Single,Other,UK,-21.356947335972805,A,D,-173.7799402605788,126.92534720753142,-182.29448021303608,A,E,E,A,-19.480165268213902,A,C,51.91978704104474,-212.3986460979764,73.19876209044169,C,83.99154886641453,0
Divorced,Hindu,Brazil,-34.56783022941694,C,E,8.900083157240854,276.07825680256315,-133.4930585162194,A,C,D,D,-105.90134195912462,A,C,73.30790603373455,-11.929188293122207,87.49028323098663,A,60.56413951203328,1
Widowed,Jewish,Brazil,-180.9531981139693,C,B,-65.31131731805922,-74.05884771912847,-102.10216558960346,E,B,C,B,-227.72219286882427,D,A,76.5764439321802,-145.6631695382681,258.6674734121322,D,-109.64542616391009,0
Widowed,Jewish,China,-81.89547485926491,A,A,-78.76751695270298,36.02708616016297,-49.108579180493294,A,D,E,E,93.86432777026221,D,A,-25.36889771383173,39.97156386343864,-9.189013004651148,C,223.54029776424545,1
Single,Buddhist,Germany,67.45523804947395,D,C,121.87601943088808,-97.43791038539538,-106.77476210599175,B,E,C,B,59.54854384781289,C,A,39.74627484660627,57.87478502519404,-10.707178375759273,C,110.24440175638246,1
Single,Buddhist,Other,-231.73644745315153,D,D,42.81364856178902,-45.119283381989504,-130.8067854699222,E,B,A,A,-38.23371369510907,A,B,-51.92267404446539,35.6840510201852,-195.10693049635674,A,-119.0768189668068,1
Divorced,Jewish,UK,20.422141948626482,A,B,0.3205895537412549,-105.08057550430831,-120.35839222408875,E,A,D,A,59.1441134597742,D,D,129.78819504816812,-83.46789932800861,-89.71450127836171,D,78.66585014029468,1
Widowed,Christian,UK,108.3603251806972,E,A,110.57585077165623,-59.95114162077058,-111.24296817302547,E,C,A,A,-114.69685332025283,A,D,-31.437406765564663,-3.479998264839031,-227.20086646327098,A,-28.27785801425427,1
Married,Hindu,Other,-54.74480178265807,D,D,0.9467776900645186,-61.18612807323931,-133.7863054948643,E,A,E,E,-117.3326721401952,B,C,37.44279224475891,-153.5389327879481,-8.382018558275313,D,-110.04461628629554,0
Single,Christian,US,70.57415089074922,E,C,-88.37482771249735,-139.93365509876335,-47.13477583854349,A,E,B,C,-38.58618171018324,D,C,-294.4220836249528,61.963295005497386,-101.560996248481,B,-40.66049941248527,0
Single,Muslim,Brazil,-252.8076390657179,D,D,2.900265374198564,22.59094702062498,-51.974783857978565,E,E,A,D,114.79429501701017,A,E,-20.791635475533752,20.288528142091586,24.397072720324708,A,33.75185913006315,0
Widowed,Muslim,Germany,19.429815585451703,C,D,101.67068810606376,75.01639146492134,-57.988759729609264,B,B,B,E,63.73153741729845,B,B,-231.3283306243366,21.308778074001076,-83.98820668898888,C,57.65584206462591,1
Widowed,Muslim,UK,59.92262617174359,D,E,-33.50770538076317,189.95313029247126,-96.51775559661469,A,C,D,E,49.376363027760995,D,C,101.81675564251348,13.521454325000306,-105.98536035894202,D,29.901637490265305,0
Divorced,Hindu,Other,94.4610721564863,C,D,82.69560210455495,128.66674262536986,-406.87778557471495,A,B,D,C,-34.01266230067629,E,D,25.59242778843564,19.375181569222843,92.02483481428953,A,149.44033438907874,0
Widowed,Other,Mexico,66.61498999950251,C,E,-22.101636380139027,-154.24285410745833,-57.964976845555185,E,A,D,A,-13.423342256632607,D,B,125.70064000949263,-55.74211046752825,52.58081880091415,D,-83.22908560463348,1
Single,None,India,41.44642071058595,B,A,159.348421494964,100.89315270845202,181.6773350601475,B,A,A,D,-26.159759688234193,A,D,178.60207462408158,-114.27315820646172,17.509678917665358,D,-116.04557288198143,0
Single,None,India,38.056894572887565,B,A,-9.89418155121594,118.28021079452813,9.17070637439276,D,D,D,C,-60.66848691034037,E,B,-94.8029010316336,-50.76769420790771,105.08536949357077,A,-7.364196387438534,1
Single,Other,India,73.24327080416032,E,A,-133.70999062616758,-85.76702990229859,-78.91325316162168,D,B,C,D,135.2712696271545,B,A,-14.42250862562604,4.311992100578379,29.76233187738395,A,-189.18106974043465,1
Widowed,Christian,Other,4.383340971573753,D,B,89.8132498096856,-53.453918136082336,96.09407863553896,C,E,E,D,-77.30564809499732,D,B,61.684527305246895,99.49748709168638,35.67235134841323,E,74.3160709363608,1
Married,Other,UK,-96.45577617420312,A,C,-10.02559274145266,41.60024844230092,-31.3864503484112,A,B,D,C,-41.447374216893515,E,B,-241.32589727624782,-132.20757641212225,36.76662607396994,C,148.77796064603032,0
Married,Christian,US,216.98522875966594,D,E,2.5430862171631876,106.62553092492837,-28.510013747787177,C,C,E,E,42.75424757374714,E,C,19.188268764196955,67.33001671224143,-38.428302276378425,E,-30.997860917098226,1
Widowed,Jewish,Mexico,-70.95678073355812,A,A,-103.48230679305917,56.71298569341934,-74.15545528738816,B,D,A,C,144.2170391545917,C,E,-137.53715572145092,-68.74207971312646,-230.25217149993992,E,-37.97832072577412,1
Divorced,Christian,Brazil,-102.24812112733541,A,B,-32.50892103164212,-99.24146616590579,35.43941930039678,E,D,A,D,85.08163068966947,D,D,-25.34396803041097,-32.981521987200374,-65.97059695012518,D,123.11223494812165,0
Widowed,Hindu,UK,-126.28591625586485,D,C,101.36577896480689,-117.05723942715478,-109.51163575259038,D,A,C,B,-20.635350961187875,D,B,47.58338096561228,51.06442795073317,-25.95690898757249,A,-238.6671963330621,0
Married,Other,China,-51.20943679740482,A,B,-39.1854861025236,-97.16509425653182,92.2942124855537,A,D,E,C,-16.93829720948374,E,C,-24.02786999536542,-26.051712848118292,-34.37868373321159,D,38.04563902653359,0
Divorced,Other,Mexico,131.65464781712512,E,D,0.8769648343992884,32.24792928333876,57.400169891899665,E,A,E,D,51.26448104149885,C,B,-49.3292573763827,-157.96636264000048,70.70772577509578,B,107.32193041675826,1
Married,None,Germany,-11.576755519068408,B,A,-61.90617520084235,-7.2182630514120705,-154.63756821849364,B,E,D,E,-185.2056947397849,C,D,26.637263782296454,100.86838890964836,-57.46580251237737,B,-6.810544626293057,0
Single,None,Mexico,110.00911165194123,C,A,31.20953001898125,5.714362876596562,-46.13204673542166,D,B,D,D,-95.68236381593503,C,A,41.15447886678794,-39.59911955227833,-39.55713337181337,C,-21.928079695539008,0
Married,Christian,Brazil,36.160973429722134,D,E,6.1358056041851,-6.323204743515401,51.68395102360446,B,C,A,D,144.79787909863737,B,D,-150.6358068240333,-57.85208642691542,-13.919574772033382,B,217.27127011301124,1
Divorced,Jewish,India,-12.868799820282462,A,D,196.9373134931178,134.51707019249048,-152.67067737488767,A,A,E,C,-22.859608344591596,C,C,5.457576417527414,61.45526682786417,-227.06263158738759,C,101.82268464245614,0
Single,Muslim,India,-66.48876175156954,A,E,28.004628181381648,123.66697248501065,63.635173767826245,A,A,D,D,-71.88159161729641,E,B,-98.0473804862626,-30.840936626394516,-1.8491414339562866,D,-2.5685137182176834,0
Single,None,Other,-136.2361752653743,E,C,44.309327024526475,84.73389552352185,-0.29514571689312324,C,A,C,A,-299.3513062384844,A,A,6.06491818514706,211.23625563299316,-18.22588476418911,B,28.201120672381858,1
Single,Other,Germany,101.44061896546721,D,A,-17.160871811586066,-93.41387102975706,47.61087186397358,A,D,D,C,-16.67764995094313,C,E,224.69236265962485,23.064406541763482,48.84771116552297,B,17.560740575044075,1
Divorced,None,Mexico,5.889420557324441,C,A,197.73869166398367,6.663689586522659,-73.0997523221581,E,D,A,B,-62.98067117106729,A,B,44.077363406857934,81.56050056426518,116.85577808198262,B,43.52364534990848,1
Married,Christian,Germany,165.94592851587876,E,C,265.15871015852906,-113.65942612065665,-195.90965198011003,A,B,C,C,-56.57806976408056,E,C,-87.99448358485049,89.65811389917681,129.52789761056022,D,20.58975056681515,1
Married,Hindu,Germany,41.9078324542965,E,C,-40.529120389067444,102.62948814134253,10.611881720278971,E,A,A,D,68.8586429702664,E,C,32.86404085102813,-83.92131070872885,16.949924986965517,D,79.26024825193221,0
Widowed,None,UK,-162.53235091703488,B,B,-48.171459764680144,-19.17031614854963,149.66065681476945,D,D,A,D,87.21130404490616,B,D,-93.57949572089794,-46.68174778428036,25.513515509358026,E,124.68229774184833,1
Divorced,Muslim,Germany,-14.173253583810725,D,D,-22.92377416010813,-45.645673129576636,120.22226073016978,D,B,D,A,174.7233421377182,C,A,-1.5330904248787711,4.47139977822982,122.581198881619,E,-86.52682968246822,0
Single,Other,India,11.426530486309316,E,E,-71.72145721831188,-28.50778055283171,52.58868009067306,A,E,A,E,-93.72930420967101,B,D,126.67647206738717,-140.25200790155193,-140.0152908683671,D,-19.03413505630612,1
Divorced,Muslim,Other,-181.57775602128714,A,B,-62.5237883604427,7.923389508787092,-90.89557131037414,D,D,E,C,-49.81700335570629,D,A,121.82901157122828,150.3840776695703,26.39003044775503,C,-11.52154276728815,1
Married,Christian,India,-2.0405550357209616,D,B,73.6473041542321,12.610637039112262,-41.90278661672941,B,B,D,D,134.57177509864223,B,A,-92.8323886685203,11.170491665727674,-84.87110730956975,E,28.873538949853167,1
Single,Hindu,Brazil,53.50244822875203,A,B,-202.84321294112493,133.25942085936393,-138.746084430154,D,B,B,B,-181.085207054171,E,D,119.8335442160074,33.52394058489317,-193.71242224247285,B,-77.74775914160725,0
Widowed,None,Brazil,117.30264873409362,D,D,-7.72539610034087,126.51905600246249,141.79990785724422,E,C,C,C,9.153096849071398,A,A,-87.75093482195238,-106.49263708203532,-124.97750879325156,B,-160.7203105419621,0
Married,Muslim,UK,-44.90718457750395,E,A,-305.4868477833461,-10.46931291076863,-10.154320847217445,B,E,E,B,116.37763954154643,C,D,-90.85849672004105,-186.98484583439415,99.27539883257965,C,-56.24638939059785,1
Divorced,Other,Germany,-98.5512899007244,C,D,2.234442603676627,43.19016120565154,22.013548370522493,E,A,B,B,-31.26280484581838,D,D,-146.63416417193721,-23.949289395525994,45.84962824602922,E,50.90090612345393,0
Divorced,Muslim,US,-128.05177589258443,B,D,-18.756924687696863,213.063563025635,11.575017648066618,A,A,D,A,109.77656144179211,B,D,-183.4216317551564,-79.79587186132827,65.23124739523254,E,-54.78249914971236,1
Single,Hindu,Brazil,178.6997029144254,C,A,17.91538852775978,105.14419109377604,-14.600660294738613,C,C,A,E,42.86099706476211,E,C,-172.4704413502894,6.50842788384233,38.6444617863078,D,-42.837505054412645,0
Married,Hindu,China,-125.35940441338794,D,A,106.50726279874378,29.15248747675998,84.30094748211187,C,E,E,C,-1.9245892879700581,B,B,-3.6381832658922892,-143.2540533620812,-56.386484527722224,A,64.42503237354134,1
Single,Hindu,Mexico,53.83585761162569,D,A,-27.003110683605737,61.5305755799679,-20.24684384441718,C,E,B,C,111.98578646115122,D,E,104.13701763332881,-95.85168715591095,-173.09932770252422,A,-23.761935696670204,0
Single,Christian,Germany,-56.220629681046674,E,C,62.99067102687532,-168.4905575549876,104.51317097928742,B,B,E,A,-79.06117603851943,A,D,92.18489557585407,-90.0325260861005,74.11841128683221,A,81.23959556192086,1
Widowed,Buddhist,Brazil,-125.23428912027725,D,E,181.1618294599532,58.289266801287596,34.65999894972304,A,E,C,A,-132.9415401202802,D,A,44.07745831039717,77.96243902785996,28.56119541373455,A,-192.52147681813057,1
