age_range,Nationality,birth_year,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,target
65+,Brazil,30,A,D,D,E,-197.79490223620726,124.12076283135617,1
65+,Germany,62,E,D,C,A,22.980200855740442,-105.91317921934835,0
18-25,India,73,A,C,E,D,89.09250446415233,-16.35188501849848,0
18-25,Mexico,78,C,D,B,B,-69.59799812054906,25.549916299415525,0
36-50,UK,38,C,D,E,E,78.04107632058721,-60.029564913995095,0
26-35,UK,37,D,C,A,C,-34.430393125534906,37.356974182423244,1
26-35,Germany,66,D,B,D,C,-140.80457654439817,-46.928668605931406,0
36-50,Germany,41,A,D,C,B,-102.15348740695667,33.09591579828416,0
26-35,Mexico,30,A,B,B,C,13.34516662692436,-54.85988365035034,1
51-65,Brazil,68,E,C,D,D,-192.90649379051473,30.348156992786773,0
36-50,Germany,47,A,A,B,D,24.71067620508043,94.49748163828401,1
18-25,Brazil,21,E,C,E,D,114.77997230151577,-49.456086657539636,0
51-65,India,61,D,C,B,A,28.11564195591047,-9.232105317169067,0
26-35,Other,47,C,E,C,B,35.55440794134751,67.70999615081168,1
18-25,UK,26,D,C,B,B,77.66119244408416,3.3430700957174784,0
51-65,Other,60,C,C,A,A,-58.01959012484716,137.58128018802714,1
36-50,UK,43,D,E,C,E,139.970988630395,37.25447101140552,0
18-25,UK,75,A,B,A,B,24.330464507988555,-9.976810639041704,1
36-50,Mexico,75,C,D,A,D,-96.07287164173236,47.63999163403928,1
65+,UK,78,C,A,D,D,73.2620617572282,103.29211939419822,1
65+,Other,70,C,A,C,C,-26.894595433429647,-23.325423966503884,1
51-65,China,26,E,E,A,D,48.60927806828383,-84.9117716172518,1
36-50,Mexico,48,E,A,E,D,38.40236881178106,97.09128169029417,1
26-35,Other,35,A,A,C,C,-52.39590109229073,-168.01280035505818,0
18-25,US,79,A,B,A,B,-98.08893912532064,64.3372092606494,1
18-25,Germany,67,C,C,D,E,-47.16472091954444,-28.265769696712816,0
65+,UK,61,D,B,D,D,-54.64826442642896,-59.939196327093,1
65+,UK,58,C,E,E,E,45.254874344173864,53.720653768436364,0
65+,UK,24,A,A,A,C,-78.31866495556248,119.89321991669499,1
65+,US,65,E,A,B,E,71.23101336778635,-44.90646870197389,1
65+,China,78,B,D,C,E,-114.80592121952951,22.004450136009538,0
26-35,Germany,20,C,E,C,D,-13.014572946441827,34.32856666115215,1
65+,Germany,39,E,D,B,A,-204.3081339971688,-146.54868928886677,0
51-65,US,24,C,D,D,E,-153.61975718772126,-55.95380713696666,0
51-65,US,41,C,D,B,B,-128.0251931466309,-180.10258406883136,0
18-25,China,46,C,E,E,B,191.505836373694,14.637371872500635,1
18-25,UK,51,D,B,E,A,53.23679233737925,29.626836231677512,0
51-65,US,18,D,B,C,E,-38.935261705465976,-112.60817716337215,1
36-50,US,25,A,C,D,E,-7.364449115595526,-164.73206935808324,0
51-65,Mexico,70,E,C,D,C,-78.23318494034199,73.88662297261847,0
65+,Brazil,19,B,C,D,D,86.60561904901265,-65.49961835924822,1
36-50,China,60,E,E,E,B,64.41002562895657,109.90232194790939,0
18-25,Brazil,77,B,B,A,D,-187.75242267068245,-6.687913616442627,1
26-35,Germany,58,B,E,E,A,-238.57761746290626,-227.97341768375793,1
65+,Other,37,D,D,D,E,-119.60767283342473,136.71432718064332,0
65+,UK,43,E,E,A,B,-7.605437713571946,-16.962238030508875,1
51-65,Mexico,58,C,E,D,E,-33.15322563392728,35.785112415291664,0
36-50,India,38,A,D,D,B,8.406223745463855,-121.29281634737843,0
51-65,UK,57,A,A,A,E,-125.23222803632083,-81.18333599214746,0
51-65,Germany,48,C,B,A,C,-150.60116931794957,-141.40796650610898,1
51-65,India,21,B,D,A,E,27.830759925159736,-30.062830048728024,0
26-35,Brazil,62,E,B,E,B,-215.7553136110698,-25.063139856162202,0
51-65,US,36,D,E,D,D,-115.57602860669986,21.547115241924462,0
65+,UK,47,A,D,D,C,-191.66970796475317,17.159289389865705,1
65+,India,35,E,E,D,D,-31.14365208401083,24.13615583960886,1
18-25,India,36,D,D,B,C,-67.72778051097843,2.4141189163456973,1
51-65,UK,51,A,A,A,C,24.487805152724665,39.38888459267433,0
36-50,UK,74,A,C,B,C,-10.522608094854476,15.862068696938897,1
51-65,UK,78,E,A,D,C,37.28739277818586,-76.88385628122877,1
65+,Brazil,76,C,A,D,E,19.289544948601346,-46.38434393507784,1
65+,Brazil,41,B,D,C,B,102.6162242815981,14.361287150016139,0
36-50,Mexico,40,A,A,E,E,1.245930127956584,10.552027072140266,1
26-35,UK,70,E,D,E,B,-66.4420380289858,-4.832798022321557,1
18-25,UK,49,A,B,C,B,-112.02775185093255,178.83242716347593,1
18-25,UK,29,C,C,C,D,13.141500136946924,-81.97337751698764,1
51-65,China,33,C,D,B,C,-167.62588545482944,-50.736263138151664,1
65+,China,61,E,E,B,E,46.52814516568509,51.07098444580262,1
18-25,Other,39,B,E,D,C,-60.87403232773231,-233.83610766208957,1
51-65,US,72,C,C,A,C,57.27713333532631,-11.454999214742907,0
36-50,Brazil,31,E,A,E,E,174.94747768850354,-25.201800770462064,1
26-35,India,47,E,D,E,C,33.60155910252703,32.39391305081041,0
26-35,Other,71,C,C,D,C,20.55449459700637,18.229704888699636,0
26-35,UK,54,A,C,D,E,-60.88627109688585,-72.51439536886087,0
36-50,Germany,72,E,E,C,B,-29.687295993512997,9.353009983524789,0
36-50,UK,37,C,C,C,C,-137.17177533416708,47.80480580914013,0
51-65,India,18,B,C,B,B,-193.5723488533192,133.17665486422203,0
65+,UK,24,C,D,C,A,-144.02407230789998,-98.1713058854514,0
36-50,Mexico,51,A,D,C,B,15.047147836788517,93.28331931294818,1
18-25,Germany,49,C,A,B,B,-71.49433349053821,90.26099387705482,1
51-65,China,34,B,B,C,D,-2.2954280777452576,56.274216905986826,0
18-25,US,22,B,C,A,D,9.335254993636106,207.23845058553917,0
18-25,US,25,D,B,A,E,55.853796207487825,117.36559473194109,0
36-50,Mexico,31,B,B,C,B,-129.822523839307,-106.1082361061726,0
18-25,India,78,A,B,B,B,-161.95441172614943,-48.64325228500481,0
26-35,Other,55,A,D,C,C,-27.821025261009698,11.40200696488006,0
26-35,Brazil,54,D,C,E,A,-88.019703979765,-96.2353673346622,0
26-35,Germany,63,A,B,E,D,-43.230532122889734,182.94702795479253,1
65+,Mexico,73,E,B,C,B,-24.338393504544516,-76.09046342210478,1
65+,China,34,D,D,A,D,100.72321049336679,27.799615760876122,1
51-65,UK,67,E,B,D,A,-49.152773048241826,-138.41431949617734,0
51-65,Mexico,71,E,A,E,E,30.1329772740892,-5.637999139595374,0
65+,China,74,E,A,B,E,-9.742097056126859,-81.1188210292525,0
51-65,India,32,D,B,B,C,-145.81258236249656,-56.46032780476209,1
51-65,UK,42,B,D,D,C,34.34677332643112,23.91883163694873,1
36-50,US,36,D,A,B,C,-176.68577735570094,-185.25478324133834,1
51-65,Germany,57,C,E,E,C,37.53066399851495,-85.04290318460829,1
36-50,UK,65,B,A,B,B,-52.30042989346315,-97.40277242054978,1
65+,US,18,C,E,C,A,-14.20929888979488,156.86621351012909,1
65+,Brazil,65,C,C,C,C,66.96867672401682,5.421418870177928,1
36-50,Brazil,76,B,C,A,A,-44.93845245943312,-134.5210836634353,0
65+,Brazil,21,A,A,B,D,14.892224985052104,-38.14821675360107,0
65+,Other,66,D,D,B,E,-79.91722900255012,89.28923726889543,1
26-35,India,28,B,B,B,E,-317.2625927887599,-83.40359486156068,0
18-25,Germany,56,D,B,E,A,86.71858911705279,-125.80624486739286,0
36-50,China,72,B,B,D,C,110.18049186388525,38.839098646037826,1
18-25,Brazil,47,B,E,B,B,-7.034023452705964,-1.9316577608959284,0
18-25,Mexico,37,E,E,C,C,-63.91092743198897,110.26209601831563,1
18-25,UK,41,E,C,C,C,58.375441276379306,-210.15854976526674,0
18-25,India,43,C,E,B,D,10.255912292688928,68.46160295798865,1
51-65,Brazil,49,A,E,E,E,-135.40907321360837,96.24017122705966,1
36-50,Brazil,22,A,C,A,C,116.91353901334321,2.2539310502965355,1
26-35,Brazil,20,D,D,B,A,7.493181542999866,-11.441755747488774,1
18-25,Brazil,22,B,E,A,B,31.946393105469745,72.74532670119758,1
26-35,India,70,D,A,B,D,-175.3073063581888,51.320960927330994,1
26-35,Brazil,30,C,E,E,B,3.8507820633292287,-89.92538627102076,1
36-50,India,20,D,E,A,E,65.06298578149774,215.94972243408037,0
36-50,China,38,D,D,A,A,-205.62518045387924,-41.04299962293619,1
65+,Brazil,57,C,C,C,C,111.22739336349284,70.39456806610728,0
18-25,India,48,A,D,A,C,-70.95983484711289,-39.40619910096978,0
18-25,China,43,E,C,A,E,186.12574463736402,-47.905345793502505,0
51-65,Other,75,B,D,B,E,-40.81336975122093,-78.04252073091902,1
18-25,Other,56,E,A,E,C,0.5964496680911243,27.386609057950373,1
36-50,India,70,A,B,C,E,-112.21962177085149,109.38185103415208,1
26-35,Mexico,59,D,C,E,E,80.35287809950097,13.730775158561844,1
65+,China,47,A,A,C,C,96.69385044121618,-63.427726999775224,0
65+,Brazil,24,A,E,E,E,89.2214181644374,47.721496423948615,1
51-65,Other,39,A,E,B,E,155.2532418315811,-131.73103167187986,1
18-25,Germany,65,A,E,A,A,56.056669128918976,-35.0135153086977,1
65+,Mexico,30,E,B,D,D,16.795377358192287,-23.91870163678796,1
26-35,Germany,31,A,C,D,B,129.25642292491835,31.379435347366915,1
51-65,Other,45,E,C,D,C,-52.953860230352014,262.3186503063149,1
51-65,UK,41,E,D,B,E,67.02341442519429,253.1092156392764,1
26-35,India,25,A,D,E,E,-5.909320009111037,-86.17458440779714,1
36-50,Other,34,C,B,E,D,62.07734202281119,-99.7340667211887,0
18-25,Brazil,20,C,C,E,A,-9.602265526517833,-22.93606220682645,0
18-25,Other,58,E,D,A,B,125.02449647348593,196.41198614995724,0
51-65,Other,40,A,E,A,A,-200.57212039993044,57.0501025825093,0
18-25,India,78,B,E,E,A,-104.8549150150164,-32.059972140685645,0
36-50,India,60,A,C,D,B,-163.31109421868578,62.21898514847742,0
18-25,Brazil,60,E,D,B,D,-9.644657522438708,-156.74046246490218,0
26-35,Brazil,60,B,B,C,C,-24.156860863939418,0.8233976920265271,0
65+,UK,39,D,A,A,A,78.09126521031473,-103.55059352398193,1
36-50,Germany,24,A,D,B,B,-77.03834059042892,-32.173228656100086,0
26-35,Other,18,E,C,E,C,-2.1925585647932224,250.69964441451086,1
65+,China,53,E,C,C,C,85.282646343792,-132.58032004946858,0
65+,Brazil,69,B,D,A,C,12.85390960106621,-71.04962824071713,0
65+,UK,39,C,A,B,D,157.95630107964215,-46.82706165694622,1
26-35,Mexico,60,E,D,B,B,90.04864917640123,96.125606520621,0
36-50,China,61,C,C,D,C,28.548337203228378,9.948108232758642,1
65+,US,57,B,D,C,A,22.371966428747612,139.72277269532194,1
36-50,Germany,39,E,D,B,C,-36.776173896546,1.0681948090537619,1
36-50,US,76,B,A,A,E,-100.3369998589408,-87.97611082785104,0
36-50,China,24,B,A,D,B,-23.281157813998313,-66.33267935843335,0
26-35,UK,79,D,E,B,D,-111.25310485064546,102.72877497469153,0
18-25,Other,19,B,D,B,E,-53.602292597738796,74.37358866478846,1
65+,China,62,E,D,D,B,-50.581659029450265,-22.127442500466774,1
65+,China,39,D,C,E,C,52.56631481736621,177.41950314588232,0
26-35,China,78,C,C,E,C,16.622274871032037,-145.6478948331872,0
18-25,Mexico,68,D,A,B,D,75.27572733739582,-40.30335492232216,1
18-25,Brazil,29,B,D,C,A,33.344797018809565,-55.135061186517845,0
18-25,India,58,A,C,D,C,14.48318339455382,40.50504670263365,1
51-65,Brazil,69,C,E,B,E,-31.50358563632255,46.40132765301557,0
18-25,China,29,D,B,C,A,-99.80803325674593,22.98598727613679,0
51-65,China,39,C,E,B,B,-19.429236617555286,-18.797280628033192,0
18-25,UK,43,B,A,A,B,-45.18330025017265,92.67562723296999,1
51-65,India,42,A,A,A,A,2.5074560527731533,86.28341722666309,1
36-50,China,36,B,C,C,E,-109.08731677261886,57.93798614816696,0
26-35,Germany,24,E,C,C,B,62.682661166805254,-332.8096483681017,1
36-50,Germany,72,C,B,B,E,-82.22195961843293,68.38922086981233,0
26-35,Brazil,20,E,A,D,A,-26.733747031041915,34.43675629048281,1
26-35,Germany,28,E,A,A,A,-15.82935023506143,172.9567175635697,1
65+,India,65,A,C,D,B,-22.505831354065528,281.10367586689836,0
51-65,UK,44,D,D,D,C,27.020250504938996,77.22541483698407,0
26-35,China,23,E,D,C,A,74.690598244839,45.8392694568972,0
51-65,India,40,B,C,D,E,-101.14886647876648,29.763389023780185,1
18-25,Other,73,A,C,A,A,-81.33906695918557,108.58777087972913,1
18-25,Brazil,47,E,A,E,B,-38.139558205764814,-126.63265042172122,0
36-50,Germany,42,A,E,A,B,-88.06635333082623,146.58862558824063,0
51-65,China,72,B,E,D,C,117.97289068793772,154.14146584613886,1
36-50,US,18,B,A,C,D,183.13899881281446,28.500212606279895,1
18-25,Other,41,B,A,B,B,-15.044624132845247,-131.24570893233778,1
26-35,Other,58,B,D,E,B,-55.61847380319852,-76.66748736928733,0
36-50,UK,49,A,E,A,A,20.86873433300804,51.16317268501231,1
51-65,US,71,D,D,B,C,-248.72027484526086,-111.29321377532533,1
18-25,China,68,D,D,E,A,64.89467256825526,31.33723758497477,0
36-50,India,43,A,D,C,C,-68.47725893789168,-182.76980190765065,1
26-35,Mexico,75,D,E,C,C,-9.213613883338754,20.980436382780415,0
65+,Other,37,E,A,B,B,-62.617310129115246,-8.711145880391292,0
65+,Other,70,D,B,A,B,65.94777539178459,44.87933695722514,0
51-65,Other,47,A,D,A,E,-64.9597805768474,15.262685204908971,0
26-35,Brazil,67,A,A,E,D,-77.18233906177174,-66.3956554409868,0
18-25,China,28,E,A,C,C,110.8651826636476,-3.222003276148876,0
51-65,US,47,C,B,B,D,200.5546658932039,32.83425004885329,1
51-65,Brazil,67,D,A,D,E,-38.316514171114285,-1.6275996725450497,0
18-25,India,66,C,A,B,C,58.70105779736375,-27.47455777239347,1
18-25,India,25,D,A,B,C,-5.327134295737493,-150.79855299068902,1
51-65,China,78,E,D,C,B,273.6189859791585,-2.58967049847369,1
26-35,Brazil,64,E,C,E,D,-84.93145989483301,-218.28652336275564,0
65+,UK,44,B,B,D,A,-20.37598511560019,38.745689439822634,1
18-25,Germany,65,A,A,D,B,165.55988958711612,-74.46688265522101,0
18-25,Other,26,B,B,C,D,-125.03264610966592,48.594919909708835,0
51-65,US,19,D,C,E,E,-80.86426509202552,63.53469910460123,1
18-25,Mexico,26,A,C,A,A,139.86230170242692,-51.20417944506157,1
36-50,US,56,E,C,E,C,-55.536746134182344,-29.560606209255667,0
26-35,Germany,75,B,A,E,A,-1.154841932241502,-2.614165303292727,1
51-65,Brazil,34,A,B,C,D,12.87981301861274,5.228304801505504,0
36-50,China,55,A,C,C,A,50.08564496361695,-34.887463438776145,0
65+,Mexico,18,E,E,E,E,10.35400069784584,-65.35931874542045,0
18-25,UK,60,D,E,C,D,-29.56320273277614,-150.74236457743916,1
65+,Other,65,D,D,C,C,114.54880245011105,-27.25350298157879,1
18-25,US,48,C,E,E,C,-7.919182830172801,110.1913489008134,0
65+,Brazil,67,D,D,D,B,-51.780175119788616,92.78892647502019,0
18-25,US,41,D,E,A,B,68.47874258481455,-65.94892196556995,1
51-65,India,44,C,A,A,D,-108.53682359484063,-129.5300245425384,0
36-50,Mexico,37,E,B,A,C,-55.99685904996148,-160.34903313302053,0
26-35,China,79,A,C,A,A,-94.62437355075386,126.66242611367974,0
18-25,China,63,C,A,B,E,-39.38497749097585,-106.59970572324366,1
65+,US,48,C,B,A,B,212.57290738175107,-10.266592965200106,1
51-65,Brazil,35,E,E,E,D,-77.710395234229,147.62467278085023,0
18-25,US,19,D,D,E,A,-81.55502765578666,224.9379988843177,0
18-25,Mexico,45,C,E,A,E,-79.54094344343423,43.63130208927606,0
18-25,Other,59,A,C,D,D,-94.7219502621658,-33.89003209363855,0
65+,India,69,B,A,C,B,-102.84106967957776,89.35097557739154,1
36-50,Mexico,42,C,D,B,B,-19.155679226866997,31.816532828494353,1
65+,Brazil,49,A,A,E,A,20.230287503889585,-110.67176293636432,0
26-35,Mexico,58,A,C,C,D,7.907891112824907,82.58927871357282,0
26-35,Mexico,76,D,A,E,D,93.11045057041184,20.307542743796972,1
65+,Mexico,64,A,D,C,D,-67.64370359299447,-225.66913679310002,0
26-35,China,65,D,D,E,A,138.4839985428775,-67.01899327815482,0
65+,India,66,B,C,E,C,5.654942248809233,190.90019412837287,1
65+,Mexico,23,B,D,E,B,-14.402272797462023,-13.852717856844201,0
65+,US,79,A,C,C,D,89.32984457465295,129.99829692305127,0
26-35,US,60,A,E,B,D,41.84760513454261,191.68337594472348,1
51-65,Brazil,57,D,C,C,C,-71.99036679961007,38.8157422532873,0
51-65,Brazil,38,A,D,A,C,-86.62582917569134,132.98657272116017,1
36-50,China,37,B,B,D,D,80.67560043791187,58.213918827199166,1
18-25,Other,78,D,D,A,C,-53.482058416329714,19.518035541624375,0
65+,China,39,C,E,B,E,-72.44169078114996,-39.71745533589286,0
65+,US,73,C,A,C,C,-11.381915540734223,-54.21338188676778,0
36-50,China,41,D,A,D,D,-38.3604213753586,25.18833626657487,1
18-25,US,55,E,D,E,A,-64.9039658363934,274.5724618327723,0
18-25,India,61,D,B,A,C,-20.40580029106556,1.7564895245364465,1
26-35,Other,38,C,C,C,A,98.57956222984339,-86.22954311784838,0
65+,Brazil,37,C,C,B,B,14.941153791168347,130.4122040296804,1
18-25,Other,33,B,B,A,A,-51.08690218574199,-113.3546773645828,1
65+,Other,74,D,E,D,B,-3.4108621070409164,201.29761100097414,1
18-25,Brazil,32,A,C,D,A,-56.84035556545789,-130.99617907385698,1
26-35,Brazil,48,C,C,D,A,120.11899796345527,38.41121855771167,0
51-65,Brazil,34,D,D,C,E,39.88664397964975,-18.77568570655325,1
36-50,Brazil,19,D,D,D,A,-91.03786440729344,130.38267851859834,0
26-35,India,76,D,A,E,B,-16.68831365423781,-5.338179169577449,1
26-35,Brazil,43,C,A,C,E,32.21368919561538,133.93557258636847,1
18-25,Mexico,50,A,B,D,C,-91.41097523304185,-16.21911326809877,1
18-25,US,28,B,D,C,C,9.056699730115367,125.36821302849776,0
36-50,Other,23,B,E,B,E,-26.83552575859054,189.58253852140464,1
51-65,US,34,E,D,C,B,-16.474519485018078,81.06219066573522,0
51-65,Germany,35,B,C,D,E,-30.80762896630957,40.78733432995031,1
65+,India,77,A,C,D,C,-88.7705010962001,-70.2357453278637,1
18-25,Mexico,34,E,A,C,D,67.64043438562626,117.2886966068153,1
36-50,Mexico,62,C,D,E,E,89.01348017726454,-98.40476854718378,0
65+,China,33,A,C,A,B,-17.598430419872273,-6.054793175029656,0
36-50,Germany,78,D,B,D,B,-16.981940374029314,-103.39998125029474,0
18-25,US,39,E,A,A,E,97.22197937394714,-71.72144759497702,1
26-35,China,71,E,E,A,E,-84.37705372703903,104.65161785330301,1
65+,China,67,D,D,D,A,-29.31893247187477,45.58596713518941,1
65+,Other,67,B,B,C,B,93.99872393359009,-65.46227635254094,1
36-50,US,50,E,C,D,B,10.650619874005145,-118.0945348300803,0
18-25,India,45,D,E,D,D,117.79373987477236,-72.61041468429502,0
26-35,Germany,23,D,A,A,A,-101.27951456687497,-43.076855862420125,1
26-35,China,27,E,C,D,C,153.80523183058204,-57.48346827343113,1
65+,UK,79,B,D,A,E,66.97862887040444,-67.71653998003343,0
36-50,Mexico,19,E,C,C,C,-76.29317261601692,-55.75395638896518,0
36-50,Germany,37,B,B,E,B,46.56371913814945,80.7982819896925,1
65+,UK,55,D,C,B,C,-13.50968995263761,86.51529859724586,1
18-25,India,63,D,B,D,E,11.995421086955096,-162.8724586631765,0
65+,India,46,A,E,E,E,25.387847109704353,-103.46264166647914,0
18-25,US,25,D,E,D,A,50.11896650398291,176.74934960642733,1
18-25,China,69,C,C,D,C,32.023176431692036,-109.78855231681806,0
65+,US,61,A,C,C,E,170.85761245200257,25.761891320255952,0
65+,China,29,D,A,D,A,-129.7666425568977,-44.009617272666304,0
51-65,Mexico,78,C,A,E,D,8.764588531698172,-16.685659070208704,0
26-35,Germany,78,B,D,A,D,-95.12741051437162,-33.32849397655705,1
18-25,US,42,B,A,B,B,100.0045717658871,-28.222064373318332,1
51-65,Germany,60,C,E,E,C,-126.4184509445523,-71.21037048645638,1
36-50,China,51,A,E,B,E,-32.87310153310416,23.505053505422342,1
18-25,China,52,C,E,E,A,31.79117771710778,185.02922274975197,1
18-25,Mexico,35,E,B,E,E,2.9062483997805333,179.05063105632607,1
65+,UK,34,D,D,C,A,9.728878039432349,-67.78661639825626,0
65+,Germany,49,E,E,C,A,-60.539236473799974,-153.90994889612023,1
36-50,China,29,B,C,A,E,-7.2570307526638445,-50.9518079039333,1
65+,UK,68,B,C,E,C,-80.07297974087923,-53.49751448934502,1
51-65,Brazil,18,D,A,E,B,-15.055333856889543,80.42148848129696,0
65+,Mexico,69,D,B,C,E,181.6611803765178,-39.480111536193895,1
36-50,US,67,D,D,D,B,-28.46095330714022,-126.93877877751632,1
65+,Germany,54,B,B,E,A,-196.29588565264817,-47.553311897914206,0
51-65,India,65,E,E,A,D,-57.37331920013193,17.072384479093483,1
51-65,Other,66,A,D,A,B,60.13866876885662,-109.31621395830531,1
18-25,Mexico,55,D,C,B,C,-33.34995754313319,-9.335492294450118,0
26-35,UK,71,A,E,D,C,23.376505566228232,72.43003297709365,0
36-50,China,76,C,C,D,E,-56.41370010218358,-11.816136564326644,0
18-25,Germany,62,D,C,B,E,305.6643659263221,90.41495968582896,1
51-65,Germany,76,E,E,D,C,156.29645748153783,3.1255731577173136,1
51-65,Brazil,22,C,E,A,D,22.16536493885449,-4.762953998268226,0
18-25,US,51,C,A,A,C,86.98539941327171,81.97381243240727,0
18-25,India,37,A,B,E,A,-76.07356626712097,118.85233152001695,0
36-50,Mexico,32,B,D,C,E,-64.4997561822637,23.27797938019787,1
36-50,Mexico,46,E,C,D,B,171.77569868988067,20.781031350311945,1
18-25,India,59,E,A,A,A,223.0154704270105,100.77381600397455,1
65+,Mexico,27,B,A,C,B,-210.9795893890108,-24.840821347250905,1
36-50,Other,77,A,C,E,C,-64.50651759020354,-43.54924593722738,0
18-25,Brazil,72,C,A,E,E,-35.554015817981565,-90.05698540789693,1
65+,India,75,A,B,E,E,-66.60123812588631,-184.93337846735528,0
51-65,Germany,24,C,B,A,D,6.336980203670739,52.74265946496954,0
36-50,China,44,E,D,D,A,-80.57105970876344,-87.94537129163038,0
51-65,India,53,D,A,A,D,7.500134286569182,-0.5016318595932512,1
36-50,India,51,E,C,D,E,44.13485780865975,-155.2971171824631,0
18-25,Germany,23,D,B,D,A,32.77376918514069,-23.627861314067886,1
65+,UK,61,B,A,D,D,-79.48481205515081,4.943320293949096,0
51-65,Brazil,54,C,D,B,C,86.02337113871981,-65.57437413304902,1
51-65,UK,64,E,C,B,D,84.62549511431668,58.80791341244844,0
36-50,Germany,35,C,A,B,C,83.5501314903153,3.0183094393659116,0
36-50,Other,71,B,A,C,B,26.82212958909369,134.8991967472995,1
65+,Mexico,25,E,A,E,C,58.52334071073793,23.738140766000978,1
26-35,Mexico,39,B,E,B,E,3.698524851356798,2.5848292602873135,0
51-65,Brazil,33,D,D,A,D,-107.0395639177329,148.98328026162565,0
18-25,US,27,B,A,D,D,56.63438567498898,-107.15662421239563,1
51-65,Mexico,18,A,C,E,C,-63.54922181416271,-210.48590046572647,0
36-50,Mexico,47,B,A,D,D,24.232544529329562,-236.6034364553876,1
51-65,Other,29,A,E,E,E,29.869221188153844,42.21438655161011,1
65+,Brazil,24,E,E,D,B,-144.66685963777826,-22.454032409054715,1
51-65,Mexico,18,A,A,E,A,-51.23724616660882,-51.111010232112484,1
18-25,India,45,B,B,A,D,66.63282823663619,-37.017819532381004,1
18-25,China,24,B,B,D,C,-95.84064928402317,-128.31087032198235,0
51-65,UK,61,C,A,B,E,-47.085510565340236,132.75452194746444,1
51-65,Other,26,C,D,D,B,-43.850230191345,66.51790223523018,0
36-50,Other,58,E,B,A,E,-183.81309115466138,-19.736630368942556,1
36-50,China,51,B,B,C,D,-14.389847908302594,-177.09277072462572,1
36-50,Other,43,E,A,C,A,-191.4283864560826,41.55029620525741,1
36-50,US,70,D,A,A,C,-113.43753022862875,-122.84173371812261,1
65+,India,36,E,A,E,A,-2.976530518745786,-71.56301093046864,0
26-35,US,24,D,B,A,C,-120.38958499309771,10.899639359933706,0
65+,China,23,E,C,A,C,146.59260698980898,67.29752457051511,1
18-25,Brazil,28,C,C,B,D,-89.85420685811737,-13.821382751658698,0
36-50,Mexico,38,D,B,C,B,-24.011318670316246,-9.43947920813734,0
26-35,Mexico,21,D,D,D,A,-35.54186238440815,-197.14853339636014,1
51-65,Other,52,C,E,A,C,15.167480194430846,79.48268490029727,0
36-50,India,41,D,A,B,B,-88.50936056501429,98.19869642357023,1
51-65,Mexico,43,D,D,C,D,6.789871806673424,96.2777004695779,0
36-50,Other,69,D,E,A,B,104.3125757511191,-81.8968899678435,0
18-25,Brazil,69,E,D,E,D,-77.637949065138,35.41400087383578,0
36-50,US,37,B,D,A,A,-43.30725769353481,90.09518963913723,1
51-65,Brazil,47,E,D,D,A,-65.0171172073184,118.92917320905532,0
51-65,UK,42,B,E,A,C,208.82373667685496,48.72078573918036,0
65+,Mexico,37,A,C,C,D,-214.1113091586147,-97.98677473682285,1
18-25,Germany,78,E,A,E,A,47.50455266732081,-39.567645973931775,1
65+,India,72,C,D,E,B,38.00734217107637,-27.7020984971394,1
18-25,US,48,D,B,B,C,76.49074231810474,223.77232508080888,1
18-25,India,25,D,E,A,C,-57.163621958436984,38.43924375048341,1
26-35,Germany,75,B,B,B,B,26.412216824017776,-11.824250725734048,0
36-50,India,52,A,E,D,B,-82.06881184363985,54.43130735581768,0
18-25,India,44,C,D,B,B,67.70327555038246,153.00808787287866,0
51-65,US,61,A,A,D,A,57.84327112784473,-187.82811966497178,1
18-25,India,21,B,C,C,A,-42.97818806108062,19.290947594602752,0
18-25,Other,37,C,B,D,C,103.41334323122302,65.80996368876389,1
36-50,Brazil,33,B,E,B,E,82.81548413774229,-21.340426762730235,0
51-65,UK,24,D,B,B,A,52.647220771682356,-113.76130829832061,0
36-50,India,74,D,B,A,B,107.03623723790545,130.14034514324774,0
65+,Mexico,20,D,E,E,A,-71.65381430615845,81.89503704147366,0
26-35,India,51,A,A,C,B,-193.36412643917532,18.327365327942992,1
51-65,Germany,78,E,D,E,D,-31.48113322886532,113.34795255457936,0
36-50,US,23,A,E,B,A,-82.24003686759947,-215.9318763487385,0
36-50,US,62,D,C,D,C,31.29999522344103,40.01185389506835,0
65+,India,60,A,C,D,C,44.49916101464427,-39.01498149085786,1
26-35,Brazil,33,E,D,A,E,-104.29269173415283,-65.04929272402636,0
36-50,Germany,47,D,E,C,B,2.9720966223349596,-18.46859422307509,0
36-50,China,55,B,D,D,B,129.13495290125013,10.378805819542995,0
65+,Germany,33,A,D,D,B,27.093902653922736,-65.74887467344018,0
65+,Brazil,60,C,C,D,C,-8.161749976285776,-158.41920075107328,1
36-50,China,23,E,B,E,A,80.36300950822334,-160.9133423260445,1
18-25,Germany,36,E,B,E,E,-172.42621824681353,-92.84752068609941,0
36-50,US,78,E,C,B,C,-40.19061980665259,77.52007174054197,0
65+,UK,43,A,B,E,A,154.32443339991752,18.48452088270789,1
65+,China,22,B,B,E,B,-107.02470881711096,83.32040756775305,0
65+,China,32,A,D,B,A,-72.7625986132544,-102.85097226704548,0
65+,UK,33,C,E,D,E,-20.190899012792606,105.44492261027732,0
18-25,China,21,D,B,C,E,-129.8703228825122,23.041576015170666,0
