veteran,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,target
Non-Veteran,37.764126001744415,C,171.64875402759117,E,-63.43355366393472,C,E,B,E,C,D,1
No,105.99789467909284,B,8.063420607233693,D,183.62945978440095,A,E,D,E,A,D,0
Yes,47.70631544450648,B,134.1681860556596,D,-44.83377682240061,E,D,E,D,A,B,0
Non-Veteran,-62.768620416030785,A,154.75678999764904,A,-116.52923504692274,B,E,D,C,D,A,0
Non-Veteran,-25.38234390189124,B,-8.176189049572887,B,-37.503449632990666,A,E,C,A,B,B,0
Non-Veteran,-40.98582586092536,B,107.51131877909492,B,-47.01863255386476,A,E,B,D,D,D,0
Non-Veteran,63.05879554486472,C,-80.55364197176758,A,137.75134349099795,B,C,D,B,B,E,0
No,42.61289931691664,C,52.591709517073646,B,58.95710757213818,B,A,E,C,A,C,0
Yes,63.75124947073532,E,-112.7406473865577,C,17.528822617359737,B,C,E,A,B,B,0
Non-Veteran,-73.34789276226125,A,179.2554291949081,D,-174.18815084376732,C,E,E,B,C,D,1
Veteran,-41.73273079176483,A,-15.601837681050421,D,-76.52781917813267,A,B,D,D,A,B,1
Veteran,257.49517519885666,B,100.24561986918809,D,-147.37781254019046,E,D,C,C,D,C,1
Yes,96.57724567033294,A,153.25323402366652,E,-106.89303206603824,C,E,A,B,E,C,0
Non-Veteran,-6.762873403990237,B,-18.243197753339484,A,88.17937737921743,D,D,C,A,E,B,0
Non-Veteran,-33.27463713120735,E,-10.836410291904377,A,93.7275612664274,E,A,D,C,B,E,0
No,77.45751095044602,E,-62.76007225939792,A,111.68251630859429,B,C,D,E,A,E,0
Veteran,4.500420433718103,D,-132.03934730203883,C,-59.11498906130757,B,B,E,C,C,C,1
Non-Veteran,275.9125072750221,A,-15.618772626561874,C,-113.38716097365231,D,D,A,B,D,E,0
Non-Veteran,60.42181738362278,B,148.76904771677235,D,143.82924472834048,B,B,A,C,A,E,0
Yes,11.674758423496373,C,143.58151114453622,C,-6.327450481313539,D,C,B,B,C,E,0
No,-6.470186803694812,C,-180.13398242898526,B,-150.41148836236476,D,E,C,E,E,B,1
Non-Veteran,-102.80009191533546,D,-52.55602167417906,D,67.09924736024576,A,D,B,C,E,A,0
Yes,20.239181717718722,A,-98.16813786365466,E,-100.83054501588917,A,E,C,A,C,D,1
Non-Veteran,-153.31470892846835,E,-42.99733587320092,E,149.41339098699763,E,A,A,A,D,B,1
Veteran,128.66024633114347,D,-226.78737468485767,D,-27.45340649241539,C,D,A,B,B,E,1
Veteran,-55.22371431212173,E,-31.41546026083829,A,0.5527144684851472,A,D,C,B,B,E,0
No,-34.844846815370566,D,-8.430178149620158,A,-114.27809926633941,D,A,E,A,E,B,0
Non-Veteran,-8.329006354807635,C,-145.7496883153407,C,115.08596352315925,D,C,E,E,B,E,0
Veteran,265.4421871828299,B,162.00390390475272,B,33.18701704890572,E,A,E,C,D,A,1
Veteran,-35.08609061813146,A,173.05024512435182,B,64.60570018819529,E,A,D,A,C,C,1
Veteran,-67.66321609756997,E,5.286274560570122,E,-126.43660239105688,C,B,B,B,C,B,0
Non-Veteran,125.8284074636825,E,40.42897805818882,A,-146.86208513249596,E,B,E,A,B,B,0
Non-Veteran,-65.84774657607262,E,112.21603742551625,D,153.38332063871832,E,B,E,A,A,C,1
No,52.11149839479995,C,63.3688087827908,A,-85.74798921222849,A,E,B,A,D,D,0
Non-Veteran,-24.26010318801325,A,-75.35621805960191,A,-76.70958728915409,A,B,A,B,E,A,0
Non-Veteran,-150.01474878984163,D,226.778728176755,B,-149.0285745347384,A,A,E,C,B,D,1
Veteran,95.78735873073119,D,92.00610794098174,A,99.12818408927481,C,D,C,E,D,B,0
No,-48.44527229462922,A,-190.90730586424164,B,-58.57495569823674,E,C,E,B,A,B,0
Veteran,-17.001877534434957,E,-40.70435559639815,C,6.577807279300283,A,A,D,A,E,D,1
Yes,-54.70357448948968,C,-182.02785311299627,C,90.23635201756849,C,D,D,C,C,A,0
Veteran,-244.67885017853996,B,-89.13944443724948,B,-98.4891821129213,E,A,E,E,B,B,1
No,44.441099376267246,D,-7.519492160937394,D,40.934970466479506,C,A,A,A,E,E,0
Veteran,165.1783411368178,D,11.70725229087127,A,-86.33806302271103,B,B,E,A,E,C,1
Non-Veteran,87.22316389189926,D,145.96957660018373,E,-23.701641243798548,E,E,E,B,C,A,1
Yes,-155.22270656431985,D,-18.35358847513082,C,-41.084331142279,C,D,C,C,D,B,0
No,181.4866681272853,A,-13.26989134154598,C,160.23627958076244,D,E,C,E,A,E,0
Veteran,-62.646111770321724,A,-122.59536118503365,A,-197.49758676130077,A,B,C,A,E,B,1
No,144.02488866464637,C,-30.267902057857032,C,-31.01925615957385,E,C,D,A,B,C,1
No,-16.693765501653598,E,91.40724781632976,C,-63.295101816545674,D,B,C,C,C,B,0
Non-Veteran,-69.55997540570719,A,-138.1620538541489,C,-38.75774798382527,B,B,E,E,E,B,1
Yes,-68.10771066690408,B,-36.73751526914752,E,48.86869027522629,A,B,E,A,D,D,1
Yes,126.87166144943458,D,-22.806638961149606,C,16.11711734175173,E,C,D,E,C,B,1
Yes,-26.110356992238554,D,79.33191151059098,C,-79.19569059789534,C,E,E,A,B,A,0
Non-Veteran,-33.06474934038667,B,97.73529236060178,D,-64.30655159739685,D,D,A,A,C,A,1
Yes,163.0837125292826,E,-15.200498447155317,D,-85.27724536636391,A,D,D,E,D,B,1
No,32.23087489859224,D,15.230076007956336,C,152.357471313033,E,C,B,A,C,C,1
No,94.04017630167083,B,27.889105048648126,A,96.27427288014864,B,B,E,A,D,D,0
Yes,85.04242613731064,B,34.14033699199913,E,19.61843720948558,E,E,E,E,B,C,0
No,-1.1444603581745771,A,23.56143852325367,E,-114.49934070242949,D,D,D,A,E,E,1
Veteran,-155.68187662409483,E,187.72865096584857,B,34.26886049390264,B,A,B,D,A,E,1
Non-Veteran,52.64563021264168,C,61.989912357939005,B,-226.59589554014153,A,B,C,C,E,E,1
Non-Veteran,147.21467734819163,B,-41.730175175774654,B,101.14862780917065,D,B,D,B,B,E,0
Veteran,288.0163801560551,B,138.67856328488864,B,45.52170952245918,D,A,D,D,E,C,0
Veteran,-6.815784240525177,B,-36.87450320520402,B,-9.891748869240798,C,D,D,B,B,E,1
No,-127.45073039317995,E,-9.280373685897949,A,260.3888910370555,D,D,C,E,D,B,0
No,-126.9005106842253,A,-156.8049113757894,E,103.36978727561768,A,D,E,C,B,C,0
No,-60.82675965277531,A,187.9071924488722,A,-32.23404341769849,D,C,B,B,C,E,0
No,-155.63313383124034,A,-31.628419549274124,B,92.6475463287986,C,A,B,C,E,D,1
Veteran,90.56970033641396,B,-145.51213508980004,B,97.64772880089957,C,B,E,C,D,E,1
No,88.16571173524882,C,-165.04517123929347,A,140.01022167132103,E,A,E,A,A,C,0
Veteran,-92.0364698075629,C,-41.29569793760145,B,30.635213125118938,A,D,B,D,B,D,0
Non-Veteran,40.89162964044644,E,167.5171076924984,E,46.79986023125638,C,D,B,E,A,E,0
Veteran,-32.59558779664762,C,-58.19768431337137,A,69.00889279540938,B,E,A,E,D,D,0
Yes,15.457355189425947,D,20.8237203459108,E,30.012278394486952,C,D,C,E,D,E,0
No,-90.64265445105141,A,153.79911753623253,D,-9.603080921289934,A,E,E,A,A,B,1
Non-Veteran,43.574256886624035,B,-101.4740306519244,A,57.6111839760265,E,A,A,B,A,D,1
Veteran,-166.28924331408663,D,-291.3624755632322,D,-155.89931501135757,C,B,E,D,E,B,0
Veteran,-27.14916576471141,B,69.15346936139238,A,-32.94277762807287,D,D,A,D,A,B,0
No,-42.418911459988344,E,-140.97451777828613,E,63.71096333215623,D,A,C,C,B,B,0
Yes,-42.16281238125871,B,-74.76484239799738,E,-13.865565347016865,C,E,B,D,A,C,0
Veteran,187.3949991835716,B,15.74337429600712,B,42.65626591077742,E,E,E,D,A,D,1
Veteran,-162.21655323694733,B,-120.07642107412084,A,13.716725984318062,E,E,D,C,D,C,1
Yes,99.44201781559391,B,-51.26372211993752,A,-101.37179958233082,D,A,C,E,C,C,1
No,-42.39381962514347,D,43.621227212532375,D,-43.76344283625123,A,B,A,D,E,D,0
No,-31.765912221563198,E,-8.445978872757554,B,166.2421452479407,C,E,E,B,E,E,1
Non-Veteran,-45.37487789367107,A,168.6088051932435,E,32.781749127581946,B,A,A,B,B,A,0
No,-26.802067305511844,A,31.186978863960384,A,-28.686684420702218,B,A,B,A,E,A,1
Yes,106.95933123650607,D,-114.41910752227629,B,-28.362579594763325,C,E,D,B,D,E,1
No,4.114464836166888,C,31.3151294182861,B,73.09554237574191,B,D,A,E,A,D,1
Veteran,-68.85717117019807,E,55.578133978615554,D,-10.485111953435645,E,B,D,C,B,A,0
Yes,-56.85469300680565,D,61.657338458305574,A,-1.138605415926527,A,B,E,A,C,A,0
Non-Veteran,-15.613385985030694,D,0.1596586140827123,D,17.505797097797306,B,A,E,E,D,D,0
Yes,110.34353052047503,A,-66.98065203565166,E,57.88275781913206,C,B,B,C,A,D,1
No,176.09427564305,D,-3.924677132552431,B,39.171899909267424,D,E,A,A,B,B,1
Non-Veteran,184.37197321930216,E,-140.42015386190164,C,-72.23851098870747,B,E,A,D,C,A,0
Veteran,59.0242416879766,E,-110.78223497450088,D,14.070413814478549,B,B,B,D,B,C,0
No,32.729353250906655,D,21.401957213899227,C,142.28428511154584,B,C,C,B,C,D,0
Veteran,51.81909299678643,A,-9.598623067953493,E,139.94460379490297,D,B,C,C,B,D,1
Veteran,-63.486932266766885,B,74.67024653557054,E,47.04323146603924,E,B,C,B,A,D,0
Veteran,-25.16553637181071,C,-108.76653679284854,A,-8.890365268815202,B,D,C,E,C,C,1
No,-125.34462806904583,A,-31.765415935916234,C,-7.213820115656816,D,D,D,D,E,D,1
Yes,-242.06778518749118,B,-63.28057008820179,A,51.093065268347445,C,C,E,A,A,D,0
Non-Veteran,-116.71571155181665,E,103.0690372505986,B,119.14808573534057,E,C,C,A,B,C,0
Non-Veteran,-5.6201681677472815,E,63.7755636478466,E,80.7485787596981,B,B,E,A,B,E,1
No,22.451181248845355,A,169.62090614631188,B,-198.62553453447748,A,E,C,D,D,A,0
Non-Veteran,-71.69833315871719,E,-59.837746495748625,A,48.85365167022535,A,D,B,E,C,D,0
Non-Veteran,72.45810044552769,C,-119.14295602334155,D,68.77966956251302,C,E,D,D,D,E,0
Non-Veteran,-64.17195256394731,D,-95.14319088420632,E,-40.5759084334463,B,A,B,E,A,D,0
Veteran,178.94448396139722,B,-4.7199032158593015,C,-23.486015385918762,A,B,E,E,B,D,1
Non-Veteran,-191.41456601254728,B,-29.79744024731204,D,22.962073166052736,E,D,A,E,B,E,1
Non-Veteran,14.319244835765934,A,70.31611579028629,A,135.79087491096715,C,C,E,B,C,E,1
Non-Veteran,12.966112978119765,B,-44.75869696527397,E,-43.296270947459654,D,C,A,B,C,A,0
Veteran,-34.56762177961388,C,-24.260387638838267,E,78.42120611700832,B,A,D,C,D,C,1
Non-Veteran,-56.793241014358344,A,90.05762867282445,B,-16.31243238748824,C,C,A,C,A,D,1
Non-Veteran,-23.975722050628384,A,-40.528452530035594,D,-104.5062280427038,E,E,A,B,A,A,0
No,90.98975141865473,B,-96.04930321810612,C,-22.38154646057957,D,E,B,E,E,C,1
No,78.85381781251787,B,207.53404476377284,A,-169.1989433344968,A,E,A,D,A,A,1
Yes,-21.005053618037238,E,39.9891298525889,A,38.136146824941804,B,C,A,D,A,D,0
Non-Veteran,138.17867573716538,C,9.18322759868692,D,46.290570509010585,E,E,C,B,D,B,1
Yes,299.8627214492451,E,42.00764557783765,E,-6.1365783612908364,D,E,C,C,B,C,1
No,158.71313149175668,B,-169.86358242419274,C,-54.88992487399139,D,D,C,D,A,A,1
Non-Veteran,43.960936139309574,B,7.7387471275962625,B,-50.80583914569381,A,B,C,C,C,E,1
Veteran,-109.72576452661124,C,155.33677957140512,B,32.18631396255918,D,D,A,E,B,C,0
Veteran,74.54141322291969,B,-28.32300159589847,C,-7.420765835096485,D,C,B,E,E,E,1
Veteran,61.864926156649666,A,10.689638881557403,B,90.51596562970191,D,C,C,E,B,B,0
No,87.06548854163219,D,-39.23190762067378,E,6.301922893344695,D,D,E,D,C,C,0
Veteran,-24.137547352885907,C,-110.05051805702628,C,-73.59704378561138,B,A,B,C,A,D,1
No,-233.35774365370682,A,161.13206243828222,D,50.366440302381946,B,D,A,B,B,E,0
Non-Veteran,-12.652219458977804,B,49.90600450981218,D,64.56065415679289,C,A,E,B,D,B,1
No,30.72328882259824,C,129.59634242536708,D,-7.401227432189801,B,A,C,C,C,C,1
No,153.0374925720716,C,125.95756489445287,B,-76.55667754881408,C,B,A,A,D,D,1
Yes,-72.63303421688902,C,-137.1098188956647,A,-208.60357534615653,D,C,C,A,C,A,0
Yes,23.011317851824174,A,84.00884176254796,A,-106.38093399921411,A,D,A,E,B,E,0
Non-Veteran,59.24050660721198,E,-104.58868872523539,A,118.45225238563175,E,D,A,A,E,D,1
Yes,-3.000747053705282,C,25.259076564428945,D,183.73796068091139,E,B,B,B,D,C,1
No,-4.360849130033282,D,48.227083653957,E,-50.832643439304334,B,B,C,C,A,D,0
Veteran,26.947446076268594,A,103.21112235116856,E,74.01723083724558,B,B,A,C,E,A,1
No,14.158270472796536,D,-27.16253684284552,B,-9.093487141295748,A,B,D,D,D,D,0
Non-Veteran,8.842817793472067,E,140.31051964867697,C,4.708363590163136,A,B,D,C,A,A,0
Non-Veteran,27.793195221831596,D,-171.98598052010635,E,-26.131061195961934,D,A,B,A,D,E,1
Non-Veteran,-23.461361198820434,B,-46.32234951043603,E,-210.3185448339039,A,A,E,E,D,E,0
Veteran,20.097666516735774,C,137.02789525540723,D,-193.90212515256357,D,E,A,E,E,B,1
Non-Veteran,-12.69259682498998,E,140.54727471212266,B,-52.03034673205853,C,D,E,C,D,B,1
No,-98.75800351020429,D,195.22488481895604,A,-213.5901342606787,B,D,A,C,A,C,0
No,-67.56970870347328,D,-44.53458254571609,D,-81.38662555181341,C,E,D,C,D,B,0
Veteran,125.53158128674843,D,-87.17532049009412,D,123.01283046617593,E,A,B,C,D,E,1
Non-Veteran,-18.757290324158333,D,10.14263350743025,E,39.2451033108547,B,C,B,D,D,E,0
Veteran,-53.23835731721084,B,24.96759320777759,C,109.18703033771202,D,C,A,B,A,C,0
No,-23.649962517965875,C,-53.10190552408211,A,8.538026624523514,E,C,E,A,B,A,0
No,85.49894920527763,B,58.29000721507591,C,151.3577311430288,C,D,C,A,D,B,1
Veteran,-49.158555367997124,B,-93.14234308040068,C,43.71423145808892,E,B,C,A,B,C,1
No,72.81376889453345,D,62.97451274772463,E,-5.110205760664562,D,E,D,A,E,E,0
Non-Veteran,308.3596341453292,A,-14.507407191934055,C,124.37610061004682,E,D,E,E,B,C,1
Yes,31.768572130681722,C,-122.01064004551353,C,165.8050129290258,B,C,C,B,B,D,0
Non-Veteran,-3.213931675084584,C,-301.8584422191905,B,68.56454161791878,A,D,B,E,A,D,1
Non-Veteran,-76.57269091615517,C,119.55254284252821,D,-62.487976049232486,D,A,D,B,E,E,1
No,191.6734102144206,E,-20.803437878965536,B,0.1572952026355069,B,E,B,C,D,D,1
Veteran,128.92899273872436,C,143.53517216781682,A,194.9225673287709,D,C,B,D,B,D,1
Veteran,-99.01148715311774,E,-47.96821173080562,A,90.48280960592288,C,E,D,E,C,E,0
Veteran,50.558401321199995,E,-15.374338083322995,E,-139.8192392491986,B,E,B,D,E,A,1
No,204.94265158758566,E,31.32183065869592,D,-56.327034926389096,D,A,E,A,C,B,1
Veteran,81.00859260750782,D,-21.190980771459873,E,-77.9777916078467,A,E,E,D,E,A,1
Non-Veteran,54.3947980985884,C,-152.97716812066776,E,-49.57101297556682,C,A,C,D,A,C,0
Yes,26.442549326207253,C,-83.80788325482425,C,43.36169878056036,A,A,A,C,D,D,1
Veteran,24.47216819695003,D,206.98036059937047,E,4.0666586029655925,B,D,D,A,E,C,1
Veteran,-10.111018481558105,A,-53.556035044736014,A,-10.937651269157946,D,A,B,A,A,A,0
No,165.54259445884526,D,24.047115111575522,C,36.80427938588235,A,B,E,E,B,E,0
Non-Veteran,5.727755998663824,D,-16.558481649136446,D,16.066575038596756,C,D,C,B,B,E,1
Yes,123.97597421500295,B,43.28471689635002,B,162.07489957248066,E,D,D,E,E,B,0
Non-Veteran,15.608983954339337,D,-210.53561857582724,E,27.735422698276263,B,E,C,E,D,D,0
Veteran,29.336119407241423,A,-38.68988548892487,B,60.09921449838781,A,C,A,C,A,B,1
Veteran,-81.96165082963068,D,110.19430238788992,C,-61.34866760604811,E,B,B,E,C,E,0
Yes,-137.34553043280448,A,-13.153791622723995,A,69.41318437555411,A,E,D,D,A,E,1
Yes,-20.3351202950305,B,52.78724080926786,A,143.66957587562425,B,D,D,A,C,C,1
Yes,9.33531198787373,D,-36.26346015610182,E,-10.258297487308312,D,A,C,B,A,B,0
No,101.3594845640015,D,-14.243857747293449,E,100.67958113115529,A,E,B,C,E,A,1
Veteran,121.13262074388138,D,-12.341386466309974,A,-191.3830612315154,C,D,D,D,B,A,1
No,-34.04229765506482,E,90.99684295407832,D,41.780498265420576,E,C,D,D,C,C,1
Yes,98.86603268154744,E,-52.47608878671118,B,-0.6880542831120149,A,A,B,D,A,D,1
No,-59.142752180210366,B,-37.214059730428694,D,69.34742687725125,B,E,D,A,D,B,1
Non-Veteran,48.09574732083872,A,-161.7398453751689,B,-36.9137161939966,A,A,D,B,D,C,1
Veteran,-51.666053968633406,C,80.70891980921897,B,45.44764269711287,C,B,C,A,B,A,0
Veteran,-33.20785181819906,B,-92.10206245539533,B,24.58666060500899,A,D,D,D,B,D,1
Non-Veteran,-54.27858670448925,C,-11.661387492367064,B,-32.10863370774136,A,D,B,B,C,D,0
Veteran,-62.59427671098513,E,-49.24242462290275,E,-77.1750071137591,D,D,C,A,E,A,1
Non-Veteran,33.917036929796666,E,60.91168126762822,B,-18.701990036908512,E,A,E,A,C,D,0
Yes,33.57744534447404,E,14.434452327944333,B,-58.08516523482303,D,B,C,B,E,A,1
Yes,98.03488988933627,B,-22.034823675549234,C,235.4490636786866,C,C,D,A,D,E,0
Veteran,-45.007025941415876,E,-146.52825249014623,A,-45.47354692671964,B,B,C,B,E,D,0
Veteran,-28.281220311481714,B,-65.52435360888335,C,158.27100453701294,C,A,B,C,D,D,0
No,77.61060515680585,A,-60.25441544575186,A,-224.51951686281842,E,A,E,E,E,B,0
Non-Veteran,3.54942656092792,E,23.867391946758058,B,-0.4130965678751979,D,A,D,E,D,D,0
Veteran,39.837470030758766,B,-3.4073746885671565,D,30.42411307164467,C,C,A,E,C,C,0
Veteran,92.75864889529382,B,-200.06237632571836,D,-0.4630712569673928,E,E,C,D,D,A,1
No,99.71369440221198,D,17.30440346826416,C,134.57350777813048,A,A,D,C,B,A,1
Yes,129.83278931129172,E,-20.04141806753982,D,29.155716798287916,B,C,A,A,A,D,0
No,31.440673517645557,B,-52.352045188885846,E,-20.183611816796613,C,B,D,A,C,C,1
Non-Veteran,52.58102143119262,B,23.447938158647524,E,39.91800696916572,D,B,D,D,C,B,0
Veteran,-156.907080337312,B,-200.75383930993036,E,58.11139164984915,E,E,C,B,B,A,0
Veteran,65.32822062273935,A,-55.02340770468255,C,-49.07257921979852,B,A,D,A,D,A,0
No,-95.615275108316,A,-297.258468600124,B,255.33423741932677,C,B,E,E,D,B,1
Veteran,141.0613352279178,C,49.063362253087504,E,94.27531709884369,E,A,B,A,D,E,0
Veteran,-15.754813677130208,A,-42.832562085388034,A,62.88612027324664,A,C,A,A,E,C,0
Yes,166.04673687260285,D,-102.77963706089064,E,-112.74738804469284,A,D,C,C,A,E,0
Non-Veteran,251.54809447081757,C,86.05917809181085,D,-66.57841036954242,E,E,C,E,E,A,0
Yes,-37.77432508412181,D,145.32453939354576,A,88.74090386508561,C,D,A,B,B,B,1
Yes,187.6424874828299,D,14.508806517364123,C,-156.3699878247957,D,E,C,B,A,E,1
Yes,50.03248966613809,A,-247.90596397324407,B,78.80531273354099,A,B,C,D,E,C,1
Non-Veteran,18.4799210717674,B,-64.01090689320903,B,-124.14825407654884,B,A,A,A,A,A,1
Yes,-39.756826548372906,A,-62.56682165353754,C,59.75891135210366,A,C,D,B,C,A,0
Yes,97.6976958154043,B,-128.17230502352365,D,-79.39546127822223,D,A,A,C,A,C,0
Yes,-100.15168261985828,C,110.23754368012786,A,199.86340483186527,C,D,C,D,B,D,0
No,-38.63230455587084,D,-138.43608281394663,D,44.22849039503075,E,D,C,E,C,C,0
Veteran,158.32835685309016,D,127.85143777808308,A,15.660482271179854,C,E,E,E,C,D,1
Veteran,-80.01861778594568,D,-45.79671615426769,A,-6.142900442768005,C,B,C,A,A,A,1
Veteran,53.02519126508734,A,59.38141265841369,E,36.26822012148626,D,D,E,E,C,A,0
Veteran,-244.96397093870445,A,-28.79174590633593,B,-38.7785252615088,E,E,A,A,D,A,0
Veteran,9.618837928837074,A,85.83727811742072,D,-47.578892768075036,D,B,D,D,C,A,0
Non-Veteran,24.094607093657835,D,-76.78586375256798,A,232.7076781156572,A,E,C,A,C,A,1
Yes,-245.90970660361657,E,4.740933514442439,C,-34.2515845091563,D,E,B,B,D,D,1
Veteran,-65.18512732222456,A,-95.42184258844289,D,91.39487295418179,E,C,E,C,C,A,1
Non-Veteran,61.59867525658972,A,1.6120694763289496,B,130.42308991769823,C,A,A,C,C,E,0
No,0.18382093245667974,B,-9.339639833738849,B,102.56560296831796,D,A,B,E,D,C,1
Veteran,40.954085138536364,A,-16.571316399899487,A,-64.06742120779604,D,E,C,E,C,B,1
No,15.506415574726951,E,-75.04040444999364,E,-118.2647296292884,B,A,B,B,A,D,1
Non-Veteran,90.00771374195425,B,-87.53864291391083,C,110.25446456241335,B,A,D,A,A,B,1
No,33.5025146678915,A,-134.2626888458178,D,-21.62684810684775,B,E,C,B,D,E,1
Veteran,38.07743558071145,D,80.60487482000336,E,67.34283807597514,C,B,C,E,A,E,0
Yes,8.022246625372128,E,48.72529280118952,E,102.48348175410129,B,B,B,C,D,D,1
No,109.82202566638371,D,-31.946804622284603,C,61.13098236234721,E,E,D,D,B,D,1
Veteran,27.554442360289272,E,-13.248108208747004,D,64.41178737623314,E,B,B,C,D,C,1
No,-103.12135496147523,A,99.92920913174379,A,-124.02173555867036,E,A,A,A,B,E,0
Veteran,82.99197960396134,C,-139.23138428775297,A,112.88087926673427,B,A,E,E,E,D,1
Non-Veteran,-59.735527482793636,D,-33.51477377273215,D,122.79324587926934,B,D,A,E,A,E,1
Non-Veteran,-40.38248735675567,A,45.61984093136425,C,-95.25104376363583,C,C,A,E,A,D,1
Yes,-112.80622348693572,D,-13.842839973559624,A,102.34474992548665,A,A,A,B,E,C,0
Non-Veteran,91.5792042457445,E,-57.05524239194426,A,-100.66169826552336,E,A,E,B,C,B,1
No,-37.4986632674925,C,-58.91749608256299,E,56.89189402060438,B,C,A,C,A,B,0
Non-Veteran,-7.407720280561571,E,-55.75565536364549,E,-44.04993265223717,B,E,B,D,A,D,1
Yes,-46.534002301109446,B,-140.43567356075366,E,-1.0197922875461585,B,D,A,E,A,E,1
Veteran,-7.068422663544495,B,-205.89534626827253,E,91.96490328474536,E,B,E,B,E,E,1
Veteran,20.66842404981469,C,16.71658924891347,C,30.263337957150693,C,B,B,E,C,C,1
No,128.3198634374859,B,47.8403535541369,D,-134.36261610254752,A,D,B,E,B,E,0
Yes,98.2299142758864,E,2.378410850480389,A,285.0647856792298,A,B,E,E,E,E,1
Non-Veteran,39.18040716804532,C,36.043945920490664,B,-98.66858132996575,C,A,C,A,D,E,0
Veteran,154.5523203597371,C,-104.3686314090918,B,7.34916156312485,B,B,D,D,D,A,0
Non-Veteran,-123.422887999723,D,-98.65694962818834,A,-24.574423802180394,E,C,E,D,C,C,0
Non-Veteran,56.79477953239156,D,-24.45889019413609,A,39.54025693954251,B,E,E,E,D,A,1
Yes,-49.746420494683896,A,60.258821954510175,A,-79.31582448069835,A,A,C,D,E,A,0
No,134.401863723892,A,77.99194618843634,E,-30.382299140967916,E,C,E,E,A,A,0
Veteran,22.291070758776215,D,-72.40501079899214,A,-242.95665894047147,A,D,C,C,B,E,1
Veteran,87.69004979774625,E,-69.11285080295974,C,-145.9877289386163,C,A,C,D,E,C,0
Veteran,25.681525336613902,C,-85.96165753972991,B,60.7628011696232,A,B,A,A,C,D,0
Non-Veteran,106.29537742831414,C,266.00030779468494,D,-57.30079116068659,E,D,E,D,D,B,0
Non-Veteran,-89.09187386571405,C,116.77645696294437,A,-134.75427576649318,A,D,E,C,E,D,1
Yes,112.48752653054008,C,114.25780162007486,C,-69.83100875571434,B,D,D,A,D,A,1
Veteran,110.5681356357789,D,83.60628884400023,E,-72.4758609598297,C,C,B,A,E,A,1
Yes,-59.089706591257226,D,63.7567252907531,A,-140.10534881574662,B,E,C,A,B,B,0
Yes,71.57710487236531,A,32.814225579843054,D,45.79016954544383,C,B,B,A,C,D,1
No,43.73844958432433,C,-139.4815115073082,D,-152.75818846087796,C,E,B,B,D,A,0
Veteran,-11.505792520815943,C,283.0489847272962,C,-46.94330162852792,D,A,C,C,C,A,0
Yes,233.11041436655037,A,-3.0550860946149583,B,117.27755159021405,E,A,B,C,E,A,1
Veteran,7.025355473406426,B,94.80602326942046,E,73.81490572735264,E,A,E,B,A,B,1
No,-33.75159078858903,B,51.18304437549204,D,-49.27144099226822,E,E,B,A,E,E,0
No,-39.243016834585745,A,23.6996673298808,C,-89.63644888786186,C,B,B,C,A,A,0
Veteran,-13.684405023108374,E,4.783844748758097,B,-124.26904742362161,C,B,B,E,A,C,0
No,-91.85390899437289,C,-60.99456919431099,E,27.657082767257045,B,E,E,B,E,A,0
No,81.85522852807023,C,50.083000237273254,E,-161.7201362392059,B,E,B,E,B,E,0
No,21.705095713200876,D,-13.78290898352111,D,182.57500441463705,A,C,E,B,B,E,0
Veteran,186.2725994752065,B,64.00327682119496,E,168.4560898242716,C,B,C,C,D,A,1
Veteran,108.78235330318932,D,-188.00228175618318,C,-127.4945587117295,B,D,D,A,A,C,1
Yes,-46.388907183646886,C,-130.8109555740539,D,235.14396593623087,E,A,B,A,D,B,1
Yes,-22.05834344184656,A,-79.32542815119038,C,7.866549678198796,A,A,D,B,C,D,1
Non-Veteran,10.838548887303968,D,6.479035562285911,E,-235.0930956657731,D,C,D,A,C,E,0
Non-Veteran,-200.9952814348141,C,100.98486352695235,E,56.3639957914492,E,C,C,B,E,E,0
Yes,40.243114541312906,E,-147.26861634383056,E,-134.46995551748518,C,B,C,A,D,E,0
No,49.75771335509076,C,-78.84703207557537,E,129.8139898275619,A,C,D,C,B,C,1
Yes,-47.997552265157964,C,-7.617756872606584,B,35.465184440521696,A,D,E,E,E,D,1
Non-Veteran,127.49222827616869,B,39.259608034479726,A,-26.754619881362117,A,A,A,B,C,B,1
Yes,-153.58837943167515,D,-50.731165970948474,E,92.78943165780015,A,A,D,A,E,E,0
Yes,-132.25813521623252,E,7.7178121818774486,B,66.16510508119482,D,C,D,E,A,B,0
Non-Veteran,-83.49914042025999,B,-0.9440250618422219,A,-207.51182346921965,C,A,A,E,D,C,1
Veteran,-41.85359317315557,C,-10.53936302263752,A,-124.67600069843068,B,D,D,D,C,C,0
Yes,-92.66864067834865,C,-96.00538841775203,E,20.203149566559894,D,E,B,C,C,B,0
Non-Veteran,7.405123085658424,C,-115.27224151596502,C,133.37860629995316,B,A,E,C,D,D,0
No,-117.91159271592058,C,-18.10457031011853,D,86.90771824752204,A,D,B,E,E,E,0
Veteran,-121.37700406355172,B,140.89651241624767,D,-32.25487704524281,B,E,D,E,E,D,1
No,60.755016398624726,A,-84.81948844440667,A,45.36618416636776,A,B,C,A,B,E,0
