RACE,Veteran,genero,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,target
White,Veteran,Non-binary,A,E,33.40809296005722,101.86084874773212,E,C,1.6661587371021869,D,-49.508147406540964,-204.28043098038322,97.85695569742056,0
African American,Veteran,Non-binary,B,E,29.470866445731538,-57.19932783470711,E,C,-80.7767931232381,E,63.41514961073782,61.48227338941612,-122.09460871989523,0
Asian,Veteran,Other,E,A,1.2759205653950245,65.62109567838247,B,B,46.666729390038185,D,-64.91385453501502,-180.37046681340894,42.5528653821912,0
Black,No,Other,B,C,45.454121602138365,25.138425641995738,A,B,24.777680368238652,C,-117.23418097821055,-208.48099507187587,-73.84535890862819,0
Other,Veteran,Non-binary,B,D,-182.97627748896423,34.59777729017741,B,B,-161.55748736485347,D,-168.09322257480704,92.86866515822406,-140.1410144206829,1
Other,Yes,F,E,E,158.68471652584532,115.48155913193926,E,B,11.231037543621197,A,37.04757254452187,-92.2042315220846,-64.42917873166367,0
Black,No,Male,D,C,142.3588724453785,-58.32670008060049,E,E,-29.082238856842025,A,70.23356718235914,-30.3767740805154,59.58782929239074,1
Black,Yes,Female,C,E,-96.28626025620844,-104.96486157293879,B,B,56.63320370146382,D,-115.7548711809022,89.01160312318817,65.57789421188572,0
Asian,Yes,Female,A,D,155.42592564060004,-15.273492021976839,B,B,-33.36512295556789,E,73.96403473699104,77.91542941317886,-124.01895108582852,0
Black,Yes,Female,D,E,89.71233482255137,178.19952914701346,B,B,-17.554045384168536,C,19.088227710016493,-59.43002763245373,11.047824326832046,1
Hispanic,Veteran,F,A,D,-137.81992379877727,-190.32586614095848,C,B,176.23225837892943,B,77.0090855853533,133.10594006960923,-141.00570049894594,1
Hispanic,Non-Veteran,M,D,D,203.38187841247333,174.70605676925447,A,B,34.20094136657771,A,15.361725828481559,-214.4638970673706,78.74598409066485,0
White,Non-Veteran,Other,A,B,200.8910700566088,67.30937366387549,D,B,-289.92768031102713,E,107.49173972675628,33.22611009639108,-8.762147969199011,1
African American,Yes,Other,E,D,-95.74120182395191,46.25301090339271,A,B,-53.14765333601419,B,112.53842741825792,-28.849947706616764,9.448355536444248,1
Hispanic,No,F,E,B,47.49161022661143,154.55905640524003,B,C,-69.06608228394403,A,46.840811806481206,-60.328416102090124,69.55977677921994,1
African American,No,Other,A,C,-87.79693298548715,-73.33404777527048,A,C,-2.2793004835524844,B,-2.9509385946737403,136.47962480062372,-125.9749003310078,1
Other,Yes,Non-binary,A,D,-42.391112642676156,-74.01574050699627,E,A,69.05330845952577,D,-82.13710111118043,108.66342342007502,-55.58193937158962,1
Black,Yes,Male,A,B,-40.83443615636617,-27.16531993992717,C,C,-70.12938881382229,C,-74.14707445601755,-62.050348528539736,-144.827766419824,1
Asian,Yes,Female,E,E,-71.11996727189339,-19.89155882356921,A,C,98.83735806141021,A,-1.9526032668063384,-154.28475383291968,139.61496822830654,1
Other,Non-Veteran,F,B,D,50.591907758994004,143.06734287520203,B,B,-38.95207675553047,D,166.8483212497908,-23.297093668512428,91.34474106287325,0
White,No,F,A,D,-127.27328455002854,84.06118778520883,D,E,68.3842580383951,B,-16.628761027076507,-19.66925046160803,-53.45360304962809,0
African American,No,Other,B,E,33.648409384447326,124.36302713794258,B,D,-198.9172048291789,D,-54.96074626600922,-95.84128367959856,73.2015314455042,0
Asian,Veteran,Non-binary,B,C,54.87565718984484,111.87917886214271,C,C,95.34670175407672,C,49.965034728044145,-175.37724965716288,24.448402192087624,1
White,Yes,Female,E,C,-62.57999031386285,6.735564349999016,E,E,-7.158932181786132,E,113.91364089561876,23.794639900977316,35.042469121371624,0
Black,No,Non-binary,C,B,99.59794029926454,141.4185394055825,A,A,136.07942972040115,C,38.499424934978315,-70.2329005354065,-69.63563617643645,1
White,Veteran,Other,B,C,-76.06068419270665,42.747053650604144,A,D,-64.72628414396543,A,256.057771853171,36.48254951750246,-2.676474757623607,1
Black,No,M,A,B,-74.95148632542382,130.58899743880227,B,A,10.522201107964468,E,21.032118816838427,39.4414454097251,122.79866163714937,0
White,Veteran,Male,A,A,-18.45505134183946,-232.1135790354435,B,C,79.63817063179557,E,-103.14268569948224,-74.94438103397967,-27.646446696670928,0
Hispanic,Veteran,M,C,D,65.53537958940535,92.55625974857597,C,C,-80.42126660491633,D,210.82848165288252,-27.530960684253024,62.39661772047096,0
Asian,Non-Veteran,F,E,C,120.0602413146111,87.69441590920978,E,D,55.929600681522196,A,181.93855187680055,117.7270166500098,12.887803172169301,1
White,No,F,D,C,-122.86878388486302,123.85350369376356,D,E,-122.03878691385562,D,-50.33748064666014,110.65318137480698,196.9298499583047,1
White,Yes,Male,C,A,3.655808322845195,-59.17014563284367,B,D,25.32137379853484,A,34.38807297632161,166.30355859839585,34.43999936853077,0
Black,No,F,A,A,132.6297876290844,54.61135739814473,D,D,23.63178169538685,C,-15.150455575816974,30.294600316147058,-74.14708373875966,0
White,No,Non-binary,C,D,106.24800082350158,-72.25967091440391,A,B,128.38643485540646,A,-21.429598101301643,-156.05090751498477,28.83101418877961,1
White,No,Female,A,A,31.23293925778045,110.22410839706183,B,E,-26.106954998706932,E,-241.01751570263627,18.13488759881872,64.54565132100677,0
Other,Veteran,Other,A,A,-29.66385140596366,-3.315078072178638,E,D,-28.810303998395696,C,24.282859023235567,-59.44778289155865,-128.72619057058733,1
Hispanic,Yes,Other,A,D,28.275007216565857,-85.26138006967969,A,D,27.419410405977125,A,120.88935670819181,-12.066790579758987,-154.7138120089025,1
White,No,Non-binary,B,A,24.877342058682668,-97.71691497701165,D,E,-28.583140326565726,E,82.50316002928805,-29.44074327736282,-16.448255005865505,0
White,Non-Veteran,Female,A,D,43.892209094425965,232.41173918757713,D,A,80.40947461579002,B,93.04747419211749,110.81732073528643,-106.68913086629563,1
Asian,Non-Veteran,Male,D,A,-128.20762982807733,-76.38157992694859,D,B,53.06655275125988,A,-38.40069449007667,333.4511291817873,33.8164998054455,1
Hispanic,No,Other,C,D,37.89495965773868,117.16077525008275,D,E,-64.68998795396723,E,-1.094490886354727,-3.609103713665333,6.68339365765748,0
Hispanic,Yes,F,C,E,31.400298937624072,-33.86250664504903,A,B,-15.593681977517829,B,-122.47852195426785,-122.99826702931949,179.8330129662644,1
African American,Yes,Other,B,C,-115.06341903480524,-205.89641813379828,A,D,-60.61307714771398,A,-83.86443345053316,-27.80922512984465,71.88357022311051,1
White,Non-Veteran,M,C,E,88.6492559402466,96.3554482492566,E,E,127.3307845076606,C,37.9761577809487,-59.1635430475846,-32.02734410565484,1
Asian,Non-Veteran,Male,C,C,81.5838671903448,126.06463275829927,D,B,-68.20634722268606,D,27.87769439085906,19.777607882946636,1.922297744700035,1
African American,Yes,F,B,C,-42.73031067975356,233.5159438334196,B,E,39.70807250576103,D,-3.5092987762270162,29.40895065489218,-135.13009242499973,1
Black,No,Female,A,C,49.09660121057458,-240.01176718559924,E,C,199.13879622955727,D,-13.966876696864789,-12.113672424264365,101.25994580169395,0
White,Veteran,Non-binary,B,A,1.0684608011711305,18.833867257514896,E,A,77.34385325558523,C,9.031146428846894,-10.690844036370502,18.109507014992214,1
Other,No,Male,B,C,257.9540207321381,-24.72477239915888,B,A,-13.080926892719422,C,46.68430211348908,-157.74376791901412,53.85617388413952,1
African American,No,Non-binary,E,B,50.10915341893234,187.25921946939567,A,B,-10.617600008835055,B,56.56699460515324,-42.97642850366109,-11.299686048332479,0
Asian,Veteran,Other,B,E,-46.1841843313482,105.79121687195389,C,D,108.3275235367622,B,31.15662114048622,21.927125697682456,-172.94347183658743,0
Hispanic,Non-Veteran,M,E,B,96.17986905850013,-20.056310197000727,E,C,-224.1868101124282,D,32.02530965457698,127.95006920743273,30.477352123355534,1
African American,Veteran,M,E,A,-46.30554928234606,-168.96673521872,D,C,-47.94284452055012,D,64.78236752758278,-127.42624301972307,-155.3638339604772,1
Hispanic,Veteran,Other,B,C,3.14200364803515,-13.911702733194812,D,E,252.2681950646503,B,-102.44007962590072,-29.628293498524933,-137.1443259926587,0
Hispanic,Non-Veteran,F,B,E,-107.24969599475018,139.23022011199348,E,B,0.4754113862863522,E,118.0971230698697,-64.19028530654786,-2.3073661727978494,1
Black,Veteran,M,C,E,46.5248506866103,20.825377200855144,A,E,43.738857825727315,E,-117.85376001451884,-14.917596369141926,11.751126807235842,1
African American,No,Non-binary,D,D,86.864069345147,-2.2231776931137532,A,E,27.270180278435802,E,195.01541717641305,-33.85938957207546,-54.932766849871726,0
African American,No,F,A,D,46.504031436991156,16.656586402031472,E,C,-16.721603417507723,E,76.96320154286154,-220.97258005475248,-45.554463097982115,0
White,Yes,Other,A,C,26.615714019304736,-61.21260354164602,E,B,113.50740519751088,A,41.97583077116452,-58.73205344702706,197.7793792335656,0
Asian,Yes,Female,D,C,121.34560750651129,-3.287352683459038,C,B,-135.61191719762303,B,-51.0551822806803,-26.239848161187425,-82.796114328587,1
Black,Veteran,Male,B,A,-39.417106670677455,5.289977047551672,C,D,-108.9360215598163,C,-61.178041051811846,145.76510599204374,95.65031384500521,1
African American,Non-Veteran,Other,E,A,-40.63246471113896,-24.007008299630446,C,B,162.19921818822502,D,-4.8936400496659385,113.12968777687216,-25.720938099044627,1
African American,Veteran,Male,E,E,-33.58944388645393,-96.06719844220756,E,E,55.70013070670533,D,-12.923717136830264,32.620638067459815,-119.34330010446533,0
White,Veteran,Other,C,E,14.27616039480381,7.126238659425041,E,D,11.530061115800386,E,11.317881959176498,239.6203523035393,-9.444275973082856,0
Hispanic,Non-Veteran,F,A,B,-70.88654949340491,212.57117897872408,B,D,43.011746250944846,D,-83.0338540409745,204.21566778814218,37.000552709065445,1
Other,Non-Veteran,M,B,A,87.32129765895006,10.376245618882274,D,D,-39.770471097747894,E,-55.366617116468596,30.775245055709195,-81.8624089215443,1
African American,Veteran,Other,B,C,-82.34994793312023,-7.260420702093836,B,A,-105.43987805165371,A,-4.705238893376071,-55.72508714804948,-204.41140130195285,0
African American,Yes,Male,A,A,105.19830281569126,42.14841998145061,C,E,62.265527439172295,D,-187.82851606090253,30.156545616949497,-129.40299038848795,0
Black,No,Male,C,B,28.40966513112942,50.363048713674495,E,C,297.8677414725466,B,29.15315249069178,-101.37955880905092,-24.772698422239884,0
Hispanic,Yes,Other,B,E,3.467064536755108,-28.835115292658912,C,D,18.75048327314201,E,33.77412590356842,-27.97341331543336,5.1759607981074005,1
Other,No,Female,B,D,-25.602605817134318,-185.0230440450756,C,E,142.95986270912556,B,-62.01200832283356,96.27382590494973,-162.9134197436768,1
Other,Yes,M,C,E,188.4166988457378,-13.327099605150167,A,B,56.234994559336705,E,-113.36006223318604,45.98967532739777,43.50579979820945,1
Hispanic,Non-Veteran,Male,A,A,17.618612780451077,-161.69085916833484,B,B,-21.41749671843518,D,-43.27954208601433,50.5489883592341,13.644565327732114,1
Asian,No,Non-binary,C,E,-93.04279339359381,54.48906877163827,D,B,-125.44529323464155,D,-128.01145139380276,-52.80150639661771,-52.82832931435999,0
African American,Veteran,Female,E,D,-73.68097269823895,23.01509116348074,B,C,-49.64151010666528,A,-120.41766117057027,31.12340523920405,-198.39250048053,0
Asian,Non-Veteran,Other,C,C,-125.13998290310747,-45.6456592733225,D,A,-58.21872301591282,C,226.31010972356646,-11.29708671221278,180.6185188243514,0
White,Non-Veteran,F,D,C,-31.6137322772951,20.983357097881196,B,B,-68.11743317852188,A,-124.0940703683697,65.0910549386731,68.86895953901583,1
Other,Veteran,Other,C,B,8.90443997503517,-35.00390401776167,C,C,86.77531038607364,E,74.79287947400614,19.504229066007454,38.292367443718206,0
African American,No,Female,C,A,85.06697397525922,-214.62213446269138,A,B,-59.63168624949714,C,-73.86766524854161,90.95915626200197,42.42113194673474,1
Asian,No,F,A,B,-23.286369435990757,21.145267310654845,D,C,-100.54911389514953,C,4.979356928796421,141.2720811994371,72.30158030512493,1
Black,Yes,Non-binary,E,A,82.76536490118946,34.04876634797142,E,B,-13.730354146856468,C,-191.33254978393123,-68.15212513908965,-47.218729495299065,0
Other,No,M,D,E,-160.7600406651446,16.078541867101496,C,C,104.57792210210417,E,-64.89998637150848,-187.69461052615537,-58.99240627126214,0
Other,Non-Veteran,Female,B,C,-128.67107341474804,-54.59321871806135,D,E,-75.5277826104526,B,-16.746177428442767,254.50736206528904,-55.486611006924,0
Black,Non-Veteran,Female,D,B,-37.34750252675436,24.532078548333473,A,E,33.927725334538344,C,44.99131451085479,-8.274580829459945,58.079664995833205,1
Other,Yes,F,B,A,-67.56393281403916,-77.75568423526487,A,A,64.58292995127779,C,107.0860615507016,-34.02014892483722,-53.70908199413874,0
Asian,Veteran,Female,A,E,39.17921320598458,-103.44338276564453,E,C,33.32760352295103,D,44.81835745554111,139.6888252474826,222.78069454174306,0
White,No,F,B,D,-106.76861370174429,-48.56064986698863,C,E,-138.81531043476545,C,-115.64865652256768,-92.11339611421675,-69.53655830215867,1
Asian,Yes,M,A,E,7.094936318438131,-1.46938871174404,B,A,-32.098984422351315,A,-176.2073372883362,33.504295104136226,146.49181274732575,1
African American,Veteran,Male,D,B,0.8512487432728439,-30.63638949272808,E,E,-110.98203633345732,D,11.965502222433535,-49.932710815527024,139.12941445285242,0
African American,Yes,Female,D,C,-209.16713163870622,18.425839223747968,A,D,113.8922637640568,E,6.229106650827795,-61.12391000863544,37.12434067948521,1
African American,Yes,F,B,D,-126.20727762783828,365.98064313115395,D,E,-18.285526327232386,C,109.96100375290419,-66.79761119354531,45.130812322389545,1
White,Yes,Non-binary,E,C,86.70431845754776,-42.483475437811904,C,D,14.720825062315257,D,10.307285059213775,-13.543720300739407,-11.5707548912656,1
Black,Veteran,F,A,E,42.05751306200933,168.92629094821189,A,B,259.1427105376179,D,71.43813525568157,-137.41799267675927,-33.487293692737374,0
Hispanic,Non-Veteran,Male,E,B,-61.655849423816086,1.5626488105015799,E,E,-132.6164229155908,A,-17.96205216131174,74.14371868396728,11.051219729642916,1
Black,Non-Veteran,F,C,D,181.51008486947737,99.56994080478351,C,C,171.99397873038043,D,-157.39064150029037,1.2016139011708977,-61.782204749602045,1
Other,Veteran,M,C,A,161.67766625003662,40.13846870122148,D,A,-194.55146528336536,E,-127.68380559997354,-12.224509193387025,8.469365611548362,0
White,Non-Veteran,Other,B,A,37.34245280344756,148.6828632533499,C,C,-58.112218968434824,E,-15.702570702874599,122.62848596554787,9.669374792857438,0
Other,Non-Veteran,M,A,E,73.2646438955299,-134.5160107254183,E,A,-13.326119653924481,A,-3.4573601139857586,168.6750950052532,-82.15131080952264,0
White,Veteran,Male,C,C,2.4811900152365283,114.08182245133452,D,E,-32.1591624738,D,69.7430354290241,-129.49941709401241,-30.891554140391275,0
Hispanic,Non-Veteran,M,A,D,-12.113259914551449,126.3092700468083,C,A,-0.10168242002804993,E,114.15265341048944,158.24713539379974,-84.0293888477963,1
White,Veteran,Other,B,E,66.06304641897903,3.604482895764021,A,D,-108.42031964087828,C,175.24460331840214,11.026232334514901,-10.53003823896211,1
Asian,Yes,Male,C,E,-191.85582680667184,-275.18662811107373,B,B,128.29438149187234,C,142.07393769906753,-11.952493497009668,65.3434266167429,1
Hispanic,Yes,Male,D,E,-1.6635912905574737,221.22833726705764,C,D,-67.9434798184076,A,91.29559431065867,139.61601658954427,-17.90655559905542,0
White,Yes,F,E,A,50.78842272892725,-91.3248213822934,A,E,-19.412742542133852,A,49.75863551181553,98.83842989738208,110.60151092200023,0
Black,Veteran,Male,E,B,82.52846382744,83.07072842646555,D,E,60.318936831293065,E,27.87413368670399,-62.57136317174119,73.40013080157108,0
African American,Veteran,Male,E,D,-139.37502988627267,54.584935935973924,D,D,65.3911919466552,E,112.2254128372928,24.34758181388609,-234.87317194676098,0
Black,No,M,C,C,-143.6167985141669,-116.29131333484591,B,E,-110.04872364771737,A,5.292376981695434,-65.3339555111771,18.9688381014452,1
Black,No,Male,E,D,56.01535743933924,-78.51838518634293,A,A,-67.71482729314434,E,-91.63259096890553,-67.65091853828693,-20.412653890793,1
Black,No,M,D,D,-17.721789934755204,157.81562840454347,E,D,-98.85210827720906,C,-91.72994917533529,-79.35518296084211,-122.74051415555043,0
Asian,Veteran,Female,B,D,-12.078945783695893,-33.48303556579214,D,A,-177.0362680527803,A,-52.44219607507563,132.36371486978157,0.20733536705516495,0
African American,Yes,Male,C,A,49.257262489078755,252.2305473721747,E,C,85.92166924285003,A,-97.83129674028221,195.73040395533084,-12.792310949225547,1
Other,Non-Veteran,F,A,A,133.82138780860566,-103.89897317812682,E,E,-42.39056147290932,E,-123.08790329419594,-143.75800687113804,-49.59821768603205,0
Other,Veteran,M,D,A,-212.1699072663657,-69.40067054276012,E,B,-73.13147915332412,B,41.54536314211177,7.307760353757466,-23.360537534043786,0
Hispanic,Yes,Non-binary,E,B,-9.218893399370472,-78.51216030059318,D,B,-10.165722684472172,B,28.283763324760987,-20.0199191549477,69.45786939539808,0
Other,No,M,E,C,-6.204575811868029,62.862868860509,A,D,-93.92054439346705,D,-81.07425487513693,-66.81069554012691,-40.197447026557455,0
African American,Veteran,F,C,A,-24.134315041421093,0.6031799480194633,E,B,56.97256210419346,D,55.97391887084727,-160.27508375426197,-19.75235196494642,0
African American,Veteran,Female,A,E,145.62685953975065,65.149179427032,A,A,84.11713616271147,A,-30.458860330954018,-129.41894686598806,-147.43488135630892,1
Other,Non-Veteran,F,D,D,14.280316711714471,220.67945247665764,C,B,-22.118931923079604,C,3.388924270511192,86.6346748970108,-66.06946562477057,0
Other,Non-Veteran,Female,D,A,106.66209720951724,-234.5610922897048,C,C,-27.16813036021008,C,-79.59378589198538,1.2516321632881506,-147.09637889252704,1
Hispanic,Veteran,Other,B,C,23.080439974103122,-62.3710266538892,D,E,-14.515040228614643,C,-66.36706722845526,54.259111509247795,4.158176192882245,1
Hispanic,No,Other,B,B,74.89165567885883,-55.16473340980389,C,D,51.298609735194034,E,-28.06466565955018,8.058194818214105,44.341066555569626,0
Asian,Yes,Other,A,B,59.32913631018006,13.114899271227992,C,A,54.975426026106064,E,45.76607883497005,8.909987535894986,-27.156785236489366,0
Asian,Yes,M,E,C,-31.88590322154306,-195.53741325993175,A,B,-12.146592185899253,D,4.109301081267801,-90.82870181590856,-70.22710476557435,1
Black,Yes,Non-binary,C,C,-177.5452547979384,96.35912061745368,D,D,-60.0307960640569,A,49.745444203208464,94.89773990344354,-62.138018241947094,0
Other,Yes,Other,E,E,89.9013883140244,-342.9075907634528,C,B,8.178175223489001,D,74.27937349097913,116.26737451579787,10.029683728359757,0
African American,Yes,Non-binary,C,D,70.36305229957178,-198.45212455137207,E,B,-138.0374025077829,C,152.7053223572296,-86.02512552340168,18.328368763367177,0
White,Non-Veteran,M,B,B,49.821399508375144,-3.793573716475629,E,A,-111.61730640523947,D,-19.528458672951224,68.21078933139013,-13.130713860219439,0
Other,Veteran,Other,B,E,129.07776326879485,-46.46858132834629,B,E,6.952031647380824,B,-72.33208889293185,-136.16425354695443,-124.99317863062929,1
Asian,No,Male,C,C,67.42867770910212,126.16096017998217,A,C,132.8314765170495,E,31.75777611696338,155.6681034815219,-51.234008275843465,1
Black,Veteran,F,A,E,-30.829314897025935,12.973545791017912,C,D,167.23455685436994,D,163.8341703357823,125.14119437920183,-142.28120358532377,0
Hispanic,Non-Veteran,F,A,D,188.15430105551854,22.542886464440603,E,A,-33.422544581813405,D,-62.09148872344329,-34.69757789786569,-6.4614859439859424,0
Other,Yes,F,A,A,195.9128260633027,121.79728480590153,B,C,-7.79440338844948,E,-151.93474912317023,27.267545488182826,-62.492430284522214,1
Other,Veteran,Male,A,A,35.487871333168904,-84.92689069053301,A,D,98.66300238595565,D,9.548751897153775,42.76359570529109,40.88218277311485,0
Other,Yes,Male,A,C,-35.6449685287428,7.174078277101262,B,A,-56.112771082192424,B,93.65296481586266,33.655473471565614,4.246261749999628,0
Hispanic,Non-Veteran,M,D,B,60.34911094388882,-73.97541614558656,B,D,-35.900369667444394,B,149.9812144250725,140.44489244746552,129.0597437528466,1
African American,No,F,A,A,-54.34558417501897,-72.11879286363778,D,B,118.07363768574639,C,-83.81008181993678,-158.58460008216534,-14.576595608517975,1
White,Non-Veteran,Female,B,A,41.38586609838697,28.189518242011058,C,C,88.9839352054137,A,-127.12376546620756,93.7337270113022,-190.84940886899554,0
Asian,Veteran,Non-binary,D,B,-121.44293393721748,-78.09508145771757,B,A,122.42343384726333,B,11.045777903698022,15.28329049116229,-83.2220495740111,1
Asian,No,M,A,D,117.76238818730458,23.9594756183011,D,C,-164.1778879225476,C,-53.16580842472959,7.6964727404724504,72.3877889452407,0
White,Non-Veteran,Non-binary,E,C,-45.69911205398742,367.135042512201,E,E,-119.56676563852342,A,17.2776596575263,-76.67671331301925,-56.1181366142149,1
Black,Veteran,Non-binary,D,C,126.81372989897606,-121.93789200376679,D,E,14.12498712246817,E,188.06664362770053,98.11620357401608,-95.19889782780366,0
Black,Veteran,Female,D,A,17.135982477918482,-99.95412619211758,D,A,105.3989906360709,B,56.345060999336184,-98.76915466609294,53.18812975926901,0
African American,Veteran,M,E,C,-14.190246443864368,53.813271884325346,B,A,119.46451693748341,A,16.808092427918552,19.575558444202372,-39.43934471067287,0
Black,Yes,Female,A,C,-83.35887852434432,87.51885334633387,D,E,-226.61955320966146,B,103.64297169995518,0.41850543015480984,23.31319736005899,1
White,Veteran,F,E,C,48.46001968540815,-5.799092466320542,E,C,81.15777693749176,C,54.61758980430128,-84.08830510667158,-15.97113177682298,1
White,Non-Veteran,M,A,D,-96.73910618090292,-108.22472007401163,C,C,26.592873038390337,A,-298.23765254485943,-169.65377304821374,12.129723227299309,0
African American,Non-Veteran,Other,A,B,1.0778418269123438,20.16032048490219,B,A,-128.12283410221147,A,48.216133234771405,99.94852765482258,-133.13788995044098,1
Black,Non-Veteran,Female,C,C,79.5591727587247,-178.85376745248297,D,B,-77.10493661262295,B,-69.14681652500988,7.269300701047074,-158.18448634316692,1
Asian,Veteran,Non-binary,B,E,-17.89292468163862,-7.62889643123143,D,A,-61.74688432809501,C,-88.7253342716566,-39.39875858360605,-7.115367006471781,0
Other,Non-Veteran,Other,D,D,-62.67252799011239,-35.32453548662596,B,C,-39.20062557155081,C,149.70334387180563,146.7064400515234,64.28592678755318,0
African American,No,Non-binary,E,B,63.754305402439115,42.42114537759741,C,D,-30.239347985476517,B,157.25801424265035,-107.57236694840849,-49.03714617451179,1
White,Veteran,Male,E,A,153.56337683176747,-161.45577291172492,B,C,-62.76678072971663,E,76.57276955950803,28.366297175529187,67.7686245638435,1
Hispanic,Veteran,F,D,C,-39.954343889028245,73.4878280710392,B,A,54.875968881135066,E,96.48740599541902,-73.35836352082184,-18.852614599885147,0
White,No,M,C,E,28.419921009802728,-150.7138150713866,E,E,21.857542301729776,D,189.0071242824005,-27.61874934207571,-155.92625729218727,0
African American,Non-Veteran,Female,C,B,-125.49416652292973,-132.97588769700369,A,A,93.83488508711356,D,-97.0960741175941,39.980428113159796,-116.92569142786537,0
Hispanic,No,Female,D,A,119.551548264731,-184.1565634398641,B,D,105.62676265453241,A,-62.58691473041977,-217.2780675688999,-117.40467893460003,1
Other,Non-Veteran,M,E,E,-32.74904958267831,-51.26560022113458,C,A,21.72810229099749,B,75.61782097106453,77.84277576613707,-31.1286584219418,1
Asian,Non-Veteran,Non-binary,C,B,55.78203519746815,4.860821329699681,A,A,59.33943567088724,A,30.79106061460144,104.20166342734728,-37.412406901077674,0
White,Non-Veteran,Female,D,D,289.59032147946976,-10.812870607878258,A,E,-53.87272595842456,D,-48.03641632756581,-11.918838835438757,113.39263921680154,1
Asian,No,Non-binary,D,C,-78.36782083046278,-15.55738682906275,C,A,-289.7430668403268,D,-143.274042270636,-45.56944748418429,37.73967292420304,1
African American,Veteran,Female,B,C,47.37163414627899,105.36474604462072,D,B,34.14069063927918,A,13.687242312756625,288.87751542227574,-121.67067408520622,0
African American,Veteran,Non-binary,D,D,98.60465213079299,4.960850933476383,A,B,-28.868603843202777,E,186.148236017337,40.31924810788517,-79.90571042710852,0
Other,Yes,Other,B,E,-120.90122917687654,93.54069617100959,E,B,69.58175095734254,A,-10.400999187543581,12.257758311018138,61.119019594624056,1
Hispanic,Yes,M,C,E,34.271356597068596,-104.22660521791703,D,B,81.20556174993258,E,-4.872953664465288,109.9803888109504,58.50338281560242,0
White,No,Male,A,E,8.300897986335547,55.2399770514169,D,A,-30.975979747747555,E,-210.5700424998353,170.067240589979,-95.6609229619994,1
Other,Veteran,Non-binary,D,E,-95.59039525829597,-108.667685974602,C,D,119.97710294807781,A,-67.31665555800993,91.74951264557848,-56.8411302732811,1
Hispanic,Yes,M,B,E,43.91108624450676,69.43250012371472,A,E,-76.3369575788562,D,136.9271631059261,-41.68645947906202,45.85767584597585,0
White,Veteran,Non-binary,D,D,-37.041833125655735,-238.14581317063514,C,C,35.68533304630124,E,-93.03133163086588,58.730664827500064,-76.89315251736974,0
African American,Veteran,Male,C,B,-18.911367921402316,115.78014841347044,C,C,101.62517159560964,D,-25.87089250221899,115.42565162596416,25.73517293832679,1
Black,Yes,M,A,D,103.20871988981486,124.27873513397168,B,E,101.24705116522188,B,200.08021763407294,93.95913544497628,-18.78038686309301,0
African American,Non-Veteran,Non-binary,D,B,-92.3846882109744,30.039202168244316,B,A,59.042123839221915,D,-72.88489634140764,3.9954425615800417,-107.42810809586717,0
Asian,Yes,Non-binary,E,E,204.83412203432613,51.47722301692008,B,C,-163.40205871556742,E,42.06195001466114,142.67825703913323,-30.742627537984944,1
African American,No,M,D,A,2.472901650882124,145.80381016516654,B,C,83.46023090506965,A,100.96269137261551,-134.45819793165134,9.281690332675225,0
Black,Yes,M,C,B,169.6592425773489,-103.36092139825371,D,A,-162.51392928671393,E,-51.37170130254556,-65.21667732723117,-58.684545857987345,1
Black,Non-Veteran,Other,B,C,122.38642588077893,-137.3802198543457,C,E,27.43324148121506,D,-50.42469575579166,149.46030246761111,-128.85161287805164,1
African American,Yes,Other,B,D,31.320209895929697,-187.4465153939833,E,B,50.78413964143419,D,-43.08020106041423,155.22583676563048,194.95391101737005,1
African American,Veteran,M,C,C,30.16483434925526,21.590916808426,E,B,26.134938368350586,B,137.6260996890441,21.69468235844621,43.65875801937536,0
White,Non-Veteran,F,B,B,52.47698029499075,51.26240950186383,A,D,24.605388448830855,B,43.111364984870164,118.90518311689921,-1.6552084284212727,0
White,No,M,C,B,-32.07162569600197,-14.692876169828061,B,A,-69.0291776944694,A,23.993414826109785,-57.664979567597875,-118.30933544020571,1
Other,Yes,F,B,B,-88.40864583064018,-118.33778618194964,E,E,-28.634686933857566,A,119.48536351593417,-23.173167196728038,58.45993456638373,0
Asian,Non-Veteran,Other,A,B,43.85590752371644,-30.719686420930504,A,E,41.05366395428196,D,138.74554596964802,-25.931474476044603,110.55930625454431,0
Asian,Non-Veteran,Other,B,E,112.86774748755326,-19.479869091241337,B,C,-32.658872672468256,D,-63.61778996204633,-108.71583104705896,-26.169776414043888,0
Asian,Veteran,Non-binary,A,C,32.400954231240355,-103.8933758033999,D,C,-49.66502057080256,A,103.52992909906042,-100.67755689314339,79.70101603002966,0
Other,Veteran,Non-binary,B,B,-20.800814976659478,-170.22903271317773,B,B,50.55805348214088,C,-25.457866942832023,-87.76816276111884,66.99685501214249,0
Other,No,M,A,C,49.24090881078833,55.92265563983877,C,A,160.70721475481363,A,-53.43874421300416,-94.2776689655392,-90.6387464353621,0
Other,Veteran,Female,C,A,-26.957302963798856,12.854546783409,B,A,160.5892882196312,B,-48.419027125642494,66.49902747624458,164.12016507535344,0
Other,No,F,D,D,67.8809975934368,-25.27703809138226,A,C,53.64399995577542,E,-110.49613394325716,-23.262827920112127,144.4077152917412,0
