Nationality,married,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,target
Brazil,Married,D,D,-159.9119634676594,A,D,-82.2083252844742,10.985788328730774,A,0
China,Married,D,B,40.900396861970854,B,B,7.115129896060424,-171.1707887495678,A,1
India,Widowed,C,D,-218.7059553246397,C,E,93.56068621708278,24.153730282241547,B,0
China,Married,A,C,-118.77243448803539,B,C,5.2582829575043135,-188.66640385296776,C,0
India,Widowed,E,B,-100.73213684720399,B,E,42.49828702414257,177.77671758518116,D,1
US,Divorced,A,C,-216.97016028840733,A,E,-162.15231859212764,75.60806549216689,D,1
China,Divorced,E,E,16.12757469198354,B,D,-44.193381264473615,-143.1927429502337,D,0
Germany,Married,B,E,211.19225781520942,E,D,4.763196809627288,40.07024410501066,E,0
UK,Married,B,A,-0.0863283729143525,C,C,20.276973190184137,31.333849494642426,E,1
UK,Widowed,E,A,16.11482621225795,B,B,144.9673324783002,-85.23909339769217,C,0
UK,Single,D,D,252.401533538049,C,A,-64.51704130017158,195.91822649736545,D,1
China,Widowed,A,A,132.31402918983375,B,E,-82.83526661624359,-40.51602651872765,D,1
China,Widowed,D,A,-22.62109619197168,A,C,58.44779345725368,-9.86179196337622,B,0
Other,Divorced,C,D,78.00835279139474,B,E,145.06581817393143,13.047724503657271,A,0
Other,Widowed,E,B,32.7365468321985,C,B,25.312806251571473,-89.005135258229,D,0
Mexico,Widowed,D,D,-29.648349671475867,D,A,59.63044634806833,-182.79936518489873,C,0
India,Single,D,E,-102.87363244623356,C,B,-158.52609452128536,97.34291893195942,D,0
China,Married,B,D,-134.98750213325698,D,A,-7.592446743917038,-114.82255117758527,E,1
Germany,Widowed,A,E,23.239346292007717,A,B,0.49229855281879625,-181.4889387065465,C,1
UK,Widowed,C,B,62.37601580227108,B,C,-11.685428251658944,35.34303452179689,C,0
US,Divorced,B,E,22.369801085937503,B,E,7.244638754476583,-109.84149177550395,B,1
Germany,Married,B,B,26.482289679968275,A,B,-69.08325772455657,-44.057866358403544,E,0
India,Divorced,C,A,-27.73007163975179,D,A,203.25557783355296,-172.94610157624837,E,1
US,Married,B,C,3.7548248502763446,B,D,10.173588698199698,-19.179125297003825,B,0
US,Single,D,B,47.48738395081,E,D,104.94740896709207,-64.4601185847968,C,0
Germany,Divorced,D,D,-16.000133556334884,B,E,85.06979702304292,-54.33842136100687,A,1
Brazil,Married,E,E,-35.56448351426184,A,C,54.5309773764515,-37.557368596080835,D,1
Mexico,Single,A,D,-90.52452147863333,A,B,-6.525548272963781,-205.8307899070055,D,0
Germany,Widowed,B,C,-141.51345242167807,A,A,281.91130844185886,97.82173870451287,A,0
Other,Single,C,E,34.06817719540018,C,A,-76.2871399877725,-7.7946990165473045,A,1
China,Married,D,A,136.242710073029,A,D,171.7347635780352,49.08948331620934,D,1
China,Widowed,B,D,110.1470460007834,B,D,-71.77782785894397,74.87013002079512,A,1
India,Divorced,E,B,3.844428472825767,A,A,-4.779976891599634,36.372009913994944,A,0
China,Married,C,B,44.33299562408789,D,E,-56.19388572860944,113.27855204175208,E,0
US,Widowed,C,B,-26.575021358088396,A,C,-31.158898613266306,-47.391774379217836,A,0
Germany,Single,D,D,-39.92667772580301,C,E,-23.51606346938357,94.30421946662956,A,1
China,Divorced,C,A,23.799089870719214,E,B,124.31827837606208,7.5940716657959655,C,1
China,Divorced,B,D,-115.76119028165121,D,D,-50.708633861474404,-64.07549396800178,C,0
Mexico,Widowed,D,A,-68.59620617270318,E,E,-193.89042427058507,-163.0628020267574,E,1
Brazil,Single,A,B,66.8292125555556,D,B,-159.3595358481095,43.5176494716432,E,1
Other,Divorced,A,B,-33.068676856472216,C,A,96.17488923056679,41.52328432098331,C,0
Brazil,Married,A,D,32.63962286705317,C,B,-52.83207722736377,-24.74707923923475,A,0
India,Divorced,E,B,93.3771492407564,A,C,-64.09403105771537,92.05644970115209,E,0
UK,Married,E,D,123.52460473462952,B,A,76.18795640430542,-77.43043978817465,E,1
Brazil,Widowed,E,E,-8.632397519049475,C,E,-102.20464225473012,41.91874264196698,A,1
Germany,Widowed,C,C,127.45615936130304,A,D,251.5297781589816,-191.88015828508165,A,0
UK,Divorced,D,D,-54.3702866902642,E,A,-45.34445813004508,-77.6377097837477,B,1
US,Divorced,E,D,104.19845227026502,B,B,72.37518867914963,54.436572697577986,A,0
China,Widowed,A,B,-143.53143987629485,C,E,-33.15523025044237,-81.25393916308987,A,1
Other,Single,E,C,27.440256769814702,B,C,-131.07225416415832,33.08779745255998,A,1
India,Married,D,D,24.093204520269108,D,C,-119.70323286070865,67.8703729089594,D,1
Brazil,Divorced,A,E,-116.89123305497402,E,C,78.07893579750296,143.99090858365548,B,1
Germany,Single,D,A,-101.03597139434109,E,D,88.83281881722922,-20.655825680485954,D,0
China,Married,B,E,51.30167895482277,A,B,-156.67366374489654,103.37535867269037,E,0
Germany,Divorced,D,B,33.538303273089056,A,A,79.13290220449679,-42.31070562169514,C,0
Germany,Married,E,E,10.976000626714383,D,A,-76.48883205289457,-66.71394769275537,B,0
Other,Widowed,E,B,17.67451326677075,D,E,-25.519627415287648,-29.14279729631514,C,1
India,Widowed,B,E,-126.82181696357824,D,A,15.572618247499523,-61.3261456372864,E,1
India,Single,A,B,107.80538999719786,D,B,72.21726898286813,79.28983525806058,A,0
India,Widowed,A,D,67.96349879094531,B,D,277.0918314552779,161.8428398398368,D,0
UK,Divorced,C,D,32.96381470219975,B,B,166.19532157259124,-68.15415248850897,D,1
US,Single,C,C,72.32506754559769,A,B,-154.44337916030145,-31.410357797854125,A,1
Mexico,Divorced,D,B,-5.602508890581437,A,E,-9.861497545237743,-24.649331396116505,D,1
Other,Widowed,C,D,199.39658166860988,B,A,142.2564527923246,28.39998933973657,B,1
China,Single,A,B,-57.967657818131,D,E,0.749510817231382,-9.85316641499673,E,0
India,Divorced,B,A,-71.43892787174968,C,E,-19.31547894185077,-87.28160698943768,D,0
Germany,Single,A,B,49.87827567551445,E,E,134.37061442749595,-76.1283448188879,C,1
Brazil,Single,B,B,-155.50435805465324,A,D,127.51318764489636,57.45084031852331,E,1
India,Divorced,C,D,60.57464378296251,D,B,119.67217234304906,124.26595824322979,A,0
Mexico,Divorced,A,E,-93.32073480544378,C,B,-0.06464525370289396,-9.378346135009318,A,0
India,Married,E,C,67.6612133454818,D,A,82.65011844238668,31.973123135729047,C,0
Germany,Widowed,D,C,142.6603884847478,A,C,0.6913639159682318,18.083747906696246,A,1
Other,Married,B,D,109.74274792434882,A,A,-3.4632394342218764,172.86900076470957,A,0
US,Married,E,A,-111.47086674532036,C,E,-56.748164010487,164.05019329604406,C,1
Mexico,Divorced,E,B,-46.835959865660875,D,B,9.327074197857147,52.05930820658586,E,1
India,Divorced,E,E,34.40663016015217,E,C,-31.338414419741994,101.5136959425185,E,1
Mexico,Married,C,E,-101.66289478873476,B,B,-10.158802609512954,-92.45957408884186,E,1
UK,Divorced,C,E,81.61145307839375,B,D,0.18661380017286577,83.78800999149989,D,0
US,Married,E,D,56.534469033907456,C,C,96.31808423066998,16.010543752761258,E,1
UK,Married,B,D,116.96474890915528,C,D,-129.18342493637664,60.7242658053867,E,1
Other,Married,E,B,8.621544671278366,A,B,28.59900900350474,-65.5098744927823,C,0
Other,Married,B,C,205.3272764746473,A,C,-135.26750710170762,2.1437818778822355,D,1
Other,Widowed,D,E,32.41393386748125,A,C,93.28124822999987,-62.895680882066806,A,0
India,Divorced,D,D,179.8277256259063,A,D,-10.428146308674823,-84.52857825511909,E,0
UK,Divorced,E,E,18.767836880090474,A,B,-89.73259104071212,-312.5961601574656,E,0
Brazil,Divorced,D,A,31.305737732757226,E,E,140.12653945614682,95.06319811891859,C,0
Mexico,Married,C,C,68.58396768865572,B,B,84.00104114203253,19.6015649858924,B,0
US,Widowed,A,B,1.9621861262042204,B,C,-125.50025673571992,42.27006193156155,A,1
India,Divorced,A,A,-178.30875834051392,A,C,51.37865406415669,45.856419061658286,B,0
China,Divorced,E,C,-99.76385441965661,C,E,-72.96251854199633,59.41649057319793,C,0
UK,Widowed,D,E,-34.761907997879135,B,B,163.91115390374694,60.67600944635325,E,1
Brazil,Widowed,B,A,89.34993622429582,E,A,-4.55910647308428,-16.215691545715465,C,1
India,Widowed,C,C,-36.61715961411029,C,A,-125.07351830238815,87.00551543497436,C,0
Mexico,Widowed,D,E,-69.98627908887781,C,D,17.595588855013528,-167.03497133692497,A,0
Germany,Divorced,A,C,107.37961750669042,B,D,-64.84233606831572,-61.19023866519642,B,1
Brazil,Widowed,B,A,-11.747253962492756,B,B,-117.41741637004156,302.0176275704503,C,0
Germany,Divorced,C,A,12.094694589003675,E,C,-57.04761807606362,6.39741671168329,B,0
UK,Widowed,B,E,29.26294888900462,C,A,-27.67830401407685,79.68950455632267,A,1
UK,Widowed,B,D,-88.54118287813324,A,E,-18.875207028029713,-92.33289269670428,A,0
Other,Married,B,C,-130.83294458262537,E,E,5.898928256904297,-175.4663371088136,D,0
Mexico,Married,B,A,-51.76500844672257,B,D,59.108384011730706,-144.22894596095333,B,1
UK,Married,D,D,-79.17581159805586,B,E,107.58414256077076,68.27167943386407,B,1
India,Married,D,B,-46.82671579791081,C,A,-58.263591984665865,-3.1476993697403644,B,0
US,Widowed,B,D,44.02868508945839,C,C,28.71349223000626,-35.50132472100426,B,1
Other,Single,E,E,-11.250734907604352,B,A,51.67800149917462,74.55705919878892,D,1
Other,Single,D,D,41.30471735145099,D,A,-61.23776407181813,215.54227034748678,B,0
Mexico,Single,B,D,-40.796739601939706,D,E,53.10599226388349,-21.438545570117835,A,1
US,Divorced,B,D,13.196503845637372,E,E,-20.757142920659525,-104.17517350694563,D,0
Mexico,Single,A,B,42.42755516472745,C,D,-7.258282738981127,-86.19972931153906,C,0
Mexico,Widowed,C,D,41.02227465027549,A,C,-8.727464846179423,-131.69995449577067,A,0
Germany,Married,A,D,-76.86369608107131,A,C,-54.090744567149166,-142.30290615431258,B,0
Other,Single,B,C,-27.38166654550767,A,B,122.21984553062993,60.857026465949346,B,0
US,Single,C,C,184.55325161193457,A,E,40.38079461271246,48.1527126381042,E,1
Other,Single,E,E,-101.80582174385778,B,E,-43.993112639144094,-184.22054383829905,C,0
Other,Widowed,C,D,43.93130078718325,C,A,-111.10222766492952,-28.608654731806492,B,0
India,Widowed,A,B,57.43149118589302,C,A,-112.17058050491093,-68.18134609429777,E,0
UK,Single,D,A,137.96976858789273,C,A,-30.111472994360188,-292.6938333412883,C,1
UK,Married,C,D,81.10375840517456,E,E,62.52877762936768,115.671692361635,E,0
Germany,Single,E,C,-37.791297121307025,C,B,-8.949363557845961,-34.4225409100804,B,1
Other,Single,B,C,-146.68373616324686,B,E,-24.05360281252957,-20.25827654379134,C,0
UK,Widowed,D,E,-87.86607630131017,D,D,-20.616665818817605,-63.493471679942296,B,1
Other,Widowed,E,B,-93.75756889322089,B,A,26.615126167030507,34.741645575584954,D,0
China,Widowed,E,C,-105.4047567091017,C,B,42.331589149405715,11.511036905985545,E,1
UK,Married,E,E,12.069053837663606,E,D,79.09763336711144,46.44271296059291,C,1
Brazil,Married,B,D,-83.08463349796992,A,E,113.20834004700045,-23.29309863284939,D,1
Mexico,Divorced,A,D,-78.79578400149974,E,A,29.939824666056985,227.73253643624193,D,0
Mexico,Married,B,A,-28.48427485816532,B,E,35.343829008338375,-6.292936039277045,E,1
Mexico,Married,A,A,-80.49411084219493,A,C,64.28983009075391,-59.66344416812878,A,1
UK,Divorced,B,C,255.35412656564142,D,C,9.24594783700807,-3.7390054227559055,C,1
China,Widowed,B,D,28.664182711967285,C,D,113.35884386912566,21.1248613033625,B,1
UK,Single,A,E,161.5018848735423,C,C,-213.53008523252822,46.074767505765315,E,0
Brazil,Divorced,A,E,-60.26837724299347,A,B,-121.52040135842672,78.49635229794455,B,0
Germany,Widowed,D,B,-141.44242758602587,C,E,-50.312524827563145,10.377205261944503,C,1
India,Widowed,A,E,-65.53468601420968,E,D,-11.530550121563538,-57.225016999100035,D,1
Mexico,Married,E,C,-44.932777526692306,D,D,92.80649890450604,97.78736886301836,C,1
Germany,Married,E,B,-79.59064479528145,C,C,-193.54254309908342,-60.45354830483182,E,1
China,Single,D,D,-68.832626920435,A,B,-7.433301647098,36.013674992051314,C,1
Mexico,Divorced,D,B,135.33094766618535,D,A,-42.618105438568776,-43.758825813049796,D,1
China,Widowed,E,A,27.809503656328598,A,E,156.4630216656081,-95.28335790558967,D,1
US,Single,A,E,-96.54649044546755,C,B,3.761680101176544,10.637245712560981,A,1
Mexico,Single,B,B,254.3815185394812,C,E,-40.34042731084135,80.89381262514276,E,1
Brazil,Divorced,A,B,17.528154877778427,E,C,-73.76618171458456,92.40213589703828,A,0
Brazil,Widowed,A,C,-41.989086584258224,A,A,11.500237392557933,-10.788649570411327,A,0
India,Single,D,B,22.529407835392185,A,D,90.78554561245144,130.9557089253926,E,1
China,Divorced,B,A,34.596394228419506,D,B,4.675579399266956,-86.66330000850915,E,0
Mexico,Married,D,A,-28.790996878380525,D,D,-24.742056118289522,-108.50558758068114,D,1
India,Single,C,B,-21.773897589727238,D,A,22.162257832091,-135.48448996930173,A,0
India,Married,B,D,-37.041276796878044,E,E,20.427250030281368,-12.43536005322618,D,1
Brazil,Widowed,E,B,19.96574530856624,C,E,100.9113818800689,221.95933013955388,B,1
China,Married,B,B,-4.003224201705688,B,B,44.603627235474754,-30.855100527094375,E,0
Other,Married,D,E,-53.881265256737244,B,C,252.5116101350354,-107.58732913630999,B,0
US,Widowed,A,E,-72.91443043555839,C,B,-67.8527379022668,29.909600581495337,A,1
India,Widowed,A,D,-87.02792362393701,E,E,108.86184775560753,-42.70934547162772,C,1
China,Widowed,E,A,56.082951122150234,E,A,107.70139028893655,-32.64370142277575,D,0
Other,Divorced,C,E,-30.917639284266563,E,E,-170.6344971586727,85.16898360270685,A,1
Germany,Widowed,E,E,60.10693982251855,E,E,-129.13070645545196,86.72392633700807,E,0
Mexico,Divorced,A,D,-162.87522148656234,E,A,56.66579312535334,19.08486955565498,E,0
Mexico,Single,A,D,-31.404034715157238,D,D,25.980166481182703,-127.43996538196023,D,0
Brazil,Divorced,A,E,-19.79268901387291,A,D,111.73025228129454,-40.32465314872349,C,0
Mexico,Married,A,E,-62.526320709823736,C,A,11.181200305526536,1.1702491533943993,E,0
China,Married,A,A,83.87288066489907,C,A,100.57746817962799,-73.24761172912402,E,1
India,Single,B,E,96.79388724638801,D,B,-190.10028249268765,64.77821368618956,C,0
Germany,Single,E,E,-95.54338206468086,A,B,-21.15174094695169,82.7073543900003,D,0
Other,Divorced,C,E,-175.0854130358677,B,B,-35.52528550097354,-35.21518115463976,C,0
US,Divorced,E,D,-72.15348914474991,C,A,13.537972049255087,99.33817139161025,D,1
UK,Widowed,B,E,-125.40543910772304,B,A,-11.489415327394086,73.35800689840698,A,0
US,Single,C,B,-17.31099054898624,C,D,-49.80598858524471,-42.86921472700026,B,0
Germany,Married,D,E,-74.54316860617737,B,E,-56.69395626982126,30.581400272536452,D,1
Germany,Widowed,A,E,-103.39519787139935,A,C,73.20087799211579,-22.732832381292226,A,1
Germany,Single,C,D,-11.53717671340964,B,B,-4.9568316077285495,64.52442345763404,B,1
UK,Divorced,B,C,74.60883560683303,D,B,-112.26592889096364,20.318310843333084,D,1
Other,Married,B,B,63.26325727274968,D,A,3.8027554767279135,-122.97228681390567,C,0
China,Married,B,E,60.221775095389376,A,D,-14.736927617225016,-106.61055361531308,C,1
Mexico,Divorced,D,D,20.23705900161559,E,E,50.64722998384275,4.847016028183023,B,1
US,Widowed,B,A,-7.336476525610719,E,B,6.577246687696562,-59.78165671893825,D,1
UK,Widowed,C,D,9.522822430328672,B,B,146.94804125218775,67.43147335502559,E,0
China,Divorced,A,D,-183.0870171025282,A,D,40.19255292074825,26.243260434521424,B,1
Other,Married,B,D,148.5454563097935,D,A,292.27184690434774,-63.73793448851344,C,0
China,Divorced,C,A,110.11225873289123,C,E,-174.44700619821543,4.6046507170229285,E,1
Germany,Married,B,B,-157.02481231901544,B,B,84.79885754441646,-36.53655646864864,B,0
China,Married,B,A,-152.62527888727857,D,B,-39.27497439403834,96.71416546134363,D,0
Brazil,Divorced,E,A,25.211660766628025,D,E,49.553199807279604,-113.50836090978058,B,0
Other,Married,B,D,-25.563462363861333,B,D,12.565574227592549,99.3851391953167,B,0
Germany,Widowed,E,E,-35.33816580019909,D,B,128.7649629165453,-6.71950216549676,C,1
Mexico,Widowed,A,B,-19.00285857228571,C,B,-12.480644804119045,-137.10621105551843,B,1
UK,Single,A,C,-0.5497665965823341,E,E,-104.03874763473627,42.841033779197794,A,0
Germany,Single,D,E,-13.088746556983672,A,D,60.101679981368264,89.71517209314345,A,1
China,Widowed,D,C,-126.37505517467585,B,D,-172.51988278119526,76.91938538850238,C,0
US,Single,B,B,80.33534301834297,B,D,-155.48150133475696,109.71874844185791,D,0
Other,Single,E,B,-18.365075834241175,D,A,4.781986720834976,-41.39278940253555,D,1
US,Single,D,C,64.67081773829693,C,B,26.1586595168261,-14.689881851082923,A,1
US,Widowed,C,E,28.989924119594424,C,B,25.48825141180397,40.1336550493271,C,1
US,Single,D,B,100.97414439753175,E,A,27.05256117000005,230.2236955915968,C,1
UK,Single,B,E,-110.83997117823219,C,E,-73.74976365333352,-31.31110071028043,B,1
India,Widowed,E,A,-41.98025234047783,C,C,-192.45112175492244,2.3400351264656707,B,1
Mexico,Divorced,D,C,-58.9845300551895,E,B,-30.233565251584942,-65.99094688154801,B,0
Mexico,Single,B,D,-9.02743028193586,E,D,129.8775886259489,34.15076091510094,A,0
US,Single,C,A,55.132955547687956,C,E,4.734149825367198,55.760709011766544,A,1
US,Widowed,D,D,35.2065541266967,C,C,83.98173517621692,-80.18738935738779,A,0
China,Married,D,A,122.72679369045356,A,A,209.05335455676783,128.86878556814708,C,1
China,Widowed,B,A,106.56027889245692,B,C,-24.476432927513777,-98.9194799532397,B,1
Germany,Single,C,B,-122.49711930237088,E,E,-24.78377580051541,102.4662698158082,E,1
Germany,Divorced,A,B,101.56258267721248,E,A,146.35784077787358,-52.60019170117719,D,1
Germany,Single,A,B,-16.437509485303824,E,B,178.53398724512525,219.77394885245718,A,1
China,Widowed,D,D,13.934168299258012,C,D,-32.58710801743728,-20.45238968913166,D,1
India,Widowed,C,B,128.998551861611,C,D,-77.99797836745024,-24.9407055596907,B,1
India,Married,C,E,163.92060873574118,E,E,125.64598942687874,-27.566933431976352,E,1
Other,Married,B,C,-17.622145696810744,C,E,35.505033749581145,27.162717692235887,C,1
US,Married,B,A,-59.20072459398475,D,C,32.63562223032913,0.27089472421144106,E,1
Brazil,Married,A,C,-102.6934368851313,E,B,-19.58384751999973,110.63941116499878,D,0
Mexico,Single,E,E,-120.10412489321556,A,D,-95.684021443356,-55.41927682411698,B,0
Mexico,Divorced,C,C,144.2939388339452,D,D,-52.51082882990617,13.020629879447092,D,1
US,Divorced,B,E,74.62352966100653,E,B,77.3112668540647,-32.99770751457741,D,1
China,Divorced,A,D,91.55834544868351,C,C,152.62935254831135,39.16490466590557,B,1
Brazil,Widowed,B,A,-47.889748192560624,E,D,-164.60580197815108,-49.98045533150524,E,1
Brazil,Divorced,A,A,-55.22338184282276,A,B,-140.45451109310028,19.313855692255178,D,0
US,Divorced,D,D,-129.39867267929137,D,B,32.93154587302803,-173.4536341833743,B,0
UK,Single,A,C,-107.2959083318661,E,A,60.77281819359966,179.03350292219872,E,1
Brazil,Married,C,E,-74.36364154864056,E,E,13.601267999752888,241.74584639993628,E,0
Brazil,Single,C,E,-257.6487680691383,B,A,219.7599910018902,-77.01750198354459,E,1
UK,Widowed,B,A,121.62635293025738,E,D,-5.0140751492129105,-2.1840486663038448,B,1
India,Divorced,B,A,-3.2060513880787394,E,C,-161.96142423911903,-75.92870885753977,B,1
Other,Single,C,B,-246.31560251892154,D,A,-19.491307295006315,-180.8187176741557,B,0
China,Single,B,D,74.8702163979028,A,E,103.89082182288585,45.362983261345434,B,0
China,Married,B,D,41.13885718613147,E,D,-61.56864069550013,-37.76401989398116,E,0
Other,Widowed,A,C,24.5975723661396,B,B,-36.028784174320116,89.93743503808996,B,1
Brazil,Divorced,C,C,71.82201671123526,E,D,7.694169291207631,71.31357566240747,C,0
Mexico,Single,C,A,11.779579758277706,B,B,20.12541911036806,-27.181334373392563,E,0
China,Single,E,A,-125.89610295599141,B,D,-13.976468005138326,308.035822622052,B,0
China,Single,B,E,120.43089825886986,D,E,-74.46350502925861,-201.69602216689378,B,1
UK,Married,B,D,139.72581836699368,B,B,18.43262243657707,269.79309156875155,B,1
Germany,Divorced,C,D,91.88350327746959,E,A,57.20281226467369,-138.94142603282313,E,0
Brazil,Single,B,D,-63.15377350348563,E,A,27.50921833980746,-85.78989694698107,E,1
Brazil,Single,A,A,-26.031245370990224,D,D,6.773215206559432,55.40381895037741,E,1
Mexico,Single,A,C,-62.31300896077621,A,A,-55.59842007971862,-1.7570421205208984,A,1
China,Married,C,A,-34.2583555264687,C,D,-146.66961443288426,51.02672204857656,B,0
UK,Single,D,B,-23.826878649881074,A,C,277.54076243129447,-18.039821291654494,A,1
Mexico,Divorced,B,E,71.34968524078633,A,D,-108.74233054160791,95.33700825680059,D,0
Germany,Divorced,B,C,66.4255708029154,A,C,-273.2990811634763,-32.73164581129494,E,1
Brazil,Married,A,D,9.639393021349523,C,A,27.67188389804937,137.0135811444052,E,1
Germany,Widowed,D,D,-146.3121966926415,B,C,-15.827613363660847,203.14699713290446,A,0
UK,Single,C,D,-43.9888931561694,C,B,79.42202637850511,-67.02279017451033,C,1
US,Single,A,A,52.54547123331697,A,A,101.44218134666485,95.94816205493453,E,1
US,Married,C,A,70.59373610817762,C,C,-80.54510605768856,2.1031575173325416,A,1
Brazil,Single,D,E,2.866843542124004,A,A,-37.42179457193127,31.44348559911771,C,0
India,Divorced,D,C,33.578991607306655,D,C,103.8260029970588,-11.597685561967413,D,0
Germany,Divorced,E,B,12.074794442772122,D,E,-6.8634052221549116,44.817583607228165,A,1
US,Married,C,B,-105.80840071712862,D,C,-113.163432752892,-226.12961142906875,A,0
Brazil,Widowed,D,E,116.45071479511111,B,E,181.8446237181795,-100.87303020238996,A,1
India,Widowed,E,B,-31.53944671779505,B,E,-104.92402082936056,98.50412210672418,A,1
Mexico,Single,E,A,19.882910037244766,C,D,-126.81503391875226,27.175971533920684,A,0
US,Single,A,A,10.367493692216206,B,E,-18.47444830716512,-160.4790722538133,C,1
China,Married,C,D,140.55573534990802,B,C,18.29062948737077,19.919745429074844,A,0
Germany,Widowed,D,E,-90.5507408084853,D,B,-122.36325770310825,-108.6947187012334,D,1
Germany,Single,A,B,13.41395289720868,E,E,250.84743657367258,-107.5156779344505,C,0
Mexico,Widowed,B,C,-19.622533422135888,D,E,-56.400009077373156,-70.69496682038955,D,0
Other,Married,E,B,-134.93345233110705,D,C,175.0891355157439,111.97643455062527,A,1
Mexico,Single,C,E,-44.14601465210824,C,E,23.661612645027155,-49.92883524955078,B,0
UK,Divorced,D,B,-63.02302397393874,A,B,-32.772473007667834,-32.11903960028973,C,1
Other,Widowed,B,D,6.500467315271408,E,D,-139.28961147185893,140.58226486595996,B,0
Other,Married,C,C,-85.84084028781575,E,C,81.93095460587064,5.274359659766613,D,1
Germany,Married,B,E,-102.99528798832883,C,B,3.981601456019996,108.11931860033208,C,1
India,Widowed,E,A,-29.729091748268615,C,E,-44.90045114258597,-113.93162965790088,D,0
Other,Single,B,E,-108.06166650433842,C,D,4.496357985870752,37.34442663957916,D,0
US,Widowed,E,B,81.8157175794639,A,E,55.902481019292495,-163.6427165841309,D,0
Other,Divorced,D,C,-25.120171291956083,D,D,82.58733175286277,8.525463387426708,A,1
UK,Single,B,A,36.613127991402784,D,E,-188.97231373950808,38.45118619894046,E,1
Other,Widowed,A,B,-85.44133221251508,A,D,149.40810989162557,-78.21419132127275,D,1
UK,Single,C,E,7.082243275598188,E,B,10.597367277170159,-77.11679532417999,E,0
India,Single,B,E,31.400187924759056,C,C,-118.83951141019166,-117.47884171783554,A,1
Mexico,Single,B,B,35.25224574499289,D,A,-112.14528584815615,28.98858628746592,E,0
US,Divorced,D,A,-81.54616466583157,D,B,45.650235944505106,-235.93825428069098,C,1
China,Widowed,A,E,-85.87023635251127,D,C,48.21150499405158,-16.91219218376468,B,0
Germany,Married,C,D,114.37009582376521,D,E,-159.36860329469516,13.360929368498248,B,0
Other,Divorced,E,A,14.694856767314285,B,C,125.10766898769657,43.40716102835434,B,1
India,Single,A,B,-45.817550969738264,C,C,-147.75064413265477,36.152790797600794,B,1
Germany,Divorced,C,B,182.69863971225584,C,B,21.694742696450735,-138.632622569205,A,1
Brazil,Widowed,B,C,-32.3471298784347,E,C,56.71944591656961,-138.7842529158353,E,0
Germany,Single,D,A,-63.69977648189163,A,E,11.233321547531022,42.96616648915541,D,0
UK,Widowed,E,D,22.722549430943175,E,B,22.453526244867636,-6.155403995223809,C,1
India,Married,D,B,-128.7353006770708,E,A,-126.48710615918628,38.41205901344081,D,1
Brazil,Married,A,A,171.71750588166393,C,B,56.318362632503906,-31.841909583968548,E,0
US,Divorced,B,C,46.89811553654176,D,B,-95.83510114785257,33.96292288786692,D,0
Other,Married,B,C,-15.440215067962395,A,C,-55.36032556395023,38.78172035680279,C,1
US,Divorced,B,D,142.21724768983813,B,A,43.21385395151325,-121.14950919447647,D,1
China,Widowed,D,C,31.152511962693417,C,C,45.41696819196154,79.65639873844754,C,0
US,Divorced,D,D,21.800750563391528,A,B,-141.14651000572266,102.03271030344372,E,1
China,Widowed,D,B,65.98567874439688,B,A,-22.030838253673963,74.27273638215676,B,0
UK,Divorced,B,B,71.48445497135333,C,A,-50.00961854049465,41.338171436738364,C,1
Brazil,Divorced,B,C,14.437144639953296,B,B,43.58527866884677,31.660736296163467,D,1
India,Married,C,A,102.03641376160076,B,C,-60.89304330255704,145.94079285757553,C,1
Mexico,Married,D,C,119.46412118297094,C,E,11.45391431963315,33.32662620158294,A,0
Brazil,Widowed,C,D,-88.34100342301234,E,C,91.09286916861755,119.81198535863642,D,0
UK,Divorced,C,D,-21.163254802011224,D,C,18.061795271924076,14.842131487008903,D,0
Other,Divorced,D,B,-66.81547515647918,A,E,-80.87201907303591,159.2780950290103,D,1
UK,Widowed,C,A,32.66163611560089,A,E,29.53840100057817,-121.74732429410385,E,1
Brazil,Divorced,E,C,-77.62310518088881,D,B,80.80338736619682,134.97254393369818,C,0
Mexico,Widowed,B,A,-1.6112368364400178,C,B,-80.99451261622647,-28.156654596348435,A,0
Brazil,Widowed,D,E,-38.61469709378606,B,A,-58.95940378035741,112.70207685396963,C,0
Mexico,Divorced,D,C,-89.72814936028063,B,C,-88.86930709573149,-250.27063760629028,A,1
India,Single,E,B,-127.94917003447397,E,A,-162.863582984762,131.0666866013471,B,1
India,Married,E,A,20.3640792029315,E,C,63.232069778679424,-99.59019252051668,D,1
Other,Divorced,C,E,-73.48989077024525,D,C,-38.39075229039878,7.775795162111297,E,1
China,Widowed,A,B,60.66040917050396,A,C,-67.46149956655454,-40.06728664352022,E,0
US,Married,D,C,-60.59512364067481,C,C,-13.510133898641566,85.57567652066369,E,0
India,Divorced,B,E,131.81461641457688,E,E,-120.9882077477356,-221.94947871387396,E,1
Mexico,Married,B,C,83.83163630015693,D,B,-197.77132022353229,-63.387778354897776,E,0
Other,Divorced,C,B,-139.98202808318644,D,A,-51.5196269482622,-43.809091379923046,E,1
Other,Single,A,E,-83.66956258009412,B,C,32.886849436033756,-168.2257210228955,E,1
UK,Single,D,B,-95.04602463820166,B,E,-228.93825465612264,-21.965489570865497,C,0
India,Single,C,C,393.3612499161545,B,D,-43.81824910478962,52.61666453155649,A,1
