AgeGroup,orientation,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,target
36-50,Heterosexual,D,A,A,A,2.7032807745119,C,4.550834065763272,-35.38435308737554,50.32996157831096,15.479141911334757,E,C,140.45675056045076,1
26-35,Other,B,C,C,D,-74.05003775207625,C,-135.91731582229136,-38.15445936581654,-83.79955672823267,43.44845483203374,B,B,80.32819698189694,1
18-25,Homosexual,B,D,A,D,30.12925337642877,C,130.54942528407474,38.39483582864895,-30.64032033355496,77.34167542285479,C,C,-75.7479918309829,1
65+,Other,B,E,C,A,-25.893333695849474,D,39.730710820544815,-117.88736956061814,202.22927060010574,12.385456713899295,E,A,68.1282813351757,0
36-50,Heterosexual,D,B,E,D,81.40279335976783,C,92.27066326203887,95.93348409086941,58.64365403788793,99.47734386329621,A,E,-26.791051189047387,0
26-35,Bisexual,B,A,E,D,71.88986874113282,A,28.889010834415096,-166.68737057238317,-30.966549775103786,-228.04308317612455,C,C,76.79164789975414,1
36-50,Bisexual,A,B,E,E,-79.34046665605449,A,-111.12766231286521,98.86013025486302,-76.70404276112266,141.8653645294537,C,B,-81.39767152216136,1
65+,Heterosexual,B,C,A,A,132.55187216281982,B,-116.13682488083037,-34.39983342043945,202.45709775979205,-26.994182822620928,D,B,-38.93384525869512,0
51-65,Homosexual,B,D,E,B,-89.25306355941132,B,-48.75579147887692,62.14795912159836,8.477955639891817,51.33723808495429,D,B,-80.07103223514017,0
51-65,Heterosexual,B,A,B,C,65.78006688099768,D,-115.20906915937523,4.646928798198373,-70.66816934845194,171.80805522105933,D,D,-6.1105060899623105,1
18-25,Heterosexual,B,B,C,D,132.22550594948973,E,191.3922618412393,198.64369011613047,9.089284987619447,87.5583885129177,C,A,-18.604783085893715,1
26-35,Other,E,B,E,E,-35.757790324827845,C,-117.74646364719953,-29.06799525539557,-136.4418903601161,-18.479384874043202,D,E,-31.49854377277502,1
51-65,Heterosexual,B,A,E,D,133.51676883956716,B,-102.67357410085762,-21.29368589673748,94.46371999759768,18.24806550089548,A,A,-121.19587942426433,1
18-25,Homosexual,D,D,C,A,-28.155261047357143,C,70.98003893316147,-234.7213539704531,72.04296542593526,-85.93595814820284,D,B,-126.39142327079027,1
36-50,Homosexual,C,C,B,B,60.37235827879477,D,-44.72795822974152,26.295115773779305,-146.99804927608943,-28.80667126205954,E,D,-214.40396667917753,1
26-35,Other,D,D,B,E,-302.13375148578456,A,-44.92878822310681,88.34590240347741,-56.166589380552765,92.87980312986892,C,D,11.020941575014522,1
26-35,Homosexual,C,A,B,C,136.59120397932185,C,71.10604675421509,30.663152062738703,198.61739141429376,-124.13869851240109,C,A,191.29488047288183,0
65+,Homosexual,C,D,B,E,255.73821818288675,D,-44.917093218821,-84.5526442454674,109.40604084059567,158.40501475273624,B,C,105.78924332792867,0
51-65,Bisexual,B,D,C,A,-3.9604797347200753,D,117.04566949668043,-98.03172180154985,-40.48839384742606,-6.978192107267174,E,A,2.794843934119565,1
18-25,Bisexual,A,E,A,D,61.77442775109767,E,-116.79718186754926,71.39257616703955,-110.95337992486868,-11.991155107274544,C,D,88.87071622353619,1
18-25,Homosexual,D,C,A,A,100.41045454564421,C,-18.28394661612917,117.98586611615274,-3.851799553509157,130.15922285503868,B,A,156.93391624413204,0
51-65,Bisexual,C,C,C,A,67.23524192663649,E,49.59375832084437,177.60628718298395,166.83403679720695,94.66571651581701,C,A,-150.68370217278863,1
18-25,Heterosexual,A,C,D,C,-5.335344653078463,C,-125.33145426112138,-118.00639990247998,-176.47277273955177,-2.26293686215763,E,A,22.928512052177663,1
18-25,Other,E,A,C,C,172.5574881313219,B,-61.403336720195675,-19.59316249683412,-112.47842535545306,162.7873513140195,A,C,101.39331508579306,0
18-25,Heterosexual,C,B,B,C,37.7438471006669,A,-137.24722298889836,153.82314616871483,83.27836648759953,47.850954459492264,D,A,-16.4055277183427,1
18-25,Homosexual,D,B,C,A,-54.688951143849216,E,-78.42942594776767,-58.53916525610149,84.23767720894777,-98.66209554012782,C,B,33.98825579839046,0
36-50,Homosexual,C,C,B,A,1.133190337058509,C,-81.3137646042588,113.22424306796488,144.6113037698385,-170.64641441490258,C,B,29.32629632887184,1
26-35,Bisexual,A,E,A,C,155.475114265779,A,-72.48341642748163,40.41200298169411,-92.58580942509079,-0.49722160205085164,E,A,-45.662636925737345,0
36-50,Heterosexual,C,C,E,B,-11.026391530556783,B,-207.2134683436796,-45.76300803109744,205.21280946050712,-101.83760119623346,B,E,-102.60201286354807,0
36-50,Other,A,C,A,D,146.60520715968048,A,125.5229063061685,-195.32765019749206,-135.13736112265883,-56.009607367209505,C,A,127.98403774757021,1
36-50,Homosexual,E,D,B,B,-49.21306507067989,D,-59.04567831708788,64.78384460378696,34.86411421949721,-66.82556877948235,C,B,150.5712344383934,0
65+,Homosexual,B,D,B,B,-15.490227701548895,D,-163.72998889839403,58.56397439438555,-93.50185857635496,-123.85257336935263,E,C,15.247393152496565,1
26-35,Homosexual,E,A,D,B,-18.54175048784776,C,-4.271048438571729,154.54547398798096,304.7999794078744,244.1912867971278,C,A,155.92728339295178,0
18-25,Other,D,D,C,B,225.76315675155874,E,-148.56803915655618,91.1857957270532,7.556443966047696,-22.9561986946314,C,A,192.46792205762375,0
51-65,Homosexual,E,C,A,E,-119.5000899115867,C,80.79671329996353,-103.70739631478621,-270.47166464755765,-191.5558605838441,A,B,36.85743548529806,0
36-50,Homosexual,A,B,C,C,-28.65599074276936,E,-67.21257702111042,-1.3459743998629852,218.42988194949334,-61.14831021745953,E,D,-207.63628035169202,0
18-25,Other,D,B,D,B,94.87037406995213,A,95.60311162652867,61.66573938295213,157.92221320998166,-69.84676056207469,B,E,-155.28276853532466,0
36-50,Homosexual,D,A,B,C,-27.487615960445854,C,37.74055136319024,-67.058841337887,-5.284439751865697,75.72204297921013,E,D,48.469042581769145,0
18-25,Homosexual,C,B,C,C,-103.19423594401049,B,9.745943516194524,9.786796625613722,99.51827531645303,274.95473854773087,C,D,17.580424664700143,1
36-50,Other,A,B,B,E,20.504515182199036,E,-43.174283753649306,-127.89826958086452,24.216750303629635,-60.5626294530087,D,D,-74.03463341259557,0
51-65,Homosexual,B,A,E,B,14.539341494981029,B,126.6594530407836,35.15608768918595,74.76444069422944,71.95587326241386,C,B,30.22560079563074,1
36-50,Other,A,D,D,A,-162.73514758192746,D,-281.6519402254668,67.04127278111916,56.19714164707482,-119.58999556995884,E,D,72.38388182434329,0
36-50,Other,A,D,A,B,131.67727185416678,C,64.40554476371943,-162.99695274471878,194.28315004848054,37.6337080171445,B,B,-92.97876164910971,1
65+,Heterosexual,A,E,C,C,78.75390064758481,B,-184.29661508023042,-87.62361513820409,-7.002518965283909,108.7720569162566,A,E,79.57872457323649,0
36-50,Homosexual,A,A,A,C,-72.04005305316011,D,-85.76062274233756,29.680559209070466,25.02960377358624,-119.62221156030388,B,C,34.59748353758048,0
51-65,Bisexual,E,B,B,A,130.67796567118816,D,-12.598531830992366,28.53216822238216,42.709832354612125,-81.58537164142142,D,A,-184.2808054461736,1
26-35,Homosexual,A,E,C,A,-14.364461317078325,C,-54.18146395367833,135.9669130789945,59.56627592243628,164.8519706388071,B,B,232.5247838638766,0
36-50,Heterosexual,C,D,A,B,2.685141527032433,E,-201.63160688041816,114.00717358717738,-39.80927902513903,-41.271027810556674,E,C,-159.98096885188642,1
26-35,Heterosexual,D,B,D,A,124.47578305079388,D,-157.2104477045279,39.01458496502151,-94.64439748279409,-60.99670949572504,A,A,-33.30322914954317,1
26-35,Bisexual,C,B,E,D,218.972126063121,D,6.166321230814098,-104.55560008670675,-21.1912335937248,-51.15111647558147,A,E,-111.3291346305541,1
51-65,Homosexual,E,C,A,E,-27.695084037316427,B,17.45219356226608,-160.1694857779525,22.28401723817182,56.30904281807078,B,A,61.52016167316429,0
26-35,Other,D,E,B,B,-44.441874236356185,B,223.0477000974164,-116.49443264605905,-124.47112661963271,42.289170998704975,B,A,41.28725691596423,1
26-35,Other,C,E,E,A,-115.44836005067161,B,-105.52467947315454,-112.89468385869242,-105.55613585689049,24.57973121385987,E,E,59.61230260185131,1
65+,Other,D,C,A,A,-59.75510866801586,D,-238.5434947135927,107.21307205994337,-17.408689348870823,92.3201469316842,B,A,-44.26844326431695,1
18-25,Bisexual,B,D,A,E,87.84720138259307,C,-6.345863837362824,-52.82939485457641,-126.4751296217659,80.41947017350239,A,A,-122.02865334112731,0
26-35,Heterosexual,A,B,C,A,-118.69574546013094,A,32.54913746472977,38.85485349653233,110.5409509135885,232.62863951166602,C,C,-47.85723907260762,1
65+,Bisexual,C,E,A,D,-27.34507143115938,C,82.48974231828004,-198.55708516980258,8.985376095486794,110.30557428414724,A,A,-60.55899352859476,1
65+,Other,E,C,B,A,59.50751901309105,E,61.840050089436595,-100.78621310781021,-77.49893420875806,-209.34965499860743,D,A,107.62892167695841,0
51-65,Heterosexual,C,C,D,D,2.1962384917386246,A,-167.37004047812894,159.01595260094206,199.53948806109236,87.0473587655696,C,B,-167.89648954399226,1
18-25,Bisexual,D,D,E,E,140.36722423014942,C,103.37466791776384,99.29522241597202,-12.653013450452963,66.62959666172156,A,E,-4.487744941725394,1
26-35,Heterosexual,B,C,A,C,218.66119633766465,A,-207.3111138467627,100.53426867777166,119.3145578328187,221.69101330224677,C,D,-9.515129689796757,0
26-35,Other,A,C,D,D,64.7187960131492,C,-174.90620400391407,38.184084142501334,-150.91823551564204,-24.5824912583539,B,B,-196.04614716742864,0
51-65,Heterosexual,E,E,B,C,-13.178180084344032,B,24.29706973102456,72.19908380057292,-59.914174922083006,7.688573273952322,A,D,-68.46675835214765,0
18-25,Homosexual,C,E,B,A,-14.905735880397353,A,48.04619703136754,72.02902715382022,54.26274872755978,-110.72035732939742,B,A,45.75221826221808,1
18-25,Heterosexual,C,E,C,C,-148.01344847383083,A,-157.16403452454531,-3.13792790900972,-99.04941829836902,4.410990330415249,E,B,111.5275231698099,0
51-65,Homosexual,C,A,E,E,54.91471845744643,E,38.881207711401636,108.56422836500013,27.505965178708884,-119.31213215587128,B,E,-57.472020372728785,0
36-50,Homosexual,C,E,C,D,-18.99232028220841,A,49.205620957564996,204.51193642287188,-78.61464691540742,-78.09912206360302,D,B,3.0943326105321587,1
51-65,Heterosexual,E,D,C,D,101.4531068028079,E,-63.268116553306506,53.488141595845015,-84.00848780848229,-79.19304430512747,D,B,-49.45949528346207,1
18-25,Homosexual,C,E,A,E,-192.3511161770755,E,-77.4502698469283,-22.31144382371348,141.99045784432536,-122.70558123703074,D,C,66.72477138684205,1
65+,Heterosexual,C,D,E,B,18.511925130482368,B,23.242722859769366,-116.97200366775581,-1.1642400320320412,-63.627774183896534,C,A,16.77463894350252,0
26-35,Heterosexual,B,B,D,D,-12.663790339241556,C,10.466468498591322,-21.68370552098939,-163.27580493145246,-35.76731985833506,E,D,97.55447824125052,0
18-25,Bisexual,D,C,E,D,108.47836427460172,D,94.05602366089492,143.78795681273965,83.7212492031736,52.533618262395045,A,E,-28.230361587926257,0
65+,Homosexual,E,E,A,B,-176.96262876836272,E,-94.1724311418186,-34.924421165507226,-49.33771550030237,-17.866373444960878,B,E,7.2864650795554775,0
65+,Heterosexual,D,E,A,D,159.95034652235682,C,164.89289307815935,-19.865077372349862,-41.55718944687549,-49.87409395955537,B,A,-258.3055084169002,1
36-50,Other,D,A,E,B,-35.53432289200738,D,-148.50172093430714,106.76231363904292,118.81084028695234,99.3004008683664,D,C,48.035124863028486,1
51-65,Other,E,C,E,E,-61.33628477869193,B,59.14209169577119,-5.352041961611918,11.166267042250315,-4.672923012134592,B,B,-27.459852496824006,1
18-25,Other,D,B,C,B,22.11459844010312,B,76.45317250428184,100.26584375108136,-81.27396406707014,-12.353306909009701,E,C,21.026923570815633,1
51-65,Other,C,E,C,C,-107.48259274335122,C,36.814585548893696,162.53377383208246,57.920961746161815,238.59086278913378,B,B,91.19307446697697,1
51-65,Homosexual,B,B,C,A,-19.199935427739266,C,-137.24493778757213,31.4066565018316,86.86497505029956,-163.71116494198714,A,D,63.275093973499196,1
51-65,Homosexual,D,D,E,C,29.950488084013955,E,-72.57829037705791,38.435343591577315,93.95709797600067,25.918866989009175,D,C,-68.80004259822545,1
51-65,Homosexual,B,B,E,D,-59.390703766507926,B,75.6678282341131,61.56918901302634,67.05329067859152,-37.4012530015921,C,D,-46.08749769608794,0
51-65,Heterosexual,E,C,E,E,-37.29360972327359,B,270.4686168542307,55.58700695386233,170.40133246208495,-78.1630076180565,C,A,72.55161620436287,0
51-65,Other,D,B,D,E,-48.72766482759148,C,38.46616504911952,46.43409996986792,-72.23237162035585,-85.98000245415342,A,E,2.7946381565795653,1
51-65,Heterosexual,D,C,C,C,-22.27585573678975,A,31.656359138635054,-294.2946597685342,29.38460696884003,72.26491653375923,C,D,41.9087360242493,1
65+,Homosexual,B,D,D,E,128.12035244166262,C,60.97306848027307,80.4104352078656,-105.75167175378171,-115.75484278108242,E,C,-117.83956777328271,0
36-50,Other,B,A,E,A,52.97854010851266,C,123.98983194525297,52.27498377947193,8.456318950356524,-14.612161980585448,C,E,112.52729545518243,0
26-35,Homosexual,E,D,D,A,-238.11746324115842,E,-95.42955954864959,12.682381364327359,34.726798424799696,-184.97759655015824,A,A,-106.19928331780453,0
36-50,Heterosexual,A,B,D,C,-70.22285666947303,D,46.19963529135667,113.3611076945179,-155.67886523361096,-33.48020640795848,C,D,-3.4032864494690425,1
18-25,Homosexual,C,A,E,A,9.350237123318642,A,144.16290397352938,-34.07343624197335,-94.24856040498055,-72.87479253260578,A,D,64.86898652602382,0
36-50,Heterosexual,C,B,A,E,4.355621012716956,D,59.87190786219701,-193.02936387855857,86.6780672988966,62.94901501499237,D,D,27.6789800147523,0
36-50,Other,B,E,B,C,115.5821718157707,A,130.21557461039595,-30.899668916232905,-69.03796598641082,54.901587199409505,A,E,31.670385983928522,0
65+,Homosexual,A,D,B,C,-41.10642332135842,E,0.5310299226011918,8.166977472898065,-158.57042256518287,93.94530179734926,C,C,-62.08152340233441,0
26-35,Bisexual,B,E,E,A,-104.77714703819309,E,152.6084162428103,91.7648270168311,-23.580559496085904,-137.00227652501158,C,E,79.00339997488125,1
65+,Homosexual,C,B,B,E,14.798350804423507,C,-48.355653135762296,133.60213513161162,-87.32842600561023,-109.3499187480577,B,E,-135.18074906471014,1
26-35,Homosexual,C,C,D,C,45.63715749156903,A,-253.4356768255996,-69.6671596354548,77.7052682868427,157.3867458607878,D,A,-85.22363121673136,1
18-25,Other,A,E,D,D,-180.8458076612009,E,-73.7949409257219,161.52197542169702,81.49403637615646,-183.53599870822796,D,B,113.00977938003966,0
51-65,Homosexual,D,D,A,D,-94.9224180554411,B,191.8279591976931,3.3349094366207215,55.968813192586175,64.74136942389569,C,D,1.806201485008881,1
26-35,Bisexual,D,D,A,C,26.97294143193001,E,106.21216724426506,230.70407000873527,-105.22694036578683,-52.43137557982636,C,D,143.49520473982264,0
36-50,Other,A,A,A,D,-130.4296027225371,E,65.4278099395062,70.32725467042515,-52.86193687192664,-152.8129613932188,A,D,-201.4765261948523,1
51-65,Heterosexual,E,D,C,D,95.14212679738888,C,-160.0784590707403,-90.26320919902717,-63.98580170852017,-11.325890511477306,C,C,141.31154419956547,0
26-35,Bisexual,B,C,B,E,21.376195542012074,A,26.080244464143547,-70.06909553479292,-35.35856180854893,-24.041124729376847,D,C,62.46408402551181,0
26-35,Homosexual,C,E,B,B,-130.1111862871458,A,-161.77556129536353,-79.31475822645278,173.70884952414235,-24.58865646565359,D,A,-35.97303760856942,0
18-25,Other,D,B,A,B,-68.56052748215986,E,-18.03413344113124,-117.0724432043651,88.01839251451042,-52.826336418340055,E,A,-133.80661995940304,1
26-35,Other,E,A,B,C,83.89834664225349,A,69.4916526645809,138.51103235670635,-75.40444946546378,98.28449563649434,E,C,-2.64200091308075,1
36-50,Homosexual,D,C,D,D,37.81540598466051,E,-28.69081043021493,104.92440956024079,-50.58249671119217,27.66127665047522,C,D,55.523439662005025,0
18-25,Other,A,A,C,A,36.53062895789244,B,199.19394020585653,75.12325486805015,169.38665964254156,-243.46458591205788,B,A,96.07256970412983,1
51-65,Other,D,D,C,A,52.604052793265076,A,131.57256751662453,-210.36696914404808,-85.98851880196723,-246.5706379115078,D,C,42.926723126770376,0
36-50,Other,E,C,B,C,12.78616984579634,E,16.396774657686695,80.27342553280354,-87.80117470515809,19.27398559900306,D,D,-182.70113399569794,0
26-35,Other,E,E,C,D,-11.792398190038615,B,29.020690549861055,-181.09313309784326,103.04850678625843,10.639249027249603,C,D,-24.862203728717297,1
51-65,Bisexual,B,E,C,A,106.57600867894853,A,88.27492200288819,30.293729468367474,15.89959086961907,27.271180318916244,D,E,-58.95519737348166,0
51-65,Bisexual,E,C,E,D,79.3541967109548,A,123.90885208983251,-51.93821164648858,6.439149897280904,157.67355712325525,A,E,-236.72434852387613,0
26-35,Heterosexual,E,B,D,A,26.316154258459395,B,5.691830246306675,26.993285893755143,96.29033232145147,-33.115108611378005,C,D,189.58198112409664,0
36-50,Bisexual,C,D,C,A,-183.9200032129471,A,-101.25751603783657,-57.11426472874458,43.626641603251585,31.70259461235251,A,B,20.509050612103813,1
51-65,Other,B,B,A,B,-96.77830976103404,A,-230.6003620605824,-52.10591143589428,62.847090951935016,-112.93505126769863,E,D,-66.98240923413567,0
51-65,Bisexual,C,A,D,E,-136.26971195053073,C,14.23296534877693,145.02991500487494,-20.853095023966482,34.4165631356438,B,A,246.67402670827832,0
18-25,Heterosexual,C,A,A,C,48.79738053263131,A,63.09649217925855,-12.38772181827213,49.89274111686377,-123.1952867764921,C,D,-66.39970843471127,1
26-35,Bisexual,E,A,E,E,33.28039478319594,C,-254.0778603889296,37.190770007638875,-77.93332385663187,33.59626212767899,B,B,-15.463320044192136,0
18-25,Heterosexual,C,A,D,A,89.16092229453486,C,-191.34130354914836,-7.120672733457435,149.24110330211596,-83.88560629397195,C,C,20.715990770024185,0
51-65,Homosexual,B,D,E,C,47.16591079629872,B,-181.43532831189188,-108.38282151682091,-63.46903872231145,33.31484331154209,D,A,103.5236355612795,0
18-25,Heterosexual,E,C,D,C,165.7558003408841,D,-139.48853814648422,75.48607974678049,51.508551236718894,-65.36881123718587,B,E,25.616284747326446,1
65+,Homosexual,B,E,E,D,46.327210658730024,A,32.26971650503906,-191.41755765588107,-38.289217872512154,-37.57854256691699,C,D,-106.34839678213712,0
26-35,Heterosexual,D,C,E,C,-91.71241536722937,E,-145.90220308436952,89.07342883477625,73.1212742169716,-35.00352587635889,D,A,73.73259709182175,0
36-50,Homosexual,A,E,B,C,136.2579918293045,C,-80.54158016257122,86.17273040885152,8.52827854174842,72.52110512875895,B,E,-34.65525319558954,1
51-65,Other,A,E,D,B,62.1645951506245,A,157.1976621260738,-66.39521395593385,113.51538350030496,148.40736639062897,D,D,111.02402282731374,0
51-65,Bisexual,B,C,A,D,-19.330399880380387,B,-59.57850331963185,68.60614800448653,183.16917395747004,-51.670440303321655,C,D,-0.6339731673279126,1
26-35,Bisexual,A,C,B,D,80.34149863104835,A,117.29473174186282,52.92698819976452,-159.60202398276644,-71.71957556171272,D,C,-78.23076941749659,0
26-35,Homosexual,A,A,E,D,-74.55165385620754,A,-32.31502473799775,3.9946573931931075,68.59481500375287,11.168651514087422,D,D,-194.87000221404517,1
65+,Bisexual,D,B,C,E,38.99650903257869,D,101.65239427191773,70.71344050895432,120.41022193122133,46.73791903551777,B,B,216.7713407125749,1
51-65,Other,E,A,B,D,-46.08470542963844,B,99.34849103423477,-22.283168175305725,24.0683368743252,71.42102225157888,B,C,-117.2724257530688,0
36-50,Homosexual,D,B,D,B,74.47903590860383,D,-1.6526420856514357,-7.1129095620302465,0.3233169103220323,7.131732442049504,D,B,67.05552868168272,0
65+,Other,B,B,D,C,-5.249746053254905,D,26.615736917571603,-9.186509061588566,62.60748561377631,-48.88128840851803,B,B,-71.24304072964955,1
51-65,Bisexual,A,D,B,A,-135.01724910628812,C,-292.66255207571623,-23.683442088433527,-53.879355798698,-51.00210320452256,D,C,165.82262746104905,0
36-50,Other,D,E,E,E,-149.56294158551538,D,-156.612920979585,117.95756171896355,-149.14441816320104,119.56698547136439,A,D,75.9608100052464,1
26-35,Bisexual,D,C,E,A,41.9867047717283,B,-2.338418104766865,-153.759433478838,-35.16136200018728,-126.06151216954848,D,A,-76.02329750337321,1
18-25,Homosexual,B,D,B,B,78.21048031445567,D,-117.94958683051573,-169.7429730040605,-75.37299398754269,3.7935182543007144,B,C,37.88013533776707,1
65+,Homosexual,E,A,D,C,-2.517881239019068,E,278.3325898467232,258.56857563561096,21.42106119708826,17.076162869212194,C,E,-51.86699930733475,0
18-25,Homosexual,B,E,D,D,-176.48423237365176,C,8.821693394172199,-291.56521897079915,124.4802167971754,105.3097086841631,E,C,-75.22687970368773,0
65+,Other,D,A,D,B,-46.051751769445076,B,-50.30602129229156,-95.64121726848379,-80.65291736327927,-85.45579660377236,E,D,-24.185461013740387,0
36-50,Bisexual,D,C,C,D,68.81373120427835,D,-1.8283730770453062,104.64295163848128,-54.4984916775622,-93.53181446424588,D,B,-101.8714220034179,1
65+,Homosexual,E,A,E,D,-27.15470400731978,C,95.0611073889249,41.03966169441017,106.63476378211894,91.22118741400388,E,B,86.91423836455613,0
36-50,Heterosexual,A,E,A,D,-17.60788556571721,D,46.55432160421349,-78.95028444625325,-108.34487854675436,107.73165539531516,D,C,-125.95436391177974,0
26-35,Homosexual,C,A,E,C,67.25565731899648,A,68.17241998026705,145.7652508275595,-87.16494718605414,44.91709752150251,C,B,-11.11064222394447,1
26-35,Bisexual,E,E,C,B,98.53703484627202,C,122.31488686396932,96.46004185292658,-111.5804758397571,-30.29808759857734,B,B,18.419160098971435,1
18-25,Heterosexual,C,C,B,D,-146.0748914795137,C,-23.62256048981752,-11.704332467857046,-31.67971036679253,112.69806049250015,E,A,37.514695175388155,0
18-25,Other,D,D,D,E,-96.70177622975204,E,-11.931171342599061,-14.01152824962823,-138.4033227042067,88.68701357356062,A,D,119.3754815743213,1
36-50,Other,D,B,D,D,-52.355697339454835,A,164.6461695116368,-27.3384690194002,22.915456987339887,55.372328088902336,E,B,39.87663915907932,1
18-25,Other,E,D,A,D,-71.4559285115029,B,14.28456693675586,-25.107308958234505,-131.89685092553933,-30.607195069063298,D,C,-80.6668522984607,1
18-25,Other,C,E,D,B,69.84344310052462,C,35.304127818401454,-38.236537598842354,120.5714305448945,-195.87865302506606,B,D,32.325912780995644,1
26-35,Other,D,E,A,C,-129.5021313868412,E,-73.31270957203799,57.9472401142936,83.57669194350814,-134.68302884307533,A,D,-170.06180643816364,1
18-25,Bisexual,C,A,B,C,59.62702943301665,B,-113.85704370964417,-105.31942154876704,5.101071517111215,-121.42142271326229,C,A,-24.62832283862941,1
18-25,Homosexual,A,B,E,C,-135.02625173620285,A,-52.142301309602445,-6.436515635379461,-17.30279692562015,84.66016635572996,E,C,96.0805256942322,0
26-35,Heterosexual,B,D,D,A,-124.42194146627683,D,-19.370732412099944,-194.88747722424424,-131.60998245127115,-75.70648010969627,E,D,-23.734116627753433,0
26-35,Homosexual,C,B,A,A,130.62955235117272,A,144.40487288675192,-20.482754884615677,-103.53797286633657,-179.763834450809,E,B,63.68486571680763,0
26-35,Heterosexual,E,B,C,A,-9.940200328185805,A,59.407816319362894,-45.398714454627275,100.057387075575,6.917872032814447,B,E,-28.799016599249725,0
65+,Heterosexual,C,E,E,B,-19.373277463642687,E,-8.305190246493249,43.07612622684669,55.798927624457825,-10.47079249218455,A,E,-4.113540472265767,1
18-25,Heterosexual,D,B,D,A,-36.010281989642905,D,-104.4391754391619,-104.39888719865924,-42.750582173271425,-81.30067795933446,D,E,47.17773153283707,0
18-25,Homosexual,B,B,D,B,-41.98298065363301,D,-46.374720009088435,109.20093973376872,76.59174848346255,-108.21970242186751,B,C,-94.00419419245581,1
18-25,Bisexual,A,C,C,C,130.80029048321438,D,42.39833973224403,-61.41164775048661,-38.440259568138806,-152.67285819461017,A,B,53.51273677457653,1
51-65,Heterosexual,C,A,C,D,-138.4675118364109,A,73.36279107150403,56.71630231845051,77.34828175514927,-26.8617674978509,D,C,112.2485368574156,1
18-25,Homosexual,D,B,C,C,-62.42727623782586,D,86.88557347058054,103.42320443928874,5.854712320675124,-32.5965481070347,C,D,-86.19637130335948,1
18-25,Bisexual,A,C,A,A,-45.83332450775822,D,62.039957971047,-13.916732234971526,-44.77434698626385,56.67252936594276,A,C,25.421729412473027,1
18-25,Heterosexual,D,A,C,D,25.378616181686485,D,152.4566145478975,128.75826044541233,17.635478501977563,154.2218868757105,C,B,-88.67952983521022,0
18-25,Homosexual,E,E,E,E,-64.03393233086928,D,137.20715251458785,-195.05561403559585,-216.3431372988636,133.26266947621073,E,E,-25.379568477213965,0
36-50,Heterosexual,D,D,D,E,-78.70488661058292,E,-56.762417257150034,-31.758024185180766,-82.63116761246629,-94.76635007759133,C,C,47.336010285331135,0
26-35,Other,B,E,A,E,25.48548180434111,B,-78.24757807148558,-48.47722825661399,139.79985649316285,41.80485423849882,C,E,92.23935371314552,1
65+,Bisexual,D,D,C,E,-30.5472023373423,E,171.01294142236355,-1.3186381721171958,25.561239983004413,170.96915846038246,A,A,20.176129596764124,0
51-65,Other,E,A,C,E,68.22644891580283,D,-44.64259860704638,-99.39956587933248,54.87178094604813,-66.08021732660895,B,B,-28.230737935816936,0
36-50,Other,C,B,D,D,-5.061682840417092,A,34.23332425587267,-0.19697267383509456,-162.7416785834383,-208.81614820256073,E,B,79.83126481999476,1
18-25,Bisexual,B,B,E,D,215.0651643578584,B,64.68567489111584,-84.5537570098066,-227.11773073907565,-121.10846605627384,B,D,17.03440673002163,0
65+,Other,E,A,E,C,-78.18923017825605,E,-66.3077072302692,-58.23585100777336,121.11169510603716,203.00825728680093,C,C,-34.20397339339141,1
26-35,Homosexual,C,A,C,E,-84.86784900199036,B,57.74329730965228,219.60348049801635,-32.93524961926358,34.5983107698866,D,E,-7.880988127950686,1
36-50,Heterosexual,C,C,B,E,11.729585362859234,D,41.602160919309895,-28.558421749305147,-197.03370812885154,45.25741977546123,A,E,14.999041424747197,1
65+,Heterosexual,E,B,A,E,-49.46020053643378,E,30.86433741312159,-24.682435798499558,51.35501171037946,101.97117585479172,C,B,-56.232975908105175,1
26-35,Homosexual,D,B,A,D,-0.3183325840105125,A,-43.49276686918769,74.26907372960561,93.23893872386174,60.487102518960555,B,D,-268.7548016357106,1
65+,Bisexual,B,B,A,B,-111.65441426014075,E,33.532010036490256,108.89145667416899,-139.1073195071578,106.69745036217277,D,C,-131.97497047778506,0
18-25,Other,B,B,A,B,49.9625874794532,D,7.414570073203093,-88.34670559402232,78.97457676920673,-12.47710262705951,C,C,134.09204797757934,0
51-65,Bisexual,B,E,C,D,-2.741136711029336,D,92.2822914317384,-188.25741441193884,76.85431161044455,-2.748346234788219,D,D,-66.22519746387556,0
36-50,Heterosexual,A,E,A,C,-9.300440295654345,C,58.10206620056254,-47.314345839068054,-176.43301140121847,-38.561631145782975,B,A,-177.53816333717484,0
18-25,Other,E,B,C,B,9.76905843515341,D,-10.73878316430589,117.51582162183985,-42.54196841269399,118.81335369976247,E,E,-111.19071364352125,0
18-25,Other,C,A,D,A,21.084019062291393,B,-59.31185133391682,121.68991781408947,-13.968295646758364,-177.85149313600826,E,D,3.1354376258708885,0
65+,Bisexual,B,B,A,C,-23.46799949186771,E,-223.64447282218288,-100.20592351000299,-90.93187428107585,-82.48799730509593,A,E,54.48969429774307,0
36-50,Bisexual,C,E,E,C,99.21572613832988,A,0.8990864538216148,30.500981387789555,111.92907093702571,64.563145699406,E,C,36.299564357145414,1
