sex,marital_status,age_range,Religion,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,target
Female,Widowed,26-35,Muslim,135.9568994191237,C,E,A,A,D,E,B,31.38043535210833,D,-52.179381327693385,30.195292776405424,0
Female,Single,51-65,Christian,117.11812819665208,E,C,D,E,E,A,B,-45.33464104925757,D,100.47046154208252,-69.20403382508515,1
M,Married,26-35,Muslim,244.53355652390348,B,B,D,E,E,C,C,118.71479598368086,B,-64.92839395206525,63.65921242937146,1
Non-binary,Widowed,36-50,Hindu,-0.541383567061179,E,E,B,B,E,C,C,-74.96570636469295,C,-19.38120084940894,-16.48570809187727,0
M,Married,26-35,Christian,76.80228162148943,E,C,B,B,B,D,E,-89.10159543225676,B,-129.3549560034346,60.55550379298511,1
M,Single,65+,Other,14.361899262417396,C,D,D,E,C,E,E,37.66348113106836,C,137.56349967382283,-38.55638837663024,0
Other,Married,51-65,Other,-93.9840282281684,E,A,E,A,D,A,E,11.363059363265213,D,-19.3409006627301,44.94424021691193,0
M,Divorced,65+,Hindu,2.9876220482174043,D,C,B,B,B,D,A,64.22563747379306,D,-27.71007763153997,85.13507147719908,0
Non-binary,Divorced,18-25,Other,80.90526191931039,A,D,D,D,D,C,B,-52.403167352106216,B,120.92872083799044,52.61555161734252,1
M,Widowed,36-50,Christian,140.9211147870446,A,B,E,E,D,A,B,-67.54879448356384,E,8.409104208791424,68.55194135917526,1
M,Married,18-25,Jewish,25.110320329861036,E,C,E,C,E,C,B,107.31583454204016,A,-22.28278952024486,180.5827793505756,0
M,Divorced,65+,Muslim,139.70576635650272,B,C,E,B,C,D,A,29.667801666818217,E,-18.552503129619485,-63.17052876650603,0
Other,Married,65+,Muslim,65.96816309881962,B,B,A,C,A,C,B,-120.49063993875329,E,-9.09991750953065,110.73590396697826,1
F,Single,18-25,Muslim,160.20102893906582,D,C,C,A,D,E,D,-159.34180968718707,C,-83.32959353335009,223.5474689607185,0
Non-binary,Single,65+,Other,-54.39720120325766,C,B,A,D,D,B,B,-4.953665160874176,C,-132.73300409370736,177.35714679968282,0
Male,Divorced,36-50,Buddhist,54.337773235834206,B,B,B,E,D,B,B,-48.89433987247741,A,-55.014736676645114,-82.23820181300093,1
Non-binary,Single,18-25,Buddhist,-19.410924333879333,E,E,A,A,E,E,B,14.008277163805257,E,-102.62830801552778,-167.75213044122793,1
Male,Married,26-35,Buddhist,214.5597155218689,B,A,C,B,B,B,E,155.10414575504245,E,-17.933136092557824,-38.64484483859553,0
Non-binary,Married,65+,Buddhist,-107.50474443257399,C,D,C,E,C,C,A,-72.83333071184566,B,-35.492440789433374,-104.19679331223446,1
Other,Widowed,36-50,Buddhist,-162.15191030055743,B,E,D,D,B,D,A,47.36824826897138,A,-77.55617732143686,-12.771334681394494,1
M,Widowed,51-65,Christian,-42.856271201034126,C,E,D,D,E,C,A,43.15126063366733,E,-9.887592784140264,142.9290408575882,1
M,Widowed,51-65,Muslim,-173.2537098083376,E,D,A,C,D,D,B,-42.39168221283537,E,-103.78252450074858,169.8084543495574,0
Other,Divorced,51-65,Christian,13.21752022011395,C,D,E,A,C,C,D,-104.83403711081485,A,124.51794342544433,183.33412873666836,1
Female,Divorced,51-65,Muslim,42.76442445175202,E,A,D,D,E,A,E,22.855282389074087,A,-70.85140847754818,122.0861418331306,0
Male,Widowed,51-65,Jewish,75.33008562670598,B,D,E,E,E,C,E,38.88944242141809,B,73.23019202607861,-28.10692364203065,0
Female,Widowed,51-65,None,-61.49363488892906,E,D,B,D,B,E,B,10.179780949455623,E,-194.81298811920672,-89.78499125382795,1
F,Single,18-25,Muslim,-134.6843096498017,C,D,C,A,A,C,A,-115.52226758263053,E,-144.43957303209675,41.57431450696275,1
Non-binary,Widowed,36-50,Jewish,5.051958171970107,C,B,D,C,E,C,D,-6.789907650949679,E,-162.46845683356767,63.30750436213792,1
M,Divorced,51-65,None,49.15758982157262,D,D,D,E,E,B,C,-171.3951681291575,C,62.53447611302412,-68.51454076710027,0
M,Single,36-50,Other,-232.76398719720297,B,B,A,A,C,A,B,27.780273568797202,B,40.69356979352012,-90.4808283748197,1
Other,Single,18-25,Hindu,35.503538521087926,E,D,B,B,E,C,B,41.75106053490423,C,85.0152683939685,-158.03745010154273,1
M,Single,65+,Buddhist,86.24625317814211,D,D,B,A,A,D,A,-73.5040961175617,C,-58.222759134147374,-55.56750598237543,1
Male,Widowed,51-65,Buddhist,-132.49661354979392,B,C,B,C,E,D,C,-105.74257139795856,E,43.169020047453145,109.80310197238454,0
Male,Married,51-65,Christian,-130.36819333981032,E,B,A,B,B,C,E,-51.109419103000405,C,-7.885459608068303,-178.6153049025643,0
Other,Widowed,65+,Buddhist,56.22293149765396,E,A,D,C,B,A,C,14.942412325570482,E,81.10911539311539,115.76739798190161,0
M,Married,65+,Christian,-5.084045140435475,B,D,E,E,E,E,B,-53.311954944128146,A,210.37224251024668,235.4929383957849,1
Female,Divorced,18-25,Buddhist,247.5850189950047,D,A,C,B,D,E,A,151.54482396983167,A,-126.66855425181711,28.981409089770406,0
Other,Single,51-65,Buddhist,-1.0572253672157987,E,D,C,A,A,A,D,21.733207217154455,B,68.0350607719813,68.24694595208533,1
Non-binary,Divorced,51-65,Buddhist,19.924776139792133,B,B,A,B,A,A,D,37.87801782285313,D,-80.5160994837333,123.82273228360918,1
Female,Widowed,65+,Buddhist,36.16482764094876,C,B,B,C,E,C,D,-92.89375646098595,A,-181.02663128450487,-73.92938376932744,0
Other,Divorced,26-35,Christian,89.94279835040084,E,D,A,D,C,D,E,124.21388910961903,A,76.08300860089201,125.14451978982434,1
Other,Divorced,18-25,Hindu,-73.10013969492472,C,E,C,C,D,D,E,48.76861858823119,B,-120.21451040386945,-145.13239600893402,0
Female,Divorced,36-50,Christian,125.2365209894643,B,D,B,A,C,A,D,-87.6301848177493,A,72.51730064320945,20.812861374280107,0
Other,Divorced,36-50,None,-162.62321619759922,A,B,A,D,D,B,A,80.00460242248639,E,-12.6106284748889,62.84375385073049,1
M,Single,51-65,Jewish,-61.68646191106236,B,B,E,A,E,D,C,-187.35159775894923,A,330.3112974315022,24.96097472429549,0
M,Widowed,18-25,Buddhist,14.280726937174723,E,C,B,E,D,A,D,247.41525578337456,C,-120.774365555618,165.2939857533407,0
F,Married,36-50,Buddhist,-134.27936021152692,C,E,D,E,E,B,D,-90.20400263724486,E,-66.95042435114019,-108.38833034117967,1
Male,Married,36-50,None,-122.93954962995267,E,E,E,C,B,A,D,-74.57312869645973,B,102.0784054193052,-150.57891929836615,0
Male,Married,65+,Christian,-49.79601812817975,C,A,A,C,B,E,E,59.42864357044165,B,-104.38300681927774,63.93551437778038,0
Female,Single,36-50,Buddhist,-179.91722309210004,E,B,E,B,B,B,E,114.25968749291991,A,20.202286015261965,-42.9685145507922,1
M,Married,51-65,Other,-178.86865910551484,D,B,A,D,B,E,B,75.31987431101193,C,-4.605569902524664,-48.23347382248735,1
M,Married,51-65,Muslim,-73.26558571871264,E,A,B,D,B,D,B,-6.809716716721076,A,12.682651769339953,-11.76744062723328,0
Female,Married,65+,Other,97.68592320559023,B,D,B,D,D,E,D,-29.093075201998854,B,40.49821948303848,149.684252142315,0
Female,Single,65+,Muslim,-54.56494042539247,B,B,B,B,C,C,B,-66.57140902444301,B,-47.25522176070209,-39.17699884858758,0
M,Widowed,51-65,Buddhist,-56.89154097769686,B,E,C,B,B,C,A,-23.564546752505926,A,73.60058275104228,211.29216571390353,1
Male,Married,18-25,Hindu,71.07641423486788,B,D,E,E,B,B,E,97.00009096049436,B,100.61421371030006,24.514805632532564,0
Non-binary,Divorced,36-50,None,44.10923601867967,C,B,B,D,B,D,D,-4.0734464829921695,A,29.99818601820482,-0.41824816841396156,1
Female,Single,65+,Jewish,18.813023300638093,A,B,D,D,B,D,E,-116.7307885394138,B,47.682284170012295,44.52087750056482,0
F,Widowed,51-65,Hindu,118.31573291967234,A,E,A,E,B,A,E,-21.93250687662699,A,-30.156085004613892,-145.2444610241317,1
Male,Single,36-50,Jewish,-70.03088097948519,B,E,B,B,D,C,A,109.56966228664824,E,89.11554461509293,8.942251182305267,1
Female,Single,26-35,Hindu,194.27571760624852,E,C,C,D,C,C,B,-32.873206048457014,A,-231.2219814434719,95.14235925576405,0
F,Single,51-65,Buddhist,-186.6291872512929,E,C,E,C,E,C,D,100.26250030407556,D,-9.631513871543515,80.66779174524248,1
F,Married,51-65,Hindu,-121.9970955594182,E,A,B,C,D,E,B,48.88090236091466,C,-47.164125706177224,2.7645229680563026,1
Non-binary,Widowed,18-25,Other,-31.069761486315024,B,A,B,A,D,C,A,-190.11121244477275,D,127.46155536703145,-103.05792039807558,0
M,Divorced,36-50,None,23.390652720793593,D,C,B,A,B,A,C,128.40929385496167,A,-66.27184224270499,8.083794861406659,0
Other,Single,65+,Muslim,74.21487993128143,A,D,B,A,E,D,E,84.50691779966228,C,135.1949214636335,-49.93659708726065,1
Female,Married,51-65,None,-123.57069342176874,D,E,C,C,D,A,B,-87.75738384856238,D,24.528072044435323,109.59219378162895,0
Female,Single,18-25,Buddhist,36.50173437466092,B,D,E,C,E,D,D,158.68865298416318,C,47.68360250050216,78.84720493907389,1
Female,Widowed,36-50,Other,-46.96219090900475,A,B,C,A,E,C,D,-62.36624435955994,D,-59.7366659118346,-37.965680701428,0
M,Divorced,51-65,Muslim,-42.46989526030684,D,A,B,E,A,B,C,56.47038584948071,C,54.21735213759759,-188.96846734082882,1
Female,Widowed,18-25,Jewish,-102.76784749899011,D,E,A,E,A,C,A,-40.45014682313638,C,-229.6428461409265,-27.314188596132595,1
Male,Widowed,18-25,Other,12.837732319896606,D,A,E,B,D,D,C,-144.64330182848806,D,-77.22888291460241,62.75676226821917,0
Male,Divorced,26-35,Hindu,27.151713130911446,D,C,B,B,B,C,E,-169.4682692187358,A,104.45282978235355,146.9168843427085,0
Other,Married,26-35,Muslim,-84.29024969168393,D,E,A,D,A,A,A,170.97456469664183,A,56.8978616756396,-61.820406394561076,0
Other,Single,26-35,None,20.7251491386164,E,D,E,A,B,D,A,-124.17375676947944,A,-97.95627383922633,31.09404560391712,0
M,Widowed,18-25,Other,175.8925170436131,B,D,C,E,D,B,D,153.6158847736736,C,60.624570145744904,104.71606965981748,1
Female,Single,26-35,Muslim,69.61385133187599,D,C,E,D,E,D,D,123.6335407372821,E,30.77689375675034,-118.73726081505029,1
Other,Divorced,26-35,Hindu,92.97807653303121,B,B,D,C,B,E,C,131.5919992901137,A,-114.37270484145256,-10.612869875889421,1
M,Widowed,51-65,None,-30.31037763543079,A,D,D,E,B,D,A,27.709021129476962,A,-99.02280054705444,-42.93459905430418,1
Other,Widowed,65+,Other,-38.26623454119557,A,C,A,B,C,E,D,67.37229207461118,E,236.1792809671822,99.66358448185893,0
Other,Widowed,18-25,Jewish,-60.55496602428276,B,D,A,A,B,A,D,64.88536138280764,E,-6.735062360275572,60.76063827150896,1
Female,Divorced,65+,Hindu,-162.59071129809212,A,D,D,C,A,C,A,-134.7040767717472,C,-39.03170499204153,-12.884335787199097,1
Non-binary,Married,65+,Muslim,-7.424650101294929,B,C,E,D,B,C,C,62.99179679214599,E,-93.87011250528523,-200.072291009356,1
M,Divorced,26-35,Buddhist,-96.68422276361144,C,E,D,A,B,E,A,6.163366297788972,A,60.98053286477744,3.4134092461007395,0
F,Single,26-35,Muslim,-77.47285517233851,C,A,E,D,D,E,D,-90.11081651338849,C,1.9045339830485453,-113.80958099205375,0
Female,Divorced,51-65,Christian,124.38890084599554,E,E,A,B,D,D,D,-85.1706230837932,E,183.8467785587569,25.79632823181314,0
Non-binary,Single,36-50,Hindu,4.680534929029797,E,B,B,A,D,A,B,-108.75408353754294,D,-74.94439636450643,86.19753331285762,1
M,Divorced,36-50,Christian,102.40799765198443,E,E,C,D,E,D,A,164.01824435055613,B,0.24188463774827232,164.80161024467114,1
Non-binary,Divorced,18-25,Christian,78.84441299643666,D,A,D,B,A,D,C,-12.892219980226463,E,3.9641792835175598,184.0723914863999,0
M,Married,36-50,Hindu,105.92239934663603,C,B,C,A,D,E,E,118.62217023752397,B,82.13299760026193,-137.8681566982828,1
Other,Married,51-65,Muslim,-248.16223577345028,B,E,E,B,B,C,A,10.682574695348558,E,35.39965821693075,-76.99339071754675,0
F,Widowed,36-50,Other,-295.1098755952855,E,A,D,D,C,B,C,-24.97325729882614,B,-41.20791218787856,76.25279456038828,0
M,Widowed,26-35,Buddhist,21.961475033967876,B,A,E,A,A,C,D,86.17643511246271,E,253.59155139102342,-63.619762764626095,0
Female,Single,65+,Jewish,31.12655645402925,A,D,C,B,D,E,A,208.97609423335655,C,46.691095046800484,85.11592247088272,1
Male,Divorced,36-50,Jewish,-126.69982703242732,C,A,E,D,B,A,A,136.0513244049925,B,-64.11906061128042,31.75055321567361,1
M,Married,26-35,Hindu,147.17866644493276,A,D,C,E,C,B,A,-143.50048928638813,C,-51.72374857901958,-74.83354481240546,0
Non-binary,Married,36-50,Jewish,87.68255840590483,A,D,D,B,E,A,A,-22.170241954972685,D,-73.7717482129608,139.0423666065997,1
Male,Divorced,65+,None,148.64193546522216,A,C,B,A,C,A,C,-35.653104394046295,C,14.522890107324251,36.33637119788309,1
M,Married,26-35,Other,-25.96041457238248,D,E,C,D,A,E,C,-57.35347696467832,E,60.84930862334683,82.58687845109274,0
Male,Widowed,18-25,Buddhist,99.49061880261354,B,A,D,C,E,E,B,130.39249809964747,A,-96.38303637099783,-325.5700274445352,0
Male,Divorced,26-35,Muslim,-45.62470947756747,A,A,C,D,D,E,E,42.89688328299863,E,70.35067109146156,-57.55959119533599,0
Other,Married,18-25,Hindu,-50.989032645391866,B,C,E,D,D,C,B,130.09539947165746,C,-70.8977822248828,-50.521460338771206,1
Other,Single,65+,Buddhist,128.6652995236131,D,B,A,D,E,C,E,21.2117023251956,B,-212.51759151322682,-57.86862876169451,0
F,Single,18-25,Buddhist,23.932239239341683,C,B,A,C,D,B,E,192.03565790282184,D,5.18922262718493,-74.94123757494371,0
Female,Widowed,18-25,Muslim,72.96333949769527,A,D,B,A,A,D,A,-149.07451301551203,E,-147.8629607544332,61.57721093314381,1
M,Divorced,51-65,Other,-13.7196062501654,D,D,D,C,D,B,A,-226.53324884923194,C,-2.203097885510575,119.22191417729415,0
Female,Divorced,36-50,None,187.98957392550088,A,D,A,C,D,D,B,-109.52691479648627,A,117.2369273721824,40.24542877430133,1
Female,Married,36-50,Other,138.81337988634078,B,C,D,E,A,D,B,4.7886069442242825,C,-51.49364311718766,-229.05420061597056,1
Male,Single,51-65,Christian,-19.992013644507324,D,B,A,E,E,D,D,-29.966367493663686,E,-105.32005331700944,167.26551323129735,1
F,Single,18-25,Jewish,-78.97193450551538,D,C,A,B,A,C,C,251.05712344796407,A,-145.5398097487787,-88.00494290190996,1
Female,Divorced,36-50,Buddhist,2.5553970563771533,A,B,C,D,D,C,B,63.973484706826056,A,12.763365644408998,-294.39383388090613,0
M,Widowed,51-65,Buddhist,-10.546843578035716,E,E,A,A,A,B,C,70.36749860186815,B,-50.096672525076436,-48.126278687016125,0
Male,Widowed,36-50,Hindu,37.43590509902872,C,B,B,B,A,E,A,-15.71979873484867,E,24.885603573957464,68.35448334884647,1
Other,Single,51-65,Jewish,-112.86126598994075,A,A,D,C,E,C,B,-10.380711414267944,C,-177.36160116356655,22.13153710177889,0
Non-binary,Single,18-25,Christian,90.09235677000858,A,B,A,B,C,A,C,81.85187149025262,C,28.812626989202926,112.17291597086651,0
Female,Single,65+,Jewish,68.53385807300799,B,A,B,C,A,B,E,66.03587695311849,C,70.46191804126687,-138.05712393051888,1
Other,Married,18-25,None,-3.7240233677546404,A,C,B,C,B,E,E,-36.99528882418811,E,-32.46268145737232,-168.81048804916904,1
Male,Widowed,18-25,Other,-76.37707151339853,A,E,B,B,B,C,D,85.99045388571925,B,-153.33013404210215,-11.300228628769657,0
Non-binary,Single,26-35,Hindu,-6.129015157550404,D,C,D,D,D,D,A,-53.09287613719946,E,-178.07344317268903,-115.58815165398795,1
Male,Married,18-25,Other,-8.107273306921018,E,A,C,A,A,C,A,118.64347733648464,A,140.6647410635666,102.546051485137,1
Other,Single,18-25,Other,-5.280710317074781,B,B,B,A,D,B,B,-61.36541818865896,D,-153.5131434421119,-112.02599264924508,1
Non-binary,Widowed,36-50,Buddhist,25.074350203118158,B,B,C,D,C,E,C,-112.50620957438741,B,-181.33060630934452,-65.28808685184005,0
Other,Married,26-35,Buddhist,63.41452113720168,B,E,B,C,E,E,B,41.6662990405653,B,-147.34808189841172,-24.882400537311096,1
Female,Widowed,18-25,Hindu,-72.3348258456635,D,B,E,C,E,E,B,279.53689150604896,E,-7.537749727575124,-234.34572159719406,1
Female,Widowed,18-25,Hindu,24.385449014804944,A,C,B,D,D,E,A,65.25267425123712,A,-9.13114852295103,93.94730586628307,1
Non-binary,Married,51-65,Muslim,75.65310317177246,A,A,C,C,E,C,A,55.94835150945444,B,15.922808484077777,61.30263448478039,1
F,Widowed,51-65,Other,26.529748771413114,E,E,D,D,C,D,B,32.54820873401385,B,104.52591040583359,-53.630709550703756,1
Non-binary,Married,26-35,Buddhist,11.792189232397254,C,C,E,E,A,B,A,-31.569848582193348,D,132.53182342093965,3.373932321054021,0
Male,Married,18-25,None,8.144979392337055,E,A,D,D,B,E,B,58.44960795870545,D,-108.99241606560841,32.35758880157457,1
M,Married,51-65,Other,139.92564816353612,B,E,D,C,A,E,E,41.435405943656015,D,23.38007997213506,114.6201184887289,1
Other,Widowed,18-25,Other,100.71413077914204,D,E,B,C,C,C,E,-5.30967299312862,C,43.561610976633794,40.575074525232814,1
F,Divorced,65+,Muslim,84.9719443225218,C,D,D,C,A,D,E,-121.81730480632822,B,64.37423755239821,-128.0481816582447,0
M,Widowed,51-65,Muslim,73.63764734069967,D,E,D,E,B,B,E,-82.25016425371439,A,118.11916855491928,-154.99888006168896,0
Female,Married,65+,None,-88.79038060681495,D,B,C,D,D,E,B,-52.037089659567705,B,125.9351674792187,54.45941012696358,0
F,Widowed,26-35,Muslim,188.07133480880864,E,C,A,B,B,C,A,-50.66457707835741,E,96.50848304190438,95.91791763179299,1
Female,Widowed,26-35,Muslim,-0.48810095413407667,C,A,D,D,D,C,C,-84.30868333057595,C,127.25167313019642,-154.94517674193668,0
Other,Single,36-50,Other,-83.38111308028054,A,C,D,A,E,E,C,-68.47590375146324,A,-106.66755209288452,-25.19228688698844,1
Male,Widowed,65+,Jewish,-115.31344624858761,C,D,B,A,E,A,D,-6.61196713327737,E,52.235497754632284,-4.337770517402042,0
Female,Married,36-50,None,-48.434030222765394,C,C,A,A,A,C,C,37.09896588413661,B,-56.07954621850551,-211.11349081417535,1
Female,Single,65+,Buddhist,109.8047294145043,A,B,A,A,C,E,E,-45.7148599694474,E,-134.10315545748443,82.53635390652829,1
Male,Divorced,26-35,Muslim,51.020087843707884,E,C,B,B,A,D,A,166.9011053261984,D,-114.30138804419718,84.83487351942249,1
Female,Divorced,65+,Muslim,-45.952876353042846,C,A,D,C,C,B,E,-164.26921601815798,A,148.82573949236658,28.55058469586329,0
Female,Married,26-35,Other,215.07020313885081,A,D,D,A,B,A,D,129.15841513220022,E,-71.20974721983924,-30.945159432235236,0
Male,Married,65+,Buddhist,-73.03476409324135,A,B,D,C,E,A,D,91.67428940951754,C,165.3193255664775,-98.70284364767987,0
M,Single,18-25,None,38.060397297676104,E,B,C,C,B,C,E,-37.78141453695702,C,-43.258294218015465,30.839790806317495,0
Female,Married,65+,Muslim,19.64460068350975,C,A,D,B,C,E,B,-17.089642825180412,C,-52.68552444711621,-268.30398547920277,1
M,Single,36-50,Jewish,55.0745824584845,D,B,D,D,C,E,E,-108.31507039713554,E,-133.76982145325925,156.71289535727055,1
F,Married,65+,Jewish,-206.54458482060966,B,C,D,D,E,E,D,-36.14519991480344,B,-71.82997551020141,12.85087844183795,1
M,Single,65+,Jewish,-27.61873101787752,B,A,D,B,E,E,C,2.532049084526819,C,-44.686433004275884,-118.54579331263994,1
M,Divorced,51-65,Christian,21.90579123743835,B,A,A,B,B,A,B,-48.46500106308469,C,-38.238229581054874,-67.41894918469895,1
Other,Married,26-35,None,81.2300602002513,C,D,E,B,A,D,A,-153.25535317514453,D,-125.87401741594275,-76.67213912030712,1
Female,Widowed,36-50,Hindu,167.08996364514758,B,D,B,B,B,D,B,-57.026264008890436,D,50.21237297230511,-128.57486819678996,0
Other,Widowed,36-50,Muslim,94.61412758001563,E,A,C,B,C,D,A,-152.13919102309598,D,-119.37979497442379,118.49084041347464,0
M,Widowed,51-65,Hindu,11.565502989358514,A,D,C,C,C,A,C,-239.10929272391388,D,6.755744322765336,-113.68648011964981,1
Other,Widowed,18-25,Muslim,-59.31074317617296,C,A,C,D,A,E,D,-93.96192927000908,B,55.993925381363596,194.74562462230423,0
Non-binary,Single,26-35,Other,10.07644199146212,C,B,B,E,D,B,A,53.89584843330415,C,-116.16197917554712,48.50196061655051,0
Other,Widowed,18-25,Jewish,-164.30475874765705,E,D,C,E,A,D,E,-100.95501297340546,E,-34.44143316791576,-131.95653605163557,1
Female,Widowed,51-65,Christian,-171.15205091617364,C,C,E,E,C,D,A,-37.27077203193483,D,-57.286036119325914,-46.95675504363337,0
F,Single,51-65,Hindu,85.0608184094209,C,C,D,C,C,B,C,-4.85122731173283,A,-18.503611804288166,101.09885860351997,0
M,Divorced,51-65,Hindu,-167.02806922553634,D,E,C,B,A,A,B,-208.43991319454216,A,-25.817346130010936,-180.89382998465183,0
M,Divorced,26-35,Jewish,-43.4472739122379,E,B,C,E,D,A,B,-31.77659759297102,B,4.103003319659581,-74.56826198907129,1
Other,Single,51-65,Other,124.18292345192907,C,B,D,E,E,D,B,34.72049144765968,B,-101.73934882720641,113.41546624499377,1
Female,Single,65+,Hindu,-62.15577175154908,C,C,D,C,A,C,B,-47.101842962570664,D,181.24816921459683,18.408878789098083,0
Other,Widowed,51-65,Christian,16.106883641689613,A,B,C,A,C,D,C,13.752427339865832,D,-130.41477443738586,75.34947583613315,0
Non-binary,Divorced,36-50,Jewish,83.37036942187649,E,D,E,B,E,E,D,51.543314167672484,C,-189.86516009244974,-23.644070588801213,1
Female,Married,65+,Hindu,12.29472822058192,E,A,D,B,B,A,C,100.5935020115555,B,38.25839723639737,-10.269283689310114,0
Female,Single,36-50,Christian,-176.04679859526226,D,B,B,A,D,C,C,77.33094464744474,D,-140.13383270570972,77.98788133176083,1
Other,Married,26-35,Buddhist,133.00632340314093,A,C,E,B,C,D,D,89.92909518543941,D,74.38662558190364,24.498149536350525,0
Other,Married,65+,None,-55.92691213617408,A,E,D,B,D,A,E,-109.88378586138671,E,46.76754475433542,-155.00717780432768,0
Female,Divorced,65+,Christian,65.64386417630402,A,E,D,B,B,B,C,-24.726443561942972,D,17.336916076329075,128.76564349163476,1
M,Married,51-65,Hindu,-226.09003933483257,C,C,A,D,B,D,A,41.82918176664089,C,-17.613489930207496,24.201229866474975,0
Non-binary,Widowed,18-25,None,212.02135194708868,A,B,D,C,D,E,A,-54.63363175078989,E,99.38230951978252,104.08951259275794,1
M,Single,65+,Jewish,-136.05924849482358,D,A,E,E,D,E,B,-33.81470141200445,D,42.42176504850062,-58.44157030796635,0
Non-binary,Divorced,51-65,Christian,70.3828644817372,A,C,B,C,B,D,C,34.40593353519357,E,-22.53381052624262,-89.1496810515932,0
Male,Married,51-65,Buddhist,91.98473033547697,E,C,D,D,A,B,B,10.968315083233364,A,-152.16293719348536,231.27610456474463,0
Non-binary,Widowed,18-25,Other,-50.16752605143694,E,D,E,C,C,C,B,90.0378297578521,E,-53.27220489014649,46.34745560358976,0
F,Divorced,65+,Muslim,8.33632780238501,B,D,B,B,B,A,E,-66.22554022644567,D,198.31198910550538,-89.84782243931873,1
Other,Divorced,65+,Buddhist,-17.1367160479512,B,E,E,A,B,B,B,-60.9209153202727,C,-12.338718154781196,67.00227248538702,0
Female,Widowed,26-35,Hindu,-91.43877729084107,B,E,B,E,A,D,E,21.10933069479592,D,-91.09702605700832,-19.150670902508068,1
F,Divorced,36-50,Christian,205.19654655655896,D,D,E,C,E,B,E,-103.40047470812826,B,4.412998846478906,18.8075631822535,1
M,Divorced,51-65,Other,26.207128536412572,E,A,B,E,A,B,D,100.29017921495571,D,34.01490609381193,10.4105645997364,0
F,Single,65+,Hindu,115.75901125623469,E,B,C,B,A,A,B,-44.88692807437959,A,-30.54675197842473,74.83720573279682,0
Non-binary,Single,51-65,Jewish,-145.10404050615293,A,D,A,C,B,E,C,-11.048562624223836,E,-200.8155434636473,81.45907606468799,1
Non-binary,Single,18-25,Jewish,114.15292960762713,D,A,D,B,B,E,A,-9.242871538775784,B,-117.43265539903696,-63.9055023639168,0
Other,Married,36-50,Other,-48.92119822872474,E,B,A,B,A,C,D,-77.65114655261144,A,-20.462336355143616,-97.93163011476311,0
Non-binary,Widowed,18-25,Muslim,-82.34665937592025,A,E,D,C,C,A,A,134.56434865901028,C,-90.28716908218918,-40.22000128678979,1
Other,Married,65+,Jewish,48.60698022851714,C,A,D,B,D,E,E,-169.88117974655987,D,2.481937656402199,93.35925757303735,1
Other,Widowed,26-35,None,45.793361867778096,E,B,E,B,E,C,A,-28.685563760822735,D,143.66381603574425,206.85814725336243,0
M,Single,36-50,None,134.7779786716191,E,C,A,B,B,B,B,-100.22268434740043,B,-68.9557384729384,-80.13818567983486,0
Male,Divorced,51-65,Christian,114.07344798276979,E,A,D,A,E,A,D,-94.81518743619905,D,69.671047924052,143.63251036715755,1
Male,Single,18-25,Muslim,-27.996342961138758,D,B,C,E,C,D,A,-59.10843065389445,E,70.02720177760828,128.50388734103905,1
Non-binary,Widowed,36-50,Muslim,43.415678540217215,B,E,C,B,C,E,E,58.55105663767745,A,-94.73183894876013,-107.24768330100049,0
F,Married,18-25,Muslim,-127.01582183291168,B,C,E,C,C,D,E,-60.689977444954145,E,181.77059321390948,-106.58886705576056,1
Non-binary,Single,36-50,Muslim,53.676688656138374,D,B,E,C,A,E,D,47.627504882368164,E,76.67073997826486,-5.973853389159908,0
F,Divorced,51-65,Jewish,138.2613167867839,E,D,C,A,E,E,B,-47.992462096111396,A,55.40865353540705,99.97698533605553,1
M,Widowed,51-65,None,178.98358770506405,C,B,E,A,C,D,B,100.52428101391395,A,-74.7183475614796,-86.41505521647873,0
F,Widowed,36-50,Buddhist,6.6496599461768255,A,A,A,E,D,A,B,-84.86846152182603,E,-132.40001624260535,180.80148540751125,1
F,Married,18-25,None,-72.60088717380737,C,D,A,D,D,B,E,-188.94388443562826,A,91.90636753456998,-50.40479140321166,0
Female,Married,18-25,Hindu,-166.31983352629317,A,E,C,C,C,C,A,-59.64779115235296,D,-87.65058609765063,-51.901548198907356,0
Male,Divorced,18-25,Jewish,50.2998684374289,B,B,D,C,E,E,E,10.378811878779283,A,-67.10871292394926,60.28551850563563,0
Male,Single,36-50,Christian,-15.83272160096348,D,E,E,A,B,A,A,-40.845137034330456,C,-54.25166574217244,39.56645680874702,1
M,Single,18-25,Hindu,-164.7496107093379,B,E,A,A,E,A,B,36.24637366535809,D,1.7868250200866438,-229.61388818307142,0
M,Married,51-65,Christian,114.7957893243794,D,B,A,D,C,B,C,56.52108308514485,B,5.99209420477598,150.7920036540032,0
M,Single,26-35,Jewish,-228.30806705192245,C,E,D,A,E,B,E,2.980294960712637,A,92.01920769832284,35.40294368463828,1
Female,Single,65+,Muslim,31.24233526934906,C,D,D,E,D,D,B,39.53280809960682,D,77.02207077814153,167.07011866589409,1
Male,Divorced,65+,Hindu,106.24902465818502,E,D,B,C,B,C,C,-59.99633786832822,B,64.95966235262529,7.711555027181552,0
