Veteran,AgeGroup,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,target
Non-Veteran,51-65,0.9878961181228998,C,A,-11.249854539824462,-115.32130348135306,B,1
Yes,36-50,89.29234866391167,B,A,-55.898608030226235,54.704928721985326,E,0
Veteran,26-35,-43.25027586571658,E,D,-58.48698552373721,81.33406534869098,A,1
Yes,18-25,-197.47705495973244,B,D,36.1039328002239,113.94272333377586,D,1
No,65+,33.41842701637165,E,A,107.93334921056679,73.50978201604042,E,1
Yes,18-25,-126.31465512034382,A,E,-59.46903882485165,-81.22490969527773,A,0
Non-Veteran,65+,-144.65725983725105,D,E,211.5725269627956,-33.493883837100235,A,1
Veteran,36-50,75.00856234672702,B,A,-80.99826034527744,23.4327457885668,E,0
Veteran,18-25,-94.67015619284241,D,B,-28.198187064250828,64.78719306278768,A,0
No,51-65,-38.26116677570365,C,B,68.3294367433329,114.31954271616142,E,0
No,65+,187.36775383079066,B,B,-43.64940132840342,97.7326595390878,E,0
No,18-25,51.04530688703427,E,B,-84.09051129775797,13.816675747968729,E,1
No,26-35,74.00555087562815,B,C,6.153133849335547,-30.29539632679431,E,1
Veteran,36-50,167.04959541887092,E,A,-133.3474256651438,114.56358783912522,C,0
No,18-25,-12.857874328980184,B,D,-73.86853767748708,-143.14727814507415,C,1
Yes,51-65,5.03842028123513,C,B,-56.43517491307245,-168.1010016932533,E,1
No,18-25,-106.73595310271222,B,D,67.71567436468688,-130.95441059651452,C,1
Yes,26-35,21.93137686080957,C,E,163.0028584827185,-88.25417778268286,B,1
Non-Veteran,26-35,-39.961230472113144,E,B,-17.39999338254576,-93.93733139496612,A,1
Veteran,26-35,63.10863110919611,A,C,-37.00254238640196,40.20850457823917,E,0
Yes,65+,10.909180905884881,D,A,-112.75975319314186,-105.74593713906211,E,0
Non-Veteran,51-65,-211.42637653754122,D,D,-84.6663573358947,192.32045763967812,D,1
Non-Veteran,51-65,-32.21340891543721,A,A,50.85756947299319,77.74954574462643,D,0
Yes,18-25,51.10412919871411,C,C,2.4016386725195153,-134.88970021079643,D,0
Yes,51-65,-65.14479413994411,A,B,115.34939847413668,98.28032493069306,D,0
Veteran,36-50,8.648963134730355,A,C,82.41536188962783,31.117463481371587,E,0
Non-Veteran,36-50,-7.396770229847991,B,B,33.66599258500208,-4.3105810329224825,D,1
Non-Veteran,18-25,-20.093348724791053,E,A,-117.1730760323056,-104.6985598631316,D,0
Yes,18-25,13.858306475160632,A,C,-82.19784932052642,-94.04128807631965,C,1
Veteran,26-35,13.888791793997873,C,E,-37.509354643084706,-14.891205221015166,A,0
No,18-25,143.3984224506885,E,D,87.9744726777202,-53.95111140658665,E,0
Yes,26-35,46.25866477291521,C,D,-16.483288259796126,-144.45051357414272,A,1
Non-Veteran,26-35,-74.21323125845709,E,C,91.41808802646484,20.330844107539285,B,0
No,36-50,-5.721415266025058,B,C,-22.865277291478247,26.518995900058833,C,0
Non-Veteran,26-35,-66.16881875940935,C,C,-31.666114820759223,48.65528822223621,E,0
Non-Veteran,18-25,-187.04746920982907,B,B,-126.21368973128035,41.72211839923985,E,1
Yes,26-35,-4.922994786461639,D,C,71.20016962324675,-26.354181083363535,A,1
Non-Veteran,51-65,105.38754458762038,B,D,168.63853343780335,-38.46134410532183,B,1
Veteran,65+,52.27595016648814,C,A,195.3791897135086,-23.696986991545614,C,1
Non-Veteran,26-35,213.88254362701355,A,A,-15.47581670605667,16.127181826941623,D,1
No,36-50,-122.23322971844091,D,B,40.31873775429815,-1.4047541224131124,B,1
Veteran,36-50,159.1064646915943,D,D,-46.76236339540023,-34.825822530540236,B,0
No,65+,4.123316944446748,D,B,60.86443553273929,-18.87839111025491,A,1
No,65+,107.5084167285296,D,E,1.4289048633329935,-236.25295114876326,C,0
Veteran,18-25,54.5132066555674,A,A,-3.4251248841939814,116.62163273733302,B,0
Veteran,18-25,-140.21029255220913,D,E,103.21186564544217,-38.73225715060058,D,0
No,18-25,-17.84970167876748,C,C,66.47330869692767,42.813924926104136,C,1
No,18-25,45.12236045573664,B,D,-44.527234358286336,-40.18885502563467,D,0
Veteran,36-50,-27.757297078924097,B,E,-228.40292834374497,-4.950273155622005,C,0
Non-Veteran,51-65,40.29466891332241,C,A,-92.44848083021631,-32.91367895974871,C,0
Yes,51-65,9.344961220076387,A,B,4.663648795403037,-24.341756400272168,A,1
Yes,51-65,68.11734612158017,C,A,43.12927282206837,15.475314092720582,B,1
Yes,26-35,67.6422436763353,C,C,101.2873665308543,55.21104616742407,E,1
Veteran,36-50,307.99390994709495,C,E,171.17259749018532,46.437289933081566,C,1
Veteran,18-25,-71.98000528329675,A,D,99.19513184866709,32.88499270700711,B,0
Veteran,36-50,-77.75559813353476,D,D,-41.154732886861524,20.119726193093555,A,0
Veteran,26-35,-42.350172824693786,C,E,35.84704971190998,103.95679757213605,B,1
Yes,36-50,-105.35837878732288,B,A,-25.688284144479933,-24.27717728385036,C,1
Yes,36-50,-45.96119944318325,A,E,86.36162439597642,-113.51853095750302,E,0
Non-Veteran,18-25,124.00655311881381,D,B,67.84045492945452,-118.5137063138474,A,0
No,36-50,28.046286693949174,E,B,-120.55721702183995,-101.22759001342894,A,1
No,26-35,34.195679737523506,B,A,-73.83907741033666,-66.56105782059855,E,1
Veteran,36-50,34.810897024017486,B,C,22.55405665810524,-94.33006608051078,B,0
Yes,51-65,-203.557780758246,A,A,233.9398710206688,111.74000561845934,E,1
No,51-65,-132.3401376214,E,E,-159.0162967350199,80.07802291362793,C,0
Veteran,26-35,81.6489826117527,C,C,-10.970204793215315,-28.457982906922247,D,0
Non-Veteran,18-25,-5.025290453130679,E,A,146.74861274647185,108.44168094891462,B,1
Veteran,36-50,65.07105176744396,C,D,-37.875730816269176,-32.396619700940036,E,0
Veteran,18-25,52.69217092027467,D,A,-140.97897979280634,127.91595335250243,D,1
Yes,36-50,-7.994330369162428,E,E,-96.2813468120581,6.812250485262735,C,0
No,36-50,-36.32626012112234,A,E,53.28252527123948,-71.52244180284836,B,1
Non-Veteran,65+,-18.816725793721893,D,E,-122.646057171556,6.64734111836653,B,1
No,65+,-99.99943396884315,B,C,-105.34316283194636,-28.713716088109965,A,1
No,26-35,-56.519316771729656,C,D,72.23117920157681,-85.62262268425015,D,0
Yes,65+,55.18520351925596,B,C,-82.12591657819947,43.80460270852135,D,1
Yes,65+,110.58369467636477,A,D,-161.22171608241558,-247.47665852633557,C,0
Veteran,18-25,96.42359850046502,B,D,92.42053921279351,-55.82634980160574,A,0
Non-Veteran,65+,-65.74433355156012,E,A,-42.62567422412047,-10.160498750018993,D,1
Non-Veteran,65+,-22.2780380042922,C,C,90.4633830665324,172.52705465142307,D,1
No,36-50,-88.21221990762965,C,A,36.77315842568738,70.7652582423132,C,0
Yes,18-25,-56.10022508703094,E,D,-3.5650567474909076,-158.71944341381706,A,1
Yes,36-50,-33.641444861851525,C,C,-89.13446024502862,314.1940350673087,B,1
No,18-25,-71.56915592351669,E,C,86.95150097315751,2.83772415964356,C,1
Veteran,51-65,163.95724755471926,D,E,1.1765141225437132,116.18032448714762,A,1
Yes,65+,150.9674685665017,A,B,90.53841493854432,-0.15137711608974266,B,0
No,18-25,-34.001529987157106,C,D,-105.28646152971095,123.01652429419498,B,0
No,65+,63.73829581751106,C,C,-0.6309015876564161,4.5381150196041835,E,0
No,51-65,55.86496751215889,E,E,-110.29909021823427,-100.72072345285434,E,1
Yes,36-50,-78.97515159570906,B,E,-45.9932015344811,84.60058012604311,C,1
Non-Veteran,51-65,79.08594460295652,C,D,-3.2418260333211912,62.895240391720165,D,0
No,65+,24.5560962323997,C,D,9.304313474562369,-99.99411143228592,D,0
Veteran,36-50,-123.48071343086869,E,E,-100.42799267711572,-1.9210830540203603,B,1
Veteran,36-50,-102.79103774952448,B,C,91.65041288171855,-23.47789534543082,A,0
Non-Veteran,51-65,-117.5297100739926,C,B,-54.56422822618209,169.02382477473807,C,0
Veteran,18-25,55.43181998972578,A,D,25.725896826516937,-46.70169897750477,D,0
Non-Veteran,18-25,49.381751683515084,B,E,-65.6006350114781,-47.12732626884459,C,0
Non-Veteran,65+,-4.948034513647577,E,C,-39.3012071785947,57.17347817081907,E,0
Non-Veteran,36-50,-16.17968158937051,A,B,97.51089090809266,-226.25806230059342,D,0
Non-Veteran,51-65,93.90238496235693,A,B,-51.67854937628646,107.78817565465428,E,0
Veteran,51-65,-109.52223200367925,B,D,-29.0769310820158,254.16981133517908,C,1
No,18-25,-3.679068074879962,D,D,49.279671300802406,28.18349517527727,A,0
Veteran,51-65,79.6492761439633,B,C,70.71719373243909,-23.62212536366539,B,1
Yes,65+,85.2591004596578,A,B,-97.61501126116119,152.33313123463753,C,0
No,18-25,-22.321713625505254,C,C,218.76244136812426,-72.31997781760838,D,1
Yes,65+,-211.027192437444,A,B,-238.96648793089517,-4.929171099646881,C,0
Non-Veteran,26-35,-47.080763474155106,C,B,-164.2322972620909,73.02615271200126,A,0
Non-Veteran,65+,-164.10556266662275,C,B,-236.39440720960735,70.45747076202954,C,0
Non-Veteran,51-65,70.20338656509261,A,A,-70.19165771259817,242.29799275160713,C,1
Non-Veteran,18-25,-32.99655749816196,D,B,-38.466796545231986,-126.09495850829076,D,1
Veteran,51-65,36.417685160706895,C,B,-1.904937759687343,70.47106082890113,B,1
Yes,26-35,-30.201414420953498,A,C,-80.08725470304205,60.5266398776395,C,1
Non-Veteran,51-65,-24.445543183644325,D,C,-85.5480692763907,59.57563492444575,B,1
Veteran,65+,59.62265540156659,C,C,106.285018290711,163.41840704016263,A,1
No,36-50,22.61349952797261,C,E,35.37831722136858,-119.28767601832888,A,0
Non-Veteran,26-35,78.41357452903527,E,B,-59.716556155259056,-8.523146691034949,B,1
Yes,18-25,-267.3734503934244,D,C,120.72841450862006,-9.665316942329705,A,0
No,65+,86.35899705677468,E,D,27.02564648798666,-225.52535380670372,A,0
Veteran,36-50,-21.461218762192672,D,D,-242.72106733696535,-73.37238250098885,D,1
Veteran,51-65,-37.464383971523105,D,D,117.78502785679879,77.63534698499947,A,1
Non-Veteran,51-65,48.48026758688864,C,B,73.69383663644678,-5.008967205137649,D,1
Veteran,51-65,66.95819146565351,D,A,64.8446447303559,-113.001046964053,E,1
No,26-35,46.66467262188585,B,B,22.445616014063003,-84.90720442737178,C,0
Non-Veteran,26-35,8.87069754509758,B,D,42.86175987641088,-102.00052917331325,C,0
No,36-50,-7.841055980616951,B,E,-57.28552247974923,-47.91206780964893,D,0
Yes,51-65,161.41161948159123,B,B,149.7169293617996,-13.587183708662637,D,0
Veteran,26-35,-13.97694905657532,C,A,-51.167525062504936,-90.69649946538682,E,0
No,51-65,57.0994457251229,B,C,6.392341177929982,-45.24003682200591,A,1
Non-Veteran,18-25,61.953876246558295,E,E,-120.76441772664532,-50.42819778032634,B,0
Veteran,51-65,109.81888181505455,E,D,81.58001921156291,-228.72013343325204,A,1
Yes,18-25,121.51886149011146,A,C,90.84617108381818,-119.78220384317382,D,1
Yes,65+,50.402926941672064,B,A,-24.82431584054698,-110.50696281324359,A,0
Non-Veteran,36-50,-39.32157050984614,B,D,-59.11432297301372,43.77161651349743,A,0
No,18-25,-42.643304618679615,D,A,-126.85973730327478,63.250977678589734,B,0
Veteran,36-50,76.13267595412225,A,C,-37.91601797998808,36.16086391074073,E,0
Veteran,65+,58.66134263624026,E,C,-166.87969384991382,28.250627798988464,B,0
Yes,51-65,139.3183300824321,E,D,-20.8426083371961,35.844482029661705,E,1
Veteran,18-25,-94.53228380450928,A,B,10.736632505306329,106.36443838699864,D,0
No,51-65,-26.834377837890415,B,C,-92.06635915196195,1.192734353688085,A,1
Veteran,36-50,114.22180060501074,D,A,112.55902064743857,53.858801633788,C,1
Yes,26-35,105.44871782240803,B,B,3.5345255782949327,-107.97783647912674,E,0
Non-Veteran,65+,29.004781850568616,B,E,-1.6380211336917065,-25.50238485651758,B,1
Veteran,65+,-64.46855301053735,D,A,-57.956989009288165,58.21386945376417,E,0
Non-Veteran,51-65,1.5732908113884785,D,E,-45.96087396232443,145.32363053626332,E,0
Non-Veteran,51-65,-88.5051372979529,C,E,-113.73106791096951,5.80424488771584,B,0
Yes,65+,-84.35480395663947,A,B,-31.875680385657784,2.7775392043303806,E,0
No,26-35,43.636628888858915,D,A,109.9595985949001,27.089084175918,D,1
No,51-65,-144.27895265372865,A,D,90.4176515471542,177.56534706236152,D,1
No,65+,-59.17277641821552,B,E,-143.65749967817922,-110.57792110099581,B,1
Yes,36-50,-132.1109668854878,C,A,87.109742865633,-255.3242762120904,C,1
Veteran,36-50,29.797342175864607,C,C,-107.67352657103953,38.799780676491494,E,1
Non-Veteran,18-25,-8.889676941882318,C,C,109.16892028462787,-17.7244166660985,C,1
No,26-35,77.76970408602844,D,E,50.45575409143724,-79.24507884919075,C,0
Yes,51-65,13.545178378273137,B,E,163.22045565719895,-56.25880065760443,C,0
No,26-35,173.91576720380962,A,E,-70.8504831888928,-225.10225657176645,C,0
No,65+,-42.945757187442126,B,E,-111.89656198826141,-14.670581574962513,D,1
Yes,36-50,55.01933014581141,E,D,-85.53696801726419,167.71291757764922,A,1
Non-Veteran,18-25,91.95106332441148,D,B,-111.52274969950791,-33.721796660688995,C,0
Veteran,51-65,-167.44901288979054,C,A,-160.15957626548158,-103.15473844302751,C,1
Veteran,65+,-45.87365454676105,D,E,-47.969153888651064,188.13686224707286,E,1
No,26-35,-1.4416261136253903,C,A,39.32787634374818,-119.5751788940173,B,1
No,65+,-105.75230616138067,C,D,33.322885710612205,31.919611211050693,C,0
Non-Veteran,26-35,-45.839892677902384,A,E,-16.42137460330052,37.042698320637,E,0
Veteran,36-50,-124.98509364051682,B,E,187.97147621745808,-86.45893163441293,A,0
No,51-65,-120.98339669655358,A,E,132.17304347403282,-42.43129484679826,B,1
Non-Veteran,51-65,83.75228618714236,C,D,79.8196127073122,-52.08600354155652,C,1
Veteran,26-35,-84.48035992155151,A,A,-222.18617436880578,-65.7680622509508,E,1
Non-Veteran,65+,-74.53981533545907,E,E,89.55883379235617,159.49874922994542,D,1
Yes,65+,66.40745042225952,B,C,46.550562214097226,242.35251334569847,E,0
No,65+,-5.530642035904632,A,C,-38.84656255999768,56.02402464096604,D,0
Non-Veteran,26-35,158.16153659960474,E,D,36.16088053027743,172.51485908979848,A,0
Non-Veteran,36-50,96.2136662017155,E,A,-114.4198697743019,-67.3070335558588,E,0
No,65+,137.62561704276817,D,D,156.27136497209594,91.14817048621477,A,1
No,36-50,133.17416432415564,C,B,92.61794733623998,173.90786782446278,E,0
Yes,18-25,-297.43630306161106,A,D,-81.11937995117506,69.71046697094158,C,1
No,51-65,-10.010281580269512,D,C,-145.90167242139756,-32.19782172372215,B,0
No,36-50,-116.93381589468346,D,A,89.07415384705058,-121.2303016440786,C,1
Veteran,51-65,21.609282678883247,A,A,-79.7857886777144,-23.26798963115687,D,0
No,36-50,-217.88856078438315,C,E,-21.856192653852766,58.18395008516279,D,0
Non-Veteran,18-25,164.9336193529684,B,B,155.33876402731858,-96.37154805236945,C,0
No,18-25,126.01837001910414,E,A,60.17060761528168,-23.322109592112373,C,1
Non-Veteran,26-35,-84.86061471166597,A,D,-35.59500037599268,10.079101629935993,A,0
Veteran,26-35,40.53348775889956,D,D,189.51575146936773,-70.93970252802285,A,1
Veteran,26-35,8.363659202019884,C,E,51.602655000219244,-10.418668512030584,C,0
Yes,65+,58.25257466050968,E,D,11.618008726568627,-152.29432626166664,A,1
No,65+,-52.03262540983917,E,D,-107.03533227566912,-133.3230309833162,B,0
Yes,26-35,-150.15858845999526,A,A,89.20699454594411,5.341392767079543,B,0
Veteran,26-35,-27.92328723096702,D,B,-113.9164927480459,2.6314525732559324,B,1
No,18-25,-73.3244963466628,E,B,162.3473457594494,27.560274562593563,D,1
Yes,36-50,40.53892391765007,B,D,-53.26241146090989,183.95711448133787,C,1
Non-Veteran,65+,1.7355964246727595,C,E,46.84764714012399,46.30261110166224,C,1
Non-Veteran,51-65,42.506759650371876,C,A,80.64455490053471,-21.123161900689603,E,0
No,18-25,139.59060405154773,B,D,90.60943614518952,123.5172673710097,B,0
Non-Veteran,18-25,233.9502503069033,C,D,-40.07772400650394,0.5938197251839843,E,1
Non-Veteran,51-65,-26.621737628746445,E,D,68.58254686202962,176.63645002363165,A,0
No,26-35,-10.114169610593066,A,E,110.13739394370381,-34.53451223780705,A,0
Yes,65+,92.26353937068606,B,C,112.77180388162084,16.254294686481803,B,0
Veteran,18-25,1.3342756232366093,D,C,154.15374310898008,-129.97598494567805,B,1
No,36-50,50.432924896961985,C,B,-166.6014591799379,-13.419138145608386,C,0
Non-Veteran,65+,-211.14642121081837,E,A,-63.121813259166245,-9.62588273191586,C,0
Veteran,36-50,163.4716960264995,D,A,-85.41947210827446,3.4248359526735004,B,1
Yes,36-50,-51.97707708201508,C,D,-40.13052217249528,58.89557931042793,D,1
No,36-50,190.37745065965922,A,B,125.45886026737429,-17.907809071013858,A,1
Non-Veteran,36-50,86.60180966453372,D,E,-127.594306239215,-108.82542271547031,E,1
No,26-35,119.82040689654949,C,E,17.739952420126517,-5.667084078763702,A,0
Yes,65+,-37.23665602905093,B,B,-5.83574668435594,111.30396697117322,B,1
Yes,26-35,-58.59952687238932,C,E,134.24293929429402,161.14380120039263,B,0
No,51-65,-73.56705114976587,E,B,31.302306753436742,9.890808418019718,E,1
No,65+,53.76890335895828,E,B,161.1474789646649,-70.44178998159559,C,1
Non-Veteran,36-50,1.4211751226339604,C,D,142.2270506541474,-3.621124758778956,A,0
Yes,18-25,-93.07097691474682,A,A,-90.97569298734784,-87.37647846988857,D,1
Yes,26-35,-45.80032076990517,C,D,-105.18928788439952,-52.029787423141194,B,1
Yes,65+,158.79448488652005,E,D,5.789922326107682,-9.613781282242098,D,0
Yes,36-50,156.6827545559053,A,A,-106.09247776473502,48.43050252793809,D,1
Veteran,36-50,-44.259121332102495,D,C,87.79282301790651,36.22436926936364,D,0
No,36-50,85.56569934489853,C,E,77.7482933710602,-3.4771547869024158,C,0
Yes,36-50,-64.66333521071557,D,C,-110.63861466847733,-150.96657486006015,C,0
Veteran,18-25,63.49840699164739,C,D,161.39101195357287,-52.274483012754544,E,1
Veteran,36-50,156.7942362587981,E,D,-126.24938956277418,163.14732416977037,E,0
No,26-35,34.97438210536833,A,E,-5.974808123978119,-118.44835472929857,C,0
Yes,36-50,93.0223663925178,A,A,-131.58841862199165,120.23071870745174,B,0
Veteran,18-25,13.626519582928104,D,C,-43.330612861111895,35.91047617088823,B,0
No,51-65,85.53306004751781,D,D,28.39339082056028,-39.754198661440796,E,0
No,51-65,-18.846904175160528,B,C,-190.00744538678708,68.51155788191807,D,0
Non-Veteran,51-65,-20.65324847707534,A,C,30.142477535723216,40.94949326675448,E,1
Non-Veteran,26-35,-63.997102607429944,B,B,185.05995791929223,-77.69765147071087,A,0
Non-Veteran,26-35,79.243205654397,A,C,98.64998985212077,49.54314886190983,B,0
Veteran,26-35,120.68426985664982,D,C,-36.75918828240152,-62.47546169404114,A,1
Non-Veteran,51-65,2.4933213998804553,A,C,-5.684959353755639,8.326189739187326,E,1
Yes,26-35,-94.8203062336827,B,C,-55.272225938017094,-78.91400775336082,D,1
No,26-35,-61.790281962530415,C,A,-70.51747196629263,-12.220981302964697,B,0
No,26-35,-0.9314230525252795,C,D,-57.79125770600161,-144.60976449018048,E,1
Yes,65+,47.502030790014935,D,D,44.096279168333574,32.47937474391079,D,0
Veteran,51-65,-109.80203927943973,A,D,-117.11698763144025,39.69158562708345,A,1
Non-Veteran,26-35,174.6091328111389,E,E,4.03867063258219,-15.090238396116284,D,1
Non-Veteran,36-50,-52.79712154726223,E,B,-77.88432332396329,-39.344769287925786,E,0
Yes,36-50,-125.3629249077918,C,D,50.10710505242787,102.64789058791894,D,0
Veteran,26-35,45.2636515247833,D,C,64.9318473419966,16.545133885935673,D,0
Yes,51-65,54.68974390230296,A,A,-33.599503845696546,-117.84950926972304,D,0
Non-Veteran,18-25,42.21707489658705,E,B,-5.032335451288087,-127.43291546947988,E,1
Veteran,65+,43.96304914425626,A,D,-78.67886524455132,-4.548735657335766,E,1
Non-Veteran,65+,212.71799044268013,E,C,-69.22111936983435,152.355642712302,D,0
No,18-25,-110.0122667623741,C,E,-45.093829042075456,41.27287059897493,E,1
Veteran,18-25,-79.22615537974825,A,B,-10.177238877821921,-94.36478246548677,E,0
Yes,18-25,-45.529386608227504,B,D,-67.96557971440798,-31.738540933641286,A,1
Yes,36-50,-60.41007072872727,A,E,-18.784088450504566,126.32847913011638,B,1
Non-Veteran,18-25,145.77795043938983,D,E,30.935632447469597,23.40796415883558,E,1
Non-Veteran,26-35,-73.07195041261117,D,C,17.263584186469533,-96.1077861394518,E,0
Non-Veteran,36-50,-64.41260843042913,D,E,-52.26529422873723,166.94941652825312,B,0
Yes,36-50,25.555525977349998,E,B,11.740873240998951,27.52212621624819,A,0
Non-Veteran,18-25,42.6270695571044,A,B,94.31016426440608,-52.30075824841164,C,0
Non-Veteran,26-35,-83.89539131645803,A,C,-79.31254789185077,114.9379532491999,B,0
No,51-65,120.73694890136369,A,B,139.33556802462542,104.13412878311621,B,1
Non-Veteran,26-35,57.61193811516002,C,E,114.57868484043931,-90.78563945758444,E,1
Veteran,51-65,-53.02815566089142,C,E,17.124374699072728,-139.10421275190185,D,0
No,51-65,29.41010083953634,D,C,-3.468089835058973,8.87371568389203,B,1
Yes,36-50,-4.61049744306407,C,E,14.751700749713553,55.06548214817306,B,1
Yes,36-50,22.976077088887294,C,B,-116.14262986708988,20.774548328949972,A,0
Non-Veteran,51-65,-171.9552324704808,A,C,102.21668966651526,43.616994284439045,A,1
Yes,18-25,25.06427899109969,D,E,-69.60723654949068,-146.82027365544903,C,0
Veteran,36-50,-140.83162720786197,C,D,56.808480621998136,22.19611085632404,D,0
Veteran,36-50,31.307804761936648,A,E,-156.0770218664763,95.10799525322045,C,0
No,36-50,-106.16699393675009,C,E,-20.56743211462871,-67.5848320122551,E,0
Veteran,18-25,-30.775211735702513,C,B,-83.93367200640465,-51.12810589604041,D,1
No,18-25,-1.868531318941814,B,B,4.931650492398383,7.901876707579109,D,0
Non-Veteran,65+,-11.451546522903765,C,C,124.90025078825016,73.32720874648699,D,1
Veteran,65+,-4.425870595581329,D,C,-39.292678367032416,-22.4609820436402,C,1
Non-Veteran,36-50,-73.19184836901651,B,E,-55.15104440043434,104.67849229440753,C,0
Veteran,36-50,33.34299207407498,E,D,-322.86720629064035,-72.45418964270364,C,1
No,36-50,-131.5025392407539,E,B,65.91736419106536,-97.77291314117072,C,1
Veteran,26-35,23.032282463681693,B,C,118.713249133226,20.901856470276453,B,1
Veteran,36-50,-123.04138911922135,B,C,47.82423054893857,-59.70563383186539,B,1
No,36-50,29.374652864030242,E,B,-74.22490465859252,177.41683849492165,C,0
Non-Veteran,26-35,17.110526369094206,E,B,95.034249999689,99.66503510827337,C,0
No,36-50,65.3055452730475,A,D,-50.860550975028495,-161.14386255666878,A,1
Yes,36-50,15.901283072792562,D,B,90.13280747753848,94.73577877191933,E,0
Non-Veteran,65+,-97.8921762139655,E,A,95.76230168510756,-41.34565897806042,A,1
No,65+,18.45026477662972,A,D,31.599126796880828,95.59674823152639,B,1
Veteran,36-50,183.6198445638785,B,D,-40.77044950990125,-94.03980084172304,D,1
Non-Veteran,65+,-18.14788127746898,D,E,-68.17779719423906,-120.65080012255787,E,1
Yes,51-65,74.10991799028804,B,A,158.44547269141634,143.75613468106957,D,0
Non-Veteran,26-35,-159.56219449141614,B,D,-9.553696034855967,62.095718972356764,E,0
Non-Veteran,65+,-135.1571878011589,A,B,-85.97515396411805,-71.86273554834992,C,1
Yes,18-25,136.02512196237032,E,E,-56.48653523462255,-10.60329313052425,E,0
No,26-35,1.7601311870750609,C,D,37.13212543581979,-7.73004996406666,D,1
No,65+,46.33196974344949,A,E,-31.60752011846663,-35.05775577220863,D,1
No,18-25,-49.489752841328375,D,D,260.1576524540716,75.41661137967614,D,0
No,36-50,132.1982066333527,A,C,-63.6228136304084,-101.06791080361452,A,1
Non-Veteran,36-50,53.35275897040403,B,E,123.13101376659905,-44.15429459277247,E,1
Non-Veteran,65+,-123.43690374643508,E,C,86.61308433148139,21.33322962683809,B,1
Veteran,36-50,-51.47381355067093,A,C,-38.29669935005746,-30.24589184391099,D,0
Yes,18-25,-24.46166985540573,C,A,162.90299102031508,33.34035208182119,B,1
Non-Veteran,18-25,-222.60495283578078,E,E,-3.7412386485789715,-52.24492934332299,C,0
Non-Veteran,36-50,-208.77356949567326,A,C,-20.47099560299615,-47.685043032471235,D,1
No,18-25,-45.230127205504814,C,D,242.57110199135337,-51.45260871153543,C,0
Veteran,65+,136.83190084261406,B,B,-23.642360922079877,86.88310817862653,B,0
Non-Veteran,51-65,29.055946337396538,B,C,-142.5305311806206,-126.67136065405747,B,1
Non-Veteran,36-50,30.063488037629334,B,E,-93.10556775618859,-26.61555622367014,D,0
No,26-35,178.16152948985368,B,E,-71.65327548694684,93.61819161194799,C,1
Veteran,36-50,123.3096658738348,C,C,-113.1117992196633,-54.02729850520262,B,1
Non-Veteran,65+,-63.9760108534747,B,E,-33.831727094449114,-151.66033595993432,A,1
Veteran,36-50,56.89975448348205,C,C,133.65606572872397,-10.679266476407525,B,1
Non-Veteran,18-25,-165.77421229872854,B,A,144.08392891881604,-26.516894162911075,E,0
Yes,26-35,-16.661092033429785,B,D,-87.57607935423343,-170.02204381967928,E,1
Veteran,51-65,-110.32676988444088,C,E,9.318228883385862,-29.811920989987524,D,0
Yes,18-25,24.26633117015757,D,A,190.401034617657,58.52521059433129,A,1
Veteran,65+,-162.5807279424908,E,B,-269.8846471948059,60.539999092814725,E,1
Non-Veteran,36-50,-42.98011544315972,C,C,-51.48298712223568,56.146686126114695,E,1
Veteran,26-35,100.60426076864618,E,E,-7.391567668150641,70.04562814296531,D,1
Yes,18-25,87.5786880390638,C,D,-10.315117657797732,-139.0253916939405,B,0
Yes,51-65,-153.2180092341956,C,D,78.48060275048216,188.8360777497162,A,0
Non-Veteran,65+,50.24542423989391,D,B,23.744712593491172,113.89311434141705,C,1
Veteran,65+,48.66539071998488,D,E,3.4438175353160454,-98.21819821894816,C,1
Non-Veteran,65+,21.888753196927162,D,B,36.10733716364588,-63.7702738303471,E,0
Veteran,26-35,-49.94564536079038,A,A,-16.590001421804306,-11.581375810265667,C,0
Non-Veteran,26-35,61.02607046032619,C,B,20.340994990097254,-69.18382463114851,C,0
Non-Veteran,36-50,205.69653123811685,B,E,66.79897872805189,-12.816512156775081,D,0
Yes,36-50,143.0602570080265,C,B,107.3663465769365,152.39093744697126,A,0
No,18-25,-44.76246742441787,E,D,-117.35914737204796,328.3633891305445,A,1
Non-Veteran,36-50,38.56126712269049,E,D,41.61635242591541,-48.23102640946365,B,1
Yes,18-25,182.20575696792181,A,D,-3.683867969757931,67.79122003014464,D,1
Yes,26-35,-15.773379581285262,C,B,42.84770302814976,-44.510455818110614,B,0
No,65+,-109.05647901693231,A,B,38.37097783358952,-82.42722840026607,B,0
Veteran,51-65,137.84303751683888,B,E,-0.7538890285284643,16.33092712720169,A,0
No,18-25,41.76999265768793,B,A,-90.27744332358537,157.31461704284953,B,1
Yes,36-50,155.60859656592336,A,A,-24.2257220203237,13.580710136976068,C,1
No,36-50,34.730794373196915,B,A,-75.41402458981574,65.33452924807665,B,1
Veteran,26-35,143.8998496718377,B,E,80.80040631965659,-131.6413130023796,D,1
Yes,36-50,-32.04497017417371,E,C,84.8692751049547,41.90060261884687,A,0
Veteran,65+,113.78506927819265,C,B,-47.89598756968314,-132.73201270785535,A,0
Yes,51-65,-79.77905035844574,A,E,65.2764964219497,35.86545520201045,B,0
