Disability,Religion,Nationality,Veteran,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,target
Yes,Other,Mexico,Yes,59.43973151874559,28.508841861837798,-85.85996199627631,D,C,B,B,1
Physical,Jewish,Other,Veteran,-16.769093934513986,-121.0960975264956,4.025781399752025,B,C,D,C,1
Mental,Muslim,US,Yes,79.40908276448381,-14.662042933354888,40.803660590224894,B,B,A,D,1
Both,Jewish,Brazil,No,113.69211947266264,84.16054282910672,-25.785586967633073,E,C,C,A,1
Mental,Buddhist,Brazil,Veteran,152.31390985781138,-5.381530028863525,8.21965157962575,A,D,D,D,1
Mental,Muslim,India,Yes,-20.561150565562762,-21.119916930993035,115.48998957410998,E,D,D,D,1
No,Buddhist,Other,Yes,-133.77632479817507,-110.9621433189203,116.77749889920716,A,A,C,E,1
None,Christian,UK,Yes,65.14785259072569,-136.8654913822981,-60.25242224960883,B,D,E,D,0
Yes,Christian,India,No,-135.8667934730588,-41.98423674548528,-27.45474324069932,D,B,B,A,0
No,Buddhist,US,No,102.67553074682341,93.57428101549198,18.642199953591195,E,A,A,C,1
Mental,Muslim,Germany,Yes,-124.26941495218702,-85.50668458722652,-160.69847137584506,A,B,E,A,1
Physical,Christian,India,Non-Veteran,87.38248813056684,64.98245518342021,16.632982721013608,B,A,D,B,0
Physical,Other,US,Veteran,-47.6230827264508,-67.56803785370069,25.054122387831924,A,B,D,B,1
No,Jewish,Other,Yes,-44.580818560697004,79.91122229843623,-137.9205708512738,A,A,E,E,1
Physical,None,India,Non-Veteran,104.99764858562715,77.68248778652757,-35.41417763595891,E,E,C,B,0
Physical,Other,Brazil,No,-59.27610746551232,-14.314557404856181,-62.954665206202385,E,D,A,E,0
Both,Muslim,US,No,36.92800448316789,-162.05435142732767,53.22707106543751,B,B,A,A,0
No,Jewish,US,Non-Veteran,16.6729799434691,76.40068360943476,92.16014379361232,E,C,D,E,1
Yes,Muslim,US,No,24.82912101907902,38.48827391498891,-130.06542692398213,B,E,D,E,0
Yes,None,China,Veteran,-120.49061996260357,-31.107513957058558,-64.62138966197027,D,A,D,A,1
Physical,None,Germany,Yes,-183.96249142215487,-46.78874836212217,67.9509460951657,D,C,E,E,0
Yes,Hindu,Other,Veteran,-82.01303484278179,108.33777624522935,108.75382658993331,D,A,A,E,1
Mental,Hindu,India,No,9.367652086050562,16.307071554636124,-16.661163949526927,E,E,A,D,0
Physical,None,Other,No,20.56053935547951,25.410030881472977,6.381135226667557,D,E,C,E,0
Both,Buddhist,UK,Yes,-211.94302898699794,-81.07134836412938,-122.73274181447252,C,E,C,B,1
Mental,Jewish,UK,Yes,132.6491779452061,111.42068648664778,-35.42982370581872,B,C,D,B,0
Mental,Muslim,US,Non-Veteran,-142.0427758942481,-109.0593387390853,-29.080407243910557,D,A,B,E,1
Mental,Jewish,Germany,Veteran,-48.80817700689254,-155.80270424424475,-100.3662471580942,C,A,D,B,1
No,Other,Germany,Non-Veteran,47.66628200561156,4.409320595057534,-87.1449682557368,A,E,A,E,1
Both,Buddhist,Brazil,Yes,-71.12008634224549,-16.586501690478187,-55.985165665272696,C,A,B,C,0
Both,Muslim,UK,Veteran,-93.35956264648541,-101.03938449270544,-149.6072480399548,C,A,E,B,0
No,Buddhist,China,Non-Veteran,-65.07813988042686,44.3181011529157,-108.31188165229868,D,C,B,A,0
Both,Hindu,Brazil,Veteran,2.423515428795273,60.12084999975556,90.96474165833423,C,E,D,E,1
Both,Other,UK,Yes,41.5477663060086,-52.03161398856009,-46.176797629674056,E,B,A,A,1
Both,Jewish,Brazil,Veteran,5.925547194017833,79.9667158950906,30.494552475339898,C,C,A,B,1
Both,None,China,Veteran,-40.97128202106042,59.37799158956809,-162.54124643705373,E,C,A,E,1
None,Muslim,India,Yes,88.74679990393287,-11.595448002799728,-3.7547176017077897,E,E,E,E,1
Mental,Jewish,Other,Non-Veteran,-81.78536104076636,-12.787074513909161,-157.2067089947917,D,E,C,D,1
Mental,Jewish,Germany,Veteran,63.60889652514303,-49.83241298801072,-2.009129150451808,C,B,A,B,0
Mental,Hindu,US,Veteran,-165.884421454064,-120.6344446780361,-144.40360436632517,A,A,E,C,1
Physical,Jewish,Brazil,No,22.1700042921454,28.814678241905927,-51.573138382550546,E,A,D,D,0
Both,Buddhist,Brazil,No,78.61968973880104,-42.39118125786733,153.988726990685,E,D,A,C,0
No,Muslim,Germany,No,215.27979146387221,-90.2654777495705,-96.35270034340438,B,C,E,E,1
Mental,Christian,Germany,Yes,0.10601692922625267,122.24467914209845,-17.600613426754283,E,C,B,D,0
Yes,Buddhist,Brazil,No,20.409184396290936,-4.856545026419746,182.6022284833989,B,D,B,A,0
Yes,Jewish,US,No,-65.39057380988021,-24.512366773116163,-243.58953564291267,A,D,C,D,1
Physical,Other,Germany,No,59.53050647046436,-18.18266717863567,-186.85202698859885,C,B,E,B,0
Yes,Muslim,Mexico,Yes,80.6296821707603,-2.732719217993325,-148.71083765071646,D,E,C,A,1
Yes,Muslim,Mexico,Veteran,12.205367558115244,-103.47561572752267,-27.706383444285947,E,B,A,D,0
Physical,Christian,Germany,Yes,9.034290809811571,-213.71984863054453,72.65984410483924,C,B,E,E,1
Mental,Christian,Germany,Non-Veteran,-116.89797468794534,18.02216409926488,41.35312864477792,E,E,B,D,1
Mental,Hindu,Mexico,Non-Veteran,-8.591736695966176,73.9779067597524,-8.835972292943167,E,D,E,B,0
No,None,China,Veteran,124.6991983724552,39.682857339331,115.51245183451819,C,A,E,B,0
Yes,Other,Other,Veteran,-93.839575708783,-215.47616436958018,-2.9376136942208793,B,C,D,A,0
Physical,Jewish,China,No,11.62546312378776,-85.18559358186937,-96.13445075322504,A,B,C,D,0
None,Jewish,Other,Veteran,143.61381063437284,-77.42835878759803,-8.308403693548735,E,E,A,B,1
Mental,Hindu,UK,Non-Veteran,20.458078586191945,-204.50428526411807,123.6592695554487,E,D,A,B,0
No,Jewish,US,No,-84.89622865398759,17.540715992833693,35.01604646922961,C,A,D,A,1
Physical,Buddhist,Mexico,No,-107.63373952484407,-95.92524160750774,-147.69174274841487,D,B,E,A,0
Mental,Christian,China,Veteran,-32.98673401993748,115.23047058040423,-121.11356841440346,E,E,E,D,1
No,Christian,Germany,Veteran,-52.02248490707856,-10.31742740704862,-57.01305663891107,C,A,C,B,1
Both,None,Germany,Veteran,14.646267027357329,14.055903288520637,-85.82621438027721,A,C,D,E,0
Mental,Jewish,Other,No,23.06130822146704,-29.55405927491583,-139.47547774302546,D,B,B,C,1
None,None,Mexico,Yes,-167.02198144631063,-42.690069870488244,10.008779332688142,D,C,D,A,0
No,Other,Other,No,77.71991701714275,-21.69225397622649,-21.261085895939434,B,E,E,D,0
None,None,Germany,Non-Veteran,10.652818177196016,64.01737975402455,-19.691283786070727,C,C,B,A,0
Physical,Other,US,Non-Veteran,-25.66885503793694,70.98229176849554,-204.45761488520864,D,B,D,E,0
No,Buddhist,China,No,136.89368302216013,129.38000973573128,64.95098986687434,E,E,E,E,1
Both,Christian,Mexico,Non-Veteran,10.642917470358425,-125.49954847787888,69.73802232099492,E,C,D,E,1
Both,Muslim,Other,Non-Veteran,-20.96966217052897,116.22361657127446,-77.29818546884694,D,A,E,C,1
No,Other,US,Veteran,10.54695749740175,83.57184367091583,85.9719424672462,B,A,B,B,1
No,Muslim,Mexico,No,-87.65349148065904,59.4132265247795,-66.6947697204981,B,B,A,A,1
None,Christian,India,No,57.47998263899531,-66.57513325291049,-88.78607335201028,E,A,B,B,0
Physical,Christian,US,Non-Veteran,3.2125446349613376,52.761589655247796,-5.132641218784241,D,B,B,B,1
Mental,Christian,Other,Veteran,-93.31258406899832,-78.45039680315985,121.20665111803473,D,C,A,A,1
Yes,None,UK,Veteran,22.10752895528942,70.32135607089668,-3.0342828537298394,E,A,A,A,0
Both,None,Germany,Non-Veteran,-23.647031205469133,87.56700451769741,30.19428779681293,E,E,C,A,0
None,Hindu,Mexico,No,-125.62415693580414,-7.320744862493446,61.21991038583029,D,B,E,C,1
None,Buddhist,UK,Non-Veteran,96.70860454763982,-233.85348630075478,-88.26263342471049,B,D,B,A,0
Mental,Jewish,Brazil,Non-Veteran,18.476106197735216,-62.064945319033725,-17.06597662365803,E,D,C,A,1
Physical,Buddhist,India,Veteran,-210.13278067821625,-84.83454654324407,78.73346243302225,E,D,A,A,1
Mental,Muslim,UK,No,142.95858558185708,54.124747998706404,-128.32923579051695,C,A,B,D,0
Mental,Jewish,Brazil,Yes,-117.18518784647041,55.11964353897254,15.973520508468967,B,A,E,B,1
Mental,None,India,Veteran,-116.05156772066007,-47.21301514675493,-31.15477155209317,C,A,A,E,1
None,Christian,UK,Yes,-68.13545439003508,-40.51328814831105,107.52683782199281,D,B,A,B,0
Both,Buddhist,UK,No,59.8235236356254,-50.784028537522886,77.96352936819866,C,A,D,A,1
No,None,China,Non-Veteran,199.55832829947136,-41.006425278825695,12.811909785180694,D,B,D,A,0
No,Christian,US,Non-Veteran,-44.77540856822704,8.30538363629476,15.336076083121469,C,D,E,B,1
Yes,Buddhist,UK,Non-Veteran,68.51882885619787,-21.686621727962066,-113.36016729995053,E,E,B,B,1
Mental,Other,US,Yes,-224.5535205583784,26.974022035077166,-103.43798440517521,E,E,A,D,1
Physical,Muslim,Mexico,Veteran,67.18996332889527,52.85396936372388,-12.612244287365721,B,B,A,C,1
Physical,None,India,No,171.97764826568724,109.10532487524705,-27.06734844879655,E,A,D,E,0
Mental,Muslim,US,Veteran,119.12386020431383,-64.24756652719432,-148.44265204426958,B,D,B,D,0
No,Muslim,China,Non-Veteran,-44.52359860399228,-88.5344216273202,-52.39625168120603,D,D,A,E,1
Physical,Buddhist,US,Veteran,-150.66228398185478,28.109434957240875,153.15224486961083,B,E,C,D,1
Mental,Hindu,US,Veteran,-111.29954168901179,-61.43380382078518,-80.43874300739472,C,A,A,E,1
Yes,Christian,Other,Yes,-5.203854857527886,175.9739205819734,-162.21888153803567,B,C,A,B,0
None,Christian,UK,Yes,173.0881308755557,-197.54706431028654,101.23257748537861,D,A,C,E,1
Mental,Other,Mexico,Non-Veteran,95.50723147631906,-38.62904472586754,81.99598055471631,B,D,C,C,0
Both,Buddhist,UK,Yes,72.72265044018536,-123.32971479114767,176.78766755128862,C,B,A,A,0
Physical,None,UK,Veteran,-36.00512570312573,138.60909162204962,-77.31009394194461,C,E,E,B,1
Both,Jewish,Brazil,Yes,-5.125097683435509,-69.40093891284491,-167.17188889332948,D,C,C,B,1
Yes,Buddhist,China,Yes,64.08700718080676,145.71452354383717,-70.39576431741185,C,C,C,E,0
Mental,Hindu,India,Veteran,-238.7073295684245,-157.34729273503234,59.118495453876896,A,C,A,D,1
None,Buddhist,China,Non-Veteran,-104.44002799317052,63.67206412983133,-295.30229653792503,A,B,A,B,1
Mental,Christian,UK,Non-Veteran,69.33128447716848,57.97122107076637,1.8824889811560523,A,C,C,C,0
No,Christian,Mexico,No,74.37635182895819,-74.43641282611839,123.21155100242945,D,E,A,D,1
Both,Buddhist,Mexico,Veteran,-114.44578890755366,-1.6243019917935266,-6.459613572001653,D,B,D,E,1
None,Hindu,Mexico,No,186.00134088670325,7.224361356920853,-183.52336918415253,A,E,E,E,1
No,Buddhist,US,Non-Veteran,-112.46835094106788,-29.491301433527106,-52.82490382959899,E,C,D,C,0
Yes,Buddhist,Other,No,-165.52200303068275,-92.78788541895747,-36.71592695820268,B,E,C,D,1
Both,None,Brazil,Yes,111.06691363696916,-20.764696977721258,73.0087176312929,E,A,A,D,1
No,Jewish,Mexico,No,-145.2576059762141,137.49481622969216,-21.172948362682366,D,A,A,C,1
Yes,Other,UK,Veteran,-42.22423915721058,-60.5014141262645,-26.02608177021733,C,C,A,E,1
Both,None,Brazil,No,6.889536718143089,-83.56713293915614,25.66285080216868,E,E,E,A,1
Mental,Jewish,UK,Yes,-49.23463353076522,-119.25894273086155,55.30016431420399,A,B,B,E,1
Both,Buddhist,China,Non-Veteran,11.033982673919306,57.55132490047751,66.89065766040295,B,A,D,A,0
Yes,Hindu,China,Non-Veteran,111.9805452673554,83.2350102733123,-63.16297847847522,A,B,E,A,0
Physical,Muslim,US,No,21.10880786600951,29.415602233932344,110.65258573797547,B,C,E,A,0
Mental,Other,Germany,Yes,-90.94229019002063,-17.844945245831624,-135.05906740648007,A,B,C,A,0
Mental,Buddhist,India,Veteran,65.1740605291264,-5.222455455904658,105.38380250652015,D,B,E,A,0
None,Christian,US,Non-Veteran,62.65050612894133,56.13763419775226,13.45442198950256,A,E,B,D,1
Yes,Buddhist,Brazil,Non-Veteran,-32.10381416900147,-91.60525240143158,108.34957965469378,E,B,D,C,1
None,Hindu,Brazil,Veteran,-69.67859459822404,38.501994974903695,-160.2956689406695,B,D,B,C,0
Mental,Muslim,Other,Non-Veteran,67.67797945596557,27.71216986935947,-119.9435046408117,C,B,B,A,0
No,None,Other,No,23.024337949033686,56.37790414116295,-0.5098880957153957,C,B,A,A,0
Physical,Christian,Other,No,134.65306272983514,-62.019579981053866,-150.84607307933913,E,E,E,E,1
Physical,Christian,China,Yes,-139.71970920358018,74.49044446001814,16.019295586194364,E,D,C,A,0
None,None,India,Yes,167.56076033467264,-43.54078684309843,-121.02961023787135,D,E,B,C,0
Yes,None,Other,Non-Veteran,91.67257996578512,-42.78759675396698,-41.97083413134992,D,A,B,E,0
Both,Other,Brazil,Veteran,-150.23482380380355,86.3933482231063,104.93564427470092,D,E,D,E,0
No,None,US,No,-178.1252824634477,62.14432216672285,90.0028340234153,B,D,C,A,1
No,Buddhist,Germany,Veteran,213.40838519799922,-9.803705292032138,73.4660440756705,B,D,E,B,1
No,Buddhist,Germany,No,106.86259664713418,-34.15033713657752,8.313265114940762,B,C,A,A,0
Mental,Christian,Other,No,-137.87913511554,-132.81173675000775,-42.06501549340878,B,B,C,C,1
Physical,Muslim,Germany,Yes,-81.19820976369665,28.753661514774624,-17.778776532196332,D,B,C,E,0
Both,Hindu,China,Yes,-18.36833248984725,-30.954322018545994,84.53225751998059,E,A,B,A,1
Mental,Muslim,India,Veteran,-18.778434997159295,39.25906790409515,124.23465294480272,B,C,A,C,0
None,Christian,China,Yes,-156.13713851063974,-44.52872891977533,25.32646944897481,C,E,D,A,0
Yes,Other,Other,Yes,66.05863403214492,-186.1827016215636,-88.67841680652322,B,C,D,E,1
No,Muslim,Mexico,Non-Veteran,1.5093944410881153,89.1652569417711,-66.5866774377685,E,B,B,C,1
No,Christian,UK,No,45.39198899710233,21.320145235971385,-328.97866923563623,C,D,B,D,0
Physical,Other,India,No,77.53871797785743,-340.9958627134827,160.48294000917477,A,B,C,A,1
Yes,Other,Mexico,Veteran,-86.87820961839876,-26.216414628640116,-166.0255718780393,E,E,A,C,1
Mental,Muslim,US,Veteran,13.078389274910919,58.82736160385282,-100.73455936812023,C,A,A,D,1
Physical,Christian,Germany,Veteran,62.04939232889433,61.54841514864478,-40.74154145732491,E,C,B,D,0
None,Hindu,India,Yes,100.53342709686414,-42.48372468749752,74.32136637928812,B,D,D,D,0
Both,None,Brazil,No,77.83523760326791,194.22988118530776,-62.18663502363295,E,E,C,C,1
Physical,Buddhist,UK,Veteran,-18.262342110293183,-84.89642576391115,61.087168260225525,D,E,B,A,1
None,Christian,Other,Veteran,147.61788776002746,28.897994880214302,-138.8526665177158,B,B,A,B,0
Mental,Muslim,Mexico,Non-Veteran,129.07330148338255,25.522998975751598,36.776275813889406,E,B,A,D,0
Both,Jewish,UK,Non-Veteran,8.752803459840763,-60.792384528456665,121.37793452024437,A,D,A,C,0
Physical,Christian,Mexico,Veteran,-18.236508552079126,28.309637417745364,60.72744176360453,A,B,A,D,0
Yes,Buddhist,India,Yes,-80.0743323531912,175.9109405102901,62.982093684701354,A,D,A,E,0
No,Jewish,China,No,131.37255705330827,40.15677999161088,157.95295259179235,D,E,A,C,0
Yes,Christian,Brazil,Non-Veteran,-118.86238731851736,44.70725616375501,-215.31501571453205,D,A,A,E,0
Mental,Other,China,No,-43.62323008984983,-15.309814202518876,-131.91744478383427,C,D,D,D,0
None,None,Other,Yes,37.05560367880839,95.2247803217289,54.62128633161637,A,C,B,D,1
Mental,Jewish,US,Veteran,-119.66063766506878,-3.777639832617959,-82.25886602901598,A,C,A,B,1
Physical,Hindu,China,Yes,-98.9472995873634,-139.54505335200983,-70.88090104203188,B,B,B,C,1
None,Muslim,Other,Non-Veteran,-29.10365548473543,-6.0779164780890715,-186.55626843997536,D,D,B,C,1
Physical,Christian,Mexico,Yes,-111.26702101422661,47.94011128909854,-80.42699697862633,A,D,A,D,0
No,None,China,Yes,156.37562844469358,-112.73810679201344,-74.2576779669162,B,D,C,D,0
None,None,US,Yes,51.24125242376915,76.67401423836802,147.67201756614494,E,E,D,D,1
Physical,None,Other,No,13.836886426721772,-36.49388584996011,-22.58267956873567,A,D,E,B,1
Mental,Hindu,India,Non-Veteran,71.97640313622456,172.8719173934378,16.834315884966745,B,A,E,B,1
Physical,Christian,Germany,Veteran,23.494859267966493,-157.024484977064,-77.49150742667176,E,A,B,A,0
Yes,Muslim,Germany,Non-Veteran,98.23770989012681,-77.9376839063937,-8.218376324029766,A,E,B,E,0
None,Other,China,No,-78.56601622046526,160.18381714877864,-71.1681686072208,B,C,E,B,1
Both,Christian,Germany,Non-Veteran,-5.837293117337837,-70.00177147611136,-90.17163550398809,A,C,E,B,0
Yes,Christian,UK,Yes,106.90075221059392,0.13333468702612514,-112.33160132701181,A,E,A,D,0
None,Other,US,Veteran,2.0053906201994818,-63.08947447888444,-153.47066787735147,A,B,B,C,1
Both,Muslim,China,Non-Veteran,59.27508289687209,199.65821805204982,-31.454833003847583,A,E,B,E,0
No,None,US,Non-Veteran,14.044684092207682,-60.853260120205334,-25.963772329092787,E,D,C,B,1
Yes,Buddhist,US,Veteran,-58.62363017067472,-14.649625273555902,-47.2457694635831,C,B,C,E,0
Physical,Buddhist,UK,Veteran,46.686947355781996,-118.74477114968593,-128.8041893499503,B,B,E,B,0
Mental,None,India,Yes,14.301088921566885,-65.85522969275954,78.19730605772548,E,A,C,A,0
Both,Muslim,US,No,-88.06137930491653,26.57210522223107,60.584750978809176,B,A,A,B,0
Physical,Other,UK,Non-Veteran,-9.971987801915589,-105.35748669145704,75.55669273940883,C,E,D,B,1
Both,None,Other,Non-Veteran,-55.58721530205042,-8.980971335148938,99.52245525886545,A,D,D,A,0
Physical,Hindu,UK,Yes,-76.55323239677693,-44.4561092003415,-106.09157376525408,D,B,D,E,1
Mental,Jewish,China,Yes,43.32428245242495,59.311751369090615,-35.66043778603061,A,D,E,A,0
None,Other,Brazil,No,-163.0195441081204,43.75965131934999,-20.000257338769938,B,E,C,A,1
Yes,Jewish,US,Non-Veteran,18.80640206146697,-48.8563049679888,-15.232758707267138,E,D,E,E,1
No,Hindu,UK,No,248.59938409111604,-95.3606442891227,187.963479951857,D,E,A,A,1
No,Buddhist,Other,Veteran,-66.92072686842286,110.85580744264172,-60.35311349656727,E,E,D,E,0
No,Jewish,US,Veteran,292.4760129975978,-126.33129136014118,-42.30891866360663,D,B,A,D,1
Mental,Muslim,China,No,-113.56114917159013,37.238706062516435,99.44428236901143,D,D,D,D,1
Both,Other,Brazil,No,88.3418448329088,246.12104260128956,33.80160250304186,B,B,A,B,0
None,Hindu,US,No,-43.65672856883135,-33.00723932204521,-42.08530212756693,A,B,B,D,0
None,Muslim,Other,Yes,200.185079318087,-138.1502627643041,-88.08850999269802,A,E,B,B,0
No,Other,China,No,167.69345166494068,110.33788525467354,-141.88347340770636,A,D,A,A,0
Yes,None,Other,No,-5.44115736110638,63.9445842344803,-35.94371625786708,E,C,C,B,0
Mental,Jewish,India,Non-Veteran,95.32304616110238,201.5470738072335,-171.97214320348257,A,A,B,D,1
Both,Hindu,UK,No,-65.15607409293814,31.18706395448381,235.1743023865159,D,A,A,A,0
No,Buddhist,India,Veteran,-100.89073719885282,2.333291165097205,-83.88183677083532,D,A,D,E,1
No,Other,UK,Non-Veteran,-31.18383073670249,90.82276229118855,172.15699327327317,C,B,A,B,1
Both,Other,Germany,Veteran,-40.63052085771023,32.2776764309301,16.136960670858507,B,A,E,B,1
Physical,None,China,No,32.36953892355909,181.72179032867928,-65.4585486970914,C,C,A,C,1
Both,Jewish,UK,Yes,-92.68065528209239,-108.63436105134345,-53.946206676387135,D,D,D,E,0
None,Other,Brazil,Yes,-81.7614382319063,-97.93654380190631,208.29748499390175,A,D,D,C,1
Yes,Christian,Mexico,No,-33.435252951366685,16.8696379963189,18.553739679072635,E,D,C,D,1
Physical,Christian,India,Yes,171.08688111466424,68.09257038684092,37.02422350734062,C,E,D,C,1
Physical,Buddhist,Other,Veteran,53.130962351993006,-203.9396584546936,29.40234133108936,A,A,E,B,0
No,Muslim,UK,Yes,119.96848390200942,-143.8518322041673,-32.284364149230406,E,B,C,E,1
None,Other,India,No,131.6326688973159,-123.32726670055318,73.80007618771349,C,A,D,B,1
None,Other,Germany,Non-Veteran,-11.523379417681864,-261.5357889602542,-105.30177125031635,B,C,B,D,0
Both,Hindu,Other,Yes,-11.546059463517217,-142.27716629776353,29.734161972861518,A,B,E,E,0
Yes,Jewish,China,Veteran,-64.83119635206822,-56.71977846998269,-270.2648558147261,C,E,E,E,1
None,None,US,Yes,93.68592296486555,-78.923516203845,62.3169251994671,A,A,C,E,0
No,Christian,Other,No,251.79122511934247,-16.057833381680062,-171.98967251286336,B,A,E,D,0
Mental,Hindu,India,Yes,19.67324361029319,64.16034489744933,149.98498233510455,E,C,C,B,1
No,Muslim,Germany,Veteran,104.89772253178114,11.471727031818453,115.99678191317182,E,A,E,D,1
Yes,Other,UK,Yes,-137.701179577149,51.98222011695081,47.17948520684433,C,C,D,D,0
Mental,Hindu,India,Yes,-195.1207481455849,164.12814576858952,50.01220663085453,B,D,D,A,0
None,None,US,Veteran,220.23105195493872,50.08328311803808,-142.5076576927978,C,B,D,E,1
Physical,Jewish,Brazil,No,-69.67338692880834,-190.99948100499492,21.78715114200213,C,C,E,A,1
Mental,Muslim,UK,Non-Veteran,-19.997920295740357,-168.38574357131003,-53.88211769455764,B,D,D,A,0
No,Muslim,Mexico,Veteran,-66.60728001933235,8.472755489620106,-5.890091525224046,C,C,A,C,1
Both,None,Brazil,No,85.6522591737465,96.07491282957729,158.58631190743097,A,E,B,D,1
No,Muslim,US,Non-Veteran,78.85657663365345,262.0387390769404,-23.25049502311193,A,A,B,E,0
No,Christian,Germany,Yes,-32.32895723766699,9.693956889617608,75.35795691269385,D,C,E,A,1
Mental,Hindu,China,Veteran,0.8004462881505345,-46.71853134346587,64.12583653764638,B,A,D,E,1
None,Jewish,China,No,146.10105704979864,-2.2927832746099956,34.41303032640653,B,A,C,A,0
No,Buddhist,Germany,Yes,-37.635936753097795,-80.00998446186752,-112.80110951951268,E,B,E,E,1
Mental,Buddhist,China,Non-Veteran,-19.50824135976154,-42.7153751500076,-115.36884716628346,B,A,C,D,1
Mental,Buddhist,UK,Veteran,-146.05958422009806,-70.00712456353526,107.90597586184163,A,C,C,B,0
Both,Muslim,US,Yes,100.60094927162997,144.84896630235093,125.09331827855677,B,C,C,B,1
Both,Buddhist,UK,Yes,106.52661042934255,39.323278155012076,49.371974055027636,B,D,E,D,0
No,Hindu,India,Veteran,-54.857580454829346,36.03225763586149,28.49393232824117,D,B,E,D,0
Both,Hindu,Other,Non-Veteran,62.772706327173466,119.07060661684359,89.02334379042918,E,D,C,A,1
Mental,Muslim,India,Non-Veteran,-129.3981470065508,52.67153931535597,-14.605926624143043,C,E,E,D,1
No,Hindu,Other,Non-Veteran,50.32426638045695,15.70998242069542,-60.41949092450706,B,A,E,A,1
Both,Jewish,UK,Non-Veteran,-218.12890311024287,-85.48167996459446,121.56863333368442,E,C,E,B,1
Mental,Muslim,Brazil,Non-Veteran,20.178997473764117,67.82573270387245,-9.907782214557429,B,B,B,E,0
Physical,Other,Mexico,Non-Veteran,-3.8499987758452536,-108.6413941213398,6.491895427224673,C,E,A,E,1
Yes,Christian,India,Yes,86.58038943998304,-80.44991877098178,149.64663173391503,C,D,C,C,0
Mental,Buddhist,Mexico,No,36.75302005652792,-211.93856426621758,95.9558881063518,E,E,B,E,1
Yes,Buddhist,US,Veteran,-28.98202083474077,-127.51432966372872,150.01946099045836,B,C,A,C,1
Yes,Buddhist,Other,Veteran,114.34176370918226,57.66127333312225,70.01923750757636,B,A,B,A,1
Physical,None,Other,Yes,206.50384289237928,-69.97871008633557,-197.04719668584204,B,B,D,C,0
Mental,Jewish,Brazil,Non-Veteran,-84.41681013162165,28.13412024382288,94.3887605399499,E,E,A,D,1
Mental,Other,Other,Non-Veteran,64.96706492192405,137.59715048418727,140.4685814258362,D,D,B,C,1
Physical,Christian,Other,No,-104.72058480265525,-136.9051208128452,32.00992702808364,D,A,E,D,0
Physical,Buddhist,Germany,No,119.32304687663122,138.03825498428208,-153.81864937253923,B,C,C,C,0
None,Christian,US,Veteran,25.74997337476786,-137.11646181647518,38.52936758508233,A,D,B,E,1
None,Jewish,UK,Veteran,53.249661843516314,-122.95024034516166,72.31846001239859,B,C,E,D,1
Yes,Buddhist,India,Yes,94.02441172128677,0.12182584946660438,230.678723166179,C,B,A,E,1
Physical,None,India,Yes,-4.494841366504241,-41.81304948750425,-87.50073953131034,E,B,C,C,0
Yes,Jewish,China,No,-106.00523850709098,59.98519111492311,-115.6396327419624,D,C,E,E,0
Mental,None,India,Non-Veteran,171.57879278174494,77.8917701300587,57.090762485663404,E,C,D,C,0
No,None,Brazil,Veteran,-212.04854497810192,-27.01431141840378,-100.48270755471846,E,D,E,A,0
None,Other,UK,No,22.820679393982466,-69.43281750775905,-66.93436414413429,A,E,E,C,0
Mental,Muslim,US,No,88.34716426308225,129.53340103914059,154.80938280107895,A,E,A,C,1
Yes,Christian,UK,Yes,162.44807701217903,0.2977138217943423,-10.029891216353478,A,D,B,C,1
No,Christian,Mexico,Yes,119.23984339136666,75.58129114541578,115.9653126100933,E,D,E,B,1
Physical,Muslim,China,Non-Veteran,-44.948383043906354,-44.53905395327081,-22.446911593614697,E,B,D,E,0
Mental,Muslim,Mexico,Veteran,-48.83767966642193,11.028346085436965,148.7704414013324,D,B,A,E,1
Physical,Muslim,US,No,7.716474817151446,-59.128599010688696,121.89983035092462,A,C,B,C,1
None,Other,Other,Non-Veteran,-177.260531275966,-38.692179499206766,0.6353950565957415,A,E,D,D,0
Physical,Christian,UK,No,92.14704003006517,-91.20292358010576,-18.18283976216149,B,D,E,B,0
Both,Jewish,Other,Veteran,-301.75050300114924,160.3343344009567,-1.5380515243098227,C,A,D,C,1
No,Hindu,US,Veteran,-26.86451427734566,47.107330038449625,-123.18756989100478,E,D,C,B,1
Mental,Muslim,US,No,11.725605666765437,28.773688965618422,-114.66117196318572,A,D,C,B,1
Yes,Muslim,US,Non-Veteran,37.43601089776406,-67.29797248998185,64.2174706971536,A,A,C,A,1
None,Buddhist,UK,Non-Veteran,132.02278473292284,-106.64216866034744,-135.66031253931232,C,C,C,C,0
Yes,Christian,US,Non-Veteran,90.79090210071396,-66.38633525333631,-57.138254971287395,C,A,E,B,0
Physical,Hindu,China,Yes,34.87148543693424,-25.337891576522292,59.0851543966963,A,D,C,C,0
Mental,Christian,Brazil,Non-Veteran,-21.542883821753787,40.475671046793536,-97.38503163025881,C,A,C,D,1
Physical,Buddhist,Germany,Non-Veteran,-33.32557406215578,205.2410648386043,-50.80411571082465,C,E,A,A,0
Physical,Jewish,Mexico,Non-Veteran,42.84655257397773,10.359400719981904,-43.81358849904378,A,C,C,E,1
None,None,Brazil,Veteran,-28.352600843586835,14.62677659632026,-34.4403949798119,C,B,D,A,0
Yes,Jewish,India,Yes,152.82979499556836,-25.29418165949736,74.2748533665266,E,A,B,C,1
