genero,religious_affiliation,country,married,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,target
Male,Christian,US,Widowed,A,-131.33117899969363,267.189089942613,78.29472695105609,B,117.57192758114824,C,B,-62.2306956081106,78.17613570437662,1
Male,None,UK,Divorced,A,-60.219157080260224,-210.40632739585652,192.78537657608203,A,161.93473452195227,D,C,-83.53031671118475,227.95338592114587,1
Other,Hindu,US,Married,B,100.84761277057308,-2.504992379340128,-168.45354037929167,C,86.95792069323983,E,D,110.80414737004132,53.96721713316496,0
Female,Jewish,Mexico,Single,A,112.75427851841764,-57.9557729372143,28.592701783955643,D,-58.274143936456554,B,C,139.4039338274369,5.587044554010405,1
M,Muslim,US,Married,D,-123.1310863795958,-22.419851201492325,-73.05378943611271,D,-142.31335919720664,D,E,-107.1875410976628,0.45213000686548865,1
Male,Hindu,Other,Single,E,166.72085350030628,-30.468834013277984,-104.49302893505501,C,50.778201038997715,A,D,-42.07257380339753,7.5635800952609324,1
Male,Muslim,US,Divorced,B,-76.09981826961504,16.02783384765348,24.94729206144541,B,-3.627058216784757,E,B,-62.779455550267215,-52.170677903690866,1
M,Buddhist,China,Married,B,-18.263804793383105,-89.89218647446367,138.2596035706288,B,1.7916173285290722,D,E,-67.65240438219368,-36.53705617252225,1
Other,None,Other,Married,B,-21.520654557967838,4.216277169782019,-22.24495002672636,B,25.461703410781393,C,E,121.44572944112113,126.67659154866759,1
Male,Other,US,Married,C,-30.455167485449753,-48.8316412807712,-70.2695970812358,C,18.564559423699716,D,C,0.5191523939589442,102.19319004489684,0
F,Other,India,Married,A,-110.74743938688354,-43.97801903896109,-51.91706744945137,D,29.04597943011713,E,D,107.09256389195887,-78.91750224415114,1
M,Jewish,India,Single,E,86.87135429736243,24.662684357018318,-82.05738859799408,E,85.93020223972967,A,C,-175.56603953091332,106.01176364362372,1
Female,Jewish,Other,Single,E,6.630455639987915,-110.97549567888471,100.8850621137609,D,-43.06429058921864,A,E,-51.69272823385551,-124.10501711608629,1
Male,Muslim,China,Single,B,155.71135840507966,-61.64440914195131,-76.51805396088113,C,-2.249136264771167,D,E,12.49921796205295,-121.80458096433964,0
Other,Christian,Brazil,Married,B,-24.11303404720485,99.58479202595551,22.881067029021143,D,32.521461439237555,A,C,164.37549051919783,-157.41759810797157,1
Male,Christian,China,Widowed,A,124.01956753462385,-8.19578921436648,137.87478892848688,B,-91.8572099379014,D,A,-19.049336719692953,-53.444512874787684,1
Female,Jewish,Other,Married,C,-72.99890486395303,-48.57259544764874,28.5403986973394,B,131.23388132253675,D,D,-273.9267955084373,-61.76476441365379,1
Other,Hindu,Mexico,Divorced,A,11.997647537690987,-108.64070279063634,-47.295682408834715,A,26.763363957055724,E,C,-99.32279423972061,138.29307243260217,0
Male,Hindu,Other,Widowed,E,-29.059899792154386,76.22639081925252,-165.2498838043962,E,165.52548265614365,E,B,-22.714456557484024,10.754234670103214,0
Female,Other,UK,Married,B,-217.26526133539727,-0.9035060484165645,-74.42236271862373,A,242.0456730674165,E,B,3.0345108079188896,199.47317985883143,0
Non-binary,Hindu,Brazil,Married,C,-41.79889845837865,123.01481733538186,28.164208806042478,B,90.1846424259185,A,A,121.12218628193587,-154.6146655103313,0
Female,Muslim,China,Divorced,C,16.372656496861733,-74.7220014792358,227.04890353082817,E,60.60076990367271,B,D,26.875062373394933,42.83956354635385,0
Female,Christian,Other,Single,A,-111.54631508242583,65.18405250971006,133.4966463973519,C,48.822888183883734,D,D,35.97013541369717,-28.32931909662046,1
F,Hindu,Mexico,Widowed,E,82.05715820783239,29.7386638571066,0.2980319488397601,A,-84.26930668114659,B,E,-34.86176064304239,-218.59888552213337,1
Female,None,US,Divorced,D,182.8426070698973,-14.929510790229337,-146.75058215351393,A,6.364647777333218,A,B,-47.76207611005556,60.31432398362414,1
Non-binary,Buddhist,Brazil,Divorced,C,-3.943531297906043,-38.55466622834179,-7.917594190009017,D,-70.0396058965855,A,C,-80.00526950008904,-238.85226006663527,0
F,Muslim,UK,Divorced,C,9.864928697183283,-9.179822250549423,-141.39569989497355,D,34.528803072875554,A,D,-6.47605807528025,70.88066137841481,0
F,Buddhist,Other,Widowed,E,-17.405763275123775,76.45577600519127,23.921081907365778,D,-4.573248217044114,B,C,46.889966881045034,60.648936933932205,0
Male,Other,UK,Single,B,39.604283401275865,18.46913945527663,30.978503352561717,B,-5.054686391002236,A,D,56.0672882874433,74.00887298779149,1
Non-binary,Buddhist,Other,Married,D,80.93907179177208,14.12481812236964,170.3952509541931,D,-110.22877743474007,E,E,87.99999091824608,-20.901934940780766,0
F,Muslim,UK,Divorced,C,-78.95946496116437,-159.12382919788013,-92.15813987184575,A,-81.39492660810616,B,D,-8.099681829390475,-21.40269296448175,0
M,Christian,Brazil,Widowed,D,-291.8844135497463,24.367239027193776,114.36166654971291,B,66.07443986963155,A,D,-87.6688080857372,-108.85485555115486,1
Male,Other,US,Married,D,-99.30512780498397,10.087955469948783,-0.030018163470839798,D,3.196570467826028,E,A,-89.98055451974774,-4.918903769804982,1
Other,None,Mexico,Widowed,D,-27.029145410111965,20.611688216674402,21.12936540770792,E,46.56292850176933,D,A,45.331758365056594,49.315366089768055,1
Non-binary,Hindu,Brazil,Married,C,-25.281229503384704,11.271986578619096,-0.873548192351865,C,12.99190632618018,E,C,7.688552962763158,38.60399621338548,1
M,Muslim,Germany,Single,E,82.91645855264377,-154.6329484321545,-7.459220596097514,D,61.32282840915953,B,A,-102.67799008881613,143.87847064326087,1
Male,Jewish,China,Single,C,-22.84833322441587,-150.0783881668952,-44.44546175158122,E,-5.562010071899702,B,A,-194.2027803993778,5.37341237449026,0
Other,Buddhist,Germany,Married,E,148.69319465579963,-33.23838031441816,63.07335793562895,A,138.16788851523555,D,C,12.54486907738289,47.507929503122384,1
Female,Buddhist,India,Widowed,A,205.99228453725047,32.27266426267234,-81.84762517200905,B,141.78437576697075,D,E,83.97717536661371,49.08138404061616,0
Female,Christian,Other,Single,A,-80.50120911361172,-36.78014893489717,-79.90005996478008,B,-19.863243572451438,B,E,29.25722611752219,-29.738961482909144,0
Non-binary,None,Brazil,Widowed,E,-37.092472299931586,26.685248652529253,-100.3755502739241,B,-226.38803402909406,B,A,59.04283522143654,128.74867217598717,1
F,Buddhist,US,Married,B,-144.25718685450815,164.13317718909707,240.41534998699277,E,-80.97836415923975,E,C,9.190505687348603,-43.69250630280689,1
Male,Buddhist,UK,Divorced,E,29.4385655701907,67.24354180426096,-139.1899620436136,E,-59.8010182545336,E,C,38.843431829582784,-42.983426502934805,1
M,Hindu,US,Single,D,236.3429500842619,29.031940501088783,-87.60995306333132,E,48.61538876926505,B,A,22.98433872422283,-129.16727461447203,0
Non-binary,None,US,Single,E,-5.130549794535258,-17.660700580241333,-111.69959125343777,D,-16.145640836051726,E,C,55.65087601826142,-66.59625319684301,1
F,Buddhist,Mexico,Divorced,A,106.87567981990131,84.60399188210648,-134.16474104565486,D,79.53966169958458,E,A,107.89529383973485,234.03492554277076,1
Non-binary,Christian,India,Widowed,C,10.927037840904417,160.33883810537898,-3.1787790268311973,B,9.668652418639168,B,B,-74.65268288255487,52.02912387511097,1
Female,Other,Other,Divorced,C,105.49966544869709,120.32540085852467,-25.48929694236362,A,-2.1349887539123076,D,B,-151.6861595152835,88.19120097032253,1
Female,Buddhist,China,Single,E,-15.210149620674084,-60.81240823653257,60.06593626574812,D,-18.668371888097727,E,D,62.792373638844,-30.17409004488651,1
M,Jewish,Mexico,Married,C,241.34684771681032,-54.322733648227626,-81.05398129806879,D,51.26080359447948,A,A,-32.704036290670615,163.05429483740258,0
F,Jewish,UK,Married,A,-171.74285428410641,-52.666735894146974,-70.5678379612663,E,16.694538481709632,A,B,101.58981521428505,-107.2529644444503,0
Male,Other,UK,Single,C,-168.6216328137849,-18.158812513672345,-123.31784434262438,A,-225.5611486396238,B,E,-55.95568654452744,-72.99844078167979,1
F,Other,Other,Widowed,E,-71.41500988602506,2.6982972010777493,-118.66234652925618,D,-50.545957567712755,E,A,26.66125643925365,-70.25110188856728,0
Non-binary,Christian,Germany,Married,D,-92.58491443691696,-172.32979417346422,-157.4683965432021,D,81.9914696083125,C,B,9.286141925208604,162.03529625119398,0
Non-binary,Other,Mexico,Single,C,116.36871626633713,125.11233933053208,-99.9832239190363,A,13.454905826256534,A,C,-36.77525202460976,45.52211001583095,1
Female,None,Mexico,Divorced,E,-18.030899956339557,-28.822484560672233,-28.507030097401685,D,-65.56328492835529,A,A,-37.5748751204532,-2.758407525886211,0
F,None,UK,Married,C,114.09706042342651,143.3823563935751,-23.320529053715568,D,21.538836852191704,C,D,-81.56109152503142,-38.627267559483265,1
Male,Buddhist,Brazil,Divorced,A,10.622355564723382,2.004534353197527,181.8762620754861,D,-56.69336785753528,B,C,104.33604360264476,69.07479816130294,0
F,Christian,China,Married,D,-220.56142392189503,23.89653173862402,53.68986190564894,D,-176.92000456312482,B,B,56.76473952639679,-110.02821460031973,0
M,Buddhist,India,Widowed,E,-96.72722143126153,93.63039113555546,-88.72215153713749,B,19.33942807362588,A,E,-53.8331222528138,-52.04609687025462,0
Other,Muslim,India,Single,C,33.60477145406701,40.96262186060658,-92.99251022696777,E,-9.348320768246193,B,E,113.05074872833521,-22.846087296301263,0
Female,Muslim,China,Single,C,66.83386803207159,139.76972334080025,190.8823549872955,C,132.03727656869154,A,E,113.8353980540876,152.88821207419758,1
F,Hindu,India,Widowed,D,100.63192416251808,-55.45202496100633,-143.43020894646125,A,34.54634401738678,D,C,-6.510555542059411,72.11545965087478,1
F,Hindu,Mexico,Divorced,E,43.703629976544235,29.37267274397885,-109.81001518426241,E,16.49871089601159,D,D,20.820949375087146,70.18551795240946,0
Non-binary,None,Germany,Married,A,51.62395349506244,26.584856214530156,20.03211114694946,E,-33.43903670974937,E,D,73.25021930527859,-30.57354559448652,1
Male,Other,China,Single,E,185.0984656485297,55.66775269733686,145.93702003582547,D,111.67357353615213,D,C,-111.6732086162131,119.21744661629185,0
Other,Muslim,China,Married,B,-117.33669523649597,58.59499800736438,-16.654068592265673,C,-240.4609041185565,E,D,84.77193447884075,66.21544960331784,1
M,Buddhist,Mexico,Divorced,E,60.11876837162442,-93.33066624167941,-150.0640904778553,B,101.0464531055187,E,D,8.449515025711708,-83.35220211798625,1
Male,None,Germany,Widowed,A,-121.42078684204063,-23.12629468057335,-22.35814275523066,C,81.53050425400498,C,A,-87.16347915779427,39.56024698972478,1
Male,Other,Other,Single,E,-109.13254382873173,-103.71491383929545,154.60628707111061,A,-60.34860454697339,D,B,-11.718737906621659,40.40879993136484,1
M,Jewish,Brazil,Married,A,-7.78304767098736,45.346695272896724,4.165510372943554,B,-50.40447783917151,E,B,-130.16738224504232,-60.21485655258066,0
Male,None,India,Single,A,-58.269891319677036,163.35270278281345,-34.58087840262808,C,-75.8184898156121,A,C,101.80977584508526,29.431356365899397,0
F,Other,Brazil,Single,E,78.11721410661643,-123.68473557223511,-96.75229521528817,B,226.3390197583349,A,A,33.47488212156831,-83.12983686938709,1
M,Hindu,UK,Single,D,-21.753040360189605,82.43921311201507,-62.086742248860475,E,-37.36711411701466,B,C,29.350540365996007,-85.85896992550315,0
Other,None,Germany,Widowed,D,116.1819587061477,46.81699932763274,-152.66048109705758,D,9.381993937649694,A,C,-11.136564343270544,28.16579917083993,0
Male,Muslim,Mexico,Married,A,18.261435958099536,20.59333776837,-151.2037017951465,B,85.61844975115459,E,E,-57.036489256780285,-138.69584694782822,0
M,Other,UK,Divorced,B,243.120313153911,186.68031234118493,-185.8499444974853,E,51.14020916110277,C,C,-18.28968028066135,26.047117002289923,0
Other,Hindu,China,Single,B,-32.9501377480904,42.153334428516345,-143.33172858760528,C,64.88513562644353,A,B,13.137911367873755,-140.8387451747314,1
Male,Christian,UK,Widowed,C,70.66813624567303,20.550926683572225,-40.39874989444577,D,160.26043890675405,D,C,-110.27782635872751,-70.59449612553146,0
Female,Hindu,Germany,Single,E,-8.375964044177366,-215.79992165400023,64.70285449595491,E,-26.927886460924828,C,E,-127.4338252252726,0.6644006520993683,1
F,Buddhist,US,Single,C,-130.78834944915408,-81.13363117713251,29.041659129387927,B,40.03253062017517,E,A,52.79047056369214,59.758690003804816,1
M,Jewish,Brazil,Widowed,E,30.84193326931512,-1.5140298246421533,60.707875917404245,D,-32.217145551370095,C,C,-63.67414975975311,104.95824184358926,0
Male,Buddhist,Other,Widowed,D,-178.51564971069743,-271.9082833072294,85.23871020219791,D,-82.71202089864342,E,C,-15.124478784781962,19.16153297196209,0
F,Other,China,Married,E,-9.151896641211648,-247.18579799254087,15.230251656203917,E,-12.249458189667395,E,D,102.91655396724848,85.2359646686886,1
F,Muslim,UK,Widowed,C,-144.5276233838489,-22.698275521896342,-107.80943102467926,C,162.11102423305263,B,D,-67.9995536676552,92.46083343024502,1
M,Muslim,Mexico,Widowed,A,186.22274843648233,-52.429349136269266,43.71133159186456,A,144.6002778790943,E,E,24.051499215492235,-56.92560689542066,1
Non-binary,Other,Brazil,Married,C,78.96397876978895,138.482894799495,50.019473001725814,B,32.19582308314613,C,C,-39.68902339589112,63.57206296114701,0
Female,Jewish,US,Divorced,D,-10.774469832780802,-181.28568173363857,118.9769482656833,A,260.89163793093593,C,A,145.90392431364688,233.2130361929475,1
Other,Christian,China,Widowed,C,-69.76536797299214,-39.64310068793132,-22.8361530974628,D,151.1266353268111,E,A,125.18524309617665,160.95632164281545,0
F,Buddhist,China,Single,D,4.879762118411181,90.37939133497204,56.02181538396466,A,50.86138806010503,C,D,105.92632027752067,34.689023970406254,0
F,Christian,US,Widowed,D,-213.07138355180064,125.75981516026577,-70.68734591778865,B,-17.290684760235404,B,E,-46.153112721299046,-82.6944083095123,1
Female,Buddhist,China,Widowed,A,-21.965486265631174,-87.74927655858204,68.26557372775113,C,57.45999254998496,C,E,-168.9392505274209,-118.18963266444872,1
M,Jewish,US,Widowed,D,28.76008688112151,-92.1326035961807,107.63385088487476,A,106.7574310055051,E,D,23.67995108452548,119.58705644485059,1
Non-binary,Muslim,US,Widowed,A,114.60542514569323,4.0124840427689294,237.0713637739002,A,16.373927020628408,C,D,38.95567932178414,106.48020785630521,0
Other,Other,UK,Divorced,C,136.3999274382031,185.3001071679432,-22.335520308760863,E,-77.00516257693525,C,D,-13.482337277179916,16.165853558057073,0
Non-binary,Christian,Germany,Divorced,D,-191.62365302843435,-69.3498634345774,-26.915568271896756,B,-179.96185804318344,B,B,62.15453270837046,3.791723553768167,1
Male,Jewish,India,Married,E,-127.65746598343523,84.90434288330745,-16.338876784412637,C,166.00446607902225,E,D,-6.7308739073072585,-64.65740780621871,0
Other,Other,US,Divorced,A,43.495078730378545,11.652976235436745,134.5108607286323,D,168.91494706014012,C,E,-2.5105942429947032,9.12347193939403,0
Female,Other,Mexico,Single,B,-72.75565401559463,-95.14482699395802,-96.4960315631338,C,92.39349289915123,A,C,-20.60032642965562,104.13601033716205,1
Female,Buddhist,Germany,Married,A,62.65139164555039,-63.21203452027662,11.190874206679835,D,-69.30937984452936,E,E,-131.8853788244583,80.67830447497624,0
Non-binary,None,US,Widowed,D,-59.010237223037464,22.508878845954225,46.754161464325975,B,35.36708608531923,B,A,-143.80621258466476,-33.36318115274573,1
Female,Jewish,Other,Divorced,E,-83.57835295309035,-25.057742200320547,49.23183750637042,C,49.003603869688526,D,B,9.110589574190787,-196.08636236515366,0
Female,Other,Mexico,Divorced,E,74.00360823017121,58.521732672608096,-140.918682770421,B,64.22718707142819,A,B,104.85056000204445,-115.69783319376441,1
Female,Jewish,Mexico,Married,E,77.4254981700943,39.872655413559116,91.2245302178567,E,105.27543888583489,C,E,67.95219261950547,-44.78561414256528,0
Female,Jewish,China,Single,B,-179.39689533755654,97.6556978720351,-207.78598593531802,C,59.02951809167716,C,D,222.85568170584273,-153.36051828095478,0
Male,Other,UK,Widowed,B,-19.764694848314466,17.44795354710279,9.568610431166432,D,-28.56750701365301,A,A,188.77412183782712,19.70825245262347,1
Non-binary,Jewish,India,Widowed,D,-35.58144417229436,105.3503546744058,36.541780729414356,C,-98.98902567237471,B,C,-9.793037068048394,-10.947033565720886,1
M,Christian,Mexico,Divorced,B,-5.557791940642173,-68.58653885194947,-65.2388174695506,C,32.42330636127386,E,E,64.58857556393642,-114.68538059455749,0
M,Hindu,India,Single,C,-92.22826016670987,35.932847933647125,-197.1907357810894,A,45.76209591537638,E,B,51.755038439736445,163.69851008135421,0
Other,Jewish,UK,Widowed,A,131.89446375634506,-98.21698849744651,-122.34094160182075,C,-122.27559465449391,E,E,-17.929209375040426,-75.2649750197373,1
Non-binary,Christian,UK,Married,E,12.335012543829176,115.40028795835046,27.1148842797784,C,68.16657905805961,D,E,-45.45292978811442,71.17994441569844,0
Female,Muslim,Other,Divorced,A,-204.50650371606312,-344.1300553497338,-13.387354818708022,B,261.26074289717894,A,B,183.288548165693,-34.105436161573174,1
Other,Jewish,Brazil,Divorced,E,-184.1042453590593,114.42866832886813,-45.19862452021194,B,-56.5983681408581,A,B,52.704405627651276,27.284695261578296,0
Non-binary,Christian,UK,Divorced,A,87.94587772747994,128.62872197855626,101.8806253538123,C,92.30627105873222,D,C,17.21486016204609,8.35878194147731,0
Male,Jewish,Other,Widowed,B,-58.84079386287332,89.73175420332085,46.4761526298806,E,144.06365425275152,D,C,-191.79005235781153,61.550650260272924,1
M,Hindu,China,Divorced,E,52.934686058338464,-35.217350941871494,139.99983907045538,D,47.62336214976075,B,D,74.52669864013916,-56.592059664088104,1
Non-binary,None,Other,Divorced,E,-103.98647793533335,-62.51898635305948,-46.340930405940725,D,268.13905235772467,D,C,184.12881965282136,28.26133451763277,1
Other,Christian,Other,Widowed,C,92.70097551231416,27.441665299956753,-16.328513128899502,C,37.060060691164466,A,A,-215.56809962557378,48.092083663769365,1
M,Jewish,Mexico,Widowed,C,7.082604941572559,-52.369653570993805,129.7638513268965,A,-75.47704406146568,B,A,-62.84311777688336,19.757023522039393,0
Other,Hindu,Other,Single,A,45.88889361247283,21.687208422568304,-2.497561154056644,A,4.243687746215361,B,A,58.82641628598625,-133.01644829820063,0
Other,Jewish,China,Widowed,B,-48.083180579355414,94.98013546924545,39.79973915043515,D,-85.08494794140769,E,B,-71.2251966055269,154.03813253779518,0
F,Other,Germany,Single,E,-65.71499029037186,-35.54319437524434,-202.6816243085614,C,264.30843519308064,E,C,42.0069710425486,134.34067072837763,1
Non-binary,Hindu,Other,Widowed,B,-162.41563600251428,-16.68828408112429,32.06997650154052,C,105.9612273257454,B,D,101.83199126244192,10.02964310604101,1
M,Hindu,UK,Single,B,37.85563105307317,-46.27622450536532,128.36708816620228,C,27.353122309374854,C,E,-83.01076185103807,4.994306635675,0
Male,Christian,US,Single,D,-20.469234705615836,-0.6352148237220198,107.55527705379397,C,5.120930307373516,B,C,-84.46667962073687,223.6374984729979,1
Male,Other,US,Widowed,B,97.46105782580379,-113.18935386889927,-226.86073853405935,B,2.5132770467214565,B,C,134.4973655000888,186.29057651331863,1
Other,None,Brazil,Single,D,7.195531059061455,-38.86614727917255,41.839818313055325,D,-51.17112090656421,C,C,-131.2998442753962,-64.8001998948161,0
Non-binary,Hindu,Brazil,Divorced,E,35.31869688653906,171.83320293996366,-51.13961273326917,E,-10.77451696433822,A,E,-41.32756101620121,0.2055517164400198,0
Male,Hindu,Germany,Divorced,B,-99.13662666886442,151.65097730461113,4.983986639876965,B,300.98718504761456,E,C,123.25104367422426,-92.21597220680002,0
F,Other,Brazil,Single,B,33.590776749573955,-29.14176224914966,-77.4282015771347,C,-75.46794579239237,E,A,111.97467574130873,-352.16421675029443,1
Male,None,China,Married,D,99.18660741109021,27.826425451409197,-107.25636972578745,B,-134.09169688608515,E,B,-102.13170483115147,-4.746684006326136,1
Other,Buddhist,UK,Widowed,B,-30.07140963978584,-154.9807831892902,-70.28085660730508,C,-221.39289125771992,B,A,-81.6090531808542,20.418318633666672,0
M,Other,India,Widowed,C,-126.9000408258756,-141.1996588491706,56.89234561459248,A,0.025942029667596067,B,C,5.9890297981230844,-123.39494153422802,1
M,Other,Brazil,Divorced,D,136.06080363167115,126.74126321284534,-65.32131080348651,C,-44.58109695023959,C,B,-66.78135198992568,245.42713259845578,1
Other,None,India,Widowed,E,76.84262022763228,74.14478714393906,127.15932915508768,D,-30.884554118716185,B,C,86.1106261638478,-7.6060120351423235,0
Female,Other,Mexico,Single,D,133.91141614101804,-123.25969590976487,48.169342960905205,D,-74.86069817889431,B,E,34.09519188059473,-5.332129605747781,1
M,Jewish,UK,Divorced,D,40.78570624882735,56.07595144111196,-33.308563016665644,B,6.2667492717139295,B,E,-181.13344074514305,-129.63988538612125,1
F,None,UK,Widowed,E,-87.53116113105776,149.94131392813347,84.63155235722223,A,-152.84512574326348,C,E,-92.09933397487295,0.8065813225283334,0
Male,None,Germany,Married,D,80.6729100771243,7.467894574748328,37.88392511580944,B,-22.296865265109968,A,A,-60.94229239196303,32.9419887024003,0
Non-binary,Muslim,Mexico,Divorced,A,-36.369094287934026,41.26184660244462,-272.6882298780596,D,-28.7981929907979,E,D,109.89939863865459,6.134415003181057,1
F,None,Germany,Widowed,E,31.28471355572355,127.6434087855113,-87.95778127736826,C,57.38689801785591,E,C,19.564392638813892,71.34248938254203,1
F,None,Mexico,Married,D,17.65283363084131,40.129388226117634,44.10916121755768,A,-49.73075338138792,D,B,151.16138420541313,-105.94471285688446,0
Female,Christian,US,Widowed,A,-56.52124552823869,-1.1712296660604262,-73.09406242804529,C,19.912835293141676,A,E,25.21078697072253,31.23518544839493,1
Other,Other,China,Widowed,B,-11.189396037200385,-22.310384199807288,-21.58912710934357,A,-49.747142922813005,D,E,77.74475363537262,111.38856244245846,1
Female,Christian,Germany,Widowed,B,24.226087658095345,73.62429063905182,60.26996536904478,D,14.409719597335826,E,A,-4.304770296868699,172.50286627500475,0
Non-binary,None,Mexico,Divorced,B,44.418645537460776,250.60317584376276,10.06881747640286,E,97.8662363261823,E,C,-130.75397719905507,57.48581008262619,0
M,Muslim,Mexico,Single,C,5.952701897481226,46.859142279437236,33.98385608522259,A,170.68776634877483,C,E,-179.6505652483636,80.66979619640219,0
M,Hindu,UK,Single,A,-93.80730675144174,3.4384228350988524,-0.4808082648568343,B,84.00927743467051,C,B,-21.364997724618185,109.01879214553776,1
Male,Hindu,UK,Single,C,-116.14270189907074,13.54193402973328,-79.05466508579757,D,-132.34343967403305,B,B,-12.715515458259896,43.4828844521122,1
Other,Hindu,Other,Divorced,D,99.86418135138135,35.85754965391704,241.13931920199315,C,-256.27244057937713,B,D,107.01563049161122,8.803592507460953,1
M,None,Brazil,Divorced,D,-211.24856014860848,12.630360383758731,-47.806895928972956,C,-64.36231258967878,C,C,-113.79032848592851,-156.2188916540093,0
F,None,Mexico,Single,B,211.1666935116897,-116.68675649457447,-179.49790802262348,D,109.94963143109811,A,A,29.14093051304713,27.092729048301855,1
Other,Muslim,US,Widowed,E,32.58309511687536,-15.042745464948561,12.280658820017575,D,-80.68329249517308,C,C,52.45204874186018,58.948211371292416,0
Non-binary,None,Other,Divorced,A,-98.17836066526813,83.46111727034845,-83.0620932865379,C,36.632178902404306,B,D,109.89733793117746,156.21032237655692,1
F,Jewish,Brazil,Divorced,E,105.38534874962566,178.86299014178502,27.845054861406847,D,78.75013951321395,D,A,-18.415462019264954,-123.79694090159414,1
M,None,US,Married,D,107.68548323490958,-6.364894683988333,2.8273940171890346,A,-83.16504916896056,C,A,-185.88363263190894,-4.235547834586887,0
Female,Other,China,Divorced,E,-84.80720933559408,-56.08611079468005,-95.4956929597389,C,172.38230917523435,E,A,1.9680338804484214,-20.976729233132996,0
F,Christian,China,Widowed,B,17.203959903060497,-123.47765681783301,-53.889496971077065,B,-12.32499101406314,C,A,-37.853609957501355,-26.112156669843827,1
Other,Muslim,Mexico,Married,B,138.8385265280137,15.524338028744248,20.68884670100843,A,198.6821854868754,B,E,-13.67867802412871,56.98692711770173,0
F,Jewish,Brazil,Divorced,B,125.05163966138828,-62.21000038341117,-5.023978364978564,C,134.66873740810988,E,A,-93.91776469888629,-25.225400698449178,0
M,Other,India,Widowed,B,29.011578801837924,279.81398136900515,-49.482415094949296,C,-9.56959945395535,E,A,-18.07114727513835,41.51856137093354,0
F,Buddhist,US,Widowed,E,-90.20323979726525,1.9378794523656995,116.11252262538785,E,76.68574812708817,E,A,81.9568718806683,-83.93034150090493,1
Non-binary,Jewish,Brazil,Divorced,A,-36.065483049113624,163.65111525078024,119.9881600786163,B,129.56969200675198,D,E,243.84017806543235,-129.3601648896529,0
Non-binary,Jewish,China,Married,B,-61.804786921053946,75.80535500827467,130.1041336721233,A,-99.35846053843147,D,D,-175.7743924058439,-20.853514794845545,0
M,Christian,Germany,Married,B,-24.873953949218347,-54.882489542660274,-136.26783692587193,A,-14.96376984255529,C,E,207.40010102486644,126.10749329852129,0
Male,Jewish,Brazil,Widowed,A,-33.0279940523618,62.189146122189,131.02843211390473,A,-6.244171566366422,B,C,-126.66463601767708,-226.59386432693353,1
F,Jewish,UK,Widowed,E,46.3451749185288,-59.28958627326364,175.6667075833831,C,-14.498474364426823,D,B,-38.989166313274076,246.4565351118107,1
Non-binary,Other,Germany,Single,C,-28.47885865030277,99.12239829368573,112.45435945947848,C,138.9396278483579,B,B,28.387740206921038,-83.3241191075991,1
Female,Buddhist,China,Divorced,D,-43.987716457037465,108.84939122587672,81.74103994484629,E,-154.06400165371807,A,A,-120.74992247720164,-201.3283866691333,0
M,Christian,India,Widowed,B,-25.478993019699423,-94.35816356748342,71.83975082187405,E,-69.41566439646503,C,D,87.2973539173547,-114.60087482374526,1
Other,Jewish,Other,Married,E,-71.89460588417408,-84.02692820980057,-26.79874510854126,B,66.31517479557616,A,E,60.0226614403243,87.37281820253449,1
Other,Jewish,Germany,Divorced,C,52.250731022280796,-8.787110562132565,178.24591422658776,D,39.653325735031416,B,A,51.96043231187936,-60.34603207855056,0
F,None,Other,Divorced,C,-83.93108038241917,-23.156504931340013,77.25774910276158,B,-96.60234384062191,C,B,19.273882199533375,132.81838813983669,0
Male,Buddhist,Germany,Married,D,-209.80020501685087,-34.11274801324776,32.59450828088527,D,-146.45756578786796,E,C,-47.65575162806763,-187.55451139105475,0
M,Buddhist,Mexico,Widowed,A,-23.706099805249973,40.90480426370057,-210.86585968777518,E,182.26194530660877,E,C,-19.754601951291058,-99.79223842511843,1
M,Christian,Germany,Single,B,10.240614654944666,144.03596126052915,-190.57247571405404,A,157.56335439076977,C,D,-152.8866586066384,31.446686523739842,0
Female,Jewish,Germany,Divorced,A,26.082403225268376,-47.50050186423949,149.30525208398578,E,-80.92291929860988,D,A,-153.97228587654615,77.8795904717383,1
Non-binary,Buddhist,India,Widowed,A,-175.08697786258804,25.206721024404338,-93.45742402154274,B,83.25117462522029,B,E,-91.80450343483669,96.83944928252814,1
Female,Other,UK,Divorced,B,-97.22174542710445,-48.664436751732275,-112.50600761551199,D,60.085853387880206,D,E,118.74267248966935,67.85179040091671,1
Other,Buddhist,US,Widowed,E,263.64795697185707,67.53317601028043,24.317448353192983,C,-182.96670248870538,A,D,107.47528605663821,95.08073862627036,0
M,Muslim,Brazil,Widowed,B,30.732698620253508,96.07342008819,208.2195718935647,E,-158.99090439325724,B,A,-52.36847264264054,99.84129878901571,0
Other,None,Other,Widowed,D,88.05325085073986,-188.7447953318821,233.743081203308,C,-7.762585571882484,A,D,-35.77540784598668,-17.988821048426086,0
Other,Other,China,Married,B,-43.178513370642065,-78.6208962381233,149.8046280459417,D,97.23756302854862,C,D,0.1268467746168062,141.66327606968096,1
Female,None,China,Widowed,D,-192.11810596069958,-78.90759091162526,-27.1091904849156,D,1.1589498989818088,B,D,-97.97510783826804,-113.57408987488054,1
