country,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,target
Other,B,C,C,C,C,D,E,1
India,C,A,B,A,D,E,B,1
India,A,B,E,E,B,D,A,1
US,B,B,E,E,B,D,B,1
Other,A,E,C,A,B,B,E,0
US,A,B,E,B,B,B,B,0
Germany,B,B,E,B,B,E,E,0
Brazil,A,E,C,C,B,C,B,0
China,C,B,C,B,B,E,A,0
China,B,C,B,E,D,C,A,0
Other,B,E,C,C,E,C,E,0
Other,C,D,C,D,C,C,A,0
India,C,D,C,E,B,C,A,1
Mexico,B,E,E,D,D,A,B,1
US,B,C,B,B,D,A,B,0
Brazil,E,E,D,A,D,A,B,1
US,B,D,E,A,D,C,E,0
UK,C,C,B,B,C,C,C,0
Other,A,C,E,B,B,D,E,1
Germany,A,D,C,E,A,C,D,1
Germany,C,B,C,C,A,E,A,1
India,A,C,C,A,A,A,A,1
Other,D,D,D,E,A,E,A,1
Brazil,D,E,A,B,E,C,D,0
China,E,A,A,D,C,E,C,1
Brazil,E,A,C,E,C,C,C,0
Germany,A,C,B,E,D,B,C,1
UK,D,E,D,C,E,A,C,1
US,B,D,D,D,A,D,C,0
Mexico,A,A,D,D,B,D,E,1
Brazil,D,C,B,D,A,A,A,1
Germany,B,D,D,B,B,E,A,0
Germany,E,B,B,D,A,D,D,0
Other,B,A,C,B,D,E,B,0
UK,C,C,A,E,E,C,C,0
China,C,A,D,C,A,C,B,1
UK,C,E,A,A,C,C,D,0
Mexico,C,B,B,E,C,A,D,1
Brazil,E,A,B,B,E,C,C,1
Other,D,D,D,D,B,E,C,1
UK,B,E,D,B,E,D,A,0
India,D,D,B,B,A,D,D,0
US,E,C,C,E,A,A,A,0
Germany,B,A,A,E,C,B,B,1
India,B,B,A,A,C,D,E,1
India,A,D,C,B,B,C,E,0
Other,E,E,C,C,A,B,B,1
India,D,A,E,D,D,D,C,0
Germany,A,A,B,D,C,A,E,1
UK,E,B,B,D,C,E,B,0
Mexico,A,A,B,A,E,D,A,0
China,A,B,A,B,E,B,E,0
UK,C,E,A,A,D,E,A,1
China,C,A,A,B,B,C,A,0
India,B,C,D,A,B,B,B,1
US,C,A,C,A,D,C,C,0
China,C,A,E,E,E,B,E,1
Other,D,B,A,D,B,E,A,1
Brazil,C,D,B,B,E,B,E,0
China,C,C,D,E,E,A,A,0
UK,D,D,A,A,C,D,D,1
India,C,B,A,C,A,A,C,0
US,E,B,E,C,A,D,C,1
India,D,A,B,B,C,B,E,0
Germany,E,A,E,B,E,A,D,1
China,E,E,D,E,E,C,D,0
US,E,C,B,E,C,E,B,0
US,D,C,C,C,B,E,D,0
Brazil,C,C,B,C,E,A,C,1
Brazil,C,A,A,C,A,E,B,0
UK,D,D,A,E,B,E,A,0
Mexico,A,D,E,A,A,C,A,0
US,D,C,A,C,A,A,D,0
India,E,E,C,B,D,C,A,0
Mexico,A,E,A,E,E,B,D,1
China,D,D,D,C,C,D,D,1
China,C,E,D,E,B,A,E,1
China,E,E,C,A,E,D,A,1
Germany,D,A,E,D,B,B,D,0
US,E,B,D,B,A,D,C,0
UK,D,C,E,C,B,C,A,1
Germany,D,B,D,B,E,D,B,1
Mexico,C,C,D,B,E,C,E,1
Germany,A,B,D,E,A,E,B,1
UK,A,B,C,E,B,E,E,0
India,A,E,B,B,A,E,A,1
UK,D,D,D,E,D,A,B,1
India,C,D,D,D,E,B,A,1
Brazil,A,B,E,A,B,A,B,0
Other,B,E,E,C,E,A,B,1
India,A,D,E,E,C,E,B,0
UK,E,C,A,B,C,D,B,1
UK,A,D,D,E,B,C,D,0
China,B,A,D,E,C,B,E,0
Germany,B,E,E,B,E,B,A,0
Other,D,A,D,C,B,B,C,1
Other,D,A,B,A,A,C,C,0
Mexico,A,E,D,C,C,E,C,1
UK,E,A,C,E,D,C,B,1
India,C,D,D,E,A,E,E,1
China,E,C,D,C,B,A,D,0
Germany,A,A,E,C,B,E,B,1
China,E,D,B,D,D,A,A,1
Mexico,B,A,C,B,B,C,A,0
China,C,D,C,E,C,A,A,0
Germany,B,E,A,B,E,C,B,0
US,B,E,E,E,D,A,D,1
China,D,A,B,A,D,C,B,0
China,A,E,A,D,D,A,D,0
India,A,E,C,E,C,A,D,1
China,D,E,C,B,B,D,E,0
Germany,A,D,B,E,A,E,E,1
Mexico,B,E,D,B,B,E,D,1
Other,C,C,B,D,D,B,A,0
US,B,D,A,E,C,A,D,0
Other,B,B,D,C,A,E,A,1
China,D,A,D,C,B,C,E,1
UK,A,A,A,D,A,A,A,0
Germany,B,C,A,E,E,A,C,0
Germany,C,A,E,D,C,D,B,1
US,A,B,B,E,A,E,D,0
China,A,B,E,A,A,A,B,1
Germany,B,C,A,D,A,E,D,1
India,E,D,C,D,C,B,D,0
Brazil,A,A,C,D,B,A,A,0
India,B,B,E,D,E,D,D,0
UK,D,B,D,A,C,D,B,1
India,E,A,B,D,B,B,D,1
India,E,E,D,D,A,E,D,0
UK,C,E,C,B,D,D,B,1
China,C,D,A,E,B,B,D,1
Brazil,B,B,D,E,D,A,A,1
US,E,B,E,B,D,E,C,0
Mexico,C,B,D,D,C,D,B,1
Brazil,C,E,D,E,D,D,B,0
Germany,E,E,B,A,E,A,B,0
India,D,E,C,D,C,C,E,0
Mexico,D,C,D,B,A,D,A,1
China,D,D,B,B,B,C,E,1
Mexico,C,B,E,E,B,D,E,1
Germany,D,B,C,D,D,C,C,0
India,B,D,E,D,D,B,C,0
India,C,C,B,E,A,C,C,1
China,C,A,C,A,B,A,E,0
Brazil,B,C,E,B,A,C,C,0
China,A,E,E,D,C,E,E,1
Other,B,E,E,B,B,D,D,1
China,A,C,C,B,D,B,E,1
India,D,A,A,D,A,E,C,0
UK,C,E,A,C,D,C,D,1
UK,E,B,B,A,C,D,E,1
Brazil,B,D,B,C,C,E,A,1
UK,D,C,E,C,B,D,D,0
US,C,C,B,A,C,C,B,0
Other,D,B,E,D,C,E,C,0
Germany,A,E,A,B,B,D,A,0
Brazil,D,B,B,A,A,C,B,0
UK,E,D,E,C,C,B,C,0
China,D,B,C,C,D,D,B,0
Germany,C,C,B,C,D,C,B,1
Other,D,D,E,D,C,D,A,0
Mexico,B,C,A,A,D,B,A,1
Brazil,A,D,B,B,A,D,B,0
China,E,C,C,D,C,C,C,1
Germany,E,E,D,E,D,D,A,0
Brazil,C,C,E,C,A,C,A,1
Other,C,D,B,D,B,B,B,0
Germany,E,D,D,E,C,D,E,0
US,D,A,A,E,C,D,A,0
Mexico,A,D,A,C,E,D,A,1
Germany,B,A,D,E,A,C,C,0
China,B,C,C,C,C,D,E,1
Germany,C,C,C,B,A,C,E,0
Brazil,C,D,B,A,D,E,B,1
US,C,E,A,E,D,D,A,0
US,D,C,D,C,C,C,A,0
UK,B,D,E,D,D,B,A,0
Mexico,C,C,E,B,B,C,E,1
Brazil,E,A,E,A,D,D,E,0
India,E,B,A,E,A,E,A,0
Mexico,C,C,B,B,A,B,B,0
China,C,C,A,D,A,A,E,0
Mexico,B,A,B,B,C,C,B,0
UK,C,C,D,E,C,D,C,0
Germany,A,E,E,D,C,C,A,1
Other,D,B,B,D,C,C,D,1
Mexico,A,B,D,D,B,E,B,0
Other,C,C,D,D,C,E,A,0
US,E,E,C,D,D,D,B,0
Other,E,D,C,A,A,D,A,0
India,C,A,D,E,A,D,C,1
Other,C,E,B,B,E,D,D,0
Germany,A,C,A,A,E,E,D,1
India,D,B,C,E,A,E,A,1
UK,C,E,B,B,B,B,D,1
Mexico,C,D,E,E,E,A,A,1
India,C,D,E,C,A,D,D,1
UK,A,E,E,C,A,C,B,0
India,E,A,D,E,A,B,D,1
Other,E,D,B,D,D,E,E,0
Mexico,D,B,A,A,B,D,B,1
Germany,E,E,D,B,C,D,B,1
Brazil,B,A,E,A,A,E,B,0
US,A,A,B,A,C,C,A,1
India,E,C,D,D,C,B,C,0
Germany,B,C,C,E,A,E,E,0
US,A,A,A,D,C,B,E,1
Mexico,B,A,B,D,B,A,D,0
Germany,D,A,B,B,B,B,C,1
China,D,A,A,C,D,D,B,0
UK,B,E,E,B,E,E,C,1
Germany,D,B,D,E,B,B,D,1
Mexico,A,B,E,D,E,B,C,0
Germany,C,D,D,C,B,B,D,0
India,A,C,D,E,C,B,B,1
Other,D,D,A,D,D,B,B,1
Other,B,E,C,E,B,A,B,0
Germany,D,C,D,E,A,D,B,1
India,B,C,C,D,E,D,C,1
Mexico,A,B,C,E,E,D,C,1
Mexico,C,E,E,E,B,E,B,0
US,E,D,B,D,C,A,A,1
India,D,E,B,C,E,E,D,1
Germany,C,E,C,C,C,E,B,0
Mexico,D,A,E,D,B,B,B,0
Brazil,E,E,A,B,E,A,E,0
Other,D,D,D,A,B,A,A,0
UK,A,E,B,D,D,B,E,1
US,D,E,E,C,E,E,A,1
Brazil,C,A,D,D,B,B,E,0
Brazil,A,A,C,B,A,D,A,0
Other,C,A,A,E,A,E,C,0
US,B,E,D,D,B,B,E,1
Mexico,B,B,A,B,B,D,D,1
Mexico,B,B,D,C,A,E,E,0
UK,E,C,E,C,E,D,D,0
India,A,D,E,B,A,C,B,1
Germany,E,C,C,C,B,C,B,0
Mexico,B,B,E,E,B,A,A,1
US,D,D,D,B,E,C,A,0
US,B,E,C,D,D,D,E,1
China,E,C,E,A,D,E,B,1
Brazil,B,C,D,B,C,A,D,0
Mexico,B,D,B,E,B,A,D,1
Germany,A,B,A,B,B,A,A,0
India,D,E,D,E,A,B,E,0
Other,A,A,B,B,C,A,A,1
Brazil,A,C,E,B,E,E,D,1
Other,A,A,B,A,A,E,A,0
Mexico,B,C,A,E,D,D,E,1
Mexico,E,E,D,D,A,D,B,1
India,D,C,B,D,E,B,B,1
India,A,E,C,C,D,E,A,0
China,C,B,B,E,B,D,D,0
US,A,E,C,D,D,A,A,1
Mexico,A,A,A,D,C,E,E,0
China,C,D,D,D,A,E,B,1
China,A,A,A,E,E,D,C,1
Other,D,C,C,E,B,B,E,1
Brazil,D,A,E,D,B,A,B,0
Mexico,E,E,E,E,E,C,E,1
UK,A,C,C,D,A,D,A,1
Other,C,D,E,E,C,B,A,0
UK,B,C,C,A,B,E,B,1
Other,D,E,D,A,B,B,C,1
Other,A,D,D,E,D,A,B,1
Germany,A,E,D,B,A,A,D,1
Mexico,A,E,B,B,D,B,D,0
Mexico,B,D,C,A,A,A,A,0
UK,E,B,D,B,D,D,B,1
India,D,A,E,B,C,B,A,1
US,C,E,D,E,C,A,A,0
UK,C,C,A,B,C,A,B,1
Mexico,C,D,D,D,C,E,A,1
India,C,D,B,B,C,B,C,1
India,A,E,B,D,D,A,C,1
Germany,E,A,E,D,E,C,E,1
Germany,C,A,E,B,A,C,A,1
Other,D,E,A,D,E,C,A,0
Germany,D,A,A,C,D,A,D,1
UK,D,B,E,A,B,D,A,1
Mexico,C,D,D,A,C,D,D,0
US,C,C,B,C,D,A,A,0
Germany,B,B,C,D,E,D,D,1
Mexico,D,B,D,C,A,E,E,1
Other,D,A,C,E,D,B,D,1
Brazil,B,B,A,C,A,A,B,1
India,C,E,D,E,A,E,C,1
China,E,C,A,E,B,B,A,1
China,E,A,B,A,A,A,D,0
Germany,E,D,D,B,E,D,A,0
Brazil,D,C,A,C,B,C,C,1
India,E,B,A,E,A,C,C,1
UK,E,E,C,D,A,D,D,0
Other,D,A,E,A,E,D,D,1
Brazil,E,D,B,C,A,D,D,0
Brazil,E,D,A,D,E,E,D,0
Other,D,E,B,D,A,A,D,0
Other,A,D,D,C,B,A,C,1
India,D,D,A,E,E,D,D,1
China,C,E,A,B,A,D,C,1
India,A,E,A,C,E,B,D,0
Germany,A,E,D,C,E,D,E,1
Brazil,D,E,A,D,A,D,B,0
Brazil,B,C,A,A,E,C,C,0
India,D,D,B,D,D,C,C,1
Other,D,A,A,A,B,A,B,0
Germany,A,E,E,A,C,D,E,1
UK,E,C,B,A,E,C,B,1
Other,C,A,A,A,E,E,B,1
UK,C,C,B,D,B,E,B,1
UK,D,B,D,C,C,B,E,1
US,D,E,C,E,D,B,E,0
Germany,B,B,B,B,E,A,A,1
Germany,E,E,C,B,D,E,C,0
Brazil,B,C,E,D,D,D,D,0
Brazil,A,B,A,B,D,E,E,1
India,D,C,E,E,D,A,E,0
China,E,C,B,B,B,A,B,0
Mexico,C,C,B,D,E,C,C,1
Other,B,D,E,E,D,A,C,1
US,A,E,B,C,C,B,A,0
India,B,B,D,E,E,D,C,1
Brazil,B,D,A,B,D,B,B,0
Mexico,A,A,E,A,E,A,D,1
China,D,B,E,C,C,E,A,1
Other,D,C,E,D,E,E,A,1
Other,B,D,A,A,C,C,E,1
Mexico,C,B,E,C,E,C,E,1
US,A,D,B,D,E,D,A,0
UK,B,A,D,D,D,E,C,1
China,C,D,C,B,D,D,B,1
UK,A,C,E,E,C,B,E,0
China,C,C,E,C,A,C,B,0
Brazil,C,C,A,B,E,A,D,0
UK,B,D,C,D,D,B,E,1
UK,D,B,C,C,D,B,C,0
UK,A,E,E,D,D,A,A,0
Brazil,B,D,B,C,D,D,D,1
Brazil,B,E,C,D,E,B,C,1
Germany,E,E,C,C,D,A,B,1
India,B,D,D,D,D,D,B,0
Other,E,D,D,E,B,C,C,1
Other,C,E,D,C,E,C,B,1
China,B,C,D,C,C,A,B,1
UK,A,D,C,D,A,C,A,1
US,A,D,E,E,B,D,A,1
UK,D,D,E,A,C,B,B,0
China,A,C,D,C,A,C,B,1
India,E,E,D,B,D,D,B,1
China,C,D,E,A,E,E,E,1
India,B,C,C,A,E,D,A,0
UK,D,A,E,C,E,C,C,0
India,A,B,C,A,B,A,A,0
Other,B,D,E,B,A,C,E,1
Mexico,B,A,D,C,E,B,E,1
UK,D,D,C,A,B,C,E,0
Brazil,E,C,E,B,A,C,A,1
China,B,A,B,A,A,B,A,1
China,D,C,B,D,C,A,D,1
UK,C,B,A,B,B,E,A,0
US,E,E,C,E,C,D,B,0
Brazil,D,C,B,C,B,D,E,0
China,D,A,E,D,B,A,E,1
India,A,E,A,D,D,A,E,0
UK,A,D,A,B,E,B,B,0
US,C,B,D,C,E,C,E,1
Other,A,E,A,B,A,C,E,1
India,E,A,D,B,C,B,E,0
US,C,B,A,B,D,C,D,0
India,E,C,E,D,C,A,E,0
Other,C,A,D,B,B,C,D,1
India,A,C,D,A,C,D,A,0
Germany,C,C,B,A,D,E,C,0
Brazil,A,D,D,D,A,A,A,0
Germany,B,C,B,E,C,B,A,1
India,C,A,D,B,B,C,E,1
Germany,E,C,A,C,D,E,B,1
Brazil,E,C,E,B,A,B,D,0
UK,A,E,D,B,D,D,B,0
Germany,A,D,D,B,B,E,E,1
Mexico,C,A,E,C,A,C,D,1
Other,D,D,A,D,D,A,E,1
Other,C,C,D,D,B,C,A,1
UK,B,A,C,E,A,E,B,0
UK,A,A,B,B,D,D,E,0
China,A,C,B,B,D,E,E,1
Other,E,B,A,E,A,D,D,0
UK,B,B,E,A,C,D,E,0
India,D,E,C,E,C,A,E,0
China,B,A,E,D,B,E,C,0
China,E,B,B,A,A,B,C,0
US,D,D,E,B,D,A,C,0
Mexico,B,A,B,A,C,A,D,0
Brazil,A,D,D,E,B,B,B,1
Brazil,E,C,C,A,D,C,E,1
US,B,B,D,D,E,E,D,1
US,E,D,C,E,B,A,C,0
Brazil,A,D,B,A,A,B,D,1
Other,C,B,E,D,A,E,A,1
UK,E,A,A,B,D,A,D,0
India,D,E,D,C,A,D,E,0
Germany,D,C,A,A,C,E,A,1
Other,C,C,C,C,E,D,E,0
Mexico,D,B,B,C,C,C,E,1
Germany,C,D,E,D,D,A,D,1
Mexico,E,D,B,D,D,D,B,1
China,B,C,B,E,C,A,A,0
Other,D,C,C,C,B,D,A,1
India,B,D,A,B,E,C,C,1
Mexico,C,E,B,B,C,B,A,0
UK,D,B,D,B,C,A,E,1
Mexico,C,B,C,A,D,D,C,1
India,B,D,E,B,B,C,D,1
US,B,A,D,D,C,E,D,1
UK,E,B,C,E,A,A,E,0
Mexico,D,A,B,C,E,C,E,0
Brazil,B,A,E,D,C,E,E,0
UK,D,C,A,E,D,D,C,1
Mexico,A,A,E,E,E,B,D,0
Brazil,D,E,C,D,D,B,E,1
China,D,B,A,D,E,A,C,1
India,D,E,C,B,B,E,C,1
US,E,D,D,A,C,C,A,1
Other,A,B,C,A,D,A,A,1
India,D,C,A,C,D,C,E,1
India,B,D,A,C,D,C,B,1
Brazil,C,B,A,B,D,C,E,1
Germany,C,A,D,E,E,C,E,1
Mexico,C,E,E,E,D,A,A,0
Mexico,D,B,C,B,A,A,D,1
China,A,B,B,E,D,D,B,0
US,D,E,C,C,D,B,C,1
Brazil,E,D,C,A,A,A,B,1
Other,E,E,B,E,C,A,B,0
Mexico,B,E,A,D,D,E,E,0
India,C,A,D,C,C,B,A,0
US,B,D,C,C,B,D,B,1
India,D,E,C,A,E,D,D,1
US,C,C,D,B,C,B,C,0
Germany,D,C,D,D,B,C,C,1
China,E,E,B,A,C,E,D,0
China,C,E,D,C,B,D,B,0
Mexico,A,B,C,A,D,A,A,0
Brazil,E,B,E,E,A,D,E,1
India,C,C,A,B,E,A,E,1
Other,E,C,E,C,C,D,D,1
India,B,B,A,D,C,D,A,1
US,E,C,C,E,E,A,E,0
Germany,D,B,C,D,E,D,E,1
UK,D,C,D,E,C,E,E,1
US,C,C,D,D,A,B,A,1
UK,B,B,D,E,A,D,A,1
UK,C,B,D,B,D,E,C,1
Mexico,C,E,D,B,A,C,E,0
Other,A,E,B,B,E,A,D,1
Germany,A,A,E,D,C,C,C,0
Mexico,C,E,C,A,B,E,E,0
Other,E,B,E,D,D,A,D,0
UK,C,C,E,E,B,C,C,0
Other,E,C,B,C,E,E,A,1
Brazil,A,E,C,E,D,D,B,0
UK,B,A,D,E,A,D,D,1
Mexico,D,D,D,E,A,B,C,0
Other,E,A,E,B,B,E,C,1
UK,A,B,D,C,A,E,A,1
Germany,C,A,D,C,D,B,A,0
Germany,C,E,B,D,D,B,A,0
Germany,A,D,D,D,E,A,B,0
UK,D,A,B,C,B,C,E,0
UK,A,C,C,B,B,E,C,1
China,A,C,E,B,B,E,E,1
US,B,A,B,C,B,E,B,0
US,E,E,A,B,D,E,D,0
Mexico,C,A,B,B,D,A,A,0
Germany,C,E,C,C,D,B,B,1
Other,A,A,C,A,B,A,E,1
Brazil,E,B,C,E,E,B,A,1
China,B,C,E,A,D,A,A,0
China,B,E,B,C,B,E,C,0
India,E,D,B,D,C,B,E,0
US,B,A,D,A,C,D,B,0
India,B,D,B,A,D,A,B,0
Other,B,B,B,B,E,A,A,1
Other,D,A,D,B,E,B,B,1
UK,A,D,B,E,D,B,A,1
Brazil,D,E,A,E,A,E,A,1
Germany,B,C,A,A,C,A,C,0
China,C,C,E,A,C,D,B,1
Germany,E,C,D,C,A,E,C,0
Brazil,B,E,C,D,A,B,C,0
Germany,B,B,C,E,C,B,C,0
UK,B,E,D,B,B,E,A,0
Germany,A,E,C,B,E,A,B,1
Other,E,C,A,C,C,A,D,0
UK,D,E,B,A,A,C,A,1
US,E,C,C,B,C,E,D,1
US,C,C,B,C,A,A,A,0
China,D,E,D,E,B,C,E,0
India,E,D,E,C,D,A,A,1
Other,B,D,C,E,C,A,D,0
Mexico,E,C,D,A,A,E,B,0
India,D,A,C,D,E,B,B,0
UK,D,C,A,C,C,C,A,0
China,E,B,C,B,D,E,B,1
India,B,B,A,E,A,C,D,1
Brazil,A,C,C,B,E,A,D,1
Germany,E,C,C,D,D,E,C,1
Mexico,C,A,A,A,C,B,E,0
Mexico,E,C,C,C,C,D,B,0
Mexico,A,D,D,E,E,C,B,1
Brazil,C,B,B,B,C,D,D,1
US,A,A,B,E,E,A,C,0
India,D,E,E,D,D,D,C,0
Mexico,C,B,E,A,B,C,D,1
Mexico,E,C,A,E,D,B,E,0
UK,E,B,B,D,D,E,E,1
Mexico,C,C,E,C,B,A,E,1
UK,E,D,E,D,E,C,B,1
Mexico,C,E,C,E,B,C,A,1
US,A,D,D,A,E,A,D,0
Brazil,C,B,C,E,C,D,D,1
Mexico,B,E,D,B,A,E,C,0
Brazil,C,D,E,E,D,A,B,0
China,D,B,B,B,B,D,D,1
Mexico,E,C,B,C,B,B,A,0
Germany,E,C,A,C,C,C,E,0
UK,E,E,E,E,A,C,E,0
UK,D,C,A,E,B,A,E,1
Mexico,B,D,C,B,D,C,B,0
Other,E,B,C,A,D,A,A,1
Germany,A,C,D,B,D,D,B,1
US,D,E,A,E,E,A,D,0
US,D,D,D,D,A,B,B,1
UK,D,A,D,E,C,D,A,0
India,B,D,D,B,C,D,D,1
Other,E,C,A,D,E,C,C,0
India,A,C,E,A,E,A,E,1
Germany,B,C,C,A,C,A,B,1
UK,C,B,E,E,C,B,C,0
Brazil,D,B,B,D,B,A,E,1
Germany,D,B,A,A,A,B,E,0
China,A,B,D,C,A,C,C,1
India,C,E,E,E,E,A,A,1
China,D,A,D,C,C,A,A,1
Germany,C,B,D,B,D,D,B,0
Brazil,A,A,D,E,E,B,D,1
China,C,E,A,A,C,C,B,0
UK,B,E,A,C,B,A,E,0
India,A,B,E,D,D,E,D,1
Mexico,D,A,A,C,E,D,E,0
Other,E,E,D,E,C,D,B,1
India,D,B,A,E,C,D,B,1
UK,D,A,D,C,D,B,C,1
UK,B,D,C,B,C,A,D,0
Mexico,E,C,C,A,E,B,A,0
Germany,B,C,C,E,D,A,E,0
India,B,B,A,A,B,A,D,0
Brazil,B,A,B,B,B,B,E,0
Germany,B,C,A,E,B,B,B,1
India,B,D,D,D,D,E,B,0
Germany,C,E,E,E,C,D,B,1
Germany,B,C,D,E,B,D,C,0
Other,D,C,D,A,C,A,B,1
Mexico,A,C,B,E,C,E,D,1
US,C,B,B,D,E,A,C,0
UK,D,D,D,A,C,D,E,1
UK,D,E,B,E,E,D,E,0
Brazil,A,E,C,A,D,A,E,0
Mexico,D,D,E,B,D,A,C,1
Other,D,E,A,C,D,B,E,1
Mexico,B,B,B,D,B,D,C,0
Germany,A,E,C,E,C,D,E,1
Mexico,D,C,B,D,C,A,D,1
Brazil,D,D,C,D,A,A,C,0
Mexico,A,E,E,C,D,C,C,1
Germany,E,E,E,B,E,A,D,1
India,C,A,C,E,B,B,E,1
China,E,D,D,E,A,C,B,0
China,D,A,E,B,D,D,A,0
Mexico,C,B,B,D,A,E,D,1
Mexico,E,A,D,D,C,C,C,0
China,B,D,D,B,D,E,E,1
UK,A,C,D,C,B,D,C,0
UK,B,B,B,D,D,E,A,0
Other,D,D,D,E,E,C,A,1
Mexico,A,E,D,C,C,B,A,0
India,A,A,E,C,D,C,C,1
Brazil,A,E,D,B,A,E,C,1
US,B,E,D,A,A,B,C,1
Brazil,D,E,D,E,C,D,D,0
India,C,D,C,A,D,C,A,1
India,E,B,B,A,A,C,E,1
India,A,A,E,E,D,C,B,0
UK,C,C,E,B,D,C,B,0
US,C,E,E,D,C,B,B,1
China,C,C,D,A,E,E,A,0
Other,C,E,D,C,E,A,C,0
Germany,C,B,E,D,D,E,D,0
India,A,E,A,D,C,D,D,0
China,B,B,D,C,D,A,A,0
UK,A,A,B,D,B,A,B,1
Brazil,A,A,A,D,A,C,A,1
US,E,E,A,C,D,A,D,0
China,E,D,E,C,A,C,D,1
Germany,C,E,B,E,E,A,E,1
Other,A,D,E,B,D,D,D,1
China,C,E,D,B,A,B,E,0
UK,C,B,B,D,C,A,D,1
India,E,E,C,B,D,C,A,0
UK,B,C,E,E,E,B,A,0
Germany,C,C,B,D,C,E,C,1
Brazil,A,C,C,C,E,E,A,0
UK,C,C,A,B,B,D,B,1
India,B,A,B,D,C,C,C,1
Germany,C,C,A,C,B,A,D,0
Other,D,C,B,E,E,D,A,1
Germany,B,A,E,A,A,A,D,1
UK,D,C,C,D,C,A,E,1
India,B,A,A,D,E,E,C,0
US,E,E,E,A,A,D,D,0
Other,A,E,B,D,A,D,E,1
Other,D,C,D,D,C,D,C,0
US,A,E,E,C,C,B,B,1
Brazil,B,C,C,E,E,B,B,1
Mexico,A,B,C,D,D,D,A,0
Other,C,D,A,D,D,C,D,0
China,C,E,E,B,B,A,B,1
US,A,E,E,B,D,B,E,1
Mexico,B,D,B,A,A,D,C,1
Brazil,D,A,E,C,D,D,D,0
Other,D,B,E,B,C,B,C,0
Germany,E,B,B,B,A,E,D,1
Mexico,A,B,E,E,E,C,E,0
India,D,D,C,B,A,B,E,0
India,C,A,A,D,D,A,D,0
UK,C,A,D,A,E,B,E,0
Mexico,A,B,D,D,E,C,A,1
Mexico,B,C,D,E,B,B,B,0
Germany,D,E,D,C,A,E,E,1
India,B,A,D,D,B,C,B,1
Germany,D,A,D,B,D,E,D,0
China,A,D,E,D,B,A,B,1
Brazil,E,C,B,E,B,A,D,1
Mexico,D,A,A,E,B,B,A,0
UK,B,B,C,E,E,B,D,1
Other,B,D,E,A,E,E,D,0
Brazil,C,A,E,A,D,C,B,1
India,D,A,E,C,D,D,E,0
China,D,C,B,E,A,D,D,1
UK,D,A,D,C,C,E,E,0
Other,E,A,B,D,B,B,A,1
Mexico,B,D,D,D,C,A,A,1
UK,D,E,B,B,C,B,E,1
Mexico,B,E,E,E,C,D,E,1
US,A,A,E,B,A,E,A,1
UK,C,C,D,D,A,D,E,0
UK,E,C,E,C,E,C,E,0
US,E,B,B,E,C,D,B,1
Mexico,A,D,C,D,A,E,C,0
Mexico,D,D,C,D,D,C,A,0
UK,C,B,C,D,A,A,E,0
Germany,A,D,A,E,B,A,E,1
UK,B,E,B,A,A,D,D,1
India,A,B,C,C,B,A,D,1
China,A,C,B,D,E,C,D,0
US,B,E,C,E,D,A,C,1
Brazil,A,A,E,A,B,B,A,0
Brazil,E,E,B,C,A,A,A,1
Brazil,C,B,E,B,A,E,B,0
Other,E,D,D,A,A,D,A,0
US,D,C,D,E,E,A,E,1
US,A,B,B,D,D,D,E,0
Mexico,E,E,A,E,A,D,E,0
Germany,E,B,C,C,E,C,E,0
UK,D,B,A,E,E,A,C,1
China,B,C,E,A,D,E,C,1
Brazil,B,E,B,C,B,A,D,0
Brazil,D,E,A,C,A,B,C,1
US,C,D,C,B,E,A,C,0
India,B,A,C,A,B,B,A,1
UK,D,E,C,E,B,D,D,1
China,E,D,E,C,E,D,C,0
Brazil,B,E,E,D,A,D,B,0
US,D,E,E,E,D,D,B,0
India,C,E,C,D,D,B,E,0
UK,C,B,C,E,E,A,E,0
Brazil,B,B,C,D,E,C,B,1
India,A,C,A,B,B,B,E,0
Brazil,A,D,D,A,A,C,E,0
Germany,E,E,B,B,B,B,A,1
UK,D,A,C,D,C,D,D,1
China,D,A,B,A,C,A,C,0
India,D,D,A,C,D,A,B,1
Mexico,A,B,D,C,C,E,B,1
US,C,D,A,B,E,A,B,0
China,C,C,A,B,E,A,E,1
Other,B,C,A,C,D,A,C,1
UK,C,A,D,D,A,D,D,1
Mexico,A,C,A,D,D,D,A,0
Brazil,E,E,B,B,C,E,A,0
UK,D,D,B,E,D,D,B,0
China,B,B,C,B,D,C,A,1
Other,B,A,C,B,E,A,B,0
Brazil,C,D,B,B,B,C,A,1
US,A,B,C,C,C,A,B,0
Germany,D,A,B,C,E,C,D,1
US,B,A,B,C,A,D,E,0
China,D,C,B,B,E,E,D,1
Other,D,E,E,D,E,D,D,0
US,E,E,B,E,A,C,D,1
Brazil,A,A,B,E,C,C,E,1
Mexico,C,E,D,B,D,E,D,1
UK,B,B,E,C,A,A,D,0
Brazil,D,B,A,E,C,D,E,0
Other,B,E,B,B,B,E,A,1
US,A,A,B,B,D,E,E,1
India,B,C,A,E,B,D,C,0
India,C,A,D,C,E,D,E,0
Other,A,E,D,E,B,D,E,1
Germany,A,D,B,C,C,A,C,0
Mexico,E,B,B,C,E,D,E,0
Other,A,B,E,A,A,A,A,0
US,A,D,E,D,C,B,D,0
