nation,civil_status,sexuality,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,target
US,Divorced,Other,-21.040013946349525,E,B,D,D,-147.91851626455198,-257.53294058760275,A,E,B,-100.50295577709734,-29.65191555302047,-39.12709093746,-7.906937558015589,207.81201104221236,D,B,E,1
India,Single,Homosexual,-28.401312960319615,E,D,A,D,78.77728064387333,-100.05261561094156,A,C,D,-159.82166314912536,19.431290755449584,-109.9748184675959,45.33400102133437,-95.05912015198365,D,A,C,1
India,Widowed,Bisexual,29.447168513468156,B,B,E,D,-55.44655739748343,101.5359084695572,B,A,E,86.56316471408859,43.91297113832445,54.626282571332005,-32.71339835667323,54.77023264352705,C,D,B,1
Mexico,Divorced,Bisexual,16.35456732727754,D,A,D,D,-13.753627630437581,49.01725466455699,E,A,C,38.45035008434453,-101.39901224194897,39.65136516986589,-90.04565579942982,-129.64674581515288,C,B,C,1
UK,Widowed,Homosexual,76.59938320052963,D,B,C,B,64.41822988286819,231.54999532236192,A,B,A,-153.32902300356957,41.34661819708876,131.78651704087468,92.57744667646473,40.472952696460034,E,D,D,1
Germany,Single,Other,98.68685510413063,E,C,C,B,185.88325887411364,-148.44221682900866,C,B,E,106.33888104133753,-119.34349743084007,-19.03808895814403,215.29742654249367,-9.373104257138433,E,E,E,1
India,Married,Bisexual,64.69983266249001,A,D,A,C,159.66152420389133,11.396921305847101,A,D,A,-30.355113882761227,-15.051847690298805,30.16468814022708,-178.39411857913163,-15.599114323919089,B,E,E,0
Other,Divorced,Homosexual,176.92245345437664,E,E,D,D,94.88811091286041,169.12271634964932,E,C,E,-54.2614336645558,135.96203545783325,48.0360404419185,115.01276934224656,-196.40215216077596,B,D,C,1
UK,Single,Heterosexual,65.16562452866278,C,B,B,A,-75.55007597342131,-13.771769166355497,D,B,C,84.25932585906098,-27.33716990888705,96.93460792829627,-15.00789333562555,-137.74500492406457,E,C,B,1
Germany,Married,Heterosexual,-85.8145328708882,B,E,C,E,92.23258186021616,-77.82935367825192,C,C,B,-202.60634871559202,41.53475396640049,76.0449945110155,-23.101757057507854,-34.25107085278335,A,D,E,1
UK,Single,Heterosexual,32.31367179307668,D,B,D,B,67.47944377305724,-157.5213252674555,D,E,B,124.92067057001432,122.9319685361492,-193.88889745006068,-67.85833766697161,203.04137929588407,B,E,E,1
US,Married,Bisexual,-8.959497543028325,B,E,A,C,4.476498247922599,-27.542719266583028,D,A,C,40.184442920506754,-88.86713322599768,-173.8286653643478,232.49689218291,-19.892878828124918,B,B,E,0
Germany,Married,Heterosexual,150.77898225870365,E,C,D,B,117.10115500170136,-32.16599453264683,C,A,A,101.19882631980255,25.97289901826475,2.1858480701428267,-55.07231992938322,136.44990511161566,D,E,B,1
China,Married,Bisexual,-65.87370269052619,C,A,D,B,-77.25084052212124,-21.03967298678805,D,B,C,-51.73093695162265,-107.16852649251094,42.722199628840556,22.117685420160356,67.09823590448384,C,D,D,1
US,Widowed,Bisexual,200.3660468658046,B,E,E,D,-94.4241289374428,71.79175395269453,C,D,B,-187.2408536200517,-60.20728963697284,30.45341723641074,-64.3706346793997,93.72818692330259,E,A,E,1
Mexico,Married,Heterosexual,49.94177114833814,D,A,E,A,-131.47069712756272,183.19239922135705,B,D,B,-39.504188727140544,-27.468909923752722,40.5159188922708,-18.817834094576696,-62.71570950903333,E,D,D,1
India,Widowed,Other,37.88168241138379,C,A,C,A,7.234441527086691,89.53799344327426,E,E,D,17.83742505041416,245.37733314294877,-42.18949085308038,-152.50138773361647,-86.9516856601795,A,D,D,0
Other,Single,Bisexual,76.98039705208835,A,D,C,C,101.41937188753592,-85.83511568374163,A,D,B,118.03213973590341,-31.118688037442467,-104.0790480319019,71.56175532740366,-47.04150708763822,A,B,E,1
US,Widowed,Other,111.26531298325273,D,E,E,B,109.96316071796758,-188.4462319872823,E,C,D,12.035436338066292,-78.50950507641312,3.8324209038067596,72.72352511565249,123.28621488698117,E,E,C,0
Brazil,Widowed,Other,-100.91206179641668,B,A,C,A,48.816768941148325,-180.7437649341455,A,E,C,-152.41584408594977,222.5235921180486,47.588068976574085,-138.79966501896283,7.790396086546647,D,D,D,1
China,Divorced,Bisexual,73.6272676764302,A,E,B,D,-67.97875356563523,-168.89433880344018,D,E,B,-160.6724390685134,105.36044357358519,-112.16176204275826,-81.55028667784096,132.8594199484811,B,B,D,0
India,Widowed,Other,93.45914257458674,E,B,A,A,-0.16895415657052573,-53.785629100282975,A,D,B,38.03362505003337,-71.39874591932592,75.61042040719819,58.07445996207362,137.1854671390595,E,C,C,0
Other,Widowed,Bisexual,-160.26129188313888,E,D,D,C,9.008567681242024,-81.58427891225108,C,E,C,29.023594609872067,54.473814999215655,-9.913402045236044,41.707369361596804,-241.40301383646795,B,D,B,0
Brazil,Divorced,Homosexual,57.46311410456183,B,A,A,B,-73.12446944286884,-62.91324951852994,E,E,E,39.3126999769563,-157.46566025816315,-97.68891572513806,196.60321067306378,66.26252615683629,B,C,D,1
Mexico,Widowed,Other,177.40668409708928,D,E,B,C,85.6814150289485,-58.33114407476355,B,C,E,39.0171224936092,-146.49859002174378,-43.01566815060976,261.14855105836796,-162.34068068559372,B,D,B,0
India,Married,Heterosexual,7.738883839966373,D,B,A,D,-1.3082268691919485,5.030980232728135,C,A,E,58.987445114410974,-4.051861342779958,-19.9827689768788,10.53540645727801,97.45902718205014,C,C,D,1
Mexico,Married,Bisexual,29.703489506177256,C,D,B,C,174.0547151959459,0.11044946234011342,A,B,C,-72.70993034811173,-216.23879850894937,-67.20622768213613,163.08017742305296,130.1132675886412,B,A,A,1
China,Widowed,Homosexual,-59.32757590015546,A,C,E,D,-45.62581976169466,69.18608135590306,A,C,E,-3.104012223387638,165.42998673884662,31.328041419875603,3.306775782623448,62.80340407233573,A,B,D,0
Brazil,Single,Homosexual,-32.22131274169724,A,B,E,D,-46.16134078309537,176.9094315397913,B,A,C,-72.8718569400956,-62.77049834087672,52.21210631903648,92.6070681186859,-47.73734514740068,E,A,D,0
Other,Married,Homosexual,114.61787464146312,E,A,B,B,-52.564105102465966,-48.01204219221435,C,E,D,178.39881500521795,16.972182522978503,74.43602490898158,-57.79979497696566,-16.529073779881067,D,E,E,1
Mexico,Divorced,Heterosexual,-224.3115393298097,B,D,C,C,-24.402692266601495,56.6068987096102,A,E,E,-13.057654881903746,337.30945307122727,-48.74428376484293,-182.37905616402298,-26.60649556669192,B,D,E,1
UK,Single,Bisexual,84.24424283110112,B,D,D,C,-44.54589730845282,-111.76851187353081,B,E,E,145.54378401402613,-163.86838542109692,-140.61539976550256,-31.91088462291225,-102.54712041143821,E,C,E,1
India,Widowed,Heterosexual,241.15850439010867,D,B,B,B,-248.60214740768907,-4.4896111809320045,A,C,A,-4.561159411351675,-114.30584497937389,-8.361866592111086,83.79446884591678,150.84449263927849,E,A,D,1
Germany,Married,Heterosexual,-33.48687397203346,D,E,C,A,38.336218429352144,171.85816779372692,E,D,C,-64.38942450301214,-17.107562664704588,-105.31374675172782,189.20374363000874,120.27342843777105,C,A,B,1
China,Married,Homosexual,-66.09406792238136,B,B,E,A,-43.35982255582236,-48.01698863305474,E,D,B,22.295028816435682,-36.439804625588046,-64.60634563186973,-47.909195195396975,70.41816750601775,C,B,E,1
Mexico,Widowed,Other,35.99456434121658,B,C,B,E,130.31058952174112,20.184120405714626,A,E,C,2.389646960847727,47.363674509720035,-14.748925880406672,-240.94972455380622,-30.760909731973058,D,A,B,0
Germany,Married,Bisexual,-11.646105901204653,C,C,C,C,97.87922098700136,68.95835416270687,D,A,A,60.31396968305807,132.9153182855906,97.27044793699152,33.681677808988276,9.520992289549508,A,D,B,0
UK,Divorced,Heterosexual,-21.692869832619564,E,C,A,A,86.75958624998671,-30.21302959331943,E,C,D,38.67487234032939,43.0204486239813,-72.12409784864928,26.958909535818975,74.6502403683805,E,B,A,1
India,Divorced,Homosexual,-11.673897880049433,B,A,B,A,121.4953496145619,99.63251078442107,B,A,C,21.32901590209747,78.24765423204431,-7.985887238648572,-109.75228530337273,42.04895831151993,D,D,B,0
India,Married,Other,-161.61101702744338,A,B,E,B,22.000062004996202,-7.96860510684002,B,E,A,-161.51732470145268,-75.02315362832196,-21.91042658946649,184.52392521259827,46.86688813933507,A,E,C,0
Other,Married,Homosexual,-110.56448813464783,B,C,A,B,16.171557931280585,-2.2164194993458977,B,D,D,117.98039573436023,-89.36996784264214,35.70734876958315,48.38447419509643,-66.339992634362,A,B,A,0
Brazil,Divorced,Heterosexual,-77.10716098708565,E,C,E,B,-37.24642494880441,37.2936452865405,D,E,A,-10.64189487972789,-263.54346367882886,156.09021404907907,0.5993079612480571,37.09246202416582,B,E,E,1
Germany,Widowed,Other,3.2670106807542565,B,C,C,D,-31.99070871823375,-175.45291539559855,B,B,C,52.76717354152649,126.76035500586502,-97.91361572393889,72.85630239206165,-23.338091196625868,E,B,A,1
US,Widowed,Bisexual,154.00153849434284,A,D,D,D,159.16879264546552,12.515766533390341,B,B,C,-27.63078010607254,-15.173238918471787,-95.1707646816368,-73.98513840387108,-7.75933557854922,C,E,B,1
UK,Married,Homosexual,-86.26552922415307,E,B,B,E,33.9064048813488,69.61866706527182,C,B,A,-31.353632024352795,-9.044570192606933,-36.98506814925337,40.09353940567261,-9.56620636895002,E,D,A,0
US,Single,Homosexual,57.50221684751454,A,A,D,D,35.288128117334026,26.815836935101245,D,B,D,-43.04138135062041,35.064447730543876,-234.21062139873263,26.977991955433918,7.088765638667241,C,B,A,1
Mexico,Married,Other,-79.09122110284133,D,B,B,C,-77.70059864724384,-22.510532013874602,E,A,D,45.03166763548257,-38.32720725544126,-8.195109907815839,-75.96944487616754,-124.71412587171781,C,D,C,0
Other,Divorced,Other,117.81308284506397,C,C,E,C,213.83401424947402,-119.53771569185949,B,C,C,-58.457272402172244,-116.8110070418295,-1.4321395858123545,-25.309524047514785,-29.450637433619253,E,B,E,1
US,Married,Other,-58.327142493430095,A,C,C,C,6.557019441320561,5.713783902992773,A,D,A,-15.12166298711505,-17.73132980641974,46.462994848103676,191.92670783382619,75.70366370671654,B,A,D,1
Germany,Widowed,Bisexual,5.300720520894757,B,B,C,A,-119.63118374208179,-60.13167530790402,D,B,A,-2.392638707813392,17.069221634595834,-125.26878128258522,-159.39702969039232,-66.99028567991645,E,D,D,1
Mexico,Married,Homosexual,0.0334144875094898,D,D,E,C,-38.66845675609289,98.86628973224228,E,A,C,153.79507220286882,85.05582850374756,157.4413921216402,-152.49788666480822,15.175206850298363,B,D,C,1
Germany,Widowed,Bisexual,-153.85774230830222,E,D,A,B,-41.20604914333847,-213.27249364594968,A,E,A,78.2839666247569,84.44820406636903,58.65090027031605,-51.571270245359656,-10.566531984609513,A,B,E,0
India,Widowed,Other,36.490626817232226,B,B,D,B,33.36241538154547,63.367269404293616,E,E,D,180.0896903939412,-97.03879318217203,-76.6635611470102,-46.4257725630236,100.73264773120218,A,D,A,0
UK,Divorced,Homosexual,-15.61527833106294,E,B,A,E,148.92800899623165,168.92068649108458,B,B,E,-48.4700232700197,-109.14435471414646,55.51608233704454,155.6705786566491,-127.14925005605562,B,E,B,1
Mexico,Single,Homosexual,-13.44319357749277,A,E,C,B,70.93643635246102,-69.6130291663785,E,E,C,41.8029939414035,61.14542108133444,145.06740435639554,-103.36679131307062,-49.03126955957187,A,D,E,1
US,Widowed,Bisexual,-108.23380729270579,A,D,C,D,-83.2371084246795,-166.18358895214803,E,C,C,12.667849996115708,-137.207306036701,-23.514978740585416,-96.3544378407271,-102.64584876168867,D,E,D,1
US,Divorced,Heterosexual,-8.52059150178789,B,D,B,A,-38.81777692963897,-65.50140279798994,B,A,C,-16.119695491965246,128.34087457425338,-210.87314414007275,-106.08264938423278,55.34140603606087,E,E,D,1
Other,Divorced,Homosexual,-29.421222125004924,D,D,B,B,170.95914224159435,135.02090154416177,B,A,E,43.37648580928171,144.01955698573045,-18.069243614611153,55.58199638133367,-73.380787134697,E,C,A,1
China,Married,Heterosexual,103.27832830663424,D,B,E,B,-123.52265391238146,150.36685595854496,C,E,B,57.09647099345278,-108.79956425753767,50.82405418254071,82.23818828160637,-70.74245797740367,C,B,B,0
US,Divorced,Heterosexual,-155.68418042638567,C,E,C,B,-145.93091416534313,-72.54383332719388,C,B,B,-5.048456766194603,-20.335259922155878,-10.749856816759028,-9.564944241814562,148.0159017692231,C,E,B,1
China,Married,Bisexual,-102.65835248834073,A,D,A,D,-90.14050574807376,-169.36444027152814,A,A,D,33.22137570259921,50.77829566652401,30.4003778673061,-68.84974361769645,128.7809285548256,E,C,A,1
US,Single,Homosexual,-69.84552006381486,D,B,C,A,35.58615125216018,-71.4113731735431,E,C,A,-56.560799856186996,-33.95396864503733,-20.88040964342123,-177.98558402039018,80.31561963393942,B,B,B,1
UK,Single,Bisexual,43.85261911665997,E,A,C,B,80.52210131192261,-30.125016855078684,E,D,A,95.26766249142884,-45.225237838521636,-8.240988917278804,-126.46928806205877,-12.495804110131704,E,C,D,1
India,Widowed,Homosexual,80.17747830703777,A,C,E,C,139.45740015159356,20.503587405276082,E,E,A,39.000587146856425,-38.827265597638664,-148.3727404784216,-160.9141414007133,-29.39048437530439,A,D,E,0
India,Married,Bisexual,132.01463267534402,C,B,D,A,159.75563397685414,129.31523573605102,E,E,C,55.18942405674765,3.7342965508980774,58.952625761451294,45.76822568410792,52.345074986144645,B,B,B,1
Other,Married,Homosexual,61.244213334240115,D,A,C,B,-49.151950131536275,118.08906402741366,C,B,B,-27.006118627048163,-69.56121357977815,113.04695402198331,-66.22866901953748,43.2495370181535,C,D,B,1
Germany,Single,Bisexual,225.5963398661899,D,B,E,A,187.75102097116135,56.5629260272917,C,C,C,-29.410170190930067,-15.278601734228204,254.30461213725528,-31.551131686114335,-64.80140073873153,B,A,D,1
India,Divorced,Heterosexual,-31.230362106457605,A,B,A,B,-70.00611451530399,-222.00507929054288,B,D,B,0.33350074644583677,193.38938104308025,5.281568420239996,-24.34364330307,-120.96247321205868,E,B,E,0
US,Single,Bisexual,-117.86098363175792,B,B,B,D,123.88284082254344,101.28898838286422,D,C,E,8.634385837565734,-28.788939278961294,-61.34361088416286,-128.1918816656338,-225.40859892189914,A,E,A,1
UK,Single,Bisexual,-38.149786403913936,B,B,E,D,3.433088964575013,144.19255251531706,A,D,D,27.24659104927142,-73.86523842525364,115.10709423454217,-6.657429659829535,-49.61716443861683,E,C,B,1
Other,Divorced,Heterosexual,-81.21195404447606,A,A,B,E,117.80415095258934,240.51379499872044,B,C,A,5.7439154979615425,-35.95661530733993,-135.37130166032517,-53.101697739691886,-247.49973803864899,B,C,C,0
Other,Single,Heterosexual,-102.94289214011178,B,D,E,A,-159.0861372186239,168.79430388444445,E,D,B,111.31905389941474,-86.32002895318382,150.91918522525336,147.51740562136956,101.11773677230131,D,C,B,0
US,Widowed,Other,-66.32437749721672,A,A,B,E,-44.581916184039144,-132.3510401476373,B,D,E,-134.36049724112678,61.329972137988875,15.735665270221158,149.5991864499219,23.179894237941316,E,D,D,0
China,Married,Homosexual,6.168197760758013,C,A,C,A,106.42344997423723,-147.5759625233357,A,E,A,30.72487053857272,-66.1917593036368,-74.18698748780722,-101.89587881091376,134.049488802658,E,C,C,1
Brazil,Divorced,Homosexual,-78.12911093460933,D,D,B,E,-26.469977186438214,23.898358097423223,E,A,A,-6.503911444633628,11.968898909405546,155.7163506882716,135.36327724872322,1.8427721325685238,C,B,A,0
India,Divorced,Heterosexual,-106.17780610181491,C,D,A,B,-96.01440088214692,65.92625994855807,C,A,D,-161.02016272527447,-29.217247724693223,-101.23845463741368,-64.08867472546467,117.86163674714155,D,B,D,0
Brazil,Divorced,Bisexual,-19.079646767769752,E,B,B,D,-98.07146723253007,-52.053708872412166,B,C,D,25.79664937980995,-87.42656569236703,-4.21537561944133,-45.91580789100653,-7.09416860388192,C,D,C,1
China,Single,Other,-207.97879611757338,E,C,A,B,96.7833181257488,100.20451000843322,C,C,A,26.509748962447354,118.42950055492567,124.4400821545573,102.88255529174528,-33.15075767734845,C,E,B,1
Brazil,Widowed,Bisexual,129.613833311205,C,D,E,D,-3.1025280881522446,72.63080187629711,C,E,C,-200.02784927773698,-12.372433879493279,-183.84576588832206,-30.827651666492358,106.22061784397327,C,B,D,0
UK,Widowed,Bisexual,36.1072317059536,A,A,E,A,15.459367606498443,56.25482626985717,E,A,D,-91.15292063269877,259.8817251091696,57.873181253606795,9.482691484983114,170.27911076824404,C,B,D,0
Germany,Divorced,Other,52.80473555184834,D,A,B,C,14.501178620684039,-36.41746429927784,C,C,D,111.38962816514852,39.563649815997394,-38.895291874536916,-111.41138975744495,-43.26887473994571,A,D,E,1
Other,Single,Homosexual,26.094387434673628,D,E,C,C,-54.853593950263416,-175.72035264148963,B,D,A,86.92771964151802,-7.929971797185334,-236.57985018594542,-29.48055977808826,141.3425290970649,D,C,A,1
UK,Divorced,Heterosexual,-29.7859149704624,E,C,D,B,8.326054345865975,159.63179341951246,E,A,B,-183.29672056050467,0.3397268120671922,-28.47362405860421,25.112886657889522,44.74069103544427,A,E,E,0
US,Widowed,Bisexual,-65.1195447757019,C,D,D,D,-12.531232445919475,104.83058191807493,A,C,D,-52.05184784027268,114.43037570917973,18.70813324483691,-78.62210168501423,-42.28965844278259,E,B,B,0
China,Married,Other,-97.21069553249679,C,A,E,E,-85.40795581642084,41.26419401695451,E,C,E,-64.72322129547402,91.44437840187139,-153.21958873401508,-275.5655604662881,112.5148827079274,A,D,A,1
China,Widowed,Other,-50.208918194967524,B,A,C,C,-6.193160164824718,65.52091148107822,D,E,E,-103.61275432683942,-170.7219441700123,98.7334972176496,58.525151547317456,100.4869606569442,A,A,E,0
US,Widowed,Heterosexual,-101.7349136923983,A,A,A,D,-74.97208688326637,29.703833947990983,A,B,E,-104.5489148431368,-16.19246695860052,-104.55214615648167,93.34231610499695,-5.168228959957101,E,A,D,1
China,Widowed,Homosexual,81.29464695334966,B,B,B,A,-56.602735071072765,-49.87371126724543,D,A,C,-0.9392114490824598,45.793388358506284,63.02745358258562,-96.46293822207632,28.660544650694852,B,C,B,0
China,Single,Other,-95.41382824284334,A,B,D,D,-146.80782513193822,159.760305259851,E,A,E,-93.08396838893424,10.513581398822994,-129.07107224254491,14.221877948846318,298.4232496714196,E,A,A,0
Mexico,Single,Other,-13.282457048482405,B,B,E,D,-83.55397845813684,88.12965819356735,E,B,B,-43.0311093102668,-110.98709275647781,-73.53213069371733,151.1686184046934,-63.83368647678357,B,D,B,0
Other,Divorced,Other,85.37140147898535,A,B,D,E,122.44291851061853,-59.251352563799884,B,D,D,-100.13004629979329,95.37278346382901,14.731271921394557,-177.31505161769797,-86.79870839124717,E,C,B,1
US,Divorced,Heterosexual,52.51545271922312,A,C,B,B,-96.8673943671689,-159.4492176906204,B,A,E,-27.447184453420437,127.02551566654019,6.620191059694928,21.181405629544614,4.8522423434006905,A,A,C,0
Brazil,Widowed,Homosexual,14.751494826356524,C,D,A,D,-98.65223722257652,-93.03920237773808,E,D,A,-90.54985900862069,137.30148732234363,-108.61562184728146,-143.81355959335232,-174.42692878469956,A,C,D,0
Brazil,Married,Homosexual,-1.634435217301617,B,E,A,C,86.16284202407351,3.47809427161494,D,C,A,34.58092303921353,40.68082984968733,47.499714685929675,-26.551845736867747,-103.17973815122178,B,D,B,1
Brazil,Single,Heterosexual,-13.481806293644958,B,E,E,A,-34.80892399064047,-154.2037525236505,E,C,B,166.54575419081016,17.55118615251057,-172.22325896316767,-46.72102104687401,-15.60375252284246,B,B,E,1
Other,Married,Bisexual,29.1561504261001,D,D,A,E,111.3594456494549,24.58624851209509,C,B,C,100.59156899535581,-103.61603110024231,-173.0909573530182,-98.4010688466682,-22.818523075597945,B,B,C,1
US,Single,Heterosexual,-53.179288210530316,A,A,D,C,95.09580891174204,14.695557547707464,B,B,A,89.23829200494235,-23.373396211189164,-32.11508177624467,-34.50088250828196,-105.38221852974145,C,A,D,0
Brazil,Married,Other,55.315161638426204,E,D,C,C,27.22059529877521,-79.47452617448133,E,A,C,107.86931655644013,157.3716592908626,-120.93387859534369,-139.43818958266587,131.88424081209362,C,E,C,0
China,Widowed,Bisexual,-61.0142461974398,E,A,D,C,7.546914634298342,103.04962539748846,E,A,D,123.26708408117781,-88.82020869429354,69.91526288578822,50.95946810227574,-186.60503126176198,B,E,C,0
UK,Married,Bisexual,56.84134351968609,A,B,C,B,-5.457120013852054,-18.657081410208868,C,C,A,27.576834566822246,-206.8406325538856,-19.27047946341226,-51.73758298943862,-29.927427137777347,E,E,D,1
Germany,Single,Homosexual,69.39525889498609,D,D,A,B,155.49057681384048,-22.319106390126375,A,E,A,214.26844660307322,-0.2665579371188439,157.11741276235207,-115.73224226326033,-23.733373850459124,B,E,D,1
China,Single,Bisexual,-244.1308973019565,B,E,A,B,-97.94091206975241,303.0756297499706,E,E,D,42.97044611953895,-8.728423162114263,45.143276460104936,55.53568977306937,-2.3808606832282226,A,D,D,1
US,Widowed,Homosexual,-18.652054659594057,D,E,D,D,-129.6233818341764,-138.63773090850603,D,A,A,-290.5223373075693,76.63944320368951,68.08088266564917,10.928733022243028,1.4118689484085467,C,D,C,1
Brazil,Single,Bisexual,62.52899880616036,C,D,B,A,68.12596655100157,58.41747261919256,D,B,C,-154.4695954104425,19.19634634413564,76.39317618047318,64.17952473015878,-134.22545557146245,C,B,A,0
India,Married,Heterosexual,17.507932163887112,B,E,B,E,-138.4792766143423,-38.711888036961575,B,A,E,-22.78765262710391,100.91670549971607,-101.51564454934918,33.15723100673826,58.99719543815125,B,C,D,1
Mexico,Single,Homosexual,-30.395977686806354,D,B,A,B,-294.7710892747654,46.685297543622525,D,B,B,49.04096381099924,84.15169659581241,133.00852323655553,-2.3874706502000573,9.837480817545154,A,C,D,1
Germany,Married,Heterosexual,-64.83082536642173,C,B,E,C,-72.69298867699632,65.98382518289499,D,D,D,-71.71316389666205,113.606587943611,124.46754254931606,-21.676284107756874,244.4758201687885,D,D,B,0
Mexico,Widowed,Homosexual,-181.41236128089503,B,C,A,B,15.89044823216681,19.541884080071753,B,E,A,77.83279371211572,122.95707625987697,-47.27359888372948,-159.36190511832115,63.740386467220965,C,B,C,0
China,Married,Other,20.15261697623419,B,A,C,E,92.97746489156549,-29.14050420317857,D,C,A,-80.7645462539156,47.44864780169136,104.24255132894531,99.32286617644563,79.875988784209,D,A,D,0
China,Single,Bisexual,-9.62826755462913,A,A,C,A,-217.13672817765598,8.078231192303166,C,C,D,51.250929139859025,137.35613806397248,-71.67073563110691,-100.00453907727508,22.498258064409068,C,C,C,0
Germany,Divorced,Homosexual,-250.54437980098515,A,E,D,E,-53.82156551009862,-271.0533622055374,A,E,E,-53.10213376619948,87.93478616989017,45.660859357875665,62.61440916558494,145.96691319374565,C,C,A,1
China,Single,Bisexual,-126.17143399131659,B,E,C,D,99.41501971620616,68.58240386030583,A,C,D,-176.6641725517623,13.718369155668839,-14.437517546097025,138.88060381424856,-44.99030246820156,A,A,C,0
India,Divorced,Other,-46.06019125942823,E,C,D,E,-89.49053984204664,17.824471489972773,B,E,E,39.00255630361321,-8.829495523862201,-47.71759868327994,-42.52429775582336,77.8167977664586,E,C,A,0
Other,Married,Other,-39.27548014450099,E,D,E,E,58.515495879045965,-42.825299726457445,C,C,D,59.4163437393878,-34.65989577155763,86.14023407380773,-26.44040935215483,-76.81138491786876,D,B,C,1
UK,Single,Heterosexual,75.78978034830862,D,D,B,B,-81.56370169819618,-65.08387577040642,C,D,C,11.726051577987969,10.568168572915091,-122.64254698631399,-100.91604828007767,93.36960648643623,D,D,E,0
Germany,Married,Homosexual,-225.80976802551893,C,A,C,D,-69.1111380444815,-0.5044006405910396,C,A,A,-11.213702554139484,64.29446486442608,-82.40040238810471,72.69839107963037,-93.04993225500323,A,D,D,0
Mexico,Divorced,Bisexual,50.502139700675585,D,A,C,A,251.98678740284294,-80.06382763176671,E,B,C,44.321719409543356,96.76153190839696,92.13380921075135,169.2894848188478,-24.810721578592183,E,A,C,0
UK,Single,Homosexual,-49.34048047792859,C,E,E,C,-69.5983200326705,-130.53640647864148,B,E,A,-93.21489492123976,-38.5658129687199,19.348544576730333,-48.863037038368915,59.75410039663819,B,A,B,0
Brazil,Widowed,Heterosexual,-9.574195188251334,B,E,E,C,33.85715039561183,-98.37663416943924,D,E,D,-68.20833888947242,169.77411924960552,-12.108584990088476,36.99272626641886,76.02849058018045,B,B,D,0
US,Divorced,Homosexual,-74.34452679155396,A,C,A,C,-182.97386386049672,-11.211610119982309,B,D,B,67.04340332093872,3.8209713188709187,42.15467625367965,97.42249651516823,-137.21724490721698,D,C,A,0
China,Single,Bisexual,142.74906509567847,C,C,D,E,-120.79885778282457,-134.67912719921503,C,E,D,-84.10481226957785,-172.13501717654677,65.56883288278287,-199.18717143689685,-40.866452099580805,E,A,C,1
Germany,Widowed,Bisexual,35.48360025917478,E,A,E,C,-149.0969991085421,-59.14554745537255,A,A,A,-85.24303530573378,28.306494186092017,-95.88394271705725,-89.2542900016253,198.72515147553668,C,B,D,0
US,Single,Homosexual,-70.8784265206455,E,E,A,B,-162.4992753382944,-99.47215806274772,D,E,E,-30.236580654320193,-103.28535728004368,103.56472859926897,-14.255497765458935,135.85074215866982,B,C,B,0
Other,Divorced,Other,6.541598986189132,A,E,E,B,-3.7414177610665047,38.62596164222326,C,B,D,133.96792258996902,32.77986593420965,-139.1473889514351,7.315585379010768,-7.558275248724317,B,D,B,1
Brazil,Widowed,Heterosexual,95.82278650530971,B,B,A,D,-69.1056111369028,28.125107167515147,B,A,A,56.56376034814746,25.91405814178743,-3.2438746564003744,-175.92852076202033,16.81192650804349,E,A,C,1
India,Divorced,Homosexual,-180.6676293655669,D,E,A,E,-6.165364948896351,-5.733434309129333,C,A,D,75.61112243328274,58.7267788468034,-119.7549365209108,203.17413643707542,-13.130701505425337,D,E,D,1
Germany,Single,Homosexual,-27.838858799129085,B,A,C,A,-74.46338006095226,42.912655501515886,B,D,E,55.29390137542902,-93.19616065030979,34.17588873111263,-121.56444168672064,98.40543126022465,E,A,B,1
India,Divorced,Bisexual,36.81449502745481,A,E,D,B,41.88573834354115,-61.92042877347206,D,D,C,103.17855990954084,-74.34513276190005,16.84912537999406,22.69138626023422,-96.16590382564374,B,C,D,0
China,Single,Bisexual,-38.628336204393534,D,C,C,B,166.9873818254848,74.53971505691486,A,C,D,-32.243496861092765,-153.2617891955254,-189.61819814855932,48.38627068132595,-69.73185145073357,E,B,B,0
Mexico,Divorced,Homosexual,-83.71382719426693,B,A,C,D,102.16337024226011,-169.77779579246373,E,B,E,-76.46571406704277,43.6601290826086,115.86770185643822,-184.00323513653666,-81.12017378046137,A,D,C,0
Mexico,Divorced,Bisexual,56.06997016730335,A,B,D,B,-199.94957915711825,10.262834696697604,E,E,B,-44.22143819955278,-14.242637698285835,39.871611460689735,-6.531652892780386,105.80949522908658,E,D,C,0
US,Widowed,Heterosexual,62.490933485392866,E,A,D,A,-155.6799620515922,-8.710528917882913,E,C,E,126.96693681594829,11.222173316115597,41.52285707084861,11.67482725333514,-145.08489819971402,D,A,A,1
UK,Single,Bisexual,-86.69837545439626,D,C,B,C,-31.433228434008964,-166.50672942106092,D,B,D,37.569680784933375,37.25430429040992,87.20819050870719,-30.501775973942415,58.98534457576369,B,A,A,1
Other,Single,Heterosexual,-84.66188798788978,D,D,E,E,80.9808217649728,-59.86778035442183,D,B,D,-41.942249134021296,-85.27154419060304,5.825018304150694,63.951307874621286,167.98360750628655,A,C,A,0
