orientation,gender,Disability,faith,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,target
Other,F,No,Muslim,C,-18.210390648324044,A,A,41.34352742857779,D,62.83441609733402,C,B,-30.663376174173973,-117.96806342568146,C,E,119.96709973075977,B,1
Bisexual,Other,Both,Christian,D,154.1191873704512,C,C,-97.30210248899162,C,195.70245901953848,E,D,52.378744986918335,-39.518920124248034,E,B,-38.49931561249546,B,0
Heterosexual,M,Both,Other,E,-149.11165507788286,B,A,-93.7817928104569,A,-90.28992334448222,A,A,60.630414826166614,-155.45527167065222,E,D,-108.22012574974464,D,1
Other,Male,Both,Hindu,E,-33.679803139064724,A,D,-119.09276743311827,A,-347.1057713467838,B,E,8.431611397372226,-137.19551949094344,D,B,144.88798080088787,D,1
Homosexual,Male,No,Christian,B,9.166585752370219,E,A,-65.93971693130585,D,113.28719636138698,B,D,-0.41142853324739403,36.47255118293324,B,E,-35.10855483562756,A,1
Heterosexual,Non-binary,Physical,Hindu,E,-73.17476758140677,E,B,-74.97565044099336,A,-47.68317923199592,D,E,-153.64681563164626,43.182679505871825,B,C,129.7432286534575,C,1
Other,Male,Mental,Christian,D,-153.40027808358,D,C,-72.55653541093089,A,-161.05068847478566,B,A,54.3767569166735,17.712593864142747,D,B,37.39048760869178,E,1
Homosexual,Female,Physical,Jewish,C,-25.91797778788124,B,A,5.699700054853073,A,180.209713036271,A,D,109.56549338207964,82.11160770307764,D,B,136.68110630888214,C,0
Bisexual,Male,None,Jewish,D,104.82245064944635,B,C,-128.36489401037366,B,-168.30672360565342,C,E,288.02382070564965,-62.74919679863239,E,E,-26.06068563630518,A,0
Bisexual,M,Both,Buddhist,B,33.297664586654875,C,E,-98.041701720614,B,58.30047433022513,B,D,43.67903757051447,126.7206282325106,A,C,336.9831735195081,A,0
Heterosexual,Non-binary,None,None,D,99.81972519081773,D,E,113.59964844111074,A,140.0728194822358,E,A,-132.61149630955234,-60.35323121204657,A,C,-112.0359478990305,A,1
Heterosexual,Male,No,Muslim,D,25.312971081146195,A,D,-16.574023075236667,E,-124.21235282210938,B,E,-151.2290035340316,73.61608611812585,E,D,-74.36546628924687,A,1
Heterosexual,Other,No,Jewish,C,18.22809558281584,D,A,109.41466116344736,D,-91.40964765102639,B,C,-95.17734324573661,241.39687041949705,E,E,-0.3697541888616487,A,0
Heterosexual,Female,Yes,None,E,115.42846388068277,C,A,-78.2858638094349,C,-154.19563453707573,B,E,-53.01128667795834,-117.04843849111577,E,B,-5.035801590425919,B,0
Homosexual,Male,Both,Jewish,E,116.26878323451923,B,D,75.20154152559542,A,97.35603099514496,C,A,-104.11829519462967,37.139518059402995,D,C,9.373696713801175,E,0
Other,F,Yes,Hindu,C,7.73975490248187,C,E,55.21220663456285,E,65.6005948969516,B,D,133.80851237928817,80.42747432782987,E,B,100.86471179555801,A,1
Heterosexual,M,No,Other,E,-49.756694256464925,A,A,4.124379615676107,B,-11.130213404576727,B,C,114.14927256472664,171.9770481744789,D,D,100.20152737084742,E,1
Homosexual,M,Physical,Muslim,D,-10.909277078279759,D,D,-130.63916947756488,D,17.575795353177295,A,A,-43.25391611063928,-2.8261341236478326,C,E,-19.75302823052822,C,0
Other,F,No,Christian,B,-47.54516098794439,C,C,65.69783953679705,D,-169.81180718142434,A,A,115.90086384728772,35.90043728817019,A,A,17.89976274718257,A,0
Homosexual,Female,None,Buddhist,C,-15.283351327777114,E,A,-86.36325525911276,B,6.167680302074078,D,D,-86.88226053630066,219.84789425753925,C,D,-117.70366516556486,D,1
Bisexual,Other,Mental,Jewish,D,-133.51186307893332,D,C,54.7782017009929,B,97.21134623166738,A,C,-101.64422796011682,178.31766976360868,B,E,50.638383004757216,C,0
Heterosexual,Female,Mental,Hindu,D,124.38719012718136,B,A,-146.8049591598753,A,-74.71603446333445,A,C,40.8302108680863,78.56558025460117,D,E,42.5764507905661,B,0
Homosexual,F,None,Muslim,A,-82.7124706284155,B,B,33.057195592926995,A,-8.202831615350476,D,B,-31.942619290597158,5.523283357642704,C,A,76.99552768362875,A,1
Heterosexual,Other,None,Buddhist,B,-265.66473219555184,A,A,219.6014214616696,B,-10.885595059312061,C,E,-67.02954295041074,-111.37363992357876,E,C,8.685763377264928,B,1
Homosexual,Male,Both,None,B,100.29948492561908,E,C,77.53055778831252,E,122.40138981554556,C,D,2.961963879401554,-32.68500249283756,C,D,113.87786676324201,D,0
Homosexual,Male,None,Buddhist,B,-15.087098587164844,E,A,-106.84354863678938,B,-133.9629421028945,A,E,-122.82811102492963,104.54468012915153,D,C,173.79736216846808,A,0
Bisexual,Non-binary,Physical,Muslim,C,-49.423188716652696,C,A,-39.561784487686495,C,104.57910789475085,E,B,52.99871590871291,33.73751109899152,C,E,6.725601331486805,A,1
Other,M,No,None,E,-63.907572789464,A,D,144.33076600593273,A,30.431430833656286,E,C,11.95344748756384,113.42452137444872,B,D,-57.41792875454931,B,1
Heterosexual,Non-binary,Yes,Muslim,A,23.65350742283942,B,E,112.63202225984179,A,57.122621893101524,B,D,118.44375596591938,55.42802719090882,D,E,-88.53198999133484,B,0
Other,Male,Mental,None,D,69.7087136327949,A,D,78.85428174594263,A,44.29309198602625,A,E,90.93970943417833,13.688313392271345,E,B,-135.04664355735596,A,1
Heterosexual,F,Physical,Hindu,B,-3.024636870849604,A,E,143.50899657755295,B,26.71312532280855,E,A,-19.233597867745154,-32.83011961063908,B,A,-158.0257915892465,C,0
Bisexual,Other,None,Muslim,B,-47.08184018289509,A,E,-38.01363692959183,A,43.85269141025722,D,C,-11.575157836773917,-36.870367879479915,B,A,55.07525192806894,A,0
Other,M,None,Buddhist,E,-35.428958241947996,E,A,30.11411188253713,E,-143.64775312326492,E,B,25.008290538622475,-114.56904280236297,D,A,-64.91384239420151,C,1
Other,Male,No,Muslim,A,-51.62419037595025,A,A,-67.17261683719077,C,-134.27089738637486,A,C,1.9961573426747414,3.6365804061832048,A,C,99.14237626239385,E,0
Heterosexual,Non-binary,None,Other,A,69.55243287412152,C,D,-87.93005755098537,B,20.050990032948047,A,C,-225.17538902982986,-112.72795076556925,D,B,-117.56905301266123,E,1
Bisexual,M,Mental,Hindu,D,-21.46733591087732,A,A,-96.99432216453584,D,-115.22159849847552,C,B,14.119300088479275,-109.40313172165328,E,D,1.772271063078297,B,0
Homosexual,Female,Both,None,B,-131.71839291756646,E,E,-62.84705679890224,A,-39.14862071423136,C,D,93.31943093786914,-157.37593156374848,E,C,116.1375917185769,B,0
Other,Other,No,Jewish,B,19.287254726344653,B,B,-24.865980954030597,D,-78.52093651784816,C,E,-61.44593803449848,-88.69464182805517,C,D,-109.06448163090681,E,1
Other,Male,Mental,Jewish,B,85.99201864119709,E,C,96.40870138945908,B,-99.36406114786055,B,D,-34.92600545930521,32.90703677226583,E,A,-76.38504344824389,D,0
Heterosexual,F,Mental,Hindu,C,117.26481708364594,C,E,-59.599610009035345,C,133.50361797009367,A,E,91.36310807689357,42.3740408950667,C,D,-191.61017409740614,B,0
Bisexual,Other,None,None,C,76.51703528748433,A,B,29.223483149448874,C,49.21128988788151,B,E,50.65510193355337,77.3547213676433,D,A,102.14302368045767,A,0
Heterosexual,Male,Mental,Jewish,D,93.0416190034757,B,E,73.64673406355128,E,33.667204019654626,E,C,14.060191474588812,-99.7586512579735,E,E,45.25568464912635,B,1
Homosexual,M,None,Muslim,D,112.01701013335585,A,C,-15.122960439599975,E,14.714888143336925,A,C,57.93990497954832,-85.7706715433274,E,B,82.75440036797968,E,1
Homosexual,M,Physical,Christian,B,30.964227047232956,E,D,-50.19761268972863,C,-117.0200420616238,E,E,49.55945498697608,-101.48337694634466,A,B,-26.695675296181324,B,0
Homosexual,Male,Physical,Other,B,-7.044300161876528,E,B,-5.306473199617667,E,-160.87006445778184,C,D,191.86226138866218,-134.290847414254,B,B,14.958945584016876,A,1
Bisexual,Other,Mental,Other,E,-10.590832883371295,A,D,88.7604980480469,D,84.34826507422999,B,A,18.49905802385476,-46.76317572425177,D,E,-32.03051735305901,C,1
Homosexual,Other,Yes,Other,B,63.84206447803925,B,B,75.66480267033143,B,-80.12916388462965,E,B,-261.0307994058324,-130.47302462702442,D,A,-63.03405742882171,A,1
Other,F,No,Muslim,B,-16.87808568797725,B,E,225.8545736021414,C,-181.92648002473092,C,C,51.50166717603061,32.93823238089645,D,E,30.49243876067649,B,0
Other,Male,Both,Hindu,B,-119.0283953335307,E,D,-53.39699562849949,B,-62.82759482083733,A,D,98.28890387677325,114.772460143566,E,B,151.3982410183453,C,0
Bisexual,Female,Physical,Hindu,A,36.38754597607364,D,D,-188.78442646677627,C,91.77783661012519,C,E,131.17674176318792,-12.141446752341276,D,C,125.13342017637335,E,0
Other,Other,Yes,Other,A,40.898974059345505,A,D,-213.84387061202025,E,-164.59549008356464,B,D,-26.35286188855427,-33.56735232776087,A,B,-22.16135285324797,D,1
Bisexual,Non-binary,Mental,Jewish,C,-94.91096290508465,C,A,-212.42930002622776,D,-52.99053101050306,E,E,-27.29652927068732,-140.65097292516845,A,A,-29.81570783643159,B,1
Homosexual,Other,Physical,Buddhist,C,-66.84560032290314,A,C,-78.43512564801726,D,102.77299111478733,C,B,184.60360956276912,-50.11804391805676,E,D,57.6936409392189,C,0
Other,Male,None,Other,C,123.25456973917044,B,A,-60.705000604469404,A,107.68363253294469,C,D,-88.07019782708375,-84.39303918239358,E,A,-119.80671015318795,E,1
Homosexual,Non-binary,No,Other,E,19.053183293624546,A,C,75.94727850595042,B,-37.37553560169888,A,C,-124.37429463439611,-78.5693609796395,B,C,16.287894799942045,C,0
Heterosexual,Male,Both,Buddhist,C,-52.90350096586057,A,B,10.248721090772872,E,16.15949021538307,A,A,-70.19341765005248,92.86653305419394,D,E,-27.103810171774622,D,1
Homosexual,Male,Both,None,E,115.00739779787372,C,A,-51.28783904178123,C,45.885726482356986,C,A,50.399362203060896,-138.96859556101282,C,C,-22.589001363152214,E,0
Heterosexual,Female,No,Jewish,A,-164.98123900706602,C,C,-13.824890334749673,A,90.35481042478133,A,B,114.43263662177658,-177.82147518693003,C,B,35.643093601865125,E,1
Homosexual,Non-binary,None,None,A,-114.02727395246701,E,B,-102.20122984449117,D,-52.777285908105874,E,C,236.73044459313678,-110.50356764274214,A,B,-302.95231439070994,C,1
Bisexual,M,No,Muslim,E,27.087338752654844,E,A,144.79104795960268,C,19.91131417536301,B,C,77.46132448430177,-101.86740876214202,B,D,47.94753155485583,E,0
Heterosexual,Female,No,Jewish,D,-34.64269826154166,B,B,-0.6670040371964676,C,98.02501928878023,A,D,94.43268460709511,11.480058131160005,A,E,-73.5248794760683,E,0
Homosexual,M,No,None,C,-6.105832032942799,B,A,-43.26991549364231,A,-59.79480552216499,D,C,99.68852669825378,145.86169901744663,D,E,44.5551390799889,D,0
Heterosexual,Non-binary,Physical,None,E,-37.33978612343458,B,A,131.45847365537944,B,146.8627348827408,C,C,66.54176074273327,7.206066470111189,E,B,108.48920900098102,D,1
Homosexual,Female,Mental,Hindu,B,135.80591340424627,E,B,13.305384517739121,D,69.21889505284649,D,D,-245.13677997675316,4.772807804091027,D,E,-16.78230000838531,D,0
Homosexual,Female,None,Hindu,A,-172.3572856806822,C,E,-186.72265450596308,A,18.278349703570967,B,C,133.5669060238933,95.29217085625328,A,D,-122.97121218787042,D,1
Heterosexual,Male,Yes,Buddhist,B,18.009796876354365,E,C,78.86192825026919,D,125.86855107164337,E,C,83.04708283459772,-87.81003321442682,E,B,-200.22285849255618,D,1
Other,Other,Both,None,B,-261.07344620357924,B,B,-73.24182035816452,C,16.46521775574854,A,B,96.76491215682613,74.89051143450673,E,C,21.62738874108353,D,0
Heterosexual,Other,No,Other,E,-132.27300169684017,C,A,-10.668078149919934,B,4.842763605846698,C,A,172.49585714016553,-36.933658167171714,A,C,1.9493331856969283,A,1
Heterosexual,Male,None,Muslim,C,-48.241245227482224,B,D,-156.9228753348929,C,-62.84766576260004,C,C,161.0674414097591,17.879153915808345,A,B,4.125775575983966,B,0
Bisexual,Female,Yes,Hindu,B,26.74280403191467,D,B,4.665418977576312,B,-8.560866339458675,D,B,-188.8347841487817,61.52823632027127,D,D,102.21427356964973,C,0
Bisexual,F,No,Other,D,-79.64421756247738,A,D,-26.619247751776744,E,-13.779482909014638,B,C,-8.437190230901033,-42.3787572102267,E,C,22.873868089124684,A,1
Heterosexual,F,None,Jewish,D,-134.05652444781538,C,B,55.970072231522536,C,-64.50204967096764,A,B,-129.12758770600936,-28.93185914593791,A,C,164.47470751844892,B,1
Heterosexual,F,No,Muslim,D,8.358973034399373,B,B,194.22833243208325,D,-135.64535445616028,B,A,19.532739666252784,13.75701457836755,D,E,-35.133296123699246,D,1
Heterosexual,Other,None,Christian,E,0.4814930031193393,A,E,-76.78896618777935,A,176.85689533900353,D,E,-95.93736784394667,223.22295908839655,C,E,-169.29939509425822,A,0
Homosexual,Non-binary,Both,Other,C,70.14633360439552,B,A,-40.22424138156589,A,109.25211872614378,D,C,189.23920929704866,-40.25156828472784,C,E,179.21732626613158,B,1
Homosexual,Male,Mental,Hindu,E,-99.86750020892069,A,C,78.70353381413338,E,-64.75695755247644,B,C,148.51872161290294,-0.5508545841622605,D,E,-170.47041408844566,B,0
Heterosexual,M,None,Buddhist,A,-8.66465441700665,D,E,-80.29958971622216,D,-121.2229822728113,C,E,-109.31133402010688,-141.6467313641818,C,E,-70.31977607964693,B,0
Homosexual,M,No,Other,C,-34.72172662539164,D,B,25.31645117918278,B,115.79716928597999,D,E,-36.603863254864486,-31.93546297625029,C,A,72.78660700931586,B,1
Bisexual,Non-binary,Yes,Other,E,26.793674566829157,A,E,-80.88990397450335,D,-67.41320019367917,D,A,11.806099339498237,35.80572785048976,C,C,100.76506111318547,A,0
Homosexual,Male,None,Muslim,D,5.158319923987666,A,B,42.676172584020556,D,-66.56037624791105,E,C,44.375069005281524,-280.9208334551059,E,D,132.07816947266681,A,1
Other,Other,No,Christian,D,89.68629249439874,A,C,-105.79375083073576,C,-138.6057402141462,C,E,29.710404795225404,58.37791480948301,E,C,41.088365803763935,D,0
Other,Other,No,Buddhist,C,115.94049841521044,D,A,-30.417402374955806,B,77.75280085465913,A,B,-81.90978102335806,-13.080987790519213,E,E,-38.835246265984054,E,1
Homosexual,Non-binary,None,Other,E,43.91536494680253,A,B,-101.74220870317441,E,-69.64373251620492,B,C,81.59785495541038,-28.82780048341947,B,B,-123.85092085570454,A,1
Homosexual,F,Physical,None,E,196.86701130735787,C,A,-191.2603771416199,E,132.0804340010101,A,A,-81.75544655547385,73.77635985953096,A,E,113.0513781882378,B,1
Heterosexual,Other,No,Buddhist,E,7.787944889091043,C,D,125.50346160673553,E,41.32260028792171,A,D,8.488386003596803,-14.10014606011166,E,C,101.80335347951177,D,0
Other,Other,Yes,Hindu,C,-37.36440822623612,C,C,49.12079342040446,B,-31.17485742173356,E,B,61.575822991855524,39.59038587515874,B,D,-206.47775497239675,D,0
Bisexual,F,No,Hindu,D,25.448619985937643,E,E,61.869042550441236,E,-34.28953690204754,A,B,-74.7669032776723,-34.804065081783634,E,B,141.8869412738195,A,1
Other,F,No,Muslim,E,75.46115502501786,C,D,107.61826428989505,B,59.87806687145002,B,D,62.489265409755625,44.26112297488008,B,B,-39.09214152916839,D,0
Homosexual,Other,No,None,A,-7.658165978469703,E,D,223.89889413617877,A,-34.0381065527275,A,E,-13.13960756201479,-82.14764704636272,B,C,-36.482310658204554,D,1
Homosexual,Male,No,Hindu,B,-11.880204994547979,A,E,22.20750199573237,A,-83.89251988805995,B,D,143.3975125228082,123.33907048078099,C,B,-141.55726429393053,E,1
Bisexual,M,Both,Buddhist,C,22.463326006530632,E,C,-99.6506464879447,D,-109.20874026024148,B,B,-32.09074918633975,157.05790849851638,A,A,28.887719865038104,D,0
Other,Other,None,Muslim,B,56.64897076836591,E,B,-39.1382746645994,D,20.977210161579205,E,E,-4.489120437666253,35.35933859357174,D,B,-28.655258008856073,C,0
Homosexual,Non-binary,Mental,Hindu,B,-116.31104365974059,C,A,-45.740616318311105,A,155.10053550700115,D,E,-4.722990707546397,-17.796224640673742,C,A,-33.526515378980264,C,1
Bisexual,Female,None,Muslim,C,-119.72944534872599,E,C,12.119890773588157,D,18.60044254089594,B,D,-104.82218262080079,-142.8545221974585,E,A,39.191341733666256,B,1
Heterosexual,M,None,Christian,B,150.70420108426572,C,A,-34.40558277942529,E,6.120232966325551,B,B,-5.227084587622105,37.73741062297665,C,E,-12.77076435014847,D,0
Heterosexual,Other,No,Jewish,A,35.56453199538202,D,E,6.126372278361868,B,20.1678164975078,D,B,111.5670990396997,-182.3622089854459,D,C,16.77623566104899,B,0
Other,Female,No,None,D,104.91326356276636,A,A,23.952134626989153,E,-178.7182952882293,B,A,-90.07031959398726,115.14165138462258,D,D,116.96069537085867,B,0
Homosexual,F,Mental,Hindu,C,42.04800484960744,B,B,103.87502730176664,B,-96.32057334356023,E,D,119.06253129380026,-109.6196642462224,C,C,56.46978540419975,B,1
Other,M,Physical,Muslim,A,59.87957702457162,E,C,-155.61443933826942,B,-97.03437260064538,D,D,14.29767816610173,-75.66931914738252,A,D,113.01177698014344,B,0
Homosexual,Non-binary,No,Muslim,B,7.633925426769128,D,D,127.83290706836186,E,117.93404019202205,C,D,19.910441568611976,15.659590283528946,A,B,-85.23311741012216,D,0
Bisexual,Female,None,Other,D,59.06030609055817,A,E,60.426103208796654,A,146.5671907850192,E,A,-166.68994112893142,-92.77383412841338,C,C,79.75207789869337,A,0
Heterosexual,F,Both,Christian,B,-55.117697385700595,D,B,142.6164572269574,B,-70.31785485148774,D,E,31.147663030415124,52.917080004455286,A,B,-247.2735929048343,E,0
Heterosexual,F,No,Other,D,14.5201011144734,C,D,-114.48505200265562,C,-21.10096439709164,B,B,-39.0700252664606,-48.151790310289655,B,C,-50.772959926737904,C,1
Bisexual,Other,Both,Buddhist,C,-134.52572042917322,E,E,41.25138382999934,D,-107.60588911306085,A,A,-18.247055224227637,-140.12115038872855,B,E,26.18699088582815,B,0
Other,Female,Physical,Hindu,C,-101.90986903924515,A,B,192.4151580579358,B,4.375061827610911,B,C,-112.57281570975846,-77.8290083744477,B,A,175.94259225966601,A,1
Heterosexual,F,Mental,Hindu,E,59.867932846258576,A,A,-50.88528696670866,A,48.2420009933082,C,D,59.74723196404469,185.94154390003624,E,C,70.9429082898205,A,0
Heterosexual,Female,No,None,A,-150.11347434753662,D,C,-15.892025390090245,B,53.57556110874422,C,E,46.382755143126126,86.43126218288678,D,B,25.62377571554957,B,1
Bisexual,Non-binary,None,Hindu,D,-22.514666927862155,A,A,57.766129413819876,A,-1.2620989684765092,A,E,20.221873479041612,-58.07480395540693,B,A,-101.87054212297177,B,1
Bisexual,M,No,None,E,-51.60698176745918,A,D,-184.5808170554777,A,65.12010824802056,A,B,12.902654189863878,-92.0983345505798,E,B,-126.79757871366941,A,1
Heterosexual,Male,Yes,Hindu,B,-6.9989768970244155,B,D,35.30317847215747,D,-0.5843003784299319,C,A,25.003518953158636,-13.421827494593977,C,C,-85.89632226101808,B,0
Bisexual,Non-binary,Both,Jewish,E,47.630089146103586,D,B,-75.93248115036624,B,60.588817725902146,A,B,-82.12834846848415,-22.992793128026587,A,A,-151.53368595590783,E,1
Other,Other,Both,Buddhist,B,-45.52583648602803,C,D,143.27901542869498,E,61.49708327394896,C,E,-49.621919476243036,194.80317004525477,D,D,-84.47567408724352,D,0
Heterosexual,F,Yes,Jewish,B,23.808548778043104,E,D,-31.942636939939327,B,41.98096304089426,D,D,-36.38823924717584,4.039784614010467,D,D,-195.71789013073155,C,1
Heterosexual,M,Yes,Other,C,23.026613506987115,D,D,-212.9224975618655,B,116.74681349561406,B,D,-110.6319352028427,-174.56252415255946,A,D,-42.520173028199046,E,0
Other,Other,Yes,Buddhist,B,-96.52423673923968,B,A,154.0790685624978,C,165.21279622743762,D,D,92.04658846346553,77.87367572730388,A,E,-68.1220692930623,D,0
Heterosexual,Male,None,Jewish,D,-89.67851182416665,A,B,0.9979355350603569,E,-26.543207754238306,C,B,35.41419092772207,100.29894928906077,B,C,-124.53215525602681,C,1
Other,Non-binary,Both,Muslim,C,66.06521437418445,A,C,-29.217151253325984,B,-26.08944728641213,E,B,229.69793731744178,-39.30628196913228,C,D,42.295109884504654,D,0
Homosexual,F,Physical,Muslim,E,-38.32536500025762,E,A,14.280026997416877,B,-71.2137805333734,A,A,62.61607020247869,57.98104624268796,B,B,45.05366396273689,E,1
Bisexual,F,No,Muslim,D,70.71337269695871,E,A,-129.09004384370394,B,32.90217448709649,A,B,-9.927769884416895,38.581050247538236,E,D,29.156289538459085,E,0
Homosexual,M,Both,Buddhist,D,-66.45266382535172,B,C,17.13957581483719,A,119.98946513675222,C,A,33.85875327030717,55.67598710413614,E,A,-69.44766606644642,D,1
Homosexual,Other,Mental,None,A,67.38257871186748,D,D,-0.6846916870368858,C,-20.40364652983759,E,A,-96.79020051873354,-17.7522056161368,E,D,-57.94977156433193,E,1
Bisexual,Female,Physical,None,D,39.89943010831879,B,B,129.71686169795603,D,21.99018241978247,C,D,-56.64547155345419,167.36543631978557,C,B,65.81982625913689,D,0
Homosexual,Non-binary,Mental,Muslim,C,56.48630642431635,B,E,-53.775542643954054,A,115.06002968303801,B,E,88.65739583138263,16.69339610221125,B,E,-143.59389723575694,A,1
Homosexual,Other,Physical,Christian,E,6.186260221857931,B,D,72.02165946786786,D,136.54655118572353,A,C,79.01617440444474,-56.837283125606156,D,E,66.16644232400417,C,0
Homosexual,Other,Yes,Other,E,-111.76313062754923,E,D,-60.712698454777495,C,58.14092253567669,D,E,-20.918410179705823,-25.85372340741432,E,E,-10.746241897544666,D,1
Other,Other,Mental,Christian,E,9.7546884069616,A,B,145.38780305893434,E,90.18720725976014,D,C,-31.427610126076694,54.962108551655156,A,E,-61.64637921512135,D,1
Bisexual,F,None,Buddhist,D,-43.08268009790965,D,A,81.95778734297443,C,-86.48679609107197,C,C,63.80356547142949,-16.82965794833338,B,D,50.53828706024528,C,1
Bisexual,Non-binary,Both,Hindu,B,-246.17736784289974,B,D,140.34524506655484,E,-52.410296445980165,E,C,-178.447673288982,-5.9072395421203145,E,E,-43.909978606201136,C,1
Bisexual,Female,None,None,E,213.319538377739,E,C,119.76037755453662,E,-7.81670096065762,D,B,65.20044019114805,-30.594915400414095,B,C,5.278417695167417,A,1
Other,Male,Physical,Muslim,D,96.64390043047194,E,A,79.2882019269576,C,-36.76523570640908,E,D,32.457035756036674,-71.55429292058602,B,D,94.99365748005343,B,1
Other,Male,Both,Christian,A,104.05030945201526,D,A,-22.08433924081736,A,-30.557719336387446,C,D,-16.831314718087878,35.98565800698195,D,C,80.1416972902017,C,0
Other,Other,Mental,Jewish,A,37.525727107344096,C,C,128.74595398894502,C,95.63223170864113,A,C,-57.15971099024073,-72.97892220164685,B,A,91.143527772767,C,0
Heterosexual,Other,Physical,Jewish,B,69.52387087553383,C,E,-72.9631172304049,E,64.05244671859309,A,B,-101.14923420094154,13.465485616036311,A,D,189.5097036227849,D,0
Homosexual,M,No,Hindu,D,198.7585715353352,B,B,78.74151599190746,B,66.78904464871252,C,E,62.612111359981306,34.42389656718364,D,E,36.52970101091746,A,1
Other,Female,No,None,D,-57.229897138426246,C,C,-42.03299203243422,E,-48.48380315585927,C,C,-143.6800982406207,158.13047975609015,E,D,97.2632225869283,B,1
Other,Male,None,Christian,B,-45.148642715326574,E,B,80.3895957906824,C,-22.738504861301926,C,D,35.85079191305125,-5.133970779051541,D,E,105.66199662775806,A,0
Bisexual,Other,No,None,D,-46.78203454057855,D,E,-93.97351966999878,E,53.38969694646079,B,D,-224.96311271037754,-43.131276116114435,D,E,64.1290877745893,B,1
Other,Non-binary,Mental,None,E,-237.04673268114124,B,A,91.49184837402123,E,-140.24462905015486,A,D,14.783355836457954,47.51530382215946,C,E,103.58204104269765,B,0
Heterosexual,F,Yes,Muslim,B,48.971503165576294,D,B,38.85341398579173,B,-28.26138859494445,B,B,-58.476680633262376,36.10602875938779,A,E,-153.1818945029237,D,1
Heterosexual,M,Mental,Muslim,E,-171.01088008947093,E,C,-80.58962875758534,D,160.13674673709752,B,D,21.078385631298875,51.94207683069742,E,E,-106.9978526653977,D,1
Heterosexual,Non-binary,None,Jewish,E,-58.830174524197,B,B,143.0708027669735,D,-49.0542480657146,A,D,107.40339614603312,-7.660462584761241,E,A,101.15090738527246,C,1
Homosexual,Non-binary,Physical,Hindu,A,49.79155088065036,E,C,42.01853683191769,D,86.03335780841374,B,B,-78.3253796857879,145.14739297537406,E,A,135.79045511218618,C,1
Other,Other,Physical,Other,D,-21.50028905192231,E,C,-43.48019617581246,E,89.73225117177468,E,A,-79.4926642717955,-25.90707976743534,B,B,-50.17233259773366,B,1
Bisexual,Female,Yes,Other,C,-29.627121479208938,B,B,-286.6641752731877,E,-160.80719960975298,E,B,-25.258480646552368,47.546229441621506,B,D,178.11886773177807,D,0
Other,F,No,None,D,-217.54713777597362,D,B,60.145726278950015,A,126.53384960496616,C,D,134.89908307439745,230.66799806693098,E,D,-130.38278127546369,C,1
Homosexual,Non-binary,Physical,Hindu,E,31.371100469473856,A,B,87.54961458745413,C,97.26414082134902,B,D,-120.17750512196696,-263.8200451730002,B,E,-20.358333457169984,B,1
Other,F,Mental,Christian,B,-181.35077163102827,D,B,91.4257826852491,B,205.1428478226458,D,E,-8.71393534338727,23.221134165465312,E,E,201.086794734554,D,1
Bisexual,Male,None,Other,D,-71.49089624123486,E,D,106.03896815901311,C,74.17610431238981,D,D,-0.9274533252781656,-109.3259567235118,D,E,-27.07521867842993,B,0
Heterosexual,Other,No,Muslim,D,82.03262345016796,B,D,164.08186542970847,E,140.15232764320052,A,B,-74.12191747078664,-210.6892563632043,B,B,-131.69207470485634,E,1
Bisexual,M,None,Hindu,C,-50.257378117760645,D,D,-260.2863132933725,B,79.50806789148828,E,E,-158.89196720073446,243.78732525963608,D,C,-208.75366392613844,E,0
Homosexual,F,Yes,None,D,102.11622498180535,C,A,-44.49142106329354,D,35.99748586292458,A,C,-25.577911304240246,-178.02100169702396,E,B,63.339823050796205,D,1
Heterosexual,Male,Both,Other,B,161.79733448935295,B,A,59.382442987307215,D,-55.183211759190556,D,A,-27.784090626122186,-10.878983604416032,A,E,-22.907255818225245,C,1
Other,Male,Physical,None,E,146.45547027045637,E,D,-36.5716322645098,D,35.280717508263784,C,B,-104.38502797060005,80.11058661595553,B,B,93.22240554922213,E,1
Other,F,Yes,Muslim,C,-45.074809936842655,A,A,-26.828853627963454,B,-121.73001672579528,B,C,-1.4870427180589258,-31.503815254141877,D,E,32.65018048201971,D,1
Heterosexual,M,Yes,Other,B,111.38024222104457,E,A,150.98374141327744,E,-104.69234911167129,C,E,-132.54405715484083,141.84787136735358,E,B,-94.18358906341736,A,1
Homosexual,Female,Both,Hindu,A,33.315536594693896,D,E,65.10191496698604,C,-62.86008347654559,C,D,92.99160906332136,-10.901143114923673,E,E,127.95340519004424,A,0
Other,Female,Both,Jewish,B,84.67642294027848,D,B,53.374062534310966,C,30.66755021729824,A,A,54.82478069270081,53.7249366124917,B,A,68.90843343961748,A,0
Heterosexual,M,Both,Christian,A,84.98167323081177,C,B,-165.9131614591611,D,-5.80187071652932,C,E,-70.8623445275336,139.7715276710336,E,B,-172.4561895808373,E,0
Bisexual,Female,No,Hindu,E,97.42996240472259,E,E,66.06738198383951,D,-86.70140078326764,D,C,28.62295653333291,142.96639828871008,E,B,-89.49529819921493,C,1
Homosexual,F,Yes,Buddhist,B,71.58124314259065,B,A,53.31944579750307,C,53.556718546036365,A,C,-167.20907934451114,55.09952347631306,E,B,60.68647616753707,D,0
