marital_status,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,target
Divorced,A,A,C,B,63.57125803569924,A,D,D,E,-136.46814330686078,-112.37178316517635,50.04540656844496,0
Single,A,B,D,B,53.70671830040625,B,D,C,E,-15.601648680726946,-80.70797546467428,-48.433132961979126,0
Divorced,C,E,E,C,129.77793056213045,C,B,B,D,71.53390870648226,-101.00341858593353,-1.057089278070668,1
Single,D,A,A,B,46.89176094011945,E,D,E,E,93.90182752368115,96.31966084625113,27.31165481929736,1
Divorced,D,D,C,E,-28.121455942621804,C,E,D,C,7.435805981740986,-57.07123941619393,149.70948232499586,1
Divorced,A,A,E,E,70.49203155774497,D,B,E,E,-92.90962865797921,80.5852953804628,9.537538888545594,0
Widowed,B,C,B,B,18.241332544031057,A,D,A,D,40.148227923331994,99.83946751711679,-145.60703614628954,0
Married,D,A,D,B,-54.30432071486159,D,C,B,B,0.44538465195136706,-53.51652447997694,5.512601134685889,0
Married,E,C,E,A,57.79088253541843,C,A,A,E,33.56952896436209,-203.24542931101587,63.78663300094223,0
Single,B,A,E,D,-30.119563329470505,D,C,D,D,-75.29379375261057,94.99162295379413,-96.1041206614561,1
Married,E,E,B,D,-77.37337910353052,E,D,D,B,-59.47684827160435,-236.41574966539872,-106.97320904299256,0
Single,D,E,D,E,38.649739350852734,B,B,C,A,-11.359046209182825,14.914531684623366,43.839555852789466,1
Widowed,B,B,D,B,-113.3780813498791,D,A,C,D,102.66445068255261,143.33028723464497,78.09679357524143,0
Single,C,E,A,D,-25.45462457203586,A,C,C,C,220.42831374855615,-151.0158270889489,-72.29871627547921,1
Married,B,C,D,E,43.444165736879775,C,C,D,E,-236.3330235976902,75.05464211921029,11.199134330005599,1
Widowed,A,A,E,A,-6.090015450126071,A,B,D,D,43.02233977364617,-68.28200244606461,55.14969818672708,0
Single,C,C,B,A,-42.67619878194484,B,C,E,D,-114.07267412446525,17.29203984572317,-37.18719984708304,0
Married,D,A,E,C,-80.05041660538959,E,A,D,B,293.45575164833895,70.10593888719382,-104.88812293230593,0
Divorced,E,B,D,E,155.68113233427513,C,C,A,C,69.10346894687561,80.06634451933478,21.576211731106234,1
Single,D,B,E,C,-7.840348612869001,E,A,C,D,-93.97916844665826,-0.026916601058781332,65.07249049265808,1
Divorced,C,C,A,E,16.003687870522153,D,C,C,A,0.5329232336129865,116.53000546900162,-79.80815027178775,0
Married,E,A,B,D,-51.41690090549871,E,E,A,C,-162.50728858188893,30.403335828042028,-197.79535955477732,1
Widowed,D,B,A,C,6.037506807453873,B,D,A,E,45.22484661384469,62.76681420322966,16.88034073082051,1
Married,B,D,E,C,61.86611875208051,A,C,E,A,-127.06353272346487,303.9181142256278,159.0491171320924,0
Married,B,A,B,E,-25.970843091358013,E,C,C,D,-35.265865469117614,-53.877442428822164,-149.5269968276849,0
Single,E,A,A,C,127.60499669787441,B,E,B,B,-19.97514386222803,-0.5069647097274848,-72.95640226563897,0
Single,A,C,D,A,53.737032573248264,C,B,C,C,-36.08633938057372,109.79855869103332,-124.16072713628184,0
Widowed,A,D,D,D,31.48597000046731,C,D,B,C,187.9833459502578,-76.83452626158683,-100.643423966329,0
Married,C,A,D,E,-62.09769572127071,C,C,B,C,-48.67157372268187,23.25890796478003,80.91539955034084,1
Divorced,C,D,A,C,33.47307755105523,E,B,D,E,-123.45893987375673,-52.71346038166366,64.67684214942018,0
Single,D,E,C,D,-13.92430204352029,C,B,E,A,139.66044704145304,-70.15965590064063,5.218978827651015,1
Married,C,A,C,A,92.03848671266847,D,B,C,C,16.912201932422867,38.94784260608379,82.45897977118555,0
Widowed,E,D,E,A,-49.79243673519395,A,A,A,A,122.03167103275952,80.80271284515177,-60.960195155579434,0
Single,D,A,A,B,8.672740894872117,D,A,C,D,-13.358860082286592,6.979000617680164,100.39387283878702,0
Widowed,D,C,B,E,-39.71282005167036,A,C,D,B,-82.50721639308581,-164.03583055669236,-9.378126605064612,1
Married,E,B,A,A,-95.4719946194414,A,B,E,B,-69.52033359660399,23.2625300140321,81.48014452028877,0
Divorced,A,D,C,D,-73.33520173763449,D,E,A,D,-103.30986727330344,-1.6840878575002771,-73.11735016890621,0
Widowed,A,D,E,C,118.06590460590117,E,D,C,A,-53.18281562381095,-16.302866776165423,10.4490633692762,1
Divorced,D,A,D,D,-70.0563696526303,E,A,D,D,130.25532467315176,-79.51052495189525,-170.13708385959546,1
Married,B,D,D,B,-51.66067882499647,E,B,A,C,58.345838314064046,113.62078508464275,-144.48428837810107,1
Widowed,B,E,C,D,71.31512619801863,D,A,B,E,71.43416601668802,-92.24984137536515,61.24805164449663,0
Single,B,A,A,A,144.23907408094726,A,B,B,D,179.23335241244433,-118.97265675787203,33.126406787301136,0
Single,E,C,D,B,-29.723725828759207,B,C,A,C,81.63425537092787,-60.59291478301174,-149.17938830894076,0
Married,B,A,D,A,-189.47133234220215,E,A,D,B,36.03972602807991,-87.9759121157513,72.95652461291314,1
Married,A,E,E,C,67.77513517586078,E,E,D,D,-61.49988515853373,66.44162706843544,45.95981512038401,0
Widowed,A,C,C,A,-0.8284276796216153,D,C,E,A,94.29303569733874,-70.37890074276038,4.313582689637192,0
Single,B,A,A,C,-31.58156160277074,D,B,A,A,-27.68256507881898,-152.53703620731895,27.580565504157466,0
Single,B,E,D,D,59.11561482430642,B,D,A,D,74.84230832732102,153.42037241798278,-105.72085040532284,1
Divorced,E,E,C,A,58.67110469492523,C,B,B,B,-136.28250994668997,79.84040354960867,-31.426993331776877,0
Widowed,B,B,D,C,-56.07262072545544,D,D,C,A,-58.170692851296394,-10.946354767235796,37.993182668294295,1
Widowed,B,B,D,D,8.771031932864982,B,D,A,D,-65.23579539578861,-0.14579527173757384,108.5613163811412,0
Single,A,A,B,C,-68.5931438142633,E,B,C,A,-122.21482981075778,97.12673503286057,83.30673153300043,0
Divorced,B,B,D,D,9.585187988036619,A,B,E,C,-105.64707617542646,87.62599439981089,-16.213502861858107,0
Single,B,E,D,D,-74.43022936061308,C,E,E,C,-78.33786731039295,38.29993626700155,41.12290583441292,1
Married,C,C,C,D,-43.41710915078028,A,D,E,E,-63.650212512071235,28.181690217562256,122.10757777518427,0
Married,E,B,A,A,-25.229497801806,C,B,E,E,8.934084837617291,168.1294956482411,68.99476753933233,0
Divorced,B,D,A,D,82.61242313562683,B,E,C,A,-60.22086195730019,86.69383005897325,-40.144434164214495,1
Divorced,D,C,D,C,16.087900362954645,E,D,E,A,-33.17788085948804,-215.36685433342768,90.49132302648326,1
Single,B,E,A,B,92.91645910259699,C,D,D,E,-40.398253881563456,-99.69940649836411,58.813821944631506,0
Married,E,B,A,E,-163.5801386178483,C,E,C,C,-63.964590100387184,91.83793887663718,-187.93883706732234,1
Married,E,E,A,D,114.31134265917333,C,E,A,A,138.17702170246363,5.607285377965929,-61.75607117357027,0
Widowed,C,E,A,D,-17.792372685907008,E,A,D,A,-77.91893040534528,50.15907181235928,-22.4404087231659,1
Married,A,B,D,C,61.247221224530044,A,B,D,B,-34.991170587519925,-110.5188746676016,98.62591983322363,0
Single,A,E,B,D,-18.133091884827127,A,E,E,E,-164.22005999989088,-80.28904478723271,83.6143328953285,0
Single,D,D,A,A,9.039476426680446,C,B,A,B,52.58140245462697,-25.04450653454537,45.51390447637013,0
Divorced,E,E,A,D,-64.33835139386818,B,C,C,D,149.73633345310688,-69.63993318036398,-82.54383174047264,1
Single,A,D,A,E,59.17501711321586,E,A,A,B,57.0065035676112,-48.154600102031125,-75.6308726352476,0
Widowed,A,C,A,D,23.741201643266535,C,E,A,B,-170.96079955300382,-12.091687606366246,-11.242228523345906,1
Single,C,D,B,E,-50.1823771004125,B,D,D,B,54.518952465867635,33.09929044310305,-162.6316256092925,1
Divorced,C,E,C,C,-8.8550460970469,A,E,A,B,132.27175344625724,57.01599062022675,-30.412277259062865,0
Divorced,C,C,E,A,-105.9247531739566,B,A,A,B,128.07159798048735,-87.54148635180647,-114.46804788580451,0
Divorced,E,C,C,B,216.35704566933106,E,A,D,C,-16.615949037725475,208.84862164435614,-0.5061839285732288,0
Single,B,B,B,E,108.02867107554263,E,D,E,C,-10.077679101305273,-100.90223558237878,89.48145864240328,0
Single,B,C,D,B,-29.137416175186615,A,D,C,B,-47.8988038891266,5.354288505437916,45.321032615370704,1
Single,C,C,D,A,-0.7319929702911824,A,D,C,B,160.08099613485547,14.858695102374153,168.84546177949983,0
Married,E,A,E,D,58.703774525087425,D,D,B,A,60.12601869710091,-150.38346181112146,-32.8675537068132,1
Widowed,E,A,C,D,106.79914112537973,A,C,A,B,98.72306076123267,132.59406854652664,38.34993324269483,1
Divorced,C,E,A,D,-31.17107042344365,D,A,E,C,136.27979812035682,18.24068620904057,-16.118337514311886,1
Widowed,E,E,D,A,226.36571734426272,C,A,E,A,-78.14246707604076,-42.900309733424315,22.856836278508798,0
Divorced,B,C,C,D,-6.614416656857097,E,B,A,A,-21.61744943378845,-8.595592932583669,-77.88693773877652,0
Single,A,E,D,D,29.20286453606804,E,A,E,B,14.841986361283551,-14.250818719543126,199.05335202606125,0
Married,C,D,B,D,67.5390888447358,B,B,B,B,-47.769720753609526,141.11609374847947,4.423598107053916,0
Married,B,D,A,B,62.07312231796583,A,A,A,D,-2.784529581326364,-57.885217132198854,22.763853175671596,1
Married,E,D,B,C,23.32384341017301,B,B,E,C,-193.66886212558472,91.31114002712567,-21.10765573132245,1
Divorced,E,E,B,D,55.59829136445794,B,B,E,D,176.33669548479108,0.46950251479406546,-60.51226705073037,0
Divorced,E,A,E,A,199.58867002551258,E,E,A,B,129.7614733561841,31.56278536323719,-69.71481866411304,1
Single,A,B,D,B,-1.0251370291718733,A,B,B,C,22.398649726498153,31.000153817697257,-121.5974512164049,0
Single,C,A,B,D,-96.97664352596735,C,D,E,C,32.834920468816314,-162.76555231214152,-64.90486678245158,0
Divorced,D,E,D,C,-50.84813951652324,C,A,D,C,-36.42076887469171,24.11404185221208,90.79852607414503,0
Single,A,A,B,B,-168.04439525986058,C,D,D,C,-110.36607040838868,-7.265341319877623,-109.88958984359004,0
Married,C,A,A,B,-33.27726836721088,A,C,A,C,12.306609041562686,39.26249000295171,124.70629553177324,0
Divorced,A,A,E,B,-16.67236015833001,D,C,A,A,-160.1923343782168,-124.04559486074398,-107.70358431572107,1
Widowed,A,A,E,E,12.582536643781514,C,E,C,D,61.66825951868666,84.4438970252037,73.35095233883305,0
Widowed,B,A,C,B,-22.63230980156355,C,C,B,B,0.7612434242831023,59.84543610127954,-46.78382103513907,0
Widowed,C,B,A,C,38.64207595519776,E,A,B,C,-125.93677175858666,-38.531716883249025,-7.580760804842929,0
Married,E,E,D,D,82.72837132810821,C,D,A,D,4.056037602712125,-162.66687722909845,-128.11845394260132,1
Divorced,E,E,C,D,13.434420086764062,B,D,E,C,67.8170026034323,55.22327340492667,-30.576112172245413,1
Single,B,D,E,E,188.4637053394044,B,E,C,D,-76.32010203740657,40.09998057484502,-143.93246024852283,0
Married,A,D,D,D,-73.34050735342913,A,C,A,B,0.6352907613829016,-7.891222102480937,-56.61701561535958,0
Married,A,C,E,C,78.41442649104607,E,B,C,C,129.87518814382605,-197.9473450826166,-46.055187621352914,1
Single,D,E,D,A,1.9525754496213144,E,B,D,E,114.68996376415863,-34.42897943090522,-24.945047816772796,1
Widowed,A,B,B,D,-100.30510474671837,C,E,D,A,-30.66143944501144,53.38953942956337,-76.7045405725603,1
Single,E,A,E,E,-0.45337409558041925,A,B,C,C,86.98538419124995,-21.80913628668132,-19.61959779309439,0
Widowed,D,C,D,B,-213.4505923571199,D,B,C,E,-19.685052562459767,-60.988693485371414,104.224130568236,0
Widowed,E,E,E,E,168.42258871613015,D,D,B,E,-165.83282567222108,-42.462702998482335,-26.549310338010663,1
Divorced,C,C,A,B,124.05544457375903,A,D,B,E,-0.2881990699147326,-30.198369558085286,11.730914816041143,0
Widowed,E,B,D,B,4.118619654961404,D,D,C,B,-22.467551368015855,254.68603598238025,57.21993828590662,0
Married,A,E,C,A,99.01594409588064,A,C,A,B,84.09591603084753,-26.535022774358364,148.03129759384663,0
Single,C,D,A,E,27.41269568956915,B,A,B,B,-53.20005014362879,-20.946999206336415,-82.10654711467897,0
Married,A,C,E,B,-6.557077704104016,B,D,C,C,27.779334521509213,-9.046243372113652,49.03307288513546,0
Single,E,E,E,E,-72.05858985746815,A,A,D,A,83.96779463898794,-85.56981758186294,1.647620522575422,0
Single,B,B,A,C,67.39483793226964,D,E,C,E,106.43744061359351,-96.35528344521104,-60.93850474366606,0
Married,E,A,E,B,-137.78410266567548,A,C,E,B,6.102882484192297,-68.33945709511178,157.28136746162536,1
Married,D,B,A,A,-12.836505693165165,D,D,D,A,4.566268210008671,58.2215095006274,-152.3052795141323,0
Married,A,B,A,C,149.21353321677785,E,D,B,B,55.06359300712648,69.06781881384502,-19.03704341650051,1
Married,B,C,A,E,-14.80762658939539,D,B,C,A,-12.27900804235588,-51.05251746664098,139.60051030982888,1
Divorced,B,B,D,C,-194.82149582256903,B,C,B,A,14.128978888513688,2.418890362266205,-27.07594601030606,1
Married,E,C,E,E,46.24394302438656,E,B,D,A,9.830569317664782,11.267008869886801,11.70187377274584,1
Married,B,B,D,A,-23.343921842432643,C,E,E,C,-102.68551787957216,-62.79163739477121,-24.48504131146432,0
Divorced,C,B,D,A,-92.41211671771879,D,D,E,C,61.79455465854639,120.06916717180138,-27.469520914819718,0
Single,B,E,E,A,-15.222437971031033,B,B,B,E,-34.12242287024884,72.71274271428699,-51.016590334538556,1
Widowed,A,A,E,A,-193.80274981348654,D,D,E,E,-82.75825995603752,-177.5907149718006,85.21471514017655,0
Married,D,B,D,A,113.2990204456974,E,C,C,A,140.3714685115151,89.0838038041306,-114.80846521174217,0
Single,E,A,D,E,78.60528064909995,A,D,B,C,22.444792459023606,-127.05617572340316,-64.32849774965386,1
Single,B,E,A,A,199.77032624034032,B,A,C,E,-99.65876006061353,-83.4052999411863,-24.147353095415006,0
Widowed,A,B,B,A,-40.548878429614334,B,D,D,E,-56.6495348644174,-30.65976995171583,62.77520686958072,0
Widowed,C,B,B,A,142.40018036392644,A,A,B,B,-67.56284969233833,2.686429079756613,-232.1688027084262,1
Single,C,A,A,E,108.2253049624862,E,A,B,E,-141.57613510246043,-23.450249890424278,-31.07910391089704,0
Widowed,C,A,A,C,-29.612611489920877,C,B,B,C,-199.26990919932103,83.63068813479269,78.09452220965974,0
Married,C,D,D,B,47.85374414870586,C,A,E,B,40.73978095200705,132.9030583424633,-178.23058512101426,0
Married,C,C,A,C,-253.85344980935915,E,B,E,C,216.30466403585143,-99.48625479370745,-0.5571674219355395,1
Single,A,D,A,C,-144.86895084177993,E,B,E,A,-12.641797658732882,88.75784841873576,87.98303036261834,1
Divorced,D,D,D,E,87.17609706654791,A,C,B,B,-55.42644017612394,-133.6058658027345,-42.59758269199334,0
Married,E,B,A,E,86.87402499106682,D,A,D,C,-5.584145164998371,166.54647134575168,-256.45132312119154,1
Widowed,E,E,A,A,87.40873821009998,D,D,A,A,-109.02675335897891,107.99655101566952,-45.517673370819125,1
Widowed,E,A,D,C,-125.50536593451247,D,B,D,B,78.75080413167053,143.79457340899455,47.436588261490556,1
Married,B,C,B,E,-55.47507610627598,C,E,D,C,0.43943496984963193,104.18466772784707,-124.14301602508218,1
Single,A,C,D,D,-28.770389593318864,B,E,C,C,-130.61016512508158,55.85051007663463,157.60206362757933,1
Divorced,A,C,E,E,-26.80231578424477,D,D,C,A,-77.80652805770735,42.9689489350884,-84.61978640132315,0
Divorced,A,C,C,D,-99.36645545897905,A,B,B,A,35.83457967069258,-2.3731487559685926,85.6695200476453,1
Divorced,D,D,C,E,257.56975076210995,C,E,C,B,-92.28125578095069,27.176199863793194,-118.88237341664471,1
Married,C,D,B,B,-43.757544108710604,A,A,C,D,159.55901104820532,35.14066578462592,85.351097338202,1
Widowed,D,D,C,B,-20.250831110540783,D,D,D,A,-112.02640666330812,-56.694037063199175,-165.0423037900446,1
Married,E,C,D,C,28.715950522258428,C,C,E,B,-57.40728338054767,-19.570611267440526,-22.901987124241092,1
Married,E,C,A,A,-34.960101754080036,D,E,C,D,146.1158610494972,-62.14808035737328,69.8097350938178,1
Married,B,A,B,A,124.4594159669774,E,B,D,D,99.73137003342745,-166.3005220594981,46.15248100497589,1
Widowed,B,B,E,A,5.599731631274365,E,C,B,C,187.15327688742548,132.52964950813325,-27.564425582052632,0
Widowed,A,C,A,B,70.88458358483932,A,C,B,D,47.03146028645159,-73.71961579005963,164.50550150791753,0
Widowed,B,E,E,E,6.061301481168517,A,E,C,B,94.27097337507347,-234.13194611768768,38.15340918419083,1
Single,E,B,B,E,56.958314005776636,E,A,D,D,-6.471624086085019,-87.0734265696601,-28.10738431916389,1
Married,B,A,B,C,61.04410398211674,C,E,D,D,49.35358261667559,-28.107763370221456,-93.18302607365224,0
Widowed,B,D,A,C,106.99186954855493,D,C,D,E,116.05657959314313,-156.17114296050363,8.504897374940464,0
Divorced,A,A,D,D,-61.32385652854085,B,C,E,B,-11.802429143942529,125.94577415213197,100.37315317028516,1
Divorced,E,A,C,B,62.36002268875656,A,C,A,D,-91.78213842871432,9.354595838898,16.581896086833297,0
Married,B,C,C,A,95.04725556129456,C,E,A,D,-29.084418058932265,-35.147233335513285,0.3923407394138073,0
Widowed,A,B,C,B,101.61274059949442,B,D,D,E,-1.5759231127605386,192.5824343819887,3.309045477973692,1
Married,B,E,C,D,45.21576715415851,D,E,E,D,-19.905517303005592,37.936206213982096,-26.417458152248823,0
Divorced,C,D,C,C,120.56115578080961,B,B,B,D,12.328917897634467,-14.870264141657414,26.32724463206739,0
Widowed,B,A,C,C,-75.07066942637806,D,D,C,C,71.04843730930484,-71.06102664630991,-98.91297194193676,0
Married,C,A,E,D,80.0621832509931,C,B,B,E,-75.90686209238773,-108.6601251314087,-76.33419937849048,0
Divorced,C,E,D,D,80.84085879269809,A,D,E,E,79.8953234561222,195.31705188856017,46.971107854891834,1
Divorced,C,C,D,D,-40.29249123451419,E,C,B,C,47.94029716273931,62.57238395225845,164.2892492478383,0
Divorced,D,A,D,A,-36.68557904796349,D,C,E,D,-87.25999256993472,58.79496644398243,-42.87881751010443,0
Single,E,C,C,A,11.152728640524064,E,E,E,E,39.24589393731171,-65.89464247924231,90.2536558378364,1
Single,E,C,B,B,-6.196541992957321,C,E,C,B,6.297299979317595,106.13094245303859,2.1983313666362405,1
Divorced,A,C,A,B,34.482820554279606,B,A,C,E,-120.21635165861726,-55.164960014464725,-99.21398818978146,1
Single,D,C,E,E,131.69826205574842,B,E,C,B,-60.36652796375045,20.767014051316266,-106.80390281274397,1
Widowed,E,C,E,B,-18.20545014083046,E,D,D,B,-10.412363506219373,216.24457406078497,38.60394316072184,0
Divorced,E,D,D,A,222.21682048966542,A,D,E,C,-29.053081842183147,-65.64279559893622,-281.4137619674628,0
Married,B,C,E,A,7.988377303031951,B,E,C,C,-61.39980490548987,-72.8302500267495,-0.6677698900819837,0
Widowed,D,D,B,D,62.8771429194051,C,D,A,B,-52.52623521924733,-9.819378725972491,-91.72289292481753,1
Married,C,E,E,A,81.5051158461367,C,D,A,D,82.18350878333057,-137.36768223474135,-31.662327127102913,1
Widowed,E,C,D,D,83.9594011096122,E,A,B,B,214.11913217947534,-134.60023175102464,-238.6130086426545,0
Single,B,D,C,D,-69.70061907669557,A,B,A,E,-221.7623482319329,61.430028222181996,-185.3789023256197,1
Divorced,D,E,B,D,131.31882464022922,B,B,C,C,38.18327455539385,-11.093755616254482,-0.9254318185465323,1
Single,B,A,D,D,27.484606941818228,A,C,E,C,-79.21774771971397,111.94018920401996,-34.69242960447432,1
Married,A,D,A,A,-26.38498090347654,E,D,E,E,-51.89842648557688,-42.600501027186596,144.34846898382997,0
Single,D,D,E,D,-185.45751762798233,D,E,D,E,13.838732072284182,-70.50271047963209,-36.661233648248,0
Divorced,E,E,B,C,88.68588566800948,C,A,E,E,2.293539697932335,37.563394808263986,-89.8831215736402,0
Married,B,A,D,C,140.93248313993462,A,B,B,D,-86.0454977981862,34.510288608679815,-26.545025374173836,0
Widowed,E,E,A,A,145.28236131622162,B,C,B,E,-89.52450665391693,-5.998397575443142,-8.192523941797859,1
Divorced,B,E,A,A,159.2429120713416,B,D,A,E,-1.4874733106415148,162.03669205378267,-40.82696926771087,1
Single,A,C,B,D,-83.47548490748866,E,A,C,D,143.4928596415345,-106.49378899903739,45.95859650188178,1
Single,B,B,A,D,164.32279047529235,A,A,C,E,4.410507100584546,-5.450473142455804,-10.93226464887064,1
Widowed,B,E,D,C,6.162298213380506,D,D,D,B,62.967158704254665,-118.51925484463845,14.318676009966602,1
Divorced,B,D,C,E,145.51652689196405,A,D,E,D,189.67041569888457,136.18117801023612,-137.75927308104306,0
Single,A,A,E,D,-146.4528655411361,C,D,B,C,151.56906815909292,-14.475713906821861,-140.12524403862295,1
Single,C,A,C,A,-61.84003237914527,D,C,E,A,-9.526894016479384,-38.987461462326955,-2.4253917164314056,1
Widowed,A,D,C,B,-76.4606670308179,A,C,E,E,-35.01959723285718,93.58884718156172,101.39797379320153,0
Married,C,E,A,A,56.636548470121504,E,E,C,A,-9.661021113486527,43.259917408900954,10.367899678744992,0
Divorced,A,A,A,A,121.36254642572102,D,E,A,E,-2.071819024773388,96.22791078597936,34.73909254573342,0
Widowed,A,A,E,E,20.528046141898546,A,C,E,C,4.212237434092617,-104.83318937631255,250.18553119187322,0
Widowed,B,C,C,C,-41.21329199856218,D,D,B,A,-37.81965057404484,22.072131522655717,-119.30799941848431,0
Married,A,B,E,E,130.8961415055423,E,B,E,B,-138.82916964614182,31.95579829124672,-15.05770843325899,0
Divorced,B,C,C,D,-14.346183309955657,A,D,B,E,136.88873418452596,154.67458327432882,-169.40896556771182,0
Divorced,E,A,E,A,-42.694229860489756,B,B,C,C,-100.66141207448756,-155.7701310186128,-152.50286991503245,1
Single,A,B,A,E,-96.67781372801294,D,B,A,E,-79.50330301267273,-55.33231497863792,57.95017357997311,0
Married,A,E,A,C,-127.04970172209367,A,A,A,B,77.30163148087202,56.42901231327715,-9.785385283697043,1
Married,C,C,C,E,35.25816899459222,B,D,E,C,33.87448569292534,24.90708643952974,31.644487478464413,1
Divorced,D,D,D,B,-89.93401791859692,A,B,A,C,-57.22161416918743,102.57187022593837,7.799695537521395,0
Divorced,D,D,C,B,-139.84698324435192,D,A,D,E,-21.070761950902526,104.60909010210213,-28.319770314715818,1
Single,C,C,B,A,-84.38432430348784,B,E,D,D,51.60088118593846,63.52074351873797,80.2525395434238,0
Widowed,B,A,C,E,-189.1219313610258,A,B,C,C,25.04864008936531,-81.48399493213788,-36.54621199922751,0
Single,A,A,A,E,108.4918273741267,B,D,B,B,132.1508485510207,-176.51427283672797,23.1738692544565,0
Married,A,B,E,B,-38.67428410341106,C,E,A,C,-48.045890653425516,32.23183664377374,-123.04527373798173,0
Married,C,D,E,D,64.97270286822537,C,B,B,A,-87.87763003003374,227.18617268319238,-69.64368654860792,0
Divorced,E,D,B,C,80.86079339462019,C,E,B,D,-120.97547018313293,-51.03901427247409,64.1260696581692,0
Widowed,A,C,A,C,-104.95364877959553,C,B,D,E,67.69101309248362,-26.371659147160166,55.5264202836532,1
Widowed,A,D,B,B,36.14399272523233,E,A,E,C,24.978549167413494,240.82491075106364,0.9977101034392147,0
Divorced,B,D,D,A,-20.61473011096913,A,D,D,C,-67.6659098046934,-202.90479659570107,24.224787025129107,0
Single,E,A,E,D,-17.371616054175032,E,E,A,C,-29.853015487965312,153.13577687749523,217.61728019973933,0
Divorced,D,E,B,D,19.13205930921438,E,E,A,E,57.88116748730323,52.39935945144125,-82.93385449553224,1
Widowed,A,C,B,E,62.79898533167544,A,C,A,D,-181.8287996109641,149.90607570639494,-91.15576979937728,1
Single,D,C,A,D,92.61032819029258,C,B,B,C,-56.17783075517659,-15.786013011275147,19.507168571699804,0
Single,E,E,B,A,-137.02983780915375,B,C,B,B,-188.49489859796202,-110.31006038914886,103.41726589921048,1
Single,E,D,B,E,-62.420515728820746,E,C,C,D,21.173788705228937,-68.02512512599483,114.44092940306219,0
Divorced,D,A,C,C,-127.2359794948267,B,D,D,D,32.72242027796944,50.516010169553546,-168.33710152897524,1
Widowed,A,D,B,E,-66.43290441618657,A,C,C,C,78.36090069418104,-21.176690988435475,-58.510295406840676,0
Married,E,B,D,A,63.067445589483306,C,A,D,D,10.776510875856937,195.99920623882358,7.858830874516963,0
Divorced,E,B,D,D,-9.465315916221414,A,C,D,A,-32.44282298435722,-61.67293115825451,-167.3358257416281,0
Widowed,E,B,C,E,32.43564968836369,D,B,A,D,200.22810947065426,17.233917568750613,100.46313519871535,0
Married,E,D,C,C,47.07434754623843,C,E,C,E,-39.547015612143916,45.851812698381664,-2.464081361769744,0
Widowed,D,C,B,B,0.5819149651247054,C,B,D,D,-65.2994754029613,158.9867139295064,29.948933001490595,0
Divorced,B,A,C,D,69.7550734637496,B,A,D,B,103.35533645609256,7.602208688268701,-12.014698419289708,1
Widowed,A,D,E,D,175.4088437057516,E,B,A,D,36.25170894995012,-78.34052650175455,14.271473781395356,1
Single,E,B,B,E,1.7426874220321735,E,A,E,A,9.895575684649,-42.35723835803806,-11.247239256028765,0
Single,C,E,A,D,80.85878928261181,D,C,B,C,90.50349409469747,63.424877255974735,-203.0701337852193,1
Single,C,C,E,D,109.10307944624915,B,B,E,B,-72.8309127649459,19.765873016809156,221.1737015208219,0
Single,E,E,A,C,25.09033607310801,E,A,D,D,-117.78220862615083,7.072200811786343,-129.00102642570218,0
Divorced,B,C,C,E,48.264238161738525,C,D,B,E,-24.618878222610924,107.66727680745352,-119.5039286893018,1
Married,E,A,B,A,102.58075242276392,D,D,A,A,-183.54499086680997,-39.082604869706465,-52.161426297044066,1
Married,E,C,D,A,-80.40673728872784,C,A,C,B,37.33418687728975,112.33695476618841,-58.11634581298632,0
Divorced,A,B,C,A,-11.877729384315677,D,D,E,B,13.69907351082411,125.54854648514964,-61.1368985572472,1
Widowed,A,E,E,D,-118.68717887826001,C,B,E,E,9.35839648628027,26.614597176922004,63.30436524821792,0
Widowed,C,A,D,D,9.236390649666902,B,E,B,C,-67.37896459791365,2.679289131284472,-183.60295667031738,0
Divorced,A,A,A,B,40.57561301289635,C,E,C,B,-40.44767502904193,63.11154671162325,-108.84688334465594,0
Divorced,E,A,C,C,60.47210808309319,E,C,E,B,-157.88429967125367,45.26239197889993,-12.161613662550511,0
Single,B,D,C,C,-66.8631057906006,E,E,B,C,19.40417860267073,137.84682172702577,-137.68168692866075,0
Divorced,A,D,B,C,26.399161154128624,C,C,E,B,84.16369186512452,-106.09244352153367,-198.63890398384768,1
Widowed,D,A,D,E,53.64336334069991,A,A,E,E,-174.4964118294232,79.77154599821836,-214.9958457190467,1
Divorced,E,E,E,C,-20.41682564143136,C,A,A,D,-48.70819727608114,-47.77537658184017,-17.157561528760464,1
Married,E,C,E,C,-105.20355055128317,A,B,A,D,50.68634764606238,-76.18867100084653,-73.74485767581871,1
Widowed,E,C,C,A,139.66367244733954,A,D,B,B,-117.0094510876325,-72.34938827502624,-85.11556074142705,0
Widowed,C,E,C,C,31.372657466659682,A,E,D,C,222.84747172945552,-67.86170130679523,-86.21741792655835,0
Widowed,A,A,D,D,25.481041079194316,E,B,C,B,-15.924698216501296,27.92983825284527,221.58257829082487,0
Divorced,A,E,D,C,-22.687956861851426,E,A,B,A,68.60263859055637,33.42839137642207,18.83251099026709,0
Widowed,A,E,D,A,38.74402021179789,C,C,E,D,-77.30198517032073,-132.57557054211108,-23.206664669506218,1
Divorced,D,B,A,E,-89.33607212959058,D,C,C,C,143.41067067641123,133.47966398862278,-12.650627404654461,1
